@English@|@Thai@
@buffalo@|@ควาย@
@bug@|@ตัวแมลง@
@build@|@ก่อ, ก่อสร้าง, สร้าง@
@building@|@ตึก, อาคาร@
@bump (on the skin)@|@ตุ่ม@
@burglar@|@ขโมย@
@bus@|@รถเมล์, รถบัส@
@business@|@ธุรกิจ@
@busy@|@ยุ่ง@
@but@|@แต่@
@butt@|@ก้น@
@butter@|@เนย@
@butterfly@|@ผีเสื้อ@
@buy@|@ซื้อ@
@by@|@โดย@
@by (+ name of vehicle)@|@ทาง@
@by chance@|@บังเอิญ@
@by means of@|@โดย@
@cabbage@|@ผักกะหล่ำ@
@calendar@|@ปฎิทิน@
@call@|@เรียก@
@calm@|@ใจเย็น@
@calm down@|@ใจเย็นๆ@
@camera@|@กล้องถ่ายรูป@
@can (tin can)@|@กระป๋อง@
@can no longer bear it@|@ทนไม่ไหว@
@canal@|@คลอง@
@cancer@|@มะเร็ง@
@candle@|@เทียน@
@cap (for head)@|@หมวก@
@capital@|@มหานคร@
@car@|@รถ, รถยนต์@
@car accident@|@รถชนกัน@
@car sick@|@เมารถ@
@care for (look after)@|@ดูแล@
@careless@|@ใจดำ@
@carry (hold in arms)@|@อุ้ม@
@cat@|@แมว@
@catch a cold@|@เป็น หวัด@
@category@|@ประเภท@
@CD@|@ซีดีเพลงชุด@
@ceiling@|@เพดาน@
@celebrate@|@ฉลอง@
@century@|@ศตวรรษ@
@certain@|@แน่, แน่ใจ, แน่นอน@
@chair@|@เก้าอี้@
@chance@|@โอกาส@
@change@|@เปลี่ยน, เปลี่ยน@
@changwat@|@จังหวัด@
@character@|@ตัวหนังสือ, นิสัย@
@characteristics@|@ลักษณะ@
@chat@|@คุย@
@cheap@|@ถูก, ถูก@
@cheat@|@โกง@
@cheating@|@ขี้โกง@
@check (examine)@|@ตรวจ@
@check (money)@|@เช็ค@
@cheese@|@เนยแข็ง@
@chemistry@|@เคมี@
@cherish@|@หวงแหน@
@chicken@|@ไก่@
@chief@|@เจ้านาย@
@child@|@เด็ก@
@chili@|@พริก@
@chocolate@|@ช็อกโกแล็ต@
@choose@|@เลือก@
@chopsticks@|@ตะเกียบ@
@cinema (theatre)@|@โรงหนัง@
@citizens@|@ประชาชน@
@city@|@เมือง, เมือง, นคร, กรุง@
@clean@|@สะอาด@
@clear@|@ใส, ชัด, ชัด@
@clearly@|@อย่างชัดเจน@
@clever@|@เก่ง, ฉลาด@
@clock@|@นาฬิกา@
@close@|@ใกล้ชิด@
@closed@|@ปิด@
@cloth@|@ผ้า@
@clothes@|@เสื้อผ้า@
@cloud@|@เมฆ@
@cock@|@ไก่ตัวผู้@
@cockroach@|@แมลงสาบ@
@coconut@|@มะพร้าว@
@coffee@|@กาแฟ, กาแฟร้อน@
@cold@|@เย็น, หนาว@
@collect@|@เก็บ@
@colloquial@|@ภาษาพูด@
@color@|@สี@
@combine@|@ผสม@
@come after@|@มาทีหลัง@
@comfort@|@ปลอบใจ@
@common@|@ธรรมดา@
@company@|@บริษัท@
@computer science@|@คอมพิวเตอร์@
@concentrate@|@เอาใจใส่@
@concentration@|@ทำสมาธิ@
@concert@|@คอนเสิร์ต@
@concrete@|@คอนกรีต@
@confused@|@สับสน@
@considerate@|@เกรงใจ@
@console@|@ปลอบใจ, ปลอบใจ@
@construct@|@ก่อ@
@contact@|@ติดต่อ@
@contest@|@การประกวด, การแข่งขัน@
@contract (legal)@|@หนังสือสัญญา@
@convenient@|@สะดวก@
@cook (man)@|@พ่อครัว@
@cook (to)@|@ทำกับข้าว, ทำอาหาร@
@cook (woman)@|@แม่ครัว@
@cookie@|@ขนมปังกรอบ@
@cool@|@เย็น@
@cool season@|@หน้า หนาว, ฤดู หนาว@
@copyright@|@ลิขสิทธิ์@
@cord@|@เชือก@
@corn@|@ข้าวโพด@
@corner@|@มุม@
@correct@|@ถูก@
@costume@|@ชุด@
@cosy@|@สบาย@
@cotton@|@ฝ้าย, ผ้าฝ้าย@
@couch@|@โซฟา@
@cough@|@ไอ@
@country@|@ประเทศ@
@cow@|@วัว@
@crab@|@ปู@
@crazy@|@บ้า@
@cremate@|@เผาศพ@
@crocodile@|@จระเข้@
@cross over (ex : street)@|@ข้าม@
@crossroad@|@ทางแยก@
@crown prince@|@สมเด็จพระยุพราช@
@crude@|@ทะลึ่ง@
@cruel@|@ดุ@
@cry@|@ร้องไห้@
@cucumber@|@แตงกวา@
@cup@|@ถ้วย@
@cupboard@|@ตู้, ตู้เก็บชาม@
@curry@|@แกง@
@customer@|@ลูกค้า@
@cute@|@น่ารัก@
@dai mai@|@ได้่ไหม@
@dark@|@มืด@
@dark blue@|@สีน้ำเงิน@
@dark brown@|@สีน้ำตาล เข้ม@
@dark green@|@สีเขียว แก่@
@darkness@|@มืด@
@daughter@|@ลูกสาว@
@daughter-in-law@|@ลูกสะใภ้@
@dawn@|@อรุณ@
@day@|@วัน@
@day after tomorrow@|@มะรืนนี้@
@day before yesterday@|@เมื่อวานซืน@
@day time@|@กลางวัน@
@daylight@|@สว่าง@
@deceive@|@หลอกลวง@
@December@|@ธันวาคม@
@decide@|@ตั้งใจ@
@deep@|@ลึก@
@deep fry@|@ทอด@
@defect@|@ขาด@
@deliberately@|@โดยเจตนา@
@delicious@|@อร่อย@
@delude@|@หลอกลวง@
@dense@|@หนาแน่น@
@desk@|@โต๊ะ@
@destiny@|@พรหมลิขิต@
@detergent@|@ผงซักฟอก@
@developed@|@พัฒนา@
@dial wrong number@|@โทร ผิด@
@dictionary@|@ดิกชันนารี@
@different@|@แตกต่าง, ต่าง ๆ@
@different from@|@ต่างกัน@
@difficult@|@ยาก@
@dimension@|@ขนาด@
@dining room@|@ห้องอาหาร@
@dinner@|@อาหารเย็น, อาหารค่ำ@
@dirty@|@สกปรก, สกปรก@
@disease@|@เป็น โรค@
@dislike@|@เกลียด@
@dismiss@|@ให้ออก, ไล่ออก@
@dissatisfied@|@ไม่น่าพอใจ@
@disturb@|@กวน, รบกวน, รบกวน@
@dog@|@สุนัข, หมา@
@door@|@ประตู@
@doubt@|@สงสัย@
@downstairs@|@ข้างล่าง@
@dragon fruit@|@แก้วมังกร@
@dress@|@ชุด@
@drink@|@ดื่ม@
@dry@|@แห้ง@
@duck@|@เป็ด@
@dumb@|@โง่@
@durian@|@ทุเรียน@
@dust@|@ขี้ฝุ่น@
@ear@|@หู@
@ear ring@|@ตา่งหู@
@earlier@|@เมื่อกี้@
@early@|@เช้า@
@earn money@|@หาเงิน@
@Earth@|@โลก@
@easily influenced@|@ใจง่าย@
@East@|@ตะวันออก@
@easy@|@ง่าย@
@eat@|@กินข้าว@
@educative@|@มีการศึกษา@
@egg@|@ไข่, ไข่ไก่@
@eggplant@|@มะเขือม่วง@
@elbow@|@ข้อศอก@
@elder brother@|@พี่ชาย@
@elder sister@|@พี่สาว@
@electric cord@|@สายไฟ@
@elephant@|@ช้าง@
@eleven o'clock (11:00 am)@|@สิบเอ็ด  โมง เช้า@
@eleven o'clock (11:00 pm)@|@ห้า ทุ่ม@
@employ@|@จ้าง@
@employee@|@คนงาน, พนักงาน@
@employer@|@นายจ้าง@
@encourage@|@กำลังใจ, ย้อมใจ@
@end@|@เสร็จ, กำลังจบ@
@end of month@|@ปลายเดือน@
@end of the soi@|@ทา้ยซอย@
@endure@|@อดทน@
@engage@|@จ้าง@
@English language@|@ภาษาอังกฤษ@
@enough@|@พอ, พอ, พอแล้ว@
@entire@|@ทั้ง@
@envelope@|@ซอง@
@envious@|@หวง, อิจฉา@
@escape from danger@|@แคล้วคลาด@
@estimate@|@เดา@
@evening@|@ตอนเย็น@
@every day@|@ทุกวัน@
@everything's fine don't worry@|@สบมยห@
@everywhere@|@ทุกที@
@exchange@|@สลับกัน@
@exclude@|@ยกเว้น@
@excuse me@|@ขอโทษ ครับ/คะ@
@exempt@|@ยกเว้น@
@exonerate@|@แก้ตัว@
@expect@|@หวัง@
@expected@|@ที่คาดเอาไว้@
@expensive@|@แพง@
@experienced@|@มีประสบการณ์@
@explode (bomb)@|@ระเบิด@
@export@|@สินค้าออก@
@extremely@|@เหลือเกิน@
@eye@|@ตา@
@eyebrows@|@คิ้ว@
@eyelash@|@ขนตา@
@eyelid@|@หนังตา@
@fabric@|@ผ้า@
@fabric conditioner@|@น้ำยา ปรับ ผ้านุ่ม@
@factory@|@โรงงาน@
@faint@|@สลบ@
@family@|@ครอบครัว@
@fan@|@พัดลม@
@fantastic@|@เจ๋ง@
@far@|@ไกล@
@fast@|@เร็ว, เร็ว@
@fat@|@อ้วน@
@father@|@พ่อ@
@fear@|@กลัว@
@February@|@กุมภาพันธ์@
@feel@|@รู้สึก@
@feel better@|@เหมือนเดิม@
@feel good@|@เหมือนเดิม@
@feel sleepy@|@ง่วงนอน@
@feeling@|@อารมณ์@
@fever@|@มี ไข้@
@few@|@น้อย@
@file@|@แฟ้ม@
@fill@|@เติม@
@filled@|@เต็ม@
@fine@|@สบายดี ครับ/คะ@
@finger@|@นิ้ว@
@finish@|@เสร็จ@
@finished@|@เรียบร้อย@
@fire@|@ให้ออก, ไล่ออก@
@firm@|@ห้าง@
@first@|@เดิม@
@first time@|@ครั้ง แรก@
@fish@|@ปลา@
@five o'clock (5:00 am)@|@ตี ห้า@
@five o'clock (5:00 pm)@|@บ่าย ห้า โมง@
@flag@|@ธง@
@flee@|@หนี@
@flood@|@น้ำท่วม@
@flooded@|@น้ำท่วม@
@floor@|@พื้น@
@floor (bottom surface)@|@พื้น@
@floor (storey)@|@ชั้น@
@flower@|@ดอกไม้@
@flying@|@บิน@
@food@|@อาหาร@
@foolish@|@โง่, โง่เง่า, งี่เง่า@
@foot@|@เท้า@
@foot (of animal)@|@ตีน@
@foot (of man)@|@เท้า@
@for example@|@เช่น, สมมุติ@
@forbid@|@ห้าม@
@forbidden@|@ห้าม@
@forest@|@ป่า, ป่าไม้@
@fork@|@ซ้อม@
@former@|@เดิม@
@former life@|@ชาติก่อน@
@fox@|@หมาจิงจอก@
@French fries@|@เฟรนช์ ฟรายด์@
@French language@|@ภาษาฝรั่งเศส@
@frequently@|@บ่อยๆ@
@fresh@|@สดชื่น@
@Friday@|@วันศุกร์@
@fridge@|@ตู้เย็น@
@fried eggs@|@ไข่ดาว@
@fried rice@|@ข้าวผัด@
@fried rice noodles@|@ผัดไทย@
@friendship@|@มิตรภาพ@
@fruit@|@ผลไม้@
@fruit juice@|@น้ำผลไม้@
@fry@|@ผัด@
@frying pan@|@กะทะ@
@full@|@อิ่ม, อิ่มแล้ว@
@full moon@|@เดือนเต็มดวง@
@fun@|@สนุก@
@funny@|@ตลก@
@future@|@อนาคต, ภายหน้า@
@fuzzy@|@เบรอ@
@gap@|@ช่อง@
@garage@|@โรงรถ@
@garbage bin@|@ถังขยะ@
@garden@|@สวน@
@gardener@|@คนสวน@
@general@|@ธรรมดา@
@gentle@|@นุ่ม, นุ่มนวล@
@gentle in manner@|@นุ่มนิ่ม@
@genuine@|@แท้@
@geography@|@ภูมิศาสตร์@
@get up@|@ยืน ขึ้น, ลุก ขึ้น@
@gift@|@ของขวัญ, พรสวรรค์@
@girl@|@เด็กผู้หญิง@
@girl (under 15)@|@เด็กหญิง@
@girlfriend@|@แผน, แฟน@
@give birth@|@ออกลูก@
@glass@|@แก้ว@
@glass (pane of)@|@กระจก@
@glasses@|@แว่นตา@
@go@|@ไป@
@go down@|@ลง@
@go in the red@|@ขาดทุน@
@go to bed@|@เข้านอน@
@go up@|@ขึ้น@
@goat@|@แพะ@
@god@|@พระเจ้า@
@gold@|@ทองคำ@
@gold-color@|@สีทอง@
@golden@|@สีทอง@
@good@|@ดี@
@good at@|@เก่ง@
@good enough@|@พอดี@
@good morning@|@สวัสดี ครับ/ค่ะ@
@goodbye@|@ลาก่อน@
@gossip@|@นินทา, ซุบซิบ@
@government@|@รัฐบาล@
@government service@|@ราชการ@
@grammar@|@แกรมม่า@
@grandfather (father of father)@|@ปู่@
@grandfather (father of mother)@|@ตา@
@grandfather (of mother)@|@ตา@
@grandmother (mother of father)@|@ย่า@
@grandmother (mother of mother)@|@ยาย@
@grape@|@องุ่น@
@green@|@เขียว, สีเขียว@
@green salad@|@สลัด@
@grey@|@เทา, สีเทา@
@grill@|@ปิ้ง, ย่าง, ย่าง, เผา@
@ground beef@|@เนื้อบด@
@grumpy@|@งอน@
@guard with ardent care@|@หวงแหน@
@guava@|@ฝรั่ง@
@guess@|@เดา@
@gummy@|@เหนียว@
@had enough to eat@|@อิ่ม, อิ่มแล้ว@
@hair@|@ผม@
@hair shampoo@|@ยาสระผม@
@half@|@ครึ่ง@
@half hour@|@ครึ่งชั่วโมง@
@hand@|@มือ@
@handsome@|@หล่อ@
@hang up the phone@|@วางสาย@
@hangover@|@อาการเมาค้าง@
@happy@|@ดีใจ, มีความสุข, สบายใจ@
@hard (not easy)@|@ยาก@
@hard (not soft)@|@แข็ง@
@hat@|@หมวก@
@hate@|@เกลียด@
@haunt@|@สิ่ง@
@have faith@|@เชื่อ@
@have interest in@|@สนใจ@
@have meeting@|@ประชุม@
@head@|@ศีรษะ, หัว@
@headache@|@ปวดหัว@
@healthy@|@มีสุขภาพดี@
@hear@|@ได้ยิน@
@heart@|@ใจ@
@heavy@|@หนัก@
@heavy construction@|@ก่อสร้าง@
@height@|@ความสุข@
@hello@|@สวัสดี, สวัสดี ครับ/ค่ะ, ฮัลโหล, ... พูด@
@help@|@ช่วย@
@hen@|@ไก่ตัวเมีย@
@here@|@ที่นี่@
@high@|@สูง@
@highway/motorway@|@ไฮเวย์@
@hinder@|@ขัดขวาง@
@hire@|@จ้าง@
@history@|@ประวัติศาสตร์@
@hold@|@จับ@
@hold on the line (phone)@|@รอสักครู่ ครับ/ค่ะ@
@hole@|@ช่อง@
@hollow@|@เป็นรู@
@honey@|@น้ำผึ้ง@
@hope@|@หวัง@
@horrific@|@น่ากลัว@
@horse@|@ม้า@
@hospital@|@โรงพยาบาล@
@hot@|@เผ็ด, ร้อน@
@hot season@|@หน้า ร้อน, ฤดู ร้อน@
@hour@|@ชั่วโมง@
@house@|@บ้าน@
@house owner@|@เจ้าของบ้าน@
@housekeeper@|@แม่บ้าน@
@how are you?@|@สบายดีไหม ครับ/คะ@
@how far?@|@ไกลเท่าไหร่@
@how long?@|@นานเท่าไรแล้ว@
@how many?@|@กี่@
@how much time?@|@นานเท่าไหร่@
@how much?@|@เท่าไหร่@
@how?@|@อย่างไหน@
@human being@|@มนุษย์@
@hurt@|@เจ็บ, ปวด@
@hurt (emotionally)@|@เจ็บใจ@
@husband@|@สามี, สามี, ผัว@
@hypocritical@|@เสแสร้ง@
@I (female)@|@ฉัน@
@I (male)@|@ผม@
@ice cubes@|@น้ำแข็ง@
@iced coffe@|@กาแฟเย็น@
@iced tea@|@ชาเย็น@
@if@|@ถ้า, ถ้าว่า, หาก@
@ill@|@ไม่สบาย, ป่วย, ป่วย, ไม่สบาย@
@I'll be back@|@จะมาแล้ว@
@I'll be right back@|@อีก สักครู่ จะมาแล้ว ครับ@
@illegal@|@ผิดกฎหมาย@
@illness@|@เป็น โรค@
@implore@|@ขอร้อง@
@import@|@สินค้าเข้า@
@impose on someone@|@เอาเปรียบ@
@improved@|@พัฒนา@
@in@|@ใน@
@in 3 days@|@ภายใน 3 วัน, อีก 3 วัน@
@in bed@|@บนเตียง@
@in case of@|@เผื่อ, เผื่อว่า@
@in the center@|@ตรงกลาง@
@incarnation@|@ชาติ@
@incorrect@|@ผิด@
@indifferent@|@เฉยๆ@
@inflammation@|@อักเสบ@
@initiate oneself@|@เริ่มต้น@
@injection@|@ฉีดยา@
@insect@|@ตัวแมลง@
@inside@|@ข้างใน@
@insult@|@ดูถูก@
@insurance@|@การประกัน@
@intelligent@|@ฉลาด, มี สติปัญญา ดี@
@intend@|@ตั้งใจ@
@interested@|@สนใจ@
@interesting@|@น่าสนใจ@
@intimate@|@ใกล้ชิด@
@invited@|@เชิญ@
@ironing conditioner@|@น้ำยา รีดผ้า@
@isn't it?@|@ใช่ไหม@
@it@|@มัน@
@it rains@|@ฝนตก@
@it snows@|@หิมะตก@
@jacket@|@เสื้อ แจ็กเก็ท@
@jam@|@แยม@
@January@|@มกราคม@
@jealous@|@หวง@
@joke@|@แกล้ง, ตลก@
@July@|@กรกฏาคม@
@June@|@มิถุนายน@
@jungle@|@ป่าดงดิบ, ป่ารก, ดง@
@just@|@สัก@
@just a moment@|@สักครู่@
@just about@|@สัก@
@just now@|@เมื่อกี้@
@just right@|@พอดี@
@keep@|@เก็บ@
@ketchup@|@ซอสมะเขือเทศ@
@kidnap@|@ลักพาตัว@
@kind@|@เกรงใจ, ใจดี@
@king@|@พระมหากษัตริย์@
@king (general)@|@กษัตริย์@
@King (of Thailand)@|@พระบาทสมเด็จพระเจ้าอยู่หัว@
@kingdom@|@ราชอาณาจักร@
@kiss@|@จูบ@
@kitchen@|@ห้องครัว@
@klong@|@คลอง@
@knee@|@หัวเข่า@
@knife@|@มีด@
