@English@|@Polish@
@abdication@|@abdykacja, zrzeczenie się@
@abdomen@|@brzuch@
@abdomens@|@brzuchy@
@abdominal@|@brzuszny@
@abduct@|@porwać, porywać, uprowadzać, uprowadzić@
@abducted@|@porwany, uprowadzony@
@abduction@|@porwanie, uprowadzenie@
@abductions@|@porwania, uprowadzenia@
@abductor@|@porywacz@
@abductors@|@porywacze@
@abducts@|@porywa, uprowadza@
@abed@|@w łóżku@
@aberration@|@aberracja, odchylenie@
@aberrational@|@odchylający@
@aberrations@|@odchylenia@
@abet@|@nakłaniać do przestępstwa@
@abetment@|@nakłonienie do przestępstwa@
@abets@|@nakłania do przestępstwa@
@abetted@|@nakłoniony do przestępstwa@
@abetter@|@nakłaniający do przestępstwa@
@abetting@|@nakłanianie do przestępstwa@
@abettor@|@nakłaniający do przestępstwa@
@abeyance@|@stan zawieszenia@
@abhor@|@brzydzić się, czuć odrazę, czuć wstręt@
@abhorrence@|@odraza, wstręt@
@abhorrent@|@odrażający, wstrętny@
@abhorrer@|@czujacy odrazę, czujący wstręt@
@abhorring@|@czując odrazę, czując wstręt@
@abhors@|@czuje odrazę, czuje wstręt@
@abidance@|@tolerowanie, wytrzymywanie, znoszenie@
@abide@|@tolerować, wytrzymywać, znosić@
@abide by@|@przestrzegać (coś)@
@abided@|@tolerowany, znoszony@
@abides@|@toleruje, wytrzymuje, znosi@
@abiding@|@stały, trwały@
@abidingly@|@stale, trwale@
@abilities@|@umiejętności, zdolności@
@ability@|@umiejętność, zdolność@
@abject@|@nędzny, podły, skrajny@
@abject conditions@|@nędzne warunki@
@abject imitation@|@nędzna imitacja@
@abjection@|@nędza@
@abjections@|@nędze@
@abjectly@|@nędznie, podle@
@abjectness@|@nędza@
@abjuration@|@wyparcie się@
@abjure@|@wypierać się (czegoś), wyrzekać się (czegoś)@
@abjured@|@wyparty, wyrzeknięty@
@abjurer@|@wypierający się, wyrzekający się@
@abjuring@|@wypierając się, wyrzekając się@
@ablaze@|@rozświetlony, w płomieniach@
@able@|@będący w stanie coś zrobić, utalentowany, zdolny@
@able-bodied@|@silny, zdrowy@
@abloom@|@kwitnący@
@ablution@|@obmycie, umycie@
@ablutions@|@obmycia@
@ably@|@sprawnie, zręcznie@
@abnegate@|@wyrzekać się (czegoś)@
@abnegated@|@wyrzeczony@
@abnegation@|@abnegacja, wyrzeczenie się@
@abnormal@|@nienormalny, nieprawidłowy@
@abnormalities@|@nienormalności@
@abnormality@|@nienormalność, nieprawidłowość@
@abnormally@|@nienormalnie, nieprawidłowo@
@aboard@|@na pokład, na pokładzie@
@abode@|@miejsce zmieszkania, sadyba@
@abolish@|@obalać, znieść@
@abolish slavery@|@znieść niewolnictwo@
@abolished@|@obalony, zniesiony@
@abolisher@|@obalający, znoszący@
@abolishers@|@obalajacy, znoszący@
@abolishes@|@obalenia, znoszenia@
@abolishing@|@obalając, znosząc@
@abolishment@|@obalenie, zniesienie@
@abolishments@|@obalenia, znoszenia@
@abolition@|@obalenie, zniesienie@
@abolitionism@|@abolicjonizm@
@abolitionist@|@abolicjonista@
@abolitionists@|@abolicjoniści@
@abominable@|@obrzydliwy, wstrętny@
@abominably@|@obrzydliwie, wstrętnie@
@abominate@|@czuć wstręt (do kogoś/czegoś)@
@abomination@|@obrzydzenie, wstręt@
@aboriginal@|@pierwotny, początkowy@
@aborigine@|@Aborygen@
@aborigines@|@Aborygeni@
@abort@|@przerwać, zaniechać, zrezygnować@
@abort a pregnancy@|@przerwać ciążę@
@aborted@|@przerwany, zaniechany@
@aborting@|@przerywając, zaniechując@
@abortion@|@aborcja@
@abortions@|@aborcje@
@abortive@|@nieskuteczny, nieudany@
@abortively@|@aborcyjnie@
@aborts@|@przerywa@
@abound@|@być w obfitości, obfitować@
@abounding@|@obfitujący@
@abounds@|@obfituje@
@about@|@dookoła, o, około, prawie, w pobliżu@
@about-turn@|@zwrot o 180°@
@above@|@nad, ponad, powyżej, powyżej, wyżej, wyżej@
@above all@|@ponad wszystko, przede wszystkim@
@aboveboard@|@legalny, uczciwy@
@above-mentioned@|@wyżej wymieniony@
@abrade@|@otrzeć (skórę), przetrzeć się@
@abrasion@|@otarcie (skóry)@
@abrasive@|@szorstki, ścierny@
@abreast@|@obok siebie, ramię w ramię@
@abridge@|@skracać@
@abridged@|@skrócony@
@abridgement@|@wersja skrócona@
@abroad@|@za granicą, za granicę@
@abrupt@|@nagły, obcesowy, raptowny@
@abruptly@|@nagle, obcesowo, raptownie@
@abruptness@|@nagłość, obcesowość@
@abscess@|@ropień, wrzód@
@abscond@|@uciec, zbiec@
@absence@|@nieobecność@
@absent@|@nieobecny@
@absentee@|@nieobecny@
@absenteeism@|@absencja@
@absently@|@bezmyślnie, nieuważnie@
@absent-minded@|@roztargniony@
@absent-mindedly@|@w roztargnieniu@
@absent-mindedness@|@roztargnienie@
@absolute@|@absolutny, całkowity@
@absolutely@|@absolutnie, całkowicie, oczywiście@
@absolution@|@rozgrzeszenie@
@absolve@|@przebaczać, rozgrzeszać@
@absorb@|@absorbować, przyswajać, wchłaniać@
@absorbed@|@pochłonięty@
@absorbent@|@wchłaniający@
@absorbing@|@absorbujący, pasjonujący@
@absorption@|@przyswajanie, wchłanianie@
@abstain@|@powstrzymywać się, wstrzymywać się@
@abstemious@|@wstrzemięźliwy@
@abstention@|@wstrzymywanie się od głosu@
@abstinence@|@abstynencja, wstrzemięźliwość@
@abstract@|@abstrakcyjny, abstrakcyjny, skrót, wyciąg, wyciągać (coś z czegoś), wydobyć@
@abstract2@|@skrót, wyciąg@
@abstract3@|@wyciągnąć (coś z czegoś), wydobyć@
@abstracted@|@roztargniony@
@abstractedly@|@w roztargnieniu@
@abstraction@|@abstrakcja@
@abstruse@|@niezrozumiały, zawiły@
@absurd@|@absurdalny, niedorzeczny@
@absurdity@|@absurd, niedorzeczność@
@abundance@|@obfitość@
@abundant@|@obfity@
@abundantly@|@obficie@
@abuse@|@maltretować, nadużywać, wykorzysywać, znęcać się@
@abuse2@|@nadużycie, nadużywanie, obrażać, znieważać@
@abuse3@|@maltretowanie, obelgi, znęcanie się@
@abusive@|@obelżywy, obraźliwy@
@abusively@|@obelżywie, obraźliwie@
@abut@|@graniczyć (z czymś), stykać się@
@abysmal@|@beznadziejny, fatalny@
@abysmally@|@beznadziejnie, fatalnie@
@abyss@|@otchłań, przepaść@
@acacia@|@akacja@
@academic@|@akademicki, naukowy, teoretyczny@
@academic2@|@nauczyciel akademicki, naukowiec@
@academically@|@naukowo@
@academy@|@akademia, uczelnia@
@accede@|@przychylic się, zgodzić się@
@accelerate@|@przyspieszać@
@acceleration@|@przyspieszenie@
@accelerator@|@akcelerator, gaz (w samochodzie), pedał gazu@
@accent@|@akcent, nacisk@
@accent2@|@akcentować@
@accentuate@|@podkreślać, uwypuklać@
@accentuation@|@nacisk, podkreślenie@
@accept@|@pogodzić się, przyjmować, zaakceptować@
@acceptability@|@możliwość przyjęcia@
@acceptable@|@do zaakceptowania, możliwy do przyjęcia@
@acceptance@|@akceptacja@
@access@|@dojście, dostęp@
@access road@|@droga dojazdowa@
@accessible@|@dostępny, przystępny@
@accession@|@dojście (do czegoś)@
@accessory@|@akcesoria, dodatek (do ubioru), współsprawca, wyposażenie@
@accident@|@wypadek@
@accidental@|@przypadkowy@
@accidentally@|@przypadkowo@
@accident-prone@|@podatny na wypadki@
@acclaim@|@przyjmować z uznaniem, uznanie@
@acclamation@|@aklamacja@
@acclimatization@|@aklimatyzacja@
@acclimatize@|@aklimatyzować się@
@accolade@|@pochwała, uznanie@
@accommodate@|@dostosować, przystosować, ulokować, zakwaterować@
@accommodating@|@uczynny@
@accommodation@|@nocleg, zakwaterowanie@
@accompaniment@|@akompaniament, dodatek@
@accompanist@|@akompaniator@
@accompany@|@akompaniować, towarzyszyć@
@accomplice@|@współsprawca, współwinny@
@accomplish@|@dokonać, osiągnąć@
@accomplishment@|@dokonanie, osiągnięcie, umiejętność, uzdolnienie@
@accord@|@być w zgodzie, porozumienie, uzgodnienie, zgadzać się@
@accordance@|@zgoda, zgodność@
@according to@|@według, zgodnie z@
@accordingly@|@odpowiednio, stosownie do@
@accordion@|@akordeon@
@accost@|@zaczepić, zagadnąć@
@account@|@konto, kredyt, rachunek (w banku), relacja, sprawozdanie@
@account for@|@wyjaśniać, wyliczać się (z czegoś), wytłumaczyć się (z czegoś)@
@accountability@|@odpowiedzialność@
@accountable for (sth)@|@odpowiedzialny (za coś)@
@accountable to (sb)@|@odpowiedzialny (przed kimś)@
@accountancy@|@księgowość@
@accountant@|@księgowy@
@accounting@|@księgowość, rachunkowość@
@accountrements@|@ekwipunek, wyposażenie@
@accounts@|@księgowość, rachunkowość@
@accredit@|@akredytować@
@accreditation@|@akredytacja@
@accredited@|@akredytowany@
@accretion@|@narastanie@
@accrue@|@narastać, wzrastać@
@accumulate@|@gromadzić się@
@accumulation@|@nagromadzenie@
@accuracy@|@dokładność@
@accurate@|@dokładny@
@accurately@|@dokładnie@
@accusation@|@oskarżenie@
@accusatory@|@oskarżycielski@
@accuse@|@oskarżać (kogoś o coś)@
@accused@|@oskarżony@
@accuser@|@oskarżyciel@
@accusing@|@oskarżycielski@
@accusingly@|@oskarżycielsko@
@accustom@|@przyzwyczajać@
@accustomed@|@przyzwyczajony@
@ace@|@as@
@acerbic@|@cierpki, zgryźliwy@
@acerbity@|@cierpkość, zgryźliwość@
@acetone@|@aceton@
@ache@|@boleć, ból@
@aching@|@bolesny@
@achivably@|@osiągalny@
@achive@|@osiągnąć@
@achivement@|@osiągnięcie@
@achy@|@obolały@
@acid@|@kwas, kwaśny@
@acidify@|@zakwaszać@
@acidity@|@kwasowość@
@acknowledge@|@potwierdzić, uznać, wyrazić podziękowanie@
@acknowledgement@|@podziękowanie, potwierdzenie odbioru, uznanie@
@acme@|@szczyt@
@acne@|@trądzik@
@acorn@|@żołądź@
@acoustic@|@akustyczny@
@acoustics@|@akustyka@
@acquaintance@|@znajomość, znajomy@
@acquainted@|@zapoznany, zaznajomiony@
@acquiesce@|@przyzwalać, zgadzać się@
@acquiescence@|@przyzwolenie, zgoda@
@acquiescent@|@przyzwalający, zgodny@
@acquire@|@nabyć, zdobyć@
@acquired@|@nabyty@
@acquisition@|@nabycie, nabytek@
@acquisitive@|@zachłanny@
@acquit@|@uniewinniać@
@acquittal@|@spłacenie, uniewinnenie@
@acre@|@akr@
@acreage@|@areał, powierzchnia@
@acrid@|@gryzący, kwaskowaty, ostry@
@acridity@|@cierpkość, kwaskowatość@
@acrimonious@|@cierpki, zaciekły, zażarty, zgorzkniały@
@acrimoniously@|@zaciekle, zawzięcie@
@acrimony@|@cierpkość, zażartość@
@acrobat@|@akrobata, akrobatka@
@acrobatic@|@akrobatyczny@
@acrobatics@|@akrobatyka@
@acronym@|@akronim@
@across@|@po drugiej stronie, poprzez, przez, wszerz@
@act@|@akt, czyn, działać, gra, grać (w teatrze), uchwała@
@acting@|@aktorstwo, pełniący obowiązki@
@action@|@akcja, działanie, postępowanie sądowe@
@activate@|@uruchamiać, wzbudzać@
@active@|@aktywny, czynny@
@actively@|@aktywnie, czynnie@
@activist@|@działacz@
@activity@|@czynność, działalność, ożywienie, zajęcie@
@actor@|@aktor@
@actress@|@aktorka@
@actual@|@faktyczny, rzeczywisty@
@actuality@|@ralizm, rzeczywistość@
@actualize@|@urzeczywistnić, zrealizować@
@actually@|@faktycznie, rzeczywiście@
@actuate@|@pobudzić, uruchomić@
@acuity@|@ostrość@
@acumen@|@bystrość, wnikliwość@
@acupuncture@|@akupunktura@
@acute@|@bystry, dotkliwy, ostry, wnikliwy@
@acuteness@|@bystrość, ostrość, wnikliwość@
@ad@|@ogłoszenie, reklama@
@ad infinitum@|@w nieskończoność@
@ad lib@|@bez przygotowania, impromizowany, improwizować@
@ad nauseam@|@do znudzenia@
@adage@|@maksyma, przysłowie@
@adamant@|@nieugięty, niewzruszony@
@adamantine@|@nieugięty, twardy@
@adamantly@|@nieugięcie@
@Adam's apple@|@grdyka@
@adapt@|@adaptować, dostosować (się), przystosować (się)@
@adaptability@|@zdolność przystosowania się@
@adaptable@|@łatwo przystosowujący się@
@adaptation@|@adaptacja, przystosowanie się@
@adapter@|@przejściówka, rozgałęziacz@
@adaptor@|@rozgałęziacz@
@add@|@dodawać@
@addendum@|@dodatek, uzupełnienie@
@adder@|@żmija@
@addict@|@nałogowiec, narkoman@
@addicted (to sth)@|@uzależniony (od czegoś)@
@addiction@|@nałóg, uzależnienie@
@addictive@|@uzależniający@
@adding@|@dodawanie@
@addition@|@dodatek, dodawanie@
@additional@|@dodatkowy@
@additionally@|@dodatkowo@
@additive@|@dodatek, przyprawa@
@addle@|@nieświeży, przyćmiony, zepsuty@
@addled@|@nieświerzy, otumaniony, zepsuty@
@address@|@adres, adresować, przemawiać, przemówienie@
@addressee@|@adresat, adresatka@
@adduce@|@powoływać się@
@adenoids@|@trzeci migdał, wyrośle adenoidalne@
@adept@|@biegły@
@adept (at/in sth)@|@biegły (w czymś)@
@adequacy@|@adekwantność@
@adequate@|@dostateczny, odpowiedni, właściwy, wystarczający@
@adequately@|@dostatecznie, odpowiednio, wystarczająco@
@adhension@|@aprobata, poparcie@
@adhere@|@przylegać, stosować się@
@adherence@|@lgnięcie, przyleganie, przywieranie@
@adherence (to sth)@|@przestrzeganie (czegoś), stosownie (do czegoś)@
@adherent@|@przylegający, stronnik@
@adhesion@|@przyleganie@
@adhesive@|@lepki, lgnący, przylegajacy, substancja klejąca@
@adhesive tape@|@przylepiec, taśma klejąca@
@adieu@|@pożegnanie@
@adit@|@dostęp@
@adj@|@przymiotnik@
@adjacency@|@graniczenie, przyleganie@
@adjacent@|@przyległy, sąsiedni@
@adjectival@|@przymiotnikowy@
@adjective@|@przymiotnik@
@adjoin@|@przylegać (do czegoś), sąsiadować@
@adjoining@|@przyelgły, sąsiedni@
@adjourn@|@odraczać@
@adjournment@|@odroczenie@
@adjudge@|@rozstrzygać@
@adjudicate@|@rozsądzać, rozstrzygać@
@adjudication@|@osąd, werdykt, wyrok@
@adjudicator@|@juror, sędzia@
@adjunct@|@pomocnik, przydawka@
@adjust@|@dostosować (się), nastawić, wyregulować@
@adjustable@|@regulowany@
@adjustment@|@dostrojenie, poprawka, regulacja@
@administer@|@aplikować, dawać, zarządzać@
@administration@|@administracja, zarządzanie@
@administrative@|@administracyjny@
@administrator@|@administrator@
@admirable@|@godny podziwu, wspaniały@
@admirably@|@wspaniale@
@admiral@|@admirał@
@admiralty@|@admiralicja@
@admiration@|@podziw@
@admire@|@podziwiać@
@admirer@|@wielbiciel@
@admiringly@|@z podziwem@
@admiriring@|@pełen podziwu@
@admissibility@|@dopuszczalność@
@admissible@|@dopuszczalny@
@admission@|@opłata za wstęp, przyznanie się, wstęp@
@admit@|@przyznać się (do czegoś), przyznać że@
@admittance@|@wstęp@
@admitted@|@uznany@
@admittedly@|@bezsprzecznie, co prawda, niewątpliwie, trzeba przyznać że, wprawdzie@
@admixture@|@domieszka@
@admonish@|@karcić, upominać@
@admonition@|@upomnienie@
@admonitory@|@ostrzegawczy, upominający@
@ado@|@zamieszanie@
@adolescence@|@wiek dojrzewania@
@adolescent@|@młodociany, nastolatek, nieletni@
@adopt@|@adoptować, przyjmować@
@adopted@|@adoptowany@
@adoption@|@adopcja@
@adoptive@|@przybrany@
@adorable@|@cudowny, godny podziwu, rozkoszny, uroczy@
@adoration@|@adoracja, uwielbienie@
@adore@|@uwielbiać@
@adorer@|@wielbiciel@
@adorn@|@ozdabiać, zdobić@
@adornment@|@ozdoba, zdobienie@
@adrenalin@|@adrenalina@
@adrift@|@dryfować, na fali@
@adroit@|@pomysłowy, sprytny, zręczny@
@adroitly@|@sprytnie, zręcznie@
@adroitness@|@pomysłowość, spryt, zręczność@
@adsurdly@|@absurdalnie, niedorzecznie@
@adulate@|@przypochlebiać się, schlebiać@
@adulation@|@pochlebstwo, przypochlebianie się, schlebianie@
@adulator@|@pochlebca@
@adulatory@|@schlebiający@
@adult@|@dojrzały, dorosły@
@adulterate@|@fałszować, oszukiwać@
@adulteration@|@fałszowanie@
@adulterer@|@cudzołożnik@
@adultery@|@cudzołóstwo@
@adulthood@|@dorosłość@
@adultress@|@cudzołożnica@
@adumbrate@|@naszkicować, zapowiedzieć@
@adumbration@|@szkic, zapowiedź@
@adv@|@przyszłówek@
@advance@|@awansować, posuwać się naprzód, robić postępy@
@advanced old age@|@późna starość@
@advance-guard@|@straż przednia@
@advancement@|@posunięcie naprzód@
@advantage@|@korzyść, przewaga, zaleta@
@advantageous@|@korzystny@
@Advent@|@Adwent@
@adventitious@|@przygodny, przypadkowy@
@adventure@|@przygoda@
@adventurer@|@awanturnik, poszukiwacz przygód@
@adventuress@|@awanturnica@
@adventurous@|@awanturniczy, ryzykowny, śmiały@
@adverb@|@przysłówek@
@adverbial@|@przysłówkowy@
@adversary@|@przeciwnik@
@adverse@|@niechętny, przeciwny@
@adversity@|@niepomyślność, nieszczęście@
@advertise@|@obwieszczać, ogłaszać, reklamować@
@advertisement@|@obwieszczenie, ogłoszenie, reklama@
@advertising@|@reklama, reklamowanie@
@advice@|@rada@
@advisable@|@roztropny, słuszny@
@advise@|@radzić@
@advised@|@przemyślany, rostropny@
@advisedly@|@mądrze, roztropnie@
@adviser@|@doradca@
@advisory@|@doradczy@
@advocacy@|@obrona@
@advocate@|@adwokat, orędownik@
@aegis@|@egida@
@aeon@|@eon, wieczność@
@aerate@|@gazować (wodę), wietrzyć@
@aerial@|@powietrzny@
@aerie@|@orle gniazdo@
@aerobatics@|@akrobatyka (powietrzna), ewolucje@
@aerobics@|@aerobik@
@aerodrome@|@lotnisko@
@aerodynamics@|@aerodynamika@
@aeronautic(al)@|@aeronautyczny@
@aeronautics@|@aeronautyka@
@aeroplane@|@samolot@
@aerostatics@|@aerostatyka@
@aery@|@orle gniazdo@
@aesthete@|@esteta@
@aesthetics@|@estetyka@
@afar@|@w oddali@
@affability@|@uprzejmość@
@affable@|@grzeczny, uprzejmy@
@affair@|@interes, przedsięwzięcie, sprawa@
@affect@|@dotyczyć, oddziaływać, pzować, udawać@
@affectation@|@afektacja, pozowanie, sztuczność, udawanie@
@affected@|@afektowany, sztuczny, usposobiony@
@affecting@|@wzruszający@
@affection@|@afekt, miłość, przywiązanie, schorzenie, uczucie@
@affectionate@|@kochajacy, przywiązany@
@affectionately@|@czule, tkliwie, z miłością@
@affiliate@|@przyjmować w poczet członków@
@affiliation@|@przynależność@
@affinity@|@pokrewieństwo, powinowactwo@
@affirm@|@twierdzić, utrzymywać, zaręczać@
@affirmation@|@oświadczenie, twierdzenie@
@affirmative@|@twierdzący@
@affix@|@dodać, dołączyć@
@afflict@|@dotknąć (chorobą), zesłać (nieszczęście)@
@afflicted@|@chory, dotknięty (nieszczęściem)@
@afflicting@|@bolesny, zasmucajacy@
@affliction@|@nieszczęście, schorzenie@
@affluence@|@dostatek@
@affluent@|@dostatni, zasobny@
@afflux@|@napływ, przypływ@
@afford@|@dostarczyć, pozwolić sobie@
@afforest@|@zalesiać@
@affranchise@|@wyzwolić@
@affray@|@awantura, burda@
@affront@|@obraza, zniewaga, znieważyć@
@affrucate@|@afrykatka@
@afloat@|@na morzu, na okręcie, na statku, na wodzie@
@afoot@|@piechotą, pieszo@
@afore@|@na dziobie@
@afore-mentioned@|@wyżej wymieniony@
@afore-thought@|@ukartowany@
@afraid@|@przestraszony, w strachu@
@afresh@|@na nowo@
@African@|@Afrykanin, afrykański@
@aft@|@na rufie@
@after@|@po, za@
@after-crop@|@poplon@
@after-deck@|@rufa@
@after-effects@|@konsekwencje, następstwa@
@aftermath@|@następstwa@
@after-mentioned@|@wymieniony poniżej@
@afternoon@|@popołudnie@
@after-taste@|@posmak@
@afterthought@|@namysł, zastanowienie@
@afterward(s)@|@następnie, potem, później@
@afterwards@|@potem@
@again@|@ponownie, znowu@
@against@|@przeciw@
@agape@|@z otwartymi ustami@
@agate@|@agat@
@agave@|@agawa@
@age@|@wiek@
@aged@|@sędziwy@
@ageing@|@podstarzały, starzenie się@
@agency@|@agencja, filia, oddział, pośrednictwo@
@agenda@|@porządek dzienny, program@
@agent@|@agent, pośrednik, przedstawiciel@
@agglomerate@|@aglomerat, nagromadzić@
@agglomeration@|@aglomeracja, nagromadzenie@
@agglutinate@|@zlepić@
@agglutination@|@zlepienie@
@aggrandize@|@powiększyć, przesadzić@
@aggrandizement@|@powiększenie, przesada, przesadzenie@
@aggravate@|@pogorszyć, zdnerwować, zirytować@
@aggravation@|@irytacja, pogorszenie, zdenerwowanie@
@aggregate@|@połączyć, zebrać@
@aggregation@|@skupienie, skupisko@
@aggression@|@agresja, napaść@
@aggressive@|@agresywny, napastliwy@
@aggressor@|@agresor, napastnik@
@aggrieve@|@zasmucać@
@aghast@|@osłupiały, zdumionym przerażony@
@agile@|@zręczny, zwinny@
@agility@|@zręczność, zwinność@
@agitate@|@agitować, poruszać, wstrząsać@
@agitated@|@poruszony, wstrząśnięty, wzruszony@
@agitating@|@podniecający, wstrząsający, wzruszający@
@agitation@|@agitacja, poruszenie, wzruszenie@
@agitator@|@agitator@
@aglow@|@płonący, promieniejący, rozpalony, w ogniu@
@agnostic@|@agnostyk@
@agnosticism@|@agnostycyzm@
@ago@|@...temu, przed@
@agog@|@w napięciu@
@agonise@|@cierpieć męczarnie@
@agonize@|@cierpieć męczarnie@
@agonizing@|@bolesny, dręczący@
@agony@|@agonia, katusze, męczarnie@
@agrarian@|@agrariusz, agrarny@
@agree@|@podzielać zdanie, zgodzić się@
@agreeable@|@zgodny@
@agreed@|@uzgodniony@
@agreement@|@porozumienie, układ, umowa@
@agression@|@agresja@
@agricultural@|@rolniczy@
@agriculture@|@rolnictwo@
@agronomist@|@agronom@
@agronomy@|@agronomia@
@ah@|@ach!@
@ahead@|@na czele, na przodzie, z przodu@
@aid@|@pomagać, pomoc, pomóc@
@aide-de-camp@|@adiutant@
@ail@|@dolegać@
@aileron@|@lotka@
@ailment@|@dolegliwość@
@aim@|@cel, celować@
@aimless@|@bezcelowy@
@air@|@aria, melodia, mina, postawa, powietrze@
@air raid@|@nalot bombowy@
@air-base@|@baza lotnicza@
@air-bladder@|@pęcherzyk powietrza@
@air-borne@|@transportowany drogą lotniczą@
@air-brake@|@hamulec pneumatyczny@
@air-brick@|@pustak@
@air-bump@|@dziura powietrzna, pompa powietrzna, próżnia@
@air-cell@|@pęcherzyk powietrza@
@air-chamber@|@dętka rowerowa@
@air-conditioned@|@klimatyzowany@
@air-conditioning@|@klimatyzacja@
@air-cooled@|@chłodzony powietrzem@
@aircraft@|@samolot@
@air-cushion@|@poduszka powietrzna@
@air-defense@|@obrona przeciwlotnicza@
@airfield@|@lotnisko@
@air-gun@|@wiatrówka@
@air-hole@|@otwór wentylacyjny@
@airiness@|@bestroska, dobra wentylacja, niedbałość@
@air-lift@|@most powietrzny@
@air-line@|@linia lotnicza@
@airly@|@beztrosko, lekko, niedbale@
@airman@|@lotnik@
@air-passages@|@drogi oddechowe@
@airplane@|@samolot@
@airport@|@aeroport, lotnisko@
@airscrew@|@śmigło@
@air-shaft@|@szyb wentylacyjny@
@air-sickness@|@choroba powietrzna@
@air-tight@|@hermetyczny@
@airy@|@beztroski, niedbały, przewiewny@
@aisle@|@nawa boczna@
@aitchbone@|@kość krzyżowa, krzyżówka@
@ajar@|@uchylony@
@akin@|@pokrewny@
@alabaster@|@alabaster@
@alacrity@|@gotowość@
@alarm@|@alarm, sygnał ostrzegawczy@
@alarm-clock@|@budzik@
@alarming@|@zatrważający@
@alarmist@|@panikarz@
@alas@|@niestety@
@alb@|@komża@
@Albania@|@Albania@
@Albanian@|@Albańczyk, albański@
@albatross@|@albatros@
@albeit@|@aczkolwiek, chociaż@
@albino@|@albinos@
@album@|@album@
@albumen@|@albumina, białko@
@alchemist@|@alchemik@
@alchemy@|@alchemia@
@alcohol@|@alkohol@
@alcoholic@|@alkoholik, alkoholowy@
@alcoholism@|@alkoholizm@
@alcoholize@|@alkoholizować@
@alcove@|@alkowa, altanka@
@aldehyde@|@aldehyd@
@alder@|@olcha@
@alderman@|@radny miejski@
@ale@|@piwo (angielskie)@
@ale-house@|@piwiarnia@
@alert@|@alarm, czujny@
@alertness@|@czujność@
@alfalfa@|@lucerna@
@alfresco@|@na świeżym powietrzu@
@alga@|@alga, wodorost@
@algebra@|@algebra@
@algebraic@|@algebraiczny@
@Algerian@|@Algierczyk, algierski@
@alias@|@pseudonim, vel@
@alibi@|@alibi@
@alien@|@cudzoziemski, obcy, odmienny@
@alienate@|@zrazić@
@alienation@|@alienacja, odstręczenie, zrażenie@
@alienist@|@psychiatra@
@alight@|@płonący, zapalony, zeskakiwać, zsiadać@
@align@|@ustawiać w szeregu, wyrównywać@
@alignment@|@ustawienie w szeregu, wyrównanie@
@alike@|@jednakowy, podobny@
@aliment@|@pokarm, pożywienie@
@alimentary@|@odżywczy, pożywny@
@alimentation@|@pożywienie, wyżywienie@
@alimony@|@alimentacja, alimenty@
@aliquot@|@podzielnik@
@alive@|@żyjący, żywy@
@alkali@|@zasada@
@alkaline@|@alkaliczny, zasadowy@
@alkaloid@|@alkaloid@
@all@|@cały, wszyscy, wszystko@
@allay@|@uciszyć, uśmierzyć@
@allegation@|@twierdzenie, zarzut@
@allege@|@powoływać się, twierdzić@
@alleged@|@domniemany, przypuszczalny, rzekomy@
@allegiance@|@posłuszeństwo, wierność@
@allegoric(al)@|@alegoryczny@
@allegory@|@alegoria@
@allergic@|@alergiczny@
@allergy@|@alergia, uczulenie@
@alleviate@|@ulżyć@
@alleviation@|@ulga, złagodzenie@
@alley@|@aleja, uliczka, zaułek@
@alliance@|@przymierze, sojusz@
@allied@|@pokrewny, sprzymierzony@
@alligator@|@aligator@
