@English@|@Portuguese@
@accommodate@|@acomodar (v. t.)@
@accommodation@|@acomodação (f.), aposento@
@accompaniment@|@acompanhamento@
@accompany@|@acompanhar (v.)@
@accomplice@|@cúmplice@
@accomplish@|@realizar (v.), realize@
@accord@|@acordo@
@accordion@|@acordeão@
@account@|@cliente@
@accountant@|@contabilista@
@accredit@|@acredite@
@accumulate@|@acumular (v.), amontoar (v.)@
@accumulate of stocks@|@abarcar (v.)@
@accumulator@|@acumulador@
@accuracy@|@exatidão@
@accurate@|@exato@
@accuse@|@acusar (v.), arguir (v. t. i.), culpar (v.)@
@accustom@|@acostumar (v.), acostume, habituar (v.)@
@acetate@|@acetato@
@acetone@|@acetona@
@acetylene@|@acetileno@
@ache@|@doer (v.)@
@acid@|@ácido@
@acknowledge@|@admitir (v.), conhencer (v.), reconheça@
@acknowledgement@|@reconhecimento@
@acorn@|@bolota@
@acoustic@|@acústico (v.)@
@acoustics@|@acústica@
@acquaintance@|@conhecimento@
@acquiesce@|@aquiescer (v.)@
@acquire@|@adquira, adquirir (v.), obter (v.)@
@acquisition@|@aquisição@
@acquit@|@absolver (v.), descriminar (v.)@
@acronym@|@acrônimo@
@across@|@através de@
@across from@|@contra@
@act@|@actuar (v. i.), agir (v.), ato, atuar (v.), fazer (v.)@
@act as a lawyer@|@advogar (v.)@
@action@|@acão, ação, accão, acção, façanha@
@activate@|@ativar (v.)@
@active@|@ativo@
@activist@|@activista@
@activity@|@acão, accão, acção, atividade@
@actor@|@actor, ator@
@actress@|@actriz, atriz@
@actual@|@real@
@actually@|@realmente@
@actuary@|@actuário@
@actuate@|@actuar (v. i.)@
@acute@|@agudo@
@ad@|@anúncio@
@adapt@|@adapte, ajustar (v. t.)@
@adaptation@|@adaptação@
@adapter@|@adaptador@
@adaptor@|@adaptador@
@add@|@acrescentar (v.), adicionar (v.), adicione, agregar (v.), aumentar (v.), somar (v.)@
@addition@|@adição@
@additional@|@adicionais (pl.), adicional@
@address@|@endereço@
@addressee@|@destinatário@
@adept@|@perito@
@adequate@|@adequado@
@adhere@|@aderir (v.), colar (v.)@
@adherents@|@aderente@
@adhesion@|@adesão@
@adieu@|@adeus@
@adjacent@|@adjacente@
@adjectival@|@adjetival@
@adjective@|@adjetivo@
@adjoin@|@ser contíguo com@
@adjust@|@adequar (v.), ajustar (v. t.), concertar (v.)@
@administer@|@administre@
@administration@|@administração@
@administrative@|@administrativo@
@administrator@|@administrador@
@admiral@|@almirante@
@admire@|@admirar (v.)@
@admirer@|@admirador@
@admit@|@admitir (v.)@
@admonish@|@admoestar (v.)@
@ado@|@ruído@
@adopt@|@adoptar (v.), adotar (v.), adote@
@adore@|@adorar (v.)@
@adorn with flags@|@abandeirar (v. t.), embandeirar (v. t.)@
@adrenaline@|@adrenalina@
@Adriatic@|@Adriático@
@adult@|@adulto@
@adulterate@|@adulterar (v.)@
@advance@|@adiantar (v.), andar (v.), avançar (v.), avanço@
@advantage@|@vantagem@
@advantageous@|@vantajoso@
@adventure@|@aventura@
@adverb@|@advérbio@
@adversary@|@adversário@
@advertise@|@anunciar (v.)@
@advertisement@|@anúncio, propaganda@
@advice@|@conselho@
@advisable@|@aconselhável@
@advise@|@acautelar (v. t. r.), aconselhar (v.), recomende@
@advocate@|@advogado@
@aerate@|@ventile@
@aeroplane (UK)@|@avião@
@affair@|@assunto, caso@
@affect@|@afectar (v.)@
@affection@|@afeição@
@affiliate@|@afiliar (v.), filial@
@affinity@|@afinidade@
@affirm@|@afirmar (v.)@
@affix@|@afixar (v.)@
@afflict@|@afligir (v. t. r.), desconsolar (v.)@
@Afghanistan@|@Afeganistão@
@afraid@|@receoso@
@Africa@|@África@
@African@|@Africano@
@after@|@depois, em seguida, trás@
@afternoon@|@tarde@
@afterwards@|@mais tarde@
@again@|@ainda, de de novo, outra vez@
@against@|@contra, de de encontro@
@agar@|@ágar (v.)@
@age@|@envelhecer (v.), idade@
@agency@|@agência@
@agenda@|@agendas@
@agent@|@agente@
@agglomerate@|@aglomerado, aglomerar (v.)@
@agglutinate@|@aglutinar (v.)@
@aggravate@|@agravar (v.)@
@aggregate@|@agregado@
@aggressor@|@agressor@
@agitate@|@agitar (v.)@
@agonize@|@agonizar (v.)@
@agony@|@agonia@
@agree@|@acostar (v.), ajustar (v. t.), concordar (v.), concorde, convir (v.), pactuar (v.)@
@agreement@|@acordo, ajuste (m.)@
@agriculture@|@agricultura@
@agriculturist@|@agricultor@
@ahead@|@adiante, antes, diante@
@aid@|@ajudar (v.)@
@aide-de-camp@|@aide-de-acampamento@
@aim@|@alvo, mirar (v.)@
@aim at@|@visar (v.)@
@air@|@abanar (v. t. i. r.), ar (v.), arejar (v.)@
@air-conditioning@|@condicionamento de ar@
@aircraft@|@avião@
@airfield@|@aeródromo@
@airline-pilot@|@linha-piloto@
@air-mail@|@correio aéreo@
@airplane (US)@|@avião@
@air-pollution@|@poluição atmosférica@
@airport@|@aeroporto@
@air-ship@|@dirigível@
@alarm@|@alarmar (v.), alarme@
@alarm clock@|@despertador@
@Albania@|@Albânia@
@alcohol@|@álcool@
@alcoholic@|@alcoólico@
@alderman@|@vereador@
@ale@|@cerveja@
@alert@|@alerta, alertar (v.)@
@algebra@|@álgebra@
@Algeria@|@Algéria, Argélia@
@Algiers@|@Argel@
@algorithm@|@algoritmo@
@alien@|@estrangeiro@
@alienate@|@alienar (v.)@
@alive@|@vivo (adj.)@
@all@|@todo, tudo@
@all the same@|@apesar de (prep.)@
@alledge@|@supor (v. t.)@
@allege@|@alegar (v.)@
@allegedly@|@alegada@
@alleviate@|@aliviar (v.), suavizar (v.)@
@alley@|@aléia, beco@
@alligator@|@jacaré@
@allot@|@distriba@
@allow@|@permitir (v.), reserve@
@alloy@|@liga@
@alloy (metals)@|@ligar (v. t.)@
@allude@|@aludir (v.)@
@allure@|@aliciar (v. t.)@
@alluring@|@fascinante@
@almond@|@amêndoa@
@almost@|@quase@
@alone@|@só, sozinho@
@along@|@ao longo@
@alongside@|@ao lado de@
@alp@|@alpes@
@alphabet@|@alfabeto@
@Alps@|@alpes@
@already@|@já@
@Alsace@|@Alsácia@
@Alsace-Lorraine@|@Alsácia-Lorena@
@also@|@mais, também, tambén@
@alter@|@altere@
@alternate@|@alternar (v.), substituição@
@alternative@|@alternativa@
@although@|@ainda que, embora, não obstante@
@altitude@|@altitude, altura@
@altogether@|@completamente, tudo@
@aluminium (UK)@|@alumínio@
@aluminum (US)@|@alumínio@
@always@|@sempre@
@amateur@|@amador@
@amaze@|@abismar (v. t.), espantar (v. t.), espante@
@amazing@|@supreendente (adj.)@
@Amazon@|@Amazonas@
@ambassador@|@embaixador@
@ambition@|@ambição@
@ambitious@|@ambicioso@
@ambulance@|@ambulância@
@amend@|@emendar (v.)@
@America@|@América@
@American@|@Americano@
@amidst@|@entre@
@ammunition@|@munição@
@among@|@entre@
@amortize@|@amortizar (v.)@
@amount@|@soma, uma quantidade@
@ampere@|@ampère@
@ample@|@amplo@
@amplify@|@amplificar (v.)@
@amputate@|@amputar (v.), ampute@
@Amsterdam@|@Amsterdão@
@amuse@|@divertir (v.), recrear (v.)@
@amusement@|@divertimento, prazer (m.)@
@analyse (UK)@|@analisar (v.)@
@analysis@|@análise@
@analytic@|@analítico@
@analytical@|@analítico@
@analyze (US)@|@analisar (v.)@
@anchor@|@âncora, ancorar (v.), escora@
@anchovy@|@anchova@
@ancient@|@antigo@
@and@|@e@
@angel@|@anjo@
@anger@|@raiva@
@angle@|@ângulo@
@angry@|@irritado@
@animal@|@animal@
@Ankara@|@Ancara@
@ankle@|@tornozelo@
@annex@|@anexar (v.)@
@annotation@|@anotação@
@announce@|@anunciar (v.)@
@announcement@|@anúncio@
@announcer@|@anunciador@
@annoy@|@aborrecer (v.), irritar (v.), irrite@
@annual@|@anual@
@annul@|@anular (v.), cassar (v.), revocar (v. t.), revogar (v. t.)@
@anoint@|@ungir (v. t.)@
@another@|@outro, outros@
@answer@|@responder (v.), resposta, tornar (v. t. i. r.)@
@ant@|@formiga@
@antagonize@|@hostilizar (v.)@
@antelope@|@antílope@
@antenna@|@antena@
@anthropologist@|@antropólogo@
@anticipate@|@antecipar (v.), antecipe@
@anti-freeze@|@anticongelante@
@Antilles@|@Antilhas@
@antique@|@antigo@
@Antwerp@|@Antuérpia@
@anvil@|@batente@
@anxious@|@ansioso@
@anxiously@|@ansiosamente@
@any@|@algum, alguns, quemquer (v.)@
@anybody@|@qualquer um (v.)@
@anything@|@algo, qualquer coisa (v.)@
@anywhere@|@em qualquer lugar@
@apart@|@distante@
@apartment@|@apartamento@
@ape@|@macaco@
@ape-like@|@macaco-como@
@aperture@|@abertura@
@apologize@|@desculpe-se@
@apology@|@satisfação@
@apostrophe@|@apóstrofe@
@apparatus@|@aparelho, instrumento@
@apparent@|@aparente@
@apparently@|@aparentemente, evidentemente@
@appeal@|@apelação, apelar (v.), recorrer (v.)@
@appear@|@apareça, aparecer (v.), comparecer (v.), figurar (v.), surgir (v.)@
@appear for the first time in public@|@debutar (v.)@
@appearance@|@aparência@
@appease@|@sossegar (v.)@
@appellation@|@nome@
@appendix@|@apêndice@
@appetite@|@apetite@
@applaud@|@aplauda, aplaudir (v.)@
@apple@|@maçã@
@apple tree@|@macieira@
@applicant@|@pretendente@
@application@|@aplicação@
@apply@|@aplicar (v.)@
@appoint@|@aponte@
@appointment@|@compromisso, nomeação@
@appraise@|@apreçar (v.), apreciar (v. t.), avaliar (v.), orçar (v.)@
@appraiser@|@avaliador@
@appreciate@|@apreciar (v. t.)@
@apprehend@|@apreender (v.)@
@approach@|@abeirar (v. t. r.), abordar (v.), acercar (v. t. r.), achegar (v. t. r.), aproximação, aproximar (v.), chegar (v.)@
@appropriate@|@apropriado, apropriar (v.)@
@appropriately@|@apropriadamente@
@approval@|@aprovação (f.)@
@approve@|@approvar (v. t.), aprovar (v.), sancionar (v. t.)@
@approximate@|@achegar (v. t. r.), aproximado, aproximar (v.), aproxime@
@approximately@|@aproximadamente, cerca@
@apricot@|@alperce, Damasco@
@April@|@Abril@
@apron@|@avental@
@aptitude@|@aptidão@
@aquarium@|@aquário@
@aquatic@|@aquático@
@Arab@|@Árabe@
@Arabia@|@Arábia@
@Arabic@|@Árabe@
@arbiter@|@árbitro@
@arbitrarily@|@arbitrariamente@
@arbitrary@|@arbitrário@
@arbitrator@|@árbitro@
@arbor@|@mandril@
@arc@|@arco@
@arch-@|@arco@
@archipelago@|@arquipélago@
@architect@|@arquiteto@
@archive@|@arquivo@
@archives@|@arquivos@
@Arctic@|@Ártico@
@ardor@|@ardor (m.)@
@ardor (US) (fig.)@|@chama@
@ardour (UK) (fig.)@|@chama@
@area@|@área@
@Argentina@|@Argentina@
@Argentinian@|@argentino@
@argue@|@arguir (v. t. i.), argumentar (v.), discuta, discutir (v.)@
@arise@|@aflorar (v.), levantar (v. t. i. r.), nascer (v.)@
@arithmetic@|@aritmética@
@arm@|@braço@
@arm chair@|@poltrona@
@armchair@|@poltrona@
@arm-chair@|@poltrona@
@Armenia@|@Arménia@
@army@|@exército@
@around@|@em torno, por volta de@
@arouse@|@desperte@
@arrange@|@ajeitar (v.), arranjar (v.), arranje, arrumar (v.)@
@arrangement@|@ajuste (m.), arranjo@
@arrears@|@atrasos@
@arrest@|@apreensão@
@arrival@|@chegada@
@arrive@|@chegar (v.), chegue, vir (v.)@
@arrive at@|@atingir (v.), chegar (v.)@
@arrive at the brink@|@abeirar (v. t. r.)@
@arrogant@|@arrogante@
@arrow@|@seta@
@art@|@arte@
@artery@|@artéria@
@artichoke@|@alcachofra@
@article@|@artigo, objecto@
@articulate@|@articular (v.)@
@artillery@|@artilharia@
@artist@|@artista@
@artistic@|@artístico@
@as@|@como, quão, tão@
@as far as@|@até@
@as much@|@tão@
@ascend@|@alar (v.), ascender (v.)@
@ascertain@|@verificar (v.)@
@ash@|@cinza, freixo@
@ash-tray@|@cinzeiro@
@Asia@|@Ásia@
@Asian@|@asiático@
@ask@|@pedir (v. t.), perguntar (v.), rogar (v.)@
@ask for@|@pedir (v. t.), rogar (v.)@
@asparagus@|@espargo, espargos@
@aspect@|@aspecto@
@aspen@|@álamo tremedor@
@asphalt@|@asfalto@
@aspirin@|@aspirina@
@ass@|@burro@
@assail@|@acometer (v. t. i.), vaiar (v. t. i.)@
@assailant@|@assaltante@
@assassinate@|@assassinar (v.)@
@assault@|@acometer (v. t. i.), assaltar (v.), assalto@
@assay@|@ensaiar (v.)@
@assemble@|@montar (v.), monte@
@assembler@|@ajuntador@
@assembly@|@conjunto, montagem (f.), reunião@
@assent@|@anuir (v.), assentir (v.), consentir (v.)@
@assert@|@afirme@
@assessment@|@avaliação@
@asset@|@recurso@
@assets@|@recursos@
@assign@|@atribua, designar (v.)@
@assigned job@|@tarefa@
@assignment@|@tarefa@
@assimilate@|@assimilar (v.)@
@assist@|@ajudar (v.), assessorar (v.), assistência, auxiliar (v.)@
@assistance@|@ajuda, assisténcia, auxilio@
@assistant@|@assistente@
@associate@|@associado, associar (v.)@
@association@|@associação@
@assume@|@assumir (v.), supor (v. t.), tomar (v.)@
@Assumption@|@Suposição@
@assure@|@assegure@
@asterisk@|@asterisco@
@astonish@|@abismar (v. t.), espantar (v. t. i. r.), maravilhar (v.), pasmar (v.), supreender (v.)@
@astonishing@|@supreendente (adj.)@
@astronaut@|@astronauta@
@astronomer@|@astrónomo@
@astronomy@|@astronomia@
@Asturias@|@Astúrias@
@at@|@em, na, no, pela, pelas (f. pl.), pelo, pelos (m. pl.)@
@at last@|@finalmente@
@at night@|@à noite@
@at once@|@directamente@
@at present@|@agora, ora@
@at times@|@às vezes@
@Athens@|@Atenas@
@athlete@|@atleta@
@athletic@|@atlético@
@Atlantic@|@Atlântico@
@Atlantic Ocean@|@Atlântico@
@atmosphere@|@atmosfera@
@atom@|@átomo@
@atomic@|@atômico@
@atone@|@satisfazer (v. t.)@
@atrophy@|@atrofiar (v.)@
@attach@|@anexo, prender (v. t.)@
@attachment@|@acessório@
@attack@|@acometer (v. t. i.), agredir (v.), atacar (v.), ataque, impugnar (v. t.)@
@attacker@|@atacante@
@attain@|@adquirir (v.), alcance, atingir (v.), obter (v.)@
@attempt@|@acometer (v. t. i.), esforço, provar (v.), tentar (v.), tentativa@
@attempt against@|@atentar (v.)@
@attend@|@assistir (v.), atenda, seguir (v.)@
@attend a course@|@cursar (v.)@
@attend to@|@olhar (v. t.), ver (v. t. i. r.)@
@attendant@|@assistente@
@attention@|@atenção@
@attenuate@|@atenuar (v.), atenue, remediar (v.)@
@attest@|@ateste@
@Attic@|@Sótão@
@attitude@|@atitude@
@attract@|@aliciar (v. t.), atraia, atrair (v.)@
@attraction@|@atração@
@attractive@|@atrativo@
@attribute@|@atribuir (v.), atributo@
@aubergine (UK)@|@beringela@
@auction@|@leiloar (v.)@
@audience@|@audiências@
@audit@|@exame@
@auditor@|@revisor de contas@
@augment@|@aumente@
@August@|@Agosto@
@aunt@|@tia@
@Australia@|@Austrália@
@Austria@|@Áustria@
@Austrian@|@austríaco@
@author@|@autor@
@authority@|@autoridade, poder (m.)@
@authorization@|@autorização@
@authorize@|@autorizar (v.), autorize, facultar (v.)@
@automate@|@automatizar (v. t.)@
@automatic@|@automático@
@automobile@|@automóvel@
@autonomous@|@autônomo@
@autumn@|@outono@
@available@|@disponível@
@avenue@|@avenida@
@average@|@média@
@avert@|@afastar (v. t.)@
@aviation@|@aviação@
@aviator@|@aviador@
@avoid@|@evitar (v.), evite@
@await@|@esperar (v.), espere@
@awake@|@acorde, despertar (v.)@
@awaken@|@acordar (v.)@
@award@|@agraciar (v.)@
@award a title@|@titular (v.)@
@aware@|@ciente@
@awareness@|@consciência@
@away@|@afastado, longe@
@awful@|@terrível@
@awkward@|@inábil@
@axe@|@machado@
@axis@|@eixo, linha central@
@axle@|@eixo@
@Azores@|@Açores@
@baboon@|@babuíno@
@baby@|@bebê@
@back@|@dorso, parte traseira@
@background@|@fundo@
@backside@|@parte traseira@
@backslide@|@reincidir (v.)@
@backspace@|@retrocesso@
@backup@|@apoio@
@backward@|@para trás@
@backwards@|@para trás@
@bacon@|@toicinho, toucinho@
@bacterium@|@bactéria@
@bad@|@mau@
@bad habit@|@vezo@
@badge@|@emblema@
@badger@|@texugo@
@badly@|@mal@
@bag@|@saco@
@baggage@|@bagagem@
@Baghdad@|@Bagdade@
@bake@|@assar (v.), coza@
@baker@|@padeiro@
@bakery@|@padaria@
@balance@|@abalançar (v. t. r.), balançar (v.), balancear (v.), contrapeso, equilibrar (v.)@
@balcony@|@balcão@
@Balkans@|@Balcãs@
@ball@|@esfera@
@ballast@|@reator@
@balloon@|@balão@
@Baltic@|@Báltico@
@Baltic Sea@|@Báltico@
@bamboo@|@bambu@
@band@|@faixa@
@bandage@|@ligar (v. t.)@
@bandit@|@bandido@
@bang@|@estrondo@
@Bangkok@|@Banguecoque@
@banish@|@banir (v.), expulsar (v.)@
@bank@|@banco, margem@
@banknote@|@nota de banco@
@bank-note@|@nota de banco@
@bankrupt@|@falido@
@banner@|@bandeira@
@bar@|@barra, barrar (v.)@
@barbed-wire@|@arame (m.)@
@barber@|@barbeiro, cabeleireiro@
@bare@|@desencapado, nu@
@barely@|@apenas, mal@
@bargain@|@negócio@
@barge@|@barca@
@bark@|@casca, ladrar (v.), latir (v.)@
@barley@|@cevada@
@barn@|@celeiro@
@barometer@|@barómetro@
@barracks@|@quartel@
@barrel@|@tambor@
@barrier@|@barreira@
@bartender@|@bárman@
@base@|@basear (v.), fundamentar (v.)@
@Basel@|@Basileia@
@basement@|@cave, porão, subsolo@
@basic@|@básico@
@basin@|@bacia, tejela@
@basis@|@base@
@basket@|@cesta, cesto@
@bass@|@baixo@
@bat@|@bastão@
@bath@|@banho@
@bathe@|@banhar (v. t. r.)@
@bathroom@|@banheiro@
@baton@|@vara@
@battery@|@bateria@
@battle@|@batalha, batalhar (v.)@
@bawl@|@berrar (v.)@
@bay@|@baía, vão@
@bayonet@|@baioneta@
@be@|@estar (v. i.), ficar (v. i.), ser (v. i.), ser (v.)@
@be a refugee@|@acorrer (v.)@
@be able@|@poder (v. t.)@
@be acquainted with@|@conhencer (v.)@
@be afraid@|@amedrontar (v. t. r.)@
@be afraid of@|@recear (v.), temer (v.)@
@be allowed@|@poder (v. t.)@
@be appropriate@|@caber (v.)@
@be ashamed@|@acanhar (v. t. i. r.)@
@be asleep@|@dormir (v.)@
@be astonished@|@abismar-se (v. i. r.)@
@be born@|@nascer (v.)@
@be called@|@chamar-se (v.)@
@be careful@|@desvelar-se (v. r.)@
@be contained@|@caber (v.)@
@be deceptive@|@enganar (v.)@
@be delirious@|@delirar (v.)@
@be distracted@|@desvairar (v. t. i.)@
@be enough@|@bastar (v.)@
@be enraptured (fig.)@|@embriagar-se (v. r.)@
@be equivalent@|@equivaler (v.)@
@be even@|@nivelar (v. t.)@
@be fond of@|@amar (v.), gostar (v.), querer (v.)@
@be in danger@|@perigar (v.)@
@be in debt@|@dever (v. t. i.)@
@be inattentive@|@desatender (v.)@
@be left over@|@sobrar (v. i.)@
@be located@|@ficar (v. i.)@
@be loose@|@abanar (v. t. i. r.)@
@be loved@|@ser amado (v.)@
@be married@|@casar-se (v.)@
@be named@|@chamar-se (v.)@
@be obvious@|@ver (v. t. i. r.)@
@be on fire@|@abrasar (v. i. r.)@
@be permitted@|@poder (v. t.)@
@be pleasant@|@prazer (v. i.)@
@be quiet@|@calar-se (v.), sossegar (v.)@
@be repugnant@|@repugnar (v. t. i.)@
@be satiated@|@fartar (v.)@
@be shipwrecked@|@naufragar (v.)@
@be shy@|@acanhar (v. t. i. r.)@
@be silent@|@calar (v.)@
@be similar@|@assemelhar (v.)@
@be situated near the border of@|@beirar (v.)@
@be slow@|@atrasar (v.)@
@be successful@|@vencer (v.)@
@be suitable@|@caber (v.)@
@be superfluous@|@sobrar (v. i.)@
@be suspended@|@pender (v. i.)@
@be taken ill@|@achacar (v. t. r.)@
@be thankful@|@agradecer (v.)@
@be valid@|@valer (v.)@
@beach@|@praia@
@bead@|@grânulo@
@beak@|@bico@
@beam@|@feixe, madeiro@
@bean@|@fava, feijão@
@bear@|@padecer (v.), sustentar (v. t.), urso@
@bear fruit@|@frutificar (v.)@
@beard@|@barba@
@bearing@|@rolamento@
@beast@|@besta@
@beat@|@açoitar (v.), bater (v.), pulsar (v.)@
@beautiful@|@belo, bonito, formoso@
@beautifully@|@belamente@
@beauty@|@beleza@
@beaver@|@castor@
@because@|@por cause de, porque@
@become@|@assentar (v. t.), chegar (v. i.), fazer-se (v. i.), ficar (v. t.), passar (v. i.), passar a ser (v. i.), ser (v. t.), ser próprio (v. t.), tornar (v. t. i. r.), tornar-se (v. i. r.)@
@become attached@|@afeiçoar (v.), apegar (v.)@
@become bourgeois@|@aburguesar (v. t. r.)@
@become clear@|@aclarar (v. t. i. r.)@
@become entangled@|@emaranhar (v.)@
@become excited@|@abrasar (v. i. r.)@
@become indebted@|@endividar (v.)@
@become jointly liable@|@solidarizar (v. r.)@
@become obvious@|@transparentar (v. i.)@
@become transparent@|@transparentar (v. i.)@
@become vacant@|@vagar (v.)@
@bed@|@cama@
@bee@|@abelha@
@beech@|@faia@
@beef@|@carne@
@bee-keeper@|@apicultor@
@beer@|@cerveja@
@beet@|@beterraba@
@beetle@|@besouro@
@before@|@antes, antes de@
@beg@|@implorar (v.), implore, mendigar (v.), pedir (v. t.), rogar (v.)@
@beggar@|@mendigo, pedinte@
@begin@|@abrir (v. t.), começar (v.), comece, iniciar (v.)@
@beginner@|@novato@
@beginning@|@começo, princípio@
@behave@|@andar (v.), comporte-se@
@behavior (US)@|@comportamento, conduta@
@behaviour (UK)@|@comportamento, conduta@
@behead@|@guilhotinar (v.)@
@behind@|@atrás de, trás@
@behold@|@olhar (v. t.), ver (v. t. i. r.)@
@beige@|@bege@
@Beirut@|@Beirute@
@Belgian@|@Belga@
@Belgium@|@Bélgica@
@Belgrade@|@Belgrado@
@belief@|@opinião@
@believe@|@acreditar (v.), acredite, crer (v.), julgar (v.), pensar (v.)@
@bell@|@campainha, sino@
@belly@|@barriga, ventre@
@belong to@|@pertencer (v.)@
@below@|@abaixo, sob@
@belt@|@correia@
@bench@|@banco@
@bend@|@curvar (v.), flexionar (v.), inclinar (v. t. r.), pender (v. i.), volta@
@beneath@|@abaixo de, sob@
@Benedictine@|@Beneditino@
@benefit@|@beneficiar (v.), benefício@
@benign@|@benigno@
@bequeath@|@legar (v.)@
@Berlin@|@Berlim@
@Bern@|@Berna@
@berry@|@baga@
@beseech@|@pedir (v. t.)@
@beside@|@ao lado de@
@besides@|@adicionalmente, além de, além disso, alêm disso, demais@
@besiege@|@sitiar (v.)@
@best@|@melhor@
@bet@|@aposta, apostar (v.)@
@betray@|@atraiçoar (v.), trair (v. t. i.)@
@better@|@melhor@
@between@|@entre@
@beverage@|@bebida@
@beware@|@acautelar (v. t. r.)@
@beyond@|@além, além de@
@bias@|@inclinar (v. t. r.)@
@bibliography@|@bibliografia@
@bicycle@|@bicicleta@
@bid@|@oferta, rogar (v.)@
@big@|@grande@
@bike@|@bicicleta@
@bill@|@bico, bilhete, conta, factura@
@billion@|@bilhão@
@binary@|@binário@
@bind@|@enlaçar (v.), ligamento, ligar (v. t.)@
@binoculars@|@binóculos@
@biologist@|@biólogo@
@biology@|@biologia@
@birch@|@vidoeiro@
@bird@|@pássaro@
@birds@|@pássaros@
@birth@|@nascimento@
@birthday@|@aniversário@
@biscuit@|@biscoito@
@bison@|@bisonte@
@bit@|@bocado@
@bite@|@morder (v.), mordida@
@bitter@|@amargo@
@black@|@negro, preto@
@blackberry@|@amora@
@blackbird@|@melro, toutinegra@
@blackness@|@obscuridade@
@bladder@|@bexiga@
@blade@|@lâmina@
@blame@|@culpa, culpar (v.)@
@blameworthy@|@censurável@
@blank@|@branco, espaço em branco@
@blanket@|@cobertor@
@blaspheme@|@blasfemar (v.)@
@blaze@|@chama@
@bleak@|@frio@
@bleed@|@sangrar (v. t. i.)@
@blend@|@mistura, misturar (v.)@
@bless@|@abençoar (v.), benzer (v.)@
@blind@|@bloquear (v.), cegar (v.), cego, cortina, obcecar (v.)@
@blink@|@piscamento, piscar (v.)@
@blister@|@bolha@
@block@|@bloco@
@blood@|@sangue@
@bloody@|@sangrento@
@bloom@|@flor@
@bloom (flower)@|@abrir (v. r.)@
@blossom@|@flor, florescer (v.)@
@blot@|@borrão@
@blouse@|@blusa@
@blow@|@soprar (v.), sopro@
@blow up@|@estourar (v.), explodir (v.)@
@blue@|@azul@
@blunt@|@despontar (v.), sem corte@
@blur@|@borrão@
@board@|@placa@
@boarding house@|@pensão@
@boarding school@|@pensão@
@boardroom@|@sala de reuniões@
@boast@|@alardear (v.), jactar-se (v.)@
@boast (fig.)@|@impar (v. t.)@
@boast of@|@ufanar (v.)@
@boat@|@barco@
@bobbin@|@bobina@
@body@|@corpo@
@Bohemia@|@Boémia@
@boil@|@ferver (v.), fervura@
@boiler@|@caldeira@
@boisterous@|@barulhento@
