@English@|@Esperanto@
@alcoholism@|@alkoholismo@
@alcove@|@alkovo@
@aldehyde@|@aldehido@
@alder@|@alno@
@alderman@|@skabeno@
@Alderney@|@Aldernejo@
@ale@|@elo@
@Aleppo@|@Alepo@
@alert@|@vigla@
@Aleutian Islands@|@Aleŭtoj@
@Alexandria@|@Aleksandrio@
@alexandrine@|@aleksandra verso@
@alga@|@algo@
@algebra@|@algebro@
@algebraic@|@algebra@
@Algeria@|@Alĝerio@
@Algerian@|@alĝeria, alĝeriano@
@Algerian woman@|@alĝerianino@
@Algiers@|@Alĝero@
@algorithm@|@algoritmo@
@alias@|@alinome, alinomite@
@alibi@|@alibio@
@alien@|@alilandano, eksterlanda, fremda, kontraŭa@
@alien to@|@kontraŭa al@
@alienate@|@fremdigi@
@alike@|@egale, simila@
@alimony@|@alimento@
@alive@|@vivanta@
@alkali@|@alkalo@
@alkaline@|@alkala, alkaleca@
@all@|@ĉia, ĉio, ĉiom, ĉiuj, la tutan@
@all about@|@ĉie@
@All Hallows@|@Sanktulara Festo@
@all of a sudden@|@subite@
@all of it@|@ĉiom@
@all over the@|@en la tuta@
@All Saints' Day@|@Festo de Æiuj Sanktuloj, Sanktulara Festo@
@All Souls' Day@|@Tago de la Mortintoj@
@all the more@|@des pli@
@all the same@|@egale@
@all the time@|@senĉese@
@all the while@|@intertempe@
@Allah@|@Alaho@
@allay@|@kvietigi@
@allegedly@|@laŭdire@
@Alleghenies@|@Aleganoj@
@allegoric@|@alegoria@
@allegory@|@alegorio@
@allergic@|@alergia@
@allergy@|@alergio@
@alleviate@|@mildigi@
@alleviation@|@faciliĝo@
@alley@|@strateto@
@alliance@|@alianco@
@alligator@|@aligatoro@
@alliteration@|@aliteracio@
@all-knowing@|@ĉioscia@
@allot@|@lotumi@
@allow@|@allasi, lasi, permesi@
@allow for@|@enkalkuli@
@allowance@|@poŝmono@
@alloy@|@alojo, kunfandaĵo@
@all-powerful@|@ĉiopova@
@all-round@|@ĉiokapabla@
@all-terrain@|@ĉiuterena@
@allude@|@aludi@
@alluring@|@franda@
@allusion@|@aludo@
@alluvial@|@aluvia@
@alluvion@|@aluvio@
@alluvium@|@aluvio@
@ally@|@aliancano@
@almanac@|@almanako@
@almighty@|@ĉiopova@
@almond@|@amando, migdalo@
@almond paste@|@franĝipano@
@almond pastry@|@migdalkukaĵo@
@almond tree@|@migdalujo@
@almond-eyed@|@migdalokula@
@almoner@|@malriĉulprizorgisto@
@almonership@|@malriĉulprizorgado@
@almonry@|@malriĉulejo@
@almost@|@preskaŭ@
@alms@|@almozo@
@almshouse@|@almozulejo, malriĉulejo@
@aloe@|@aloo@
@aloe juice@|@alosuko@
@aloin@|@aloino@
@alone@|@sola, sole@
@along@|@laŭ, laŭlonge de@
@alongside@|@flanke de@
@Alost@|@Alosto@
@alp@|@alpherbejo, alpo@
@alpaca@|@alpako@
@alpha@|@alfao@
@alphabet@|@aboco, alfabeto@
@alphabetical@|@alfabeta@
@Alpine hut@|@montkabano@
@alpine pasture@|@alpherbejo@
@Alpinist@|@alpisto, montgrimpanto@
@Alps@|@Alpoj@
@already@|@jam@
@already existing@|@jama@
@Alsace@|@Alsaco@
@Alsace-Lorraine@|@Alsaco-Loreno@
@Alsatian@|@alsaca, alsacano@
@also@|@ankaŭ@
@altar@|@altaro@
@altarpiece@|@altartabulo@
@alter@|@aliigi, aliiĝi@
@alteration@|@ŝanĝiĝo, ŝanĝo@
@alternate@|@alterna, alterni@
@alternately@|@alterne@
@alternating@|@alterna@
@alternation@|@alternado, alterno@
@alternative@|@alternativo@
@although@|@kvankam@
@altimeter@|@altometro@
@altitude@|@alto@
@alto@|@aldo, aldulino@
@altogether@|@ĉio, entute, totale@
@altruism@|@altruismo@
@altruistic@|@altruisma@
@alum@|@aluno@
@alum earth@|@alumino@
@alumina@|@alumino@
@aluminium@|@aluminio@
@aluminum@|@aluminio@
@Alva@|@Alvo@
@always@|@ĉiam@
@amalgamate@|@amalgami@
@amaranthus@|@amaranto@
@amaryllis@|@amarilido@
@amass@|@amasigi, arigi@
@amateur@|@amatoro, nemetiisto, nemetiulo@
@amateurish@|@amatoreca, diletanteca@
@amaze@|@mirigi@
@amazing@|@miriga@
@Amazon@|@Amazono@
@ambassador@|@ambasadoro, sendito@
@amber@|@ambro, sukceno@
@ambidextrous@|@ambaŭdekstra@
@ambiguous@|@ambigua, dusenca, dusignifa@
@ambition@|@ambicio, aspiro@
@ambitious@|@ambicia@
@ambitious person@|@ambiciulo@
@ambivalence@|@ambivalenco@
@Amboina@|@Ambono@
@Amboinese@|@ambona, ambonano@
@ambrosia@|@ambrozio@
@ambulance; field hospital@|@ambulanco@
@ambush@|@embuski, embusko@
@amen@|@amen, tiel estu@
@amend@|@amendi@
@amendment@|@amendamento, amendo@
@America@|@Ameriko@
@American@|@amerika, amerikano, usona, usonano@
