@English@|@Mapuche@
@big dove@|@Conulaf@
@big Hoop@|@UPULQUI@
@big Hoops@|@URULQUI@
@Big Lowered@|@NAPOSTÁ@
@bigger finger@|@haunch@
@birds@|@GÜÑUM@
@birthday@|@chripantuman@
@Bitter@|@urre@
@bitter Lagoon@|@URRE LAUQUEN@
@Black@|@Curu Curru@
@black Corral@|@CURRUMALAN, CURUMALAN@
@black Flint@|@CURIQUEO@
@black Lion@|@CURUPAN@
@Black luck@|@Curuman@
@black Wool@|@CURRUCAL@
@blackboard@|@küra trafla@
@Blade@|@pichiquelu@
@blanket@|@pontro@
@Blanket@|@Poncho@
@blanket species@|@chamal@
@Blanket with the center open@|@Poncho@
@Bleed@|@Mollvün@
@Bleeds@|@MOLLVÜN@
@Bleeds coagulated to eat@|@ÑACHI@
@Bleeds that it is drank@|@RULPANTUN@
@Blowfly@|@DIULLIN, NGLLIN@
@blue@|@calfin, calfu@
@blue flint@|@calfuqueo@
@blue lizard@|@callvuquirque@
@Blue mountain@|@Calfumahuida@
@blue stone@|@calfucurá, callvucurá, calvucurá@
@Boar@|@SAHÑUE@
@Boaster@|@mal-mal@
@body of gold@|@ancamil@
@boots@|@chumel@
@Boss@|@CURACA, lonco@
@boy@|@pichi@
@boys@|@pichike@
@Bracelet@|@Traricu@
@Bracelets@|@Traricuq@
@brave@|@cheuul@
@brave Man@|@PUELMAN@
@bread@|@kofke, kofken@
@Bread@|@Covque@
@Breakfast@|@muño, summon@
@Breeze@|@pichicürùv@
@bridge@|@kuy-kuy@
@Brief@|@pichitu@
@Broken@|@Catri@
@broken stone@|@catricura@
@broken tiger@|@catrinao@
@brother@|@lamngen@
@Brother@|@MARI-MARI-PEÑI, PEÑI@
@Brown puma@|@Colipán@
@Brows@|@DÙÑÍN@
@bush@|@TEMUCO@
@but@|@welu@
@Butterfly@|@Cùchi@
@Buttock@|@Canque@
@Cabin@|@ruca@
@Cacique@|@gülmen@
@Came@|@PULCÚ@
@Camomile@|@Poquil@
@Cane used to make lance@|@COLIHUE@
@Cans@|@ayar@
@Capitan@|@inalonco@
@Captive@|@nütu@
@car@|@auto@
@carpenter@|@inalonco@
@Cat@|@HUARQUI@
@catch a cold@|@Convircún@
@Catches a cold@|@CONVIRCÜN@
@cavern@|@curco@
@Celery@|@MENROY, MEROI@
@celestial Duck@|@PAINEGUAL@
@celestial viper@|@antivil@
@Cemetery@|@eltuhue@
@Chacayes mount@|@Chacayel@
@chart@|@trafla@
@che@|@people@
@Check@|@Rencoi@
@Chest@|@Rucu@
@Chicken@|@Pin-pin@
@chief@|@GULMÉN@
@Children of oneself mother@|@QUINEPUN@
@Christian foreigner@|@huinca@
@Christian viper@|@HUINCAFILU@
@Cigarette@|@petrem@
@cinnamon@|@boigue@
@city@|@carman, waria@
@clarity of the day@|@antú@
@Classifier noun-object@|@eiñ mew, en, enew, etew, eymu mew, eymün mew@
@classifier noun-object (1)@|@eyu mew, mu, muiñ@
@Claws@|@LALÜN@
@clear@|@LINQUE@
@clear fund@|@aluminé@
@cloud@|@tromü@
@Cloudburst@|@pedculmaun@
@cold@|@atrenco, atreuco@
@color of the hair of animals@|@Alazán@
@coloring@|@kelülwe@
@Colors@|@NGUEPUN@
@Condor@|@MAIÑQUE@
@Condor feather@|@Manquelepi@
@Condor of gold@|@MILLAMÁN@
@Condor ostrich@|@MANQUECHE@
@Conjunctivitis@|@chovcuchran@
@connector of sentences@|@yüm@
@Cooks@|@QUETRALTUANGUÉ@
@Corn@|@Hualung@
@corral@|@koral@
@Corridor@|@RAHIN@
@Council@|@ngùlan@
@Country@|@mapu@
@country of the deads@|@alhuè mapù@
@Country of the humidity@|@MOLU MAPU@
@Country of the mounts@|@MAMUL MAPÚ@
@Covered@|@IPEYÜM@
@Crazy@|@huedhued@
@Creature@|@pipchiche@
@Crow@|@MERÚ@
@Cruel@|@hueldùduam@
@Cup@|@Yihue@
@currents of water@|@walwalün@
@cut dune@|@Catriló@
@cut porotos or other cereals@|@pidkun@
@Cypress@|@LEN@
@Damage@|@ulhüa@
@Dance ritual@|@loncomeu@
@Dances ritual@|@loncomeu@
@Darts@|@pülqui, QUEUPÚ@
@daughter@|@ÑAUÉ@
@Daughter@|@ÑAHUE@
@Dawn@|@uñ@
@day@|@an·tü@
@day after tomorrow@|@Epue@
@Dead@|@l·a@
@dead body@|@anculan@
@dead Sorcerer@|@LACAR@
@debt@|@defe@
@decisive the@|@ti@
@Deer@|@HUEMUL@
@Defect@|@rulmen@
@Delirium@|@CÜLPEM@
@Demand@|@pieln@
@denture@|@FORUM@
@Desert@|@ühue@
@Deserted@|@ühue@
@Desire@|@ampel@
@Devil@|@hualichu@
@Devises@|@duam@
@diarrhea@|@caichü@
@different@|@kakewme, kakewme@
@Difficult@|@valin@
@Dilutes clean@|@Dilutes clean@
@Dilutes looked for@|@QUINTUCO@
@Dilutes of the carrizal@|@SANQUILCO@
@Dilutes quarter note@|@Curicó@
@Dilutes with sulfur@|@Copahue@
@Disoriented@|@YANQUETRUZ@
@Doctor@|@Machi@
@doesn't have fleas@|@Villanher@
@doesn't know@|@Chemchei@
@doesn't know when@|@chamulchei@
@doesn't know where@|@Cheuchei@
@dog@|@trewa@
@Dog@|@Trehua@
@doubt@|@epuduam@
@Doubts@|@epuduam@
@drawer@|@kakon@
@Drum@|@Cultrún@
@Drum made with pony leather@|@CULTUN@
@Drunk@|@ngolin@
@Drunkard@|@ngolin@
@dual desiderative@|@yu@
@duck@|@caghe@
@Duck@|@Cuchru@
@duck farmer@|@GUENCHUAL, HUENCHUAL, UENCHUAL@
@dune@|@achren@
@Dune@|@Catriló@
@duty@|@defelen@
@Dyspepsy@|@POIPOI@
@Each one@|@calli-calli@
@eagle@|@calquin@
@Eagle snake@|@ÑANCUFILU@
@Eaglet@|@ÑANCÚ@
@Eaglet lion@|@ÑANCUPÁN@
@Ear@|@Pilùn@
@earth@|@mapu@
@earth rodeo@|@MALAL MAPÚ@
@eat@|@iyael@
@Eatable yellow mushroom@|@LLAO LLAO@
@Egg@|@CURAM@
@eight@|@pura@
@embroider@|@upül, üpül@
@Emotion@|@huadcümn@
@End@|@av-avpun@
@enemy@|@auca@
@Enemy@|@caiñe@
@enough@|@feykülen@
@enter again@|@wiñokontu@
@Error@|@huelulcan@
@escaped Man@|@LLANQUEHUÉN@
@Even@|@cütu@
@even food@|@iyael kütu@
@everything@|@kom@
@eye@|@nge@
@Eye@|@Ngue@
@face@|@angue@
@Faith@|@mupiln@
@fall@|@tranün@
@fallen Condor@|@MANQUEMAN@
@fallen smooth Songs@|@TANDIL@
@Family@|@cüpal@
@far from@|@kamapu@
@Fast@|@LERNO@
@Fat@|@mochri@
@father@|@chaw@
@Father@|@Chao@
@father-in-law@|@chedcui@
@Fathom@|@nevcü@
@Feathers@|@Pichum@
@Fence@|@CURAMALAN@
@fermented drink@|@PULCU Chicha@
@Fertile@|@Mon@
@fever@|@aling@
@field@|@lelfün@
@Field@|@huechimapu@
@finger@|@changull@
@fingernail@|@Huilli@
@Fire@|@cuchral, QUITRAL@
@fire Water@|@CUTRAL CO, QUITRALCO@
@Fish@|@Challhua@
@fished@|@Challhua@
@Fishhook@|@cùlí@
@five@|@kechu@
@Flint@|@Queopu@
@flood@|@tripakon@
@floor@|@mapu@
@Flour@|@RENGO@
@Flower@|@HAYÉN, LINE, LINE, raiguen-rayùn, RAYÚ@
@flying Stone@|@LEVICURÁ@
@fog@|@trukur@
@following Day@|@UÚLERNEU@
@Foot@|@Namun@
@Foot of stone@|@Namun, Namuncurá, NAMUNCURÁ@
@For a lot of time@|@CUIVICONME@
@for short time@|@pichiñma@
@for that reason he will die@|@welu l·ayay@
@for waht reason?@|@chuman@
@for what reason?@|@¿chumalu am?@
@Foreigner@|@Huinca@
@forest@|@mawida@
@Forest@|@lemu@
@forever@|@TURPU@
@form alternative of faluw@|@ufaluw@
@Formerly@|@COYVIN@
@forms alternative of em@|@yem@
@Fortunate Small@|@PICHIHUEL@
@Fortune@|@cullin@
@foul-mouthed@|@chilcatuve@
@four@|@meli@
@Four@|@MELIN@
@Four foxes@|@MELINGUER@
@Four Hills@|@MELINCUE@
@Four lucks@|@MELIMÁN@
@Four stones@|@MELICURÁ@
@Fox@|@Chilla@
@Fox of up@|@GÜOR, HUEHNER@
@Fractures@|@huachro@
@Free@|@ngamo, quidu@
@Fresh@|@vircü@
@fresh water@|@cochicó@
@friend@|@wen·üy@
@Friend@|@MARI-MARI-CANAI, WEN-ÜY@
@Friend of stone necklaces@|@canayllancatucura@
@from time to time@|@cachrucachru@
@front@|@chroi@
@frontier@|@avpun mapu@
@Fruit@|@vun@
@full with water@|@URRIQUEO@
@Fun@|@ayecantun@
@Future@|@vule@
@garlic@|@achur@
@Gaucho@|@huachu@
@Gender@|@llipi@
@Gentile@|@chremo@
@gentle@|@tüng@
@get lost in deep watres@|@ÑAMKONÜN@
@ghost@|@choele choel@
@Ghost@|@alhue-chel@
@Gift@|@eluney@
@Give me a little more@|@ca-pichi-len@
@Give thank you@|@MAÑUMTUN@
@given birth@|@COÑELUAN@
@Gizzard@|@Rùcul@
@Glass@|@Chada@
@glass stone@|@chaquiras@
@glistening@|@alium@
@Glistening@|@Aliun@
@Globe@|@moncol@
@Go to bed@|@cudun@
@Go to bring@|@YEÑMUMEN@
@go to have a seat@|@anneupa@
@go to look for for somebody@|@yelmen@
@go to visit@|@utu@
@God@|@Nguenechen@
@Gold@|@MILE, Milla@
@golden lanb@|@COÑUE@
@goldfinch@|@chiu@
@good@|@küme@
@Good@|@cümen@
@Good blanket@|@PELQUELEO@
@good God@|@GUENECHÉN@
@good morning@|@MARI-MARI@
@good news@|@küme dungu@
@Gossip@|@piamdùngu@
@grass@|@cachu, COLIHUE, kachu@
@Grateful@|@mañunquelo@
@gratuitously@|@NGAMNO@
@gray@|@cañincuiz@
@Grayed@|@TURA@
@Green@|@Carü@
@Green dune@|@Cariló@
@green flint@|@carrunqueo@
@green river@|@carileufú@
@green stone@|@carú-curá@
@gritty Stone@|@CUYUPIL@
@Gum@|@EDÙM@
@Gump of speedy career@|@NECULUAL@
@Gump of the east@|@PUELUAN@
@habersele removed@|@yafütuduamtun@
@hail@|@Pire@
@Hair@|@RONGULONCO@
@Hammer@|@Tranahué@
@Hand@|@Cug@
@Handsome@|@cheuúl@
@Happen fast@|@RAILEF@
@happiness@|@ayelén@
@Happy@|@cumelen@
@hard@|@yafü@
@hard and golden Flint@|@MILLAQUEUCURÁ@
@Hare@|@MARA@
@Harvests@|@conguin@
@Hat@|@Chumpirú@
@have a good time to some@|@ayekantulün@
@have straw bundles@|@NIENEN@
@he@|@fey@
@head@|@longko@
@Head of a river@|@LONCOMAY@
@Head of gold@|@LONCOMIL@
@Head of Lion@|@LANCOPÁN@
@headache@|@chavalonco@
@Heard@|@Alcüpeyün@
@Heart@|@PIUQUE, PIUQUÉN@
@heat@|@ali-plow@
@Heat@|@Ali-are@
@hen@|@acchahuall@
@her@|@ñi@
@Herb@|@CULUV@
@here@|@faw, pa, tüfamew@
@Here@|@mamo, mamo@
@Heron@|@PICHIPILLU@
@High@|@alüpùra@
@high mountain@|@cashuati@
@high Stone@|@HUENTECURA@
@hill@|@winkul@
@Hill@|@calel, huincul, WINCUL@
@Him@|@FEI@
@his@|@ñi@
@Honest@|@ichroche@
@Honey@|@Misqui@
@hoops@|@chahuai@
@horn trumpet@|@calkuy@
@horse@|@cahuellu, kawell@
@hospital@|@pital@
@Hot@|@Covun@
@hot Stone@|@ELICURÁ@
@Hour of eating@|@ILELCAÜANTÜ@
@Hour of going to@|@UMAGUELCHRAVUYA@
@house in the cone form@|@catan@
@how@|@chum, chumngechi@
@how much@|@tunte@
@How you are?@|@MARI-MARI-CUMELECAIMI@
@How you call yourself?@|@INEIPINGUEIMI@
@how?@|@¿chumwechi am?@
@human body@|@calelche@
@humid Lands@|@GUAMINÍ@
@hummingbird@|@Pingùca@
@hunger@|@entrin@
@Hunger@|@llipun@
@hunted lion@|@PAGHINAO@
@I@|@iñche@
@I don't know@|@Chemchei@
@I don't know when@|@Chamùlchei@
@I don't know where@|@Cheuchei@
@I love you@|@Inchepoyeneimi@
@I made bigger@|@inan lamngen, unen lamngen@
@I will make it@|@feman@
@idea@|@duam@
@Idiot@|@code@
@idiotic@|@code@
@Immoral@|@ataltùcu@
@in a while more@|@mücha ula@
@in all colors@|@fill kolor@
@in no way@|@MARICHINORUME@
@In some parts@|@QUIÑENQUIÑEN@
@in the afternoon@|@rupan antü@
@in the light of the day@|@re antü@
@in the morning@|@puliwen@
@in three days more@|@külawe@
@in what place?@|@¿chewpüle?@
@Incursion with looting@|@MALOCA@
@Index@|@DICHOCHANGÙL@
@Indian of the mob@|@HUECHE@
@Inhabitant@|@PICUNCHE@
@Inhabitant of the Arauco@|@araucano@
@Innocent@|@huerinquenolu@
@inside@|@pu@
@Insolent@|@cochim@
@Instrument of hitting@|@TRONCUE@
@Instrument to wind@|@TRUTRUKA@
@Intelligent@|@quimval@
@interrogation word@|@am, kay@
@Intestine@|@CÙLCHE@
@Iris@|@TAPÙDTAPÙD@
@Iron@|@pañilhue@
@iron axe@|@cachul@
@irons@|@pañillwe@
@is cold@|@UÙCHREGUEI@
@is great your friend@|@INCHEVUTAEIMI@
@is hot@|@areiñi-arengüei@
@island@|@changkiñ@
@Island@|@huapi@
@Island of the gulls@|@chiloé@
@Island of the Tiger@|@NAHUEL HUAPI@
@isolated@|@KETRÉ WITRÚ@
@it@|@fey@
@it bands@|@trariwe@
@it carpets@|@lama@
@It darts@|@pülqui@
@It dilutes@|@co@
@it fences@|@pülle@
@It forms alternative@|@faluw, ufaluw@
@it forms alternative of lu@|@lelu@
@it goes next to the verb@|@doy@
@it indicates an idea@|@ürpu@
@it indicates besides past@|@em@
@it indicates proximity@|@engu, ün@
@it indicates simple future@|@alu@
@it is this way@|@feyürke mai@
@It left the river@|@Tripalao@
@it mates of a woman@|@domo lamngen@
@it mates of male@|@deya@
@it plants@|@anümka@
@it refers to a last fact@|@Ürke@
@It rocks@|@chichue@
@it shatters@|@wangülen@
@It tires@|@rünü@
@it vacates@|@waka@
@It vacates@|@Huaca@
@it will be known@|@kimngeay@
@Jaw@|@Coliuün@
@Joke@|@vucheu@
@Justice@|@huívlu@
@Kettledrum@|@Kultrun@
@king fish@|@Cauque@
@kingfish@|@Cauque@
@Kiss@|@Chravuùn@
@Knee@|@Triló@
@knife@|@chinu@
@külchafün@|@kültrafün@
@Lagoon@|@lafquen, Lauquén, TRARO LAUQUEN@
@Lagoon of the birds@|@UÑEN-LAFQUÉN@
@Lagoon of the rough one@|@MAYALAUQUEN@
@Lake@|@lauquen@
@land@|@Culchreu@
@language@|@dùngun@
@Language@|@NGEUÙN@
@Language of lion@|@QUEUPAN@
@Larch@|@CUDE-LAHUAL@
@Lasso with balls@|@laque@
@last night@|@chravuya@
@late@|@nagan·tü, tarde@
@Later@|@deu@
@Laughs@|@COLOLEUVÚ@
@Lazy@|@airan@
@Leather hat@|@Guirrin@
@leave@|@ye@
@leave with the stone necklace@|@amillancatucura@
@Left@|@huele@
@Left the river@|@Tripalao@
@leg@|@llike@
@Leg@|@Chang-llique@
@Lie@|@COILA@
@light@|@lighuen, pelom@
@lightning@|@llüfken@
@Lightning@|@Levque@
@Lights@|@LIENQUEN@
@Like he wants to be@|@chumquechirume@
@Lily@|@MAICHIHUE@
@LIMAY@|@Limpid@
@line@|@cleñan@
@Line of gold@|@MILLAQUELÉN@
@lion@|@PANGUI@
@Lip@|@MELVÜN@
@Little@|@Pichi-Changùll@
@liver@|@CORDUROY@
@lobster@|@chori@
@Locust@|@SOE@
@Loom@|@Huitral@
@lose in the depth of the water@|@ñamkonün@
@Lost@|@ÑAMIJUAW@
@Lost Christian@|@HUINCAÑAN@
@loves You@|@Inchepoyeneimi@
@Low lands@|@Guaminí@
@lung of animals@|@apoll@
@male@|@razorbill@
@male goat@|@chifu@
@man@|@wentru@
@man's children@|@yall@
@Many times@|@Alduchi@
@Marinate@|@tica@
@Marinates@|@tica@
@Marries@|@ruca@
@match@|@poforo@
@mate of a male@|@peñi@
@mate of a woman@|@wentru lamngen@
@Mates@|@LAMNGUEN@
@Me@|@INCHE@
@Measles@|@Chraram@
@Meat@|@ILÓ@
@medicinal Grass@|@LAHUEN@
@Mediocrity@|@Ancao@
@Meeting of lagoons@|@TRENQUE LAUQUEN@
@men of war@|@MOLUCHE@
@Milk@|@LICHI@
@Mill@|@Ulnga@
@Mills@|@Ulnga@
@mind@|@rakiduam@
@mine@|@Tañi@
@Mirror@|@lilpu@
@Mob@|@huedaqueche@
@modifies to a following noun@|@chi@
@Monkey of the mount@|@Colocolo@
@month@|@küyen@
@Month@|@Cüyen@
@moon@|@cuyen@
@Moon@|@huenu@
@morfeme of verb@|@ke@
@Morning rite@|@Pillantún@
@morpheme of verbs@|@fiel@
@morpheme that expresses time@|@we@
@morpheme to verbalize adj.@|@tu@
@Mosquito@|@Yalü@
@Moss@|@Calmín@
@mother@|@ñuke@
@Mother@|@Ñuque@
@Mount Big@|@Vutamahuida@
@mount chacayes@|@Chacayel@
@Mount of the souls@|@Pillanmahuida@
@mountain Cat@|@Colocolo@
@Mounts Big@|@Vutamahuida@
@Mounts of the souls@|@Pillanmahuida@
@Mouse@|@Deuü@
@Mouth@|@WUM-UÙN@
@mud@|@fotra@
@Mud@|@chapad@
@muddy lagoon@|@lafquen@
@Muffler@|@Iquilla@
@Multitude of vipers@|@Lincovil@
@Mumps@|@Cachin@
@my@|@ñi@
@Mysterious footfalls@|@Palantelen@
@Mysterious Stepped@|@Palantelen@
@name of a tree@|@larch@
@Name of several caciques@|@catriel@
@Nape@|@To@
@Navel@|@Vüdo@
@near@|@ina@
@Necklace@|@cúlcai, TRARIPEL@
@Necklace of vipers@|@LLANCAFIL@
@next week@|@ka semana@
@night@|@pun·@
@Night@|@Choique, Punon, PUNON CHOIQUE@
@nine@|@aylla@
@Noon@|@Rangiantü@
@north@|@pikim@
@North@|@Picum, PICÚN@
@Nose@|@Yüu@
@Not to make bad to anybody@|@Chumia@
@notarize@|@chilca@
@notarizes@|@chilca@
@now@|@fewla@
@Oak@|@Coyam@
@object@|@huesaquelu@
@occurrence indicator@|@rke@
@of the eagles@|@ÑANCUCHEL@
@of the stone@|@CURACÓ@
@old@|@cherri, kuse@
@Old@|@Cushe, PAINE@
@old man@|@füta wentru, küse domo@
@Old man@|@chrerri@
@once@|@kiñe rupachi@
@one@|@kiñe@
@one hundred and ten@|@kiñe pataka mari@
@one that loses@|@LLANQUENAN@
@only@|@müten@
@or@|@kam@
@ostrich@|@cheuque, Choique@
@Ostrich eaglet@|@NANCUCHEO@
@ostrich snake@|@cheiquefilu@
@other there@|@RICOL@
@Otter@|@COIPU@
@our@|@iñ, yu@
@Our@|@Taiñ@
@Outpost@|@malal@
@owl@|@coa@
@Owner of the word@|@NGEN-PIN@
@ox@|@mansun@
@Paloma@|@Conulaf@
@Pant@|@Chamall@
@panther@|@calquillo@
@pants@|@Chamall@
@Parasite of the scabies@|@HUÑOL@
@Parasites@|@Inaillutuve@
@parrot@|@choroy@
@partly this way@|@chroquichroqui@
@Partner@|@canai@
@Partridge@|@FEDU, Milùn, VUDE@
@Party@|@Cahuiñ-camaricun@
@Paunch@|@Guatrache@
@Peak of the mountain@|@HUECHÚN MAHUIDA@
@people@|@che@
@People@|@LLALMACHÉ@
@people in charge of Ngillatum@|@ngen Ngillatun@
@People of gold@|@MILLACHE@
@People of the earth@|@MAPUCHE@
@People of the east@|@PUELCHES@
@People of the south@|@HUILLICHE, TEHUELCHE@
@people of two types@|@epu tripa che@
@people that is alive@|@mongelechi che la@
@people's stomach@|@Guatrache@
@pepper@|@chrapi@
@Percussion@|@Kultrun@
@perhaps@|@Chey@
@Peritoneum@|@Tampuchra@
@person that makes thank you@|@ayekantufe@
@perverse@|@GUALICHU@
@pig@|@sañue@
@Pin@|@Tupú@
@Pines@|@Pehuenes@
@pitcher@|@metawe@
@place@|@l·of@
@place of ceremony of Ngillantu@|@ngillantuwe@
@Place of starlings@|@chilihue@
@Place of the drunkenness@|@cahuiñque@
@place where there is@|@hue, mo, quen@
@plain@|@lavmapou@
@Plant which native make flute@|@ÑORQUIN@
@Pleasure@|@cümen@
@plow@|@araw@
@Pock@|@Huincacuchran@
@Pollera@|@Quipan@
@Poncho@|@Mancun, Ponchro@
@poor@|@pofre@
@Pope@|@Poñi@
@Poppy@|@MADIHUADA@
@porter@|@malal@
@powder@|@trufür@
@powerful@|@NEUQUÉN@
@Pregnant@|@cùrpu-nguen@
@preposition@|@mew@
@Pretty@|@tuten@
@pretty Man@|@QUEMEHUENCHO@
@Prince of the Spirits@|@AL@
@Puddle@|@pùllau, pùllau@
@Pulse@|@NEYÜN@
@pumpkin@|@Penca@
@Put the fingers in the mouth@|@LALONG@
@quick@|@pürüm@
@quicker@|@doy pürü@
@Quiet@|@ñom@
@quiver@|@chilca@
@Raft@|@CHIMED@
@rain@|@mawün@
@rain weak@|@púlen@
@rainbow@|@HUIPLE, relmu@
@real Eaglet@|@PICHI CALQUIN@
@Red@|@Coli, Collu, Queli@
@red flint@|@COLIQUEO@
@red Stone@|@COLLICURÁ@
@Reddish@|@Coillil, Colín, COLÍN@
@Reed-mace@|@TOOK@
@refined flint@|@caupolicán@
@relation noun-object@|@uw-iñ@
@remedy@|@l·awen·@
@Remedy@|@Ñanculahuén@
@Remedy of grass@|@ÑANCULAHUÉN@
@Rheumatism@|@Alülun-voro@
@rich@|@riku, üLmen·@
@Right@|@mampùle@
@right Twins@|@QUEÑEMAN@
@Ring@|@Yulcu@
@river@|@l·eufü, Puleuvu@
@River@|@Lefi, LEUBUCO, LEUFUCO, leuvú, LEUVUCO@
@River of stones of gold@|@MILE LEUVU CURES@
@River of the hill@|@LEFILOO@
@rivers@|@Puleuvu@
@road@|@rüpü@
@Road@|@pichirüpù, rüpù@
@Roasted@|@canca@
@rocks@|@chichue@
@rodeo@|@malal@
@rogation@|@Nguillatún@
@Rogatives@|@NGUILLATÚN@
@Room@|@mülehue@
@rope@|@COTRON@
@Rose@|@Huincarayen@
@rush@|@chrapal@
@Rush@|@GUAIQUIL, HUAIQUIL, VAIQUIL@
@Rushes@|@huaiqui@
@Rushes of gold@|@HUAIQUIMIL@
@sacred place@|@rehue@
@Salesperson@|@MIAULNCURÁ@
@Salesperson of stones@|@Miaulncurá@
@Sallow@|@Chreige@
@salt@|@chadi@
@Salt@|@Chadi-chasi@
@Salted River@|@chadi leufu, chadi leuvu@
@salty meat@|@anguim@
@Same speed@|@QUEDULEF@
@Sand@|@corel@
@school@|@kolekio@
@sea foam@|@chiway@
@seat@|@wanku@
@Second totem of Valdivia@|@amuchi@
@Secret rituals@|@Voiguevoes@
@Seems ten@|@MARINAO@
@separate@|@Catri@
@Sepulcher@|@Chenque@
@seven@|@regle@
@shaman@|@Machi@
@Shatters@|@Huangulen@
@she@|@fey@
@she came@|@Pulcú@
@she doesn't have fleas@|@Villanher@
@she marries@|@ruca, ruka@
@sheep@|@ufisa@
@Sick@|@cutran-cuchran@
@sick person@|@kütran@
@Sick person@|@cutran-cuchran@
@sick Stomach@|@PUE, RAPIÑANQUE@
@silk handkerchief@|@sera pañu@
@Silver mass@|@Lin Calel@
@silver Pin@|@TUPU@
@similar@|@reke@
@singer@|@DIUKA@
@six@|@cayu, kayu@
@six leagues@|@cayuquen@
@six lions@|@cayupan@
@six loads@|@cayulen@
@six throats@|@cayupel@
@Skeleton@|@REVORO@
@Skilled@|@adeluuve@
@Skin@|@Chrahua@
@skirt@|@Quipan@
@Skunk@|@Chingue@
@sky@|@wenu@
@Sky@|@huenu@
@slight Condor@|@LEPIMAN@
@slight Devil@|@LIVIPIL@
@slight Duck@|@NECULHUAN@
@slips@|@LLAIMa@
@Small corridor@|@PICHINECOL@
@Small deer@|@HUEMUL, HUEMUL, PITRIN, PIUTRIN@
@Small lizard@|@FILCUÑ, VILCUN@
@small Tiger@|@NAHUEL PICHI@
@Smaller@|@inan@
@Smoke@|@pùchro@
@Snake@|@Ihual@
@Snow@|@aylla, llapüd, Pire, Pirén@
@Snow of the devil@|@Pirepillán@
@Snows@|@Pire, PIRÉN@
@Snows of the devil@|@PIREPILLÁN@
@solitary@|@callico@
@some@|@kiñeke@
@Somebody@|@quiñeche@
@Something@|@aimen@
@sometimes@|@kiñekemew@
@Son of the sea@|@CONILLA@
@Song@|@gül@
@sorcerer@|@calcu@
@soul@|@alhue, PILLÁN, PILLÁN, PULÚ@
@sound strong as the gallop@|@kultrafün@
@Sounds of songs@|@Traipi@
@Soup@|@Corü@
@Sour@|@cochrü@
@south@|@willi@
@South@|@Huilli@
@sowing@|@ngan·@
@Spanish@|@huinca@
@speedy@|@NECUL@
@Speedy@|@Uzi@
@speedy Tie@|@LAUTARO@
@spicy@|@chapi@
@spider@|@n·ayn·ay@
@Spring@|@HUILÉN, Huilén, Peuñçen, PEUÑÉN@
@sprinkle@|@pute@
@sprinkles@|@pute@
@Stammering@|@Quentrel@
@starling@|@chilli@
@stomach@|@pütra@
@Stone@|@CURÁ, Curá, Curá, CURES, CURES, Pichicura@
