@English@|@Mongolian@
@alike@|@nijgen@
@alive@|@ami-du@
@all@|@bür, buri, büri, el, eldev, ele, qou, xü@
@All@|@bükh@
@all together@|@nei, neji-gen, neji-le-, nij, nijce-, nijle-@
@almond@|@büilesü, bujilasu, bujls(an), büjls(en)@
@alone@|@gagc, ganc@
@along@|@guld@
@also@|@basa@
@alternate@|@qala-, xala-@
@always@|@imagta@
@amount@|@dun khemjee@
@ancestor@|@ebugan, ebüge, ebuge(n), ebügen, övgön, xulanc@
@ancestor spirit@|@onggon@
@and@|@ba@
@angel@|@sakigulsun@
@angelica@|@baldarhana@
@anger@|@a'ur, awur, äwur, hawur, kiling, ür, urin@
@animal@|@adugusun@
@animal resembling the bear@|@kereldüg, xereldeg@
@anklebone@|@šä, šagai@
@anniversary@|@oi, oin, oj@
@annoying@|@yadargaatai@
@another@|@nögüge@
@ant@|@sirguljin@
@antelope@|@gore'e, guräsun@
@anus@|@qos, qosginah, qoškinah, xos, xošginog, xošnogo@
@anxious@|@guni-@
@anyway@|@yaaj ts khamaagui@
@apart@|@xobxo@
@appeal@|@tungqaq, tunxag@
@appearance@|@ovor, tösü, tösüge@
@apple@|@alim-a@
@are@|@ayu, ayu, mön@
@area with many small lakes@|@cholid, cold@
@arm@|@gar, qar, qär@
@armour@|@köhe, qujax, xujag@
@armpit@|@su'u, suga, suw@
@Arrival@|@khüreltsen irekh@
@arrogance@|@kegseji-, keke-ji-, kika-, obur, oburda-, xegsij-@
@arrow@|@sum(an), sumu, sumu(n), sumun, sümün@
@arrow with bone head@|@žorxo@
@art@|@der, urlag@
@Artemisia@|@šawag@
@artful@|@quji-hur, quji-qur, xujgür@
@article@|@niitlel, soningiin niitlel@
@artist@|@uran@
@artistic@|@ur(an)@
@as far as@|@kürtel-e@
@as if@|@sig@
@as long as@|@tiim bol@
@ash@|@ünesün@
@ash tree@|@ulijas(an), ulijasu(n)@
@ash(es)@|@ünesün@
@ashes@|@hunäsun, ünesü(n), üns(en), xunesu@
@ash-grey@|@säral@
@ash-tree@|@xüjrs@
@ass@|@külen, qulan, xulan@
@assembly@|@qural@
@at least@|@yadaj@
@at once@|@ödter@
@at the back@|@ar tal deer@
@attack@|@noco-@
@attempt@|@sori-@
@attention@|@ankhaaral, ubai, uvaj@
@attentive@|@anür@
@aunt@|@axaj@
@average@|@dundaj@
@awake@|@seruun baikh@
@awful@|@aimaar@
@awl@|@birim, birm, sebgä, sibüge, šibuge, šövög@
@ax@|@sukh@
@axe@|@suke, süke, süx@
@back@|@ar nuruu@
@Back@|@Nuruu@
@back of the head@|@ged, ged-reg, gede, gedereg, gedergu, gedger@
@backpack@|@bogcu, bogcu@
@backwards@|@gedergü@
@bad@|@ma'u(n), mau'un, mäwu, mu, mü, muu, müwu@
@bad omen@|@ira, jor(o)@
@badger@|@dorgo, dürqan@
@bag@|@bogcu, uguta@
@balcony@|@arangga@
@bald@|@tar, tarasun, xalcgaj@
@bands to sacrificial animals@|@seter@
@Bank@|@bank@
@bark@|@qaudasu@
@barley@|@arbai, arbäi, ärbäi, arvaj@
@barred owl@|@beg-, beg-batär, beg-bätar@
@barrel@|@torqu, torx@
@barrier made of pointed sticks@|@sirüge, šörge, šörög@
@base@|@suur(i), undes@
@basis@|@ündüsü@
@bast@|@durs, duru-sun@
@be broken@|@buta-ra-, butal-, butar-, butära-@
@be cold@|@begere-, bëre-@
@be disgusted@|@žerxe-, žigegür-, žigš-, žigsi-@
@be folded@|@dörsij-, dörsüji-@
@be fragile@|@keül-, keüre-, xüre-@
@be greedy@|@sinu-, šuna-@
@be heated@|@ë-, ege-, egege-, egsi-, xe'u-@
@be in ambush@|@marä-, marija-, mirija-@
@be in wait for@|@ana-@
@be lean@|@tura-, turu-@
@be mixed up@|@üime-, üjme-@
@be ragged@|@lavtra-, lovš, navtra-, novš@
@be stretched@|@teneji-, tenï-, teniji-@
@be troubled@|@bokinid-, bukinid-, buxinda-@
@bean@|@burcag, burcag, burcag@
@bear@|@bagabagai@
@beard@|@saqal@
@bearing@|@xolxovch-num@
@beat@|@dilät-, dolät-, togši-@
@beat with a switch@|@sibqachi-, sibqahurda-, sibsihurda-@
@beautiful@|@sajxan, sayiqan, tangsug, tangsug@
@beaver@|@kalbün, qali'un, xalün@
@because@|@tul, tula, tuld@
@become cold@|@dara-, dära-@
@become full@|@melmeji-@
@become old@|@qari-, xari-, xarši-@
@become sour@|@negše-, nigsi-@
@become twisted@|@xorlo, xörvö-, xorvoj-@
@bed@|@oro@
@bee@|@jögei@
@Beef@|@ükhriin makh@
@Beer@|@piv@
@beetle@|@cox@
@before@|@emün-e@
@beginning@|@ekin, esi, iš@
@behind@|@aradan, ondoj-, onduji-@
@being(s)@|@amitan@
@believe@|@šitu, sitü-, šüte-@
@believer of Islam@|@lal(i)n shashin shutegts, lalin murgultun@
@bell@|@qongq-a, qongqu, xonx@
@bellows@|@gürege, kegürge, keokeor, kögerge, ku'urge@
@belly@|@gedsen, olong@
@Belly@|@Gedes@
@belly (of cattle)@|@xurxag@
@below@|@dor, dora, doro, doru, doura, dura@
@belt@|@büs(en), busä, buse, büse, ümrül@
@belt for trousers@|@telë, telei, telij@
@bend of a river@|@šanä@
@bent@|@tokir, toxir@
@beside@|@dergede@
@Beverage@|@undaa@
@beyond@|@cä-@
@bicycle repairer@|@unadag dugui zasvartsin@
@bifurcation@|@ac@
@big@|@ikä, ike, ix, jeke, ögelei, ölij, tomu, yeke@
@big span@|@tühë@
@bilberry@|@alir-su(n), ners, nür, nür, nüre@
@bill@|@tootsoon(i) khuudas@
@bind tight@|@šamla-, šamra-, simala-, simali-@
@birch@|@qadung, xadan@
@birch bark@|@üi(l)-sü, üisü(n), ujilsun, üjs@
@birch tree@|@qusu(n), xusan@
@bird@|@shuvuu(n), šiba'un, šibän, šuvü, šuvuu(n)@
@bird dung@|@sangga-su(n), sanggas, sanqa-@
@bird net@|@uraqa(n), uriqa, uruqa, urxi(n), xuraqa@
@bird of prey@|@sar@
@bird-cherry@|@moji(l)-su, mojil, mojil-sun, mojl, mono-su(n)@
@bird-cherry (1)@|@monos@
@bitter@|@ekegün, exü, gašün, qaši'un, qäsun, qäsün, qïsun@
@bitter life experience@|@qala, qali-, xal, xali-@
@blab@|@chalchi-@
@black@|@qar-a, qara, qära, xar, xar-a@
@black grouse@|@qoru, qur, xur@
@black-cock@|@sojir, sojr@
@blame@|@zemlekh@
@blind@|@soqor, soqur, soxar, soxor@
@block@|@neüle, nül, qorija'an, quru'a, xori-, xorö@
@blood@|@cus, tsus@
@blood clot@|@bülen, bülin, bülüñ@
@blue@|@keuke, köke, koko, xöx@
@blue-berry@|@alirs@
@bluish@|@küilen@
@blunt@|@molgor, moli-ji-@
@board@|@dašinga@
@boat@|@zavi@
@body@|@bäjä, beje, bey-e, bijä-du, bije, keberdeg, kegür@
@Bon voyage@|@Erüül mehdiin tölöö@
@bone@|@jas(an), jäson, jasun, jasun, yasun@
@bone callosity@|@borö, boruu@
@bonfire@|@mai, maj, tüdeg, tügüdeg, tüimür, tüjmer@
@book@|@nom@
@book shop@|@nom(i)n delguur@
@boots@|@gutal@
@boot-top@|@türei, türij, türüi@
@boring@|@nolig@
@bosom@|@ebchigü(n), ebur, ebür, ebuže'un, öbür, öwör@
@both@|@khamt, khoyouul@
@bothered@|@šanal-, sinal(a)-@
@bottle@|@sil@
@bow@|@nom, nomu, numu, numu(n), numun, nuümu@
@Bow@|@Num@
@box for dishes@|@ükeg, üküg, üxeg@
@boy@|@no'un, nu'u(n), nugan, nugün@
@bracelet@|@bugäg, bugi, bugija, bugujl, buqau@
@brain@|@taraki(n), tariki(n), tarx@
@bran@|@äga@
@branch@|@geši'un, gešibün, gešün, gišün, kešiut@
@bread@|@talq-a@
@Bread@|@talkh@
@break off@|@kelte-, keltere-, qaltas, xaltas, xeltre-@
@break through@|@-le-, -re-, delbe-le, delbel-, delber-, delbere-@
@Breakfast@|@öglöönii und@
@breast@|@ebür, köke, öbür, ör, ore, oro, örü@
@breast handle@|@büderxij, büdürkei@
@breath@|@hamisqu@
@breathe heavily@|@onggoli-@
@breed@|@egülder, ülder@
@bridegroom@|@xür degü, xürge@
@bridge@|@gür, ke'urge, kegürge, keülge, kögerge, kögürge, kögürge@
@Bridge@|@güür@
@bridge (1)@|@keurge, xörög@
@bridle@|@culbür, qada'ar, qadär, qädar, qadäsu@
@bright@|@gegen@
@bristle@|@sirke(g), širxeg@
@broad and thick@|@barbaji-, barvaj-@
@brocade@|@nolom@
@broil@|@šara-, sira-, širaxasam@
@broken@|@süi-d-, süi-re-, süjde-, süjre-@
@bronze@|@sirin, širin@
@broom@|@sigür, šür@
@brother@|@aq-a, degüü@
@brother-in-law@|@baza, baza@
@brown@|@boru, qula@
@brushwood@|@darki, darxi@
@bucket@|@sa'uluqa, sülga@
@Buddhist priest@|@lama@
@bud-shaped@|@combogor, combon, comorlog@
@buffalo@|@odos, udus@
@building@|@barilga@
@bulb@|@bolcü@
@bulging@|@tügdger, tügdij-, tügdüger, tügdüi-, tügüdeg@
@bull@|@buq-a, bux-a@
@bumble-bee@|@kedgene, xedgen@
@bunch@|@xongorcog@
@burbot@|@gutär@
@burned smell@|@kirbu-su(n), xarvas@
@Bus@|@avtobus@
@Bus station@|@avtobusny buudal@
@bushes@|@but, buta, butu@
@bush-oak@|@sibür@
@busy@|@zavgui baikh@
@butter churn@|@majä@
@butterfly@|@erbegekei, erbekei, ervëxij, hirbäkäi, xerbegai@
@buttery@|@gömrög, gömürge, gumerge@
@buttock@|@bögs, bögse(n), bokse, bukse@
@buttocks@|@baqa'ur, baqaür, buxar@
@button@|@tobci, tovts@
@button loop@|@šilbe, silbi@
@cage@|@tor, tur@
@calf@|@tugal, tuqul@
@calf (1 year old)@|@barü, bura'u, buru@
@calf in its second year@|@biragu, biragu@
@calf less than a year old@|@tugul@
@call the police!@|@Tsagdaa duudaarai!@
@calm@|@taivü, tajibu, tajibuu@
@camel@|@temë, teme'en, temege, temege(n), temejen, temën@
@camel (1)@|@timen@
@camp@|@ordu@
@canal@|@buqa, buqal, buxal@
@candle@|@la-a@
@candlelight@|@laani gerel@
@care@|@boi, boj, khalamjlakh@
@carefulness@|@bolgoomjtoi@
@careless@|@nažahai, nažahaida-, nazgaj, nazgajda-@
@carpal joint (of animals)@|@xagd@
@carrot@|@luubang@
@cart@|@kösge, köske, xösög@
@cartilage@|@möge(r)sü, mögeresü(n), mönggürsü, muqursun@
@carving@|@gurvi@
@case@|@khairtsag, tokhioldol@
@cast iron@|@širem(en)@
@castrated@|@agt, aqtas, axta@
@cat@|@žalar, žilar@
@caterpillar@|@iruqai, jarxai@
@cattle@|@adüla-, adün, adüs, mal, üker@
@cattle-shed@|@žüchije@
@causeway@|@duguj-ca-, tuguj@
@cave@|@aguj@
@cavity@|@qonggil, xongil, xonxor@
@cedar@|@qosi, qusi, xuš@
@ceiling@|@adajir, adar@
@cemetery@|@xür@
@center@|@tölökh@
@central@|@töb@
@central pole@|@bagana@
@century@|@zuun@
@certainly@|@lab@
@chaff@|@alisu, gürs(an), kebe, xebe@
@chair@|@sandali@
@chance@|@bolomj@
@character@|@üseg, üsüg, uzuk, zan tsanar@
@chase@|@aba, av@
@cheap@|@kilbar, kilbar, kilbar, kimda, xamd@
@cheek@|@xacar, xacr@
@cheek bone@|@gere, gerë@
@cherry@|@intuur@
@chest@|@kenggirdeg, xaircag, xenxerceg, xenxreg, xürcag@
@chew@|@emgu-gu, emkü-, omgu-gu, ömxö-@
@chief@|@tomi@
@child@|@keüked, keun, ko'u, ko'un, köbekün, köü, kuwn@
@children@|@keüked@
@chin@|@eregüü, erü@
@Chinggis (Khan)@|@cinggis@
@chisel with a grooved blade@|@qobiki, qobki, xovxi@
@chock@|@kelbegür, xelbür@
@choice@|@songolt@
@Christian priest@|@khar lam@
@Christian religion@|@Khristosin shashin@
@Church@|@süm@
@cigarette@|@tamkhi@
@circumstance@|@nokhtsol baidal@
@city@|@qota@
@clavicle@|@omori'ut, omrü@
@clay@|@sibar@
@clean@|@arigun, ariun@
@clear@|@il, qaqarqai, qaqarxai, toda, todorkhoi, todorkhoi, xagarxai@
@clever@|@cecen, secen@
@cliff@|@qada@
@cling to@|@asa-@
@close@|@qa'a-, xä-@
@close to@|@qabi, xav@
@Closed@|@khaalttai@
@clot@|@towx@
@cloth@|@barä, ed@
@clothes@|@debel, qunar, qunir, xunar@
@cloud@|@e'ulen, egüle, egülen, iulän, ül(en), ulät, üül@
@clover@|@gerijn xošingor, xošöngor@
@club@|@klub@
@clumsy@|@dö-, no žohora-, nozö-ro-, öjügede-@
@coat@|@daqu, dax@
@coffee@|@kafe@
@Coffee@|@kofi@
@coire@|@oxo-, uqa-@
@cold@|@köiten, kojiten, kuitän, küiten, küitün, xüjten@
@cold wind@|@xawsra-, xawsraga@
@collarbone@|@egam, egan, egem, igem@
@colleague@|@khamrtan zutgegts@
@collect@|@tama-, tegü-, temgu-, tü, tu-@
@colophony@|@žil*i, žilï, žilij@
@color@|@önge, öngge@
@colostrum@|@ürag@
@colour@|@öngge, onggo, önggö, uanggo, unke@
@colourful@|@ongot@
@column of smoke@|@sünag@
@come@|@irekh@
@come near@|@qal-, qalit-, qalu-, xala-@
@come up to@|@ajis-, ajisi-, ajisu-, ajs-@
@commit (a crime)@|@gemt khereg uildekh@
@communal@|@kheseg buleg, negdel@
@company@|@kompani@
@comparable@|@khar(i)tsuulakhuikh@
@complete@|@dawus-, duson, öb-chi, övch@
@completely@|@buren buten, tag, tas, tasu@
@compositor@|@compositar@
@compulsary@|@zaaval shaardlagatai@
@compulsary education@|@zaaval ezemshikh bolovsrol@
@compulsion@|@alba, alba-da-, alba(n), alban@
@comrade@|@nökör@
@conceal@|@ni'u-, niu-, nü@
@conceited@|@mahad-, mahas- mädgar, mäs-@
@concert@|@kontsert@
@cone@|@borgocoj, törcog@
@confirm@|@choqu-, coxo-@
@consequence@|@ur dagavar@
@consider@|@ergetsuulekh@
@constantly@|@bainga, jamagt, urgelj@
@consumer@|@khereglegts@
@contagious disease@|@šar, sira, sirig@
@container@|@saba@
@contest@|@marga-@
@conversation@|@küür, xür@
@convex@|@köbügür, kübügür, toburuu, tüdeg, tüitü-@
@cool@|@serigün, seruukhen@
@co-operation@|@eb, ev@
@coral beads@|@sirü, šür, šürü@
@corner of the eye@|@žobki, žobkis, zovxi, zovxis@
@correct@|@kese'e-, unen, ünen, xesë-@
@costly@|@unetei@
@cotton@|@sambai@
@count@|@toolokh@
@counter@|@dalang@
@country@|@oron@
@course@|@kurs@
@cousin@|@böle, bül, büli, bülü@
@cover of roof-window@|@eruge, erüke, örke, oruge, örx(ön), uruke@
@cow@|@ükär, unejen, ünën, uni'en, üniy-e@
@crack@|@ang@
@craftsman@|@ur(an), ura(n), uran@
@cranky@|@irba-, jarba-, jarva-@
@craw@|@baqalahur, baqau, baquu, baxlür, baxü@
@crayfish@|@qabchi, xavch@
@crest@|@del, dil, dïl-, mundä, serbe, serbege, servën, širun@
@crime@|@ere'u, eregü(ü), erü@
@criminal@|@gemt khereg@
@crops@|@taria, tariän, tarijan, tarijat@
@cross@|@daba'an, daba-, dava-@
@cross one's way@|@amada-, amda-@
@cross planks in a boat@|@deleg@
@cross-bar@|@qangha, xangga@
@cross-bow@|@qolkibchi, qolqubchi, säl, xolxiwch, xolxowch@
@crosswise@|@köndelen, kondolen, köndülen, xöndöl@
@crotch@|@qasa, xas@
@crow@|@keriyen@
@Crown@|@Titem@
@crystal@|@bolor@
@culture@|@soyul@
@cup@|@ajaga(n), ajaqa, tagš@
@cupboard@|@eregneg, ergineg@
@curd@|@ëde-, egede-, egežegei, ëzgij@
@curve@|@makiji-, maxij-, muri, muru, muru, murui, muruj@
@cushion@|@der(en), dere, derem-deg@
@cushion for sitting@|@olbog, talbag@
@custom@|@yosun@
@customer@|@khereglegts@
@cut small@|@keru, kira-, kiru-, xar-@
@cycle year@|@žil@
@cypress@|@majila-su, majls@
@daily@|@odor tutm(i)n@
@daily (newspaper)@|@odor tutm(i)n, odor tutm(i)n sonin@
@danger@|@ayouul@
@dark@|@balaj, balar, tun, tüne(n), tüner@
@dark brown@|@küren, küreng, kürin, xüren@
@darkening@|@büre-, buri-, bürij, bürüg, bürüj, bürül@
@darkness@|@qarangqui@
@darnel grass@|@qarahu, qaraw, xarü@
@daughter@|@oki, okin, ökin, oxin, ugen, ukin, ükin@
@Daughter@|@okhin@
@daughter-in-law@|@ber, beri@
@daugther@|@okin, xü-xen@
@dawn@|@ör, ur, ür, üür@
@day@|@edür, ödör, üdeš@
@daylight@|@gege(n), gegege(n), gegejen, gegën, geji-, gigän@
@dead body (of animal)@|@ulai, ulaj@
@deaf@|@dolä, duläi, dülei dulaiji, düli, dulii, dülij@
@death@|@ukhel, ükül@
@debt@|@ör, öri, uri@
@deceit@|@megd-, megde-, meke, mekei, mekr, mekri, mex, mexe@
@decision@|@shiidver@
@declivity@|@nalü@
@deed@|@üil@
@deep@|@gun, gün@
@deep (water)@|@cël@
@defame@|@sibsi-, šivšig@
@defect@|@g(e)si-, gem, gise, gise-, seb, sebegi, sebke, sev, sogog@
@defective@|@zem, zemdeg, žemdeg, žemdeg, žime@
@defile@|@ong, oni, onu@
@degree@|@kire, kiri, xir@
@deictic particle@|@-gu, ene kü, tere kü, xü@
@delicate@|@tagna-, tangki, tangna-, tangsi-, tanši-, tanx@
@delivery man@|@tugeegts@
@demon@|@bug, buh@
@dense@|@kör, kor-be, körü-, lüg, nagt, xör, xörö-@
@denunciator@|@xobci@
@department@|@gazar, kheltes, yamu@
@Departure@|@yavakh@
@dependent@|@khamaaraltai, kharaat@
@depilated skin@|@köm, xöm@
@depth@|@köb, köbege(n), köbüge, xövge@
@descendant@|@huran, hurun, ür, üre, xüre@
@desert@|@gov, govil, ke'er, keher, xër@
@desire@|@dur-a@
@destroy@|@burša-, kidu-, xada-@
@deteriorate@|@nete-re-, netre-@
@dew@|@sigüderi@
@dewlap@|@šalan, šalang, sudai@
@dexterity@|@düi, düj@
@diamond@|@almas@
@dictionary@|@toli@
@difference@|@yalgaatai@
@different@|@öger-e, ondö, ondu, oor oor@
@different kinds of wild onion@|@sorisu, sorisun, sors@
@different sorts of buckwheat@|@sagadaj, sagag@
@difficult@|@khetsuu, kondu, kündu@
@difficulty@|@mung, mungla-, munla-@
@diligence@|@gavjän, gavšgaj, habija, habija-, habšihai@
@Dinner@|@oroin khool@
@direct@|@udir-, udu-, uduri-, udurid-@
@direction@|@teg, tege@
@dirt@|@gkir, kir, kïr, kkir, xir@
@disability@|@sögüge@
@disaster@|@gamshig@
@disentangle@|@möltr-, mulitul, multla-, multr-@
@dish made of birch@|@qunija(n)@
@disorder@|@sama'u(i), samün@
@dissolve@|@šinge-, singge-@
@distance@|@zai@
@distant@|@qola@
@distinct@|@tod, toda, todu@
@distinguish@|@jalga-, jilxa@
@distribute@|@ta'ul-@
@district@|@duureg, raion@
@divination@|@tolge, tölge, tölög@
@dizzy@|@ulbaj-, ulbaji-, ülbeji-, ülbij-, ülbüi-, ulbuji-@
@Do you have...?@|@tanaid...bainuu?@
@Do you speak Mongolian?@|@Chi mongol hel medeh uu, Ta mongol hel medeh uu@
@do you speak...@|@ta...yairdaguu@
@dog@|@noqai, noxai, noxoj, nuqaj@
@donation@|@ergül, örgöl@
@donkey@|@elžigan, elžige(n), ilžgen, ilžig, ilžigen, ülžige@
@donkey (1)@|@ilžigän@
@Don't touch me there!@|@nadad bitgii hur!@
@door@|@egüden, öüdän, üd(en), ujdän@
@doormat@|@žirig, žirum, žuram@
@double bone@|@sigere, sigira, šijr@
@down@|@nölür, nörs@
@Down@|@dooshoo@
@downwards@|@urü@
@dragon@|@luu@
@dregs@|@cöv@
@dress@|@xuvcas@
@drip@|@sarkira-, sarqaji-, sarxij-@
@driving license@|@joloon(i) unemlekh@
@drum@|@ke'urge, ko'urge, kögerge, kögürge, korge, xörög@
@dry@|@aržaji-, qawraj, xüraj@
@dry dung@|@qokir, xoxir@
@dry up@|@xatü@
@duck@|@noqosun, nugas, nüqäsün@
@duck-hawk@|@quladu, qulatu, xult@
@during@|@ued@
@dust@|@to'osun, togosu, toos, tös, tüsun@
@dust-snow@|@tujil-dasu, tujldas@
@each@|@büri@
@eagle@|@bürgüd@
@early@|@ert, erte, erte(n)@
@ear-ring@|@süike, süiken, süikü, sujke, süjke, süjx@
@earth@|@siroi, šorö, šoroj@
@eclipse@|@raqu@
@edge@|@irmeg, irmeg, kömüg, užu'uren, üžügür, üzür, xajä@
@edible root@|@tömsön, tömüsü(n)@
@editor@|@redaktor@
@education@|@bolovsrol@
@effort@|@khutsin tsarmailt@
@egg@|@ömdege(n), ömdüge, öndege(n), öndög, öndüge@
@egg (1)@|@amdegan@
@eight@|@naiman, naym@
@elbow@|@toqai, toqoi, toqui, toxoj, twoqai@
@elder aunt@|@axai ekeci@
@elder brother@|@aq-a, aqa, ax@
@elevation@|@göbdürigüü, gövdrü@
@elk@|@qandaqai, xandgai@
@elm@|@qajilasu(n), qajilasun, xajlas@
@emaciated@|@dor, doroj, doru, dorui@
@embarrassed@|@mekei, mexij@
@emperor@|@xagan@
@employee@|@ajiltan@
@employer@|@ajil olgogts@
@empty@|@qangqai, xanxaj@
@enclosure@|@gure'en, gurijen, kürijen, qasi-, qasiha, xürën@
@end@|@adag, segül@
@ends of bow@|@kichir, xichir@
@enemy@|@dain, däin, daisun@
@energetic@|@or, ori@
@energy@|@id, ide, ider@
@English@|@angilar@
@engrave@|@tobi-, tovi-@
@enjoy@|@taashaakh@
@entertainment@|@zugä, žuha, žuhaha@
@enthusiasm@|@uram, urma@
@entire(ly)@|@bult, bultu, bulun@
@entrails of animals@|@sebesü(n), sebüsü(n), sevs@
@envy@|@najdangui, najidanghui, qara, xar, xar@
@era@|@üe@
@ermine@|@üjeng, üjeng, unen@
@especially@|@yalanguyaa@
@essence@|@nu-, oni-su(n), ons@
@eternal@|@möngke@
@even@|@tegsh@
@evening@|@orai, oroi, oroj, üdesi@
@every@|@bükün@
@everything@|@bogde, bügd, bügde, bugude, bükü, büx, büxel@
@everything (1)@|@bügüde, büküli@
@evil spirit@|@ad, ada@
@exam@|@shalgalt@
@examine@|@sigü-, šü-@
@example@|@jishee, kege(n) xë@
@excessive@|@ilegüü@
@exchange@|@doli-@
@exclusively@|@ontsgoi@
@excrement@|@argal@
@excrements@|@bä-, bäs(an), basun, bäsun, bäsun@
@excrements (of sheep)@|@qorgosun, qorhal, qorhul, qorhusun, xorgol@
@excuse me@|@khün guai@
@Excuse me@|@Örshöögöörei@
@exhausted@|@argi-, ari-@
@existence@|@orshikh@
@expand@|@badan, badang, badara-, badra-, orgojikh, telekh@
@experience@|@turshlaga@
@explain@|@tailbarlakh@
@extensive@|@nalai, nalaj@
@extinguish@|@sönö-, sönü-, süno'e-@
@extra@|@iluu@
@extremely@|@anqani quina, kheterkhii, masi, maši, unekheer@
@extremity@|@tujil@
@exuviate@|@onggu-, ongo-@
@eye@|@neidun, nidü, nidun, nüd@
@eye pus@|@luuqa, lüx, nuuqa, nüx@
@eyebrow@|@kömüske, kumuskä, xömsög@
@eyelash@|@sormos(on), sormu(u)su(n), sormue, surimusun@
@eyelash (1)@|@sormosu, sormüs(an)@
@face@|@ni'ur, niur, nojur, nür, nuur@
@facing@|@de'el-ün, debel, degel, degelei, degelen, dejel@
@fade away@|@mökü-, möxö-@
@faith@|@itegel, itgel@
@fake@|@khuuramts@
@falcon@|@shongxor, singxur, tojgon, tojxon@
@fall@|@namur, ömkere-, ömkeri-, ömküri-, öngkeri-, önxr-@
@familiarity@|@tanil@
@family@|@obox, obuh, ovog@
@family ties@|@torliin kholboo@
@fan@|@debigür, devür@
@fang@|@ara'a, aral, ariaä, nariä@
@far@|@qola kolo, qolo, qula, qulä, xol@
@Far@|@khol@
@far away@|@als, alus@
@far off@|@bojid, bujd, bujid@
@farcy@|@jam@
@farewell@|@salakh yous khiikh@
@farrow horse@|@bajidasu bajdas, bajitasu@
@fart@|@hunus, unggas(an)@
@fast@|@macag@
@fasten@|@tode'e-, todqa-, todu'e-, toduge, tödüge-, tüde-@
@fat@|@e'ukun, o'ukun, ögekün, tosun, tosun], ügekü, ukon, ukun-@
@father@|@eceg@
@Father@|@aav@
@fathom@|@ald, alda, älda@
@favourable circumstances@|@aja, aji@
@fear@|@ayul@
@feather@|@hudun eudün, odon, ödön, ödü, odun, udun@
@feather (1)@|@örbelge, örbülge, örvölgö@
@feeble-minded@|@munug@
@feeling@|@medrekhui@
@feeling of weariness@|@agsga@
@felt@|@esegei, esgij, isegei, isgai, isgij, sisgai@
@felt (1)@|@sïseke, sisukej@
@felt walls@|@to'urqa, tu'urqa, türga@
@female (of mountain ram)@|@argal@
@female animal@|@subai, suvaj@
@female breast@|@mëm, möm, mömö, mömü@
@female carp@|@mökürü, möxrü@
@female deer@|@sogö@
@female elk@|@sundasu, sündes, sündesü@
@female otter@|@evij@
@female shaman@|@hotkun, jituxan, udug, utugun@
@female tarbagan@|@nagaj@
@female tick@|@qubilžahana, xuvalz, xuvalzgana, xuvilzgana@
@fence@|@xašä, xaši-@
