@English@|@Norwegian@
@affection@|@hengivenhet@
@affiliate@|@knytte til@
@affirm@|@bekrefte, forsikre@
@afflict@|@bedrøve@
@affliction@|@lidelse, prøvelse@
@affluence@|@tilstrømning@
@afford@|@ha råd til, yte@
@afield@|@ut på marken@
@afoot@|@i gjære, til fots@
@afraid@|@redd@
@afresh@|@på ny@
@aft@|@akter-@
@after@|@bak, etter@
@afternoon@|@ettermiddag@
@afterwards@|@bak@
@again@|@igjen, pånytt@
@age@|@alder@
@agency@|@agentur, virksomhet@
@agglomerate@|@klumpe seg@
@aggravate@|@forverre@
@aggression@|@aggresjon@
@aggressive@|@aggressiv, pågående, stridbar@
@agile@|@smidig@
@agonize@|@pine, pines@
@agonizing@|@pinefull@
@agony@|@dødskamp, pine@
@agrarian@|@agrar, jordbruks-@
@agree@|@bli enig, samtykke, stemme@
@agreeable@|@behagelig, overensstemmende@
@agreement@|@enighet, overenskomst@
@agricultural@|@jordbruks-@
@agriculture@|@jordbruk@
@aground@|@på grunn@
@ahead@|@foran, framover, fremover@
@aid@|@hjelpe@
@ail@|@hangle, være syk@
@ailing@|@skrantende@
@ailment@|@illebefinnende, sykdom@
@aim@|@målsetting, sikte, strebe etter, trakte@
@aim for@|@tilstrebe@
@aimless@|@uten mål@
@air@|@luft@
@air force@|@luftvåpen@
@air pollution@|@luftforurensning@
@airbag@|@kollisjonspute@
@airbase@|@flybase@
@airborne@|@flybåren@
@airconditioning@|@klimaanlegg, luftkondisjonering@
@aircraft@|@fly, luftfartøy@
@aircraft carrier@|@hangarskip@
@airfield@|@flyplass@
@airliner@|@rutefly@
@air-mail@|@luftpost@
@airplane@|@fly@
@airport@|@flyplass, lufthavn@
@albania@|@albania@
@albanian@|@albaner@
@ale@|@øl@
@alien@|@fremmed, utlending@
@all@|@alle, alt@
@all but@|@alle untatt@
@all in all@|@overhodet@
@all over again@|@igjen, på nytt@
@all the same@|@likevel@
@all-around@|@allsidig@
@allege@|@påstå@
@alleged@|@angivelig, påstått@
@allegorical@|@allegorisk@
@allergic@|@allergisk@
@allergy@|@allergi@
@alleviate@|@lindre@
@alleviation@|@lettelse, lindring@
@alley@|@allé, smug@
@allow@|@gi lov til, innrømme, tillate@
@allowance@|@innrømmelse, rabatt, rasjon@
@alloy@|@legering@
@allude to@|@hentyde@
@allure@|@forlokke, lokke@
@allurement@|@lokkemat, tillokking@
@alluring@|@forlokkende@
@allusion@|@hentydning@
@ally@|@alliert, forbi, forbundsfelle@
@almond@|@mandel@
@almost@|@nesten@
@alms@|@almisse@
@aloft@|@til værs@
@alone@|@alene, enslig@
@along@|@avsted, bortover, langs@
@aloof@|@fjern, reservert@
@aloud@|@høyt@
@alphabet@|@alfabet@
@alpine@|@alpe-@
@already@|@allerede, alt@
@also@|@dessuten, også, til og med@
@also diocese@|@stift@
@also drageskip@|@drakeskip@
@also drakeskip@|@drageskip@
@also fascinere@|@fasinere@
@also fascinerende@|@fasinerende@
@also pull@|@rake@
@also rullefelt@|@rullesjakt@
@also rullesjakt@|@rullefelt@
@also verb go@|@tre@
@altar@|@alter@
@alter@|@endre, forandre@
@alteration@|@forandring@
@alternate@|@skifte, vekselvis, veksle@
@although@|@selv om, skjønt@
@altitude@|@høyde@
@altogether@|@aldeles, alt i alt, ganske@
@alum@|@alun@
@aluminium@|@aluminium@
@aluminum@|@aluminium@
@always@|@alltid, bestandig@
@am@|@er@
@amateur@|@amatør@
@amazing@|@utrolig@
@ambassador@|@ambassadør@
@ambiance@|@stemning@
@ambiguous@|@mangetydig, tvetydig@
@ambition@|@bestrebelse, ærgjerrighet@
@ambitious@|@ærgjerrig@
@ameliorate@|@bedre, forbedre@
@amenable@|@føyelig, mottagelig@
@amendment@|@tillegg@
@amicable@|@vennskapelig@
@amidst@|@midt iblandt@
@amnesia@|@hukommelsestap@
@among@|@blandt, blant@
@among other things@|@blant annet@
@among others@|@blant andre@
@amongst@|@blandt, blant@
@amorous@|@forelsket@
@amount@|@beløp, bety, mengde@
@amplifier@|@forsterker@
@amplify@|@forsterke@
@amuse@|@more, underholde@
@amused@|@moret, underholdt@
@amusement@|@moro, underholdning@
@amusing@|@underholdende@
@an@|@en, et@
@an out-of-the-way place@|@avkrok@
@anaemia@|@blodmangel@
@anaemic@|@blodfattig@
@anaesthesia@|@bedøvelse@
@anaesthetic@|@bedøvelse, bedøvende middel@
@analogic@|@analogisk@
@analogous@|@analog@
@analogy@|@analogi, overensstemmelse@
@analyse@|@analysere@
@analysis@|@analyse@
@anatomy@|@anatomi@
@ancestor@|@aner, forfedre, stamfar@
@ancestry@|@aner, byrd, herkomst, ætt@
@anchor@|@anker, ankre@
@anchor in@|@forankre@
@anchorage@|@ankerplass@
@anchovy@|@ansjos@
@ancient@|@fra gamle tider, gammel@
@ancillary@|@hjelpe-@
@and@|@og@
@and so@|@og så videre@
@anew@|@igjen, pånytt@
@angel@|@engel@
@anger@|@sinne@
@angle@|@angel, fiske med snøre, vinkel@
@angle brackets < and >@|@vinkelparentes@
@angry@|@sint@
@anguish@|@kval, pine@
@angular@|@vinkelformet@
@animal@|@dyr@
@animal experimentation@|@dyreforsøk@
@animosity@|@fiendskap, hat@
@ankle@|@ankel@
@annex@|@tilføyelse@
@annihilate@|@tilintetgjøre@
@anniversary@|@årsdag@
@announce@|@forkynne, kunngjøre, meddele, melde@
@announcement@|@kunngjøring, melding, påmelding@
@announcer@|@hallodame, hallomann@
@annoy@|@ergre, forarge, irritere@
@annoyance@|@ergrelse, irritasjon@
@annoying@|@forargelig@
@annual@|@årlig@
@annual report@|@årsberetning@
@annual volume@|@årgang@
@anoint@|@smøre@
@anomalous@|@uregelrett@
@anomaly@|@avvik, uregelmessighet@
@anonymity@|@anonymitet@
@anonymous@|@anonym@
@another@|@en annen, en til@
@answer@|@besvare, stå til, svar, svare@
@answerable@|@ansvarlig@
@answering machine@|@telefonsvarer@
@ant@|@maur@
@antagonism@|@motsetningsforhold, strid@
@antagonist@|@motstander@
@antarctic@|@Antarktis, antarktisk, sydpols-, sydpols-@
@ante@|@innsats@
@antecedents@|@fortid, tidlig, tidligere liv@
@antechamber@|@forværelse@
@antedate@|@forutdatere@
@antelope@|@antilope@
@antenna@|@antenne, følehorn@
@anterior@|@tidligere@
@anthem@|@hymne@
@anthill@|@maurtue@
@anthrax@|@miltbrann@
@anticipate@|@foregripe, forutse@
@anticipation@|@foregriping, forutfølelse, forventning@
@antidote@|@motgift@
@antipathy@|@antipati, motvilje@
@antiquarian@|@antikvar@
@antique@|@antikk, antikvitet@
@antiquities@|@oldtidslevninger@
@antiquity@|@klassisk oldtid@
@antiseptic@|@antiseptisk@
@anvil@|@ambolt@
@anxiety@|@engstelse, uro@
@anxious@|@engstelig, ivrig@
@anybody@|@hvem som helst@
@anyhow@|@helst@
@anyone@|@enhver, hvilken som helst@
@anything@|@hva som helst@
@anyway@|@allikevel, helst@
@anywhen@|@når som helst@
@anywhere@|@hvor som helst@
@apart@|@avsondret@
@apart from@|@bortsett@
@apartment@|@leilighet, værelse@
@apartment building@|@blokk@
@apathy@|@sløvhet@
@ape@|@ape, etterape@
@aperture@|@hull, åpning@
@apiece@|@for stykket, til hver@
@apish@|@apelignende, etterapende, fjollet@
@apologetic@|@unnskyldende@
@apologize@|@be om unnskyldning@
@apology@|@unnskyldning@
@apostle@|@apostel@
@appal@|@forskrekke@
@apparatus@|@apparat@
@apparently@|@tilsynelatende@
@appeal@|@appell, appellere, behage, henstilling, innanking@
@appear@|@innfinne seg, opptre, vise seg@
@appearance@|@tilsynekomst, utseende@
@appearances@|@skinn@
@appellation@|@navn@
@appendix@|@blindtarm, vedheng@
@appetite@|@appetitt, lyst@
@appetizer@|@forrett@
@appetizers@|@foretter@
@appetizing@|@appetittvekkende@
@applaud@|@applaudere@
@applause@|@applaus, bifall@
@apple@|@eple@
@appliance@|@innretning, redskap@
@applicable@|@anvendelig@
@applicant@|@søker@
@application@|@anbringelse, anvendelse, flid, henvendelse, påmelding, søknad@
@applied@|@henvendt@
@applies to@|@gjelde@
@apply@|@bruke, henvende seg, påføre, søke@
@apply for funds@|@søke om midler@
@apply to@|@gjelde@
@appoint@|@fastsette, utnevne@
@appointment@|@avtale, tilsetting, utnevnelse@
@appointments@|@avtaler, utrustning@
@appraisal@|@vurdering@
@appraise@|@vurdere@
@appreciate@|@forstå, sette pris på, verdsette@
@appreciation@|@bedømmelse, verdsettelse@
@apprehend@|@anholde, begripe, frykte, pågripe@
@apprehension@|@forståelse, frykt, pågripelse@
@apprehensive@|@bekymret, rask til å oppfatte, redd@
@apprentice@|@lærling@
@apprenticeship@|@læretid@
@approach@|@adkomst, henvende, innfallsvinkel, innstilling, nærme seg@
@approaching@|@anmarsj@
@approbation@|@bifall@
@appropriate@|@bevilge, grei, hensiktsmessig, tilegne seg@
@appropriation@|@bevilgning, tilegnelse@
@approval@|@bifall, godkjenning@
@approve@|@bifalle, godkjenne@
@approximate@|@omtrentlig@
@apricot@|@aprikos@
@April@|@april@
@apron@|@forkle@
@aptitude@|@sikkerhet@
@arbitrary@|@villkårlig@
@arbitrate@|@megle@
@arbitration@|@voldgift@
@arbitrator@|@voldgiftsmann@
@arcade@|@buegang@
@arch@|@bue, erke-, hvelv, skjelmsk@
@archaeologist@|@arkeolog@
@archaeology@|@arkeologi@
@archbishop@|@erkebiskop@
@archer@|@bueskytter@
@archery@|@bueskyting@
@archipelago@|@arkipel, øygruppe@
@architect@|@arkitekt@
@architecture@|@byggekunst@
@arctic@|@arktisk@
@ardent@|@brennende, ildfull@
@area@|@areal, flate, flateinnhold, område@
@area of activity@|@fagområde@
@argue@|@argumentere, drøfte@
@arm@|@arm, ruste@
@arm-chair@|@lenestol@
@army@|@hær@
@arouse@|@vekke@
@arrange@|@formidle@
@arrangement@|@ordning@
@array@|@stille opp@
@arrears@|@restanse@
@arrest@|@pågripe@
@arrival@|@ankomst@
@arrive@|@ankomme, framme@
@arrogance@|@hovmod@
@arrogant@|@hoven, hovmodig@
@arrow@|@pil@
@arrow key@|@piltast@
@arse@|@rompe, ræv@
@arson@|@brannstiftelse@
@arsonist@|@brannstifter@
@art@|@kunst@
@art for loan@|@artotek@
@article@|@ting@
@artificial@|@kunstig@
@artisan@|@håndtverker@
@as@|@som@
@as a rule@|@som regel@
@as in sights to visit@|@severdighet@
@as it were@|@liksom@
@as though@|@som om@
@as usual@|@som vanlig@
@ascend@|@bestige@
@ascertain@|@finne ut@
@ascribe@|@tillegge, tilskrive@
@ash@|@ask@
@ash tray@|@askebeger@
@ash Wednesday@|@askeonsdag@
@ashamed@|@skamfull@
@ashes@|@aske@
@ash-tray@|@askebeger@
@ask@|@spørre@
@askance@|@på skjeve@
@asparagus@|@asparges@
@aspiration@|@bestrebelse@
@aspirin@|@globoid@
@ass@|@esel, ræv@
@assassin@|@snikmorder@
@assault@|@overgrep@
@assemblage@|@samling@
@assemble@|@komme sammen, montere@
@assent@|@samtykke@
@assert@|@hevde, påstå@
@assertion@|@påstand@
@assertive@|@påståelig@
@assess@|@anslå, beskatte@
@assessment (tax)@|@ligning, likning@
@asshole@|@rævhol@
@assigner@|@oppdragsgiver@
@assignment@|@oppdrag, oppgave@
@assist@|@hjelpe@
@associate@|@forbindelse, kollega@
@associated with@|@forbundet@
@association@|@forening, liga@
@assume@|@anta, gå ut fra@
@assumed@|@antatt@
@astonish@|@forbause@
@astonishing@|@forbausende@
@astound@|@forbløffe@
@astray@|@på villspor@
@astride@|@overskrevs@
@astute@|@gløgg, slu@
@asunder@|@i stykker@
@asylum@|@asyl@
@asylum seeker@|@asylsøker@
@at@|@ved@
@at all@|@overhodet@
@at any rate@|@i hvert fall@
@at last@|@endelig@
@at most@|@høyst@
@at night@|@om kvelden, om natten@
@at once@|@straks@
@at present@|@nå@
@at random@|@på måfå@
@at rest     leisurely@|@i ro    i ro og mak@
@at school@|@på skolen@
@at sea@|@på sjøen, til sjøs@
@at stake@|@på spill@
@at the same time@|@samtidig@
@at times@|@av og til, undertiden@
@Athens@|@Athen@
@athlete's foot@|@fotsopp@
@atmosphere@|@stemning@
@atone for@|@sone@
@atonement@|@soning@
@atrocious@|@fryktelig, fæl@
@atrocity@|@grusomhet@
@attach@|@binde, knytte, tillegge@
@attack@|@angrep, angripe@
@attain@|@oppnå@
@attempt@|@forsøke, prøve@
@attempted rape@|@voldtektsforsøk@
@attend@|@besøke, betjene, innfinne seg, ledsage@
@attend to@|@rette opp@
@attendance@|@tilstede@
@attention@|@gehør, oppmerksomhet, oppsikt@
@attic@|@loft@
@attitude@|@holdning, innstilling@
@attorney@|@advokat@
@attractive@|@fordelaktig@
@attribute@|@kjennetegn@
@audacious@|@dumdristig@
@audible@|@hørbar@
@audience@|@publikom, publikum@
@audio@|@lyd@
@audio book@|@lydbok@
@August@|@august@
@aunt@|@tante@
@authentic@|@autentisk, ekte@
@author@|@forfatter, opphavsmann@
@authority@|@myndighet@
@authorize@|@autorisere@
@authorized@|@autorisert@
@automatic@|@automatisk@
@automatic transmission@|@automatgir@
@automobile@|@bil@
@automoton@|@automat@
@autumn@|@høst@
@available@|@tilgjengelig@
@avalanche@|@skred@
@avarice@|@gjerrighet, griskhet@
@avenge@|@hevne@
@avenue@|@allé@
@average@|@gjennomsnitt@
@average household@|@gjennomsnittshusholding@
@averse@|@uvillig@
@aversion@|@aversjon, uvilje@
@aviation@|@flyging@
@aviator@|@flyger@
@avocation@|@bibeskjeftigelse@
@avoid@|@sky, unngå@
@await@|@vente@
@awaken@|@vekke@
@award@|@premie, pris@
@aware@|@kjent@
@away@|@bortreist, vekk@
@awesome@|@kjempeflott@
@awful@|@fæl, uhyggelig@
@awkward@|@keitet, klosset@
@awning@|@markise, solseil@
@awry@|@forkjært@
@axe@|@øks@
@axis@|@aksel@
@axle@|@aksel@
@baby@|@spebarn@
@baby carriage@|@barnevogn@
@bachelor@|@ungkar@
@back@|@rygg, tilbake@
@back up@|@rygge@
@back wheel@|@bakhjul@
@background@|@bakgrunn@
@backing@|@dekning@
@back-logged@|@tilbakelagt@
@backpack@|@ryggsekk@
@backspace key@|@tilbaketast@
@backsweep@|@dragsug@
@backwards@|@baklengs, bakvendt@
@backwash@|@dragsug@
@backwater@|@bakevje@
@bacon@|@flesk@
@bacon bits@|@fleskebiter@
@bacteria@|@bakterier@
@bacterium@|@bakterie@
@bad@|@dårlig, vond@
@badge@|@merke@
@badger@|@sjikanere@
@baffle@|@forpurre, forvirre@
@bag@|@bag, pose, sekk, veske@
@baggage@|@bagasje@
@baggy@|@posete@
@bagpipe@|@sekkepipe@
@bail@|@kausjon@
@bait@|@agn, lokkemat, åte@
@bake@|@bake@
@baker@|@baker@
@bakery@|@bakeri@
@balance@|@balansere, likevekt@
@balcony@|@altan, balkong@
@bald@|@skallet@
@bald-headed@|@skallet@
@ball@|@ball@
@ball of yarn@|@nøste@
@balloon@|@ballong@
@ballot@|@stemmeseddel@
@ballpoint pen@|@kulepenn@
@balm@|@balsam@
@balmy@|@mild, skrullete@
@bamboo@|@bambus@
@banana@|@banan@
@bandage@|@bind@
@banish@|@forvise@
@banister@|@gelender@
@bank@|@bank@
@bank statement@|@kontoutskrift@
@bank)@|@disk@
@bankrupt@|@fallitt, konkurs@
@banner@|@flagg@
@banter@|@småerte@
@barb@|@brodd, mothake, tagg@
@barbecue@|@grillfest@
@barbed wire@|@piggtråd@
@barber@|@barbermester, frisør@
@bare@|@bar, bare, bart@
@bargain@|@god handel, kupp, prute@
@barge@|@lekter, pram@
@bark@|@bjeff, bjeffe@
@barley@|@bygg@
@barn@|@låve@
@barometer@|@barometer@
@barracks@|@brakke, kaserne@
@barrel@|@fat, løp, tønne, valse@
@barren@|@gold, ufruktbar@
@barrister@|@advokat@
@barrow@|@trillebår@
@barter@|@byttehandel@
@based on observ@|@empirisk@
@basement@|@kjeller@
@basic@|@basisk, grunn-@
@basin@|@basseng, fat, kum@
@basis@|@basis, grunnlag@
@bask@|@sole seg@
@basket@|@kurv@
@bass@|@bass@
@bastard@|@uekte@
@bat@|@balltre, flaggermus@
@bath@|@bad, badekar@
@bathe@|@bad, bade@
@bathing suit@|@badedrakt@
@bathing trunks@|@badebukse@
@bathroom@|@badeværelse, toalett@
@bathtub@|@badekar@
@baton@|@stokk@
@battery@|@akkumulator, batteri@
@battle@|@slag@
@battlefield@|@slagmark@
@battlefront@|@forside@
@battlement@|@brystvern@
@bawl@|@brøle, skråle@
@bay@|@bukt, vik@
@bazaar@|@samvirkelag, torg@
@be@|@være@
@be accepted@|@komme inn@
@be asleep@|@sove@
@be bound for@|@på vei til, være bestemt for@
@be bound to do@|@nødt til, være forutbestemt@
@be brief@|@fatte@
@be brought up@|@komme opp@
@be clear from@|@framgå@
@be content with@|@nøye seg@
@be enough@|@rekke@
@be full of@|@romme@
@be going to@|@komme til å@
@be in agreement with@|@innforstått@
@be in charge@|@ha ledelsen@
@be in mourning@|@bære sørgedrakt@
@be included in@|@inngå@
@be located@|@stå@
@be on parole@|@være prøveløslatt@
@be on the sick list@|@sykemeldt@
@be prejudiced@|@ha fordommer, være forutinntatt@
@be right@|@ha rett@
@be satisfied with@|@nøye seg@
@be sick@|@kaste opp@
@be stuck@|@sitte fast@
@be sure to@|@passe på@
@be surprised@|@stusse@
@be taken@|@bli tatt@
@be under repair@|@være til reparasjon@
@be unwilling@|@vegre seg@
@be up to@|@drive med@
@be versed in@|@være kyndig i@
@beach@|@strand@
@beacon@|@fyr, sjømerke@
@bead@|@perle@
@beak@|@nebb@
@beam@|@bjelke, ståle@
@bean@|@bønne@
@bear@|@bjørn@
@beard@|@skjegg@
@beast@|@dyr, udyr, utdyr@
@beast of prey@|@rovdyr@
@beastly@|@avskyelig, dyrisk@
@beat down@|@prute ned, slå ned@
@beautiful@|@nydelig, pen, skjønn, vakker@
@beauty@|@skjønnhet@
@beauty care@|@skjønnhetspleie@
@because@|@fordi@
@beckon@|@vinke@
@become@|@bli@
@bed@|@seng@
@bedroom@|@soverom@
@bee@|@bie@
@beef@|@oksekjøtt@
@beefsteak@|@biff@
@beehive@|@bikube@
@beer@|@øl@
@beet@|@bete@
@beetle@|@bille@
@before@|@foran, før, innen@
@beg@|@tigge@
@beggar@|@tigger@
@begin@|@begynne, innlede@
@behalf@|@vegne@
@behave@|@forholde@
@behave affectedly@|@gjøre seg til@
@behavior@|@atferd@
@behaviour@|@oppførsel@
@behind@|@bak@
@behold@|@se, skue@
@beige@|@beige@
@being@|@eksistens, skapning, vesen@
@belated@|@forsinket@
@belch@|@oppstøt, rap@
@belief@|@tro@
@believable@|@trolig@
@bell@|@klokke@
@belligerent@|@krigførende@
@bellowing@|@skrål@
@belly@|@buk, mave@
@belong@|@tilhøre@
@belong to@|@tilhøre@
@below@|@ned, under@
@bench@|@benk@
@beneath@|@under@
@benefaction@|@velgjerning@
@benefit@|@gagn, gode@
@benevolence@|@velvilje@
@benevolent@|@velvillig@
@bent@|@buktet, tilbøyelighet, vippe@
@bequeath@|@testamentere@
@berth@|@ankerplass@
@beside@|@nær@
@besiege@|@beleire@
@bespectacled@|@bebrillede@
@bestow@|@gi, skjenke@
@bestseller@|@bestselger@
@bet@|@satse, vedde@
@betray@|@forråde@
@betrayal@|@svik@
@betroth@|@forlove@
@better@|@bedre, forbedre@
@between@|@imellom@
@beverage@|@drikk@
@beverages@|@drikker@
@bewilder@|@forvirre@
@bewilderment@|@forvirring@
@bewitch@|@forhekse@
@beyond@|@hinsides@
@beyond retrieval@|@kan ikke reddes, ugjenkallelig@
@bias@|@fordom, vinkling@
@biased@|@forutinntatt, partisk@
@biassed@|@forutinntatt, partisk@
@bib@|@smekke@
@bicycle@|@sykkel@
@bier@|@båre, likbåre@
@big@|@stor@
@bigamy@|@bigami@
@bigot@|@fanatiker, intolerant person@
@bigoted@|@sneversynt@
@bike@|@sykkel@
@bilberry@|@blåbær@
@bill@|@billett, regning, seddel@
@bill of lading@|@konnossement@
@billboard@|@plakattavle@
@billiards@|@biljard@
@bin@|@binge, kasse@
@bind@|@binde@
@binding@|@innbinding@
@binoculars@|@kikkert@
@biographer@|@levnetsskildrer@
@biography@|@biografi@
