@English@|@Tibetan@
@a spurious glass@|@aching@
@a stake for tedding@|@btod, gtod, rtod@
@a strip@|@lung@
@a swelling@|@skrangs@
@a thick woolen blanket@|@grum'ce@
@a throne@|@gdan@
@a weeper@|@khrab-khrab@
@a whole piece@|@ling@
@a whore@|@khrul-ma@
@a wicked demon@|@bjad@
@a.k. of basket@|@khjung-dpjad@
@abbot@|@khen-po@
@abdomen@|@chal@
@about@|@kor-la, tsa, tsam la@
@About at 9 o' clock@|@chü-tso gu-ba tsa la@
@above@|@bla, gong@
@abscess@|@thor@
@abstain from@|@azhi@
@abstinence@|@dge-ba@
@abundance@|@bdo, longs@
@abuse@|@rcub@
@abusive word@|@brlang@
@accurate@|@zib@
@action@|@bgji-ba, las@
@address@|@kha-jang@
@adhering@|@adag@
@afraid@|@bred@
@after@|@je-la, shug-la@
@afternoon@|@chi-tho@
@again@|@slar, yang-kyer@
@age@|@lo@
@aged@|@rgad, rgan@
@aim@|@rgjugs@
@air@|@lung, rlun@
@airport@|@nam-dru thang@
@all@|@ka-yang, kang-ga, kob, lib, tsang-ma@
@almost@|@pe-che@
@alone@|@chik-po, hrang@
@also@|@yang, ye@
@altar@|@chö-shun@
@altitude sickness@|@la-du na@
@altogether@|@jo-ba@
@always@|@aphjad, ka-dü yin na, tak-ba@
@Am I allowed to go there?@|@nga pa-ghi dhro cho-gi-re-pe?@
@amber@|@po-shi@
@among@|@nang-ne@
@an assemblage of men@|@chogs@
@an inhabited place@|@jul@
@and@|@dan, tang@
@anger@|@khon@
@angle@|@gru, grwa@
@animal@|@chan, sem-chen@
@ankle-bone@|@long-bu@
@answer@|@glon, rlon, than@
@ant@|@sbur@
@anus@|@gzang@
@any forked object@|@kha-brag@
@any pointed@|@mchon@
@Any yours?@|@a-ni keh-rahng@
@apple@|@ku-shu, sli@
@april@|@chin-dha zhi-pa@
@April@|@dawa shewa@
@apron@|@pan-ge@
@Are you married?@|@Keh-rang Trungsa-Kyon sin-pe?@
@are you Tashi?@|@khye-rang Ta-shi yin-pe?@
@are you Tibetan?@|@khye-rang pö-pa yin-pe?@
@arm@|@lag, lag.pa, lag.pa, lak-ba@
@army@|@dmag@
@around@|@gi ta-kor la@
@arrangements@|@grabs@
@arrive@|@yong@
@arrow@|@mda@
@artichoke@|@do@
@artist@|@nga ri-mo-ken yin@
@as much as@|@cam@
@ashes@|@Cuona-Menba pla, gog-thal, Jirel tha-la@
@ask@|@lap, tri@
@ask a question@|@ke-cha tri@
@ass@|@bon.bu@
@assemblage@|@khrod@
@assembly hall@|@tsog-khang@
@astringent@|@bska@
@At 9 o' clock@|@chü-tso gu-ba la@
@at home@|@nang la@
@At what time do you open@|@chü-tso ka-tsö la go che-gi-re@
@At what time......?@|@chü-tso ka-tsö la re?@
@atheist@|@chö khe-mi-len-ken@
@august@|@chin-dha gyay-pa@
@August@|@dawa gyepa@
@autumn@|@ston, ton-ka@
@avalanche@|@kang-ru@
@Avalokiteshvara@|@Chen-re-zi@
@aversion@|@khrel@
@axe@|@sta-re@
@back@|@gyap@
@back part of smth@|@phag-ma@
@backpack@|@gyap-pa@
@bad@|@ag-po, duk cha@
@bad of food@|@ngan@
@bamboo@|@smjig, smjug@
@bank@|@agram, dngo, ngü-khang@
@bar@|@chang-khang@
@bare@|@ther@
@bark of a species of willow@|@sgro@
@barley@|@ne, rtsam@
@barrel@|@zem@
@barter@|@je@
@bathroom@|@trü-kang@
@be@|@yin, yoepa@
@be able@|@lcog, lcog, lcog, lcogs, mnga, nus@
@be absorbed in@|@bstim, bstims, stim, stims@
@be afraid@|@bag, je, je, je, zed@
@be afraid of a thing@|@azhigs@
@be agitated@|@lcog@
@be associated with@|@agrogs@
@be beaten@|@apham, pham@
@be begotten@|@chags@
@be blind@|@mdongs@
@be boiled@|@akhol@
@be born@|@akhrung, kyi@
@be caked@|@khak@
@be checked@|@brnangs, rnang@
@be clean@|@gcang@
@be clear@|@gsal@
@be complete@|@chang@
@be confused@|@brtab, brtabs, rtab, rtobs@
@be cured@|@drag@
@be cut off@|@achad, chad, chod@
@be dim@|@athom, thoms@
@be dissatisfied@|@akhon@
@be finished@|@chom, rdzugs@
@be full@|@bltam, bltams, ltam@
@be happy@|@bde@
@be high@|@mtho@
@be hungry@|@ltogs, sprebs, spribs, thro-go-tö@
@be ill@|@na@
@be in great plenty@|@bra@
@be insane@|@mjo, smjo, smjon@
@be lighted@|@abu, abus@
@be low@|@dma, sma@
@be made ready@|@agrub, grub@
@be obscured@|@rmong, rmongs@
@be pleased@|@smos@
@be prominent@|@abur@
@be proportional@|@ran@
@be proud of@|@brlam, brlams, rlom@
@be pure@|@dang@
@be quick@|@smjur@
@be raised@|@aphags@
@be remaining@|@lus@
@be rooted out@|@abog, abogs, bog, dbog, dbogs, phog@
@be satisfied@|@nom@
@be scattered@|@athor, ãthor, btor, gtor@
@be separated@|@abral, bral, brol@
@be sufficient@|@chog@
@be sure@|@thag@
@be tamed@|@achun-pa@
@be terrified@|@skrag@
@be thirsty@|@ka-kom@
@be true@|@bden@
@be turned@|@adril, dril@
@be useful@|@phan@
@be warm@|@dro@
@be wiped off@|@abji, bji, phji@
@beak@|@mchu@
@beam@|@gdung, phog@
@beans@|@tre-ma@
@bear@|@dom@
@beard@|@'ag-chom, rgya@
@beautiful@|@bzang, nyin ge-po, nying jeh-mo, zeh-ma@
@beautiful people@|@tse-ma (f), tse-po (m)@
@because@|@kang yin se-na@
@become free@|@thar@
@become insensible@|@akhol-ba, bkol, khol@
@become numb@|@sbrid@
@become quiet@|@zi@
@bed@|@ñal.k'ri, nyi-tri@
@bee@|@bung, sbrang@
@beef@|@lang-sha@
@beer@|@ch'an, chang@
@beer-jug@|@ban@
@beer-pot@|@jug@
@before@|@kong-la, ngon-la, sngar@
@before he arrives@|@khong ma-lep-kong-la...@
@begin to bloom@|@abar@
@behind@|@gyab-la@
@bell@|@dhri-bu@
@bellows@|@sbud@
@belly@|@g-su-s@
@beloved@|@gces@
@below@|@aok@
@bend@|@agug, agugs, bgug, dgug, khug@
@better@|@yag, yag-ga@
@between@|@par-la@
@beyond@|@lhag, pha@
@bicycle@|@kang-ga-ri@
@big@|@chen.po, ger-pu@
@bigger@|@che-ua@
@bill@|@ngü-tsi@
@bind together@|@bsog, gsog, sog, sogs@
@bird@|@bja, bya, cha@
@bitter@|@kha@
@black@|@gnag, nag, nag.po@
@blad to chew@|@ldad@
@blessing@|@g-jang@
@blight@|@bca@
@blood@|@khrag, trak@
@blue@|@ngom-po, sngo, snon.po@
@board in compounds@|@aphar@
@boat@|@dhru, gru@
@bodhisattva@|@jang-chu sem-pa@
@body@|@gzugs.po, lus, sug-po@
@boil@|@chu-tsö, khö@
@boiled@|@chu-tsö@
@boiled corn@|@chan@
@boiled hot water@|@chu kö-ma@
@bone@|@ru-ko, rus, rus.k'og@
@book@|@deb, teb@
@books@|@teb-tso@
@bosom@|@snam-brag, snam-logs@
@botanical term@|@khrog-po@
@both@|@nyi-ka@
@bottle@|@she-tam@
@bough@|@jal-ga@
@boundary@|@ri@
@bowl@|@ka-yül, po-ba@
@boy@|@abrog-phrug, bu bu-mo@
@bracelet@|@dro-tung@
@brandish@|@brdul@
@brave@|@dpa, spa@
@bread@|@bag.leb, pa-le@
@break forth from@|@brdol, rdol@
@break into small pieces@|@grug-pa@
@breakfast@|@sho-cha ka-la, sho-ghe@
@breast@|@brang@
@breath@|@hu@
@brick@|@pag@
@bridge@|@sam-pa, zam, zam.pa@
@brightness@|@bkrag-pa, dngom, gzi, od@
@brigtness of face@|@mdangs@
@bring@|@kye@
@broke@|@chak@
@bronze@|@akhar, mkhar@
@brother@|@cho-la, pin-gya bu@
@brother in relation to sister@|@ming@
@brown@|@rgya.smyug@
@brush@|@zed@
@bubble@|@dbu, lbu, sbu@
@buck@|@yang-ra@
@Buddha@|@Sang-gye@
@buddhism@|@nang-pe chö@
@buddhist@|@nang-pa@
@bug hole@|@sbugs@
@build@|@so, sö@
@bumble-bee@|@bu-jang@
@bunch@|@chom, chun@
@burden@|@khal, khur@
@burst@|@rdos@
@bus@|@lam-kor@
@bus station@|@lam-kor kak-sa@
@busy@|@brel@
@but@|@yin-na, yin-na yang@
@butcher@|@gsan, san@
@butter@|@mahr@
@butter lamp@|@cho-me@
@butter tea@|@pö-cha@
@butterfly@|@lip-pra@
@buy@|@nyo, nyö, nyo-pa@
@by car@|@mo-tha la@
@by walking@|@kom-pa-gyab-ne@
@cabbage@|@kram@
@cake@|@ten-shi@
@calf of the leg@|@bjin-pa@
@call@|@agug, agugs, bgug, dgug, ke tang, khug@
@callosity@|@sag@
@calumny@|@phra@
@camera@|@par-che@
@Can I see the room@|@khang-mi ta cho-gi-re-pe@
@candle@|@yan.la.@
@cane@|@sba, spa@
@car@|@mo-tha@
@caress@|@nug-pa@
@carpenter's axe@|@sto@
@carriage@|@theg@
@carry@|@aba@
@carry away@|@akhjer-ba@
@cat@|@shi-mi, ži.mi@
@catholic@|@ye-shu ke-to-ly@
@cattle@|@phjug@
@cause to come forth@|@abjin, dbjung, phjung@
@cause to go out@|@adon, bton, gdon, thon@
@cause to return@|@zlog@
@cause to sound@|@akhrol-ba, dkrol, krol@
@cave@|@dhra-pu@
@cavern@|@aba@
@celestial gods of the Bon@|@the@
@centre@|@lte@
@ceremony@|@se-ra-kom-ba@
@cervical vertebra@|@nog@
@chair@|@khri, kup-kya@
@change@|@je@
@change money@|@ngü sil-ma@
@chant@|@dgjer@
@charcoal@|@sol-ba@
@charge@|@jus@
@cheap@|@ke-po, kong-chung-chung@
@cheek@|@agram, gram.pa, ldang@
@cheerful@|@khrul-po@
@cheese@|@chu-ra@
@cherry@|@li@
@cherry-brown@|@smug@
@chest@|@pang-ko@
@chicken@|@cha-sha, cha-ti@
@chigs sediment@|@rci@
@child@|@bu, phru, phrug, phrug-gu, phu.gu, pu-gu, spu.gu@
@children@|@pu-gu@
@China@|@Gya-nak@
@Chinese@|@ge-ri, gya-mi@
@choose@|@dem@
@chop@|@achog, bcags, bcog@
@chopsticks@|@kö-tse@
@christian@|@ye-shu@
@Christian@|@nga ye-shu yin@
@circular@|@zlum@
@circumambulate@|@ko-ra gyap@
@circumambulation@|@ko-ra@
@circumference@|@go-ra, kho-ra@
@class@|@gras@
@clay@|@rzha@
@clean@|@bseng, seng, tsang-ma@
@clear@|@hlang-nge@
@clever@|@gcang@
@clew of threads@|@dru-bu, gru-bu@
@climb@|@tsah, za@
@cloak@|@ber@
@close@|@akhris, go-gyab, go gyap, gyap, thri-la@
@close to@|@gi thri-la, thri-la@
@cloth@|@dar@
@clothes@|@tung-lo@
@cloud@|@sprin, sprin.pa, thin-pa@
@coarse@|@rags, sbom@
@coat-flap@|@thu@
@coat-lap@|@khud@
@cock@|@ja-mo, ja-po@
@coffer@|@sgrom@
@coin@|@gor-mo@
@cold@|@cham-ba na, di trang-mo du, thrang-mo, thrang-mo, trahng-mo@
@cold air@|@sad@
@collar@|@gong-ba@
@colour@|@tsö-shi@
@combat@|@athab-pa@
@come@|@hlag, hlags, lep, ong, sho, shok, spjon, yong, yong, yongwa@
@come (1)@|@abjon@
@come back@|@ldog@
@come here!@|@de sho@
@come on; read!@|@log-scig@
@come to@|@adang@
@come together@|@azhom, azhoms@
@come up to@|@phod@
@come!@|@sho-ah@
@comet@|@phod@
@commerce@|@chong@
@common gourd@|@gon@
@compare@|@sdur@
@compound of earth and water@|@azhim@
@conceal@|@sgong@
@conspicuous@|@mngon-pa@
@convey@|@akhur@
@cook@|@ka-la so-ua@
@cool@|@grang@
@coolness@|@bsil@
@coral@|@che-ru@
@cord@|@sgrog, sgrogs@
@corner@|@zur@
@corner-tooth@|@mche-ba@
@corpse@|@ro@
@cough@|@khogs, lo@
@count@|@tsi gyag@
@countenance@|@bzin@
@country@|@lung-pa@
@cover@|@akheb, khebs, thum, thums@
@covering@|@khebs, sgab, subs@
@cow@|@ba, ba-mo, ba-mo, ba.phyugs, pa-chu@
@crane@|@khrung-khrung@
@crooked@|@akhjog, dgur, khjog, khongs, khums, khums, khums, kjog, kum-pa, kum-pa@
@crooked (1)@|@rgur, sgur@
@crow@|@khwa.ta.@
@cultivated land@|@klungs@
@cup@|@kong, skong@
@curdled milk used as a ferment@|@ru-ma@
@current@|@rgjun@
@curve@|@agum@
@curved@|@gjog, kjag-kjog, kjog-kjog@
@cushion@|@abol, bol@
@custom@|@srol@
@cut@|@ma@
@cut into small pieces@|@sgral-ba@
@cut up@|@dmjal@
@cymbal@|@bug-che@
@cypress@|@spa@
@Dalai Lama@|@Ye-shin Nor-bu@
@damage@|@gud, gun@
@damaged@|@zed@
@damned@|@dmo-ba@
@dance@|@bro@
@dark@|@mog, smag@
@dark grey@|@rog-rog@
@darkness@|@skrib, skribs@
@date@|@tse-ba@
@daughter@|@bu.mo@
@daughter-in-law@|@mna-ma@
@day@|@gdag, ñi.ma, nij', nyi-ma, nyi-ma, zag, zag@
@day after tomorrow@|@nang-nyi, phra@
@day before yesterday@|@ke-nyi-ma@
@death@|@ch'i.ba, chi-ua@
@debate@|@tsö-pa@
@deceit@|@zog@
@december@|@chin-dha chu-nyi@
@December@|@dawa jung neepa@
@decoration@|@rgjan@
@deep hole@|@dong@
@degenerated@|@snigs@
@delicious@|@shim-bu, shim-po@
@deliverance@|@grol@
@desert@|@bya.than, che-tang@
@desire@|@gdung@
@despondency@|@zum@
@devour@|@gzan@
@dialect@|@ke-lug@
@dictionary@|@tshig.mdzod@
@did you go?@|@khye-rang chin-pa-yin-pe@
@did you understand?@|@ha-ko-song-ge?@
@die@|@chu, drong, shi@
@different@|@ka-gak@
@difficult@|@dka, kag-po, kahk-po, kha-leh, kha-leh kahk-po, khag@
@dig out@|@rkod@
@dignity@|@rank@
@dilapidated@|@ther@
@diligence@|@brtun, rtun@
@dinner@|@gong-ta ka-la@
@direction@|@chok@
@dirt@|@nag-nig, nag-nog, nal-nil@
@dirty@|@tsog-pa@
@disease@|@na-tsa, nad, snung@
@dissapear by being imbibed@|@thim@
@distance@|@rgjang, tha@
@distinction@|@san@
@district@|@mdo@
@ditch@|@rlubs@
@dive@|@adzug, zugs@
@divination@|@mo gyap@
@divorced woman@|@bjan@
@do you eat meat?@|@khye-rang sha sa-gi-yö-pe?@
@Do you have....?@|@keh-rhang la dep yoe-pay?@
@Do you hire bicycles?@|@kang-ga-ri yar-ye yö-pe?@
@do you like tea?@|@khye-rang cha la ga-bo yö-pe?@
@Do you speak English?@|@in-ji-ke shing-gi-yö-pe?@
@do you understand me?@|@ngey zhu-pa khyen-song-ngey?@
@Do you understand?@|@ha-ko song-nge?@
@do you want some tea?@|@khye-rang la cha go-pe?@
@doctor@|@am-ji@
@doctrine@|@bstan@
@dog@|@khji, khyi, kyi@
@domain@|@khul@
@donkey@|@bong, bung, pung-gu@
@don't do that!@|@ma-che@
@Don't touch me there!@|@der lag pa ma 'changs, der lak pa ma cham, Ngya la ma took ta!@
@door@|@go@
@door-bar@|@gtan@
@dot@|@cheg@
@down@|@ma@
@dragon@|@abrug@
@draw@|@abri@
@draw near to an end@|@zin@
@dream@|@rmang-lam@
@dress@|@bgo, bgos, gos, mned, ner@
@dried meat@|@sha-kam@
@drink@|@choe, thung, tung@
@drink beverage@|@skjems@
@drive@|@aded, mo-ta tang@
@driver@|@mo-tha tong-kyen@
@drop@|@šor@
@drought@|@than@
@drum@|@nga, rnga@
@drunken fit@|@bzi, gzi@
@dry@|@kahm-po, kam-po@
@dull@|@rmun, rtul@
@dumplings@|@mo-mo@
@dung@|@lci@
@dung of larger animals@|@sbangs@
@during@|@kap la, tü-la@
@dusk of the evening@|@srod@
@dust@|@rdul, te-la, thal, thal@
@dye@|@chos@
@ear@|@am-jo, rna, snan@
@early@|@nga-po@
@earth@|@sa@
@earthen vessel@|@khog@
@earthenware pitcher@|@phing@
@earwax@|@klog-pa@
@east@|@sar, shar@
@easy@|@le-la-po, leh-lah-bo, sla@
@eat@|@choe, choe, sa, sah, se, she@
@eater of father@|@phai.sha.za.mkhan@
@egg@|@gon-nga, sgo-nga, sgon.na@
@egg of a louse@|@sro-ma@
@eight@|@brgjad, geh, gyay, gyey@
@eighty@|@geh-chu, gye-chu@
@eighty one@|@gye-chu gya chig@
@elapse@|@lon-pa@
@elbow@|@sgu-stegs@
@elder brother@|@phu-bo@
@elder sister of a female@|@a-che@
@electricity@|@lok@
@elephant@|@glang@
@elevated@|@mthos@
@eleven@|@chu chik, rgwa@
@emmet@|@grog@
@empty@|@khong, stong, tong-pa@
@enclosure@|@ra, skjor-ba@
@end@|@mtha@
@enemy@|@dgra@
@energy@|@sugs@
@English@|@in-ji@
@enough@|@dang-pa, dhrig-pa@
@enter@|@zuh@
@entrust a person with a thing@|@achol, bcol, gzol@
@enumerate@|@sgrangs@
@envelope@|@yi-go@
@escape@|@achor, sor@
@esteem@|@bkur-ba@
@estuary of a river@|@mda-pa@
@evening@|@dgon.dag@
@event@|@rkjen@
@every@|@ka-re yi-ne, kol, kun, re-re@
@Every hour@|@chü-tso re-re la@
@every time@|@teng ré ré@
@everyday@|@nyin-tar@
@everything@|@tha@
@everything giving shelter@|@skjibs@
@evil demon@|@srul@
@examine@|@adem@
@excellent in its kind@|@gzun@
@excrement@|@brun, rkjag, rtug@
@Excuse me@|@gong-da@
@Excuse Me@|@kyok-tsenanda@
@exhausted@|@lad@
@exist@|@jo-d, jo-d-pa@
@expansive@|@kong-chang-po@
@expensive@|@kong chen-po@
@extend@|@sring-ba@
@extension@|@khjon@
@extinguish@|@adzoms, bzom, chom, gzom, gzom@
@extremely hot@|@tsa-shö@
@eye@|@mi, mig, spjan@
@eye stone@|@zii@
@eye-brow@|@smin@
@fabulous creature with wings@|@sang-sang@
@face@|@gdon.pa, ngo, ngos, sku, zal@
@fake@|@zoo-mah@
@fall (people)@|@ri@
@fall (thing)@|@sa@
@fall asleep@|@gzim@
@fall down@|@phab@
@fall ill@|@na@
@false@|@zü-ma@
@falsehood@|@gsob, sob@
@family@|@mi.tshan@
@fan@|@jab@
@far@|@tha ring-po@
@far from@|@gyang-la@
@farmer@|@shin-pa@
@fashion@|@lugs@
@fast@|@giok-po, gyok-po@
@fat@|@cho@
@fat not melted@|@chil@
@father@|@a-pha, pa.lags, pah la, pha, pha-pa@
@father-in-law@|@sgud, skud@
@father's sister@|@a-ne@
@fathom@|@adom, adoms@
@fear@|@žed.snan@
@feather@|@spu@
@february@|@chin-dha nyee-pa@
@February@|@dawa neepa@
@feel an inclination to@|@spro@
@feel cold@|@kyag@
@female@|@dhri, mo@
@female yak@|@abri-mo, dhri@
@fence@|@rib@
@fern@|@skjas, skjes@
@festival@|@dü-chen@
@fever@|@tsa-ua, tsha-wa@
@few@|@ka-she@
@fibres@|@rgjus@
@field@|@shin-ka, zing@
@fifty@|@nga-chu, nga-chu, nga-chu tam-ba, ngap-chu@
@fifty one@|@nga-chu nga chig@
@figure@|@bzo, ri-mo, zo@
@filter@|@bzur@
@find@|@khug-pa, nye@
@finger@|@mdzub.mo, tzu-gu@
@finish@|@tsar@
@fir@|@thang-sing@
@fire@|@me, zugs@
@fire-place@|@thab@
@firm@|@brling@
@first@|@dang, tang-po@
@fish@|@na, ña., nya, nya-sha@
@fishing-net@|@dol@
@five@|@lnga, nga, nga@
@flageolet@|@gling@
@flame@|@lce@
@flash light@|@log-shu@
@flat@|@leb@
@flea@|@azi, lzi@
@flesh@|@sa@
@flexible@|@zan@
@fling@|@brgjab, rgjab-pa, rgjag-pa, rgjob@
@floating@|@lding@
@floor@|@mthil@
@flounces@|@sam@
@flour@|@gro.žib@
@flour in general@|@zib@
@flower@|@me-to, me.tog@
@flower-bed@|@rka@
@fog@|@mug-pa, rmu@
@fold@|@lhas@
@food@|@spag@
@food poisoning@|@zey-dhoo@
@food presented to Lamas@|@skor@
@foot@|@rkan.pa@
@for oneself only@|@sa-sdag, se, se-dag@
@force@|@sed@
@ford@|@rab, rabs@
@forehead@|@dpral, gdangs, gdangs, mdangs@
@foreigner@|@chi-gye@
@forest@|@shing-nak, šin.nags@
@forget@|@je@
@fork@|@kang-dra@
@fortress@|@rdzong, rdzongs@
@forty@|@sheep chu, shi-chu@
@forty one@|@shi-chu sha chig@
@foulard@|@gor-re@
@four@|@bzi, shi, zhi@
@fourteen@|@sgra@
@fourth stomach@|@ze-abug@
@fowler's net@|@rkon, skon@
@fox@|@wa@
@fox-coloured@|@kham-pa@
@fracture@|@chhag-dum@
@fragile@|@khrol-mo@
@frame@|@ldang@
@fresh@|@gsar-ma@
@Friday@|@sa pa-sang, sah-pah-sahng@
@fried@|@ngö-pa@
@friend@|@dhrog-po, grogs, grogs.po, rogs@
@friend (female)@|@dhrog-mo@
@frog@|@sbal@
@from@|@ne@
@from here@|@di ne@
@from where?@|@ka-ne@
@from...to...@|@ne ...par-tu@
@front@|@mdun@
@front-side@|@ngar@
@fruit@|@bca, shing-do@
@fruit juice@|@shin-tog ku-ua@
@fuli@|@gyuck-song@
@full@|@keng-pa, theb@
@fun@|@sags@
@fur-coat@|@slag, slog@
@gall@|@mkhris@
@garden@|@ldum.ra@
@gasp@|@hang@
@get@|@brned, brnes, rne-d@
@get full@|@achims@
@gills@|@mur@
@gimlet@|@gsor, sor@
@ginger@|@lga, sga@
@give@|@pül, te, treh, trö@
@give me!@|@te@
@glad@|@dga, rangs-pa@
@gland@|@rmen@
@glass@|@glas-si, sel@
@glory@|@dpar@
@go@|@chin, dro@
@go again@|@bldab, bldabs, ldab, ldob@
@go away!@|@gyu@
@go down@|@mah pap, pap@
@Go north@|@chang-chok la gyu@
@go out@|@thön@
@go to kill one's self@|@lceb@
@go to meet@|@bsu@
@go up@|@za@
@goat@|@ra@
@goblin@|@adre@
@god@|@dkon.mchog., lha@
@goddess@|@lha-mo@
@goitre@|@lba-ba@
@gold@|@gser, ser@
@good@|@gsin, legs, yag-po, yahk po, yak-po@
@good luck@|@ta-shi de-leg@
@Good luck@|@tashi deleh@
@good person@|@mi yag-po@
@good persons@|@mi yag-po-tso@
@goodbye@|@kah-leh shu@
@good-bye@|@ga-le pheb@
@Good-bye@|@kah-leh phe@
@goodnight@|@sim-jah nahng-go@
@goods@|@spus, zong@
@goose@|@ngang@
@gourd@|@ku-ba@
@grain@|@abrum@
@grandchild@|@cha@
@grandfather@|@po-po, po la@
@grandmother@|@mo-mo, mo la, phji, rmo@
@grandson@|@dbon@
@grape@|@rgun@
@grass@|@tsa@
@grassland@|@tsa-tang@
@grate@|@dra@
@grease@|@zag@
@great@|@che, chen@
@green@|@gyang-gu, ljan.khu@
@grieve for@|@agjod-pa@
@grilled@|@chag-top nang-la trag-pa@
@ground@|@gzi-ma@
@grove@|@chal@
@grow@|@kye@
@growth@|@skjed@
@gum@|@thang-chu@
@hail@|@se-ra tang, ser-ba@
@hair@|@skra@
@hairy@|@jegs@
@half@|@che-ka, phjed@
@hand@|@lag.pa, phjag@
@hang down@|@ajol@
@hanging ornaments@|@phan@
@happiness@|@skjid@
@happy@|@key-po, ki-po@
@hard@|@hrag, kjong, mkhregs-pa@
@hare@|@jos@
@harsh@|@gjong@
@harvest@|@bcas@
@haste@|@cab-cob, cab-cub, rcab-rcob@
@hatchet@|@sta-re@
@have@|@yoe@
@have you a car?@|@khye-rang la mo-tha yö-pé?@
@Have you a room@|@khang-mi yö-pe@
@Have you some mo-mo@|@mo-mo yö-pé@
@Have you something better@|@yag-ga yö-pe@
@Have you something cheaper@|@kong chun-nga yö-pe@
@hay-fork@|@sbrag@
@hazel-nut@|@sid@
@he@|@kho, kho-rang, khong, khong@
@he doesn't go to Lhasa@|@khong Lha-sa la dhro-gi-min-du@
@he eats yak meat@|@khong yak-sha sa-gi-du@
@he has@|@khong la du, yo-re@
@he has no yaks@|@khong la yag min-du@
@he is@|@khong re@
@he is not Tenzin@|@khong Ten-zin ma-re@
@he will not eat meat@|@khong sha sa-gi-ma-re@
@head@|@dbu, go, mgo@
@headache@|@go na@
@heap@|@phung@
@hear@|@ko, tö@
@heart@|@nying@
@heat@|@dugs@
@heaven@|@gnam, mkha, nam-mkha@
@heaviness@|@lcid, lzid, rmu, rmus@
@heavy@|@lci@
@height@|@rngams@
@hello@|@tah-shi de-leh@
@Hello@|@tashi deleg@
@helmet@|@rmog@
@help@|@rog-pa che@
@hen@|@bya.sdi@
@her@|@khong gi, khong la@
@herder@|@drog-pa@
@here@|@de, ri-pong@
@here there are no yaks@|@de yag min-du@
@hermit@|@gom-chen@
@hide@|@brnogs, lpags, pags@
@hide in the ground@|@bskung, bskungs, skung-ba@
@hide one's self@|@jib-pa@
@high@|@mthon, tho-po@
@hill@|@sgang@
@him@|@khong la@
@hind part@|@gzug, mzug@
@hinder@|@agegs@
@hip bone@|@sta@
@hip-bone@|@dpji@
@hire@|@la, yar@
@his@|@khong gi@
@hither@|@chu, chun, chur@
@hobbling@|@atheng, theng@
@hoe@|@adzor, gzor@
@hole@|@dmig, khung@
@home@|@gze@
@hook@|@kjo@
@hooked snake@|@klu@
@horn@|@rwa@
@horse@|@rta, ta@
@horseman@|@ta-pa@
@hospital@|@men-khang@
@host@|@dpung@
@hot@|@cha, tsa-po, tsah-po@
