@English@|@Quechua of Cuzco@
@altitude sickness@|@suruchi@
@always@|@pasaq kutilla, wiñay@
@amazed@|@utirayay@
@Amazonian forest@|@muntaña@
@among@|@-pura, ukhupi@
@amputate (to)@|@wit'uy@
@ancient@|@ñawpa, ñawpaq@
@and@|@-pis@
@angry@|@phiña, phiñasqa@
@animal@|@uywa@
@animal (wild)@|@animal@
@ankle@|@chaki muqhuchu@
@another@|@huq@
@answer (to)@|@kutichiy@
@ant@|@sisi@
@any kind@|@imaymana@
@anything@|@imallapas@
@appeal to (to)@|@gustay@
@appear (to)@|@ikhuriy, rikhuriy@
@apple@|@mansana@
@approach (to)@|@achhuykuy, serkay@
@April@|@awril killa@
@aqueduct@|@rarq'a, yarqha@
@archaeological site@|@thunisqa ñawpa@
@area@|@laru@
@argue (to)@|@churanakuy, maqanakuy, tapunakuy@
@arm@|@maki@
@armadillo@|@kirkinchu@
@arrange (to)@|@allichay@
@arrive (to)@|@chayay, chiyay@
@art@|@arti@
@artist@|@artista@
@ashtray@|@ushpa churana@
@ask (to)@|@tapuy@
@ask for smthing (to)@|@mañakuy@
@assemble (to)@|@tantay@
@assistant@|@yanapakuq@
@assister (to)@|@yanapay@
@at@|@-pi@
@at that time@|@chay pacha@
@attention@|@paqta@
@August@|@awustu killa@
@aunt@|@tiya@
@Australia@|@Awstraliya@
@autumn@|@puquy mit'a@
@average@|@taksa, tinku@
@avocado@|@palta@
@awful@|@map'a@
@baby@|@wawa, wawacha@
@baby (animal)@|@uña@
@baby's bottle@|@bibirun@
@baby-sitter@|@wawa qhawaq@
@back@|@wasa@
@back of the neck@|@much'u@
@backpack@|@q'ipi@
@bad@|@mana allin@
@bag@|@wayaqa@
@baggage@|@malita@
@baked apple@|@papa yanuy@
@baked potato@|@papa wayk'u@
@ball@|@bola, piluta@
@balloon@|@bola@
@bamboo@|@suqus, tuquru@
@banana@|@latanus@
@band (music)@|@kusituy@
@bank@|@qulqi wasi@
@bank (shore)@|@kantu@
@baptise (to)@|@uliyay, unuchay, wawtisay@
@baptism@|@uliyu, wawtisay@
@Baptist@|@wawtista@
@barley@|@siwara@
@barrier@|@perk'a@
@barter (to)@|@chhalay, rantiy, trukiy@
@basket@|@isanka, kanasta@
@bath (to)@|@armakuy, bañay@
@bathe (to)@|@armay@
@bathroom@|@bañu@
@be (to)@|@kay@
@be able (to)@|@atiy@
@be afraid (to)@|@manchakuy@
@be afraid of (to)@|@manchay@
@be angry (to)@|@phiñakuy@
@be aware of (to)@|@riparay@
@be born (to)@|@paqariy@
@be cold (to)@|@chiriy@
@be crazy (to)@|@musphay@
@be drunk (to)@|@machay@
@be heavy (to)@|@llasay@
@be hot (to) (person)@|@ruphariy@
@be hungry (to)@|@yarqay@
@be in love (to)@|@sunqu tupachiy@
@be late (to)@|@tayriyay@
@be left over (to)@|@puchuy@
@be long (to)@|@unay@
@be lost (to)@|@chiskasqa puriy@
@be pregnant (to)@|@unqu@
@be sad (to)@|@llakiy@
@be satisfied (to)@|@saksay@
@be sick (to)@|@unqu@
@be thirsty (to)@|@ch'akiy@
@be tired (to)@|@sayk'uy@
@be unwell (to)@|@unqu@
@be upset (to)@|@phiñakuy@
@bean (toasted)@|@hamk'a, hank'a@
@beans@|@alwirhas@
@bear@|@ukuku, ukumari@
@bear (to)@|@atipay, marq'ay@
@beard@|@sunkha@
@beat (to)@|@maqay, q'asuy, waqtay@
@beautiful@|@sumaq@
@because of@|@-rayku@
@become (to) different@|@huqnirayay@
@become illuminated (to)@|@illariy@
@become infected (to)@|@ch'upuy, q'iyachay@
@become inflamed (to)@|@punkiy@
@become overcast (to)@|@phuyuy@
@bed@|@kawitu, puñuna@
@bedroom@|@kuwartu, puñuna kwartu@
@bee@|@lachiwa@
@beef@|@waka aycha@
@beer@|@sirwisa@
@before@|@ñaupa@
@before (time)@|@ñawpaqta@
@begin (to)@|@qallariy@
@behind@|@qhilpapi, qhipa@
@believe (to) (religious)@|@iniy, iñiy@
@belly@|@wiksa, wiqsa@
@below@|@uran@
@belt@|@chumpi@
@bench (stone)@|@pataña@
@beside@|@waqtanpi@
@besides (furthermore)@|@chaymanta, hinaspa@
@better@|@aswan allin@
@Beware!@|@Paqta !@
@bib@|@babiru@
@bicycle@|@wisikilita@
@big@|@hatun@
@bigger@|@aswan hatun@
@bill@|@kwinta@
@billy goat@|@kabra@
@bird@|@pichiku, pichinchu, pisqo, pisqu, urpito@
@birthday@|@wata hunt'ay@
@bite (insect)@|@k'utuy@
@bite (of any creature)@|@kaniy@
@bite (to)@|@k'utuy@
@bite (to) (dog)@|@khachuy@
@bite off (to)@|@khachuy@
@bitter@|@qaqte@
@black@|@yana@
@bladder@|@hisp'ay puru@
@blanket@|@chusi, qata@
@bleed (to)@|@yawarchay@
@blind@|@ñausa, ñawsa@
@blind (adj)@|@arpha@
@blond@|@p'aqu@
@blood@|@yawar@
@bloom (to)@|@sisay@
@blossom (to)@|@sisay@
@blue@|@anqas, asul@
@blue (eye)@|@qhusi@
@boat@|@wampu@
@body@|@aycha kurku, kirpu, kurku, kurpu@
@boil (to)@|@t'impuchiy, t'impuy@
@boiled@|@t'impusqa@
@boiled beans@|@phuspu@
@Bon appetit!@|@Misk'illantaña mikhukuy!@
@Bon voyage!@|@Allinllaña purikuy!@
@bone@|@tullu@
@book@|@liwru@
@boots@|@butas@
@border@|@saywa@
@bored@|@amisqa@
@boring@|@amisqa, mana allin@
@born (to)@|@nasiy@
@borrow (to)@|@mañakuy, manukuy, manuypi mañay@
@both@|@iskaynin@
@bother (to)@|@ch'iqmiy@
@bottle@|@wutilla@
@bottle opener@|@wutilla kichana@
@bottom (body)@|@siki@
@boy (-10 years)@|@hirq'i@
@boy (10-15 years)@|@maqt'a@
@boy (under 10)@|@irqi@
@boyfriend@|@yana@
@brain@|@nosqhon@
@branch@|@ch'apra, k'allma@
@brandy@|@trawu@
@bread@|@t'anta@
@break (to)@|@p'akiy, pakay@
@breakfast@|@mati, tutamanta mikhuna, unu q'uñi@
@breast@|@ñuñu@
@breath in (to)@|@suq'uy@
@breathe (to)@|@samariy, samay@
@breathlessness@|@mana samayniyuq@
@bridge@|@chaka@
@bring (to)@|@apamuy, chayachiy@
@bring up (to)@|@uyway@
@bring water (to)@|@unuta apamui, yakuta apamui@
@broken@|@p'akisqa@
@bronchitis@|@nishu uhu@
@broom@|@pichana@
@broom (bush)@|@t'anqar@
@brother (of a man)@|@wawqi, wayqi@
@brother (of woman)@|@tura, turi@
@brown@|@ch'umpi@
@bucket@|@baldi@
@Buddhist@|@wudista@
@build (to)@|@pirqachay, sayarichiy@
@build your house@|@wasichakuy@
@building@|@hatun wasi@
@bull@|@turu, waka@
@bullfight@|@turus@
@bullfighting@|@turu pukllay@
@burial site@|@chullpa@
@burn@|@ruphay@
@burn (to)@|@k'anay, kanay, rawray, ruphachiy, ruphay@
@burner@|@tullpa@
@burst (to)@|@t'uqyay@
@bus@|@karru, uniwus@
@bust@|@q'asq'o, qhasqu@
@busy@|@mana qasiq, ruwanayuq@
@but@|@ichaqa@
@butter@|@mantikilla@
@butter up (to)@|@llullay@
@butterfly@|@pillpintu@
@buttocks@|@siki papan@
@buy (to)@|@rantiy@
@bye@|@ratukama@
@cabbage@|@kulis@
@cactus@|@añapanku, k'aklla@
@cactus fruit@|@tunas@
@cadaver@|@aya@
@calf@|@uña@
@call (to)@|@sutichay@
@call (to) (phone/shout)@|@waqyay@
@call (to) (shout/phone)@|@wahay@
@camion@|@kamiyun@
@camp site@|@karpapaq pampa@
@camping@|@kampamintu@
@camping ground@|@karpa ruwanapaq@
@can (of food)@|@lata@
@can (to)@|@atiy@
@can opener@|@lata kichana@
@Canada@|@Kanada@
@candle@|@bila@
@canine teeth@|@waqsa@
@canyon@|@wayq'o@
@cap@|@ch'ullu@
@capital city@|@uma llaqta@
@capsicum@|@piminta@
@car@|@awtu, karru@
@care@|@qhaway@
@carnival@|@karnawal@
@carpenter@|@karpintiru@
@carrot@|@sanurya@
@carry (to)@|@apay, astay, marq'ay, wantuy@
@carry (to) (on the back)@|@q'ipiy@
@carve (to)@|@ch'iquy, kuchuy@
@casette@|@kasiti@
@cat@|@michi, misi@
@catch (to)@|@hap'iy, taripay@
@cathedral@|@hatun inlisa@
@catholic@|@katuliku@
@cave@|@mach'ay@
@celebrate (to)@|@phistihay, q'uchukuy, q'uchurichiy@
@celebrate (to) (birthday)@|@phistakuy@
@celebration@|@phista@
@cemetery@|@aya p'ampana@
@ceramic@|@k'akra, k'aphra, raqch'i@
@ceramic jug@|@p'uyñu@
@ceremanial baths@|@Inkaq armakunan@
@chair@|@tiana, tiyana@
@change (to)@|@huqnirayay, kambiyay@
@cheap@|@manaq chaniyuq@
@cheapest@|@lliwmanta pisi chaniyuq@
@cheat (to)@|@q'utuy@
@cheek@|@k'aklla, waqo@
@Cheers!@|@Ukyaykusun!@
@cheese@|@kisu@
@chef@|@wayk'upakuq, wayk'uq, wayq'oq, yanuq@
@chest@|@q'asq'o, qhasqu@
@chew (to)@|@k'utuy@
@chew (to) off smthing@|@khachuy@
@chewing gum@|@chikli@
@chicha bar@|@ahawasi@
@chick@|@malqu@
@chicken@|@wallpa, wallpa aycha@
@chickenpox@|@saranpiyun@
@child@|@qhari irqi@
@child (boy)@|@warmi irqi@
@child (for woman)@|@wawa@
@child (girl)@|@warmi irqi@
@chilly@|@chiri@
@chin@|@k'aki@
@chisel (to)@|@k'utuy@
@chocolate@|@chukulati, misk'i@
@choose (to)@|@akllay@
@christen (to)@|@uliyay, unuchay, wawtisay@
@Christian@|@kristiyanu@
@church@|@inlisa, inlisha@
@cigar@|@hatun ch'umpi siyaru@
@cigarette@|@sigaru, siyaru@
@cinema@|@sini@
@cinnamon@|@kanila@
@city@|@llaqta@
@clay@|@llank'i, llink'i@
@clay house@|@t'uro wasi@
@clay stove@|@tullpa@
@clean@|@ch'uya, luylu, pichasqa@
@clean (to)@|@pichay@
@clear@|@sut'i@
@cliff@|@qaqa@
@climb (to)@|@siqay, wichay@
@clock@|@riluh@
@close@|@sispa@
@close (to)@|@wichq'ay, wisq'ay@
@close the door@|@punkuta wisq'ay@
@clothes@|@p'acha@
@cloud@|@phuyu@
@cloud over (to)@|@phuyuy@
@coast@|@kusta@
@coat@|@saku@
@coca@|@kuka@
@coca leaf tea@|@kuka mati@
@cock@|@kanka, wallpa@
@cockroach@|@kukaracha@
@coffee@|@kaphiy@
@cold@|@chiri@
@cold (med)@|@chiri unquy@
@collect (to)@|@pallay, uqariy@
@colour@|@kulur, llimpi, tullpi@
@colour (to)@|@llusiy@
@comb@|@ñaqch'a@
@come (to)@|@hamuy@
@come in (to)@|@yaykuy@
@come near (to)@|@serkay@
@comedian@|@asichikuq@
@comfort (to)@|@kallpachariy@
@communicate (to)@|@willay@
@community@|@ayllu, kumunirar, llaqta@
@community leader@|@hamawt'a@
@companion@|@masi@
@compensation@|@kutichipuy@
@computeur@|@kumputarura@
@comrade@|@kumpari@
@condor@|@kundur, kuntur@
@confess (to)@|@willakuy@
@Congratulations!@|@Kusikuspa kawsakunkichis!@
@constantly@|@pasaq kutilla@
@constipation@|@aka k'iski@
@consume (to)@|@rawray@
@cook (to)@|@chayachiy, wayk'uy@
@cook (to) (ember)@|@kusay@
@cooked@|@chayasqa@
@cooked dry corn@|@sara mut'e@
@cooking@|@wayk'uy@
@copy (to)@|@qatichikuy@
@coriander@|@kulantru@
@corn@|@sara@
@corn tea@|@api@
@corner@|@k'uchu@
@corner (inside)@|@huk'i@
@corpse@|@aya@
@correct@|@chanin@
@correct (to)@|@wanay@
@corrida@|@turus@
@cost (to)@|@kwistay@
@cotton@|@utkhu@
@cough@|@ch'uhu, uhu@
@cough (to)@|@uhuy@
@counsel (to)@|@yuyaychay@
@count (to)@|@yupay@
@country@|@llaqta, suyu@
@countryside@|@pampa@
@courtyard@|@kancha@
@cow@|@waca, waka@
@craftsperson@|@artisanu@
@crazy@|@qayqa, waq'a@
@crop@|@kuhichu@
@cross@|@kurus, phiñasqa@
@cross over (to)@|@chimpay@
@crowd@|@ch'unku, tanta@
@crowded@|@askha runakuna@
@crush (to)@|@chhanqay@
@cry (to)@|@waqay@
@crystal@|@qispi@
@cup@|@chuyk'ucha, puku, suyk'u@
@cup (ceremonial of the Incas)@|@qiru@
@cure (to)@|@hampiy@
@custom@|@kawsay@
@cut (maize)@|@kallchay@
@cut (to)@|@k'utuy, kuchuy, qhuruy, rutuy@
@cut (to) (with knife)@|@k'uchuy@
@cut in slices (to)@|@khallay@
@Cuzco@|@Qusqu@
@dad@|@papa@
@daily@|@sapa p'unchay@
@damp@|@huq'u@
@dance@|@tusuy@
@dance (to)@|@tusuy@
@dancer@|@tusuq@
@danger@|@manchay@
@dark@|@tuta@
@date@|@pacha@
@date of birth@|@wata hunt'ay@
@daughter@|@wawa@
@daughter (of a man)@|@ususi, warmi churi@
@daughter (of a woman)@|@warmi wawa@
@dawn@|@illariy, inti siqay, lluqsiy, rankhi@
@day@|@p'unchaw, p'unchay@
@day after tomorrow@|@mincha, minchha@
@day before yesterday@|@qaynimpa p'unchay@
@dead (animal)@|@wañusqa@
@dead (human)@|@wañuq@
@deaf@|@hup'a, ruq'tu, upa@
@debt@|@manu@
@December@|@disimri killa@
@decide (to)@|@kamarikuy@
@deep@|@ukhu@
@deep valley@|@wayq'u@
@delay@|@unay@
@delay (to)@|@unay@
@delicious@|@misk'i@
@demon@|@saqra, supay@
@dentist@|@kiru sik'iq@
@deny (to)@|@manan niy@
@depart (to)@|@lluqsiy@
@departure@|@lluqsiy@
@deploy (to)@|@mast'ay@
@depressed@|@pisichasqa@
@descendant@|@qatiq, qhipa wiñay@
@desert@|@aqu pampa@
@desire (to)@|@munay@
@detour (to)@|@waqllichiy, waqlliy@
@devil@|@saqra, supay@
@dew@|@chhulla@
@diaper@|@akawara, walt'ana@
@diarrhoea@|@q'icha unquy@
@die (to)@|@wañuy@
@different@|@huk, huk lasi, hukñiraq, huqniraq, sapaq, wak@
@difficult@|@sasa@
@dinner@|@sina, tuta mikhuy@
@dipper@|@wislla@
@direct (to)@|@yachachiy@
@dirty@|@kharka, qanra, qhilli@
@disappear (to)@|@chinkay@
@dish@|@hanq'ara, p'uku@
@distaff@|@puchka, pushka@
@distraught@|@llaki@
@disturb (to)@|@takuriy@
@divorced@|@t'aqanakusqa, t'aqasqa@
@divulge (to@|@willay@
@dizziness@|@uma muyuy@
@dizzy@|@uma muyusqa, uma muyuy@
@do (to)@|@ruway@
@doctor@|@duktur@
@dog@|@allqu, alqu@
@dominant@|@atipaq@
@done (of food)@|@chayasqa@
@done (task)@|@ruwasqa@
@donkey@|@asnu@
@door@|@punku@
@dormitory@|@puñuna wasi@
@dove@|@urpi@
@downhill@|@uray@
@draw (to)@|@dibujay, siq'inchay@
@drawing@|@dibujo@
@dream@|@musqhuy@
@dream (to)@|@musqhuy, musqhuy@
@dress@|@p'acha@
@dress (to)@|@p'achallichiy, p'achallikuy@
@dried meat@|@ch'arki@
@drink@|@uhay, ukyay@
@drink (to)@|@soq'oiy, ujyay, upiay@
@drink (to) (alcohol)@|@tumay@
@drink (to) (without alcohol)@|@uhay, ukyay, upyay@
@drink (to) with smone@|@malliyachiy@
@drink alcohol (to)@|@suq'uy@
@driver@|@chufir@
@drizzle@|@iphu@
@drug@|@hampi@
@drugstore@|@hampiyuq wasi@
@drunk@|@machaq, machasqa@
@dry@|@ch'aki@
@dry (to)@|@ch'akiy@
@dry season@|@ch'aki mit'a@
@duck@|@patu aycha@
@dummy@|@ñuñuna@
@dung beetle@|@aka tanqa@
@durable@|@qaqa@
@during@|@-pi@
@each@|@sapa, sapanka@
@eagle@|@anka@
@ear@|@ninri, rinri@
@ear wax@|@rinri wira@
@early@|@tutallamanta@
@early in the afternoon@|@timpuraq@
@early in the morning@|@tutallamanta@
@earn (money)@|@tariy@
@earth@|@hallp'a@
@Earth@|@kay pacha, tiqsimuyu@
@earth (soil)@|@allpa, chakra@
@earthquake@|@pacha kukuy@
@earthworm@|@kuru@
@East@|@inti lluqsimuy, intiq lliqsinan@
@easy@|@phasil@
@eat (to)@|@mihuy, mikhuy, mikuy@
@eat (to) grilled corn@|@sara jank'ata mikuy@
@educate (to)@|@yachachiy@
@education@|@yachay@
@egg@|@runtu, ruru@
@eight@|@pusac, pusaq@
@eighteen@|@chunka pusaqniyuq@
@eighty@|@pusaq chunka@
@elbow@|@k'ukuchu, kuchus, quchus, ququchi@
@elder@|@kuraq@
@elect (to)@|@akllay@
@electric light@|@lus@
@eleven@|@chunka huqniyuq@
@embarrass (to)@|@p'inqakuy@
@embarrassed@|@p'inqasqa@
@embroider (to)@|@wilq'uy@
@embroidery@|@wilq'uy@
@eminence@|@muqu@
@empty@|@ch'usaq@
@end@|@tukuy@
@engineer@|@inhiñiru@
@England@|@Inlatira@
@english@|@inlis@
@enjoy oneself (to)@|@usachikuy@
@enough@|@chayllaña@
@enter (to)@|@haykuy, pasayuy, yaykuy@
@entertain (to)@|@q'uturichiy@
@escape (to)@|@ayqiy@
@establish (to)@|@paqarichiy@
@eucalyptus@|@yukaliptu@
@Europe@|@Yurupa@
@Evangelist@|@iwanhilista@
@evening@|@ch'isi, tuta@
@every@|@llapa, lliw, sapa, sapanka, tukuy@
@everybody@|@lliwninku@
@everyone@|@llapan, llapanku, lliwninku@
@everything@|@llapa, lliw, tukuy@
@everywhere@|@hinastin, maypipas@
@exact@|@hunt'asqa, k'apak@
@exactly@|@hunt'asqa, k'apak@
@exchange (to)@|@chhalay, rantiy, trukiy@
@excrement@|@aka@
@excuse me@|@dispinsayuway@
@exhibit (to)@|@rikurichiy@
@exist (to)@|@kay@
@exit (to)@|@ayqiy, lluqsiy@
@expect (to)@|@suyay@
@explain (to)@|@rimaykuy, yachachiy@
@explode (to)@|@t'uqyay@
@eye@|@ñawi@
@eyebrow@|@qheñipa@
@eyelash@|@pillurki@
@fabric@|@awa, llika@
@face@|@uya@
@face's expression@|@riqchay@
@fair price@|@chanin@
@falcon@|@waman@
@fall (to)@|@urmay@
@fall (to) (mightily)@|@laq'ay@
@fall in love (to) (intense)@|@wayllunakuy@
@family@|@ayllu, phamilla@
@famous@|@riqsisqa@
@far@|@karu@
@farm@|@chakra@
@farmer@|@chakra runa@
@farmyard@|@kancha@
@fast@|@askamalla, usqhay@
@fast (movement)@|@phawaylla@
@fast (time)@|@ratulla@
@fat@|@wira@
@father@|@papa, tayta@
@father-in-law@|@suyru@
@fatigue@|@sayk'uy@
@fatty@|@wirasapa@
@fault@|@hucha@
@fava beans@|@hawas@
@fear@|@manchakuy@
@feather@|@phuru@
@feather duster@|@p'uro pichana@
@February@|@phiwriru killa@
@feed (to)@|@qaray@
@feel (to)@|@llakllay@
@feel (to) (touch)@|@llamiy@
@feel hot (to)@|@ruphariy@
@femal@|@china@
@fence@|@perk'a, qincha@
@fertilizer (bird's dung)@|@wanu@
@festival@|@raymi@
@fetch (to)@|@pusamuy@
@fever@|@rawray unquy, rupha, ruphay unquy@
@few@|@pisi@
@fiancé@|@kasarakuqmasi, yana@
@fiancé (ée)@|@urpi@
@fiancée@|@kasarakuqmasi@
@field (cultivated)@|@chakra@
@fifteen@|@chunka pisqayuq@
@fifty@|@pisqa chunka@
@fight@|@awqanakuy, mahanakuy@
@fight (to)@|@awqanakuy, mahanakuy@
@fill (to)@|@hunt'ay@
@find (to) (smthing)@|@tarikuy, tariy@
@find somewhere to live (to)@|@alohakuy@
@finger@|@riru, ruk'a, ruk'ana@
@fingers@|@pallqa@
@finish (to)@|@p'uchukay, tukuy@
@fire@|@nina@
@fireplace@|@q'uncha@
@firewood@|@llant'a@
@first@|@ñawpaq, ñawpaq kaq, ñiqin@
@first-aid kit@|@hampi churana@
@fish@|@challwa@
@fish for (to)@|@challway@
@fisherman@|@challwa hap'iq@
@fishing@|@challway@
@fit@|@qhali@
@five@|@pichqa, pishqa, pisqa@
@flamingo@|@pariwana@
@flash@|@rayu@
@flashligh@|@k'anchana@
@flashlight@|@lintirna@
@flat (adj.)@|@p'alta@
@flat place@|@pampa@
@flea@|@piki@
@floor@|@pampa@
@flour@|@hak'u@
@flower@|@t'ika, wayta@
@fly@|@ch'uspi@
@fly (to)@|@phaway@
@fog@|@pacha phuyuy@
@follow (to)@|@qatiy@
@following@|@qatiq@
@food@|@mihuy, mikhuna, mikuna@
@foodstuff@|@kawsay@
@foot@|@chaki@
@for@|@-paq@
@forehead@|@mat'i@
@foreigner@|@hawa runa, karu llaqta runa@
@forest@|@mallki mallki, munti, yunka@
@forever@|@wiñaypacha@
@forget (to)@|@qunqay@
@forgive (to)@|@pampachay@
@fork@|@tinirur@
@fort@|@pukara@
@fortress@|@pukara@
@fortune teller@|@watuq@
@four@|@tawa@
@fourteen@|@chunka tawayuq@
@fourty@|@tawa chunka@
@fox@|@atuq@
@free (at liberty)@|@qispi@
@free (no cost)@|@yanqallan@
@freeze@|@q'asa, qasa@
@freeze (to)@|@qasay@
@Friday@|@wirnis@
@friend@|@amigu, khumpa, riqsinakuqmasi@
@friend (female of a female)@|@ñaña@
@friend (female to male)@|@pana@
@friend (man for a woman)@|@tura@
@friend (of a man)@|@wawqi, wayqi@
@frog@|@hamp'atu@
@from@|@-manta@
@from where@|@maymantan@
@frost@|@qasa, qhupa@
@frozen (solid)@|@khutu@
@fruit (on the tree)@|@ruru@
@fruit (to eat)@|@fruta@
@full@|@hunt'asqa@
@full (after a meal)@|@saksasqa@
@full (complete)@|@hunt'a@
@futile@|@yanqa@
@future@|@hamuq pacha, hawa pacha@
@game@|@pukllay@
@game)@|@pukllay@
@gap@|@k'ikllu@
@garbage@|@q'upa@
@garden (flower)@|@pawqar@
@garden (fruit)@|@muya@
@garlic@|@ahus@
@gate@|@hatun punku, haykuna@
@gather (to)@|@huñuy, pallay, tantay@
@gathered together@|@tanta@
@genuine@|@chiqaq@
@get (to) a service from smeone@|@walikuy@
@get dark (to)@|@ch'isiy, tutayay@
@get drunk (to)@|@machay@
@get into (to) (car@|@qispiy@
@get lost (to)@|@chinkay@
@get sick (to)@|@unquy@
@get to know (to)@|@riqsiy@
@get up (to)@|@hatariy@
@gift@|@rikuchikuy@
@girl@|@p'asña, sipas, sipascha@
@girlfriend@|@yana, yanasa@
@give (to)@|@quy, quy@
@give a rebate (to)@|@bahay@
@give birth to (to) (animals)@|@wachay@
@give birth to (to) (humans)@|@wachakuy@
@give life (to)@|@paqarichiy@
@give me smthing to drink@|@soq'oita q'owai, ujyayta q'owai@
@give me smthing to eat@|@mikunata q'oiwai@
@glacier@|@rit'i@
@glass@|@q'ero, qispi@
@glitter (to)@|@illariy@
@gloves@|@wantis@
@go (to)@|@riy@
@go away (to)@|@lluqsiy, ripuy@
@go down (to)@|@pasaykuy, uray, uraykuy@
@Go!@|@Haku!@
@Goal!@|@Gool!@
@goat@|@kabra, kawra@
@goat (meat)@|@kabra aycha@
@God@|@Diyus, Taytacha, yaya@
@godchild@|@aysharu@
@goddaughter@|@ayhara@
@godfather@|@parinu@
@godmother@|@marina@
@godparent@|@marq'aqi@
@godson@|@ayharu@
@gold@|@quri@
@good@|@allin, sumaq@
@good afternoon@|@wuynas tardis@
@good day (noon)@|@allin p'unchaw, allin p'unchay@
@good evening@|@allin tuta@
@good evening/night@|@wuynas nuchis@
@Good luck!@|@Allin samiyuq kay!@
@good morning@|@wuynus diyas@
@good night@|@allin tuta@
@goodbye@|@huq kutikama, tinkunanchiskama, tupananchiskama@
@goose@|@wachwa@
@gorge@|@wayq'o@
@gossip@|@kumari@
@grandchild@|@haway@
@grandfather@|@apucha, awilu, hatun tayta, machula@
@grandmother@|@awila, hatun mama@
@grass@|@q'achu, qura@
@grateful@|@sunqunchakusqa@
@grave@|@aya sankha@
@grease@|@wira@
@greasy@|@wirasapa@
@great@|@ima sumaq, kusa kusa@
@great (size)@|@hatun@
@green@|@q'omer, q'umir@
@grey@|@ch'iqchi, q'osñi, titi, uqi@
@group@|@ch'unku, tanta@
@grow (to)@|@wiñay@
@grow up (to)@|@wiñay@
@growl (to)@|@anyay@
@guanaco@|@wanaku@
@guess (to)@|@watuy@
@guest@|@qurpa@
@guide@|@pusaq@
