@Maltese@|@English@
@Bies@|@Hawk@
@Bies@|@kiss@
@Biex?@|@With what?@
@Bieżel@|@Diligent@
@Bil-arju@|@By air@
@Bilfors@|@Certainly@
@Bil-għaġla@|@In a hurry@
@Bil-għatx@|@Thirstily@
@Bil-ġuħ@|@Hungrily@
@Bil-jedd@|@By right@
@Bil-lejl@|@At night@
@Billi@|@Because, for the reason that@
@Billi@|@From what@
@Billi@|@Since@
@Bilmod@|@Slowly@
@Bil-qiegħda@|@Sitting (adv)@
@Bil-quddiem@|@In advance@
@Bil-wieqfa@|@Standing (adv)@
@Bin@|@Son@
@Bint@|@Daughter@
@Bint@|@Girl@
@Bir@|@Water well@
@Birra@|@Beer@
@Biskott@|@Biscuit@
@Biss@|@Only@
@Bis-sewwa@|@By fair means@
@Biswit@|@Opposite@
@Bixkel@|@cheat@
@Bixkel@|@embroil@
@Biżżejjed@|@Enough@
@Bjuda@|@Whiteness@
@Bla@|@Without@
@Bla attenzjoni@|@Carelessly@
@Bla ma…, Mingħajr ma…@|@Without + verb@
@Bla nifs@|@Breathlessly@
@Bl-art@|@Over land@
@Blata@|@Rock@
@Blieh@|@grow fooling@
@Bligħ@|@Swallowing@
@Bluha@|@Sillyness@
@Blun@|@Blue@
@B'mħabba@|@Lovingly@
@Bodbod@|@Goat@
@Bogħod@|@Far@
@Bolla@|@Stamp@
@Bonġu@|@Good Morning@
@Bonswa@|@Good evening@
@Borġ@|@Heap@
@Borka@|@Wild Duck@
@Borma@|@Pot@
@borra@|@snow@
@Borża@|@Bag@
@Borża@|@Hand Bag@
@Bqija@|@Change, Coins@
@Brama@|@Jellyfish@
@Bravu@|@Clever@
@Bravu@|@Good, Well behaved@
@Bravura@|@Exploit@
@Brazz@|@Branch@
@B'reqqa@|@Scrupulously@
@Brikkun@|@Mischievous@
@Brikkunata@|@Act of mischief (v.n.)@
@Brikkunerija@|@Mischief@
@Btala@|@Vacation@
@Buqar@|@Jug@
@Busbiesa@|@Fennel@
@But@|@Pocket@
@Buta@|@Small pocket@
@butir@|@butter@
@Bużżieqa@|@Bubble@
@Ċaħad@|@deny@
@ċanfar@|@reprimand@
@ċapċap@|@clap@
@ċarċar@|@spill@
@Ċass@|@Fixed, immobile@
@Ċatt@|@Flat@
@Ċaw@|@So long@
@Ċawsla@|@Mullberry@
@Ċekk@|@Cheque@
@ċekken@|@reduce, shrink@
@ċempel@|@call@
@Ċens@|@Ground-rent@
@Ċertezza@|@Certainty@
@Ċertu@|@Certain@
@ċewweċ@|@fool s.o.@
@ċieda@|@give up@
@ċieda@|@surrender@
@Ċirasa@|@Cherry@
@Ċkien@|@grow small@
@ċpar@|@fog@
@Ċpar@|@Mist@
@Ċurkett@|@Ring@
@Dabra@|@Ulcer@
@Dagħwa@|@Swear word@
@Daħaf@|@laugh@
@daħak@|@laugh@
@Daħal@|@enter@
@Dahar@|@Back@
@Daħħak@|@make s/o laugh@
@Daħk@|@Laugher, act of laughing@
@Daħk@|@Laughter@
@Daħka@|@Laugh@
@Daħka@|@Laughter@
@Daħla@|@Entrance@
@Dak (Daka)@|@That@
@Daka@|@refer action@
@Dalam@|@grow dark@
@Dalgħodu@|@This morning@
@Dalma@|@Dark place@
@Dam@|@take alot of time@
@Damm@|@string together@
@Dan (Dana)@|@This@
@Daq@|@taste@
@daqq@|@play@
@Daqq@|@play an instrument@
@Daqq@|@sound@
@Daqqas@|@make proportional@
@Daqs kemm@|@As much as@
@Dar@|@House@
@Dar@|@turn@
@Darba@|@Once@
@Darbtejn@|@Twice@
@Dardar@|@make turbid@
@Dardar@|@upset stomach@
@Dardir@|@Stomach upset@
@Dardira@|@Upset stomach@
@Das-sena@|@This year@
@Dawk (Dawka)@|@Those@
@Dawl@|@Light@
@Dawn (Dawna)@|@These@
@Dawran@|@Turning@
@Dax-xahar@|@This month@
@Dbiel@|@wither@
@Debba@|@Mare@
@Deċiż@|@Decided@
@Definit@|@Definite@
@Deheb@|@Gold@
@Deher@|@appear@
@Dehra@|@Vision@
@Dejjaq@|@Narrow@
@Dejjem@|@Always@
@Dejn@|@Debt@
@Delegat@|@Delegate@
@Dell@|@Shadow@
@Dellek@|@smear oneself@
@Delu@|@Bucket@
@Delwaqt@|@Soon@
@Demgħa@|@Tear@
@demm@|@blood@
@Denb@|@Tail@
@Dendel@|@hang@
@Deni@|@Fever@
@Denna@|@fester@
@Dera@|@get used to@
@Determinazzjoni@|@Determination@
@Dewwaq@|@make s.o. taste@
@Dgħajjef@|@Rather thin@
@Dgħajsa@|@Boat@
@Dħul@|@Entering@
@Dħuli@|@Amicable@
@Dieħel@|@Entering@
@Dielja@|@Bine@
@Dieq@|@taste@
@Difen@|@bury@
@Difensur@|@Defense@
@Difer@|@Fingernail@
@Diffiċli@|@Difficult@
@Difiż@|@Defended@
@Dija@|@Brightness@
@Dik (Dika)@|@That (f)@
@Dilek@|@smear@
@Dil-ġimgħa@|@This week@
@Din (Dina)@|@This f@
@Dinja@|@World@
@Dipendenti@|@Dependent@
@Diqa@|@Anguish@
@Diriġent@|@Director@
@Disgħa@|@Nine@
@Disgħin@|@Ninety@
@Disgrazzja@|@Misfortune@
@distanza@|@distance@
@Distinżjoni@|@Distinction@
@Divertiment@|@Enjoyment@
@Divixin@|@Division@
@Divorzjat@|@Divorced@
@Divorzju@|@Divorce@
@Dixxiplina@|@Discipline@
@Diżonest@|@Dishonest@
@Diżonorat@|@Dishonered@
@Diżordenat@|@Disordered@
@Dlam@|@Darkness@
@Dnub@|@Sin@
@Dominanza@|@Domination@
@Dramm@|@Play@
@Drawwa@|@Habit@
@Driegħ@|@Arm@
@Dsatax@|@Nineteen@
@Dubbiena@|@Fly@
@Dublett@|@Skirt@
@dudu@|@worm@
@Duħħan@|@Smoke@
@Dundjan@|@Turkey@
@Dwejra@|@Cottage@
@Dwell@|@Duel@
@Ebda@|@Not one@
@Editja@|@edit@
@Editjar@|@Editing (v.n.)@
@Egħref@|@Wiser@
@Egħżiż@|@Dearer@
@Eħfef@|@Lighter@
@Eħrex@|@Fiercer@
@Eħxen@|@Stouter@
@Eħżen@|@Worse@
@Ekwilibrat@|@Balanced@
@Elf@|@Thousand@
@Emmen@|@believe@
@Eqdem@|@Older@
@Eqreb@|@Nearer@
@Erbatax@|@Fourteen@
@Erbgħa@|@Four@
@Erbgħin@|@Fourty@
@Erħa@|@Heifer@
@Ermita@|@Hermit@
@Esplojtja@|@exploit@
@Espona@|@expose@
@Esponent@|@Exponent@
@Esprima@|@express@
@Estenda@|@extend@
@Estiż@|@Extended@
@Etern@|@Eternal@
@Eventwalment@|@Eventually@
@Ewlieni, Ewlenija@|@First (Adjective)@
@Eżamina@|@examine@
@Eżaminatur@|@Examiner@
@Fabbli@|@Affable@
@fabbrika@|@factory@
@Faċli@|@Easy@
@Fada@|@trust@
@Fadal@|@be left over@
@Faġġaġ@|@dress fashionably@
@Faħal@|@Stallion@
@Falla@|@be absent@
@Fallas@|@falsify@
@Fallaz@|@make false@
@Familja@|@Family@
@Fanatiku@|@Fanatic@
@Fannad@|@deepen@
@Fantas@|@fancy@
@Fantas@|@imagine@
@Fantażija@|@Fantasy@
@Faqar@|@Poverty@
@Far@|@boil over@
@Far@|@Rat@
@Farfar@|@shake the dust off@
@Fasad@|@bleed@
@Fatt@|@Story@
@Favorit@|@Favorite@
@Faxxa@|@Bandage@
@Feddel@|@tame@
@Fedelment@|@Faithfully@
@Feġġ@|@emerge@
@Fehem@|@understand@
@Fejn@|@Where@
@Fekruna@|@Turtle@
@Fela@|@inspect@
@Felaħ@|@be strong@
@Felles@|@produce chickens@
@Felles@|@wedge@
@Felli@|@Slice@
@Fellus@|@Chicken@
@Felu@|@Colt@
@Felwa@|@Filly@
@Fenek@|@Rabbit@
@Feraħ@|@rejoice@
@Fergħa@|@Branch@
@Ferħ@|@Joy@
@Ferħ@|@Joyousness@
@Ferħ@|@Offspring@
@Ferħa@|@Joy@
@Ferħan@|@Happy@
@Feroċi@|@Ferocious@
@Ferrieħ@|@Joyous@
@ferrovija@|@train@
@Fesdaq@|@shell peas@
@Fetaħ@|@open@
@Fetaq@|@unstitch@
@Fettuqa@|@Trifle@
@ffriza@|@freeze@
@Fi@|@In@
@Fi + p.s.@|@Ther is, It contains@
@fidda@|@silver@
@Fidda@|@Silverware@
@Fidi@|@Faith@
@Fidi@|@redeem@
@Fiehem@|@explain@
@Fiehem@|@make s/o understand@
@Fieq@|@recuperate@
@Fiera@|@wind@
@Fies@|@Pickaxe@
@Fiesa@|@Small pickaxe@
@Fiex@|@In what way@
@Figura@|@Figure@
@Fil-għaxija@|@In the evening@
@Filgħodu@|@In the morning@
@Fili@|@Inspection@
@Filli, Malli@|@As soon as, No sooner than@
@Fils@|@Coin@
@Fil-waqt@|@In time@
@Finanza@|@Finance@
@Fired@|@separate@
@Firex@|@spread@
@Fiss@|@Fixed@
@Fissazzjoni@|@Fixation@
@Fisser@|@explain@
@fittex@|@seek@
@Fixkel@|@obstruct@
@Fjur@|@Flower@
@fjura@|@flower@
@Fjuxin@|@Fusion@
@Fl-aqwa@|@At the best of@
@Fl-art@|@On the floor@
@Flaz@|@become false@
@Flimkien@|@Together@
@Flixkun@|@Bottle@
@Fnad@|@become deep@
@Folkloristiku@|@Folkloric@
@Fondat@|@Justified@
@foresta@|@forest@
@Forka@|@Gallows@
@Forn@|@Oven@
@Forna@|@furnish@
@Forna@|@Small oven@
@Fortuna@|@Fortune@
@Fortunament@|@Fortunately@
@Fost@|@Amongst@
@Fost kullħadd@|@Of all people@
@Fqajjar@|@Rather poor@
@Fqir@|@Poor@
@Fraġli@|@Fragile@
@Franċiż@|@French@
@Frawla@|@Strawberry@
@Frażi@|@Phrase@
@friġġ@|@fridge@
@Frisk@|@Fresh@
@Froġa@|@Omelette@
@Frotta@|@Fruit@
@Ftakar@|@remember@
@Ftaqar@|@be impoverished@
@Ftaqar@|@become poor@
@Ftaqir@|@Impoverishment@
@Ftehim@|@Agreeing@
@Ftehima@|@Agreement@
@Ftiehem@|@be understood@
@Ftit qabel@|@Some time before@
@Funzjoni@|@Function@
@Fuq@|@Above@
@Fuq@|@Upwards@
@Fuq Fuq@|@Superficially@
@Fuq il-qalb@|@Unwillingly@
@Fuq ir-riħ@|@In an advantageous position@
@Fuq kollox@|@Above all@
@Furketta@|@Fork@
@Furnar@|@Baker@
@Fustani@|@Middle@
@fwied@|@liver@
@Fwieħa@|@Fragrance@
@ġab@|@bring@
@Ġabal@|@Hill@
@Ġabar@|@collect@
@ġabar@|@pick up@
@Ġabra@|@Collection@
@ġagħal@|@make s.o. do s.th.@
@Ġama'@|@collect@
@Ganċ@|@Hook@
@Gandlier@|@Candlestick@
@Ġar@|@Neighbor@
@Ġari@|@Running, act of@
@Ġarja@|@Run, a@
@Ġarr@|@Carriage@
@ġarr@|@carry@
@Ġarra@|@Jar@
@Gass@|@Gas@
@Gawda@|@enjoy@
@Ġawhra@|@Jewel@
@Gawijja@|@Seagull@
@Gazzetta@|@Newspaper@
@Ġbara@|@Poultice@
@Ġbin@|@Forehead@
@Ġbir@|@Gathering@
@Ġdid@|@New@
@ġebla@|@stone@
@ġedded@|@renew@
@Ġej@|@Came@
@Ġellied@|@Quarrelsom@
@Ġema'@|@gather@
@Ġemel@|@Camel@
@Ġenb@|@Side@
@Gendus@|@Ox@
@Ġenitur@|@Parent@
@Ġennien@|@Gardener@
@Ġera@|@run@
@Gerbeb@|@roll@
@Gerger@|@complain@
@Ġerħa@|@Wound@
@Ġerrej@|@Runner@
@Ġerrej@|@Running@
@Ġeru@|@Pup@
@Ġerżuma@|@Throat@
@Ġewnaħ@|@Wing@
@Ġewwa@|@Inside@
@ġezz@|@shear@
@ġġieled@|@fight@
@Għab@|@disappear@
@Għad@|@Yet, still@
@Għada@|@Tomorrow@
@għadd@|@count@
@għadda@|@flow@
@għadira@|@lake@
@Għadira@|@Pond@
@Għadma@|@Bone@
@għadu@|@enemy@
@Għaġal@|@compell@
@Għaġeb@|@Fussy@
@Għajdut@|@Speaking (v.n.)@
@Għajduta@|@Rumor@
@Għajjen@|@Lazy@
@Għajjur@|@Jealous@
@Għajn@|@Eye@
@Għajn@|@Fountain@
@Għajnuna@|@Help@
@Għajr@|@Except@
@Għal@|@For@
@Għal sena@|@For one year@
@Għal xejn@|@For no good reason@
@Għala?@|@Why@
@għalaq@|@close@
@Għalaq@|@shut@
@Għalef@|@feed animals@
@Għalfejn@|@Whereto@
@Għalfejn?@|@For what reason?@
@Għali@|@Expensive@
@Għali@|@High@
@Għaliex@|@Why@
@Għalla@|@Product@
@Għallaq@|@hang@
@Għallem@|@instruct@
@għallem@|@teach@
@għalliem@|@teacher@
@Għal-lum@|@For today@
@Għalqa@|@Field@
@għam@|@float@
@Għam@|@swim@
@Għama@|@Blindness@
@Għamara@|@Furniture@
@Għamel@|@do@
@Għamil@|@Deed@
@Għammiel@|@Fertile@
@Għan@|@help@
@Għana@|@Singlng@
@Għand@|@At@
@Għand@|@have@
@Għandi pjaċir@|@Pleased meet you@
@Għani@|@Rich@
@Għanqud@|@Grapes *bunch*@
@Għaqal@|@Good sense@
@Għar@|@Cave@
@Għar@|@envy@
@Għarbi@|@Arab@
@Għaref@|@recognize@
@Għaref@|@Wise@
@Għarix@|@Hut@
@Għarqub@|@Heel@
@Għarukaża@|@Greatshame@
@Għarus@|@Bridegroom@
@Għarwien@|@Naked@
@Għasar@|@sqeeze@
@għasar@|@squeeze@
@Għasfur@|@Bird@
@Għasluġ@|@Stick@
@Għassa@|@Guard@
@Għat@|@Lid@
@Għatba@|@Threshhold@
@Għati@|@Giving (v.n.)@
@Għatja@|@Gift@
@Għatx@|@Thirst@
@Għatxan@|@Thirsty@
@Għawdxi@|@Gozitan@
@Għax@|@Because@
@Għax@|@live@
@Għaxra@|@Ten@
@Għażaq@|@dig@
@Għażeb@|@Bachelor@
@Għażeb@|@Single/Bachelor@
@Għażel@|@choose@
@Għażel@|@Fishing Net@
@Għażel@|@Linen@
@Għażiż@|@Beloved@
@Għażiż@|@Dear@
@Għażż@|@cherish@
@Għejr jekk@|@Unless@
@Għejr, Ħlief@|@Except, save that@
@Għeleb@|@overcome @
@Għeluq@|@Competition@
@Għenba@|@Grape@
@Għera@|@Nakedness@
@Għereq@|@sink@
@Għerf@|@Wisdom@
@Għerq@|@Root@
@għex@|@live@
@Għid@|@Festival@
@għoġob@|@like@
@Għoġol@|@Calf@
@Għola@|@reach up@
@Għoli@|@Height@
@għolja@|@hill@
@Għonq@|@Neck@
@Għorfa@|@Room@
@għorok@|@rub@
@Għoxa@|@swoon@
@Għoxrin@|@Twenty@
@Għuda@|@Wood@
@Ġibed@|@pull@
@Ġibsa@|@Chalk@
@Gidba@|@Lie@
@Ġiddieb@|@Liar@
@Gideb@|@Lieing (v.n.)@
@Ġideb@|@lie@
@Gidem@|@bite@
@Ġie@|@come@
@Ġiebja@|@Cistern@
@Ġieh@|@Honor@
@ġiehel@|@cause@
@Ġieri@|@Running@
@Ġieri@|@Running (adj)@
@Ġiex@|@A couple of@
@Ġifa@|@Coward@
@Ġifen@|@Galley@
@Gigg@|@Gig@
@Ġild@|@Skin@
@ġilda@|@leather@
@ġilda@|@skin@
@Ġimgħa@|@Week@
@Giref@|@scratch@
@Ġisem@|@Body@
@Ġiża@|@Sock@
@Ġiżimina@|@Jasmine@
@Ġlata@|@Frost@
@Glekk@|@Coak@
@Ġlied@|@Fighting, act of@
@Ġlieda@|@Fight@
@Ġnejna@|@Garden@
@Ġnien@|@Garden@
@Ġo@|@In@
@Ġobna@|@Cheese@
@Goff@|@Rough@
@gomma@|@rubber@
@Gost@|@Pleasure@
@grammatika@|@grammar@
@Grammatikal@|@Grammatical@
@Grammatiku@|@Grammar@
@Gravi@|@Grave, Serious@
@Grazzi@|@Thank you@
@Grazzi ħafna@|@Thank you very much@
@Griż@|@Grey@
@Guffaġni@|@Roughness@
@ġurnal@|@Giornal@
@ġurnata@|@day@
@Gustuż@|@Charming@
@Guvernatur@|@Governor@
@Ġwejjed@|@Quiet@
@Gwerra@|@War@
@Gwida@|@Guide@
@Gżira@|@Island@
@ħa@|@take@
@Ħabat@|@strike@
@ħabb@|@love@
@Ħabba@|@Grain@
@ħabbat@|@trouble s.o.@
@ħabbeb@|@reconcile@
@Ħabel@|@Rope@
@Ħabib@|@Friend@
@Ħabla@|@Rope@
@Ħabqa@|@Basil@
@Ħabrieki@|@Hard working@
@Ħabsi@|@Goalbird@
@ħabta@|@Collision@
@Ħadd@|@Cheek@
@Ħadd (ma…)@|@No one@
@Ħaddied@|@Blacksmith@
@Ħaddieħor@|@Someone else@
@Ħaddiem@|@Worker@
@Ħadem@|@work@
@Ħadid@|@Iron@
@ħadida@|@iron@
@Ħafer@|@forgive@
@ħaffer@|@dig@
@Ħafif@|@Easy@
@Ħafif@|@Light@
@Ħafna@|@Very@
@Ħaġa@|@Thing@
@Ħaġeb@|@Eyebrow@
@Ħaġra@|@Stone@
@Ħajjat@|@Tailor@
@Ħajt@|@Thread@
@Ħajt@|@Wall@
@ħakk@|@scratch@
@Ħala@|@Waste@
@Ħalaq@|@create@
@Ħaleb@|@milk@
@Ħalef@|@swear@
@Ħali@|@Spendthrift@
@Ħalib@|@Milk@
@ħall@|@loosen@
@Ħall@|@Vinegar@
@Ħalla@|@Billow@
@Ħalliel@|@Thief@
@ħalq@|@mouth@
@Ħama@|@Silt@
@ħammar@|@make s.o. blush@
@Ħamsa@|@Five@
@Ħamsin@|@Fifty@
@Ħanaq@|@strangle@
@Ħanek@|@Gum@
@Ħannieqa@|@Collar@
@ħanut@|@shop@
@Ħanut@|@Store@
@Ħanżir@|@Greedy@
@Ħaqar@|@oppress@
@Ħaraq@|@burn@
@Ħarat@|@plough@
@ħarbet@|@route@
@Ħarbex@|@scribble@
@Ħareġ@|@leave@
@Ħarġa@|@Exit@
@Ħarġa@|@Outing@
@Ħarġien@|@Going out@
@Ħarqa@|@Swaddling Cloth@
@Ħarr@|@Acrid@
@Ħarsien@|@Watching@
@Ħaruf@|@Lamb@
@Ħaseb@|@think@
@Ħasel@|@wash@
@ħass@|@feel@
@Ħass@|@Lettuce@
@Ħat@|@sew@
@Ħataf@|@snatch@
@Ħatar@|@Staff@
@Ħaten@|@Brother-in-law@
@Ħati@|@Guilty@
@ħatt@|@load@
@Ħawħa@|@Peach@
@Hawn@|@Here@
@Hawn hu/hi@|@Here is@
@Ħawt@|@Trough@
@ħawtel@|@be diligent@
@Ħaxix@|@Grass@
@Ħaxix@|@Herb@
@Ħaxixa@|@Grass@
@ħaxxen@|@fatten@
@ħażen@|@store@
@ħażena@|@Evil@
@Ħażin@|@Bad@
@Ħdar@|@grow green@
@Ħdax@|@Eleven@
@Ħdejn@|@Near@
@Ħdura@|@Greenery@
@ħeba@|@hide@
@Ħebel@|@rave@
@Hebeż@|@recede@
@Hedded@|@threaten@
@Ħefa@|@Barefootedness@
@Ħeġem@|@devour@
@Ħeġġa@|@Enthusiasm@
@Ħeġġeġ@|@stimulate@
@Hekk@|@Like this@
@Hekk@|@So@
@ħela@|@waste@
@Ħeles@|@deliver@
@Ħeles@|@free@
@ħelsa@|@Freedom, Right@
@Ħelsa@|@Liberty@
@Ħelsa@|@Release@
@Ħelsien@|@Freedom@
@ħelsien@|@Liberating (v.n.)@
@Ħelu@|@Sweet@
@ħema@|@bake@
@Ħemer@|@ferment@
@Hemeż@|@fasten, Pin in place@
@Hemm@|@Grief@
@Hemm hu/hi@|@There is@
@Hena@|@Happiness@
@Henn@|@have mercy@
@Ħerek@|@rise early@
@Heres@|@pound with a pestle@
@Ħerqa@|@Eagerness@
@Ħerqan@|@Eager@
@Ħġieġ@|@Glass@
@Hi (neg: M'hix)@|@She@
@Ħidm@|@Work@
@Ħidma@|@Activity@
@Ħieles@|@Free@
@Hiena@|@Mercy@
@Hieni@|@Happy@
@Ħin@|@Time@
@Ħlieqa@|@Creature@
@Ħmajjar@|@Little donkey@
@Ħmar@|@Donkey@
@Ħmar@|@grow red@
@Ħmistax@|@Fifteen@
@Ħmura@|@Redness@
@Ħobb@|@Bosom@
@Ħobża@|@Bread@
@Ħobża@|@Loaf@
@Ħofra@|@Hole@
@Ħoġor@|@Lap@
@Ħola@|@grow sweet@
@Ħolm@|@Dreaming@
@Ħolm@|@Dreaming, act of@
@Ħolma@|@Dream@
@Ħolom@|@dream@
@Ħorġa@|@Knapsack@
@ħorn@|@horn@
@Ħoss@|@Sound@
@Ħrafa@|@Fairytale@
@Ħrar@|@become dry and barren@
@ħrax@|@become severe@
@Ħruġ@|@Exiting@
@ħruq@|@Burning@
@ħruqa@|@Burn@
@ħruxija@|@Harshness@
@ħruxija@|@Severity@
@ħsieb@|@Thinking@
@Ħsieb@|@Thought@
@ħsieba@|@Thought@
@Ħtint@|@Sister-in-law@
@ħu@|@brother@
@Hu (neg: M'hux)@|@He@
@Ħuġbejn@|@Eyebrows@
@Ħuġġieġa@|@Bonfire@
@Huma@|@They@
@Huma (neg: M'humiex)@|@They@
@Ħuta@|@Fish@
@ħxuna@|@Fatness@
@ħżien@|@become bad@
@Ibblakka@|@polish shoes@
@Ibbrilla@|@glitter@
@Ibbukja@|@book@
@Ibgħad@|@Farther@
@Ibleh, Belha@|@Foolish@
@Iċċaħħad@|@deny oneself@
@Iċċalenġja@|@challenge@
@Iċċara@|@clarify@
@Iċċarċir@|@be spilt@
@Iċċasa@|@store@
@Iċċattja@|@flatten@
@Iċċewweċ@|@be fooled@
@Iċken@|@Smaller@
@Id@|@Hand@
@Idda@|@shine@
@Iddajvja@|@dive (plane)@
@Iddawnlowdja@|@download@
@Iddeffenda@|@defend@
@Iddeġenera@|@degenerate@
@Iddekompona@|@decompose@
@Iddenunzja@|@denounce@
@Idderieġa@|@direct@
@Iddiċida@|@decide@
@Iddiferi (-xx-)@|@differ@
@Iddifferit@|@Deferred@
@Iddifferixxa@|@deferr@
@Iddiletta@|@have a hobby@
@Iddilja@|@deal@
@Id-disa'@|@Ninth@
@Iddispjaċut@|@Regretful@
@Iddivorzja@|@divorce s.o.@
@Iddivrenzja@|@descriminate against@
@Iddiżapprova@|@dissapprove@
@Iddiżassoċja@|@disassociate@
@Iddiżinfetta@|@disinfect@
@Iddiżubbi (-xx-)@|@disobey@
@Iddomina@|@dominate@
@Iddubita@|@doubt@
@Iddwella@|@duel@
@Idjaq@|@Narrower@
@Ieħor, Oħra@|@Other@
@Iffaċilita@|@facilitate@
@Iffirma@|@sign@
@Iffirmar@|@Signing@
@Iffittja@|@fit@
@Iffjori (-xx-)@|@blossom@
@Iffjorixxa@|@prosper@
@Iffronta@|@face a situation@
@Ifqar@|@Poorer@
@Iġġakbina@|@deceive@
@Iġġemma'@|@be collected@
@Iġġenera@|@generate@
@Iġġieled@|@quarrel@
@Iġġustifika@|@justify@
@Iggwida@|@guide@
@Ikħal, Kaħla@|@Blue@
@Ikkaċċa@|@hunt@
@Ikkmanda@|@command@
@Ikkoagula@|@coagulate@
@Ikkompeta@|@compete@
@Ikkompona@|@compose@
@Ikkonċerna@|@concern@
@Ikkontestja@|@contest@
@Ikkontribw (-xx-)@|@contribute@
@Ikkopja@|@copy@
@Ikkuljuna@|@ridicule@
@Ikrah, Kerha@|@Ugly@
@Il@|@The@
@Il barra@|@Outside@
@il fuq@|@Upwards@
@Il ġewwa@|@Inside@
@il quddiem@|@Later on@
@Ilbieraħ@|@Yesterday@
