@English@|@Bolivian Quechua@
@basket@|@aysana, p'uktu, p'uktucha@
@bat@|@chhiñi, masu huk'ucha@
@battle@|@awqanakuy, maqanakuy@
@be a shepherd@|@michiy@
@be careful!@|@paqtaqtaq@
@be left over@|@puchuy@
@be on one's best behavior@|@sumapayay@
@be quiet@|@ch'inyay@
@beak@|@chhuru@
@bean@|@poroto, purutu, tarwi, wyruru@
@bear@|@ukuku, ukumari@
@beard@|@ch'apu, sunkha@
@bearded@|@ch'apu, ch'apuyoq, sunkhayoq@
@beast@|@salqa, uywa@
@beautiful@|@munaycha@
@beautiful eyes@|@ch'aska ñawi@
@because@|@imajtinchus, imaraykuchus@
@because of@|@hawa@
@because of that@|@chayrayku@
@bed@|@puñuna@
@bedding@|@thanaku@
@bee@|@lachiwa@
@bee's honey@|@waronq'o misk'i@
@beetle@|@aka tanqa@
@before@|@awpamanta, ñawpamanta@
@beggar@|@mañakuq runa, mañapakuq, runaq q'opan runa@
@beginning; to start@|@qallariy@
@begonia@|@achanqara, achanqaray@
@behind@|@qhepa@
@being@|@kaj@
@believer@|@iñiq runa, yupaychaq@
@bell@|@chhullchu@
@bell-shaped flower@|@naru@
@belly@|@wiksa@
@belly button@|@pupu@
@beloved@|@munakusqa@
@below@|@ura, urapata, uray@
@belt@|@chumpi@
@benefit@|@allin ruway@
@berry plant with purple flowers@|@ñuñuña@
@besides that@|@chay jawa@
@better said@|@aswanpas@
@bewildered@|@musphachispa@
@bewitched@|@layqasqa@
@big@|@ch'aska ñawi, hatun, jatun, jatun@
@big earthen jar@|@tinaja@
@big eyed@|@ñawisapa@
@bile gland@|@hayaqe@
@bird@|@p'isqo, pinchinchu, pisqo@
@bird beak@|@chhutu@
@birdcage@|@chaqlla wasi@
@birthday@|@diachaku, wata hunt'ay@
@bitter@|@k'allku, qhate, qhatqe@
@bitter memories@|@qhate sonqo yuyarina@
@bitter; bile@|@jayaqe@
@blabbermouth@|@simisapa@
@black@|@yana, yana ch'illu@
@black and white colored@|@jallq'ay@
@black and yellow bird used to draw lucks from box@|@ch'anyita@
@black bird with partly white tail@|@q'ararenqa@
@black widow spider@|@wayruru@
@blacken@|@yanachay@
@blackeye@|@qoylu@
@bladder@|@ch'illa, hisp'ay p'uru, p'uru, phukuchu@
@blanket@|@chusi, frasada, lliklla, manta, phullu@
@blast (of a horn@|@qeqere kunka@
@blemished@|@muru@
@blessed@|@kusisamiyoq, much'asqa, saminchasqa@
@blessing@|@samincha, samincha, saminchasqa@
@blind@|@awsa, ñanwsa, ñawsa@
@blind person@|@awsa@
@blister@|@phusulla@
@blockade@|@awqapakuy@
@blond@|@p'aqo@
@blood@|@yawar@
@blood clot@|@yawar khutu@
@bloodied@|@yawarchasqa@
@bloom@|@t'ka@
@blooming@|@phanchi@
@blotched@|@muru@
@blue@|@anqas, anqhas, azul@
@blue (eyes)@|@qhosi@
@blue sky@|@hanan anqhas@
@board used in weaving@|@luk'i@
@boarder@|@chayaqe@
@boaster@|@sumaykachaq@
@boat@|@barco, wanpu@
@boat; fool@|@wampu@
@body@|@aycha kurku, cuerpo, kurku, runa kurku@
@bog@|@ch'ura@
@boil@|@ch'upu@
@boiled grain@|@mut'i@
@bone@|@tullu@
@bonus given to workers@|@t'inka@
@booger@|@t'isi@
@book@|@libro@
@bookcase@|@libro pirwa@
@booty@|@awqatinkuypi illan@
@border@|@kantu, saywa@
@born@|@paqarisqa@
@boss@|@kacharichiq, kamachiq, uma runa@
@both@|@puraj@
@bother@|@ch'eqmiy@
@bothersome girl@|@qalincha@
@boulder@|@wank'a@
@boundary@|@saywa@
@bouqet@|@kintu@
@bouquet@|@wayta@
@bow@|@antuta, t'iwka@
@bowl@|@akilla, hanq'ara@
@bowstring@|@tiwli@
@boy@|@yoqalla@
@bracelet@|@ch'ipana, chhoqo@
@braggart@|@sumaykachaq@
@bragger@|@sumaykachaq@
@braid@|@simp'a@
@braid of hair@|@saphana@
@brain@|@ñosq'on, ñujtun, osq'on, usqun@
@braised food@|@awgadu@
@bramble@|@t'ankar@
@bran@|@chhapa@
@branch@|@ch'awjra, k'allma@
@branched@|@pallqa@
@brat@|@q'elliskiri@
@brave@|@qharichakuq, wapu@
@bravery@|@atirpay@
@breach@|@q'asa@
@bread@|@t'anta@
@break the law@|@k'aphtay@
@breakable@|@p'akikoj, qhasñu@
@breast@|@uñu@
@breath@|@samay@
@breeder@|@aywaqe, aywaqe@
@bridge@|@chaka@
@brief@|@chaylla@
@briefly@|@huk ratulla, ratulla@
@bright@|@phaqsayoq@
@brightness@|@phaqsa@
@brilliance (reflected)@|@lliphlliy@
@bristle@|@suphu@
@brittle@|@lloqhe@
@broad bean@|@haba@
@broken@|@p'akisqa@
@broken up@|@utu@
@bronchitis@|@sorq'an onqoy@
@bronze@|@cahmpi@
@brook@|@mayucha@
@broom@|@pichana@
@brother@|@wawqe@
@brother (of her)@|@tura@
@brother (of him)@|@wayqe@
@brotherhood@|@ayllu@
@brother-in-law@|@kiwachi@
@brown@|@ch'umpi@
@brown sugar@|@chankaka@
@bruise@|@q'oyu@
@brush@|@ch'aphra@
@bud@|@mukmu@
@buddy@|@khumpa@
@buffoon@|@k'usillu@
@bug@|@ch'uspi@
@builder@|@ruwaq@
@building@|@wasi@
@bulge@|@moqo@
@bum@|@chhachu@
@bumblebee@|@wayronq'o@
@bumble-bee@|@wayronqo@
@bumpy@|@khirkichasqa@
@bumpy terrain@|@q'api q'api@
@bunch@|@mayt'u@
@bunch of flowers@|@waytu@
@bunch up (people)@|@ch'unkunakuy@
@bundle@|@k'umpa, q'epi@
@buried@|@p'ampasqa@
@burned@|@ruphasqa@
@burning@|@lawrashaq@
@burning (sensation)@|@k'ara@
@burning coal@|@sansa@
@burnt offering@|@q'onya@
@burp@|@khasapakuy@
@burro (Sp.)@|@burru@
@bush@|@sach'a, yura@
@but@|@ichaqa@
@butcher@|@nak'aq, ñak'aq@
@butchery@|@nak'ana@
@butt with a horn (animal)@|@waqray@
@butterfly@|@pilpintu@
@buttock@|@siki papa@
@buyer@|@kasero@
@buyer (Sp.)@|@casero@
@by itself@|@kikillanmanta, kikinmanta@
@by means of@|@chawpinasqa@
@cabinet@|@suntur@
@cactus@|@hawaq'ollay, paqpa, puya@
@cadaver@|@aya@
@calamity@|@aqoyraki@
@calf@|@uña, waka uña@
@canal@|@hutk'u@
@cane@|@tawna, tojnu@
@cane like bamboo@|@soqos@
@cannibal@|@runa mikhoj@
@canyon@|@ch'anka@
@cap with ear flaps@|@ch'ullu@
@capable@|@atikuq@
@capable of@|@atiyniyoq@
@cape@|@aqsu@
@captivity@|@ch'achana@
@captured@|@hap'isqa@
@car@|@awtu@
@cardiac arrest@|@sonqo p'itiy@
@cardiology@|@sonqo nanay@
@careful@|@paqtataq@
@carnivorous@|@mikhukullaña@
@carnivorous bird@|@suwiq'ara@
@carry a big load@|@qhochuy@
@cartilage@|@k'apa, k'apallu@
@cat@|@michi, misi@
@cataract@|@phaqcha, phawchi@
@category@|@mitan@
@caterpillar@|@sika sika@
@catfish@|@such'i@
@catholic priest@|@tata kura@
@cave@|@mach'ay, machu mach'ay@
@ceaslessly@|@mana thaniyta@
@celebration@|@raymi@
@cemetery@|@ayapampa, panteon@
@census@|@runa yupay@
@center; between@|@chawpi@
@century plant@|@isabela@
@ceramic@|@raqch'i@
@cerebrum@|@usqun@
@certainly@|@cheqaqmanta@
@chain@|@waskhar@
@chair@|@tiyana@
@changed@|@hokniraqta@
@chaotic@|@mana allin kamarisqa@
@chaotically@|@mana allin kamarisqata@
@chapped lips@|@qara simi@
@charcoal@|@k'illinsa@
@cheek@|@k'aklla, uya k'aklla@
@chest@|@qhasqo@
@chest and arms@|@mak'a@
@chew noisily@|@ch'anchay@
@chew partially@|@aqnuy@
@chewy@|@k'awsi@
@chi[@|@chhillpa@
@chicha@|@aqha@
@chick@|@chillwi, chiwchi@
@chicken@|@wallpa@
@chicken-foot plant@|@amusiku@
@chicklet@|@chiwchi@
@chief@|@kuraka@
@child@|@ch'iti, erqe, q'aqalo, wawa@
@childbirth@|@wachakuy@
@childless person@|@uspha runa@
@chile@|@uchu@
@chin@|@k'aki@
@chip@|@q'asa@
@chipped@|@q'asa@
@ch'iti@|@agile@
@choleric@|@phiña@
@chorus@|@takiri@
@church@|@iglesia@
@circumference@|@muyu@
@city@|@llajta@
@clan@|@ayllu@
@clasp@|@t'ipana, tipana@
@class@|@imaymana, laya@
@clavicle@|@rikra chaka tullu@
@claw@|@sillu, wallpa sillu@
@clay@|@llank'i, llink'i@
@clean@|@ch'uya@
@clear@|@ch'uya, sut'i@
@clearly@|@sut'imanta, sut'inchasqata@
@cliff@|@qaqa@
@clitoris@|@raka k'akara@
@cloak@|@aqsu@
@clod of dirt@|@k'urpa@
@close@|@qaylla@
@cloth@|@awa@
@clothes@|@p'achallikuna@
@clothing@|@p'acha@
@cloud@|@phuyu@
@clouded liquid@|@qhonchu@
@cloudy; strained vision@|@chharpu@
@cloves and toasted citrus peels@|@api@
@clown@|@k'usillu, thintirichiq@
@club@|@k'urpana@
@coat@|@p'istuna@
@cobweb@|@llika@
@coca@|@kuka@
@coca leaf offering@|@k'intu@
@cocaine@|@kuka@
@cold@|@chiri, khutu, qasa@
@cold (illness)@|@chhulli@
@cold food (for travel)@|@kharmu@
@cold hearted@|@rumi sonqo@
@cold plain@|@puna@
@cold sore@|@phasku@
@Colitis@|@rakhu ch'unchulonqoy-Q'echa@
@collar (put on)@|@walqaykuy@
@collected@|@huñusqa@
@collective work@|@faena, waykay@
@collision@|@taka@
@colon@|@rakhu ch'unchul, rakhu ch'unchul@
@colony@|@mithma@
@color@|@tullpi@
@column@|@wankalli@
@comb@|@ñaqch'a@
@comb (for hair)@|@aqch'a@
@combat@|@maqanakuy@
@commandment@|@kamachisqa@
@commands@|@kamachiykuna@
@compatriot@|@llajta masi@
@complex@|@saphisapa@
@concave@|@k'uru@
@conceited@|@machu machu@
@condor@|@kuntur@
@cone@|@pikchu@
@confession@|@willakuy@
@confidence@|@sonqolliy@
@confident@|@mana mancjakuq@
@conflagration@|@rawrariy, yawrariy@
@confusion@|@pawi@
@congregation@|@huñuntin@
@congress@|@suntur@
@congressman@|@kamachiq@
@conscience@|@allin yuyay@
@consecrated@|@hawisqa@
@consecutive@|@otiq, puriq@
@consent@|@uynikuy@
@consolation@|@llullaykuy@
@constant@|@mana tukukuyniyoq, pasaqlla, passqlla@
@constantly@|@pasq kutilla@
@constipation@|@k'iski@
@constriction@|@k'ustukuy@
@container@|@wirkhi@
@contaminate@|@map'achay@
@contemporaries@|@wiñ aynintin@
@contemporary@|@kunanpi@
@continually@|@pasq kutilla@
@continuous@|@mana p'itiq, pasaqlla@
@contraction@|@k'ustukuy@
@convention@|@suntur@
@convert@|@Diosman kutirej, tikrakuq@
@convert (Sp.)@|@converso@
@convulsive cough@|@yana uhu@
@cooked@|@chayasqa@
@copper@|@anta@
@cord@|@waskha@
@core@|@huk'i@
@corn@|@sara@
@corn beer@|@aqha@
@corn cob@|@q'orunta@
@corn flour@|@api@
@corn hair@|@phuñi@
@corn liquor@|@aqha, chicha@
@corn on the cob@|@choqllo, choqlo, chujllu@
@corn on the cob when it is too young too eat@|@michi khiru@
@corn or haba stocks piled in the field@|@jut'u@
@corn or sugar cane@|@wiru@
@corn worm@|@chujllu khuru@
@corner@|@k'uchu@
@cornerstone@|@teqsi rumi@
@coronet@|@qeqere@
@corpse@|@aya@
@corral@|@hap'aka, kancha@
@correct@|@chanin@
@corrugated@|@ch'ollqe@
@corrupt@|@map'achay@
@cotton mouth@|@ch'aki simi@
@cough@|@ch'oqo, ch'uju, choqo onqoy, uhu@
@council@|@junta, suntur@
@counselor@|@llullaykuq, yuyay qoq, yuyaychaj@
@country@|@llajta@
@couple@|@pitu@
@courage@|@qharichakuy@
@court@|@suntur chaninchay wasi@
@covenant@|@rimanakay@
@covered@|@qatasqa@
@covering@|@qata@
@cow@|@waka@
@coward@|@q'ewa@
@crack@|@k'aktu@
@crack of the whip@|@sikwa@
@cracked@|@lajra, raqra, raqrasqa@
@crackle (sparking)@|@q'achachachay@
@craft@|@yukalli@
@cramped together@|@k'iski@
@craver@|@mañapakuq@
@crazily@|@luntata@
@crazy@|@uma t'ojpisqa, waq'a@
@creditor@|@manuq@
@creed@|@iñina, iñiy@
@crestfallen@|@pisichasqa@
@crevice@|@wak'a, wayq'o@
@crime@|@hucha@
@crimson@|@sani puka@
@crippled@|@suchu@
@crisp@|@khaphnishaq@
@crooked@|@weqo, wist'u@
@cross@|@chakata@
@cross one's arms@|@maki lluk'iy@
@cross one's legs@|@chaki tawqay@
@cross-breed@|@chusku@
@cross-eyed@|@lerq'o@
@cross-tied@|@sillwi@
@crotch@|@khapa, phaka@
@crow@|@pisqo@
@crowbar@|@wanqha@
@crowd@|@ch'unku, ch'unkunasqa@
@crown@|@mukuku@
@crucified@|@chakatasqa@
@crude (food)@|@hanku@
@cruel@|@atitaphya, rumi sonqo@
@crumbled@|@tunti@
@crumbly (dirt)@|@phapu@
@crumple up@|@q'aqñuy@
@crumpled@|@q'aqñusqa@
@crust on the eyelids@|@ch'ojñi@
@cry baby@|@irqhe@
@cry-baby@|@waqaysiki@
@cunning@|@yachayllawan ruway, yukalli@
@cup@|@suyk'u@
@cup made from a gourd@|@manthi@
@curly@|@chhurku@
@curly hair@|@k'upa chukcha@
@curtain@|@warkuna@
@custom@|@yachasqa@
@customer@|@casero, kasero@
@cyanosis@|@sani uya@
@cyclone@|@sinchi phukuq wayra@
@daily@|@sapa p'unchay@
@daisy-like flower@|@sunch'u@
@damp; fresh@|@p'api@
@dandelion@|@saqa saqa@
@danger@|@manchay@
@dark@|@laqha@
@darkness@|@laqha, laqhayaq, pawi@
@daughter@|@ususi@
@daughter-in-law@|@qhachuni@
@dawn@|@paqarin, rankhi@
@day@|@p'unchay@
@day before yesterday@|@qaynimp'unchay, qaynimpa@
@day of rest@|@samarina p'unchay@
@dead@|@wañusqa@
@debt; debtor@|@manu@
@deceptive@|@llula@
@deep; body; inside@|@ukhu@
@deer@|@taruka@
@dejected@|@pisichasqa@
@deliberately@|@allimanta@
@delicate@|@qhasñu@
@demon@|@supay@
@denounce@|@ch'atay@
@dense@|@sankhu@
@dent@|@phulqenqa@
@depression@|@llakikuy@
@dermatitis@|@llilli@
@desk@|@qelqana@
@despise@|@chejniy@
@destruction@|@qolluy@
@devil@|@supay@
@devilish@|@millaymana@
@dew@|@chhulla@
@diarrhea@|@q'echa@
@dictator@|@soq'alliq@
@different@|@sapaq, uj jina@
@difficult@|@sasa@
@dignity@|@llumpay@
@diligent@|@k'uchi@
@dirty@|@ch'ichi, khuchi, millay, qhelli@
@discolored@|@peqa@
@discord@|@ch'aqwa@
@disgrace@|@desgracia, taphya@
@disgust@|@ami, millapakuy@
@dish@|@p'uku@
@dish made with chicken or rabbit@|@chhanqa@
@disheveled@|@ch'ajra uma@
@dishonest@|@qhelli@
@disorder@|@ch'arwi@
@distant@|@karu@
@distant relative@|@chayaqe@
@distinct@|@sapaq@
@ditch@|@yarqha@
@diviner@|@watuq@
@division@|@t'aqa@
@dizzy@|@uma muyuy@
@docile@|@samp'a@
@doctor@|@nampikamayoq@
@dog@|@alqo@
@doll@|@makimoqo, t'eqe@
@donor@|@haywariq@
@door@|@punku@
@doubtful@|@iskay sonqo@
@dove@|@urpi@
@dream@|@mosqhoy@
@dress worn by Indian women@|@almilla@
@dried blood@|@t'ari@
@dried fruit@|@k'isa@
@dried manure@|@khara, khara@
@dried mucous@|@t'isi@
@drink@|@waqtu@
@droopy@|@lap'a@
@drop@|@sut'u@
@drought@|@usariy@
@drowsiness@|@susunkhay@
@drowsy@|@puñuysapa@
@drum@|@wanqara@
@drunk@|@machasqa, qhayqa@
@dry@|@ch'aki, p'aspa, qara simi@
@dry corn plant; food for oxen@|@chhalla@
@dry cough@|@ch'aki uhu@
@dry lips@|@phara simi@
@dry meat@|@ch'arki@
@dry mouth@|@ch'aki simi@
@dry stick@|@ch'awjra@
@duck@|@pato, pili@
@dull@|@laq'a@
@dull (knife)@|@muthu@
@dumb@|@upa@
@dumpling@|@k'ispiñu@
@dung beetle@|@akatanqa@
@dwarf@|@eqo@
@dysentary@|@yawar q'echa@
@each@|@sapa@
@eagerly@|@makillaña@
@eagle@|@anka@
@ear@|@ninri@
@earlobe@|@lluthu@
@early@|@mayraq@
@early harvest@|@miskha, miskha@
@earrings@|@tulumpi@
@earth@|@pacha@
@earth worm@|@silwi khuru@
@earth; land@|@jallp'a@
@easy@|@chhallala@
@eclipse of the sun@|@inti wañuy@
@edema@|@punki@
@edge@|@kantu, patan@
@egg@|@runtu@
@eight@|@pusaq@
@elbow@|@chaki kunka, k'ukuchu, kukuchu, maki moqo, makikukuchu@
@elegant@|@k'acha@
@elevated@|@puna@
@empty@|@ch'osaq, ch'usaj@
@end@|@p'uchukay@
@enemy@|@awqa@
@enough@|@chayllaña@
@enough (Sp.)@|@basta@
@entangled@|@ch'ampa@
@entrance@|@haykuna@
@envy@|@chikikuy@
@epoch@|@mita@
@esteemed@|@munasqa@
@eternal@|@wiñay@
@eucalyptus@|@kalisto@
@evening@|@ch'isi@
@everlasting covenant@|@wiñay trato@
@every@|@sapa@
@every time@|@sapa kuti@
@everywhere@|@maypipas@
@evident@|@sut'i@
@evil@|@sajra@
@exact@|@k'apak@
@exactly@|@k'apak@
@excess@|@puchunraq@
@expectation@|@suyay@
@extended family unit@|@ayllu tribe@
@extensive@|@chutarisqa@
@exterior@|@hawa@
@extraordinary@|@aswanchasqa@
@eye@|@ñawi@
@eyebrows@|@qheñipa@
@eyelashes@|@ñawi qechera, qhechiphra@
@eyelid@|@ñawi qara@
@face@|@rikch'ay, uya@
@facts@|@ruwaykuna@
@faded@|@t'ojra@
@faith (Sp.)@|@fe@
@faithful@|@sullull@
@falcon@|@anka, waman@
@fall@|@urmasqa@
@false@|@llulla, yanqa@
@family@|@miray@
@famous@|@yachasqa@
@far@|@karu@
@far away@|@janaj, karu@
@farewell@|@kacharpari@
@farm (Sp.)@|@finca@
@fart@|@supi@
@fat@|@wira@
@fatal@|@qhencha@
@father@|@tata, tayta@
@fatigued@|@sayk'usqa@
@favor@|@khuyay@
@fear of heights@|@soroqchi@
@fearful@|@manchakuy@
@feather@|@phuru@
@feces@|@aka@
@fellow@|@masi@
@fellow citizen@|@llajta masi@
@fellow man@|@runa masi@
@female breast@|@ñuñu@
@female genitalia@|@chupilla@
@femur@|@chaka tullu@
@ferocious@|@rakrakuq@
@fertile woman@|@miraywa@
@fertilizer@|@abunu@
@fever@|@k'aja onqoy, ruphariy@
@few@|@pisi@
@few words@|@uj iskay palabra@
@field@|@chajra, chakra@
@filth@|@kharka@
@final@|@chanaku@
@finally@|@p'uchukaypi@
@fine@|@allin, kusa, walej@
@finger@|@ruk'a, ruk'ana@
@fingernail@|@sillu@
@fire@|@nina@
@firefly@|@pinchinkuru@
@firewood@|@llant'a@
@first@|@ñawpaj, ñawpaq@
@fish@|@challwa@
@fissure@|@k'aktu@
@fist@|@saqma@
@five@|@pisqa@
@flacid@|@llawch'i@
@flag@|@unancha@
@flame@|@lawray@
@flaming@|@lawrashaq@
@flat@|@p'allta, p'alta@
@flat rock used in grinding@|@maran@
@flatterer@|@llunk'u@
@flea@|@itha, piki@
@flesh@|@aycha@
@flood@|@lloqlla@
@flour@|@hak'u@
@flower@|@t'ika@
@flute@|@qena@
@fly@|@ch'uspi@
@fog@|@iphu@
@fold@|@t'aqa@
@following@|@qhepa, qhepan@
@food@|@mihuna, mikhuna@
@food baked in a pit in the field@|@wathiya@
@food eaten on May day@|@parrillada@
@food ground up for small children@|@chichi@
@foolish action@|@sonsera@
@foot@|@chaki@
@footprint@|@yupi@
@force@|@kallpa@
@forearm@|@ñawpa marq'a@
@forefathers@|@ñawpa ayllu@
@forehead@|@mat'i@
@foreigner@|@tumaqaya@
@forest@|@sach'a sach'a, yunka@
@forever@|@wiñay, wiñaypaj@
@forked@|@pallqa@
@fort@|@pukara@
@fortunate@|@ataw@
@four@|@tawa@
@fox@|@atoj, atoq@
@fracture@|@p'akisqa@
@fragile@|@p'akikoj, qhasñu@
@frank@|@sut'i sonqo@
@freckle face@|@mirkha uya@
@freckles@|@mirkha@
@free@|@qespisqa@
@free; in vain@|@qhasi@
@freely@|@yanqallamana@
@freeze dried potatoes@|@ch'uñu@
@fresh@|@qhallallay@
@friend@|@kawsaqe, khumpa@
@frightened@|@mancharisqa@
@frog@|@k'ayra@
@front@|@chimpa, ñawpaqe@
@front part of lower leg@|@chaki senqa@
@frost@|@qhopa@
@fruit@|@ruru@
@fruit of the ulala cactus@|@phasakana@
@frying pan@|@payla, sarten@
@full@|@hunt'a, junt'a, phancha, sajsasqa, unt'a@
@furrow@|@wachu@
@game@|@pukllana@
@gang@|@qhochu@
