@English@|@Tagalog@
@abeyance@|@pag-asa, paghihintay@
@abhor@|@uminip, yumamot@
@abhorrence@|@iníp, muhì, yamot@
@abhorrent@|@nakakikilabot, nakayayamot@
@abide@|@hintayín, maghintáy, maghintáy, tumahan, tumirá@
@abilities@|@katalinuan, kayamanan, pag-aarì@
@ability@|@abót, kakayahan, kapangyarihan, kaya@
@abject@|@alipustâ, hamak, Taong hamak@
@abjure@|@magbitiw, talikdan ang isinumpâ@
@abjurement@|@pagbibitiw, pagtalikod sa isinumpâ@
@ablaze@|@nagliliyab, nagniningas@
@able@|@kaya, may-abot, may-kaya@
@ablution@|@abulusyon, paghuhugas, paglilinis@
@ably@|@may kakayahan@
@abnegate@|@magbitiw, tumalikod sa hinahangad@
@abnormal@|@Pangit, walâ sa ayos@
@abnormality@|@Kapangitan, kawalán ng ayos@
@aboard@|@nakasakay sa sasakyán@
@abode@|@táhanan, tírahan@
@abolish@|@lumipol, magwalâ ng halagá, pumaram, pumawì@
@abolition@|@pagkalipol, pagkapawì, pagkawalâ ng halaga@
@abominable@|@nakaririmarim, nakasusuklam@
@abominably@|@karimarimarim, Kasuklamsuklam@
@abominate@|@marimarim, masuklam@
@abomination@|@kabulukán, karimarimarim@
@abortion@|@pagkalagas@
@abortive@|@lagás, walâ sa panahon@
@abound@|@managanà, sumaganà@
@about@|@halos, malapit as, sa paligid, tungkol sa@
@about (1)@|@hinggil sa, humigit kumulang, tungkol as@
@about to explain@|@magpapaliwanag@
@above@|@nangingibabaw, sa ibábaw, sa itaás, tangì@
@above (1)@|@higit sa lahat, sa itaas, sa kaitaasan@
@abreast@|@kasiping, katabí@
@abridge@|@iklián, liitán@
@abridgement@|@kaiklián@
@abroad@|@nakasakay@
@abroad (1)@|@sa tanyag@
@abrogate@|@alisan ng kabuluhan, hwag bigyan ng kabuluhan@
@abrogation@|@pagpapawalâ ng kabuluhan@
@abrupt@|@biglâ, kaagád, sirâ@
@abruptness@|@kabiglaan, kadalian, pagkawalang pitagan@
@abscess@|@bagâ, pigsá, tila bukol@
@abscind@|@humiwà, pumutol, tumagâ@
@abscission@|@hiwà, pútol@
@abscond@|@magtagò, manirà ng salapî@
@absence@|@ang dî pagharap, kapalyahan, pagpalya@
@absence (1)@|@ang dî pagdaló, pagkawalâ sa harap@
@absent@|@dî dumaló, dî kaharap, hindi pumasok, pumalya@
@absent (1)@|@maglagalag, maglayás@
@absolute@|@ganap, nakapangyayari@
@absolutely@|@kasukdulan, sakdal@
@absolution@|@kalag, patawad@
@absolve@|@kumalag, magpatawad@
@absorb@|@humigop, humitit, sumipsip@
@absorbent@|@humihigop, humihitit, sumisipsip@
@absorption@|@higop, hitít, sipsíp@
@abstain@|@magpigil@
@abstemious@|@mapagpigil@
@abstinence@|@pagpipigil@
@abstract@|@hiwalay, iklî, katás, kuhulugán, maghiwalay@
@absurd@|@balintunà, tiwalî@
@absurdity@|@kabalintunaan, katiwalian@
@abundance@|@kasaganaan@
@abundant@|@saganà@
@abundantly@|@may kasaganaan@
@abuse@|@abuso, kapaslangan, pagpapakalabis, pamamaslang@
@abusive@|@Lapastangan, malabis@
@abut@|@mapaabót, tumapos@
@abyss@|@bangin, kalaliman, lalim@
@Abyssinia@|@Abisinya@
@accede@|@pumayag, sumásangayon@
@accelerate@|@magmadalî, magtumulin@
@acceleration@|@dalî, liksí, tulin@
@accenssion@|@karagdagan, pagpayag@
@accent@|@asento, diin, tudlít@
@accept@|@tanggapín, tanggapín, tumanggap@
@accept help@|@tulong@
@acceptable@|@kaayaaya, matatanggap@
@acceptably@|@kalugodlugod@
@acceptance@|@pagtanggap@
@acceptation@|@pagkatanggap@
@access@|@daan, dagdag, pag-ábot, Pag-ábot, paglapit, paglúsob@
@accident@|@aksidente, kapahamakán, pagkakataon, sakunâ@
@accidental@|@hindî sinasadyâ, nagkataon@
@acclaim@|@pumakpak, pumuri@
@acclamation@|@pagpakpak, pagpuri@
@acclivity@|@ahunín, sálungahin@
@accommodate@|@magbigay-loob, magpaginghawa, makibagay@
@accomodating@|@mapag-alay, mapaglingkod@
@accomodation@|@ginghawa, kasiyahán@
@accompaniment@|@pakikisama, pakikitugmâ@
@accompany@|@makisama, makitugmâ, sumama, tumugmâ@
@accomplice@|@karamay@
@accomplish@|@gumanap, magwakas, tumapos, yumarì@
@accomplished@|@ganap, tapós, yarì@
@accomplishment@|@pagganap, pagtapos, pagwawakas, pagyarì@
@accomptant@|@tagabilang@
@accord@|@kásunduan, kásunduan, pagkakaintindihan, pahintulot, usapan@
@accord (1)@|@makipagkasundô, pagkaayon, pagkatugmâ, pumayag@
@accordance@|@kásunduan, pagkakasundô, pagkakatuos@
@accordant@|@nagkakaayon, nagkakatugmâ@
@according@|@alinsunod sa@
@according as@|@ayon sa@
@according to@|@ayon sa@
@accordingly@|@alinsunod, naaalinsunod, naaayon@
@accost@|@bumatì, sumalubong@
@account@|@dahilán, katwíran, kuwenta, kuwénta, tuos, turing@
@account (1)@|@kurò, naniniwalà, paglalaráwan, tuús@
@accountability@|@pananagot@
@accountable@|@nananagot@
@accountant@|@nananagot, tagabilang@
@accoutre@|@gumayak, humandâ@
@accoutrements@|@báon, daladalahan, gayak@
@accredit@|@magbigay-dangal, magbigay ng crédito, naniniwalà@
@accredited@|@kilala, pinagkakatiwalaan@
@accumulate@|@magbunton, magsalansan@
@accumulation@|@bunton, pagkakadagandagán, salansan@
@accuracy@|@ganap, ingat, linis@
@accurate@|@lubos, tama, tamà, wagas@
@accure@|@magdagdag, mangyari, pagkálabasan@
@accurse@|@lumait, manungayaw, sumumpâ, tumungayaw@
@accursed@|@nilait, sinumpâ, tinungayaw@
@accusable@|@maisusumbong, salarín@
@accusation@|@bintang, paratang, sumbong@
@accuse@|@akusa, magsakdal, magsumbong, pagbintangan@
@accustom@|@magsanay, mahirati, mamihasa, masanay, maugalian@
@accustomed@|@bihasa, datihan, hirati, sanáy@
@ace@|@alás@
@acerbic@|@mapaít, matálas, matúlis@
@acerbity@|@kapaitan, kasaklapan@
@acetous@|@maásim@
@ache@|@anták, hapdî, kirót, sakít, sumakít, umantak@
@achieve@|@gawín, magtamó, yumarì@
@achievement@|@pagyarì@
@aching@|@mahapdi, makirot, masakit, pag-antak, pagsakit@
@achiote@|@atswete@
@acid@|@áksido, maásim@
@acidity@|@asim, kaasiman@
@acknowledge@|@kumilala, magpahayag@
@acknowledgement@|@pagkilala@
@acme@|@kataastaasang dako, taluktok@
@acolite@|@sakristan@
@acorn@|@bunga, ensina@
@acoustic@|@nanukol sa tingig@
@acquaint@|@magbigay-alam, magbigay-páuna@
@acquainted@|@kilala, lakilala@
@acquiesce@|@makiayon, pumayag@
@acquiescence@|@pagpayag, pakikiayon@
@acquiescent@|@payag, sang-ayon@
@acquire@|@bilhin, bumilí@
@acquit@|@magpakawalâ, magpalayà, magpatawad@
@acquital@|@patawad@
@acrid@|@maanghang, naninigid@
@acrimony@|@anghang@
@acrobat@|@sirkero@
@across@|@patawíd, sa ibayo, sa kabila, sa kabilâ@
@act@|@gawâ, gawín, gumawa, gumawâ, lumabas ó mag-artista, yarì, yugtô@
@act of singing@|@pag-awit@
@action@|@galaw, gawâ, kilos@
@actionable@|@maparurusahan, salarín@
@active@|@mabisà, maliksi, masikap, masipag@
@activity@|@gawain, kilusan, pagkilos@
@actor@|@artista@
@actress@|@babaing lumalabas (sa dulaan)@
@actual@|@kasalukuyan, tunay@
@actually@|@ang totoo@
@actuate@|@gumaláw, kumílos, mag-udyok, magbuyó, magsagawâ@
@acullion@|@alilà sa kusinà@
@acumen@|@katalasan ng isip@
@acute@|@matalinò, matulis@
@ad@|@anúnsiyo@
@adage@|@kasabihan ó kawikaan@
@adamant@|@matigas na matigas@
@Adam's apple@|@gulunggulungan@
@adapt@|@ibagay, ikanâ, ikapit, isang-ayon@
@adaptation@|@pagaakmâ, pagbabagay@
@add@|@dagdag, dagdagan, magdagdag, magpunô, sumahin@
@addict@|@mag-ukol, magtalagá@
@addition@|@dagdag, pagbubuô@
@additional@|@dagdag@
@addle@|@bugok, bulok, bumugok, bumulok, walang lamán@
@address@|@kinaroroonan, kinatatahanan, talumpati, tirahan@
@address (1)@|@magsalaysay, magtagumpay, manalitâ, salaysay@
@adduce@|@magbigay-liwanag, maglitaw ng katotohanan@
@adept@|@bihasa@
@adequate@|@akmâ@
@adhenrent@|@makiling, paladikit@
@adhere@|@dumikit, kumampí, kumiling, umayon@
@adherence@|@pagkampí, pagkatig@
@adhesion@|@pagkampí, pagkatig@
@adhesive@|@malagkit, paladikit@
@adieu@|@paalam@
@adipose@|@masebo, matabâ@
@adjacent@|@kalapít, katabí@
@adjective@|@adhetibo, pangturing@
@adjoin@|@magdugtong, magkabít, magsugpong@
@adjourn@|@magpaliban@
@adjournment@|@pagpapaliban@
@adjudge@|@humatol@
@adjunct@|@karatig, karugtong@
@adjuntant@|@ayudante, katulong@
@adjuration@|@panunumpâ@
@adjure@|@manumpâ@
@adjust@|@mag-ayos, maglapat@
@adjustment@|@pagkakaayos, pagkakalapat@
@administer@|@mangasiwà@
@administration@|@pámahaláan, pangasiwaan@
@administrator@|@tagapangasiwà@
@admirable@|@kagilagilalas, Kahanga-hanga@
@admiral@|@pangulo ng hukbong-dagat@
@admiration@|@paghangà, pagtataká, pamamanghâ, panggigilalás@
@admire@|@hangaan, magtaká, mamanghâ, manggilalas@
@admissible@|@matatanggap, tinatanggap@
@admission@|@pagtanggap, pasukan, tanggap@
@admit@|@aminin, pahintulot, papasukin, tumanggap@
@admittance@|@pahintulot, pahintulot na makapasok@
@admix@|@maghalò, maglahok@
@admixture@|@halò, lahók@
@admonish@|@pagsabihan, pangusapan@
@admonition@|@aral, payo@
@ado@|@alingawngaw, guló, hirap, íngay@
@adopt@|@ampunín, umampon, umaring-anák@
@adoption@|@pag-ampon, pag-aring-anák@
@adorable@|@marapat, nakágigiliw, sambahín@
@adoration@|@pagsambá@
@adore@|@sumambá@
@adorn@|@maggayak, palamuti@
@adrift@|@nakalutang, sa bala na, sa talaga ng mga alon@
@adroit@|@maliksí, sanáy@
@adulation@|@tuyâ, wikàwikà@
@adult@|@magulang, matanda, matandâ, may gulang@
@adulterate@|@maghalò, makiagulò, mangálunyâ@
@adulteration@|@mapagbantô, mapangalunyâ@
@adultery@|@pakikiagulò, pangangalunyâ@
@advance@|@magpatuloy, pagsulong, pagtulóy, sumulong@
@advancement@|@pagbuti, pagkasulong@
@advantage@|@higít, lamáng, pakinabang@
@advent@|@pagdating@
@adventure@|@hindî sinasadyâ, pagkakataón@
@adventurer@|@mapagbakasakalì@
@adventurous@|@mapangahas, matapang@
@adverb@|@adverbio (pangbago)@
@adversary@|@kabanggà, katalo, katunggalî@
@adverse@|@laban, salungá@
@adversity@|@kahirapan@
@advert@|@kumalingà, magbigay páuna@
@advertise@|@ipabalita, kumalingà, magbigay páuna@
@advertisement@|@anúnsiyo, anúnsiyo, balità, pahiwatig, pasabi@
@advice@|@paalala, payo, tagubilin@
@advise@|@aral, magpayo, pagpayuhan, payo, payuhan, pumayo@
@adviser@|@tagaaral, tagapayo@
@advocate@|@tagapagsanggalang, tagapamagitan@
@advocate (1)@|@magsanggalang, mamagitan, pintakasi@
@adze@|@darás@
@aerial@|@nauukol sa hangin@
@aerogramme@|@erograma@
@aeroplane@|@eroplano@
@afar@|@may agwat, may kalayuan@
@affability@|@lugód@
@affable@|@maamongloob, maawaín, mabaít, nakalulugod@
@affableness@|@kaamuangloob, kaluguran@
@affair@|@bagay, pakikipaglaguyo, pakikipaglaguyo pakay, pangyayari, sadyâ@
@affair (1)@|@layon@
@affect@|@makabaklá, pumukaw@
@affected@|@pukáw, tinablán ó tinatablan@
@affection@|@baklá, pag-íbig, pukaw@
@affectionate@|@magiliw, mairog@
@affiance@|@pagtitiwalà, típanan sa pag-aasawa@
@affiliate@|@makianib, makisapì@
@affiliated@|@kaanib, kasapì@
@affiliation@|@pagkaanib, pagkasapì@
@affined@|@bilang, kamag-anak@
@affinity@|@pagkabilang na kamag-anak, pagkahinlog@
@affirm@|@magpatibay, magpatunay@
@affirmable@|@mapatutunayan@
@affirmation@|@patotoo, patunay@
@affirmative@|@nagpapatunay@
@affix@|@idugtong, isugpong@
@afflict@|@dumalamhati, magpahirap@
@affliction@|@dalamhatì, hapis@
@affluence@|@kasaganaan, kayamanan@
@affluent@|@mayáman, mayáman, saganà@
@afflux@|@pagtatagpô ng dalawang ilog@
@afford@|@magbigay, magtaan, pahintulot@
@affray@|@away, lusob@
@affright@|@gitla, gulat, gumitlá, gumulat, tumakot@
@affront@|@Ipamukhâ, lait, magpamukhâ, pagmura, pamukhâ@
@Afghanistan@|@Apganistan@
@afield@|@sa lwal, sa parang@
@afire@|@nagliliyab, nagniningas@
@afloat@|@nakalutang@
@afoot@|@lakád@
@afore@|@dati, náuna@
@aforesaid@|@nábanggit, násabi@
@afortime@|@datihan, noong araw, noong una@
@afraid@|@nasindak, natákot, takót@
@afresh@|@mulî, panibago, ulî@
@Africa@|@Apriká@
@aft@|@sa gawíng likod@
@after@|@pagkalipas, pagkatapos, sa likód ng@
@after going up the stairs@|@Pagkapanhik@
@after stopping@|@pagtigil@
@after-life@|@kabilang-buhay@
@aftermath@|@Supling@
@afternoon@|@Hápon, tanghali@
@afterward@|@pagkatapos@
@afterwards@|@pagkatapos@
@again@|@mulî, na naman, ulî@
@against@|@sa harap@
@agape@|@pasulyapsulyap@
@age@|@edád, gulang, tandâ@
@aged@|@magulang matandâ@
@agency@|@kátiwalaan, pangasiwaan@
@agent@|@ahente, katiwalà@
@agglomerate@|@Mábunton, magkadagandagan, mapisan@
@aggrandize@|@lakihán, magbunyî, magpalakí@
@aggrandizement@|@kabunyian, kalakhan@
@aggravate@|@bumigat, lumalâ, lumubhâ@
@aggravation@|@pagbigat, paglalâ, paglubhâ@
@aggregate@|@bumuô, kabuoan, magtipon, tumipon@
@aggregation@|@pagbuo, pagpipisan, pagtitipon@
@aggress@|@dumaluhong@
@aggression@|@daluhong, paglúsob, salakay@
@aggressive@|@dumadaluhong, lumulusob, nakasasakít@
@aggressor@|@ang dumadaluhong@
@aggrievance@|@kaadwâan, kaapihán@
@aggrieve@|@magpasamâ ng loob@
@aghast@|@sindak@
@agile@|@maliksí, matulin@
@agility@|@kaliksihan, katulinan@
@agitate@|@lumuglog, magpakilos, umalog, umugâ, yumugyog@
@agitation@|@pag-alog, pag-ugâ, pagluglog, pagpapakilos@
@agitator@|@tagaudyok, tagayugyog@
@ago@|@hal. "malaon na.", na@
@agog@|@sa nais, sa nasà@
@agoing@|@hala, handâ na, kauntî na@
@agonize@|@maghingalô, maghirap, maglubhâ@
@agony@|@hapis, hirap, paghihingalô, paghihirap@
@agree@|@pumayag, sumásangayon, umayon@
@agreeable@|@maligayà, marapat, nakalúlugód@
@agreeably@|@kawiliwili, nakalulugod@
@agreement@|@kásunduan, kásunduan, káyarian, pasunduan@
@agricultural@|@nauukol sa pagsasaka@
@agriculture@|@agrikultura, pagbubukid, paglinang, pagsasaka@
@aground@|@sadsad, sayad@
@ague@|@lagnát, ngiki@
@ah!@|@Abá!, Ah!, ahá!@
@aha!@|@ah!, ahá!@
@ahead@|@bágo, dáti, hinaharap, noóng úna, sulong pa@
@ahead (1)@|@sa harap, sa unahán@
@aid@|@abuloy, katúlong, tulóng, tumúlong, umabuloy@
@aid-de-camp@|@ayudante de campo@
@ail@|@bumagabag, damdam, dumalamhatì, sakít, sumakít@
@ailment@|@antak, hapdî, kirot, sakit@
@aim@|@layunin, pakay, tudlâ, tumudlâ, umapuntá@
@aimless@|@walang pakay, walang sadyâ, walang tungo@
@aimless (1)@|@anomang pangyarihan@
@air@|@hangin, himpapawid, ibilad, ligoy ng tugtugin@
@air conditioning@|@air con@
@air letter@|@erograma@
@aircraft@|@eroplano@
@airdrome@|@lápagan ng eroplano@
@airfield@|@lápagan ng eroplano@
@airgun@|@escopeta de biento@
@airhole@|@híngahan@
@airiness@|@aliwalas, gaan ng katawan@
@airmail@|@air mail@
@airplane@|@eroplano@
@airport@|@lápagan ng eroplano, paliparan@
@airtight@|@kulob@
@airy@|@hinggil sa hangin@
@aisle@|@sulambî@
@aisle (1)@|@upuan ó bangkô@
@ajar@|@nakabukas ng kauntî@
@ake@|@umantak kumirot@
@akimbo@|@baluktot@
@akin@|@kadugô, kamag-anak, kawangis@
@alabaster@|@alabastro@
@alacrity@|@gaan ng loob@
@alamond@|@ayon sa ugalí, sunod sa moda@
@aland@|@sa lupà@
@alarm@|@babalà, gulat, guló, gumulat, magpagibík, pagibík@
@alarm-bell@|@batingaw na pamukaw@
@alarm-clock@|@relos na panggising@
@alarm-post@|@bantayan@
@alarm-watch@|@relos na panggising@
@alas@|@¡ay!, sa abá@
@Alaska@|@Alaska@
@alate@|@sa kátapustapusan@
@alb@|@bukang-liwayway@
@Albania@|@Albanya@
@albeit@|@bagaman, gayon man, kahit@
@album@|@album@
@albumen@|@putì ng itlog@
@alcohol@|@alkohól@
@alcove@|@silíd@
@alderman@|@punong bayan@
@alembic@|@alakán@
@alert@|@handâ, maagap@
@algebra@|@álhebra@
@Algeria@|@Alherya@
@alias@|@palayaw, sa ibang paraan@
@alibi@|@hindî dumaló sa pinagtipanan@
@alien@|@dayuhan, Iba, tagaibang lupà@
@alienate@|@ilipat sa iba, isalin sa iba@
@alienation@|@paglilipat sa iba@
@alife@|@porbida (sumpâ)@
@alight@|@bumaba, may sindí, nagliliyab, nagniningas@
@alike@|@kagaya; gayon din, katulad, kawangis@
@alimental@|@nakapagpapalakas na pagkain@
@alimentary@|@masustancia@
@alive@|@buháy, gumagalaw@
@all@|@boô, buô, lahát, lubos, pawà, pulos, taganas@
@all (1)@|@kabuoan, kalahatan@
@all creation@|@sangnilikha@
@all day long@|@maghapon@
@all night long@|@magdamág@
@all over again@|@mulî, ulî@
@all souls day@|@Araw ng mga Patay, Todos los Santos@
@all the more@|@lalo@
@all together@|@natodo@
@allay@|@guminghawa, tumahimik pumayapà, umigi@
@allayment@|@ginghawa, igi@
@allegation@|@pagpapatunay; tutol@
@allege@|@magpahayag, magpatunay, mananggalang, tumutol@
@allegiance@|@pagtatapat@
@allegoric@|@tinatalinghagà@
@allegorical@|@tinatalinghagà@
@allegorize@|@talinghagain@
@allegory@|@talinghagà@
@alleviate@|@gumaan, guminghawa@
@alleviation@|@gaan, ginghawa@
@alley@|@lansangang mapunong kahoy@
@alliance@|@káyarian@
@allied@|@kaisa, kasundô kakampi@
@alligate@|@pagtaliin@
@alligator@|@bwaya@
@all-night@|@nagdamag@
@allot@|@mag-ukol, magtadhanâ@
@allotment@|@pag-uukol, pagbabahagi, pagtatadhanâ@
@allow@|@magpahintulot, pahintulot, pumayag@
@allowable@|@mapapayagan@
@allowance@|@kapahintulutan@
@alloy@|@haló, halûan, lahók, lahukan@
@allspice@|@especias pamintá, sinamuno at ibp. gaya nito@
@allude@|@banggitin, bumanggit@
@allure@|@humimok, umalò@
@allurement@|@alò, hibò dayà, himok@
@alluring@|@kahalihalina, nakahahalina@
@ally@|@kakampí, kasundô@
@almanac@|@almanake, kalendaryo@
@almighty@|@bathalà, Dyos, makapangyarihan sa lahat, may-kapal@
@almond@|@almendras, pilì@
@almond-tree@|@punò ng pilì@
@almoner@|@tagapagbigay ng limós@
@almost@|@halos, hálos, malapitlapit@
@alms@|@kaawang gawâ, limós@
@almsgiving@|@paglilimos@
@almshouse@|@bahay-ampunan ng mahihirap@
@aloft@|@Sa ibabaw, sa itaas@
@alone@|@íisa, lamang, nag-íisa, tangì@
@along@|@sa gawî, sa hinabahabà@
@alongside@|@sa gawing tabí@
@aloof@|@buhat sa malayò@
@aloud@|@sigaw, tinig na malakás@
@alow@|@sa ibabâ@
@alphabet@|@abakada, alpabeto, katitikan@
@alphabetic@|@ayos sa titik@
@alphabetical@|@ayos sa titik@
@already@|@handâ na, na@
@alsmgiver@|@mapagbigay-limós@
@also@|@din, man, naman, pa mandin, pati, rin, rin naman@
@also (1)@|@din naman@
@altar@|@altár, dambanà, silid dalanginan@
@alter@|@baguhin, bumago, ibahin, umiba@
@alterable@|@nababago, naiibá@
@alterant@|@nakababago, nakaiiba@
@alteration@|@pagiibá@
@alternate@|@halíhalilí, halinhinan, humalili@
@alternation@|@paghalili@
@although@|@bagaman, bagamat, káhi't, kahit na@
@altitude@|@kataasan, taas, tayog@
@altogether@|@lahát, lahatlahat, parapara, pawà, pulos, taganás@
@altogether helped@|@nagkatulong-tulong@
@alum@|@tawas@
@aluminium@|@alumínyo@
@alway@|@lagì, palagì, parati@
@always@|@lagì, palagì, parati@
@Am I under arrest?@|@Aarestuhin mo ba ako?@
@amability@|@kagandahang-loob@
@amain@|@may kabiglaanan@
@amass@|@magbunton, magsalansan@
@amassment@|@bunton, salansan@
@amateur (1)@|@kulukutî ó larô@
@amaze@|@gitla, gulat, manggulat manggitlá, sindak@
@amazement@|@pagkagitla, pagkagulat, pagkasindak@
@amazing@|@kahanga-hangang@
@amazon@|@amasona@
@amazonian@|@babaing mangdidigmâ@
@ambassador@|@embahador, sugò, sugong kinatawan@
@amber@|@ambar@
@ambient@|@panginorin@
@ambiguity@|@alinlangan@
@ambiguous@|@álanganin, magkabikabilang kahulugan@
@ambit@|@palibot, paligid@
@ambition@|@ambisyón, dî kawasang hangad, pita@
@ambitious@|@mapaghangád, mapaglayon, mapagpita@
@ambulance@|@ambulansiyá, arag-arag, pangkuha ng may-sakit@
@ambuscade@|@habatín, harangin@
@ambush@|@abat, habát, humabát, umabat@
@ameliorate@|@magpabuti, magpagaling@
@amelioration@|@pagbuti, paggaling@
@amen@|@amén, siya nawâ@
@amenable@|@nananagot, nananagutan@
@amend@|@bumago, magsusog, umibá@
@amendable@|@maaayos, naaayos@
@amendment@|@pagkabago@
@amends@|@kabayaran, kagantigan@
@amenity@|@gandá, kagandaban-loob, kaligayahan@
@America@|@Amerika@
@american@|@taga Amérika@
@American@|@Amerikano@
@americanism@|@pagkaamerikano@
@americanize@|@amerikanuhin@
@amiability@|@kagandahang-loob, kaibig-ibig na asal@
@amicability@|@pakikipagkaibigan@
@amicable@|@mapagkaibigan@
@amid@|@sa gitnâ ng, sa pagitan ng@
@amidst@|@sa gitna ng, sa pagitan ng@
@amiss@|@may pagkakamalî, may pagkakasala, salarín@
@amity@|@pagkakaibigan@
@ammoniac@|@amoniako@
@ammunition@|@munisyones@
@ammunition (1)@|@pulburá@
@amnesty@|@kapatawaran, lubós na paglimot@
@among@|@kasama ng, sa gitnâ, sa gitnâ ng@
@amongst@|@sa gitnâ ng@
@amorous@|@mairugin, masintahin@
@amount@|@halaga, kal, magkahalaga, sumapit, umabot@
@amount (1)@|@kalahatan@
@amper@|@bukol@
@amphitheatre@|@anfiteatro@
@ample@|@malawak, malawig@
@ampliation@|@kalakhan, kalawigan@
@amplify@|@lakhán, palawigin@
@amplitude@|@abót, kasaganaan, lawig@
@amply@|@may kalawigan@
@amuck@|@may pagkabalasik@
@amulet@|@anting-anting@
@amuse@|@mag-aliw, maglibang@
@amusement@|@álinlangan, áliwan@
@amusing@|@nakaaaliw, nakakatuwa, nakalilibang@
@an@|@isa@
@an adolescent boy turning into a man@|@nagbibinata@
@Ana called yesterday@|@Tumawag si Ana kahapon@
@anachoret@|@anakoreta@
@anaconda@|@sawá@
@analogous@|@kahawig, kahuwad@
@analogy@|@pagkakahawig, pagkakahuwad@
@analyse@|@lumitis, sumurì@
@analysis@|@paglilitis, pagsurì@
@anarchist@|@anarkista@
@anathema@|@sumpâ@
@anathematize@|@sumumpâ@
@Anatolia@|@Anatolya@
@ancestor@|@kánunuan, pinagbuhatan, pinanggalingan@
@ancestors@|@ninuno@
@ancestral@|@nauukol sa kánunuan@
@ancestry@|@lahi@
@anchor@|@angkla, mahulog ng sinipete, sawo, sinipete@
@anchored@|@nakasinipete@
@anchovy@|@halubaybay@
@ancient@|@dati, laon, lumà, matandâ, una, unang tao@
@and@|@at, at saká@
@and then@|@saka@
@Andes@|@Kabundukang Andes@
@anew@|@bago, mulî, panibago, ulî, ulit@
@ang nag-aalmoneda@|@auctioneer@
@angel@|@anghél@
@angelic@|@mukhang anghél, nauukol sa anghél, parang anghél@
@angelical@|@mukhang anghél, nauukol sa anghél, parang anghél@
@angel-like@|@mukhang anghél parang anghél@
@anger@|@init, mag-init@
@angle@|@bingwít, kantó, likô, mamingwít, panulukan, sulok@
@angle (1)@|@bumingwít@
@angler@|@mámimingwit, tagabingwit, tagapamingwít@
@angler (1)@|@ang namimingwit@
@anglican@|@anglicano@
@anglicize@|@isalin sa wikang inglés@
@angrily@|@may pagiinit, may pagkagalit, padarag@
@angry@|@galit, Inít@
@anguish@|@dálita, hapis@
@angular@|@ang ukol sa panulok@
@angularity@|@anyong panulok@
@anights@|@gabigabí@
@animal@|@háyop@
@animate@|@buháy, may kálulwa@
@animated@|@buháy, ganyák@
@animation@|@pagkaganyak@
@animosity@|@pagmamasamang-loob, pagtatanim, pakikipag-alit@
@anise@|@anís@
@aniseed@|@buto ng anis@
@Ankara@|@Angkara@
@ankle@|@bukong-bukong@
@anneal@|@tumimplá ng kristal ó salamin@
