@English@|@Papiamento@
@account@|@aklarashon, faktura, kuenta, motibu@
@account (1)@|@deskripshon, informashon, kere@
@account book@|@regester@
@accountable@|@eksplikabel, responsabel@
@accountrement@|@ekipahe@
@accredit@|@kere@
@accretion@|@kresemento, kresementu@
@accumulation@|@akumulashon, monton@
@accumulator@|@bateria, kolekshonista@
@accuracy@|@presishon@
@accurate@|@presis@
@accure@|@krese@
@accusal@|@akusashon@
@accusation@|@akusashon@
@accusative@|@akusativo@
@accuse@|@kulpa@
@accused@|@akusado@
@accuser@|@akusadó@
@accustom@|@kostumbrá@
@accustomed@|@gewon, hewon, komun, usual@
@accustumed@|@gewon@
@ace@|@as@
@acerbic@|@marga@
@acerbity@|@amargura@
@acetous@|@ásido@
@ache@|@anhelá, doló, dolór, due@
@achievable@|@realisabel@
@achieve@|@cumpli, haña, hasi, haya@
@achievement@|@akshon, akto, echo, èksito@
@acid@|@ásido@
@acidness@|@sarkasmo@
@acknoledgement@|@konfeshon, recibu@
@acolyte@|@miembro@
@acquaintance@|@konosemento, konosementu@
@acquire@|@atkirí, haña, haya, kumpra, optené@
@acquisition@|@atkisishon, kompra@
@acrobat@|@akrobat@
@across@|@enfrente, horizòntalmente@
@across from@|@antes cu, anti, kontra@
@act@|@akshon, akto, aktua, echo, hasi@
@action@|@akshon, akto, bataya, echo, proseso@
@action(1)@|@brigamentu, influensha, pelea, peleya@
@activate@|@aktivá, kousa@
@active@|@aktivo@
@activity@|@akshon, aktividat, ánimo, okupashon@
@actor@|@aktor@
@actress@|@aktris@
@actual@|@efektivo@
@actuality@|@realitad@
@actually@|@efektivamente@
@actuate@|@move, muf@
@acuity@|@atenshon@
@acute@|@intenso@
@ad@|@anunsio, atvertensia, aviso@
@ad infinuitum@|@infinitamente@
@adage@|@proverbio@
@adaptation@|@adaptashon@
@add@|@agregá, añadí@
@adder@|@vibora@
@addition@|@agregashon@
@additional@|@èkstra@
@addled@|@bobo, bubè, chambòn, sokete@
@address@|@adrès@
@adept@|@maestro@
@adieu@|@ayo, so long, tanten@
@adjectival@|@athetivo@
@adjective@|@athetivo@
@adjudication@|@sentensha, sentensia@
@adjunct@|@agregashon@
@adjustment@|@adaptashon@
@administration@|@atministrashon, gobernashon@
@administrative@|@atministrativo@
@administrator@|@atministradó@
@admirable@|@atmirabel@
@admiral@|@atmiral@
@admiration@|@atmirashon@
@admirer@|@atmiradó, atmiradora@
@admissible@|@permitibel@
@admission@|@konfeshon@
@admonition@|@aanmaning@
@ado@|@babel, bagamunderia, beheit, bochincha@
@ado(1)@|@bòmbòshi, boroto, desòrden@
@adoption@|@adoptashon@
@adorable@|@adorabel@
@adorer@|@adoradó@
@adress@|@adrès@
@adroit@|@hèndi@
@adult@|@adulto@
@advance@|@progreso@
@advancement@|@progreso@
@advantage@|@benefishi, benefisio, bentaha, utilidat@
@advantageous@|@faborabel, útil@
@adventitious@|@aksidental@
@adventure@|@aventura@
@adventurer@|@aventurero@
@adventurous@|@aventurá@
@adverb@|@atverbio@
@adverbial@|@atverbial@
@adversary@|@enemigo, enemigu@
@adverse@|@desbentahoso, kontrali, kontrario@
@advertence@|@atenshon@
@advertency@|@atenshon@
@advertisement@|@anunsio, atvertensia, aviso@
@advice@|@konseho@
@advisable@|@konsehabel@
@advocate@|@abogado@
@aerial@|@aério, antèna@
@aerodynamics@|@airodinámika@
@aeronaut@|@aironauta@
@aeronautics@|@aviashon@
@aeroplane@|@airoplano, avion@
@aesthetic@|@estétiko@
@aesthetics@|@estétika@
@affable@|@afabel@
@affair@|@afèr, asuntu, kaso, kestion, kos@
@affecting@|@emoshonal@
@affection@|@afecto, amor, stimashon@
@affirm@|@sigurá@
@affirmation@|@promesa@
@affirmative@|@afirmativo@
@affliction@|@aflikshon@
@affluence@|@rikesa@
@affluent@|@riko, riku@
@Afghanistan@|@Afganistan@
@afraid@|@miedoso@
@afresh@|@atrobe, trobe@
@Africa@|@Afrika@
@African@|@afrikanu@
@African marigold@|@afrikanchi@
@after@|@despues, tras di@
@afternoon@|@atardi, tramerdia@
@again@|@atrobe, trobe@
@against@|@anti, kontra@
@agave@|@kukuisa@
@age@|@edat, époka@
@agency@|@agensia@
@agenda@|@agènda@
@agent@|@agente, representante@
@aggresive@|@agresivo@
@aggression@|@agreshon, ataka@
@aggressive@|@agresivo@
@aggressor@|@agresor, atakadó@
@aggro@|@agreshon@
@agitated@|@intrankil, nervioso@
@agitation@|@agitashon@
@agog@|@kaweta, niuskir@
@agony@|@agonia@
@agrarian@|@agrario, agrikultor@
@agreeable@|@agradabel@
@agreement@|@akuerdo@
@agricultural@|@agrario@
@agriculture@|@agrikultura@
@ague@|@keintura@
@ahead@|@antes, dilanti@
@aid@|@aistensia, aistènt, asistensia, ayuda, yuda, yudadó@
@aid(1)@|@aistí, ayudo, ousilio@
@ailment@|@malesa@
@aim@|@meta, mik@
@air@|@aira, aire, airu@
@air conditioning@|@erko@
@air hostess@|@stiwardès@
@aircraft@|@aeroplanu, avion@
@airplane@|@avion@
@airport@|@airopuerto@
@ais conditioning@|@erko, erkondenshon@
@alabaster@|@alabaster@
@alarm@|@alarm, konsternashon, wèker@
@alarmclock@|@wèker@
@alarming@|@alarmante@
@alas@|@lamentablemente, lástimamente@
@Albania@|@Albania@
@album@|@albem@
@alcohol@|@alkohòl@
@alcoholic@|@alkohóliko, alkoholista, buraché@
@alcoholism@|@alkoholismo@
@ale@|@serbes@
@Alexandria@|@Aleksandria@
@algebra@|@álgebra@
@algebraic@|@algebráiko@
@Algeria@|@Algeria@
@alien@|@abominabel, estranhero, kontrario, strañu@
@alimony@|@alimentashon@
@all about@|@tur camina@
@All Hallows@|@Día di tur Santu@
@all of a sudden@|@direpente, direpentemente@
@all over again@|@atrobe, trobe(1)@
@All Saints' Day@|@Día di tur Santu@
@All Soul's Day@|@Día di tur Difuntu@
@all the@|@kada@
@all the time@|@den esei, mientrasanto, mientrastanto, mientrastantu@
@all the while@|@dem esei@
@allergic@|@alérgiko@
@alley@|@hanchi@
@alliance@|@aliansa@
@alliteration@|@aliterashon@
@allow@|@laga@
@almanac@|@almanak@
@almond@|@almender, almendra, amandel@
@almost@|@era, kasi@
@alms@|@limosna@
@aloe@|@aloé, álue, halué, sentebibu@
@alone@|@so@
@alphabet@|@alfabèt@
@alphabetical@|@alfabétiko@
@already@|@ya@
@also@|@tambe@
@altar@|@altá, altar@
@alternative@|@alternativo@
@although@|@anke, aunke, maske@
@altitude@|@altura, haltura@
@alum@|@alein@
@aluminium@|@aluminio@
@always@|@semper, sèmper@
@Amarican Indian@|@indjan@
@amateur@|@amatùr@
@amazing@|@asombroso@
@Amazon@|@amazona@
@ambassador@|@embahadó, embahador@
@ambition@|@ambishon, aspirashon@
@ambitious@|@ambisioso@
@ambrace@|@brasa@
@ambulance@|@ambulans@
@amen@|@amèn@
@American@|@merikano@
@ammonia@|@amoniak@
@among@|@entre@
@amount@|@konta@
@amphitheater@|@anfiteatro@
@amputation@|@amputashon@
@amusing@|@chaskero, chistoso, dibertido@
@anaemia@|@anemia@
@analogous@|@analógiko@
@analogy@|@analogia@
@analysis@|@análisis@
@analytic@|@analítiko@
@analytical@|@analítiko@
@anarchic@|@anarkia@
@anarchism@|@anarkismo@
@anarchist@|@anarkista@
@anatomical@|@anatómiko@
@anatomy@|@anatomia@
@anche@|@anhelá@
@anchor@|@anke, hankro@
@ancient@|@antik@
@and@|@i@
@anedocte@|@anedókta@
@anew@|@trobe@
@angel@|@angel@
@angelic@|@angelikal@
@angle@|@skina@
@Anglican@|@anglikano@
@Angola@|@Angola@
@angry@|@krou, rabia@
@animal@|@animal, bestia@
@anise@|@anis@
@annotation@|@anotashon, komentario, not@
@announce@|@anuncía@
@annual@|@anual@
@Annunciation@|@Anunsiashon@
@anonymous@|@anónimo@
@another@|@otro@
@anpathy@|@apatia@
@answer@|@kontesta, kontestashon, respondé, respondi, rospondi@
@ant@|@fruminga, vruminga@
@antenna@|@antèna@
@anthem@|@himno@
@anthology@|@antologia@
@anthropologist@|@antropólogo@
@anthropology@|@antropologia@
@antibiotic@|@antibiótika@
@Antigua@|@Antigua@
@Antilles@|@Antia@
@Antillian@|@antiano@
@antique@|@antik@
@antiseptic@|@antiséptiko@
@anxious@|@intrakil@
@any@|@algun, un hende@
@anybody@|@un hende@
@anything@|@algu, un cos@
@apart@|@apart@
@apart from@|@ademas di, eksepshonalmente@
@apartment@|@apartamento@
@apathetic@|@apátiko@
@apathy@|@apatia@
@ape@|@makako, makaku@
@aperture@|@apertura@
@apostle@|@apòstel@
@apostolic@|@apostóliko@
@apostrophe@|@apostròf@
@apparatus@|@aparato@
@apparently@|@aparentemente, evidentemente@
@apparise@|@taksa@
@appariser@|@taksatùr@
@appartment@|@flèt@
@appeal@|@apelashon@
@appear@|@aparesé, parce@
@appear to be@|@parce@
@appearance@|@aparensia, aparishon, aspekto@
@appellation@|@nòmber, nòmbro@
@appendicitis@|@apèndisítis@
@appetite@|@apetit@
@apple@|@apel, aplo@
@apple-sauce@|@apelmus@
@application@|@aplikashon@
@appointment@|@deit@
@appointment book@|@agènda@
@appraise@|@taksa, takser@
@appraiser@|@taksador, taksatùr@
@approval@|@aplouso, aprobashon@
@approximately@|@aproksimadamente@
@apricot@|@aprikòt@
@April@|@aprel, april@
@aptitude@|@talento@
@aquarium@|@akuario@
@aqueduct@|@akuedukto@
@Arab@|@arabir@
@Arabia@|@Arabia@
@Arabian@|@árabe, arabir@
@Arabic@|@árabe, arabir@
@arboriginal@|@indígena, original@
@arc@|@bog@
@archaeological@|@arkeológiko@
@archaeologist@|@arkeólogo@
@archaeology@|@arkeologia@
@archaism@|@arkaismo@
@archangel@|@arkangel@
@archbishop@|@arsobispu@
@archipelago@|@archipiélago@
@architect@|@arkitekto, arshitèkt@
@architectonic@|@arkitetóniko@
@architecture@|@arkitetura@
@archive/s@|@argif@
@archives@|@argif@
@are@|@grupo, kuadria@
@area@|@área@
@arena@|@arena@
@Argentine@|@Argentina, argentinero@
@argument@|@argumento@
@argumentation@|@argumentashon@
@arise@|@nase@
@aristocracy@|@aristokrasia@
@aristocrat@|@aristokrat@
@aristocratic@|@aristokrátiko@
@arithmetic@|@aritmétika@
@arm@|@arma, brasa@
@armpit@|@kòkòdèk, sobako@
@army@|@ehérsito@
@aroma@|@aroma, sabor@
@aromatic@|@aromátiko@
@arouse@|@spierta@
@arrival@|@binimentu, yegada@
@arrive@|@yega@
@arrogant@|@arogante@
@arrow@|@flecha@
@arsenic@|@arséniko@
@art@|@arte@
@artery@|@arteria@
@article@|@koroto, opheto@
@artificial@|@artifisial, innatural@
@artist@|@artista@
@Aruba@|@Aruba, Ruba@
@Aruban@|@arubano, arubiano, rubiano@
@as@|@aisna, komo, komokiera, kon, pasó, pasobra@
@as soon as possible@|@masha liher!@
@asbestos@|@asbèst, asbèstro@
@Ascencion@|@Asunshon@
@ascend@|@subi@
@Ascension@|@Asenshon@
@ash@|@shinishi@
@ashamed@|@bergonoso@
@ashtray@|@asbak, shinishero@
@Asia@|@Asia@
@Asian@|@asiátiko@
@Asiatic@|@asiátiko@
@ask@|@pidi, puntra@
@aspect@|@aspekto@
@asphalt@|@asfalt@
@aspiration@|@aspirashon@
@aspirin@|@aspirin@
@ass@|@buriko, buriku, buro@
@assailant@|@agresor, atakad, atakadó@
@assault@|@ataka@
@assent@|@afirmashon@
@assimilation@|@asimilashon@
@assist@|@yuda@
@assistant@|@asistènt, yudadó@
@associate@|@djòin@
@asthma@|@asma@
@asthmatic@|@asmátiko@
@astonishing@|@asombroso@
@astonishment@|@asombro@
@astrology@|@astrologia@
@astronomic@|@astronómiko@
@astronomical@|@astronómiko@
@astronomy@|@astronomia@
@Asunshon@|@Asia@
@asylum@|@asil@
@at@|@na@
@at home@|@na cas@
@at last@|@alafin, porfin@
@at least@|@por lo menos@
@at long last@|@alafin, porfin@
@at night@|@anochi@
@at once@|@inmediatamente, mesora, umbé, umbes@
@at present@|@awó, awor@
@at that place@|@aya, ei@
@atheism@|@ateismo@
@athetic@|@atlétiko@
@athlete@|@atleta, atlétiko@
@athletic@|@atlétiko@
@athletics@|@atletismo@
@Atlantic@|@Atlántiko@
@Atlantic Ocean@|@Osean Atlántiko@
@atlas@|@atlas@
@atmosphere@|@atmosfer@
@atmospheric phenomenon@|@meteor@
@atom@|@atom@
@atom bomb@|@atombòm@
@atomic@|@atómiko@
@atruggle@|@bringamentu@
@attack@|@ataka@
@attacker@|@agresor, atakadó@
@attain@|@optene@
@attempt@|@esfuerso, intento@
@attend@|@lidia@
@attention@|@atenshon@
@attentive@|@atento@
@attic@|@zolder@
@attitude@|@aktitut@
@attractive@|@atraktivo@
@attribute@|@atributo@
@auction@|@finsishi@
@augment@|@amplia, oumenta@
@August@|@agosto, augustus, ougùstùs@
@aunt@|@tanta, tia, tía@
@aunthentic@|@outéntiko@
@Australia@|@Oustralia@
@authentic@|@outéntiko@
@author@|@autor, eskritor, outor@
@authoress@|@autora, eskritora@
@authority@|@ezagèber, outoridat@
@autobus@|@bùs, konvoi@
@autocracy@|@outokrasia@
@automatic@|@outomátiko@
@automoton@|@outomat@
@autonomia@|@outonomia@
@autonomy@|@outonomia@
@autopsy@|@outopsia@
@autumn@|@herfst@
@avaiable@|@disponibel@
@avalanche@|@lawina@
@avenge@|@venga@
@aversion@|@antipatia@
@aviation@|@aviashon@
@await@|@spera, warda@
@awaken@|@spierta@
@aware@|@konsiente@
@away@|@leu@
@axe@|@hacha@
@baboon@|@babun@
@baby@|@bebi, beibi@
@Babylonia@|@Babilonia@
@bacause@|@pasobra@
@bachelor@|@soltero@
@back@|@lomba@
@backside@|@kul@
@bacterium@|@bakteria@
@bad@|@malo, malu@
@bad luck@|@malora@
@badly@|@malu@
@bag@|@tas@
@baggage@|@ekipahe@
@bairn@|@yiu, yiu(1), yu@
@bait@|@as@
@baker@|@panadero@
@bakery@|@panaderia@
@balance@|@zoya@
@balcony@|@balkon@
@ball@|@bailamentu, baile, bala, globo@
@ballast@|@balaster@
@ball-bearing@|@globo@
@ballet@|@balèt@
@ball-frame@|@teleram, tèlram@
@ballon@|@balon@
@balloon@|@balon@
@balm@|@balsem@
@balsam@|@balsem@
@bamboo@|@bambu@
@banana@|@bacoba@
@band@|@konhunto@
@bandit@|@bandidu@
@bank@|@banko, klef, ref@
@bank clerk@|@bankero@
@bank official@|@bankero@
@bankrupt@|@bankrut@
@bankruptcy@|@fayit@
@banner@|@bandera@
@baptism@|@boutismo@
@baptismal font@|@pila@
@bar@|@shap@
@Barbados@|@Barbados@
@barbaric@|@bárbaro@
@barber@|@barbero@
@bare@|@sunú@
@barely@|@apenas@
@bark@|@grita, ladra@
@barn@|@barak@
@barometer@|@barometer@
@baron@|@baron@
@baroness@|@baronesa@
@barony@|@baronia@
@barrack@|@barak@
@barracks@|@kazèrne@
@barrel@|@barí, drùm, pipa@
@barricade@|@barikada, barikadiá@
@base@|@baho@
@basement@|@bodega@
@basin@|@kònchi@
@basket@|@dakue@
@basketball@|@basketbòl@
@bat@|@raton di anochi@
@bath@|@baño@
@bathe@|@dal un baño, tuma un bañu@
@bathroom@|@baño@
@baton@|@baston, bastòn, takon, takòn@
@battalion@|@batayon@
@battery@|@bateria@
@battle@|@bataya, brigamentu, pelea, peleya@
@bauxite@|@bouksit@
@bayonet@|@bayonèt@
@bazaar@|@bazar@
@bbot@|@lars@
@be able to@|@por@
@be alive@|@biba@
@be ashamed@|@tin bergwensa@
@be asleep@|@drumi@
@be bold@|@dùrf, tribi@
@be bored@|@maha@
@be born@|@nase@
@be called@|@yama@
@be detained@|@resta@
@be encamped@|@kampa@
@be hungry@|@tin flakesa@
@be in command@|@komanda, manda@
@be kept in@|@resta@
@be lacking@|@falta@
@be married@|@kasa@
@be missing@|@falta@
@be similar@|@liga, parse@
@be tired of something@|@maha@
@be willing to@|@ke, kiè, kier@
@beach@|@playa@
@beak@|@boka@
@beam@|@balki, biga, rayo@
@bean@|@bonchi@
@bear@|@ber, bersufri, produsí@
@beard@|@barba@
@beast@|@animal, bestia@
@beat@|@bati, dal, gòlpi@
@beautiful@|@bunita, kiut@
@beauty@|@beyesa@
@because@|@como, komo, komokiera, pasó, pasobra@
@because of@|@a kousa di, debí na@
@become@|@bira@
@bed@|@kama@
@bedroom@|@kamber@
@bee@|@abeha, bei@
@beefsteak@|@bifstek, bistek@
@beer@|@serbes@
@beetle@|@tòr@
@before@|@antes cu, pa, promer cu@
@beg@|@pusta, suplicá@
@beggar@|@pober@
@beginning@|@cuminsamentu@
@behavior@|@komportashon, kondukta@
@behind@|@atras, patras, patras di, tras di@
@behold@|@ata@
@Belgian@|@belga@
@Belgium@|@Bélgika@
@belief@|@fe, kreensha, kreensia@
@believe@|@kere@
@belly@|@abdómen, bariga, barika@
@below@|@abou di, bou di, den(1)@
@belt@|@faha@
@bench@|@banki, stal@
@bend@|@birada, dobla, lorada@
@beneath@|@abou di, bou di, den(1)@
@benefit@|@benefishi, benefisio, bentaha, ganashi, utilidat@
@Berlin@|@Berlin@
@berry@|@beishi, bèshi@
@beseech@|@roga@
@besides@|@ademas di@
@bessech@|@roga@
@bet@|@bèt, pusta@
@Bethlehem@|@Bètlehèm@
@betrayal@|@traishon@
@betrothal@|@kompromisso@
@better@|@mehor, mihó@
@between@|@entre@
@beverage@|@bebida@
@bewitch@|@tover@
@beyond@|@enfrente@
@bible@|@beibel@
@bicycle@|@bais, baiskel@
@biding@|@bant@
@big@|@grandi@
@bike@|@bais, baiskel@
@bikini@|@bikini@
@bile@|@hal@
@bill@|@boka, faktura, tíket@
@billiards@|@biar@
@binding@|@bant@
@biologist@|@biólogo@
@bird@|@para, parha@
@birth@|@nasemento, nasementu, nasimento, nasimentu@
@birthday@|@cumpleaño@
@bishop@|@obispo, obispu@
@bison@|@bison@
@bite@|@morde, mordé, mordí@
@bitter@|@marga@
@bitterness@|@amargura@
@black@|@preto, pretu@
@blame@|@kulpa@
@blank@|@blanko, blanku, formulario@
@blanket@|@dekel, deklo@
@bleak@|@friu, tristu@
@bleed@|@sandra, sangra@
@blend@|@meks, meskla@
@bless@|@bendishoná@
@blessing@|@bendishon@
@blind@|@blent@
@blister@|@blar@
@block@|@blòki@
@block of flats@|@flèt@
@blockade@|@blokeo@
@blond@|@blònt@
@blood@|@sanger, sangro@
@bloom@|@flor@
@blotter@|@vluipapir@
@blotting paper@|@vluipapir@
@blouse@|@blusa@
@blow@|@blas, supla@
@blue@|@blau, blou@
@blunt@|@bòt, stòmpi@
@blushing@|@kòrá@
@board@|@bòrchi@
@boast@|@blòf@
@boat@|@boto@
@body@|@bòdi, kurpa@
@bold@|@diki, gordo@
@Bolivia@|@Bolivia@
@Bolivian@|@boliviano@
@Bolshevik@|@bolcheviki@
@bomb@|@bòm@
@bondwoman@|@kabito, kabitu@
@bone@|@weso, wesu@
@book@|@buki@
@bookshop@|@libreria@
@bookstore@|@libreria@
@boon@|@bendishon@
@boot@|@bota, lars@
@boozer@|@buraché@
@border@|@rant@
@bore@|@bor, bora@
@borrow@|@fia@
@boss@|@bòs, chif, hefe@
@botany@|@botánika@
@both@|@ambos@
@bottle@|@bòter, bòtro@
@bottom@|@bòm, fòndo@
@bough@|@rama@
@bouillon@|@buyon@
@boulder@|@manga@
@boulevard@|@bulevar@
@boullion@|@buyon@
@bound@|@bandona@
@boundary@|@frontera, limite@
@boutique@|@tienda@
@bow@|@bog@
@box@|@caha, doshi, kaha, pòchi@
@boxer@|@bòksdó@
@boy@|@chabalito, chabalitu, kriá, mucha homber@
@bra@|@brazièr@
@brace@|@kram@
@bracelet@|@armbant, pulsera@
@brag@|@blòf@
@braid@|@flèktu, vlèkt, vlèktu@
@brain@|@selebre, selebro@
@brake@|@brek, rèm@
@branch@|@rama, vak@
@brandy@|@koñak@
@brass@|@koper hel@
@brave@|@brio, wapu@
@Brazil@|@Brasil@
@Brazilian@|@brasileño@
@bread@|@pan@
@break@|@bres, kibra@
@breakable@|@bros, fofo, kibrabel@
@breakfast@|@desayuno@
@breast@|@pechu, tete@
@breath@|@aliento, rosea, roseya@
@breathe@|@hala rosea@
@breed@|@rasa@
@breeze@|@brisa@
@bribe@|@brùit, korompi@
@brick@|@klenko, klenku@
@bride@|@brùit, komprometida@
@bridegroom@|@brùidehòm@
@bridge@|@brùg@
@brief@|@corticu@
@brigade@|@brigada@
@brim@|@rant@
@brimming@|@pestá@
@bring@|@hiba, trese@
@bring away@|@hiba@
@brink@|@rant@
@brittle@|@bros, fofo, kibrabel@
@broad@|@anchu@
@bronze@|@bròns, di bròns@
@broom@|@basora@
@brother@|@bruder, ruman, ruman homber, ruman hòmber@
@brother-in-law@|@kuñá, sua@
@brow@|@seha@
@brown@|@brùin, maron@
@brownie@|@kabouter@
@brush@|@bòrstel, bròsh@
@bucket@|@èmer, hèmber, hèmchi@
@buckle@|@gespu, hèspu@
@bud@|@kònòpi@
@Buddha@|@Buda@
@Buddhism@|@budismo@
@Buddhist@|@budista@
@buddy@|@kompai, kompañero@
@buffalo@|@bison@
@bug@|@insekto@
@build@|@konstruí@
@building@|@edifisio, konstrukshon@
@Bulgar@|@búlgaro@
@Bulgaria@|@Bulgaria@
@Bulgarian@|@búlgaro@
@bulk@|@tamaño@
@bull@|@toro@
@bulldozer@|@katapila@
@bullet@|@bal@
@bulletin@|@boletin@
@bungalow@|@búngalo@
@buoy@|@bui@
@burden@|@karga@
@burial@|@deramento, entiero@
@burn@|@kima@
@bury@|@dera@
@bus@|@bùs, konvoi@
@business@|@afèr, asuntu, kaso, kestion, komersio, kos@
@businessman@|@negoshante@
@but@|@eksepshonalmente, ma, pero@
@butcher@|@slakter@
@butter@|@manteka@
@butterfly@|@barbulèt, barbulète, barbulètè@
@buttom@|@fòndo@
@button@|@boton, kònòpi@
@buy@|@kompra, kumpra@
@buyer@|@kumpradó@
@by@|@desde, di, dor, pa medio di@
@by accident@|@aksidentalmente, insidentalmente, kasualmente@
@by means of@|@pa medio di@
@by now@|@ya@
@bye@|@asta la vista, ayo, so long, tanten@
@bye!@|@te aworo!@
@byname@|@beinam@
@cabbage@|@kol, kolo@
@cabel@|@kabel@
@cabinet@|@kabinèt, kashi@
@cable@|@kabel@
@cadaver@|@kadaver@
@cadger@|@parasit@
@cadre@|@kader@
@café@|@botikin@
@cage@|@houla, kouchi@
@cake@|@kuki@
@calculate@|@rek@
@calendar@|@kalèndar@
@calf@|@bisé, bishé@
@calibre@|@kaliber@
@call@|@yama@
@call me@|@bel mi@
@calm@|@trankilo@
@calorie@|@kaloria@
@camel@|@kamel@
@camp@|@kampa@
@camp out@|@kampa@
@can@|@bleki@
@can opener@|@habridó di bleki@
@Canada@|@Kanada@
@canal@|@kanal@
@canary@|@kanari@
@candidate@|@kandidato@
@candle@|@bela@
@cane@|@baston, bastòn, kabana, takon, takòn@
@cannibal@|@kanibal@
@cannon@|@kayon@
@canoe@|@kanoa@
@cap@|@bonèchi, pèchi@
@cape@|@cabo@
@capital@|@kapital@
@capital city@|@kapital@
@capitalist@|@kapitalista@
@caprice@|@capricho@
@Capricorn@|@Kaprikornio@
@captain@|@kapitain, kapitan@
@capture@|@fango, fangu, kèch@
@car@|@outo@
@caravan@|@karavana@
@carburettor@|@karbureter@
@card@|@karchi, karta@
@cardiac@|@kordial@
@care@|@sòru@
@care for@|@karisia, kura@
@career@|@karera@
@careless@|@deha@
@caress@|@karisia, karisiá@
@Caribbean@|@karibe@
@Caribbean Sea@|@Lamá Karibe, Laman Karibe@
@carnation@|@klavel@
@carnival@|@karnaval@
@carpenter@|@karpinté@
@carpet@|@tapeit@
@carrier@|@transportadó@
@carrot@|@karòt@
@carry away@|@hiba@
@cart@|@garoshi@
@cartridge@|@kartuchi, katuchi@
@case@|@afèr, asuntu, kaso, kestion, kos@
@cash@|@kèsh@
@cashier@|@kahero@
@casino@|@kasino@
@cassette@|@kasét@
@Castile@|@Kastia@
@Castillian@|@kastiano, kastiliano@
@castle@|@kastel, kastio@
@cat@|@pushi@
@catalogue@|@katalòk@
@catastrophe@|@desaster, kalamidat, katástrofe@
@catastrophic@|@desastroso@
@catch@|@fango, fangu, kèch, raka@
@catechism@|@katisashi@
@category@|@kategoria@
@caterpillar@|@bichi@
@cathedral@|@katedral@
@Catholic@|@katóliko@
@Catholisism@|@katolisismo@
@cause@|@causa, kousa@
@caution@|@kuidou@
@ceiling@|@blafon, plafon@
@celebrate@|@fiesta@
@celebration@|@fiesta, selebrashon@
@celery@|@sèlder, sèldu@
@cell@|@sèl@
@cellar@|@bodega@
@cement@|@semènt@
@cemetery@|@graf, santana@
@censure@|@desaprobashon@
@cent@|@sèn@
@centimeter@|@séntimeter, sèntimetro@
@centipede@|@lisinbein, risinbèn@
@central@|@sentral@
@centrimeter@|@sèntimetro@
@ceremony@|@seremonia@
@certain@|@sigur@
@certainly@|@ciertamente@
@certanly@|@ciertamente@
@chage@|@yag@
@chain@|@kadena@
@chair@|@stul@
@chairman@|@presidente@
@chalk@|@kreit@
@chamber@|@kuartu, kuatro, luarto@
@champagne@|@shampaña, zjampaña@
@champion@|@kampion@
@chance@|@akontesimentu, aksidental, chèns, kasualidat@
@change@|@cambia@
