@English@|@Tetum@
@bake in bamboo@|@tukir@
@bald@|@moulik, ulun-molik, ulun moulik@
@balu@|@middle@
@bamboo@|@au@
@bamboo water@|@kniku@
@banana@|@hudi@
@banin mane@|@father-in-law@
@bank@|@banku@
@banyan@|@hali@
@baptize@|@sarani@
@bar@|@bar@
@barak@|@much@
@bare space@|@rai moulik@
@baria@|@bitter melon@
@bark@|@ai-kulit, hatenu@
@bark of tree@|@ai kulit@
@basar@|@market@
@base@|@hun@
@basket@|@kobarka, raga@
@basket flat@|@luhu@
@basket woven@|@ta'an@
@bat (animal)@|@niki@
@batar@|@fulin@
@batar fulin@|@corn cob@
@bathe@|@haris@
@bathroom@|@hariis-fatin, kazadebañu@
@bay leaf@|@loru@
@be born@|@moris mai@
@be delirious@|@mangame@
@be reading@|@le hela@
@be satisfied@|@bosu@
@be scattered@|@namkari@
@be surprised@|@hakfodak@
@be suspended@|@tabelen@
@beach@|@praia, raat, tasi-ibun, tasi ibun@
@bean@|@fore, forei@
@beard@|@hasan-rahun@
@beat@|@baku@
@beautiful@|@kapás, oin-di'ak@
@because@|@tan ba, tanba@
@because of@|@tan@
@bed@|@fatin-toba, kama, toba-fatin@
@bed bug@|@nati@
@bedbug@|@sale@
@bee@|@bani@
@beef@|@na'an-karau@
@beer@|@serveja@
@before@|@ulu, ulum@
@before (time)@|@molok@
@before long@|@laoras@
@behaviour@|@hahalok@
@believe@|@fiar@
@bell@|@sinu@
@belly@|@kabun@
@belongings@|@sasan, sasán@
@below@|@iha kraik, okos@
@belt@|@fatu-kabun, futu-kabun, sintu@
@bend down@|@hakru'uk@
@Bere Lelike has gone@|@Bere Lelik la'o tiha@
@bet@|@taru@
@betel leaf@|@malus tahan@
@betel nut@|@bua@
@betel pepper@|@malus@
@between@|@leet@
@bicycle@|@bisikleta@
@big@|@boot, boot@
@bile@|@horon@
@bird@|@manu, manu-fuik@
@biro@|@lapizeira@
@birthday@|@loron-tinan@
@biscuit@|@biskoit@
@bishop@|@amu-bispu@
@bitch@|@feto puta@
@bite@|@tata@
@bitter@|@moruk@
@bitter melon@|@baria@
@black@|@metan@
@black and white@|@sarauk@
@black eucalyptus@|@ai bubur metan@
@bladder@|@mamiik@
@blind@|@delek, matan-delek@
@blond@|@fuuk-balanda@
@blood@|@raan, ran@
@blouse@|@bluza@
@blow@|@huu@
@blow nose@|@suut@
@blue@|@azúl, biru@
@blue-eyed@|@matan-balanda@
@blunt@|@munuk, nakbetok@
@board@|@ai-kabelak, sa'e ro@
@boat@|@ro, ró@
@body@|@isin, isin-lolon@
@boil@|@fisur, nakali, nono@
@boil food@|@da'an@
@boil water@|@nakali be@
@bold@|@moe-laek@
@bone@|@ruin@
@book@|@libru, livru, surat@
@borrow@|@lori-empresta@
@bottle@|@botil, botir@
@bottom@|@hun@
@bow@|@rama@
@bowl@|@manko@
@box@|@ai balu@
@boy@|@labarik-mane, labarik mane, mane-oan@
@bracelet@|@buti-liman, kakelun@
@brain@|@kakutak@
@branch@|@ai-sanak, sanak@
@branch of a tree@|@ai snak@
@bread@|@ibun rahun, paun@
@breadfruit@|@kulu, kulu-tunu@
@break wind@|@hosu@
@breakfast@|@han-dadeer, matabixu@
@breast@|@susu@
@breathe@|@dada iis@
@bridge@|@jambata, ponte@
@bright@|@naroman, naroman@
@bring@|@hodi@
@broad bean@|@koto@
@brook@|@dolak@
@broom@|@ai-saar@
@brother@|@maun@
@brother of woman@|@naan@
@brother-in-law@|@rian@
@brown@|@kmeak, kor-kafé@
@brush@|@hose@
@bucket@|@knaban@
@bud@|@tubuk@
@buffalo@|@karau@
@buffalo's horn@|@karau nia dikur@
@bull@|@karau-aman, karau uaka aman@
@bullet@|@kilat fuan@
@bunch@|@fulin@
@burn@|@sunu@
@burp@|@saeru@
@bus@|@kareta, maxibombu@
@bus stop@|@para-fatin, parajen@
@but@|@mai be, maibé, mais@
@butter@|@manteiga@
@butterfly@|@borboleta, kopukopu, kukulai@
@buttocks@|@kidun@
@buy@|@sosa@
@cabbage@|@repollu@
@cake@|@bolo@
@calf@|@karau uaka oan@
@call out@|@bolu@
@calm sea@|@tasi maus@
@camera@|@mákina-fotografia@
@camp@|@hakmahan@
@can@|@bele, lata@
@can divide@|@bele fahe@
@Can I go on the other side of the river?@|@Ha'u bele ba iha mota balu ba?@
@can not@|@la bele@
@Can we travel this road?@|@Ami bele la'o dalan ne'e?@
@Can you speak Tetum?@|@Ita bele koalia Tetun?@
@candle@|@lilin-oan@
@candlenut@|@kamii@
@candlenut tree@|@kimii@
@cane@|@rota@
@canoe@|@bero@
@cap@|@boné@
@capable@|@kapas@
@cape@|@rai inus, tasi inus@
@capital city@|@kapitál@
@capsicum@|@kunus@
@car@|@karo, karreta@
@careful@|@matan-moris@
@cargo@|@nahan@
@carpenter@|@badain ai@
@carpet@|@tapete@
@carry@|@hodi, lebo, louri@
@carry on the head@|@tutur@
@casava flour@|@ai farina@
@cassava@|@ai-farina, ai farina, ai luka@
@cassette@|@kasete@
@cassette player@|@gravadór@
@cast@|@tiha@
@castnet@|@tiha@
@casuarina@|@ai-kakeu@
@casuarina tree@|@kakeu@
@cat@|@busa@
@catch@|@kaer@
@cave@|@fatu kuak, fatuk-kuak@
@CD@|@sedé@
@center@|@klaran@
@centipede@|@lali'an@
@century@|@sékulu@
@certainly@|@tetebes@
@chair@|@kadeira@
@change@|@filka@
@charcoal@|@ahi-latun@
@charm@|@abanat, horok@
@chase@|@duuni@
@cheap@|@baratu, folin-kmaan@
@cheek@|@hasan@
@cheese@|@keiju@
@chest@|@ai-balun, ai balu, hirus-matan, hirus matan@
@chew@|@nata@
@chicken meat@|@na'an-manu@
@chief@|@sebi@
@child@|@labarik, oan@
@chili@|@ai-manas, ai manas@
@chin@|@hasan-hun, timir@
@chocolate@|@xokolate@
@choke@|@nisik@
@choose@|@hili@
@Christian@|@sarani@
@church@|@igreja, kreda, uma-kreda, uma kreda@
@cicada@|@sigarra@
@cigarette@|@sigarru@
@city@|@sidade@
@class of lesson@|@aula@
@class of students@|@klase, turma@
@clay@|@tahu@
@clean@|@hamoos, moos, mos@
@cleanse@|@hamos@
@clear@|@momoos, moon@
@clever@|@espertu, matenek@
@cliff@|@rai-monu, rai-tatinis@
@climate@|@klima@
@climb@|@sa'e@
@clock@|@relójiu@
@close@|@besik@
@cloth@|@hena@
@clothes@|@ropa@
@clothes mite@|@katuma@
@clothing@|@hatais, roupa@
@cloud@|@kalohan@
@cloudy weather@|@rai-kalohan@
@coal@|@anar-fatuk@
@coarse grass@|@hae@
@coat@|@kazaku@
@cockatoo@|@kakae@
@cockfighting@|@manu fatu@
@cockkatoo@|@kakatua@
@cockroach@|@ehas@
@coconut@|@nuu@
@coconut milk@|@santan@
@coconut water@|@nuu-been@
@coffee@|@kafe, kafé@
@coin@|@doit@
@cold@|@malairin, malirin@
@cold weather@|@rai malirin@
@collide@|@fai malu@
@colonialism@|@kolonializmu@
@colour@|@kór@
@column@|@ai-riin@
@comb@|@sasuit@
@come@|@mai@
@come and we sing together@|@mai ita canta hamutuk@
@come back@|@mai fali@
@command@|@haruka@
@commission@|@hameno@
@compassion@|@sadia@
@compel@|@haka'as@
@competition@|@kompetisaun@
@complain@|@kesar@
@completely@|@tiha@
@conceited@|@loko-an@
@concerning@|@kona-ba@
@concert@|@konsertu@
@concubine@|@kamarua@
@confused@|@bilán@
@conscience@|@neon@
@continent@|@kontinente@
@continet@|@rai-boot@
@conversation@|@konversa@
@cook@|@tein@
@cook by charring@|@ahi hahan@
@cool@|@malirin@
@copper@|@birak, riti@
@coral@|@ahu-ruin@
@coral necklace@|@morteen@
@cork@|@sulan@
@corn cob@|@batar fulin@
@corner@|@lidun@
@correct@|@halo los, loloos@
@cost@|@folin@
@cotton@|@kabas@
@cotton bal@|@kabas fatuk@
@cotton therad@|@kanas lahan@
@cough@|@me'ar@
@count@|@sura@
@country@|@rain@
@courageous@|@aten-barani@
@courtyard@|@luan@
@cousin@|@primu@
@cousine@|@prima@
@cow@|@karau-baka@
@crab@|@kadiuk@
@crash@|@fai malu@
@cream@|@susubeen-isin@
@creep@|@dolar@
@creeper@|@ai-nani@
@crescent@|@kaebauk@
@cricket@|@grilu, kela@
@crime@|@delitu, krime@
@criminal@|@kriminozu@
@criticise@|@tolok malu@
@crocodile@|@lafaek@
@crooked@|@kle'uk, kleuk@
@cross@|@hakat@
@cross over@|@hakur@
@cross-eyed@|@matan-kliir@
@crouch@|@saro'o@
@crow@|@kaoa, kauá@
@crowbar@|@bibi-ain@
@crown of head@|@baboton, fuhur@
@cruel@|@laran-aat@
@crumple@|@hakurut@
@crush@|@fai@
@cry@|@tanis@
@cry tears@|@luun turu@
@cucumber@|@kaha, pepinu@
@cuddle@|@ko'us@
@cup@|@kopu@
@currently@|@daudaun@
@curtain@|@kortina@
@custom@|@lisan@
@cut@|@taa, tesi@
@cyclone@|@anin fuik@
@damage@|@halo aat@
@dance@|@bidu, tebe dai@
@dark@|@rai nakudu@
@dark (in collor)@|@nakukun@
@dark (in colors)@|@nakulun@
@darkness@|@rai-nakukun@
@darling@|@doben@
@daughter@|@oan-feto@
@daughter-in-law@|@feto foun@
@daugther-in-law@|@feto-foun@
@dawn@|@loron naroman@
@day@|@bain, loron, uain@
@day after tomorrow@|@bai-rua@
@day before yesterday@|@horibainrua@
@daybreak@|@rai-mutin, rai-naroma@
@daylight@|@naroma, rai-maroman@
@dead@|@mate@
@deaf@|@diuk, tilun-diuk@
@death@|@mate@
@debt@|@tusan@
@decapitate@|@taa ulun@
@deceive@|@bosok, lohi@
@december@|@dezembru@
@decide@|@tesi lia@
@deep@|@kle'an@
@deer@|@bibi-rusa, bibi rusa, rusa@
@defecate@|@tee@
@defend@|@sori, souri@
@defend onself@|@souri-an@
@definitely@|@ida ne'e duni@
@deformed@|@oin aat@
@delicate@|@lotuk@
@deliver@|@entrega, saran@
@dentist@|@dentista@
@deny@|@heli lia@
@descend@|@tun@
@destroy@|@halakon, sele, sobu@
@detain@|@dadur@
@dew@|@kmaha, mahon-been@
@diarrhoea@|@kabun-solur@
@different@|@oin-ketak, oin-seluk@
@difficult@|@susar@
@dig@|@ke'e@
@digging stick@|@ai suak, badi@
@diligent@|@badinas@
@dining room@|@sala-jantár@
@dinner@|@jantar, jantár@
@dirty@|@fo'er@
@disappear@|@lakon@
@disc@|@belak, kbelak@
@dispatch@|@tatoli@
@distant@|@dook@
@dive@|@luku@
@divide@|@fahe, nahe@
@dizzy@|@oin-halai@
@Do those youths go to school?@|@Labrarik sira ne'e ba eskola?@
@Do you sell cloth?@|@Ita fa'an hena?@
@Do you speak English?@|@Ita ko'alia English?@
@do you understand?@|@ita comprende ka lae?, ita hatene ka lae?@
@doctor (male)@|@doutór@
@doctor (woman)@|@doutora@
@dog@|@asu@
@dog flea@|@asu kutin@
@domestic animals@|@binatan@
@domestic stock@|@balada@
@don't mention it@|@la iha buat ida, lalika temi@
@Don't touch me there!@|@keta bók ha'u iha nebá!@
@door@|@oda matan, odamatan@
@dormant@|@matek@
@dove@|@pombu@
@down@|@kraik@
@dowry gift@|@osan naran@
@drag@|@dada@
@dragonfly@|@bee-na'in@
@drawer@|@gaveta@
@dream@|@mehi@
@dress@|@vestidu@
@dressmaker@|@badain-faru@
@drip@|@turu@
@drive@|@duni@
@driver@|@kondutór, xofér@
@drum@|@baba@
@drunk@|@lanu@
@drunkard@|@lanu-teen@
@dry@|@maran@
@dry in the sun@|@habai@
@dry seasen@|@bailoro@
@dry weather@|@rai maran@
@duck@|@manu-rade, manu rade, patu@
@dusk@|@rai-nakaras@
@dust@|@rai-rahun, rai-uut, uut@
@dwell@|@horik, tuur@
@each@|@ida-idak@
@each one@|@ida ida@
@eaggplant@|@berinjela@
@eagle@|@makikit@
@ear@|@tilun@
@ear of rice@|@hare fulin@
@early@|@saan, sedu@
@early morning@|@dader@
@earth@|@rai, raiklaran@
@earthquake@|@rai nakdodo@
@earthworm@|@lalatik@
@east@|@loro-sa'e, loro sa'e, lorosae@
@easy@|@fasil@
@eat@|@ha@
@edge@|@ninin@
@edible portion of fruit@|@ai fuan isin@
@education@|@edukasaun@
@eeel@|@tuna@
@egg@|@mantolun, manu-tolu, tolun@
@eggplant@|@karuuk@
@egg's bird@|@manu-tolun@
@eight@|@ualu, walu@
@eighteen@|@sanulu-resin-ualu@
@eighty@|@ualunulu@
@elbow@|@sikun@
@electricity@|@elektrisidade@
@elephant@|@elefante@
@eletric light@|@ahi-oan@
@eleven@|@sanulu-resin-ida, sanulu resin ida@
@embrace@|@hafulak@
@empathic particle@|@mak, maka@
@emphatic particle@|@ha'e@
@empty@|@mamuk@
@enclosure@|@luhan@
@enemy@|@funu-balun, inimigu@
@enough@|@natoon@
@enter@|@tama@
@envous@|@laran-moras@
@error@|@sala@
@ervilla@|@pea@
@especially@|@liuliu@
@eucalypt@|@ai-bubur@
@evening@|@kalan@
@evil@|@aat, laran aat@
@exactly@|@nu'u ne'e duni@
@excellent@|@kmanek@
@excreta@|@te@
@exist@|@iha@
@expensive@|@folin-aas, karu@
@explanation@|@esplikasaun@
@exterior@|@li'ur@
@extinguish@|@hamate@
@extract@|@losu, sui@
@extremely@|@lahalimar@
@extremity@|@rohan@
@eye@|@matan@
@eyebrow@|@matan-fukun, matan fukun@
@eyelash@|@matan-fulun@
@eyelid@|@matan-kulit, matan kulit@
@face@|@oin@
@fade@|@more@
@faded@|@kór-mohu@
@faeces@|@tee-been@
@fall@|@monu@
@family@|@família, uma-kain@
@fan@|@kakehe@
@fan-palm@|@akadiru@
@far@|@dook@
@far away@|@iha dook@
@farewell@|@Hare dalan di'ak, Hatos kuda di'ak@
@farmer@|@to'os-na'in@
@fast@|@lailais@
@fat@|@bokur@
@fate@|@rahun@
@father@|@aman@
@father-in-law@|@aman-banin, banin mane@
@feast@|@loron-boot@
@feather@|@manu-fulun@
@feathers@|@fulun@
@february@|@fevereiru@
@feel@|@horon katak, kokok@
@fellow@|@buatamak@
@female@|@-feto, buatinak@
@female animal@|@-inan@
@feminine@|@fetok@
@fence@|@lutu@
@fence in@|@le'u@
@fern@|@kabura@
@fetch@|@foti@
@fever@|@isin-manas, isin malarin, isin manas@
@few@|@dun@
@fiacée@|@noiva@
@fiancé@|@noivu@
@fifteen@|@sanulu-resin-lima@
@fifty@|@limanulu@
@fight@|@tuku malu@
@finally@|@ikusliu, ikusmai@
@find@|@hetan, tan@
@fine bamboo@|@fafulu@
@finger@|@liman-fuan, liman fuan@
@finger nail@|@liman kukun, limankukuun@
@fingernail@|@liman-kukun@
@fire@|@ahi@
@firefly@|@kibukibu, kiti lili, kitilili@
@fireplace@|@lali'an@
@first@|@ulu@
@first of all@|@uluklai, ulukliu@
@fish@|@ikan@
@fish hook@|@ka'i lisin, kail@
@fishing net@|@redi@
@fist@|@kiman-humur, nusu@
@five@|@lima@
@five hundred@|@atus lima@
@flame@|@ahi-lakan, ahi lakan, lakan@
@flat@|@belak, belar@
@flattened@|@bitak@
@flea@|@asu-kutun, mela@
@float@|@lele, namlele@
@flour@|@farina, fariña, uut@
@flow@|@suli@
@flower@|@ai-funan, ai funan, funan@
@flute@|@fu'i, kafu'i@
@fly@|@lalar, semo@
@foam of sea@|@furin@
@fog@|@rai ahu@
@fold@|@hikar@
@food@|@ai-han, hahán, hanhán@
@foortbridge@|@ai-lalete@
@foot@|@ain@
@football@|@tebe-bola@
@footpath@|@paseiu@
@footprint@|@ain-fatin, ain fatin@
@for@|@ba@
@for a long time@|@kleur@
@forbid@|@bandu@
@force@|@forsa, kbiit@
@forefinger@|@limafuan-hatudu@
@forehead@|@reen-toos, rentos@
@foreign@|@malae@
@foreigner@|@ema raiseluk, malae oan@
@forest@|@ai-laran, ai laran, alas@
@forgive@|@fó-perdua@
@fork@|@garfu@
@formerly@|@lai, uluk@
@fortune-teller (female)@|@feto-si'ik@
@forty@|@haatnulu@
@foster-father@|@aman-hakiak@
@four@|@haat@
@fourteen@|@sanulu-resin-haat@
@fragrant@|@morin@
@frasku@|@jar@
@free@|@livre@
@friday@|@loron-sesta, sesta@
@friend@|@amigu, belu, belun@
@frog@|@kedo, manduko, manduku@
@from@|@hosi@
@from place@|@housi@
@from time@|@houri@
@frontier@|@rai-ketan@
@frost@|@jelu-rahun@
@fruit@|@ai-fuan, ai fuan@
@fruit seed@|@ai fuan musan@
@fruit skin@|@ai fuan kulit@
@fruitful@|@fuak@
@fry@|@sona@
@frying pan@|@taxu@
@fuck each other@|@hat malu@
@fuck you@|@het asu@
@fuck your father@|@het o nia aman@
@fuck your mother@|@het o nia inan@
@full@|@nakonu@
@funeral@|@funerál@
@furniture@|@mobília@
@future particle@|@sei@
@gallop@|@hopu@
@game@|@jogu@
@garage@|@garajen@
@garden@|@jardín@
@garlic@|@liis-asu, lis asu@
@garment@|@tais@
@gas@|@gás@
@gather@|@raut@
@gecko@|@teki@
@generous@|@laran-luak@
@genitals@|@moen@
@get out@|@souruk@
@ghost@|@rai-na'in@
@giblet@|@kulan@
@ginger@|@ai-lia, ai lia@
@girl@|@feto-oan, labarik-feto, labarik feto@
@girlfriend@|@ka'it@
@girth@|@kuda hetin, kuta hetin@
@give@|@fo, fó@
@give back@|@fó fali@
@give birth@|@hahouris@
@give birth to@|@hahoris@
@glass@|@vidru@
@glasses@|@ókulu@
@gloves@|@luvas@
@glow worm@|@kiti lili@
@glowing coal@|@ahi anar@
@glue@|@ritan@
@go@|@ba@
@go back@|@fali@
@go fuck your mother@|@ba sae o nia inan@
@go home@|@fila fali@
@go out@|@mohu, sai@
@go up@|@sa'e@
@goat@|@bibi@
@goat meat@|@na'an-bibi@
@goatherd@|@bibi-atan@
@God@|@Maromak@
@godfather@|@aman-sarani, aman sarani@
@gold@|@murak, murak-mean, osamean, osan-mean, osan mean@
@gong@|@tala, teu@
@good@|@di'ak, Maromak@
@good afeternoon@|@lorokraik@
@good afternoon@|@botarde@
@good day@|@bon dia@
@good luck@|@rahun-di'ak@
@good morning@|@boasdias, bom dia, dader diak@
@good night@|@boasnoite, bonoite, kalan diak@
@goose@|@manu rade boot@
@gourd@|@babuar@
@govern@|@ukun@
@grandchild@|@bei-oan@
@grandfather@|@aman tuan, avó-mane@
@grandmother@|@avó-feto, bein-feto, ina ferik@
@grandparent@|@bein@
@grandparents@|@avón sira@
@grapefruit@|@dambua, jambua@
@grasp@|@kair@
@grass@|@du'ut, duut@
@grasshopper@|@lalaek@
@grave@|@rate@
@greedy@|@kaan-teen, kan@
@green@|@matak, verde@
@green of leaves@|@modok@
@green snake@|@samodo@
@grey@|@malahuk, sinzentu@
@grin@|@fekir@
@groan@|@halerik@
@groin@|@kelen solan, solan@
@ground@|@rai@
@group@|@lubun@
@grow accustomed to@|@toman@
@guard@|@rai hela@
@guava@|@goiabas@
@guess@|@si'ik@
@guest@|@bainaka@
@gullet@|@tatolan@
@gum@|@nehan-isin, niran@
@haas@|@mango@
@haemorrhoids@|@kidun mean@
@hail@|@jelu-fatuk@
@hair of head@|@fuuk@
@half@|@balu, balun@
@hammer@|@martelu, tanutuk@
@hand@|@liman, liman-tanen, lolo, tabelen@
@handbag@|@karteira@
@happiness@|@solok@
@happy@|@haksolok@
@harbour@|@portu@
@hard@|@asu, toos@
@harness@|@kuda talin@
@harrow weed@|@faho@
@hat@|@xapeu@
@have@|@iha@
@have to@|@tenke@
@he@|@nia@
@He came yesterday@|@Nia mai tiha horiseik@
@he is a fag@|@huan ida@
@he went to the market yesterday@|@nia ba basar horisek@
@he will go to the market tomorrow@|@nia ba basar aban@
@head@|@ulun, ulun-fatuk@
@headache@|@ulun-moras, ulun moras@
@healthy@|@isin-di'ak@
@heap@|@butuk@
@hear@|@rona@
@heart@|@fuan@
@heavy@|@todan@
@heel@|@ain-tuban@
@help@|@tulun@
@her@|@nia@
@here@|@iha ne'e@
@heron@|@maliboo@
@hiccup@|@motok@
@hide@|@haksumik, hamsumik, subar@
@high@|@aas@
@high tide@|@tasi nakonu@
@hillock@|@rai kaburbur@
@hillside@|@rai sadere@
@himself@|@rasik@
@hip@|@kidan@
@his; her; its@|@ninia@
@his; hers; its@|@nian, ninian@
@history@|@istoria@
@hold a grudge@|@rai kuna@
@hold back@|@satan@
@hold out@|@lolo@
@hold up@|@tane@
@hole@|@kuak, rai-kuak, rai kuak@
@hollow log for grinding@|@lesu@
@holy@|@lulik@
@honey@|@bani-been, bani ben, beni ben@
@honey bee@|@bani@
@horn@|@dikur@
@horn trumpet@|@baboo@
@horse@|@kuda@
@horse's leg@|@kuda nia ain@
@hospital@|@ospítál, uma-moras@
@hot@|@manas@
@hot weather@|@Rai manas@
@hotel@|@otél@
@hour@|@oras@
@house@|@uma@
@house roof@|@uma kakuluk@
@house ruins@|@uma krebek@
@house thatch@|@uma talin@
@householder@|@uma-na'in@
@how@|@halonu'usá@
@How are you?@|@diak ka lae?, O di'ak ka lae?@
@How many children are yours?@|@Oan hira o nian?@
@how many sticks@|@ain hira@
@How many wives have you?@|@O iha kaben hira?@
@how much@|@hira@
@How much is this?@|@Ne'e osan hira?, Ne'e osan hira?@
@How old are you?@|@Ita tinan hira? (ita=polite)@
@how?@|@oinsá@
@humble@|@haraik-an@
@hunchbacked@|@bonko, kruduk@
@hunger@|@laha@
@hungry@|@hamlaha@
@hunt@|@duni asu, soro@
@husband@|@kaben, la'en@
@husked rice@|@foos, fos@
@hypocritical@|@laran-makerek@
@I@|@ha'u, hau@
@I can@|@ha'u bele@
@I can't@|@ha'u la bele@
@I don't know how to@|@ha'u la hatene@
@i don't understand@|@hau la comprende@
@I don't understand@|@ha'u la komprende, hau la hatene@
@I don't want to@|@ha'u lakohi@
@I eat@|@ha'u han@
@I eat rice@|@ha'u han etu@
@I have eaten rice@|@ha'u han etu ona@
@I know how to@|@ha'u hatene@
@I live in@|@hau hela iha@
@I live in Fatu Kai@|@Hau hela iha Fatu Kai@
@I must take this medicine@|@Ha'u sei hemi ai mouruk ne'e@
@I understand@|@ha'u komprende@
@I want a shower@|@Ha'u hakarak haris@
@I want to@|@ha'u hakarak@
@I want to buy food@|@Ha'u hakarak atu sosa hahan@
@I want to buy fruit.@|@Ha'u hakarak atu sosa ai fuan@
@I want to eat sasouru@|@Ha'u hakarak atu ha sasouru@
@I want to ride a horse@|@Ha'u hakarak sa'e kuda ida@
@I will only eat vegetables@|@Ha'u sei ha modo de'it@
@ice@|@jelu@
@ice-cream@|@sorvete@
@if@|@se@
@I'm fine@|@ha'u diak@
@I'm hungry@|@hau hamlaha@
@I'm very tired@|@hau kole@
@i'm well@|@hau diak obrigado@
@I'm well thank you@|@hau diak obrigada (woman)@
@image@|@imajen@
@imitate@|@hasara@
@immediately@|@kedan, kedas@
@impossible@|@imposivel, labele@
@improve@|@hadi'ak@
@in@|@ba, iha@
@in between@|@iha leet@
@in front@|@ulu@
@in front of@|@iha nia oin@
@in middle@|@iha klaran@
@in mountains@|@iha foho@
@in order to@|@atu, hodi@
@incite@|@soran@
@increase@|@tautan@
@indeed@|@duni@
@ink@|@tinta@
@insect@|@insetu, kutun@
@insert@|@hatama@
@inside@|@iha laran, laran@
@instigate@|@soran@
@insult@|@tarata, tolok@
@international@|@internasionál@
@intestines@|@tee-oan@
@invite@|@tene@
@iron@|@besi@
@iron pot@|@sanan besi@
@Is that a nice person?@|@Ema ida ne'e furak?@
@Is the government good?@|@Ema ne'e ukun di'ak?@
@Is this good?@|@Ida ne'e di'ak?@
@Is this water good to drink?@|@Ue ne'e atu hemu di'ak?@
@Is this your house?@|@Uma ne'e ita nian@
@island@|@illa, nusa, rai-kotun@
@Isulinu won't come@|@isulinu sei dauk mai@
@it@|@nia@
@It is wet@|@Rai bokon@
@It will soon rain@|@Udan besik ona@
@itchy@|@katar@
@it's hot@|@Rai manas@
@it's windy@|@anin sai boot@
@jackfruit@|@kulu-naka, kulu naka@
@jam@|@habit, marmelada@
@january@|@janeiru@
@jealous@|@laran-moras@
@jellyfish@|@anin-teen@
@job@|@empregu@
@John is the one who likes beer@|@João se maka gosta serveja@
@join@|@tutan@
@joke@|@brinku, piada@
@judge@|@juís, justisa-na'in, tesi-lia na'in@
@juice@|@been@
@july@|@jullu@
@june@|@juñu@
@just@|@foin@
@kapok@|@ai lele@
@kerosene@|@mina-rai@
@kettle@|@buli@
@key@|@xave@
@kick@|@hafetu, tebe@
@kick by horse@|@kuda lubun@
@kidney@|@maksorin, maksourin@
@kill@|@oho@
@kind@|@laran-di'ak@
@king@|@liurai@
@kiss@|@muu@
@kiss hand@|@re'i liman@
@kitchen@|@dapur@
@knead@|@de'ut@
@knee@|@ain-tuur@
@kneel@|@hakne'ak, tuku tuur@
@knife@|@taha, tudik@
@knock@|@dere, tuku@
@knot@|@fukun@
@knot in tree@|@ai fukun@
@labarik@|@girl@
@lack@|@falta, mukit@
@lacking@|@la to'o@
@ladder@|@odan@
@ladle@|@knedok@
@lake@|@bee-lihun, naliun, rebu@
@lamb@|@na'an-karneira@
@lamb meat@|@na'an-karneira@
@lame@|@ain-aat, kude'ik@
@lamp@|@ahi-oan, ahi oan@
@land@|@rai@
@language@|@lian@
@lap@|@hitin@
@last@|@ikus@
@last night@|@horikalan@
