@English@|@Hebrew@
@18@|@shmona-asar, shmone-esre@
@19@|@tish"a-asar, tsha-esre@
@1st@|@rishon, rishona@
@2@|@shnayim, shtayim@
@20@|@esrim@
@200@|@matayim@
@2000@|@alpayim@
@21@|@esrim ve'eh'ad, essim ve'ah'at@
@2nd@|@sheni, shenit, shniya@
@3@|@shalosh, shlosha@
@30@|@shloshim@
@3rd@|@shlishi, shlishit@
@4@|@arba", arba"a@
@40@|@arba"im@
@4th@|@rvi"i, rvi"it@
@5@|@h'amesh, h'amisha@
@50@|@h'amishim@
@5th@|@h'amishi, h'amishit@
@6@|@shesh, shisha@
@60@|@shishim@
@6th@|@shishi, shishit@
@7@|@sheva", shiv"a@
@70@|@shiv"im@
@7th@|@shiv"it, shvi"i@
@8@|@shmona, shmone@
@80@|@shmonim@
@8th@|@shmini, shminit@
@9@|@tesha, tish"a@
@90@|@tish"im@
@9th@|@tshi"i, tshi"it@
@a great number of@|@harbe@
@a little@|@me"at@
@a little bit@|@qitsat@
@a lot@|@harbe@
@a quarter to (time)@|@reva" l-@
@a short while@|@zman-ma@
@abandon@|@hifqir, natash, zanah'@
@abbreviate@|@qitser@
@abdomen@|@beten@
@able: be ~ to@|@yakol (l-)@
@abomination@|@to"eva@
@above@|@ma"al@
@abroad@|@h'uts-la'arets@
@absorb@|@qalat, safag@
@absorption@|@qlita@
@absorption: ministry of ~@|@misrad haqlita@
@abstain@|@nisna"@
@abundance@|@rov@
@abuse (vb.)@|@hit"alel (b-)@
@academy@|@yeshiva@
@accepted: be ~@|@hitqabel@
@according to@|@kmo, lefi@
@accordingly@|@bhetem@
@accumulate@|@atsar@
@accuse@|@he'eshim@
@accustomed: become ~@|@hitragel (l-)@
@ache (vb.)@|@kha'av@
@achieve@|@hissig@
@acquire@|@rakhash@
@acquisition@|@miqne@
@acquit@|@zika@
@act (vb.)@|@shih'eq@
@act wickedly@|@rasha"@
@act wisely@|@sakhal@
@actor@|@sah'aqan, shah'qan@
@actress@|@sah'aqanit, shah'qanit@
@acts of judgement@|@shfatim@
@Adam@|@adam@
@adapt@|@sigel@
@add@|@asaf, hosif, yasaf@
@addicted: become ~@|@hitmaker (l-)@
@address (n.)@|@ktovet@
@admit@|@toda b-@
@adopt (idea / child etc)@|@imets@
@advance (intrans.)@|@hitqadem@
@advantage@|@itron@
@advertise@|@pirsem@
@advice@|@etsa@
@advise@|@ya"ats (l-)@
@affidavit@|@haskama, tatshir@
@afraid of@|@yare@
@after@|@ah'ar, ah'arey@
@afternoon@|@ah'ar-hatsahorayim, ah'arey-hatsahorayim@
@afternoon: good ~ !@|@tsahorayim tovim!@
@afterwards@|@ah'ar-kakh, ah'arey-ken@
@again@|@od pa"am, shov@
@against@|@neged@
@age@|@gil@
@age (vb.)@|@hizqin, zaqan@
@agent@|@sokhen@
@agianst@|@al@
@agitated: be ~@|@ragaz@
@ago@|@lifney@
@agorot (division of the Shekel - usually plural)@|@agorot@
@agree@|@hisskim (l-)@
@aim (vb.)@|@h'atar, kiven@
@air@|@avir@
@air mail@|@do'ar-avir@
@airplane@|@matos@
@alien@|@ger@
@alienated: be ~@|@hitnaqer@
@alive@|@h'ay@
@alive: be ~@|@haya@
@all@|@kol@
@all around@|@saviv@
@all at once@|@pe eh'ad@
@all day@|@kol hayom@
@all kings of@|@kol miney@
@all right@|@beseder@
@allege@|@ta"an@
@alliance@|@brit@
@alligator@|@alligator, tanin@
@allow@|@hirsha@
@almost@|@kim"at@
@alone@|@levad@
@aloud@|@beqol, beqol gadol@
@already@|@kvar@
@also@|@gam@
@altar@|@mizbeah'@
@altitude@|@govah@
@always@|@tamid@
@amaze@|@hidhim, hifli'@
@Amen@|@amen@
@America@|@ameriqa@
@American (adj.)@|@ameriqani@
@American (n.)@|@ameriqanit@
@Amharic (language)@|@amharit@
@among@|@beqerev@
@analyse@|@nittah'@
@anger@|@h'ema@
@angry: be ~@|@ka"as (al), ragaz@
@animal@|@h'ay@
@animal: wild ~s@|@h'aya@
@animals@|@h'ayot@
@annex@|@sipah'@
@annihilate@|@hikhh'id, hishmid@
@announce@|@hodia", hudia"@
@annoy@|@hirgiz@
@annoyed: be ~@|@ragaz (al)@
@answer (n.)@|@tshuva@
@answer (vb.)@|@na@
@answer a question@|@ana al she'ela@
@ant@|@nemala@
@Antarctica@|@yabeshet-ant'arqtiqa@
@anteater@|@dov nemalim@
@anticipate@|@tsipa, yih'el@
@any (with negative)@|@shum@
@apartment@|@dira@
@apologize@|@hitnatsel@
@appeal@|@ir"ur@
@appeal against@|@irel (al)@
@appear@|@hofia" (b-), nir'a@
@appetite@|@te'avon@
@apple@|@tapuah'@
@appoint@|@minna, paqad@
@appreciate@|@he"erikh@
@approach@|@hitqarev (l-), nagash (el), qarav (el)@
@appropriate@|@mat'im@
@April@|@april@
@Aquarius (astr.)@|@mazzal-dli@
@Arabic (language)@|@arabit@
@Aramaic (language)@|@aramit@
@area@|@shetah'@
@argue@|@hitvakeah' (im)@
@arid land@|@h'orba@
@aridity@|@h'orev@
@Aries (astr.)@|@mazzal-tale@
@arise@|@qam@
@arm@|@yad, zroa"@
@arm (weapon)@|@h'imesh@
@arm oneself@|@nashaq@
@armchair@|@kursa@
@army@|@tsava@
@arrange@|@rakh, sider@
@arrangement@|@erekh@
@arrest@|@asar@
@arrest (n.)@|@atsira@
@arrest (vb.)@|@tsar@
@arrive@|@hagia" (l-)@
@arrow@|@h'ets@
@art@|@emanot@
@as@|@kmo@
@as far as@|@ad@
@ashamed: be ~@|@nikhlam@
@ask@|@biqqesh, sha'al@
@ask for@|@darash@
@aspire@|@sha'af@
@assassinate@|@hitnaqqesh (b-)@
@assault@|@hitnapel (al)@
@assemble@|@hiqhil, hit'assef, niqhal@
@assemble (a machine)@|@hirkiv@
@assembly@|@qahal@
@assign@|@minna@
@assist@|@zar, siyea" (l-)@
@assistance@|@ezra@
@associate (vb.)@|@hith'aber (im)@
@association (sports)@|@liga@
@astound@|@hidhim@
@at home@|@babayt@
@at that moment@|@be'oto harega"@
@at that point@|@az@
@at the place of@|@etsel@
@at the time that...@|@ka'asher, kshe-@
@at the time when...@|@bezman she...@
@at times@|@lif"amim@
@at; by@|@etsel@
@atone (vb.)@|@kiper (al)@
@attack (vb.)@|@hitqif, taqaf@
@attempt (vb.)@|@nissa@
@attempt to murder@|@hitnaqqesh (b-)@
@attract@|@mashakh@
@attribute (vb.)@|@shiyekh@
@August@|@ogust@
@aunt@|@doda@
@Australia@|@ostralya@
@Austria@|@ostriya@
@author (f.)@|@soferet@
@author (m.)@|@sofer@
@automobile@|@mekhonit@
@autumn@|@stav@
@avange@|@naqam@
@avoid@|@nisna"@
@baby (boy)@|@tinoq@
@baby (gitl)@|@tinoqet@
@Babylon@|@bavel@
@bacause@|@mipney she@
@back@|@ah'ora, gav@
@backward@|@ah'ora@
@backwards@|@ah'ora@
@bad@|@ra"@
@bad: be ~@|@ra"a"@
@badness@|@roa"@
@bag@|@saq, tiq@
@Bahamas@|@iyey-bahama@
@Bahrain@|@bah'reyin@
@bail@|@arvut@
@bake@|@afa@
@balance@|@izen@
@balance (vb.)@|@izen@
@ban (vb.)@|@asar@
@banana@|@banana@
@banish@|@nadah'@
@bank@|@banq@
@bank account@|@h'eshbon banq@
@bankruptcy@|@pshitat-regel@
@banquet@|@mishte@
@Barbados@|@barbados@
@bargain (vb.)@|@hitmaqqeah' (im)@
@bark (vb.)@|@navah'@
@base@|@mikhona@
@basis@|@yesod@
@basketball@|@kaddursal@
@bat@|@atallef@
@bath: take a ~@|@hitrah'ets@
@bathe@|@hitrah'ets@
@bathroom@|@h'adar sheyrutim@
@battle@|@milh'ama@
@battle line@|@ma"arakha@
@be@|@haya@
@be able@|@yakhol@
@be able to@|@yakol (l-)@
@be accepted@|@hitqabel@
@be acquainted / familiar with@|@hikir@
@be afraid@|@yare'@
@be agitated@|@ragash, ragaz@
@be alarmed@|@nivhal@
@be alienated@|@hitnaqer@
@be alive@|@haya@
@be angry@|@ka"as, ka"as (al), ragaz@
@be annoyed@|@ragaz (al)@
@be anxious@|@h'arad@
@be ashamed@|@nikhlam@
@be bad@|@ra"a"@
@be born@|@nolad@
@be brave@|@amets@
@be careful@|@mizhar (mi-), nizhar (mi-)@
@be caught@|@nitpas@
@be closed@|@nisgar@
@be complete@|@shalam, tamam@
@be concealed@|@nistar@
@be contaminated@|@tame'@
@be continued@|@nimshakh@
@be corrupt@|@nishh'at@
@be cruel@|@hit'akhzer@
@be deleted@|@nikhh'ad@
@be delivered@|@nitsal, nosha"@
@be deserted@|@shamam@
@be desolate@|@shamam@
@be destroyed@|@h'arav, nishmad@
@be different@|@nivdal@
@be disobedient@|@mara@
@be distict@|@nivdal@
@be easy@|@qalal@
@be enduring@|@nitsah'at@
@be estranged@|@hitnaqer@
@be evil@|@ra"a"@
@be exalted@|@gavah@
@be excited@|@ragash@
@be faithful@|@ne'eman@
@be far off@|@rah'aq@
@be fed@|@nazon (al)@
@be fed up@|@nam'as (al)@
@be finished@|@nigmar@
@be found@|@nimtsa@
@be found guilty@|@asham@
@be frightened@|@nivhal@
@be full@|@male@
@be furious@|@qatsaf (al)@
@be glad@|@samah'@
@be good@|@yatav@
@be great@|@rava@
@be guilty@|@asham, asham (b-)@
@be happy@|@sameah'@
@be heavy@|@kaved@
@be hidden@|@neh'ba', nistar@
@be high@|@gavah@
@be holy@|@qadash@
@be hostile@|@ayav@
@be hungry@|@ra"ev@
@be ill@|@h'ala@
@be in need of@|@nizqaq (l-)@
@be injured@|@niftsa"@
@be insulted@|@ne"elav@
@be jealous@|@qine'@
@be joyful@|@sameah'@
@be late@|@eh'er (l-)@
@be left over@|@nish'ar, notar@
@be light@|@qalal@
@be located@|@nimtsa@
@be many@|@rava@
@be marvellous@|@nifla'@
@be missing@|@ne"edar@
@be noisy@|@ra"ash@
@be over@|@nigmar@
@be perceived@|@nitpas@
@be pleasant@|@na"am@
@be prolonged@|@nimshakh@
@be rebellious@|@mara@
@be reconciled with@|@hishlim@
@be right@|@tsadaq@
@be saved@|@nosha"@
@be sick@|@h'ala@
@be slight@|@qalal@
@be sorry@|@hitsta"er (al)@
@be spilled / poured@|@nishpakh@
@be spoiled@|@nishh'at@
@be stationed@|@nitsav@
@be steady@|@ne'eman@
@be strict@|@hiqpid (al)@
@be strong@|@amets@
@be swift@|@qalal@
@be terrified@|@h'atat@
@be thirsty@|@tsame'@
@be unclean@|@tame'@
@be well@|@yatav@
@be whole@|@shalam@
@be willing@|@ava, ratsa@
@be wiped out@|@nikhh'ad@
@be wonderful@|@nifla'@
@be worried@|@h'arad@
@be written@|@nikhtav@
@beach@|@h'ul@
@bear@|@yalad@
@bear (n.)@|@dov@
@bear witness@|@he"id@
@beast@|@bhema@
@beat (vb.)@|@dafaq@
@beautiful@|@yafe@
@beautiful!@|@yofi!@
@beauty@|@yofi@
@beaver@|@bone@
@because@|@keyvan she, ki, ya"an@
@because of@|@biglal, lema"an@
@become@|@haya (l-)@
@become accustomed@|@hitragel (l-)@
@become addicted@|@hitmaker (l-)@
@become clean@|@tahar@
@become confused@|@hitbalbel@
@become dry@|@yavash@
@become entangled@|@histabel@
@become excited@|@hitragesh@
@become fat: fat: become ~@|@shaman@
@become great / strong@|@gadal@
@become hot / burning@|@h'ara@
@become insane@|@hishtamea" mi@
@become old@|@hizqin, zaqan@
@become overcast@|@hit"anen@
@become pregnant@|@hara@
@become quiet@|@shaqat@
@become worn@|@hishtafshef@
@becoming (adj.)@|@mat'im@
@bed@|@mita@
@bedroom@|@h'adar sheyna@
@bee@|@dvora@
@beer@|@bira@
@before@|@lifney, mul, neged, qedem, terem@
@before noon@|@lifney hatsahorayim@
@beg for mercy@|@hith'anen@
@begin@|@hith'il, hith'il (l-)@
@beginning@|@reshit@
@behave@|@hitnaheg, nahag@
@behind@|@ah'ar, ah'arey@
@behold@|@hinne@
@belief@|@emuna@
@believe@|@he'emin (b-)@
@Belize@|@beliz@
@belly@|@beten@
@belong@|@hishtayekh (l-)@
@belonging (n.)@|@h'efets@
@beloved (n. m.)@|@dod@
@bench@|@safsal@
@bend@|@hitkofef@
@bend (vb.)@|@kafaf@
@beneath@|@mata, mitah'at, mitah'at (l-), tah'at@
@benefit (vb.)@|@nehena (mi-)@
@bestow@|@hinh'il@
@bet (vb.)@|@hit"arev (im / al)@
@betray@|@bagad@
@better@|@yoter tov@
@between@|@beyn@
@bezman she...@|@at the time when...@
@bicycle@|@ofnayim@
@big@|@gadol@
@bill of landing@|@te"udat mishloah'@
@billion@|@bilyon@
@bind@|@qashar@
@biology@|@biologya@
@bird@|@tsipor@
@birth certificate@|@te"udat leyda@
@birthday@|@yom-huledet@
@birthdays@|@yemey-huledet@
@bite@|@nashakh@
@black@|@shah'or@
@blackboard@|@luah'@
@blame (vb.)@|@he'eshim@
@bleach@|@hilbin@
@bleed@|@shatat@
@bless@|@berekh@
@blessing@|@brakha@
@block (vb.)@|@h'asam, satam@
@blood@|@dam@
@bloom (n.)@|@perah'@
@blot@|@qalat, safag@
@blow@|@nashav hefiah'@
@blow (trumpet)@|@taqa"@
@blue@|@kah'ol@
@blue: light ~@|@tkhelet@
@blunt (vb.)@|@hiqha@
@blur@|@tishtesh@
@blush@|@adam@
@boast@|@hithallel@
@boat@|@oniya, sfina@
@body@|@guf@
@body: the human ~@|@guf ha'adam@
@boil@|@ratah'@
@bone@|@etsem@
@book (n.)@|@sefer@
@bookshelf@|@konanit@
@booth@|@bitan@
@booty@|@shalal@
@bore@|@shi"mem@
@boring@|@mesha"amem@
@born@|@nolad@
@borrow@|@lava (mi-)@
@boss@|@bos@
@bother@|@hitrid@
@bottle@|@baqbuq@
@bounce@|@hiqpits@
@boundary@|@gvul@
@bow (n.)@|@qeshet@
@boy@|@na"ar, yeled@
@boycott@|@heh'erim@
@boyfriend@|@h'aver@
@brains@|@sekhel@
@brake (vb.)@|@balam@
@branch@|@anaf@
@branch (out / off) (vb.)@|@hista"ef@
@brave@|@amits@
@brave: be ~@|@amets@
@bravo!@|@kol hakavod!@
@bread@|@leh'em@
@break (vb.)@|@hefer, shavar@
@break into / out (with force)@|@parats@
@breakfast@|@aruh'at-boqer@
@breast@|@shad@
@breast feed@|@heyniq@
@breath@|@ruah'@
@breathe@|@nasham@
@bribe (vb.)@|@shih'er@
@bridegroom@|@h'atan@
@bridge@|@gesher@
@briefcase@|@tiq@
@bring forth@|@yalad@
@bring in@|@hikhnis@
@broadcast@|@shider@
@bronze@|@nih'oshet@
@brood@|@ravats@
@brother@|@ah'@
@brotherhood@|@ah'va@
@brown@|@h'um@
@budget (vb.)@|@tiqtsev@
@buffalo@|@te'o@
@build@|@bana@
@building@|@binyan@
@bull@|@par, shor@
@bull: young ~@|@par@
@burglary@|@hitpartsut@
@burial@|@qvura@
@burn@|@ba"ar@
@burn (intransitive)@|@dalaq@
@burn (transitive)@|@saraf@
@burp@|@giheq@
@bury@|@qavar, taman@
@bus@|@otobus@
@but@|@akh, aval, ulam@
@button (vb.)@|@rakhas@
@buy@|@qana@
@buying@|@qniya@
@by@|@ad-yedey@
@by (author / creator)@|@ad-yedey@
@by heart@|@al pe@
@by the name of@|@bshem@
@by the side of@|@al yad@
@Bye! Goodbye!@|@bay!@
@cab@|@monit@
@cabinet@|@aron@
@cable car@|@raqevel@
@café@|@beyt-qafe@
@cafeteria@|@qafeterya@
@cake@|@uga@
@calcium@|@sidan@
@calculate@|@h'ishev@
@calculus@|@h'eshbon@
@calendar@|@luah'@
@calf@|@egel@
@call@|@hitqasher (l-), qara' (l-)@
@camel@|@gamal@
@camouflage@|@hisva@
@camp@|@mah'ane@
@camp (vb.)@|@h'ana@
@campus@|@qampus@
@can (vb.)@|@yakhol, yakol (l-)@
@Canaan@|@qana"an@
@Canada@|@qanada@
@cancel@|@bitel@
@Cancer (astr.)@|@mazzal-sartan@
@candelabra@|@mnora@
@candle@|@ner@
@candle holder@|@qan@
@capital punishment@|@onesh-mavet@
@Capricorn (astr.)@|@mazzal-gdi@
@captive@|@shvi@
@capture@|@lakhad, shava@
@car@|@mekhonit@
@card@|@kartis@
@card: identity ~@|@te"udat zehut@
@card: immigrant ~@|@te"udat ole@
@care@|@da'ag (l-)@
@careful: be ~@|@mizhar (mi-), nizhar (mi-)@
@carrot@|@gezer@
@carry out@|@bitsea"@
@cash@|@mzuman@
@castle@|@armon@
@cat (f.)@|@h'atula@
@cat (m.)@|@h'atul@
@catch@|@tafas@
@catch cold@|@hitstannen@
@cattle@|@baqar, nah'ala@
@caught: be ~@|@nitpas@
@cause (vb.)@|@garam (l-)@
@cause to be born@|@yalad@
@cease@|@h'adal, kala, shavat@
@cedar@|@erez@
@celebrate@|@h'agag@
@Central African Republic@|@haqhiliya hamerkaz-afriqanit@
@centre@|@merkaz@
@certainly@|@bevada'i, kamuvan@
@certificate@|@te"uda@
@certified mail@|@do'ar rashum@
@chair@|@kisse@
@chalk@|@gir@
@champion@|@aluf@
@chance upon@|@hizdammen (l-)@
@change (vb. intrans.)@|@hishtanna@
@change (vb. trans.)@|@shina@
@character@|@ot@
@charge (an account)@|@zaqaf@
@charge battery@|@ta"an@
@chariot@|@merkava@
@chariotry@|@rekhev@
@chase (vb.)@|@radaf ah'arey@
@chase after@|@radaf@
@chastise@|@yassar@
@chastisement@|@mosar@
@chat (with)@|@soh'ah' (im)@
@cheap@|@zul@
@cheat@|@rimma@
@check (n.)@|@tsah'eq@
@check (vb.)@|@badaq, baddaq@
@cheer@|@heriya" (l-), tru"a@
@Cheers!@|@leh'aiym!@
@cheese@|@gvina@
@chemistry@|@kimiya@
@cheque@|@tsah'eq@
@cherub@|@kruv@
@chicken@|@efroah'@
@chief@|@nasi', shar@
@child@|@yalda, yeled@
@children@|@yeladim@
@chilly@|@qar@
@chimney@|@aruba@
@China@|@sin@
@Chinese (language)@|@sinit@
@chips@|@tsips@
@chlorine@|@klor@
@chocolate@|@shokolad, shokolada@
@choice@|@breyra, mivh'ar@
@choose@|@bah'ar, bah'ar (b-)@
@chop@|@qitsets@
@church@|@knesiya@
@circle@|@h'ag@
@circumcise@|@mal@
@cirstern@|@bur@
@cities@|@arim@
@citizen (f.)@|@ezrah'it@
@citizen (m.)@|@ezrah'@
@citizenship@|@ezrah'ut@
@city@|@ir@
@claim (vb.)@|@ta"an@
@clan@|@mishpah'a@
@clarify@|@barer@
@class@|@kita, shi"ur@
@classroom@|@kita@
@claw@|@tufar@
@clean: become ~@|@tahar@
@cleanse@|@tiher@
@cleave@|@baqa"@
@climb@|@he"epil (l-), tipes@
@clock@|@sha"on@
@close (adv.)@|@qarov@
@close (vb.)@|@sagar@
@close up@|@satam@
@closed@|@sagur@
@closed: be ~@|@nisgar@
@closet@|@aron@
@cloth@|@bad@
@clothes; garments@|@beged, bgadim@
@cloud@|@anan@
@cloudy@|@me"unan@
@coach@|@me'amen@
@coat@|@me"il@
@coax@|@shidel@
@Coca Cola@|@qoqa-qola@
@cock@|@tarnegol@
@coffee@|@qafe@
@Coke@|@qoqa-qola@
@cold@|@qar@
@collapse (vb.)@|@hitmotet@
@collar (for dogs)@|@qolar@
@collect@|@asaf, asaf, hit'assef@
@collide@|@hitnagesh@
@color@|@tseva@
@column@|@amud@
@combat@|@milh'ama@
@combine@|@tsiref@
@come@|@ba', bo'@
@come back@|@h'azar, shav@
@come down@|@yarad@
@come in@|@nikhnas@
@come out@|@yatsa'@
@come to an end@|@histiyem@
@come together@|@nashaq@
@command@|@pquda@
@command (vb.)@|@tsivva@
@commander@|@mefaqed@
@commit adultery@|@na'af@
@commit crime@|@pasha"@
@commit oneself (to)@|@hith'iv (l-)@
@commit sin@|@pasha"@
@commit suicide@|@hit'abed@
@common@|@ragil@
@communication@|@tiqshoret@
@compare to; imagine@|@dimma@
@compensate@|@shiqem@
@complaint@|@tluna@
@complete@|@hishlim, tam, tamid, tamim@
@complete (adj.)@|@shalem@
@complete (vb.)@|@kala@
@complete: be ~@|@shalam, tamam@
@composition@|@h'ibur@
@compromise (vb.)@|@hitpasher@
@computer@|@mah'shev@
@comsume@|@ba"ar@
@conceal@|@histir, kih'ed, taman, tsafan@
@conceive (child)@|@hara@
@condition@|@matsav@
@conduct@|@nahag@
@confess@|@toda b-@
@confession@|@hitvadut@
@confiscate@|@heh'erim@
@conform@|@sigel@
@confuse@|@bilbel@
@confused: become ~@|@hitbalbel@
@congregation@|@qahal@
@consider@|@h'ashav, hith'ashev (b-)@
@conspiracy@|@qesher@
@conspire@|@qashar@
@constitution@|@h'uqa@
@construction@|@binyan@
@consume@|@akhal@
@contact (vb.)@|@hitqasher (l-)@
@contain@|@hekhil@
@container@|@meikhal@
@contaminated@|@tame'@
@contention@|@riv@
@continent; dry land@|@yabasha, yabeshet@
@continually@|@tamid@
@continued: be ~@|@nimshakh@
@contract@|@h'oze@
@convenant@|@brit@
@convene@|@niqhal@
@convict@|@hirshia"@
@convocation@|@miqra@
@cookie@|@ugiya@
@copper@|@neh'oshet, nih'oshet@
@copyright@|@zkhut-yotsrim@
@corn@|@tiras@
@corner@|@pina@
@correct (be)@|@nakhon@
@correction@|@tiqon@
@correspond (with) (i.e. exchange letters)@|@hitkatev (im)@
@correspondent@|@itona'i@
@corrupt@|@hishh'it, shih'et@
@corrupt: be ~@|@nishh'at@
@cost much@|@la harbe@
@count@|@safar@
@country@|@erets@
@couple@|@zug@
@courage@|@omets@
@course@|@maslul@
@court@|@beyt-mishpat@
@courthouse@|@beyt-mishpat@
@courtyard@|@h'atser@
@cousin (f.)@|@bat-dod@
@cousin (m.)@|@ben-dod@
@cousins@|@biney-dodim@
@cover (vb.)@|@kasa, kiper (al)@
@cow@|@para@
@crash (vb.)@|@hitnagesh@
@create (bibl.)@|@bara'@
@creator@|@yotser@
@credit (vb.)@|@zika@
@credit card@|@kartis-ashra'i@
@crime@|@aveyra, pesha"@
@criminal@|@poshea"@
@crimson@|@argaman@
@cruel: be ~@|@hit'akhzer@
@cry@|@bakha@
@cry for joy@|@ranan@
@cry out@|@tsa"aq@
@crystal@|@bedolah'@
@cucumber@|@melafefon@
@cultivate@|@gidel@
@culture@|@tarbut@
@cup@|@sefel@
@cupboard@|@aron@
@cure@|@rafa'@
@curse (vb.)@|@arar, qilel@
@curtain@|@kaporet@
@custody@|@mishmeret@
@custom@|@mishpat@
@customs@|@mekhes@
@cut@|@karav@
@Cyprus@|@qafrisin@
@dad@|@aba@
@daddy@|@aba@
@dance (vb.)@|@raqad@
@dancer (f.)@|@raqdanit@
@dancer (m.)@|@raqdan@
@Danish (language)@|@denit@
@dare@|@he"ez (l-)@
@dark@|@afel, kehe@
@darkness@|@afela, h'oshekh@
@date@|@ta'arikh@
@daughter@|@bat@
@daughters@|@banot@
@day@|@yom@
@day of the month@|@ta'arikh@
@de inclined@|@nata@
@dead@|@met@
@deaf@|@h'eyresh@
@death@|@mavet@
@December@|@detsember@
@decide@|@heh'elit, hitlit@
@decimal point@|@niquda@
@declaration@|@hakkraza, ne'um@
@deer@|@ayal@
@defender@|@saneygor@
@defense@|@h'agana@
@definitely@|@bevada'i@
@deflect@|@hitta@
@degree@|@to'ar@
@delay (vb.)@|@kev, ikev@
@deleted: be ~@|@nikhh'ad@
@delight@|@h'afets@
@deliver@|@hitsil, malat@
@delivered: be@|@nosha"@
@delivered: be ~@|@nitsal@
@demand@|@darash@
@demolish@|@natats@
@Denmark@|@danya@
@deny@|@kafar, kih'ed@
@descend@|@yarad@
@descendants@|@zera"@
@desert@|@midbar@
@desire (n.)@|@h'efets@
@desist@|@hirfa@
@desk@|@shulh'an@
@desolate@|@h'arev@
@desolate place@|@h'orba@
@desolate: be ~@|@shamam@
@desolation@|@shmama@
@despise@|@baza, ma'as@
@dessert@|@qinnuah'@
@destroy@|@ibed, haras, hishh'it, hishmid, ibed, shadad, shih'et@
@destroyed: be ~@|@h'arav, nishmad@
@destruction@|@meh'ita@
@devastation@|@shama, shod@
@develop@|@pitah'@
@develop (vb. intrans.)@|@hitpateah'@
@development@|@hitpath'ut@
@deviate@|@nata@
@devil@|@satan, shed@
@dictionary@|@milon@
@die@|@met, niftar@
@differ@|@h'alaq@
@different: be ~@|@nivdal@
@differentiate (between)@|@hivdil (beyn)@
@difficult@|@qashe@
@dinner@|@aruh'at-erev@
@direct (adj.)@|@yashir@
@director (f.)@|@menahelet@
@director (m.)@|@menahel@
@disagree@|@h'alaq@
@disappear@|@ne"elam, nikhh'ad@
@disaster@|@ason@
@disbelieve@|@kafar@
@discharge@|@zav@
@discipline@|@musar@
@discount@|@h'anah'a, hanah'a@
@discover@|@galam, gilla@
@disgrace@|@bizayon@
@dish@|@kli@
@disk@|@kikar@
@distant@|@rah'ok@
@distinguish (between)@|@hivdil (beyn)@
@divert@|@hitta@
@divide@|@h'alaq@
@divorce@|@geresh, geyresh, geyrushin@
@do@|@sha, pa"al@
@do justice@|@hitsdiq@
@doctor@|@doktor, rofe@
@document@|@mismakh, sefer@
@dog (f.)@|@kalba@
@dog (m.)@|@kelev@
@doggy@|@klavlav@
@Dollar@|@dolar@
@dolphin@|@dolfin@
@Dominican Republic@|@harepubliq hadominiqanit@
@dominion@|@malkhut, mamlakha, memshala@
@donkey@|@h'amor@
@don't +vb (neg. imperat.)@|@eyn + vb.@
@door@|@delet@
@door-to-door@|@midelet ledelet@
@dot@|@niquda@
@dove@|@yona@
@down@|@yarad@
@draw (a picture)@|@tsiyer@
@draw near@|@qarav@
@draw off@|@h'alats@
@dream (n.)@|@h'alom@
@dream (vb.)@|@h'alam@
@dress (n.)@|@simla@
