@English@|@Estonian@
@a pox upon@|@susi söögu@
@a priori@|@aprioorne, kogemusele eelnev@
@a priori knowledge@|@eelteadmine@
@a quarter after@|@veerand tundi ... läbi@
@a quarter of@|@veerand@
@a quarter past@|@veerand tundi ... läbi@
@a quarter to@|@veerand tundi puudub ...@
@a screw loose@|@kruvid logisevad@
@a set of lies agreed upon@|@kokkulepitud valed@
@a she@|@emane, naissoost@
@A star@|@7500-10000K), A täht (sinakasvalge täht@
@a sting in the tail@|@ootamatu pööre@
@a tad@|@pisut@
@a tempo@|@a tempo (endises tempos)@
@a thousand@|@tuhat@
@a thousand and one@|@tuhat üks@
@A to Z@|@A-st Z-ni, kogu tähestik@
@a tooth for a tooth@|@hammas hamba vastu@
@a while@|@hetk@
@a zillion@|@mustmiljon@
@a.m.@|@e.l., enne lõunat@
@aa@|@paakunud laava@
@AA@|@Anonüümsed alkohoolikud, õhutõrje-@
@AA radar@|@õhuseireradar@
@aardvark@|@tuhnik (Orycteropus afer)@
@aargh@|@aah, rrrr@
@AAS@|@rakendusteaduste magister@
@ab@|@ab (< lad. -st, alates)@
@Ab@|@Ab (= Abel, Abijah)@
@ab-@|@ab- (eemale, ära)@
@ab initio@|@alguses, esmalt@
@ab ovo@|@ab ovo (munast, päris algusest)@
@ab ovo usque ad mala@|@kogu söögiaeg)@
@abaca@|@abaka, manilla@
@abacination@|@pimestamine@
@aback@|@vastutuult ; ootamatult@
@abacus@|@abakus, arvelaud@
@abaft@|@ahtri taga, külgsuunaline ; ahtris@
@abandon@|@anduma, loobuma@
@abandon hope@|@lootust jätma@
@abandon ship@|@laeva maha jätma@
@abandon to your fate@|@saatuse hooleks jätma@
@abandoned@|@hüljatud ; liiderlik@
@abandonment@|@abandoon, hülgamine@
@abase@|@alandama, au haavama@
@abase yourself@|@end häbistama@
@abash@|@hämmeldama, kohmetusse ajama@
@abashed@|@kohmetunud@
@abashment@|@kohmetus@
@abasia@|@abaasia, käimisvõimetus@
@abate@|@annulleerima, lammutama, sumbuma@
@abatement@|@leevenemine, vaibumine, vähendamine@
@abatement of creditors@|@akord@
@abatement of debts@|@akord@
@abating@|@vaibuv@
@abatis@|@oratõke@
@abattis@|@oratõke@
@abattoir@|@tapamaja@
@abattoirs@|@tapamajad@
@Abaza@|@abasiini keel@
@abbacy@|@abtkond@
@abbatial@|@abti-, abtkonna-@
@abbe@|@abee@
@abbess@|@abtiss@
@abbey@|@klooster, kloostrikirik@
@abbot@|@abt@
@abbreviate@|@lühendama@
@abbreviated@|@lühendatud@
@abbreviated form@|@lühendvorm@
@abbreviation@|@lühend, lühendamine@
@Abby@|@Abby (= Abigail)@
@ABC@|@põhiteadmised@
@A-b-c book@|@aabits@
@ABCs@|@põhiteadmised@
@ABC's@|@põhiteadmised@
@Abd Alah@|@Abdullah@
@abdabs@|@(Br) õudus@
@Abderian@|@(hullunult) lõbus@
@abdicate@|@troonist loobuma@
@abdication@|@troonist loobumine@
@abdicator@|@ametist lahkuja@
@abditory@|@peidik@
@abdomen@|@kõht@
@abdominal@|@kõhu-@
@abdominal cavity@|@kõhuõõs@
@abdominal delivery@|@keisrilõikus@
@abdominalis@|@kõhulihas@
@abdominous@|@kõhukas, vatsakas@
@abducent@|@sirutaja-@
@abduct@|@pantvangi võtma, röövima@
@abducted@|@pantvangistuses, röövitud@
@abduction@|@röövimine@
@abductor@|@röövija ; sirutajalihas@
@Abe@|@Abe (= Abraham)@
@abeam@|@traaversis@
@abecedarian@|@alghariduse ; algaja, tähestikuline@
@abecedarians@|@algajad@
@abed@|@voodis@
@Abel@|@Aabel, Aadama ja Eeva poeg@
@aberrance@|@kõrvalekalle@
@aberrant@|@ebatüüpiline ; hälvik, hälbiv@
@aberration@|@hälve, moonutus, vaimne hälve@
@aberration constant@|@hälbekonstant@
@aberrational@|@hälbiv@
@abessive@|@ilmaütlev (kääne)@
@abessive case@|@abessiiv, ilmaütlev kääne@
@abet@|@kuritööle õhutama, ässitama@
@abetment@|@kaasaaitamine, kihutuskõne@
@abetter@|@julgustaja, utsitaja@
@abettor@|@julgustaja, utsitaja@
@abeyance@|@lõdvestus, pingelangus, seisak@
@abeyant@|@lõdvestunud, puhkav, tegevusetu@
@abhor@|@jälestama@
@abhorrence@|@jälestus@
@abhorrent@|@vastumeelne@
@abibliophobia@|@hirm lugemisvara lõppemise üle@
@abidance@|@püsimine, vastupidamine@
@abidance by@|@(millestki) kinnipidamine, järgimine@
@abide@|@taluma@
@abide by@|@kinni pidama, sõna kuulama@
@abide by the rules@|@reeglitest kinni pidama@
@abide in@|@elutsema@
@abide with@|@järgima, sõna kuulama@
@abiding@|@lakkamatu@
@Abies@|@nulg@
@abigail@|@teenijanna@
@Abigail@|@Abigail@
@abilities@|@oskused, võimed@
@ability to read@|@lugemisoskus@
@ability to work@|@töövõime@
@abiogenesis@|@abiogenees, elu tekkimine elutust@
@abiotic@|@abiootiline, väliskeskkonna@
@abject@|@alandlik ; alandama, armetu, masendav@
@abject apology@|@alandlik vabandus@
@abject defeat@|@tingimusteta alistumine@
@abjection@|@armetus@
@abjectly@|@armetult, lootusetult@
@abjectness@|@armetus@
@abjuration@|@taganemine@
@abjure@|@(vande all) lahti ütlema, taganema@
@Abkhaz@|@abhaasi keel@
@Abkhazia@|@Abhaasia@
@Abkhazian@|@Abhaasia ; abhaas@
@ablated@|@eemaldatud@
@ablative@|@kuluv ; alaltütlev (kääne)@
@ablative case@|@ablatiiv, alaltütlev kääne@
@ablaut@|@ablaut@
@ablaze@|@leegitsev, särav, vaimustunud@
@able@|@suutlik, võimekas@
@able seaman@|@vanemmadrus@
@able to compete@|@konkurentsivõimeline@
@able to pay@|@maksuvõimeline@
@able-bodied@|@kehaliselt terve@
@able-bodied seaman@|@vanemmadrus@
@abloom@|@õilmitsev@
@ablution@|@pesemine (er religioosne), pesemisvesi@
@ably@|@osavalt, suutlikult@
@ABM@|@antiballistiline rakett@
@abnegate@|@tagasi astuma@
@abnegation@|@enesesalgamine, isetus@
@abnormal@|@ebanormaalne, tavatult suur@
@abnormalcies@|@kõrvalekalded@
@abnormalities@|@hälbed@
@abnormality@|@ebanormaalsus@
@abnormally@|@hälbeliselt, tavatult@
@aboard@|@pardal, pardale, peal@
@aboardage@|@abordaa˛@
@abocclusion@|@lahkhambumus@
@abode@|@eluase@
@abode of the blessed@|@õndsate elupaik@
@abode of the damned@|@neetute elupaik@
@abolish@|@kaotama@
@abolishable@|@tühistatav@
@abolished@|@kaotatud, tühistatud@
@abolishments@|@kaotamine@
@abolition@|@kaotamine, tühistamine, ümber lükkamine@
@a-bomb@|@aatompomm@
@A-bomb@|@aatompomm@
@A-bomb shelter@|@tuumavarjend@
@abominable@|@jälk@
@abominable snowman@|@jeti@
@Abominable Snowman@|@jeti, lumeinimene@
@abominably@|@vastikult@
@abominate@|@jälestama, südamest põlastama@
@abominator@|@vihkaja@
@aboral@|@suuväline@
@aboriginal@|@algupärane, pärismaine@
@Aboriginal@|@aborigeen@
@aborigine@|@pärismaalane@
@Aborigine@|@aborigeen@
@aborning@|@sünnihetkel, sünnitusel@
@abort@|@aborti tegema, katkestama@
@abortifacient@|@aborti esile kutsuv@
@abortion@|@abort, nurjumine, raseduse katkestamine@
@abortionist@|@abordi läbiviija, nurgaemand@
@abortive@|@luhta läinud, nurjunud@
@abortive attempt@|@nurjunud katse@
@abortive fetus@|@enneaegselt sündinud laps@
@abortively@|@tulutult@
@abortus@|@nurisünnitusel väljunud loode@
@aboulia@|@abuulia, otsustusvõimetus@
@abound@|@kubisema, külluses olema@
@abound with@|@külluses olema@
@abounding in riches@|@külluses suplema@
@about@|@kohta, ligikaudu, umbes, ümber ; teave, ümbruses@
@about face@|@täispööre@
@about to@|@kavatsema ; valmis@
@about to happen@|@juhtumas@
@about to sail@|@valmis merele minema@
@about turn@|@ümberpöörd@
@about twenty@|@paarkümmend@
@about-face@|@täispööre, ümberpöörd@
@about-facing@|@ümbermõtlemine@
@about-turn@|@ümberpöörd@
@above@|@kohal, kõrgemal, üle, üles, üleval@
@above all@|@eelkõige, üle kõige@
@above board@|@aus ; ausalt@
@above par@|@kasuga, ülekursiga@
@above stairs@|@ülakorrusel@
@above suspicion@|@väljaspool kahtlust@
@above water@|@veepealne@
@above your head@|@üle mõistuse@
@above-board@|@aus ; ausalt, avalik@
@above-cited@|@ülalmainitud@
@aboveground@|@maapealne, pinna-@
@above-named@|@ülalnimetatud@
@abovestairs@|@ülakorrusel@
@abracadabra@|@abrakadabra@
@abrachia@|@kätetus@
@abradability@|@abrasiivsus@
@abradant@|@kraabits@
@abrade@|@kraapima, kratsima@
@abraded@|@marraskil@
@abrader@|@kraabits@
@abrading@|@lihvimine, silumine@
@Abramis@|@nurg@
@abrase@|@kuluma@
@abrasion@|@abrasioon, hõõrumisjälg, kulutus, marrastus@
@abrasion platform@|@murrutuslava@
@abrasive@|@abrasiiv-, lihvimis-@
@abrasiveness@|@lihvimisvõime@
@abreast@|@kõrvuti, pardati, traaversis@
@abreast of@|@aja tasemel, kursis@
@abreast of the times@|@ajaga sammu pidama@
@abridge@|@kokkuvõtlikult esitama, lühendama@
@abridged@|@lühendatud@
@abridgement@|@lühendus@
@abroad@|@välismaal, võõrsil ; liikvel@
@abrogate@|@ametlikult ära muutma@
@abrogation@|@ametlik tühistus, ümber lükkamine@
@abrupt@|@järsk, äkiline@
@abruptly@|@järsult, äkiliselt@
@abruptness@|@äkilisus@
@abscess@|@mädapaise@
@abscessed@|@mädanev@
@abscise@|@küljest lõikama@
@abscissa@|@abstsiss, x-telg@
@abscond@|@kaasa haarates põgenema, peitu pugema, põgenema@
@absconder@|@jooksik, põgenik@
@abseil@|@köie abil laskuma@
@absence@|@puudumine, äraolek@
@absence of mind@|@hajameelsus@
@absence without leave@|@jooksus@
@absent@|@mitte ilmuma, puuduv ; lahkuma, äraolev@
@absent without leave@|@loata lahkunud@
@absent yourself@|@eemale jääma@
@absent yourself from@|@eemale jääma@
@absentee@|@eemalviibija, puuduja@
@absentee landlord@|@kaugemalelav maaomanik@
@absenteeism@|@korduv põhjuseta puudumine@
@absently@|@hajameelselt, süvenemata@
@absentminded@|@hajameelne@
@absent-minded@|@hajameelne@
@absentmindedly@|@süvenenult@
@absentmindedness@|@hajameelsus, töössesüvenemine@
@absent-mindedness@|@töössesüvenemine@
@absinth@|@absint (jook)@
@absinthe@|@absint (jook ja taim)@
@absinthe oil@|@absindiõli@
@absolute@|@absoluutne, ümberlükkamatu ; absoluut@
@absolute alcohol@|@puhas alkohol@
@absolute altitude@|@absoluutne kõrgus@
@absolute ceiling@|@lennulagi@
@absolute certainty@|@täielik kindlus@
@absolute fact@|@kaheldamatu tõsiasi@
@absolute humidity@|@absoluutne õhuniiskus@
@absolute idealism@|@absoluutne idealism@
@absolute magnitude@|@absoluutne suurus, absoluutne tähesuurus@
@absolute majority@|@absoluutne enamus (üle poolte)@
@absolute maximum@|@absoluutne maksimum@
@absolute minimum@|@absoluutne miinimum@
@absolute pitch@|@absoluutne kuulmine@
@absolute power@|@täielik võim@
@absolute synonym@|@täissünonüüm@
@absolute value@|@absoluutväärtus@
@absolute zero@|@absoluutne null@
@absolutely@|@absoluutselt, lausa, lihtsalt@
@absolutely no@|@absoluutselt mitte@
@absolutely right@|@täiesti õigus@
@absoluteness@|@absoluutsus@
@absolution@|@pattude andeksandmine@
@absolutism@|@absolutism@
@absolutist@|@absolutist@
@absolutistic@|@absolutistlik, totalitaarne@
@absolve@|@lunastust andma, vabastama@
@absorb@|@absorbeerima, haarama, sisse imama@
@absorbed in@|@hõivatud, süvenenud@
@absorbed in thought@|@mõtteisse süvenenud@
@absorbency@|@imavus@
@absorbent@|@absorbent ; imav@
@absorbent cotton@|@vatt@
@absorber@|@summutaja@
@absorbing@|@haarav, imav, köitev@
@absorbingly@|@imavalt@
@absorbtion@|@absorbeerimine, neelamine@
@absorption@|@absorbtsioon, imendumine, süvenemine@
@absorption band@|@neeldumisriba@
@absorption coefficient@|@neeldetegur@
@absorption line@|@neeldumisjoon@
@absorption spectrum@|@neeldumisspekter@
@absorptive@|@imav, neelav@
@absquatulate@|@lahkuma, vaidlema, äkiliselt mujale kolima@
@abstain@|@keelduma@
@abstainer@|@karsklane@
@abstemious@|@karske, kasin, mõõdukas@
@abstemiously@|@mõõdukalt@
@abstemiousness@|@mõõdukus, piiripidamine@
@abstention@|@hoidumine, karskus@
@abstinence@|@hoidumine, karskus@
@abstinence from food@|@kasinalt söömine@
@abstinent@|@kasin ; karsklane, piiripidav@
@abstract@|@abstraktne ; üldistus, kokkuvõte ; abstraheerima@
@abstract art@|@abstraktne kunst@
@abstract artist@|@abstraktsionist@
@abstract case@|@abstraktne kääne, grammatiline kääne@
@abstract character@|@abstraktne märk@
@abstract expressionism@|@abstraktne ekspressionism@
@abstract idea@|@abstraktne idee@
@abstract mathematics@|@abstraktne matemaatika@
@abstract substantive@|@abstraktne nimisõna@
@abstracted@|@mõtteisse vajunud@
@abstractedness@|@süvenemus@
@abstracter@|@kokkuvõtete tegija@
@abstraction@|@abstraktsioon, üldistus@
@abstractionism@|@abstraktsionism@
@abstractionist@|@abstraktsionist@
@abstractive@|@abstraheeriv@
@abstractly@|@abstraktselt@
@abstractor@|@kokkuvõtete tegija@
@abstruse@|@raskesti mõistetav@
@abstrusely@|@raskesti mõistetavalt@
@abstruseness@|@raskesti mõistetavus@
@abstrusity@|@sügav tarkus@
@absurd@|@absurdne, mõttetu, vaimuhaige ; absurd@
@absurd idea@|@absurdne mõte@
@absurdities@|@mõttetused@
@absurdity@|@absurdsus, mõttetus@
@absurdly@|@absurdselt@
@absurdness@|@mõttetus@
@abulia@|@otsustusvõimetus, tahtejõuetus, teovõimetus@
@abulias@|@tahtejõuetu@
@abulic@|@otsustusvõimetu, tahtejõuetu@
@abundance@|@rohkus, sisaldus@
@abundant@|@rohke@
@abundant year@|@liigaasta@
@abundantly@|@külluslikult@
@abusage@|@väärtarvitus@
@abuse@|@solvama ; kuritarvitus, solvang, väärastama@
@abuse a privilege@|@õigusi kurjasti kasutama@
@abuse of office@|@ametikoha kuritarvitus@
@abuse of power@|@võimu kuritarvitamine@
@abused@|@kuritarvitatud, solvatud@
@abuser@|@kuritarvitaja, solvaja@
@abusive@|@solvav, teotav@
@abusively@|@solvavalt@
@abut@|@kokku puutuma, piirnema@
@abut on@|@külgnema, piirnema@
@abut upon@|@külgnema, piirnema@
@abutment@|@liitekoht@
@abutment arch@|@toestatud võlv@
@abutter@|@mitme piirneva maatüki omanik@
@abutting@|@piirnev@
@abuzz@|@sumisev@
@abysm@|@sügavik@
@abysmal@|@kuristikuline, piiritu, põhjatu@
@abyss@|@abüssaal, kuristik, sügavik, süvameri, süvik@
@abyssal@|@sügaviku-@
@abyssal zone@|@meresügavik (2-5 km)@
@Abyssinia@|@Abessiinia, Etioopia@
@Abyssinian@|@amhari keel, etiooplane@
@AC@|@vahelduvvool, õhukonditsioneer@
@AC/DC@|@vahelduvvoolu-alalisvoolu@
@acacia@|@akaatsia@
@academe@|@akadeemiline maailm@
@academia@|@akadeemiline maailm@
@academic@|@akadeemiline ; akadeemik, õppejõud@
@academic costume@|@akadeemiline riietus@
@academic degree@|@akadeemiline kraad, õpetlaskraad@
@academic freedom@|@akadeemiline vabadus@
@academic gown@|@akadeemiline rüü, kohtunikurüü@
@academic institution@|@akadeemiline asutus@
@academic robe@|@kohtunikurüü, õpetlasrüü@
@academic year@|@akadeemiline aasta@
@academically@|@akadeemiliselt@
@academician@|@akadeemik, õpetlane, õppejõud@
@academicianship@|@akadeemikuseisus@
@academies@|@akadeemiad, erikallakuga koolid@
@academy@|@akadeemia, erikallakuga kool@
@Academy@|@Akadeemia@
@academy board@|@Akadeemiaauhind (filmikunstis)@
@academy figure@|@akt (mustvalge skits)@
@academy of music@|@muusikaakadeemia@
@acalculia@|@arvutamisvõimetus@
@Acalypha@|@nõgesleht@
@Acanthocephala@|@kidakärssussid@
@acanthous@|@ogakujuline@
@acanthus@|@akantus@
@acapnotic@|@mittesuitsetaja@
@Acapulco gold@|@marihuaana@
@acardia@|@akardia, südame puudumine@
@Acarina@|@lestalised@
@Acarnan@|@Akarnaania@
@acarpous@|@viljakandmatu@
@acaudal@|@sabatu@
@acaudate@|@sabatu@
@acaudelescent@|@maapealse varreta@
@accede@|@ametisse asuma, järgi andma, soostuma@
@accede to@|@ametisse astuma@
@accede to the throne@|@troonile astuma@
@accelerando@|@accelerando (kiirenevalt)@
@accelerant@|@aktselerant, kiirendi@
@accelerate@|@kiirendama, kiirenema@
@accelerated@|@kiirendatud@
@accelerated procedure@|@kiirmenetlus@
@acceleratedly@|@kiirendatult@
@accelerating@|@kiirenev@
@acceleratingly@|@kiirenevalt@
@acceleration@|@aktseleratsioon, kiirendus@
@acceleration due to gravity@|@gravitatsioonikiirendus@
@acceleration of free fall@|@vaba langemise kiirendus@
@accelerator@|@aktseleraator, gaasipedaal, kiirendi@
@acceleratory@|@kiirenev@
@accelerometer@|@aktseleromeeter, kiirendusmõõtur@
@accent@|@aktsent, rõhk, rõhumärk ; rõhutama@
@accent mark@|@diakriitiline märk, rõhumärk@
@accented@|@rõhuline@
@accenting@|@rõhutamine@
@accentless@|@rõhutu@
@accentor@|@Prunella), raat (lind@
@accentuate@|@esile tooma, toonitama@
@accentuation@|@rõhk (sõnas)@
@accept@|@aktsepteerima, tunnustama ; saavutus, vastu võtma@
@accept a challenge@|@väljakutset vastu võtma@
@accept advice@|@nõu kuulda võtma@
@accept the responsibility@|@vastutust enda peale võtma@
@accept unquestioningly@|@vastuvaidlemata tunnustama@
@accept your fate@|@saatusega leppima@
@accept your lot@|@oma osaga leppima@
@acceptability@|@aktsepteeritavus, vastuvõetavus@
@acceptable@|@vastuvõetav@
@acceptably@|@vastuvõetavalt@
@acceptance@|@aktsept, heakskiit, nõusolek, vastuvõtt@
@acceptant@|@vastuvõtlik@
@acceptation@|@nõusolek, omaksvõtt, tähendus@
@accepted@|@omaksvõetud, tunnustatud@
@accepted fact@|@tunnustatud fakt@
@accepting@|@nurinata tunnustav@
@acceptive@|@vastuvõtlik@
@access@|@juurdepääs, ligipääs ; pöörduma@
@access board@|@landgang@
@access road@|@harutee, väljasõidutee@
@access time@|@pöördusaeg@
@access to@|@juurdepääs, ligipääs, luba@
@accessable@|@ligipääsetav@
@accessary@|@kaasosaline@
@accessibility@|@hõlbustus, kättesaadavus, ligipääsetavus@
@accessible@|@kättesaadav@
@accession@|@ametisseasumine, lisandus, vastuvõtmine@
@accession to power@|@võimulepääs@
@accessional@|@lisand-@
@accessions@|@uudiskirjandus@
@accessories@|@lisaseadmed, riideesemed@
@accessory@|@juurdekuuluv, kaasosaline, lisavarustus, tarvikud@
@accessory before the fact@|@kuriteo teadmatu kaasosaline@
@accidence@|@käänamisõpetus@
@accident@|@avarii, juhus, õnnetus@
@accident boat@|@valvepaat@
@accident insurance@|@avariikindlustus@
@accident of the sea@|@mereõnnetus@
@accident prone@|@avariiohtlik@
@accidental@|@juhuslik@
@accidental discovery@|@juhuslik avastus@
@accidentally@|@kogemata@
@accident-prone@|@avariiohtlik@
@accidents@|@ettenägematud asjaolud, äpardused@
@accidious@|@laisk@
@accinge@|@pihta hakkama@
@accipiter@|@haugas, kull@
@Accipiter@|@haugas@
@acclaim@|@heaks kiitma@
@acclaimed@|@heakskiidetud@
@acclimatisation@|@aklimatiseerumine@
@acclimatization@|@aklimatsioon@
@acclimatize@|@aklimatiseeruma@
@acclivitous@|@ülessuunas@
@acclivity@|@nõlvak, tõus@
@accolade@|@aumärk, ühenduskaar@
@accommodate@|@kohandama, majutama@
@accommodate to@|@vastuvõetav olema@
@accommodated@|@majutatud@
@accommodatingly@|@vastutulelikult@
@accommodation@|@kohanemine, kokkulepe, majutus@
@accommodation agency@|@kinnisvarabüroo@
@accommodation ladder@|@trapp@
@accommodations@|@eluruumid@
@accommodative@|@lepitustotsiv, vastutulelik@
@accompanied@|@saadetud@
@accompaniment@|@eskort, saade@
@accompanist@|@saatja@
@accompany@|@kaasnema, saatma@
@accompanying@|@kaasnev, saatev@
@accompanyist@|@klaverisaatja, saatja@
@accomplice@|@kaasosaline@
@accomplish@|@korda saatma, teostama@
@accomplishable@|@saavutatav, teostatav@
@accomplished@|@lõpetatud, meisterlik, tõestatud@
@accomplished fact@|@tehtud tegu@
@accomplishment@|@saavutus@
@accomplishments@|@oskused, saavutused, võimed@
@accord@|@kooskõla ; kooskõlastama, võimaldama@
@accordance@|@vastavuses, ühisel meelel@
@according@|@järgi@
@according to@|@andmetel, järgi, kohaselt@
@according to circumstances@|@vastavalt asjaoludele@
@according to custom@|@tava järgi@
@according to expectation@|@ootuspäraselt@
@according to law@|@seaduse järgi@
@according to reports@|@aruannete alusel@
@according to rule@|@vastavalt korrale@
@according to the contract@|@lepingu järgi@
@according to the evidence@|@tunnistuste järgi, tõendite alusel@
@accordingly@|@vastavalt@
@accordion@|@akordion@
@accordion door@|@lõõtsuks@
@accordionist@|@akordionist@
@accost@|@kõnetama, seksuaalteenust pakkuma@
@accouchement@|@sünnitus@
@accoucheur@|@akuöör@
@accoucheuse@|@akuöör@
@account@|@aruanne, arve, konto, seletus ; aru andma@
@account book@|@arveraamat@
@account for@|@aru andma, põhjendama@
@account payable@|@makstaolev summa@
@account receivable@|@saadaolev summa@
@accountability@|@aruandekohustus@
@accountable@|@aruandev, vastutav@
@accountancy@|@aruandlus, raamatupidamine@
@accountant@|@arveametnik, raamatupidaja@
@accounting@|@aruandlus, aruanne, arvepidamine, raamatupidamine@
@accounting period@|@aruandeperiood, majandusperiood@
@accounts payable@|@makstaolevad summad@
@accounts receivable@|@saadaolevad summad@
@accouter@|@relvastama, varustama@
@accoutered@|@relvastatud@
@accoutre@|@relvastama, varustama@
@accoutred@|@relvastatud@
@accoutrement@|@lisarõivastus, tundemärk@
@accoutrements@|@rõivastuse lisandid@
@accredit@|@akrediteerima, õigeks tunnistama@
@accreditation@|@akrediteerimine@
@accredited@|@akrediteeritud@
@accrete@|@kokku kasvama@
@accretion@|@juurdekasv, osaluse suurenemine@
@accrual@|@kuhjumine ; tekkepõhine, laekumine, lisandumine@
@accrual basis@|@arvepõhine (raamatupidamine)@
@accrue@|@juurde kasvama, lisanduma, omandusse minema@
@accrue from@|@välja kasvama@
@accrued@|@kogunenud@
@accrued dividend@|@kogunenud dividendid@
@accrued dividends@|@kogunenud dividendid@
@accrued interest@|@liitintress@
@accubation@|@pikutamine, süües naaldumine@
@accumbent@|@külitsi lebav, küünarnukile toetuv@
@accumulate@|@akumuleeruma@
@accumulated@|@kogunenud, kuhjunud@
@accumulating@|@akumuleeruv, kogunev@
@accumulation@|@akumulatsioon, kogunemine@
@accumulator@|@aku, akumulaator, koguja, salvesti@
@accuracy@|@täpsus@
@accurate@|@vigadeta, õige@
@accursed@|@neetud@
@accurst@|@neetud@
@accusal@|@süüdistus@
@accusation@|@süüdistus@
@accusatival@|@akusatiivi@
@accusative@|@akusatiiv, sihitis ; süüdistav@
@accusatory@|@süüdistav@
@accuse of@|@süüdistama@
@accuse yourself@|@ennast süüdistama@
@accused@|@süüalune@
@accuser@|@süüdistaja@
@accusingly@|@laitvalt, süüdistavalt@
@accustom@|@harjutama, kohandama@
@accustom yourself to@|@harjuma@
@accustomed@|@harjumuspärane, harjunud@
@accustomize@|@harjuma@
@accustoms@|@tavad@
@ace@|@äss, üks ; tipp-@
@ace in the hole@|@salakaart, varjatud ressurss@
@acedia@|@acedia (mõttelaiskus, loidus - surmapatt), tüdimus@
@aceldama@|@lahinguväli@
@acephalous@|@ilma peata, juhita@
@Acer@|@vaher@
@Aceraceae@|@vahtralised@
@acerate@|@nooljas, piklik@
@acerb@|@kibe@
@acerbate@|@kibestama, meeleheitele viima@
@acerbic@|@kibe, lõikav (hääl), salvav (märkus)@
@acerbically@|@kibedalt, salvavalt@
@acerbity@|@kibedus, salvavus@
@acerin@|@kiisk@
@acerose@|@nooljas, piklik@
@acetal@|@atsetaal@
@acetaldehyde@|@atseetaldehüüd@
@acetate@|@atsetaat@
@acetate rayon@|@atsetaatkangas@
@acetic@|@atsetaan-, äädikhappe-@
@acetic acid@|@äädikhape@
@acetic anhydride@|@etaananhüdriid@
@acetify@|@happeliseks muutma, hapustama@
@acetometer@|@atsetomeeter@
@acetone@|@atsetoon@
@acetose@|@äädikamaitseline@
@acetous@|@äädikamaitseline@
@acetyl@|@atsetüül (CH3CO radikaal)@
@acetylation@|@atsetüleerimine@
@acetylcellulose@|@atsetüültselluloos@
@acetylene@|@atsetüleen, etüün@
@acetylene burner@|@atsetüleenipõleti@
@acetylene generator@|@atsetüleenigeneraator@
@acetylization@|@atsetüleerimine@
@acetylsalicylic acid@|@aspiriin, atsetüülsalitsüülhape@
@Achaea@|@Ahhaia@
@Achaia@|@Ahhaia@
@ache@|@valu ; valutama@
@achievable@|@saavutatav@
@achieve@|@läbi raskuste teostama, saavutama@
@achieve inner harmony@|@sisemist tasakaalu saavutama@
@achieve satisfaction@|@rahuldust saama@
