@English@|@Gothic@
@attain@|@ga-tilôn, wv.@
@attend@|@and-bahtjan, wv.@
@attire@|@wast sf.@
@attract@|@at-þinsan, sv.@
@augment@|@bi-áukan, sv.@
@authentic@|@pistikeins, adj.@
@authority@|@waldufn sn.@
@avail@|@bôtjan, wv.@
@avaricious@|@faíhu-gaírns, adj.@
@avenge@|@fra-weitan, sv.@
@avenger@|@fra-weitands, m.@
@avenue@|@faúra-daúr sn.@
@avert@|@af-wandjan, wv.@
@await@|@us-beidan, sv., wênjan, wv.@
@awake@|@ga-waknan, wv., us-skawjan@
@awake from sleep@|@us-wakjan, wv.@
@away from@|@af, prep. c. dat.@
@away with: do ~@|@af-slahan, sv.@
@away: be run ~@|@af-taúrnan, wv.@
@away: go ~@|@af-gaggan, sv., af-leiþan, sv., afleiþan aljaþ@
@awestruck@|@us-gáisjan, wv.@
@axe@|@aqiz sf.@
@babbling@|@láusa-waúrde wf.@
@back@|@aftuma, adj.@
@backwards@|@afta, adv., aftra, adv.@
@bad@|@ubils, adj., un-wâhs, adj.@
@badly@|@ubilaba, adv.@
@balsam@|@balsan, sn.@
@band@|@band sf.@
@band of men@|@hansa, sf.@
@baptism@|@dáupeins, sf.@
@baptize@|@dáupjan, wv., uf-dáupjan, wv.@
@baptizer@|@dáupjands, m.@
@barley@|@baris@
@barley: of ~@|@barizeins adj.@
@barren@|@akrana-láus, adj.@
@basket@|@táinjô, wf.@
@basket of twigs@|@táinjô, wf.@
@be@|@waírþan, sv., wisan, sv.@
@be ~@|@dis-skritnan, wv.@
@be able@|@haban@
@be afraid@|@faúrhtjan, wv.@
@be anxious take care for@|@maúrnan, wv.@
@be better@|@máis wulþriza wisan@
@be cast@|@ga-driusan, sv.@
@be glad@|@sifan, wv.@
@be hid@|@ga-láugnjan, wv.@
@be ill@|@siukan, sv.@
@be left@|@af-lifnan, wv.@
@be like@|@ga-leikôn, wv.@
@be of good cheer@|@þrafstjan sik@
@be of more worth@|@máis wulþriza wisan@
@be sick@|@siukan, sv.@
@be silent@|@af-dumbnan, wv.@
@bear@|@baíran, sv., þulan, wv., us-baíran, sv., us-þulan, wv.@
@bear false witness@|@galiug weit-wôdjan, galiug weit-wôdjan@
@bear through@|@þaírh-baíran, sv.@
@bear up@|@hafjan, sv., uf-haban, wv.@
@bear witness@|@weitwôdjan, wv.@
@beast: wild ~@|@dius sn.@
@beat@|@bliggwan, sv., slahan, sv.@
@beautiful@|@skáuns, adj.@
@because@|@áuk, conj., du-þê, duþþê, conj., du þamma, du þamma, ni þê-e not, þat-ei conj., untê, conj.@
@because of@|@faúra@
@because that@|@þê-e conj.@
@become@|@waírþan, sv.@
@become dry@|@ga-staúrknan, wv., þaúrsnan, wv.@
@become full@|@fullnan, wv., ga-fullnan, wv.@
@become hardened@|@gi-srchanen@
@become parted@|@ga-skáidnan, wv.@
@become real@|@swikunþs waírþan@
@become rigid@|@gi-srchanen@
@become whole@|@ga-nisan, sv.@
@becoming@|@ga-dôfs, adj.@
@bed@|@bad sn., ligrs, sm.@
@befall@|@ga-daban, sv.@
@before@|@faúr, in and-waírþja@
@before that@|@faúr-þize conj.@
@beforehand@|@faúr-þis, adv.@
@beg@|@bidjan, sv.@
@beggar@|@þarba, wm.@
@begin@|@ana-stôdjan, wv., du-ginnan, sv., du-stôdjan, wv.@
@beginning@|@ana-stôdeins, sf., frums, sm.@
@behave@|@us-mitan, sv.@
@behaviour@|@us-mêt, sn.@
@behind@|@afta, adv., aftarô, adv., hindana, hindar@
@behind: from ~@|@aftana, adv., aftarô, adv.@
@behind: go ~@|@hindar-leiþan, sv.@
@behold@|@ga-saí£an, sv.@
@being@|@wists sf.@
@belief@|@ga-láubeins, sf.@
@believe@|@ga-láubjan, wv.@
@belittle@|@bi-hlahjan, sv.@
@belly@|@wamba, sf.@
@belonging@|@gáiteins, adj.@
@belongings@|@áihts, sf.@
@beloved@|@liufs, adj., walis, adj.@
@below@|@dalaþa@
@below: from ~@|@dalaþrô@
@bend@|@biugan, sv., ga-biugan, sv.@
@bend downwards@|@hneiwan, sv.@
@bend one's knees@|@kniwa lagjan@
@beneath@|@uf, prep. c. dat. and acc., undar, prep. c. acc.@
@benefit@|@dugan, pret.-pres., ga-batnan, wv., waíla-dêþs, sf.@
@bent@|@un-wâhs, adj.@
@beseech@|@áihtrôn, wv.@
@beset@|@bi-satjan, wv.@
@beside oneself: be ~@|@af-sláuþnan, wv.@
@best@|@batists, adj., frumists, adj.@
@betray@|@fra-lêwjan, wv., ga-lêwjan, wv., lêwjan, wv.@
@betroth@|@ga-wadjôn, wv.@
@better@|@batiza, adj.@
@beverage@|@dragk, sn.@
@bewail@|@flôkan, sv.@
@beyond@|@hindana, hindar, ufar, prep. c. acc. and dat.@
@bid@|@biudan, sv.@
@bind@|@bindan, sv., ga-bindan, sv., ga-widan, sv.@
@bind with ropes@|@in-sáiljan, wv.@
@bird@|@fugls, sm.@
@birthday@|@mêl gabaúr-þáis, mêl gebaúrþáis@
@birthing difficulties@|@fitan, sv.@
@birthplace@|@ga-baúrþs, sf.@
@bite@|@beitan, sv.@
@bitter@|@báitrs, adj.@
@bitterness@|@báitre wf.@
@black@|@swarts, adj.@
@blade of grass@|@gras, sn.@
@blame@|@and-beitan, sv., id-weitjan, wv.@
@blameless@|@un-áiwisks, adj.@
@blashpheme@|@waja-mêrjan, wv.@
@blasphemy@|@ana-qiss, sf., náiteins, sf., waja-mêreins, sf.@
@bless@|@ga-þiuþjan, wv., þiuþjan, wv.@
@blessed@|@áudags, adj., þiuþeigs, adj.@
@blessedness@|@áudage wf.@
@blessing@|@þiuþi-qiss, sf.@
@blind@|@blinds, adj., ga-blindjan, wv.@
@blind man@|@blinda, wm.@
@blind: become ~@|@ga-blindnan, wv.@
@blood@|@blôþ, sn.@
@blow@|@waian, sv.@
@blow a horn@|@haúrnjan, wv.@
@blow up@|@uf-blêsan, sv.@
@boast@|@£ôpan, sv.@
@boaster@|@bi-háitja, wm.@
@body@|@hrêo, leik, sn., qiþus, sm.@
@boldness@|@balþe wf.@
@bond@|@band sf., ga-bund sf., hæft, náudi-band sf.@
@bonds@|@eisarna bi fôtuns gabugana@
@border@|@marka, sf.@
@born@|@kunds, pp.@
@born of the earth@|@aírþa-kunds, adj.@
@bosom@|@barms@
@both@|@bái  num., bajôþs, num.@
@both...and@|@jah...jah@
@bottle@|@balgs, sm.@
@bottom: the ~@|@und dalaþ@
@bought@|@baúhta, wv.@
@boundary@|@marka, sf.@
@bow@|@hneiwan, sv.@
@boy@|@magus, sm.@
@braid@|@us-windan, sv.@
@branch@|@asts, sm., táins, sm.@
@brashness@|@balþe wf.@
@brave.@|@muotig@
@bread@|@hláifs, sm.@
@breadth@|@bráide wf.@
@break@|@brikan, sv., ga-brikan, sv.@
@break in pieces@|@dis-hniupan, sv.@
@break through@|@us-graban, sv.@
@breakfast@|@undaúrni-mats, sm.@
@breast@|@brusts, f.@
@breastplate@|@brunjô, wf.@
@brethren@|@brôþrahans, m. pl.@
@bride@|@brûþs, sf.@
@bridegroom@|@brûþ-faþs, sm.@
@bright@|@baírhts adj., liuhadeins, adj.@
@brighten@|@ga-liuhtjan, wv.@
@brightly@|@baírhtaba, adv.@
@brightness@|@baírhte wf.@
@bring@|@at-baíran, sv., at-tiuhan, sv., briggan, wv., ga-tiuhan, sv.@
@bring back@|@ga-wandjan, wv.@
@bring down@|@at-hafjan, sv.@
@bring forth@|@baíran, sv., ga-baíran, sv.@
@bring up@|@fôdjan, wv.@
@broad@|@bráiþs adj.@
@brother@|@brôþar, m.@
@brotherly love@|@brôþra-lubô, wf., brôþru-lubô@
@brought@|@brâhta, pret.@
@bruise@|@ga-malwjan, wv.@
@bud@|@keinan, sv.@
@buffet@|@káupatjan, wv.@
@build@|@timrjan wv.@
@build.@|@ga-timrjan@
@builder@|@timrja, wm.@
@building@|@ga-timrjô, wf.@
@bundance@|@ufarassus, sm.@
@bundle up@|@bi-windan, sv.@
@burden@|@kaúriþa, sf.@
@burial@|@ga-filh, sn., us-filh, sn.@
@burn@|@brinnan, sv., ga-brannjan, wv., in-brannjan, wv.@
@burn up@|@in-tandjan, wv.@
@burnt-offering@|@ala-brunsts, sf., sáuþs, sm.@
@bury@|@filhan, sv., ga-filhan, sv.@
@bushel@|@mêla, wm., mitaþs, sf.@
@but@|@ak conj., ake conj., aþþan, conj., iþ, conj., þar-uh, conj.@
@buy@|@bugjan, wv., us-bugjan, wv.@
@buy out@|@us-bugjan, wv.@
@by@|@af, prep. c. dat., at, prep. c. acc. and dat., bi, fram, prep. c. dat., miþ, prep. c. dat., þaírh, prep. c. acc., wiþra, prep. c. acc.@
@by hands@|@un-handu-waúrhts, adj.@
@by means of@|@þaírh, prep. c. acc.@
@by no means@|@niþê haldis@
@byre@|@ala-brunsts, sf.@
@Caesar@|@káisar, sm.@
@calf@|@kalbô, wf., stiur, sm.@
@call@|@at-wôpjan, wv., háitan, sv., hrôpjan, wv., laþôn, wv., wôpjan, wv.@
@call on@|@ana-háitan, sv.@
@call one@|@at-háitan, sv.@
@call together@|@ga-háitan, sv., ga-laþôn, wv.@
@calm (of the sea)@|@wis, sn.@
@calm: remain ~@|@ana-silan, wv.@
@camel@|@ulbandus, sm.@
@cancer@|@gunds, sm. or sf.@
@candle@|@lukarn, sn.@
@candlestick@|@lukarna-staþa, wm.@
@canker@|@gunds, sm. or sf.@
@captain@|@þûsundi-faþs, sm.@
@capture@|@fra-hinþan, sv.@
@care@|@kara, sf., saúrga, sf.@
@care for@|@karôn, wv.@
@careless@|@un-karja, w. adj.@
@carpenter@|@timrja, wm.@
@carrion@|@hrêo@
@carry@|@at-baíran, sv., baíran, sv., dragan, sv., hafjan, sv.@
@carry through@|@þaírh-baíran, sv.@
@cast@|@ga-waírpan, sv., waírpan, sv.@
@cast a shadow@|@skadwjan, wv.@
@cast aside@|@af-waírpan, sv.@
@cast away@|@af-waírpan, sv., fra-waírpan, sv.@
@cast down@|@af-dráusjan, wv., at-waírpan, sv., ga-waírpan, sv.@
@cast forth@|@us-waírpan, sv.@
@catch@|@ga-fâhan, sv., ga-niutan, sv.@
@catch with nets@|@ga-niutan, sv.@
@catch: a ~@|@ga-fâhs, sm.@
@catcher of fishes@|@nuta, wm.@
@cattle@|@faíhu, sn.@
@cause@|@faírina, sf.@
@cause to run@|@rannjan, wv.@
@cause to stumble@|@marzjan, wv.@
@cautious@|@anda-þâhts, adj., war@
@cave@|@filigri sn., grôba, sf.@
@cease@|@sweiban sv.@
@ceaseless@|@un-sweibands, pres. part.@
@celestial@|@himina-kunds, adj.@
@centurion@|@hunda-faþs, sm.@
@certain@|@gi-wis@
@chaff@|@ahana, sf.@
@chain@|@náudi-band sf.@
@chair@|@sitls, sm.@
@chamber@|@hêþjô, wf.@
@change@|@in-máideins, sf., in-máidjan, wv.@
@charge@|@£ôtjan, wv., and-beitan, sv., faírina, sf., us-qiss, sf.@
@charity@|@arma-hairtiþa, sf.@
@chastity@|@swikniþa, sf.@
@cheek@|@kinnus, sf.@
@cheerful@|@blîde@
@cherish@|@ga-þláihan, sv., warmjan, wv.@
@chest@|@arka, sf.@
@chief@|@faúr-stasseis, sm., faúra-maþleis, sm., máists, adj.@
@chief council@|@ga-faúrds, sf.@
@chiefly@|@þis-hun, adv.@
@chief-priest@|@ufar-gudja, wm.@
@child@|@barn, sn., baúr, sm.@
@childhood@|@barnisk sn.@
@childish@|@barnisks adj., niu-klahs, adj.@
@childless@|@un-barnahs, adj.@
@children: have ~@|@barna ussatjan@
@choke@|@af-£apjan, wv.@
@choked: be ~@|@af-£apnan, wv.@
@choose@|@ga-waljan, wv., kiusan, sv., waljan, wv.@
@chosen@|@walis, adj.@
@church@|@alhs, sf.@
@cinders@|@azgô, wf.@
@circumcise@|@bi-máitan, sv.@
@circumcision@|@bi-máit, sn.@
@circumspect@|@anda-þâhts, adj.@
@citizen@|@baúrgja, wm.@
@city@|@baúrgs, f.@
@clay@|@þâhô wf.@
@clean@|@hráins, adj.@
@clean: make ~@|@hráinjan, wv.@
@cleanse@|@ga-hráinjan, wv., hráinjan, wv.@
@cleansing@|@ga-hráineins, sf.@
@clear@|@skeirs, adj.@
@clearly@|@baírhtaba, adv.@
@cleave@|@haftjan, wv.@
@clever@|@handugs, adj.@
@cleverness@|@handuge wf.@
@cloak@|@hakuls, sm.@
@close@|@falþan, sv., lûkan, sv., nê£a, prep. c. dat.@
@close by@|@nê£, adv.@
@close to@|@miþ, prep. c. dat.@
@clothe@|@ga-wasjan sik, wv., wasjan, wv.@
@clothing@|@wast sf.@
@cloud@|@milhma, wm.@
@coast@|@marka, sf.@
@coat@|@páida, sf.@
@cock@|@hana, wm.@
@coin@|@áiz, sn., skatts, sm.@
@cold@|@kalds, adj.@
@collect@|@ga-gaggan, sv.@
@collect treasures@|@huzdjan, wv.@
@collectively@|@alakjô, adv.@
@come@|@af-gaggan, sv., du-at-gaggan, sv., ga-leiþan, sv., qiman, sv.@
@come  pass@|@waírþan, sv.@
@come after@|@afargaggan, sv.@
@come down@|@at-steigan, sv.@
@come gether@|@ga-qiman, sv.@
@come here@|@hirjats@
@come here!@|@hiri@
@come out@|@us-leiþan, sv.@
@come through@|@þaírh-gaggan, sv.@
@come towards@|@at-haban, wv.@
@come ye here! (pl.)@|@hirjiþ@
@comfort@|@ana-þrafstjan, wv., ga-þláihan, sv., ga-þrafsteins, sf., þrafstjan, wv.@
@comforter@|@paraklêtus, sm.@
@command@|@ana-biudan, sv., faúr-biudan, sv., háit sf., háitan, sv.@
@commanding@|@háit, sn.(-hait)@
@commandment@|@ana-b sf.@
@commit@|@ana-filhan, sv.@
@commodities@|@áigin, sn.@
@common@|@ga-máins, adj.@
@community@|@ga-máindûþs, sf.@
@companion@|@ga-juka, wm., ga-man, sn., ga-sinþja wm.@
@company@|@hansa, sf.@
@compare@|@ga-baíran, sv., ga-leikôn, wv.@
@comparison@|@ga-jukô, wf.@
@compel@|@náuþjan, wv.@
@complain@|@hiufan, sv.@
@complete@|@us-fulljan, wv.@
@conceal@|@filhan, sv., ga-filhan, sv., ga-huljan, wv., huljan, wv.@
@concerned about: be ~@|@karôn, wv.@
@concerning@|@bi, faúr@
@condemn@|@ga-dômjan, wv., ga-wargjan, wv.@
@confess@|@and-háitan, sv.@
@connectedly@|@ga-hâhjô, adv.@
@conscience@|@ga-hugds, sf., miþ-wisse wf.@
@consent@|@ga-qiss, sf.@
@consenting@|@ga-qiss, adj.@
@consequently@|@nu, adv.@
@consider@|@ga-kunnan, wv., haban, hugjan, wv., mitôn, wv., munan, wv.@
@considering@|@mitôns, sf.@
@consolation@|@laþôns, sf.@
@console@|@ga-þláihan, sv., ga-þrafsteins, sf., þrafstjan, wv.@
@consultation@|@ga-rûn sn.@
@container@|@aúirkeis sm.@
@contend@|@jiukan, wv.@
@contender@|@sôkareis, sm.@
@continually@|@sinteinô, adv.@
@contrary to@|@anda-neiþs, adj.@
@convenient@|@ga-tils, adj.@
@conveniently.@|@ga-tilaba, adv.@
@coppersmith@|@áiza-smiþawm@
@copperworker@|@áiza-smiþawm@
@corn@|@£áiteis, sm., atisk, sn., kaúrn, sn., kaúrnô, sn.@
@corner@|@waíhsta, wm.@
@cornfield@|@atisk, sn.@
@corpse@|@hrêo, leik, sn., náus, sm.@
@corrupt@|@fra-waírþan, sv., fra-wardjan, wv.@
@costly@|@filu-ga-láufs@
@couch@|@ligrs, sm.@
@counsel@|@ga-rûn sn., rêdan, sv.@
@counsellor@|@ragineis, sm.@
@count@|@ga-raþjan, sv., rahnjan, wv.@
@countenance@|@an-sîen, wlits, sm.@
@country@|@land, sn.@
@countryman@|@gáuja, wm., in-kunja, wm.@
@courage: have ~@|@ana-nanþjan, wv.@
@course@|@runs, sm.@
@court@|@gards, sm.@
@covenant@|@triggwa, sf.@
@cover@|@ga-huljan, wv., huljan, wv.@
@covetousness@|@bi-faíhô wf., faíhu-frike wf., faíhu-gaírne wf.@
@craftiness@|@lists, sf.@
@crafty@|@listeigs, adj.@
@create@|@ga-skapjan, sv.@
@creation@|@ga-skafts, sf.@
@creature.@|@ga-skafts, sf.@
@crooked@|@wráiqs, adj.@
@cross@|@galga, wm.@
@crow@|@hrukjan, wv.@
@crowd@|@hiuhma, wm., manage wf., þreihan, sv.@
@crown@|@wáips, sm., weipan, sv., wipja, sf.@
@crucify@|@us-hramjan, wv.@
@crucify with@|@miþ ushramjan@
@crumb@|@draúhsna, sf.@
@cry out@|@aúhjôn, wv., hrôpjan, wv., uf-hrôpjan, wv., uf-wôpjan, wv., wôpjan, wv.@
@cubit@|@aleina, sf.@
@cuff@|@káupatjan, wv.@
@cunning@|@listeigs, adj.@
@cup@|@aúirkeis sm., stikls, sm.@
@currency@|@skatts, sm.@
@curse@|@fluohôn, wv., fra-qiþan, sv., ubil qiþan@
@curtail@|@ga-maúrgjan, wv.@
@curtain@|@faúra-hâh sn.@
@custom@|@môta, sf., sidus, sm.@
@custom-house@|@môta, sf.@
@cut@|@máitan, sv., sneiþan, sv.@
@cut down@|@us-máitan, sv.@
@cut off@|@af-maitan, sv.@
@cut short@|@ga-maúrgjan, wv.@
@cut-off@|@af-sneiþan, sv.@
@daily@|@sinteins, adj.@
@damage@|@ana-mahtjan, wv.@
@damsel@|@mawi, taleiþa@
@dance@|@láiks, sm., plinsjan, wv.@
@dancing@|@láiks, sm.@
@dangerous@|@sleideis adj.@
@dare@|@ana-nanþjan, wv., daúrsan, pret.-pres., ga-daúrsan, pret.-pres.@
@dare: I ~@|@ga-dars, pret.-pres.@
@dark@|@riqizeins, adj., swarts, adj.@
@darken@|@ge-nîpan@
@darkened@|@riqizjan, wv.@
@darkness@|@riqis, riqiz, sn.@
@dash against@|@ga-stagqjan, wv.@
@dash up against@|@waltjan, wv.@
@daughter@|@daúhtar, f.@
@daughter-in-law@|@brûþs, sf.@
@day@|@dags, sm.@
@-day@|@himma daga, himma daga@
@day: the next ~@|@afardags, sm.@
@dead@|@dáuþs, adj.@
@dead body of a warrior@|@dryht-nê@
@dead: almost ~@|@aftumists habanp@
@deaf@|@báuþs adj., dáufs, adj.@
@deaf: become ~@|@af-dáubnan, wv.@
@deaf: make ~@|@ga-dáubjan, wv.@
@deafen@|@af-dáubnan, wv.@
@dear@|@liufs, adj.@
@death@|@dáuþus, sm.@
@death: danger of ~@|@dáuþeins, sf.@
@death: point of ~@|@aftumists habanp@
@death: put to ~@|@dáuþjan, wv.@
@decade@|@tigus, sm.@
@decease@|@ur-runs, sf.@
@deceit@|@liute wf.@
@deceitful@|@hindar-weis, adj.@
@deceitfulness@|@af-marzeins, sf., hindar-weise wf.@
@deceive@|@aírzjan, wv., hôlôn, wv.@
@deceived: be ~: astray: led ~@|@aírzeis wisan@
@deceptiveness@|@af-marzeins, sf.@
@decieve@|@af-airzjan, wv.@
@declare@|@ga-baírhtjan, wv.@
@decline@|@hneiwan, sv.@
@decorate@|@raetew(i)an@
@decree@|@ga-grêfts, sf., ragin, sn.@
@deed@|@dêþs, sf., ga-dêþs, sf., ga-waúrk sn., tau sn., waúrstw, sn.@
@deep@|@diups, adj.@
@defence@|@sunjôns, sf.@
@defile@|@ga-ga-máinjan, wv., ga-máinjan, wv.@
@deliberate@|@rêdan, sv.@
@deliver@|@at-giban, sv., láusjan, wv.@
@deliverance@|@fra-lêts, sm.@
@deluge@|@midja-sweipáins, sf.@
@demon@|@skôhsl, sn., un-hulþa, wm., un-hulþô, wf.@
@demonstrate@|@us-táiknjan, wv.@
@den@|@filigri sn., grôba, sf.@
@dense@|@un-wits, adj.@
@deny@|@af-qiþan, sv., in-widan, sv., láugnjan, wv.@
@depart@|@af-leiþan, sv., af-linnan, sv., af-standan, sv., ur-rinnan, sv., us-gaggan, sv.@
@depart from@|@ushafjan sik jáinþrô@
@departure@|@ur-runs, sf.@
@depth@|@diupe wf., diupiþa, sf.@
@deride@|@bi-hlahjan, sv.@
@descend@|@at-gaggan, sv., at-steigan, sv.@
@descent@|@fadreins, sn.@
@desert@|@áuþida, sf., aúþs, adj.@
@desire@|@áihtrôn, wv., gaírnjan, wv., lustôn, wv., lustus, sm., sôkjan, wv.@
@desirous@|@gaírns, adj.@
@despise@|@fijan, wv., fra-kunnan, uf-brikan, sv.@
@despised@|@fra-kunþs, pp.@
@despoil@|@bi-ráubôn, wv., fra-waírþan, sv.@
@destroy@|@dis-tahjan, wv., fra-qistjan, wv., fra-wardjan, wv., ga-taíran, sv., us-qiman, sv. dat. or acc.@
@destroyed : be ~@|@fra-qistnan, wv.@
@destruction@|@ga-taúrþs, sf.@
@determine@|@ráidjan, wv.@
@devil@|@diabaúlus, un-hulþa, wm., un-hulþô, wf.@
@devour@|@fra-itan, sv.@
@devout@|@guda-faúrhts, adj.@
