@Somali@|@English@
@akhdar@|@green@
@akhir@|@postpone@
@akhlaaq@|@behavior (1)@
@akhri@|@read@
@akid@|@approve@
@alaab@|@objects@
@alab@|@custom@
@alalad@|@dream@
@albaab@|@entrance@
@albaab@|@enclosure for stock, entrance@
@albaab@|@door@
@albaab@|@door@
@aleeggad@|@singing@
@alif@|@1st letter of Arabic alphabet@
@alifba@|@alphabet@
@alifle@|@officer@
@alkun@|@invention@
@alkun@|@invent, fiancee@
@alla@|@God@
@allah@|@God@
@alle@|@God@
@aloosi@|@arrange, organize@
@alwaax@|@wood@
@alxanka@|@welding@
@ama@|@or@
@amaah@|@credit@
@amaahi@|@lend@
@amaaho@|@borrow@
@amaamud@|@invent@
@amaamud@|@invention@
@amaan@|@security@
@amaano@|@safekeeping@
@amakaag@|@be astonished, amazement@
@amar@|@command, order@
@amardiidnimo@|@insubordination@
@amarti@|@arrogance@
@ambabbax@|@departure@
@amley@|@dagger@
@ammaan@|@peace, praise@
@ammiir@|@chief@
@ammin@|@period@
@ammuur@|@matter@
@amuur@|@matter@
@anaga@|@we@
@anbabbax@|@departure, leave@
@anbasho@|@getting lost@
@anbo@|@place face down@
@anfac@|@be useful, usefulness@
@aniga@|@I, me@
@anigale@|@mine@
@annaga@|@us@
@annagale@|@ours@
@anoo@|@I and@
@ansac@|@act of pushing, push@
@anshax@|@ethics@
@anshax@|@good manners@
@anshaxxumo@|@bad manners@
@anshi@|@conduct@
@anwaac@|@types@
@anwaac@|@kinds@
@aq@|@hunger@
@aqaan@|@I know@
@aqal@|@portable, house@
@aqbal@|@accept@
@aqoon@|@knowledge@
@aqoonni@|@a familiar person@
@aqoonsan@|@to know@
@aqoonsi@|@knowledge@
@aqoonyahan@|@scholar@
@aqoonyahanka@|@scholar@
@aqraab@|@foreigners@
@aqraab@|@strangers@
@ar@|@lion@
@arad@|@married woman@
@arag@|@see, sight@
@aragti@|@view@
@arami@|@suffering@
@arar@|@introduction@
@arbush@|@bother, trouble (1)@
@arbushid@|@acting out@
@ardaal@|@stupid person@
@ardaalnimo@|@stupidity@
@arday@|@student@
@ardey@|@student@
@ardo@|@group of students@
@areg@|@see@
@argagax@|@terrified@
@ari@|@goats and sheep, goat@
@arji@|@petition@
@arkaan@|@the five pillars of Islam@
@arkay@|@saw@
@arki@|@to llok@
@arki@|@to see@
@arkid@|@gaze@
@arkid@|@observation, look@
@arkid@|@look@
@arlo@|@country, world@
@arlo@|@world@
@arlo@|@land@
@armaajo@|@cupboard@
@aroor@|@tomorrow, dawn, draw water@
@aroos@|@wedding, marriage, marry@
@aroosad@|@bride@
@arrimaha@|@matters@
@arrimaha@|@the things@
@arrimi@|@make a decision@
@arrin@|@matter@
@arwaax@|@be happy, exhilaration@
@arwaax@|@be pleased@
@arxan@|@be kind to, sympathy@
@asal@|@dye, origin@
@asaraar@|@argument(1), argument (1)@
@asbaaba@|@reasons@
@ascaarta@|@prices@
@ashkir@|@horse@
@ashtakood@|@complain@
@askar@|@soldiers@
@asli@|@origin@
@asluub@|@manners@
@astaad@|@teacher@
@astaan@|@puntuation@
@asuul@|@rule@
@atam@|@atom@
@atleetiko@|@athletics@
@aw@|@father@
@awaaji@|@announce@
@awaal@|@expectation (2), prediction, expect (1)@
@awaal@|@guess, predict, expect (1), prediction@
@awaal@|@prediction@
@awal@|@before@
@Away barku?@|@Where is the bar?@
@Away makhsinkeygu?@|@Where is my room?@
@Away xeebtu?@|@Where is the beach?@
@awlkii@|@gazelle@
@awood@|@capability@
@awoowe@|@grandfather@
@awow@|@grandfather@
@awr@|@camel@
@axad@|@person@
@axdi@|@promise@
@axmaq@|@fool@
@axwaal@|@conditions@
@axwaal@|@situations@
@ay@|@bushes, she, her, they, them@
@ayaan@|@day, luck@
@ayeeyo@|@grandmother@
@ayid@|@support (2)@
@ayid@|@approve@
@B@|@chest@
@ba@|@be spoiled@
@baaayir@|@liar@
@baaba@|@be eliminated@
@baabuur@|@automobile@
@baabuur@|@automobile@
@baad@|@be late, pasture@
@baad@|@be tardy, tax, tribute, protection money@
@baaddil@|@evil, wickedness@
@baaddil@|@wickedness@
@baadh@|@search@
@baadidoon@|@investigation, study@
@baadidoon@|@study@
@baadiggoob@|@look for@
@baadiggoob@|@search (1), look for@
@baadil@|@evil@
@baadisooc@|@branch@
@baadisooc@|@mark@
@baadiye@|@countryside@
@baah@|@expansion, spread out, expand@
@baahi@|@need@
@baahi@|@hunger@
@baajiyo@|@postpone@
@baal@|@wing@
@baalal@|@wing@
@baallee@|@be beside@
@baan@|@nutritious food, give a speech@
@baaq@|@greeting, greet@
@baaqi@|@leftover@
@baaqi@|@remainder@
@baaquli@|@bowl@
@baaquli@|@box@
@baar@|@examine, palm tree, tree, river palm@
@baarax@|@plain@
@baarax@|@level ground@
@baari@|@pressure@
@baarid@|@investigation@
@baaris@|@research@
@baarista@|@philology@
@baaritaan@|@analysis@
@baaro@|@inspect@
@baarran@|@talk@
@baarran@|@speech@
@baarrimasho@|@excuses@
@baarrimasho@|@justification@
@baas@|@problem, spoiled, rotten@
@baasaboor@|@passport@
@baatul@|@extravagance, spend extravagantly@
@baaxad@|@width@
@baaxad@|@size@
@baayac@|@bargain@
@baayac@|@trade@
@baayacmushtari@|@merchant@
@babac@|@crossing@
@babac@|@diagonal, place face down@
@babac@|@slope@
@bacaad@|@sand@
@bacad@|@sand dune@
@bacrin@|@fertile land@
@bacudo@|@hip@
@bad@|@sea, compel@
@badan@|@many@
@badar@|@grain@
@badasho@|@intensification@
@badasho@|@multiplication@
@badbaad@|@be safe@
@badbaado@|@safety@
@badda@|@the sea@
@baddal@|@chance, change@
@baddhac@|@fisherman@
@badeecad@|@merchandise@
@badh@|@half, part (1), divide@
@badhaadh@|@be prosper, be happy (1), prosper, be impatient@
@badhadho@|@potato@
@badheedh@|@frankness@
@badhtan@|@center@
@badhtan@|@middle@
@badi@|@increase, majority@
@badiye@|@duplicating machine@
@badnaan@|@multiplication@
@bado@|@increase@
@badweyn@|@ocean@
@badxir@|@dam@
@badyaro@|@lake, gulf@
@bah@|@siblings@
@bahal@|@wild animal, lion@
@bahol@|@well@
@bahol@|@hole@
@bahol@|@pit@
@bahoob@|@become related@
@bahu@|@hole@
@bahu@|@pit@
@bahu@|@well@
@baji@|@scare@
@bakaar@|@underground@
@bakayle@|@rabbit@
@bakhaar@|@storeroom@
@bakhtii@|@extinguish@
@bakhtii@|@kill, strangle@
@bakhtii@|@strangle@
@bakool@|@red earth@
@bal@|@ok@
@balanbaalis@|@butterfly@
@balanbal@|@be in suffer@
@balanbal@|@be in trouble@
@balashi@|@feast@
@balki@|@example@
@ballaadh@|@sapace@
@ballaadh@|@breadth@
@ballaadh@|@width@
@ballaadhi@|@broaden@
@ballaadhi@|@widen@
@ballaar@|@width@
@ballaari@|@widen@
@ballac@|@width@
@ballami@|@make arrangements@
@ballan@|@arrange, promise@
@ballanbaaji@|@break a promise@
@ballanbaajis@|@breach of promise@
@ballandarro@|@failure to fulfill a promise@
@ballangal@|@commitment@
@ballaq@|@open wide@
@balli@|@pond@
@balqan@|@saliva@
@balqo@|@spill@
@bam@|@bomb@
@bamban@|@machine gun@
@bambo@|@bomb@
@ban@|@diarrhea, field, open space, plain@
@banban@|@machine gun@
@banbax@|@demonstration@
@banbiiro@|@rubber@
@bandhaw@|@display@
@bandheys@|@bandage@
@bandhig@|@display, exhibition@
@bandiirad@|@flag@
@bandiirad@|@banner@
@bangi@|@bank@
@banjoog@|@wild animal@
@bannaan@|@clearing@
@bannaanbax@|@congregate@
@bannee@|@clear a path@
@baq@|@be afraid, spoiling of milk@
@baqad@|@flee, run away@
@baqad@|@run away@
@baqal@|@mule@
@baqas@|@prosperity@
@baqasho@|@fear@
@baqayya@|@be afraid@
@baqdin@|@fear@
@baqo@|@fear@
@baqo@|@flee from danger@
@baqtiin@|@killing@
@bar@|@half, speck, teach, halve@
@baraar@|@excuse, lamb@
@baraare@|@prosperity@
@baraarug@|@startled@
@baraaruji@|@wake up@
@barad@|@apprentice@
@barad@|@trainee@
@barad@|@pupil@
@baradhdho@|@potatos@
@baraf@|@snow, sleet, hail@
@baraf@|@ice@
@barafood@|@freeze@
@barafuun@|@perfume@
@barakayn@|@act of blessing@
@barakee@|@bless@
@barambaro@|@cockroach@
@barar@|@swell@
@barar@|@swelling@
@bararo@|@well-being@
@bararo@|@prosperity@
@barasaab@|@governor@
@barasho@|@learning@
@Barasho wacan@|@nice to meet you@
@barbaar@|@become adult@
@barbaari@|@tame@
@barbaari@|@bring up@
@barbaari@|@rear, raise, tame@
@barbaari@|@raise@
@barbar@|@side, side (1), shoulder@
@barbardhig@|@put side by side@
@barbardhig@|@compare@
@barbarro@|@parallel lines@
@barbarro@|@sides@
@bardad@|@terrify@
@bardad@|@scare, terror@
@bardooddame@|@athlete@
@bardooddan@|@athletics, sport@
@bardooddan@|@game, play, dance, sport@
@bare@|@teacher@
@bareer@|@act deliberately, deliberation@
@bari@|@buttocks, east, entreat@
@barid@|@instruction@
@barii@|@morning@
@barii@|@dawn@
@bariid@|@rice@
@bariidi@|@greet@
@bariido@|@greeting@
@bariin@|@safety@
@bariis@|@rice@
@baris@|@teaching@
@barkadhac@|@have a stiff neck, stiff neck@
@barkhad@|@something very useful@
@barkin@|@pillow@
@barko@|@rest head@
@barnaamij@|@program@
@baro@|@familiar environment, learn, study@
@barood@|@be critically ill, critically ill person@
@barooro@|@mourn@
@barqin@|@late morning@
@barqo@|@late morning@
@barriqo@|@fall over@
@barriqo@|@slip@
@bartame@|@middle, center@
@bartan@|@center@
@barwaaqo@|@prosperity@
@barxad@|@empty field@
@baryaqaad@|@chewing@
@baryo@|@please, begging@
@bas@|@bus, dry up@
@basaas@|@spy@
@basal@|@onion@
@basar@|@behavior@
@basarxumo@|@bad strategy@
@basarxumo@|@misbehavior, bad manners@
@basbaas@|@pepper@
@basbaaska@|@chili pepper@
@bashaash@|@outgoing@
@bashbash@|@prosperity@
@bashiic@|@ajar@
@baskiil@|@bicycle@
@baskiilad@|@bicycle@
@baso@|@bald, crown of the head@
@basole@|@bald person@
@bataato@|@potato@
@bataax@|@desert@
@batar@|@type of dance@
@bateri@|@battery@
@batiikhoob@|@ripen@
@batrool@|@petrol@
@batroolbax@|@petrol consumption@
@bawdo@|@thigh@
@bax@|@concord, exist, go out@
@baxaalli@|@behavior@
@baxar@|@ocean@
@baxar@|@sea@
@baxsanaan@|@excellence@
@baxsanaan@|@distinction@
@baxsasho@|@escape@
@baxsi@|@distinguished person@
@baxso@|@escape@
@bayaan@|@clarity@
@bayddi@|@wealth@
@baydh@|@turn@
@bayooloji@|@biology@
@bayr@|@impatience, antilope, musk deer@
@bayuur@|@scandal@
@bead@|@necklace@
@bead@|@bead@
@bed@|@safety@
@beddel@|@chance, change, exchange@
@beddelaad@|@chance, change@
@beddelan@|@be changed@
@beddelo@|@exchange@
@beder@|@race@
@bedertan@|@race, compete@
@bedli@|@substitute@
@beec@|@sale, price@
@beec@|@price, sale@
@beec@|@deal, price@
@beed@|@egg@
@beegan@|@coincide@
@beekhaan@|@thrive@
@beel@|@loss, settlement@
@beel@|@lose@
@beeldaaje@|@leader, chief@
@beeldaaje@|@chief@
@beelid@|@losing@
@been@|@lie@
@beenee@|@refute@
@beeq@|@observe@
@beeq@|@know@
@Beer@|@a beer please, garden, farm, liver@
@beer xanuun@|@hepatitis@
@beeraley@|@farmers@
@beero@|@farm@
@beey@|@gray@
@belaayad@|@calamity@
@belaayo@|@difficulty@
@belbel@|@blaze@
@belbel@|@flame@
@beled@|@town@
@bend@|@God@
@beni@|@hut@
@beni@|@penny, hut@
@beretan@|@race@
@beri@|@time (1)@
@berri@|@tomorrow@
@berrin@|@ruins@
@berrito@|@tomorrow@
@bes@|@enough@
@betrool@|@petroleum@
@bey@|@gray@
@beyd@|@house@
@beynaad@|@bayonet@
@beytalmay@|@toilet@
@bida@|@witch-doctor@
@bidaal@|@expect (1)@
@bidaal@|@think, expect (1)@
@bidaal@|@guess, expect (1)@
@bidaar@|@bald@
@biddad@|@female slave@
@bidde@|@male slave@
@bidhaan@|@appearence@
@bidix@|@left side@
@big@|@spark@
@big@|@flash@
@biic@|@trade@
@biic@|@business@
@biici@|@sell@
@biid@|@bit, morsel@
@biid@|@a little@
@biid@|@morsel@
@biil@|@bill@
@biime@|@challenge@
@biir@|@beer, increase@
@biiraan@|@be increased@
@biiris@|@accumulation@
@biiro@|@accumulation@
@bijaama@|@pajamas@
@bikrad@|@virgin@
@bikrad@|@unmarried girl@
@bil@|@month, moon, promote@
@bilaab@|@start@
@bilaaban@|@be started@
@bilaabasho@|@beginning@
@bilaabo@|@get started@
@bilaad@|@country@
@bilaad@|@land, country@
@bilaash@|@free@
@bilad@|@new moon@
@biladdaye@|@mirror@
@biladdaye@|@telescope@
@bilaw@|@beginning@
@bilbil@|@spraying@
@bilbil@|@spray@
@bilcan@|@married woman@
@bilic@|@prettiness@
@bilig@|@flashing@
@bilig@|@bliking, twinkle@
@biliq@|@scatter@
@bilkeedo@|@chance@
@billad@|@medal@
@bilmatal@|@example@
@bilo@|@brackets@
@biloow@|@begin, start@
@biloow@|@start@
@biloow@|@beginning@
@bilyan@|@billion@
@bir@|@iron, steel, pupil of the eye, metal@
@birbir@|@sparkle@
@birbir@|@twinkle@
@birbir@|@flicker, twinkle@
@birbir@|@blink@
@birbir@|@flash@
@birdanab@|@magnet@
@biriir@|@forehead@
@biriq@|@lightning@
@birjiko@|@cooking stove@
@birlab@|@steel@
@birmad@|@emergency assistance@
@birmasho@|@rescue@
@biro@|@iron@
@birri@|@land (as opposed to sea)@
@birtaawo@|@pan@
@bisad@|@cat@
@bisayl@|@ripe@
@bisha@|@the month@
@bishaaree@|@congratulate@
@bishaaro@|@congratutalion@
@bishin@|@lip@
@biskood@|@ripen@
@bismillee@|@begin with a blessing@
@bixi@|@take out@
@bixid@|@going@
@bixin@|@supply@
@bixitin@|@departure@
@bixitin@|@leaving@
@biyaxir@|@dam@
@biyayarood@|@scarcity of water@
@biyo@|@water@
@bocoolaggurad@|@argument(1), argument (1)@
@bog@|@page, finish, side, slap@
@bogaad@|@enjoyment, satisfy, cheer@
@bogdoox@|@shortcut@
@bogo@|@finish@
@bogsasho@|@healing@
@bogso@|@heal@
@bohol@|@ditch@
@boholaddumin@|@discouraging@
@boji@|@relax, rest@
@bojiino@|@relaxation, rest@
@bokk@|@rain@
@bokk@|@rain@
@bolobolo@|@duck@
@bolol@|@decay@
@boob@|@rob@
@boob@|@robbery@
@booc@|@throat@
@bood@|@jump@
@booddo@|@jumping@
@boodeen@|@whitten@
@boodh@|@dust@
@boodo@|@flea@
@boog@|@ulcer@
@boojimo@|@captive@
@boojin@|@capture@
@booli@|@rob, stolen goods@
@booliis@|@police@
@boolis@|@police@
@booloboolo@|@duck@
@boon@|@low caste people@
@booqasho@|@visit@
@booqo@|@visit@
@boor@|@dust, pit, bore, drill@
@booraan@|@deep hole@
@boorrin@|@blodness@
@boorrin@|@courage@
@boorso@|@scholarship@
@boorso@|@purse@
@boos@|@old@
@boosto@|@post office@
@bootaan@|@dust@
@bootin@|@jumping@
@boowe@|@elder brother@
@booyaan@|@chatter, meaningless talk@
@Boqnuhu miyay ku bararaan?@|@Do your ankles swell?@
@boqol@|@one hundred, hundred@
@boqolaad@|@hundredth@
@boqolkiiba@|@percent@
@boqollaal@|@hundreds@
@boqon@|@ankle@
@boqor@|@king, make kind, crown@
@boqorad@|@queen@
@boqortooyo@|@kingdom@
@boroobagando@|@propaganda@
@break to bits@|@break to bits@
@brofessoor@|@professor@
@bucle@|@slow running@
@bucshiro@|@commerce@
@bucshiro@|@trade@
@bud@|@grave@
@budee@|@grind, pound@
@budee@|@pound@
@budo@|@flour@
@budul@|@powder@
@bug@|@slap@
@bugto@|@ailemt, ailment@
@bugux@|@west@
@buk@|@become ill@
@bukaan@|@sick person@
@bukaanqaad@|@ambulance@
@bukhshad@|@envelope@
@buko@|@be sick@
@bukood@|@be sick@
@bul@|@tassel, hut@
@bulaal@|@multiply@
@bulaal@|@expand, multiply@
@bulaan@|@nonsense talk, speak nonsensically@
@bullaale@|@horse@
@bullaale. faraw@|@horse@
@bullaale. faraw@|@horse@
@bulshannimo@|@sociability@
@bulshee@|@socialize@
@bulsho@|@society@
@buluug@|@blue@
@buluuki@|@blue@
@bulxan@|@cheerful conversation, talk cheerfully@
@bun@|@coffee@
@bundad@|@bale, bundle@
@bundad@|@bundle@
@bunt@|@rifle@
@buqcad@|@plot of land@
@buqshad@|@envelope@
@buqshad@|@parcel@
@bur@|@flour, wheat@
@buraash@|@brush@
@buraashad@|@canteen@
@buraashad@|@flask@
@buraddee@|@give extra@
@burbur@|@become broken, fragments@
@burburi@|@crumble@
@burburin@|@ravaging@
@burcad@|@butter, thieves@
@burco@|@sandy hill, dune, earth@
@buri@|@annul@
@burjuwaasi@|@bourgeois@
@burjuwaasiyad@|@bourgeoisie@
@burri@|@cigar@
@burris@|@hammer@
@burshaan@|@hill@
@burunji@|@lean meat@
@buruud@|@luck@
@buryo@|@foreskin@
@bus@|@to dust@
@busaarad@|@poverty@
@buseel@|@crave@
@buseel@|@craving@
@bushi@|@sickness@
@bushin@|@lip@
@buskud@|@biscuit@
@buskud@|@cookie@
@buskud@|@cracker@
@bustaan@|@garden@
@bustaan@|@park@
@buste@|@blanket@
@butaaco@|@gush@
@buubsad@|@chasing@
@buubso@|@chase@
@buug@|@book@
@buuga@|@book@
@buugaghaye@|@librarian@
@buul@|@hut@
@buul@|@nest@
@buulo@|@village@
@buun@|@horn@
@buuni@|@religious scholar@
@buunto@|@bridge@
@buuq@|@noise, make noise@
@buur@|@mountain@
@buuri@|@tobacco@
@buurnaan@|@obesity@
@buurnoow@|@become fat@
@buusbuus@|@indentations@
@buusbuus@|@crush, dents@
@buusbuus@|@dent@
@buux@|@be full, fullness@
@buuxin@|@act of filling@
@C@|@chase@
@caabid@|@worshipper@
@caabuq@|@swelling@
@caabuq@|@infection@
@caac@|@be drenched@
@caad@|@cloud, lava@
@caadbax@|@emergence@
@caaddil@|@just, impartial person@
@caadeyso@|@get accustomed to@
@caadi@|@normal@
@caadi@|@ordinary@
@caadinimo@|@similarity@
@caadinimo@|@normalcy@
@caado@|@custom@
@caafimaad@|@get better@
@caafimaadi@|@cure, heal@
@caafimaadi@|@heal@
@caafiyad@|@health@
@caag@|@abstain@
@caaji@|@satisfy@
@caaji@|@fulfill, satisfy@
@caajis@|@be lazy, laziness@
@caalami@|@universe@
@caalami@|@universal, world@
@caalami@|@world@
@caalgas@|@abandon@
@caalgas@|@give up@
@caalin@|@scholar, surrender@
@caamo@|@illiterate@
@caamo@|@uneducated person@
@caan@|@fame@
@caanaggaleen@|@breasts@
@caannimo@|@fame@
@caano@|@milk@
@caanyeys@|@chewing@
@caaq@|@fool@
@caaqibee@|@helping@
@caaqibee@|@assisting@
@caaqibo@|@usefulness, goodness@
@caaqibo@|@goodness@
@caaqil@|@chief@
@caaqilnimo@|@wisdom@
@caaqnimo@|@stupidity@
@caarad@|@tip@
@caarad@|@edge (1)@
@caarif@|@expert@
@caariyeysasho@|@borrowing@
@caariyeysi@|@borrowing@
@caariyeyso@|@borrow@
@caariyo@|@loan@
@caaro@|@spider@
@caarranaan@|@strength@
@caashaq@|@love@
@caashaq@|@love (1)@
@caasimadda@|@capital city, non-practicing a religion@
@caasinimo@|@disobedience@
@caasiy@|@be rebellious@
@caato@|@thin@
@caawa@|@tonight@
@caawey@|@this evening@
@caawi@|@help (1)@
@caawimo@|@help (1)@
@caawin@|@assist@
@caay@|@abuse@
@cab@|@drink@
@cabaad@|@scream@
@cabasho@|@complaining@
@cabatin@|@complaint@
@cabb@|@drink@
@cabbaar@|@short while@
@cabbanaan@|@incapability@
@cabbanan@|@weakness@
@cabbee@|@fill up@
@cabbir@|@measure@
@cabbir@|@measurement@
@cabbiri@|@passenger@
@cabburi@|@sniff@
@cabdo@|@soul@
@cabo@|@complain@
@cabsasho@|@fear@
@cabsi@|@fear@
@cabsigal@|@panic@
@cabsigeli@|@frighten@
@cabsigelin@|@intimidation@
@cabsii@|@frighten@
@cabsiin@|@act of scaring@
@cabso@|@fear@
@cad@|@part, portion@
@cad@|@portion, part@
@cadaab@|@hell, punish@
@cadaadin@|@harass, repressing@
@cadaadis@|@harassment@
@cadaawe@|@enemy@
@cadad@|@number@
@cadar@|@perfume@
@cadaw@|@enemy@
@cadceed@|@sun@
@caddaalad@|@justice@
@caddaan@|@white, caucasian@
@caddad@|@quantity@
@caddad@|@to number@
@caddayn@|@statement@
@caddee@|@make white@
@caddeyn@|@proof@
@caddib@|@disturbance, annoy, annoyance@
@caddib@|@annoyance, annoy, disturb@
@caddib@|@disturb, disturbance, annoy@
@caddibaad@|@causing difficulties@
@caddil@|@delay@
@caddilan@|@be delayed@
@caddo@|@full moon@
@caddow@|@become white@
@cadee@|@mince@
@cadheysii@|@annoy, anger (1)@
@cadhood@|@be angry@
@cadiin@|@fat, white@
@cadow@|@enemy@
@cadrad@|@girl@
@cafi@|@pardon@
@cafimaad@|@health@
@cag@|@foot@
@cagaag@|@be barefoot, prickly plant@
@cagaaji@|@chase@
@cagaar@|@green, green grass@
@cagaarshow@|@eye disease@
@cagaf@|@crawl@
@cagajiid@|@walk slowly@
@cagajuglee@|@threaten@
@cagcagee@|@kick@
@cagi@|@now@
@cagsi@|@opposite@
@cagsi@|@contrary@
@cahdi@|@agreement@
@cajab@|@marvel@
@cajam@|@all non-Arab people@
@cajami@|@non-Arab person@
@cajar@|@thigh@
@cajiib@|@wonder@
@cajiib@|@marvel@
@cajiin@|@dough, make dough@
@cajis@|@laziness@
@cajuus@|@old man@
@cajuusad@|@old woman@
@cajuusad@|@old hag (derogatory)@
@cakis@|@stopping@
@caksi@|@contrary, opposite@
@calaacal@|@complain, lament, palm of the hand@
@calaal@|@weakness@
@calaal@|@deficiency, weakness@
@calaamad@|@sign@
