@English@|@Yoruba@
@accuracy@|@ìÿedédé, ìÿegëgë@
@accurate@|@dédé, pé, ÿánsán@
@accure@|@dá-lé, èlé, èrè@
@accusation@|@êsùn, ìbáwí, ìfisùn@
@accusative@|@irú èlò gírámà kan@
@accuse@|@fisùn, kà sí lörùn@
@accused@|@arúfin@
@ache@|@fí-fö, ríro@
@achieve@|@ÿe-parí, ÿe-tán@
@achievement@|@àÿeparí, àÿetán, oríre@
@acid@|@kan, kíkan, mú@
@acknowledge@|@gbà, jêwö@
@acknowledgement@|@gbígbà ìjúbà, ìjêwô@
@acne@|@eéwo êrêkë@
@acorn@|@ìrúgbìn igi óákù@
@acquaint@|@báló bíi ojúlùmõ, fi-hàn, mú-yé, sô-fún@
@acquaintance@|@ìfihàn ojúlùmõ, õrë@
@acquire@|@dé ibê, jèrè, rà@
@acquisition@|@èrè, ohun ìní@
@acquit@|@dá láre, dásílê, jö-löwö@
@acquittal@|@ìdáláre, ìdásílê, ìjõlöwö@
@acrobat@|@alágèéré, eléré ìtàkìtì@
@acrobatics@|@eré ìtàkìtì@
@across@|@láti êgbë kan dé èkejì, níbubu, rékôjá lórí@
@act@|@ìÿe, ÿeré@
@action@|@ìpè-lëjö, ìwà, ìÿe@
@active@|@lakanloju, lápôn, nítara, yára, ÿìÿe ÿaápôn@
@activist@|@alámúÿe@
@activity@|@aápôn, akán, àmúÿe-iÿê ìyára, àmúÿêÿe@
@actor@|@òÿeré@
@actress@|@eléré, òÿeré@
@actual@|@àtôwödá, gangan@
@actually@|@gan-an, nítòótö, pàápàá@
@acunpuncture@|@ìfi abërë gún ní lára, irú ìwòsàn ìlù ìwõ- oòrùn@
@acute@|@lóró, mímú le@
@adamant@|@lórí-kunkun, ní dandan@
@adapt@|@mú bádögba, mú ye@
@adaptable@|@ní mímúye@
@adapter@|@alámùúye, ohun tí mú bádögba@
@add@|@bùkún, bùsí, fi-sí, fikún, ròmö@
@add to this food@|@bù sí oúnje yìí@
@add two plus two@|@ro eéjì põ mö eéjì@
@addict@|@enití ó fëràn ñýkan láfêëjù@
@addiction@|@àfësódì, ìfë ìpanilára, ìfëkúfêë@
@addition@|@àrolu, àròpõ, ìfikún, ìròpõ, ìÿirò@
@additional@|@àfikún, rírolu, ríròpõ@
@additive@|@àfikún, àlùmö@
@addled@|@g@
@address@|@ìbá-sõrõ, ibi ìkõwé sí, kõwé-sí, õrõ sísô@
@adequate@|@tó-fún@
@adhesive@|@àlêmö, ìlêmö, ohun tí a lè fi le nkan@
@adjacent@|@lágbègbè, lëêbá, nítòsí@
@adjective@|@õrõ àpéjúwe@
@adjourn@|@sísún ìpàdé síwájú, yíyê sí àkókò mìíràn@
@adjust@|@tò-lësese, tún ÿe@
@adjustable@|@títò-lësese, títún ÿe@
@adjustment@|@ìtòlêsese, ìtúnÿe@
@administer@|@pín-fún, ÿe ìpínfúnni@
@advice@|@ìm ràn@
@ailment@|@àìsàn àrùn@
@air@|@òfúrufú; aféfé; ojú sánmà@
@alarm@|@àfòiyà@
@alien@|@àjèjì, àjòjì@
@alive@|@ààyè@
@also@|@w@
@American Indian@|@àwôn onílë ìlú Amêríkà Índìànì@
@an inheritance@|@ogún@
@and@|@àti@
@angel@|@ángèlì@
@animal@|@eran; édá elèémí@
@answer@|@dáhùn, èsi, fèsì@
@ant@|@èèrà@
@antelope@|@àgb nrín@
@any@|@enìkan@
@anybody@|@enìkan@
@apple@|@èso òro òyìnbó@
@arm@|@apá@
@arrival@|@àb@
@arrow@|@ofà@
@article of clothing@|@aso@
@as@|@bí@
@ash@|@eéru@
@ask@|@b@
@ask for@|@b@
@assemblage@|@àwùjo@
@at that place@|@ib@
@average@|@àárín@
@await@|@dè@
@axe@|@àáké@
@baboon@|@ìnàkí, iro, õbô lágídò@
@baby@|@ômô, ômô-jòjòló, ômô-ôwö@
@baby (1)@|@nígbàtí mo wà ní ômô-ôwö, ômô kékeré jòjòló@
@bachelor@|@àpön@
@back@|@êhìn, êhìn ôgbà, lëhìn, têhìn@
@back(1)@|@põn sëhìn, ràn löwö, tìlëhìn@
@backbone@|@egungun êhìn@
@background@|@ìpìlê, ipó êhìn  ìpilê@
@backpack@|@àpamö ìwé ômô iléwèé, àpò@
@backwards@|@ìfàsëhìn, padàsëhìn@
@bacon@|@eran ara elëdê tí a fi iyö sí@
@bacteria@|@kòkòrò àìsàn  afàìsàn@
@bad@|@burú, burúkú, ÿàìdára  búburú@
@badge@|@àmì@
@baffle@|@dà-rú, sô-dasán, tàn-je@
@bag@|@àpò, àpò, õkë@
@baggage@|@erù@
@baggy@|@ÿíÿò, ÿò@
@bail@|@adúrófúnni, ìdúró-fúnni, ìgbowó, onigbowó@
@bailiff@|@ìjòyè, ológò, ôlöpàá, onídàájö@
@bait@|@ìde, ìjë, ìwõ@
@bake@|@dín, sè, yan@
@baker@|@adín-ýkan, adínkàrà, alásè@
@bakery@|@ilé alákàrà, ilé àsè, ilé ìse àkàrà@
@balance@|@ìyókù, ôgbôgba, wön lögbôgba@
@balcony@|@àgbàlá, õdê, òde lókè ilé pêtësì, õdêdê@
@bald@|@àìnírunlórí, àìÿelöÿõö, apárí, pípárí@
@ball@|@böõlù, ìÿù, ohun ìÿeré ômôdé@
@balloon@|@ôkõ ófúrufú aláfëfë gbígbóná@
@ballot@|@ìbò, ìwé ìdìbò@
@bamboo@|@eìko, õpá, ôparun, pàko@
@ban@|@dádúró, fi-bú, ìfilö ní gbañgba, ìfòfin dè, ìgégùn@
@banana@|@õgêdê-weeré, õgêdê were@
@band@|@èdìdì, egbë onílù tàbí bëmbê òyìnbó, ìgbánú, õjá@
@band (1)@|@egbê, ìpéjô õpõ ènìyàn@
@bandage@|@ìrépé aÿô ìfi di ôgbë@
@bandit@|@aláìlófin, alönilöwögbà, olè, ôlôÿà@
@banish@|@lé kúrò ní ìlú, lé lô, rán jáde@
@bank@|@bánkì, bèbè, etí odò, ilé ìpamö owó@
@banker@|@õgá ilé ìfi owó pamö sí@
@bankrupt@|@ajigbèsè, enití owó bàjê mö löwö@
@bankruptcy@|@ìbàjë owó@
@baptism@|@gbígba ènìyàn sínú ìjô krístì, ìrísínú omi@
@baptize@|@rì-sínú omi, rì bô omi, sàmì sí lí orúkô Mêtalôkan@
@bar@|@ìfilô ni, ilé  ôtí títàilé  ôtí, irin tàbi igi gbô@
@barbarian@|@aláìgbédè, aláìmòye, ènìyànkénìyàn@
@barbaric@|@ìwà-àìmòye, ìwà àìlajú, ìwà ará oko@
@barber@|@afárí, afárun, agerun, fárífárí, onígbàjámõ, oníwòlímõ@
@bare@|@láìbò, níhòhò@
@barefoot@|@láìníbàtà, lësê lásán, lësê òfìfo@
@barely@|@agbára-káká, eku-káká, káká@
@bargain@|@ìdùná-dùrà, ìpínhùn, pànpá@
@barge@|@ôkõ ìgbájá@
@bark@|@èpo igi, gbígbó bí ajá, gbó bí ajá@
@barley@|@irú ôkà kán@
@barn@|@abà, àká@
@barracks@|@ilé àwôn ômô-ogun@
@barrel@|@àgbá@
@barren@|@yàgàn, ÿáláìléso@
@barricade@|@ìdínàìsagbáradìagbàrà@
@barrier@|@ìdínàagbáraalà@
@barrister@|@agbçjörò, amòfin, löyà@
@bartender@|@ôlötí, òÿìÿë ilé ìmutí@
@barter@|@ÿe pàÿípàrõ@
@base@|@ibi àkójô ohun ogun, ilé àwôn ômô-ogun, ìpìlê, ìsàlê@
@basement@|@ìpìlë ilé ìsàlë@
@bashful@|@lójútì, nítìjú@
@basic@|@ìpìlê@
@basically@|@nípa ìpìlê@
@basin@|@awo kòtòadógun omi@
@basis@|@ìpìlê@
@basket@|@agb n, agbõn, apêrê@
@bat@|@àdán ode@
@bath@|@ìwê@
@bathdrobe@|@aÿô ìbora àwölékè aÿô ìwösùn@
@bathe@|@wê@
@bathroom@|@balùwê@
@bathtowel@|@aÿô ìnura@
@battle@|@ìjà, ogun@
@battlefield@|@ogun, ojú ogun@
@battleship@|@ôkõ ogun@
@bay@|@ìyàwö omi òkun sínú ilé@
@bazaar@|@ôjà gbàngbàn@
@be@|@sí, wá@
@be afraid of@|@b rù@
@beach@|@etí òkunêbá òkun@
@beak@|@enu eye ìmú agogo eye@
@beam@|@ìtànsan òòrùn, ìtí igi@
@bean@|@eèré, êwà àwùjê@
@bear@|@eranko nlá ní ilê òtútù, gbê  bí  rôjú faradájìyàs@
@bearable@|@ìfaradàìrôjú@
@beard@|@irùngbõn@
@bearing@|@èlò onírin nínú ërô@
@bearings@|@ìmönàmímönà@
@beast@|@eranko elësê mërin, eranko ènìà@
@beast (1)@|@ènìà tí nhùwà eranko@
@beat@|@fô borí, ìnà, lílù, lù, nà@
@beating@|@lílùnínà@
@beautiful@|@arewà, dídáralêwàelêwàrewàarewà, lëwà (ní ewà), rewà@
@beauty@|@dídára, ewà, õÿö@
@beaver@|@éranko bíì öyà@
@because@|@nítorí, nítorítí@
@become@|@bádé-sídídárayesô-di@
@bed@|@ìbùsùn, ìrögbökúàkétépèpèlé, ìsalê odò@
@bedding@|@aÿô ibùsùn@
@bedroom@|@iyàrá ìbùsùn, iyêwu, yàrá@
@bedtime@|@àkókò sísùn alêìgbà orun@
@bee@|@kòkòrò oyin, oyin@
@beef@|@eran-màlúù@
@beehive@|@ilé-oyinafárá oyin@
@beer@|@ôtí àgbàdo, ôtí òyìnbó, ÿêkêtê@
@beet@|@ohun ögbìn òyìnbó kan@
@beetle@|@öböunbôùn@
@before@|@kí ó tó, lójú, níwájú, níwájú, ÿíwájú@
@beg@|@b, bêbê, tôrô, ÿagbe@
@beggar@|@alágbe, atôrôje, atúlêje, oní-bárà@
@beginner@|@alákõöbêrê@
@beginning@|@àkôbërë, àtètèkôÿe, ìbërë nkan, ìpilëÿe, ìÿëdálë@
@behave@|@hùwàlò@
@behavior@|@ìhùwàsíìwàìwá-ayéìbêwôsí@
@behind@|@lëhìn@
@bicycle@|@básíkùlù@
@bid@|@b@
@big@|@nlá; tóbi; gbórin@
@bind@|@dì@
@bird@|@eiye, eye@
@blank@|@funfun@
@blind@|@af jú@
@blood@|@êjê, j@
@blue@|@èjè, òféfeàwò. ojú òrun@
@body@|@ara@
@bone@|@eegun@
@book@|@ìwé@
@boot@|@bàtà@
@boss@|@baba, ìjòyè@
@bottle@|@ìgò@
@box@|@àpótí@
@bread@|@àkàrà òyìnbóonjebúrèdì@
@bridge@|@afá, afárá@
@brother@|@egbon@
@brown@|@irú àwò kanàwò dúdú@
@bull@|@ako màlúù@
@butterfly@|@labalábá@
@cabbage@|@êfö òyìnbó@
@cabin@|@àgö, yàrá, yàrá inú ôkõ@
@cabinet@|@àpótí ohun öÿô, ìgbìmõ ìjôba@
@cable@|@okùn tàbí ëwön ìdákö dúró@
@cactus@|@igi ôrô@
@café@|@ilé ìjeun@
@caffeine@|@èlò ìmu kánilára, èlò ìrúsókè, èlò kíkorò inú obì@
@caffeine(1)@|@èlò ìrúsókè ara@
@cage@|@àgö kuku, ilé eye@
@cahairman@|@aláàga, olórí àjô, olórí àpéjô@
@calculate@|@kà, ÿírò@
@calculation@|@ìÿirò, kíkà@
@calculator@|@ërô ìÿirò@
@calf@|@iÿu esê, ogodo, ômô màlúù@
@call@|@ìpè, na ohùn sí, pè, tê lágogo@
@calm@|@ìdákê íparôrô ìrölè, rôlëdákê@
@calmness@|@ìdákêjêjêìdákê rôrô@
@camel@|@ràkùnmíibakasie@
@camera@|@ërô ìyàwòrán@
@camouflage@|@farapamôbadeni@
@camp@|@àgö, bùdó, dó, ibùdó@
@campaign@|@papa nlaìgbà ogunÿá ogunÿá ötë@
@campsite@|@àgö, ibùdó@
@campus@|@ôgbàôgbà nlá ilé ìwé@
@can@|@agolo, lè, páánú, tanganran@
@can opener@|@ërô tàbí öbe ìÿí agolo@
@canal@|@odó lílà@
@cancel@|@nù-kúròpa-ré@
@cancellation@|@ìparêìnùkúròìsôdòfo@
@cancer@|@akanalakasaàrùn búburú kan@
@candid@|@dájúlótítôláìÿëtánlódodo@
@candidate@|@ênití nfê wô inú egbê tàbí iÿê@
@candle@|@àbëlà, fìtílà@
@canister@|@agolo, páànù@
@cannibal@|@ajênìyàn@
@cannibalism@|@jíje ènìàìwà jíje ènìyàn@
@cannon@|@ìbôn nlààgbá@
@canoe@|@ôkö  ôkö wétèìgbájá@
@canvas@|@aÿô aláìkúnáìgbòkun, ìgbòkun ìkun àwòrán@
@canyon@|@ilë jíjìn láarín òkè méjì@
@cap@|@fìlà, ìborí, ìderí, ìderíômôrí@
@capability@|@agbáraàyè@
@capable@|@toìlèÿelágbáralóyenípá@
@capacity@|@agbáraipáàyè@
@cape@|@ÿónÿó ilê tí ó yôrí sínú omi@
@cape (1)@|@ìlékè aÿoìpèléëwù èjìká@
@capital@|@òkòwòowó-ìlélë@
@capitalism@|@nípa ÿíÿe òwòohun òkòwö@
@capitalist@|@ôlörõ, olówó@
@capsize@|@dojúbolëri ôködojúdéyípo@
@captain@|@olórí egbêögáköögágunbalógun@
@captive@|@elêwön, erú, ìgbèkùn, ondè@
@captivity@|@ìkólërú, oko-erú@
@capture@|@mú lêrúfi agbára mú@
@car@|@ôkö aláfêkëkêmôtò òrénté@
@caravan@|@egbê ôkö aláfê@
@carburettor@|@ërô tí mú ôkö rìnërôìdákörìn@
@carcass@|@òkú ènìàòkú eran@
@card@|@ìwé pelebe   káàdì@
@cardboard@|@páálí@
@care@|@aájò, àbójútó, àníyàn, ìtöjú@
@career@|@iÿé ìgbé ayé@
@carefree@|@láìníyàn@
@careful@|@kún fún àníyànÿôra@
@carelessness@|@áfaraàìbìkítààìwolë@
@caress@|@ìfàmôraìkêìgbàmôraìfôwôpalára@
@cargo@|@erù ôkö@
@carnation@|@irú òdòdó kan@
@carnival@|@ibi ôjà ìdárayá@
@carp@|@ìjiyànìríwísíìbáwíirú eja kan@
@carpenter@|@afági, gbênàgbênà, oníÿônà igi@
@carpentry@|@iÿê igiiÿë gbênàgbênà@
@carpet@|@aÿô wúwo ìtêsílëaÿô ìbùsùn@
@carriage@|@këkê elêÿinìwà  ìÿesí@
@carriageway@|@önà têrê këkê çlêÿin@
@carrier@|@kòkòrò tí nmú àrùn tàn@
@carrot@|@ohun ògbìn kan@
@carry@|@gbé rùpönkó@
@cart@|@këkê  erù elêsë méjì@
@cartilage@|@òkérékèré@
@carton@|@pálí@
@cartoon@|@àwòrán àrofö@
@cartridge@|@àpótí ôta ìbôn@
@carve@|@gbêfínkun@
@case@|@àpótíàkö, ejôìbáwíjô@
@cash@|@owó, ÿê-owólo ipò@
@cashier@|@onítôjú owóaköwé tí nsan owó@
@casino@|@gbàngàn tëtë@
@casket@|@pósíàpótí kékeré@
@cast@|@dá àgbëde@
@castle@|@ààfinilé ìÿô@
@castrate@|@të ní ödátë ní bààfin@
@casual@|@alábàápàdéàìronú têlë@
@casuality@|@ení farapaení kú lójú ìjà@
@cat@|@ológbò, ológìnní@
@catalog@|@ìwé orúkôìwé ìpolówó ôjà@
@catastrophe@|@àgbo ákò@
@catch@|@mú dá-dúrórámúhángán@
@category@|@êyà@
@cater@|@pèsè onje@
@caterpillar@|@öökùnkòkòrò@
@cathedral@|@ilé ìjôsìn nlá@
@Catholic (1)@|@onígbàgbô ësìn ti ènìà gbogbo@
@cattle@|@eran ösìn@
@cauliflower@|@ohun ögbìn òyìnbó kan@
@cause@|@dá sílëmú ÿebá wá, ìdí, ìtorí@
@cautious@|@níÿôraníwòye@
@cavalary@|@ogun elêÿin@
@cave@|@ihò nínú àpátaihò inú ilë@
@cavern@|@ihò nísàlë ilë@
@cavity@|@ihò inú ehín@
@cease@|@dáwôdúrówawôÿíwôdá dêkundàböyé@
@cedar@|@igi òpepe@
@ceiling@|@àjà ilé, òkè àjà, òkè àjààjà ilé@
@celebrate@|@ÿèrántíkókìkíÿôdún nkanÿènáwó@
@celebration@|@ayeye  ìnáwóìyìn ìrántíàÿà@
@celery@|@ohun ögbìn òyìnbó kan@
@celibacy@|@wíwà ní àpônàìyígbéyàwóÿíÿapôn@
@cell@|@êyà-ara, ôgbà êwõn@
@cement@|@amö líle@
@cemetery@|@ìtê òkúibi ìsìnkúìtê@
@censor@|@ìbáwí@
@censure@|@bá-wí@
@census@|@kíkaye ènìà ìlú@
@center@|@àárínagbedeméjì@
@centimeter@|@irú ìwön kan@
@centipede@|@öökùntani-ÿánko@
@central@|@láarínlágbedeméjì@
@centralize@|@ÿe sí àárínfi sí agbedeméjì@
@centre@|@àárín@
@century@|@ôgôrun ôdún@
@ceramic@|@ohun èlò amö@
@cereal@|@irú oúnje àárö kan@
@ceremonial@|@ÿíÿe àpéjôÿíÿe ìsìn@
@ceremony@|@ìÿe ìsìnàmì òde ti ìsìnato@
@certain@|@dájú@
@certainty@|@ìdánilójúàìÿiyèméjì@
@certificate@|@ìwé èríohun ërí@
@certification@|@íjêërísí@
@certify@|@jêëríròhìnmú dájú@
@chain@|@êwõn, ìkôlura-àdëhìnbö@
@chair@|@àga, ágaìjoökó@
@chalk@|@efun@
@challenge@|@ìpèníjàìfìjàlöìtôniníjàìfòláyà@
@challenger@|@olùpeniníjàapeniníjà@
@challenging@|@tí npèníjàtí nfì jàlö@
@chamber@|@iyàráìyëwù@
@champagne@|@orúkô ôtí líle kan@
@championship@|@ìÿe ögágunÿíÿe aÿájú ìjà@
@change@|@ìyípadàìparadà, pàrö owóìpàrö, yípadàparadà@
@changeable@|@ti nyípadàtí nÿe pàÿípàrö@
@channel@|@ërô àwörántelefísön@
@chaos@|@ìdàrúdàpötëmbëlëkúnjúujùu@
@chaotic@|@ní rúdurùdu@
@chapel@|@ilé Ôlörun kékeré@
@chapter@|@orí ìwéìpín ìwé@
@character@|@ìwàorúkôènìà@
@characteristic@|@ti ìwà@
@charcoal@|@èédú igi@
@charge@|@ësùnìlöìfisùn, fún-lágbára, ìdíyeléìnákúnàá@
@charge (1)@|@díyeléÿe ìnákúnàá, ìpàÿe fún, kà sí lôrùnfisùn@
@charity@|@ìfêniôre-àánúìyônuohun-ôre@
@charm@|@òògùn  oñdètíràògèdèìfàyà@
@charming@|@nífàyànífaláyàtí ó wu ni@
@chart@|@ìwé àwòrán àpere@
@charter@|@háyà@
@chat@|@bá-söröwírèégbè, ìrégbèìbásörö@
@cheap@|@pöwôpöàìwônàìníyelórí@
@cheat@|@rë-je, tàn-je, yànje@
@check@|@ìdádúróìkíwô, iwe ìgbowó ní bánkì@
@checkpoint@|@ibi ìdánidúró lêëbá önà@
@checkup@|@àtúnwòàtúnyëwò@
@cheek@|@êrêkë@
@cheer@|@ìmúninínúdùnayöìtúraká@
@cheerful@|@dídárayátújúkálôyàyà@
@cheese@|@wàràkàsì@
@cheetah@|@eranko ìgbê kan@
@chemical@|@èlò ìpìlë tí a finmúohun míràn, ti èlò àfôgbôn dá@
@chemist@|@apògùn  elégbògi@
@chemistry@|@irú ëkô kan@
@cherry@|@irú èso òyìnbó kan@
@chess@|@irú eré kan tí àñta lórí ôpôn@
@chest@|@àpótí@
@chew@|@fi ehín rúnrún lênuje@
@chewing gum@|@ohun ìpanu aládùn@
@chicken@|@adìye, ômô adìye.@
@chickenpot@|@ôfà ÿöpönnáilëgbôná@
@chief@|@aÿíwájúolóríolúögáalákò, ìjòyè, ìjòyè, ósoolóríolóyèpàtàkì@
@chiefly@|@ní pàtàkì@
@child@|@èwe, ômô, ômôdé@
@childbirth@|@ìbímô@
@childhood@|@àkókò ômôdéìgbà èwe@
@childish@|@ìÿe ômôdébí ômôdébí èwe@
@children@|@awon omode@
@chimpanzee@|@irú öbô kan@
@chin@|@àgbön, ìgbön@
@China@|@ìlú ilê àwôn Sainí@
@chinney@|@ihò èéfín@
@chip@|@ërún igi, ërún òkúta, ërún wíníwíní@
@chocolate@|@kòkó lílö tí a fí ñpanu@
@choir@|@egbë akôrin@
@choise@|@yíyànàÿàyànayò@
@choke@|@fún lôrùnhá lôfun@
@cholera@|@irú àrùn kankôlêrà@
@choose@|@yàn ÿà@
@chop@|@gé wêwêgé pópòpó@
@choppy@|@àìdán@
@chopsticks@|@igi àgúnje@
@chord@|@okùn dùrù@
@chorus@|@egbê orin   (ègbè orin)@
@Christ@|@Krístì@
@Christianity@|@ìsìn Krístì@
@Christmas@|@ôjö ìbí Krístì@
@chronic@|@pípê títídi àrùndi bárakú@
@chronicle@|@ìwé ìtànìròhìn@
@chronological@|@lêsese@
@chunck@|@ìÿù@
@church@|@ile Olorum@
@churchyard@|@ôgbà ilé ìjôsìn@
@chute@|@ihò alágolo nlá@
@cigar@|@sìgá, tábà@
@cigarette@|@tábà inú ewésìgá@
@cinder@|@eérú@
@circle@|@àyíkáòrùkaòbìrìkìtì, yíká@
@circuit@|@ìyíká@
@circular@|@bí òbìrìkìtìkibitikiribiti@
@circulation@|@ìÿànyíkàÿíÿàn ëjë yíkà ara@
@circumcise@|@kônílà kôlà-fúndákó-fún@
@circumference@|@ìyíká@
@circumstances@|@örànohun ÿíÿë@
@citation@|@ìwé ìkìlö@
@cite@|@pò-fin@
@citizen@|@ará ìlúonílùúaráalë@
@citizenship@|@nípa ará ìlúdídi ará ìlú@
@city@|@ìlú, ìlú nlá@
@civil servant@|@oníÿê ìjôba@
@civil service@|@iÿê ìlú@
@civil war@|@ìjà abêlëìjà-ìlúìjà ìgboro@
@civilian@|@ará ìlú@
@civilization@|@ìlàjú@
@civilized@|@õlàjú@
@claim@|@béèrè ohun tí ìÿé tçni, ìbéèrè ohun tí ìÿé tçni@
@claimant@|@enití ó pe nkan ní tirë@
@clamp@|@dè-môle, oñdè onírin@
@clan@|@ëyà, ìdílé@
@clap@|@ìró àtêwô, pàtëwö@
@clapping@|@pípàtêwô@
@clarification@|@ìsôdi mímöìÿelàjúÿíÿe àlàyé@
@clarify@|@ÿàlàyésôdi mímömú kí ó mö@
@clarity@|@dídá ÿákáÿáká@
@clash@|@kô-lura@
@clasp@|@dìmú ÿinÿinìdìmúìkóìwö@
@class@|@tò lëse.@
@classical@|@tí ó lêgbétí elêgbê gíga@
@classification@|@ìtò lêgbegbêìtò lôwöôwô@
@clause@|@gbólóhùnörö kan@
@claw@|@èkánná esë eiye tàbí eranko@
@clay@|@amö@
@clean@|@wê-mö@
@cleaner@|@ohun èlò wíwe èérí@
@cleaning@|@ìtôjú@
@cleanliness@|@ìmô-tótó@
@clearing@|@ìpalëmôìmúkúròìkókúrò@
@clergy@|@àlùfáà ìjô@
@clerk@|@àk wé, àkõwé@
@client@|@abëwë alágbàwíelêjô@
@clientele@|@oníbàárà@
@cliff@|@bèbè òkúta@
@climate@|@afêfê ilëàkókòìgbà@
@climax@|@òpinÿónÿó@
@climb@|@gùngòkèpôn@
@climber@|@enití ngun òkè@
@cling@|@somôwà môfà-môrömô@
@clinic@|@ilé ìtôjú oríÿiríÿí ààrùn@
@clinical@|@níwà ìmôtótónípa ìtôjú ààrùn@
@clock@|@aago, agogo@
@clockwise@|@bí agogo@
@close@|@nítòsílêbàáödö, padésétì, súnmô@
@closed@|@títì pa@
@closet@|@yàrá-ìkökökôlôfín@
@closure@|@ìparíòpin@
@cloth@|@aÿôaÿô wíwunaÿô ìbora@
@clothe@|@wö-laÿôfibònà-bò@
@clothes@|@aso@
@clothing@|@ohun wíwöaÿô wíwö@
@cloudy@|@gùdëgùdëÿú gùdë@
@coal@|@eyìn ináèédú@
@coconut@|@àgbon@
@coffee@|@ohun mímu@
@colour@|@àw@
@come about@|@dé@
@come across@|@bá@
@concubine@|@àlè@
@connect@|@dì@
@copper@|@bàbàowó kobóàkàngbà@
@corn@|@àgbàdo@
@cotton@|@òwúéefe; òwú@
@counsel@|@ìm ràn@
@cow@|@abo màluu@
@coward@|@ojo@
@crow@|@kanna-kánná@
@custom@|@àsà@
@cycle@|@básíkùlù@
@dad@|@bàbà@
@dagger@|@idà kúkurú, õbç olójú méjì@
@daily@|@lójojúmö, níjö gbogbo, ojojúmö@
@dam@|@dídarí omi ÿíÿàn, ÿíÿe õnà omi@
@damage@|@àdánù, ìbàjë, ìfarapa, jà¸bá, òfò@
@damp@|@ìkúku, õgìnnìtìn, õririn, òtútù@
@dance@|@ijó, jó@
@dancer@|@oníjó@
@danger@|@ewu, ìjàbá@
@dangerous@|@léwu, ní ìjàbá@
@dark@|@àìmòye, ÿókùnkùn, ÿú@
@darken@|@ÿe àìmòye, ÿú òkùnkùn@
@darkness@|@àìmòye, òkùnkùn@
@data@|@àkójô èdè fáyêwò, êkö, ìwífún@
@date@|@àkókò ôjö tí ñýkan ÿelê, èso õpe dídùn@
@dative@|@irú ìlò gírámà kan@
@daughter@|@ômô obìnrin@
@daughter-in-law@|@ìyàwó ômô eni@
@dawn@|@àárõ kùtù, àfêmöjúmö, kùtù-kùtù, ôyë@
@day@|@ôjö, õsán@
@dead@|@di òkú, kú, láìlëmìí@
@deadly@|@pípani, tí mú ikú báni@
@deaf@|@dití@
@deal@|@ìbáÿe, ìpín, irú igi kan, ìÿòwò@
@dealings@|@ìbálò, ìbáÿe, ìbáÿòwò@
@dean@|@olórí ilé êkö@
@death@|@ikú@
@debate@|@àríyànjiyàn, ìjiyàn, iyànjíjà, jiyàn, sô àsôyé põ@
@debris@|@pàýtí@
@debt@|@gbèsè@
