@English@|@Russian@
@acoustics@|@акустика@
@acquaint@|@знакомить@
@acquaintance@|@знакомый@
@acquainted@|@знакомый@
@acquiesce@|@покорность@
@acquiescence@|@уступки@
@acquiescent@|@уступчивый@
@acquire@|@приобретать@
@acquired@|@приобретенный@
@acquirement@|@приобретение@
@acquisition@|@приобретение@
@acquisitive@|@восприимчивый@
@acquit@|@оправдывать@
@acquittal@|@выполнение@
@acquittance@|@освобождение от обязательства@
@acre@|@акр@
@acreage@|@акр@
@acrid@|@едкий@
@acrimonious@|@язвительный@
@acrimony@|@язвительнось@
@acrobat@|@акробат@
@acrobatics@|@акробатика@
@acrophobia@|@боязнь высоты@
@acropolis@|@акрополь@
@across@|@через, через@
@act@|@акт (noun:), вести себя, влиять, действие, действовать, действуют, закон, замещать, играть, поступок (noun), работать (verb)@
@act of leaping; jumping; dancing; saltation;  discontinuous movement; transition; or development; advancement by leaps@|@прыганье@
@acting@|@действующий@
@action@|@влияние, действие, поступок (noun)@
@activatable/intensifiable@|@активизируемый (verb: ia/der/prpaspart)@
@activate@|@активировать@
@activate/am activating/intensify/am intensifying@|@активизирую (verb: ia/pres/1ps)@
@activate/are activating/intensify/are intensifying@|@активизируем (verb: ia/pres/1pp), активизируете (verb: ia/pres/2pp), активизируешь (verb: ia/pres/2ps), активизируют (verb: ia/pres/3pp)@
@activated the/intensified the@|@активизировавший (verb: ia/der/paactpart), активизировавший (verb: pa/der/paactpart)@
@activated/had activated/has activated/intensified/had intensified/has intensified@|@активизировало (verb: pa/past/neu)@
@activated/had activated/have activated/has activated/intensified/had intensified/have intensified/has intensified@|@активизировал (verb: pa/past/mas), активизировала (verb: pa/past/fem)@
@activated/had activated/have activated/intensified/had intensified/have intensified@|@активизировали (verb: pa/past/plu)@
@activated/will have activated/intensified/will have intensified@|@активизируем (verb: pa/fut/1pp), активизирует (verb: pa/fut/3ps), активизируете (verb: pa/fut/2pp), активизируешь (verb: pa/fut/2ps), активизирую (verb: pa/fut/1ps), активизируют (verb: pa/fut/3pp)@
@activates/is activating/intensifies/is intensifying@|@активизирует (verb: ia/pres/3ps)@
@activating/intensifying@|@активизировав (verb: pa/der/ger), активизирующий (verb: ia/der/practpart), активизируя (verb: ia/der/ger)@
@active@|@действительный, действующий, деятельный@
@activity@|@деятельность@
@actor@|@деятель@
@actress@|@актриса@
@actual@|@действительный, настоящий, фактический; действительный; актуальный; настоящий; текущий; подлинный@
@actuality@|@действительность@
@actualize@|@реализовать@
@actually@|@даже, действительно@
@actuary@|@регистратор@
@actuator@|@силовой привод@
@acuity@|@острота@
@acumen@|@проницательность@
@acuminate@|@остроконечный@
@acupuncture@|@иглотерапия@
@acute@|@острый, проницательный@
@ad@|@объявление@
@ad hoc@|@на данный случай@
@ad lib@|@сколько угодно@
@ad nauseam@|@до отвращения@
@ad valorem@|@соответственно стоимости@
@adage@|@пословица@
@adam@|@адам, кадык@
@adamantine@|@несокрушимый@
@adapt@|@приспособлять@
@adaptable@|@легко приспособляющийся@
@adaptation@|@приспособление@
@adapter@|@соединительное устройство@
@A-Day@|@намеченный день нападения@
@add@|@прибавь, складывать@
@add together@|@складывать@
@add up@|@складывать@
@addend@|@слагаемое@
@addendum@|@приложение@
@adder@|@гадюка@
@addict@|@наркоман@
@addicted@|@склонный@
@addiction@|@пагубная привычка@
@addition@|@сложение@
@additive@|@присадка@
@addle@|@тухлый@
@addled@|@испорченный@
@add-on@|@расширение@
@address@|@адрес, адресуй (verb: ia/im/inform), адресуй (verb: pa/im/inform)@
@address to/am addressing to/direct at/am directing at@|@адресую (verb: ia/pres/1ps)@
@address to/are addressing to/direct at/are directing at@|@адресуем (verb: ia/pres/1pp), адресуете (verb: ia/pres/2pp), адресуешь (verb: ia/pres/2ps), адресуют (verb: ia/pres/3pp)@
@address your@|@адресуйте (verb: ia/im/form/Plu), адресуйте (verb: pa/im/form/Plu)@
@addressable@|@адресовавший (verb: pa/der/paactpart), адресованный (verb: pa/der/papapart), адресуемый (verb: ia/der/prpapart), адресующий (verb: ia/der/practpart)@
@addressed@|@адресовавший (verb: ia/der/paactpart)@
@addressed to/had addressed to/has addressed to/directed at/had directed at/has directed at@|@адресовало (verb: pa/past/neu)@
@addressed to/had addressed to/have addressed to/directed at/had directed at/have directed at@|@адресовали (verb: pa/past/plu)@
@addressed to/had addressed to/have addressed to/has addressed to/directed at/had directed at/have directed at/has directed at@|@адресовал (verb: pa/past/mas), адресовала (verb: pa/past/fem)@
@addressee@|@получатель@
@addresses to/is addressing to/directs at/is directing at@|@адресует (verb: ia/pres/3ps)@
@addressing@|@адресация, адресуя (verb: ia/der/ger)@
@addressing the@|@адресовав (verb: pa/der/ger)@
@adds@|@складывает@
@adduce@|@приводить (verb:)@
@adenoids@|@аденоиды@
@adept@|@сведущий@
@adequate@|@отвечающий требованиям@
@adequately@|@достаточно (adv)@
@adhere@|@прилипать@
@adherence@|@приверженность@
@adherent@|@вязкий@
@adhesion@|@сцепление@
@adhesive@|@липкий@
@adieu@|@прощание@
@adipose@|@жирный@
@adit@|@штольня@
@adjacency@|@соседство@
@adjacent@|@смежный@
@adjective@|@имя прилагательное@
@adjoin@|@примыкать@
@adjoining@|@прилегающий@
@adjourn@|@делать перерыв@
@adjudge@|@выносить приговор@
@adjudicate@|@судить@
@adjunct@|@приложение@
@adjuration@|@клятва@
@adjure@|@заклинать@
@adjusted@|@урегулированный@
@adjuster@|@установщик@
@adjusting@|@регулирующий@
@adjustment@|@регулировка@
@adjutant@|@подручный@
@adjuvant@|@вспомогательный@
@ad-lib@|@импровизированный@
@admeasure@|@отмерять@
@administration@|@управление@
@administrator@|@управляющий@
@admirable@|@восхитительный@
@admiral@|@флагманский корабль@
@admiralty@|@адмиралтейство@
@admiration@|@восхищение@
@admire@|@любоваться@
@admirer@|@поклонник@
@admissible@|@допустимый@
@admission@|@признание@
@admit@|@признавать@
@admittance@|@доступ@
@admittedly@|@предположительно@
@admix@|@примешивать@
@admixture@|@примесь@
@admonish@|@предостерегать@
@admonition@|@предостережение@
@admonitory@|@предостерегающий@
@ado@|@беспокойство@
@adobe@|@кирпич воздушной сушки@
@adolescence@|@юность@
@adolescent@|@юношеский@
@adopt@|@нять, принимать (verb: ia/inf), усыновлять@
@adopted@|@приемный@
@adoptee@|@усыновленный@
@adoptive@|@восприимчивый@
@adopts/is adopting@|@принимает (verb: ia/pres/3ps)@
@adorable@|@обожаемый@
@adoration@|@поклонение@
@adore@|@обожать@
@adorn@|@украшать@
@adornment@|@украшение@
@adrenal@|@надпочечный@
@adrift@|@плывущий по течению@
@adroit@|@ловкий@
@adsorb@|@всасывать, поглощать (verb:)@
@adsorbate@|@адсорбированное вещество@
@adsorption@|@поглощение@
@adulate@|@льстить@
@adulation@|@лесть@
@adult@|@взрослая, взрослый, взрослым@
@adulterant@|@примесь@
@adulterate@|@фальсифицированный@
@adultery@|@прелюбодеяние@
@adumbrate@|@делать набросок@
@adust@|@выжженный@
@(adv:) of course not@|@конечно, нет@
@advance@|@продвижение, успех@
@advanced@|@продвинутый@
@advancement@|@продвижение@
@advancing@|@прогрессирующий@
@advantage@|@выгода@
@advantageous@|@выгодный@
@advent@|@приход@
@adventitious@|@добавочный@
@adventure@|@приключение@
@adventurer@|@искатель приключений@
@adventuress@|@авантюристка@
@adventurous@|@отважный@
@adverb@|@наречие@
@(adverb:) in the afternoon@|@днем@
@adverbial@|@наречный@
@adversary@|@противник@
@adversative@|@противительный@
@adverse@|@враждебный@
@adversity@|@несчастье@
@advert@|@ссылаться@
@advertise@|@помещать объявление@
@advertisement@|@объявление@
@advertising@|@рекламирование@
@advice@|@совет@
@advisable@|@благоразумный@
@advise@|@совет@
@advised@|@обдуманный@
@advisedly@|@намеренно@
@adviser@|@советник@
@advisory@|@совещательный@
@advocacy@|@защита@
@advocate@|@адвокат@
@adynamia@|@слабость@
@adz@|@тесать@
@adze@|@тесать@
@aegis@|@защита@
@aeon@|@вечность@
@aerate@|@проветривать@
@aerial@|@воздушные (adj), воздушный (adj)@
@aerialist@|@воздушный акробат@
@aerie@|@выводок@
@aeriform@|@воздушный (adj)@
@aerobatics@|@фигурные полеты@
@aerobic@|@аэробика@
@aerodrome@|@аэродром@
@aerodynamic@|@аэродинамический@
@aerodynamics@|@аэродинамика@
@aerodyne@|@летательный аппарат@
@aeroembolism@|@кессонная болезнь@
@aerofoil@|@несущая поверхность@
@aerogram@|@радиограмма@
@aeronaut@|@воздухоплаватель@
@aeronautic@|@воздухоплавательный@
@aeronautics@|@воздухоплавание@
@aerosol@|@аэрозоль@
@aerostat@|@воздушный шар@
@aerostatics@|@воздухоплавание@
@aery@|@выводок@
@aesthete@|@эстет@
@aesthetic@|@эстетический@
@aesthetics@|@эстетика@
@aestival@|@четний@
@afar@|@вдалеке@
@afebrile@|@безлихорадочный@
@affable@|@приветливый@
@affair@|@дело (noun), роман@
@affairs@|@дела@
@affect@|@влиять, воздействовать@
@affectation@|@притворство@
@affected@|@неискренний@
@affection@|@любовь@
@affectionate@|@любящий@
@affective@|@эмоциональный@
@afferent@|@центростремительный@
@affiance@|@обручение@
@affianced@|@обрученнычй@
@affidavit@|@поручительство@
@affiliate@|@принимать в члены@
@affined@|@родственный@
@affinity@|@родственность@
@affirm@|@утверждать@
@affirmation@|@торжественное заявление@
@affirmative@|@утвердительный@
@affix@|@поставить@
@afflatus@|@божественное откровение@
@afflict@|@огорчать@
@afflicted@|@огорченный@
@affliction@|@огорчение@
@affluence@|@изобилие@
@affluency@|@изобилие@
@affluent@|@изобильный@
@afflux@|@прилив@
@afford@|@давать, позволить себе что-либо@
@afforest@|@лесонасаждение@
@affray@|@драка@
@affright@|@испуг@
@affront@|@оскорбление@
@affusion@|@обливание@
@afghan@|@афганский@
@afghani@|@афгани@
@Afghanistan@|@афганистан@
@aficionado@|@болельщик@
@afield@|@в поле@
@afire@|@в огне@
@aflame@|@в огне@
@aflat@|@горизонтально@
@afloat@|@на поверхности@
@aflutter@|@трепетно@
@afoot@|@пешком@
@afore@|@впереди@
@afore; prep: prior to@|@раньше@
@aforementioned@|@вышеупомянутый@
@aforesaid@|@вышеупомянутый@
@aforethought@|@предумышленный@
@aforetime@|@прежде@
@afraid@|@боящийся (adj), испуганный, напуганный@
@afresh@|@снова@
@Africa@|@Африка@
@African@|@африканский@
@aft@|@корма@
@after@|@позади, после, после, потом (adv), через@
@after all@|@в конце концов (adv)@
@after passing@|@пройд@
@afterbirth@|@детское место, ребенок пожилых родителей@
@aftercare@|@уход за выздоравливающим@
@aftereffect@|@последствие@
@afterglow@|@закат@
@afterimage@|@остаточное изображение@
@afterlife@|@загробная жизнь@
@aftermath@|@последствие@
@aftermost@|@ближайший к корме@
@afternoon@|@время после полудня, день@
@aftertaste@|@остающийся привкус@
@afterthought@|@запоздалая мысль@
@afterwards@|@впоследствии, потом (adv)@
@again@|@снова@
@against@|@о, об, от, против, с (prep)@
@agamic@|@бесполый@
@agape@|@разинув рот@
@agate@|@агат@
@age@|@возраст, возраста@
@aged@|@пожилой@
@ageing@|@старение@
@ageless@|@нестареющий@
@agency@|@агентство@
@agenda@|@повестка дня@
@agent@|@посредник, средство@
@agglomerate@|@скопление@
@agglomerating@|@спекание@
@agglomeration@|@скопление@
@agglutinate@|@склеенный@
@agglutination@|@склеивание@
@agglutinative@|@склеивающий@
@aggrandize@|@возвеличивать@
@aggravate@|@ухудшать@
@aggravating@|@ухудшающий@
@aggravation@|@ухудшение@
@aggregate@|@совокупность@
@aggression@|@нападение@
@aggressive@|@нападающий@
@aggressor@|@зачинщик@
@aggrieve@|@огорчать@
@aggro@|@уличная драка@
@aghast@|@ошеломленный@
@agile@|@подвижный@
@agility@|@подвижность@
@agin@|@против@
@aging@|@созревание@
@agitate@|@волновать@
@agitated@|@взволнованный@
@agitation@|@агитация@
@agitator@|@агитатор@
@agleam@|@мерцая@
@aglow@|@возбужденный@
@agnail@|@заусеница@
@agnate@|@родственник по мужской линии@
@ago@|@тому назад@
@agog@|@возбужденный@
@agonic@|@не образующий угла@
@agonistic@|@атлетический@
@agonize@|@быть в агонии@
@agonizing@|@мучительный@
@agony@|@сильнейшая боль@
@agoraphobia@|@боязнь пространства@
@agrarian@|@аграрный@
@agree@|@соглашаться@
@agreeable@|@выражающий согласие@
@agreed@|@согласованный@
@agreement@|@соглашение@
@agriculture@|@сельское хозяйство@
@agrimony@|@репейник@
@agronomy@|@сельское хозяйство@
@agrostology@|@учение о травах@
@aground@|@сидящий на мели@
@ague@|@озноб@
@ahead@|@вперед@
@a-hunt@|@на охоте@
@ai@|@искусственный интеллект@
@aid@|@помогаем, помогаете, помогаешь, помогать, помогаю, помогают, помоги, помочь (verb: pa/inf), помощь (noun)@
@aide@|@адъютант@
@aids@|@помогает@
@aigrette@|@пучок лучей@
@aiguille@|@горный пик@
@ail@|@причинять боль@
@ailing@|@хилый@
@ailment@|@недуг@
@aim@|@прицел@
@aiming@|@прицеливание@
@aimless@|@бесцельный@
@air@|@вид, воздух, воздушные (adj), воздушный (adj), просушивать, сушить@
@air mail@|@авиапочта@
@air space@|@воздушное пространство@
@airboat@|@гидросамолет@
@airborne@|@воздушно-десантный@
@air-condition@|@кондиционировать@
@air-conditioned@|@с кондиционированным воздухом@
@air-conditioning@|@кондиционирование воздуха@
@air-cooled@|@с воздушным охлаждением@
@air-cooling@|@воздушное охлаждение@
@aircraft@|@авиация, самолёт (noun: sing), самолёты (noun: plu)@
@airdrome@|@аэродром@
@airedale@|@эрдель-терьер@
@airfield@|@аэродром@
@airfoil@|@несущая поверхность@
@airframe@|@остов самолета@
@airing@|@проветривание и просушивание@
@airless@|@безвоздушный@
@airlift@|@авиационный транспорт@
@airline@|@авиалиния@
@airman@|@авиаспециалист@
@airplane@|@самолет (noun: sing), самолёт (noun: sing)@
@airplanes@|@самолёты (noun: plu)@
@airport@|@аэропорт (noun:), иллюминатор@
@airscrew@|@пропеллер@
@airship@|@дирижабль@
@airsick@|@страдающий воздушной болезнью@
@airsickness@|@воздушная болезнь@
@airstrip@|@летная полоса@
@airtight@|@воздухонепроницаемый@
@airway@|@воздушная трасса@
@airworthy@|@пригодный к полету@
@airy@|@воздушные (adj), воздушный (adj), просторный@
@aisle@|@крыло здания, проход (noun)@
@ait@|@островок@
@aitchbone@|@крестцовая кость@
@ajar@|@приотворенный@
@akimbo@|@подбоченившийся@
@akin@|@родственный@
@akinesia@|@неподвижность@
@alabaster@|@алебастр@
@alacrity@|@рвение@
@alar@|@крылатый@
@alarm@|@тревога@
@alarmist@|@паникер@
@alarum@|@звон будильника@
@alas@|@увы@
@alaska@|@аляска@
@alate@|@крылатый@
@alb@|@стихарь@
@Albania@|@Албания@
@Albanian@|@Албанец@
@albatross@|@альбатрос@
@albeit@|@хотя@
@albert@|@цепочка для мужских часов@
@albescent@|@становящийся белым@
@album@|@альбом@
@albumen@|@белок@
@albumin@|@белок@
@albuminoid@|@белковидный@
@alchemist@|@алхимик@
@alchemy@|@алхимия@
@alcohol@|@спирт@
@alcoholic@|@спиртной@
@alcoholism@|@пьянство@
@alcoran@|@коран@
@alcove@|@беседка@
@alder@|@ольха@
@ale@|@пиво@
@aleatory@|@случайный@
@alee@|@в подветренную сторону@
@alembic@|@перегонный куб@
@alert@|@бдительный@
@alexandrite@|@александрит@
@alexin@|@комплемент@
@alfalfa@|@люцерна@
@alfresco@|@на открытом воздухе@
@alga@|@водоросль@
@algae@|@водоросли@
@algebra@|@алгебра@
@algebraic@|@алгебраический@
@Algeria@|@Алжир@
@algiers@|@город алжир@
@algorism@|@система счисления@
@algorithm@|@метод@
@alias@|@иначе@
@alibi@|@оправдание@
@alidad@|@угломер@
@alien@|@иностранец@
@alienable@|@отчуждаемый@
@alienate@|@отчуждать@
@alienation@|@умопомешательство@
@alienist@|@психиатр@
@aliform@|@крыловидный@
@alight@|@светящийся@
@alighting@|@посадка@
@align@|@выровнять, равняться@
@aligning@|@выравнивание@
@alignment@|@выравнивание@
@alike@|@одинаково, одинаковый, похоже, похожий@
@alimentary@|@пищевой@
@alimentation@|@питание@
@alimony@|@алименты@
@aline@|@выровнять, выстраивать в линию@
@aliquot@|@кратный@
@alive@|@в живых (adj), живая, живой, живые@
@alkalescent@|@слабощелочной@
@alkali@|@щелочной@
@alkaline@|@щелочной@
@alkalinity@|@щелочность@
@all@|@весь (pron: ac/mimn/dim), весь (pron: nc/mmn/dim), все (pron: ac/mipn/dim), всё (pron: ac/mnn/dim), всё (pron: nc/mnn/dim), все (pron: nc/mpn/dim), всего (pron: ac/mamn/dim), всего (pron: gc/mmn/dim), всего (pron: gc/mnn/dim), всей (pron: dc/mfn/dim), всей (pron: gc/mfn/dim), всей (pron: ic/mfn/dim), всем (pron: dc/mpn/dim), всем (pron: ic/mmn/dim), всеми (pron: ic/mpn/dim), всему (pron: dc/mmn/dim), всему (pron: dc/mnn/dim), всех (pron: ac/mapn/dim), всех (pron: gc/mpn/dim), всю (pron: ac/mfn/dim), вся (pron: nc/mfn/dim), всякий, целый@
@all (follows a preposition such as 'about'/'in'/'into'/etc.)@|@всей (pron: pc/mfn/dim - Follows a preposition such as о/обо/etc.)), всём (pron: pc/mmn/dim - Follows a preposition such as о/обо/etc.), всём (pron: pc/mnn/dim - Follows a preposition such as о/обо/etc.), всех (pron: pc/mpn/dim - Follows a preposition such as о/обо/etc.))@
@all along the line@|@во всем, во всех отношениях@
@all is well@|@все в порядке@
@all of a sudden@|@вдруг@
@all over@|@повсюду (adv)@
@all right@|@все в порядке@
@all serene@|@все в порядке@
@all the time":@|@падать@
@allah@|@аллах@
@all-around@|@многосторонний@
@allay@|@облегчать@
@allegation@|@заявление@
@alleged@|@утверждаемый@
@allegiance@|@верность@
@allegoric@|@иносказательный@
@allegorical@|@аллегорический@
@allegorize@|@изъясняться иносказательно@
@allegory@|@аллегория@
@allergen@|@аллерген@
@allergic@|@алергический@
@allergies@|@аллергии (noun:)@
@allergy@|@повышенная чувствительность@
@alleviate@|@облегчать@
@alleviative@|@смягчающий@
@alley@|@узкая улица@
@alleyway@|@мраморный шарик@
@alliance@|@союз@
@allied@|@союзный@
@alligator@|@аллигатор, аллигатора (noun:)@
@all-in@|@уставший@
@all-night@|@ночной@
@allocate@|@размещать@
@allocution@|@обращение@
@allogenic@|@чужеродный@
@allot@|@распределять@
@allotment@|@распределение@
@allottee@|@мелкий арендатор@
@all-out@|@идущий напролом@
@allow@|@давать, позволять, разрешать@
@allowance@|@денежная помощь@
@allowedly@|@дозволенным образом@
@alloy@|@сплав@
@all-purpose@|@универсальный@
@all-round@|@многосторонний@
@allseed@|@многосемянное растение@
@allspice@|@гвоздика@
@all-time@|@небывалый@
@allude@|@намекать@
@allure@|@заманивать@
@alluring@|@привлекательный@
@allusion@|@намек@
@allusive@|@содержащий ссылку@
@alluvial@|@наносный@
@alluvion@|@нанос@
@alluvium@|@нанос@
@ally@|@союзник@
@almanac@|@календарь@
@almighty@|@всемогущий@
@almond@|@миндаль@
@almoner@|@раздающий милостыню@
@almost@|@почти@
@alms@|@милостыня@
@almsman@|@живущий подаянием@
@aloe@|@алоэ@
@aloft@|@наверх, наверху@
@alone@|@одинокий, одна, одной, только (adv)@
@along@|@вдоль (prep), вместе, по (prep)@
@alongside@|@рядом@
@aloof@|@надменный@
@alopecia@|@облысение@
@aloud@|@громко@
@alp@|@горная вершина@
@alpaca@|@шерсть альпака@
@alphabet@|@алфавит@
@alphabetic@|@алфавитный@
@alphabetical@|@алфавитный@
@alphabetize@|@располагать по алфавиту@
@alpine@|@альпийский@
@alpinism@|@альпинизм (noun:)@
@alpinist@|@альпинист@
@alps@|@альпы@
@already@|@уже (adv)@
@alright@|@удовлетворительно@
@alsatian@|@восточноевропейская овчарка@
@also@|@тоже@
