@English@|@Gwichin@
@go to sleep!@|@dhiinchìi!@
@golden eagle@|@Tadhaa@
@good@|@Gwiinzìi@
@Good day@|@Drin gwiinzii@
@goose's walking round the lake@|@kheh van vee nahadìk@
@grass@|@tl'oo, ttlo@
@grizzly@|@shih@
@gum@|@dzìh, tzih@
@he is crying@|@trèh@
@he is dancing@|@aadzòo@
@he is drinking tea@|@lìdii dinìi@
@he is fine@|@veenjit gwiinzìi@
@he is going hunting@|@nàhaazrìi@
@he is happy@|@shòh dhidlìt, shòh nilìi@
@he is not happy@|@shòh nilii kwaa@
@he is packing water@|@chuu eekàa@
@he is playing@|@tsìidì'ìi@
@he is running@|@aagàl@
@he is sitting@|@dhidìi@
@he is sleeping@|@dhichìi@
@he is standing@|@naa'èe@
@he is sweing@|@k'e'jàhkài@
@he is tired@|@cheedandák@
@he is wearing a wollen hat@|@ts'àt naadoo ts'eh nàjàa'àii@
@he walks towards thye moose@|@et'ee dinjik ts'ò' hàhaii@
@he wants berries@|@jak niidhan@
@he wants dry fish@|@ootsik niidhàn@
@here@|@nà'@
@here are the snowshoes@|@zhat zrit aih dhidlìi@
@Here is the packsack@|@zhat zrit khah dha'àii@
@here is the tent@|@zhat zrit nìivyaa@
@here is the trap@|@zhat zrit khyàh dha'àii@
@he's also wearing moccasins@|@kaiitrih chan zhìt dhi'yùu@
@he's thinking about dry wood@|@didich'eii eenjit nìinji'adhàt@
@he's walking round by the lake@|@van vee nahadìk@
@he's walking round on the hill@|@taih kak nahadìk@
@he's walking round outside@|@chìitaii nahadìk@
@he's walking round the creek@|@teechik gwà'àn nahadìk@
@he's walking round the shore@|@teevee nahadìk@
@his house@|@nakhwazheh, vizheh@
@His name is André@|@Voozrì' André vàazhìi@
@his packsack is heavy@|@vaghàa nidìi@
@How about you?@|@Nanh yù'?@
@How are you?@|@neejit dàgòonch'ùu?@
@How is he?@|@Veenjit dágòonch'ùu/@
@How is it outside?@|@Chìitaii dágóonch'ùu?@
@hurry@|@khanh@
@hurry!@|@khanh!@
@I am cold@|@ihdlùu@
@I am crying@|@ihtrèh@
@I am dancing@|@aldzòo@
@I am drinking tea@|@lìdii shnìi@
@I am drinking water@|@chuu shinìi@
@I am eating@|@ih'àa@
@I am eating dry meat@|@nìlii gaii ih'àa@
@I am fine@|@sheentjit gwiinzìi@
@I am going hunting@|@nàhalzrìi@
@I am going hunting for moose@|@dìnjik eenjit nàtalzrìi@
@I am not cold@|@ihdluh kwàh@
@I am packing water@|@chuu ihkàa@
@I am playing@|@tsìishi'ìi@
@I am running@|@algàl@
@I am tired@|@chiishindàk@
@I am walking around@|@oo'òk nachihdìk@
@I am walking to the creek@|@teechik gwits'àt ihshàa@
@I am walking to the hill@|@taih gwits'àt ihshàa@
@I am walking to the lake@|@van gwits'àt ihshàa@
@I am walking to the mountain@|@ddhah gwits'àt ihshàa@
@I am walking to the river@|@han gwts'àt ihshàa@
@I am walking to the store@|@ookàt zheh gwits'àt ihshàa@
@I do not know@|@gàhshàndaih kwàa@
@I do not want tea@|@lìdii nihthanh kwàa@
@I do not want water@|@chuu nihthanh kwàa@
@I don't have matches@|@kwàn' shi'ìh kwàa@
@I don't understand you@|@nijìhtth'ak kwàa@
@I have a hat@|@ts'eh shi'ìi@
@I have a shirt@|@ezhak ik shi'ìi@
@I have firewood@|@tro shi'ìi@
@I have matches@|@kw´àn sh'ìi@
@I have mitts@|@jirh shi'ìi@
@I have moccasins@|@kaiitrih shi'ìi@
@I have shavings@|@aazrik shi'ìi@
@I have socks@|@tah shi'ìi@
@I live in Fort McPherson@|@teetl'it Zheh gwihch'ìn@
@I speak my native language@|@dinjii zhuh k'yùu ginihkhìi@
@I understand native language@|@Dinjii zhuh jíhtth'àk@
@I understand you@|@nijìhtta'àk@
@I want dry meat@|@nìlii gaii nihthàn@
@I want tea@|@lìdii nihthàn@
@I want water@|@chuu nihthàn@
@I'll help you@|@nits'àt tr'ihihdàl@
@I'm walking around by the lake@|@van vee nachihdìk@
@I'm walking round by the shore@|@teevee nachihdìk@
@I'm walking to Annie's house@|@Annie vizheh gwits'àt ihshàa@
@in that direction@|@ts'êîî@
@inside@|@Zhit@
@Is it cloudy?@|@k'oh t'eh lèe gòo'àii?@
@Is it cold outside?@|@Chìitaii lèe gwinìik'òo?@
@Is it getting warm?@|@Lèe gwinìidhàa?@
@Is it raining?@|@lèe ahchìn?@
@Is it snowing outside?@|@Chìitaii lèe ahshìi?@
@Is it sunny?@|@lèe srii nii'àii?@
@Is it warm for you?@|@neenjit lèe gwinìidhàa@
@Is it windy?@|@lèe ahtr'ài?@
@Is the snow melting?@|@Zhoh lèe naaghàii?@
@Is this your cup?@|@Jii lèe nichuutyàa t'iinch'ùu?@
@it happened@|@gwichùudhat@
@it is blowing@|@ahtr'aih@
@it is burning@|@åithithik'an@
@it is cloudy outside@|@chìitaii k'oh t'eh gòo'àii@
@it is cold outside@|@chìitaii gwinìik'òo@
@it is daytime@|@drin góo'àii@
@it is getting to be fall time@|@khaiints'àn' nìgwìizhìt@
@it is getting to be winter@|@khaii gwits'àt gweedhàa@
@it is getting warm@|@gwinìidhàa@
@it is my cup@|@jii shichuutyàa t'iinch'ùu@
@it is night@|@too gòo'àii@
@it is not cold outside@|@chìitaii gwinìik'oh kwàa@
@it is not my cup@|@shichuutyàa t'iinch'uh kwàa@
@it is not sunny@|@srii nii'aih kwàa@
@it is not warm for me@|@sheenjit gwinìidhah kwàa@
@it is not windy@|@ahtr'aih kwàa@
@it is raining outside@|@ch'ìitaii ahchìn@
@it is really cloudy@|@gwiintl'òh k'oh t'eh gòo'àii@
@it is really raining@|@gwiintl'òh hee ahchìn@
@it is snowing@|@chìitaii shshih kwàa@
@it is snowing outside@|@chìitaai gwinìik'òo@
@It is springtime@|@sreendìt nìgwìniidhàt@
@it is starting to freeze@|@Sree nanh'@
@it is still cloudy@|@tht'aih k'oh t'eh gòo'àii@
@it is still cold@|@tth'aih gwinìik'òo@
@it is summertime@|@shin gòo'àii@
@it is sunny@|@srii nii'àii@
@it is sunny ouside@|@chìitaii srii nii'àii@
@it is warm for me@|@sheenjit gwinìidhàa@
@it is weaved@|@da'ootå'ii@
@it is windy@|@ahtr'àii@
@it is windy outside@|@chìitaii ahtr'àih@
@it lays eggs@|@Adaghoo@
@it's cold@|@gwinìik'òo@
@it's hot@|@gwinìidhàa@
@its month@|@zrèe'@
@It's warm outside@|@chìtaii gwinìidhàa@
@January@|@Vitoh gwichùudhat@
@July@|@Sree vananh åanatr'aadal@
@June@|@Sree nành Adaghoo@
@Juniper@|@Deetrèe jàk@
@Kevin is carrying wood@|@Kevin troo oo'ee nadeechàa@
@Kevin's dog is watching him@|@Kevin vilìk aachin yàa'ìi@
@leaves are growing@|@at'àn nahshìi@
@listen (pl)@|@oodhadhohch'èii@
@listen (sg)@|@oodhadhahch'èii@
@look! (pl)@|@gwinoh'ìi@
@look! (sg)@|@gwinah'ìi!@
@lose feathers@|@dichádh@
@make fire!@|@Kwàn' nahtsìi@
@man@|@dinjii, tinjih@
@man's going hunting for bear@|@dinjii shoh eenjit nàtaazrìi@
@March@|@Tadhaa zrèe'@
@May@|@Sree vananh åâîî yichii@
@me too I'm fine@|@shint'eh sheenjit gwiinzìi@
@Merry Christmas@|@Drin Tsal zhìt shòh ohlìi@
@Misty@|@Ne'gwâh'eh@
@mittens@|@dzhirh@
@Monday@|@Drin tå'êê@
@month@|@Sree, Sreenanh@
@mountain@|@Ddhah@
@move over (sitting)@|@àn gijaandhàt@
@move over!@|@àn!@
@Muskeg Tea@|@lidii maskeg, lidii maskig@
@my house@|@shizheh@
@My name is Mary-Jane@|@Shoozrì Mary-Jane vàazhìi@
@New Year's Day@|@Drin Choo@
@nine@|@vanchòh nah'oh zhàk dhitin@
@no@|@akwa'@
@north@|@Dyee@
@northern lights@|@Yikêîh@
@nothing@|@gwahaljìi@
@November@|@Dachan khyàh nìtr'iinlii zrèe'@
@now@|@choog, jùk@
@October@|@Sree nanh' tàdiditshìi@
@on it@|@Vananh@
@our house@|@nakhwazheh@
@over it@|@Vitoh@
@packsack@|@khah@
@Peace on Earth@|@Nan kak tsìnehdanh gòolì@
@Peter is going to hunt@|@Peter nìhìlzrii@
@Peter misses the moose@|@Peter dinjik ayahk'èe@
@Peter sees the moose tracks@|@Petere dinjik k'ìh gwanah'in@
@Rain@|@tshin@
@Rainbow@|@Gudeedrii da'ootå'ii@
@Raspberry@|@Ts'eenakal@
@Red currant@|@Eneeyùu@
@rhubarb is growing@|@ts'iigyùu nahshìi@
@Saturday@|@Drin yeet'yee@
@September@|@Sree nanh nè'tandijyaa@
@she is eating@|@a'àa@
@she is eating dry fish@|@ootsik àa@
@she is making a fire@|@kwàn' ahtsìi@
@she is making moccasins@|@kaiitrih ahtsìi@
@she is tanning a hide@|@adhòh ahshìi@
@she's walking to the store@|@ookàt zheh gwits'àt ahàa@
@sit down@|@dhiindìi, dhoodìi@
@sit down (pl)@|@jìdhooch'èii@
@six@|@nihk'iitik@
@snow@|@zhoh@
@south@|@Nuu@
@spider@|@Gudeedrii@
@Spring@|@Dâîî@
@Spruce@|@Ts'iivii@
@stand up@|@naa'èe, noo'èe@
@Summer@|@shin@
@sun@|@Sree@
@sun is starting to rise@|@Na'eeda'aa@
@Sunday@|@Drin zhit@
@Sunshine@|@Sree nii'êîî@
@take care of yourselves@|@adak'ànootìi@
@thank you@|@mahsì@
@the boy is walking@|@chyaa ahàa@
@the butterfly is flying around@|@nanùht'ee nahandit'èh@
@the child is watching her@|@tr'iinin tsal aachin yaa'ìi@
@the cross@|@Niht'yeedi'ee@
@the duck is flying around@|@dats'an nahadanaadhàk@
@the fly is flying around@|@dáii nahandit'èh@
@the girl is sitting@|@nich'it dhidìi@
@the grouse is making its nest@|@daih dat'oo ahtsìi@
@the man is dancing@|@sinjii aadzòo@
@the man is going hunting@|@dinjii nàhaazrìi@
@the moose hunt@|@dinjik eenjit nàhaazrì@
@the mosquito bit me@|@ch'ii shùu'àa@
@the raven is eating@|@deetrìn' a'àa@
@the small boy is wearing mitts@|@chaa tsaal jihr zhìt jìljìk@
@the snow is melting@|@zhoh naaghàii@
@the woman is going hunting@|@tr'ìinjòo nàhaazrìi@
@the woman is running@|@tr'ìinjòo aagàl@
@the woman is sewing@|@tr'ìinjòo k'e'jàhkài@
@the worm is crawling around@|@gyuu nahadagòo@
@their house@|@goozheh, guuzheh@
@there are four stars@|@sàn' daang gòonlìi@
@there are three stars@|@sàn' tik gòonlìi@
@these are beaver tracks@|@jii tsèe k'ìh t'agòonch'ùu@
@these are moose tracks@|@jii dìnjik kìh t'agòonch'ùu@
@these are mouse tracks@|@jii daatsoo k'ìh t'agòonch'ùu@
@these are wolf tracks@|@jii zhòh k'ìh t'agóonch'ùu@
@they are drinking tea@|@lìdii gidinìi@
@they are setting@|@nìtr'iinlii@
@they're talking to one another@|@nihts'ò gigiikhìi@
@this boy's name is Peter@|@Jii chya voozrì Peter vàazhìi@
@this is a baby@|@jii bèebii t'iinch'ùu@
@this is a baby rabbit@|@jii geh gii t'iinch'ùu@
@this is a bear cub@|@jii shoh gii t'iinch'ùu@
@this is a berry@|@jii jak t'iinch'ùu@
@this is a black hat@|@jii ts'eh zraii t'iinch'ùu@
@this is a blanket@|@jii ts'àt t'iinch'ùu@
@this is a blue hat@|@jii ts'eh datl'òo t'iinch'ùu@
@this is a blueberry@|@jii jak zheii t'iinch'ùu@
@this is a boy@|@jii chyaa t'innch'ùu@
@this is a brow hat@|@jii ts'eh tsoo t'innch'ùu@
@this is a butterfly@|@jii nanùht'ee t'iinch'ùu@
@this is a cane@|@jii tòh t'iinch'ùu@
@this is a caribou hide@|@jii vadzaih dhòh t'iinch'ùu@
@this is a child@|@jii tr'iinin t'iinch'ùu@
@this is a coney@|@jii sruh t'iinch'ùu@
@this is a cup@|@jii chuutyah t'iinch'ùu@
@this is a fly@|@jii dàii t'iinch'ùu@
@this is a girl@|@jii nich'it t'iinch'ùu@
@this is a jackfish@|@jii eltin t'iinch'ùu@
@this is a lowbush cranberry@|@jii natl'àt t'iinch'ùu@
@this is a man@|@jii dinjii t'iinch'ùu@
@this is a moose calf@|@jii dìnjik gii t'iinchùu@
@this is a moose hide@|@jii dìnjik dhòh t'iinch'ùu@
@this is a mosquito@|@jii ch'ii t'iinch'ùu@
@this is a plate@|@jii ch'ìk t'iinch'ùu@
@this is a red hat@|@jii ts'eh ch'ik t'iinch'ùu@
@this is a spider@|@jii gwidèedrii t'iinch'ùu@
@this is a spoon@|@jii sàban t'iinch'ùu@
@this is a spruce@|@jii ts'ìivii t'iinch'ùu@
@this is a spruce bough@|@jii ah t'iinch'ùu@
@this is a white hat@|@jii ts'eh dagàii t'iinch'ùu@
@this is a woman@|@jii tr'ìinjòo t'innch'ùu@
@this is a worm@|@jii gyuu t'iinch'ùu@
@this is an ant@|@jii neejìi t'iinch'ùu@
@this is an owl@|@jii vi'ìidzee t'iinch'ùu@
@this is grass@|@jii tl'oo t'iinch'ùu@
@this is his arm@|@jii videeghàn t'iinchùu@
@this is his chest@|@jii vazràk t'iiinch'ùu@
@this is his hair@|@jii víchìighè' t'iinch'ùu@
@this is his head@|@jii vichì' t'iinchùu@
@this is his neck@|@jii vak'oh t'iinchùu@
@this is my ear@|@jii shidzèe t'iinch'ùu@
@this is my eye@|@jii shintsih t'iinch'ùu@
@this is my face@|@jii shinìn' t'iinchùu@
@this is my father@|@jii shitì' t'iinch'ùu@
@this is my foot@|@jii shakài t'iinchùu@
@this is my grandfather@|@jii shtsii t'iinch'ùu@
@this is my granmother@|@jii shitsuu t'iinch'ùu@
@this is my knee@|@jii shagwàt t'iinch'ùu@
@this is my mother@|@jii shahanh t'iinch'ùu@
@this is my noose@|@jii shintsih t'iinch'ùu@
@this is my tooth@|@jii shaghò' t'iinch'ùu@
@three@|@tik, tyik@
@Thursday@|@Drin ts'àt drin dââ@
@trap@|@khyàh@
@tucking@|@tatr'aazhik@
@Tuesday@|@Drin ts'àt drin neekaii@
@two@|@neekaii@
@under night@|@Khàhzhak@
@up@|@dak@
@we are drinking tea@|@lìdii ìidìnìi@
@Wednesday@|@Drin ts'àt drin tyik@
@What are they drinking?@|@Jidìi dèe gidinìi?@
@What are you (pl) drinking?@|@Jidìi dèe khwanìi?@
@What are you doing?@|@Dànd'ìi?@
@What are you drinking?@|@Jidìi dèe nidinìi?@
@What bird is this?@|@jii jidìi dzhii t'iinch'ùu?@
@What do you have?@|@k'il shi'ìi@
@What do you see at night?@|@too jidìi nah'ìi?@
@What do you see in the daytime@|@Drin jidìi dèe nah'ìi?@
@What do you see?@|@jidìi dèe nah'ìi?, juudìn dèe nah'ìi?@
@What does he want?@|@Jidìi dèe niidhàn?@
@What haide is this?@|@jii jidíi dhòh dèe t'iinch'ùu?@
@What his name?@|@Voozrì' dàvàazhìi?@
@what is growing?@|@ji jidìi dèe nahshìi?@
@What is he doing?@|@zhik dàdì'ìi?@
@What is she doing?@|@zhik dàdì'ìi?@
@What is the boy doing?@|@Chyaa dàdì'ìi?@
@What is the duck doing?@|@Dats'an dàdí'ìi?@
@What is the girl doing?@|@Nich'it dàdì'ìi?@
@What is the woman doing?@|@tr'ìinjòo dàdì'ìi@
@What is the worm doing?@|@aii gyuu dàdà'ìi?@
@What is this?@|@jii jidìi t'iinch'ùu?@
@What is your name?@|@Noozrì dàvàazhìi?@
@What kind of animals is this?@|@jii jidìi nin t'ìinchh'ùu?@
@What she is eating?@|@jidìi dèe àa?@
@What the boy is doing?@|@chyaa dàdì'ìi?@
@What the man is doing?@|@dinjii dàdì'ìi?@
@What's the man going hunting?@|@Dinjii jidìi eenjit nàtaazrìi@
@Where are the snowshoes?@|@Aih gweejìi?@
@Where do you live?@|@Nijìn dèe gwiinch'ìn?@
@Where is he?@|@Nijìn gwits'àt ahàa?@
@Where is the gun?@|@Diik'ee gweejìi?@
@Where is the packsack?@|@Khah gweejìi?@
@Where is the tent@|@Nìivyaa gwejìi?@
@Where is the trap?@|@khyàh gweejìi?@
@Who is this?@|@jii juudìn t'iinch'ùu?@
@Willow@|@K'aii@
@Wind@|@Ahtr'eii@
@Wind (north)@|@Dyee ahtr'eii'@
@Wind (south)@|@Nuu ahtr'aih@
@Wind (west)@|@Ddhah ts'êîî@
@Winter@|@khaii@
@wolf@|@zhòh@
@wood@|@Dachan@
@Yellowberry@|@Nakàl@
@you are drinking tea@|@lìdii khwanìi@
@you are drinking tea (sg)@|@lìddi nidinìi@
@your house@|@nizheh@
@your house (pl)@|@nakhwazheh@

