@English@|@Burmese@
@all right@|@kaun bi@
@all the many@|@khäpang@
@all together@|@khap@
@alluvium@|@nunh, nwan@
@alms offered to the monks@|@hsun, soon@
@an edge@|@šägrim@
@an extra blanket@|@saun bo ta hte@
@an offering@|@ählu@
@ancestor in the 5th generation@|@phang@
@ancient folding book@|@parabaik:@
@and@|@ne.@
@animal@|@sah, tarei' hsan@
@animal body@|@käuj@
@annoy@|@ngrih@
@another@|@tacha@
@ant@|@pu-rwak@
@anything else@|@ta cha:@
@apex@|@thip@
@apologise@|@taun: ban@
@appear@|@pla, pra'@
@approach@|@chin: ka'@
@area@|@akye@
@arithmetical number@|@kinh, kjinh@
@armpit@|@gjak-ka'-li, gjak-käli'@
@army@|@ta' madaw@
@arrive@|@yau@
@arrive at a proper place@|@chäuk@
@arrow@|@hmrah, mhlax, mla, mlax@
@ashes@|@m-japx, pra@
@ask@|@mei:, mijh@
@ask to do@|@hma@
@asleep@|@ei' nei@
@at@|@hma@
@at first@|@asa. hma@
@at home@|@ein hma@
@at leisure@|@ah@
@at once@|@che' chin@
@at the ... hotel@|@... hote' mha@
@attempt@|@che' chin, kyo: za@
@attractive@|@kham'@
@automobile@|@maw taw ka:@
@awl@|@cuh@
@axe@|@pü-c'hin@
@bachelor@|@lu byo@
@back@|@pyan@
@back of an animal@|@kjauk, klukx@
@bag@|@ei'@
@baggage@|@wun zi zale@
@bamboo@|@kra, wa:, wah, wax@
@bamboo sprouts@|@hmjac, smi, smik@
@banana@|@hngak, ngapyaw:, sngak@
@bank money@|@ban@
@bank river@|@kan:@
@bargain@|@zei: hsi'@
@bark of a tree@|@khauk, skuk, skukx@
@bark of tree@|@ãpwijh@
@barking deer@|@khij, khjij@
@barrens@|@kjat@
@basin@|@ang-khwak@
@basket@|@put@
@bathe@|@yei cho:@
@battle@|@c'ac'@
@be@|@shi@
@be abrupt@|@c'a@
@be abundant@|@pawh@
@be acquainted with@|@kjwam@
@be afraid@|@than'@
@be alive@|@hrang@
@be angry@|@khu'@
@be arrogant@|@mau@
@be ashamed@|@hrak, srakx@
@be at liberty@|@lwat@
@be attached to@|@khang@
@be barren@|@mrum@
@be beautiful@|@lwa'@
@be bent@|@hnwat, khwang@
@be big@|@krih@
@be bitter@|@sak@
@be blown in the wind@|@lwang'@
@be born@|@phwah@
@be bright@|@c'añ', langh, thangh@
@be brilliant@|@kran, kranh, praung@
@be brimming@|@hljamh@
@be clean@|@san'@
@be clear@|@hrwanh, kjangh@
@be compassionate@|@thauk@
@be concave@|@hauk, häuk, khräuk, khwak@
@be congealed@|@khajh@
@be content@|@pjaw@
@be contracted@|@kjum'@
@be convex@|@khumh, phu'@
@be cooked@|@kjak@
@be crooked@|@kauk@
@be dark@|@hmaung, hmäungh, krut, nak@
@be delayed@|@kran'@
@be deranged@|@rawh@
@be destroyed@|@pjak, präw@
@be dirty@|@nauk@
@be double@|@cum, pruh@
@be downcast@|@phinh@
@be drawn aside@|@jwaj'@
@be dried up@|@khanh@
@be dry@|@khrauk, s-kruk@
@be elegantly dressed@|@kraw'@
@be empty@|@ha@
@be ended@|@tumh@
@be enough@|@lum, ngam@
@be enough for all@|@nga'@
@be fat@|@c'hu@
@be filled@|@khat@
@be finished@|@prih@
@be firm@|@khäung@
@be first@|@c'a'@
@be fitting@|@ljauk@
@be foolish@|@saw'@
@be fragrant@|@thum@
@be freed from@|@kjwat@
@be friable@|@rwa'@
@be friendly@|@rangh@
@be full@|@prañ'@
@be funny@|@praung@
@be healthy@|@kjanh, kjanh-ma@
@be high@|@mlang, mrang', mrung'@
@be hungry@|@cha@
@be ill@|@na@
@be in the charge of@|@simh@
@be incipiently putrid@|@säwh@
@be irascible@|@chat@
@be joyful@|@hrwanh@
@be large@|@ngwah@
@be lazy@|@khäw@
@be lean@|@kjum, krum@
@be level@|@ñi@
@be light@|@paw'@
@be like@|@tu@
@be long in doing@|@kra@
@be loose@|@naj'@
@be loosed@|@prij@
@be lost@|@pjauk@
@be loud@|@c'i@
@be low@|@nim'@
@be luxuriant@|@phwam'@
@be melted@|@pjaw@
@be mute@|@a'@
@be narrow@|@kjañh, kjap@
@be nearly dry@|@than'-than'@
@be nearly ripe@|@rwamh@
@be not thick@|@kjajh@
@be numerous@|@khji'@
@be obedient@|@kha'@
@be obligue@|@hrwij@
@be of green colour@|@c'imh@
@be of poor quality@|@khja, khra@
@be of various colors@|@kraung@
@be parted from@|@kangh@
@be peeled off@|@krut@
@be pierced@|@pauk@
@be pinched@|@nap@
@be pleasant@|@jan', sa, tang'@
@be pleasant to the taste@|@c'him', in'@
@be plenty@|@kum@
@be polished@|@lwang@
@be poor@|@brel@
@be possessed@|@hmang-tak-mi'@
@be quick@|@ljang@
@be rare@|@thuh@
@be red@|@ni@
@be removed@|@prut@
@be rotten@|@ri'@
@be rough@|@kjanh, kramh, ramh@
@be round@|@lumx, slumx, wanh, wäungh@
@be salty@|@ngan@
@be scared@|@thit@
@be scared of@|@rwam'@
@be separated@|@prah@
@be sepatated@|@san'@
@be short@|@täw@
@be short as garment@|@taungh@
@be similar@|@c'ham@
@be sleepy@|@mjanh@
@be slow@|@hnijh@
@be small@|@ngaj, sijh@
@be smooth@|@tañ'@
@be soft@|@änu', nuh@
@be sour@|@khjan, khjan'@
@be split@|@phaj', phra@
@be spotted@|@thangh@
@be stained@|@cwanh@
@be steep@|@c'auk@
@be stiff@|@taung'@
@be straight@|@tam@
@be straightward@|@tañ'@
@be submerged@|@mlup, mrup@
@be submissive@|@nwam@
@be suspended@|@twajh@
@be tart@|@phan@
@be the end or extremity@|@c'wan@
@be thick@|@pac, pjac, thu@
@be thrown down@|@khja', kla'@
@be tight@|@tangh@
@be tiny@|@hmwah@
@be tough@|@kat@
@be unknown to@|@cimh@
@be variegated@|@prauk@
@be very low@|@pu'@
@be very old@|@raw@
@be warm@|@lum@
@be weak@|@c'hwan'@
@be wet@|@auk, cäw, phap@
@be wide@|@kjaj@
@be withered@|@kjang, ljaw@
@be worth@|@tan, thäuk@
@be wrinkled@|@twan'@
@be yellow@|@wa, wangh@
@be young@|@nu'@
@beach@|@kan: gyei@
@beans@|@nauk, pajh, snok@
@bear@|@wam@
@beard@|@mut-chit@
@beautiful@|@chuo de lu, hla, hla. lai' ta, kaun: lai' ta@
@because of@|@a twe@
@become dry@|@swij'@
@become friends@|@khung@
@become separate@|@kwa@
@become stiff@|@kjañ@
@bed@|@ei' ya@
@bedroom@|@ei' khan:@
@bee@|@pjah, pjax@
@begin@|@sa@
@begin to form@|@mum@
@bellows@|@phäw'@
@belly@|@wam@
@belong@|@hsain@
@better@|@tha@
@beyond@|@pa'@
@bifurcate@|@phra@
@big@|@dy, kyi:, ndy@
@big ants@|@kjan'@
@big basket with a lid@|@pha@
@bird@|@hngak@
@birth-mark@|@hmaj@
@bite@|@pan, thVk@
@bite with the teeth@|@käuk@
@bitter@|@kha:, khah, khax@
@black@|@me:@
@block bench@|@khum@
@blood@|@swijh@
@blow of wind@|@sut@
@blue@|@apya, majh@
@blunt@|@pij@
@boastful@|@krwah@
@boat@|@hlij, s-lij@
@body@|@kaung@
@boil by steaming@|@paungh@
@bolt@|@kjañ@
@bone@|@khrang, räwh, räwx@
@book@|@sa ou', saaou'@
@book shop@|@sa ou' hsain@
@border@|@c'an'h@
@borrow@|@khijx, khjijh@
@bottle@|@palin:@
@bow as the head@|@kup@
@bow for shooting@|@lijh, lijx@
@bowels@|@gu, u@
@bowstring@|@hnäw'@
@box@|@kap@
@boy@|@yau' kya: lei:@
@boy and girl@|@maung ;ma@
@boy- aspirant@|@shin laung@
@branch@|@äkhak, s-kak@
@branch of a tree@|@käungh@
@bread@|@mun'@
@breast@|@näw, rang@
@breath@|@äsak, sakx@
@bridge@|@cam, dada:@
@brightness@|@gzi, od@
@brim@|@hnut-khamh@
@broad@|@kljaj@
@brocade@|@phajh@
@brother@|@maung, mong@
@brown@|@däling@
@brush@|@c'ut@
@bubble@|@c'hu@
@Buddhist Lent begins@|@wa win@
@buddhist monk@|@phongyi@
@buddhist nun in burma@|@sayar lay, theikhar-shin, thela-shin@
@buffalo@|@k-lojx, kjwajh, praung@
@bull@|@nwah@
@bundle@|@c'añh@
@Burmese@|@bama sa, mran-ma@
@burn@|@hräw', tukx, tx@
@bus@|@ba' saka:@
@business@|@lou' ngan:@
@but@|@dabeime.@
@butterfly@|@lip-pra@
@buttocks@|@phang, tang@
@buy@|@waj, we@
@buzz@|@räuk@
@by@|@ne.@
@cabbage@|@mun-la@
@calf of the leg@|@bjin-pa@
@call@|@sming@
@calm@|@nyein@
@can i help you@|@ku ya. ma la:@
@can i help you?@|@ku nyi ba ya. zei@
@can you teach me to@|@myanma lo pyaw:@
@cancel@|@khjij@
@candle@|@hpayaun: dain@
@canoe@|@laungh, lung, lungx@
@canvas@|@pit@
@car@|@ka:@
@carry on the back@|@päwh, päwx@
@carry on the shoulder@|@thamh@
@carve@|@thu'@
@casket@|@krut@
@casting net@|@kwan@
@cat@|@k-rong, kraung@
@catch@|@phamh@
@catch a person@|@chwajh@
@cattle@|@nga@
@cave@|@hläung@
@centipede@|@kangh@
@certain@|@thag@
@certainly@|@da geba@
@chaff@|@phwajh, phwajx@
@chair@|@kala htain@
@chatty@|@äwh@
@cheap@|@paw:@
@cheek@|@pah, pax@
@chicken@|@krak@
@chief abbot@|@sayadaw@
@chief resident monk@|@kyaung htaing sayadaw@
@child@|@keláe@
@children@|@kha lei@
@chinese food@|@ta you' sa@
@chisel@|@c'hauk, cungh@
@choose@|@rwijh@
@chop off@|@phrat@
@chopsticks@|@tu@
@cicatrize@|@kjak@
@classifie@|@youk@
@classifier for houses@|@c'haung@
@classifier for nets@|@phum@
@classifier for saints@|@pah@
@clean@|@cang-kraj, hrangh@
@clench fists@|@c'hup@
@close@|@pit@
@close to@|@äpah@
@cloth@|@watx@
@clothes@|@a wu'@
@cloud@|@cam, stim, tím@
@coconut@|@unh@
@coffee@|@kawfi@
@coffin@|@khaungh@
@cold@|@grang@
@cold season@|@hsaun: ya thi@
@column@|@täung@
@come@|@'ong, la@
@come in@|@winge. ba@
@come out@|@thwak@
@command@|@min'@
@common house fly@|@jang@
@complete@|@aung, c'um@
@computer@|@kunpyuta@
@contagious skin disease@|@hnang@
@continue@|@lù', lukx:@
@control@|@päung@
@copper@|@krijh, krijx@
@corpse@|@mhang@
@country@|@prañ, pyi, thäungh@
@court@|@rumh@
@cow@|@nwá, nwax@
@cows@|@nwá-dwae@
@cremation ceremony@|@phongyi pyan@
@crest@|@ämauk@
@cricket@|@pu'-rac@
@crop-damaging insects@|@pja'@
@cultivated spot of ground@|@ja@
@curved@|@khau@
@cushion for sitting@|@phun@
@cut into little pieces@|@hmjanh@
@cylindrical basket@|@khjaung@
@daily@|@nei. zin@
@dammer-bee@|@kwajh@
@danger@|@ran@
@dark in colour@|@ngräw@
@darling@|@a chi'@
@day@|@nei, nei., nij'@
@daytime@|@nei. bain:@
@dead coal@|@mih-swijh@
@deaf@|@pangh, pangx@
@debt@|@mri@
@declare@|@ngakx, ngax, ngra@
@deep@|@nak@
@deep basin@|@panh-kan@
@deliver from some evil@|@kaj@
@democracy@|@dimokareisi@
@desk drawer@|@am@
@despise@|@munh@
@destroy@|@phjak, phräw@
@detest@|@rwam@
@devil@|@nat a nat, natx@
@diameter@|@äkhjangh@
@diamond@|@cin@
@difficult@|@kak, khak@
@dig@|@tuh, tux@
@diminish@|@cwan'@
@dinner@|@nya. za htamin@
@disgrace@|@pa'@
@dish@|@bagan@
@dismantle@|@spak@
@disproportionately tall@|@lu@
@distance@|@ta@
@distribute according standards@|@pjamh@
@dive into@|@hnäuk@
@divide into several parts@|@c'it, chit@
@divided in the midst@|@kwajh@
@dizzy@|@muh@
@do@|@lou'@
@do you understand?@|@na: le ye. la@
@dog@|@khujx, khwijh@
@don't touch me there!@|@di ni ya ma thih ba net@
@door@|@daga:@
@dove@|@khjäwh, khräwh@
@drag@|@ngang@
@draw@|@khapx@
@drink@|@šukx, thau'@
@drive away@|@hnang@
@droop@|@phah@
@drug@|@zij@
@drum@|@c'añ@
@dry@|@cui'@
@dry land@|@krañh@
@dull@|@hnäwh@
@dumb@|@mäuk, thum, thun@
@dung@|@bhang@
@dust@|@phun, phut@
@dwelling@|@nei ein@
@dye@|@hmut@
@ear@|@ax, nah, nax@
@ear-boring for the first time@|@nar- tha@
@earth@|@mrij@
@earthworm@|@ti@
@east@|@a shei.@
@eat@|@än, sa:@
@edible root@|@pinh arum@
@egg@|@u', wu'@
@eggs@|@kye' u.@
@eggs fried@|@kye' u. gyaw@
@eggs steamed@|@kye' u baun@
@eight@|@hrac, s-riatx, shi', shiq@
@eighteen@|@hse-shi@
@eighty@|@shi-seh@
@elder@|@mangx@
@elder brother@|@ac-käw@
@electricity@|@hlya' si' da'@
@eleven@|@seh'ti@
@email@|@hlya'si'saa@
@emancipate@|@-lwat@
@emerge from@|@thuakx@
@enclosure@|@khram@
@encompass@|@rac@
@enjoy@|@c'am@
@enormous@|@eiyama@
@envelope@|@sa ei'@
@equal@|@hri', phi@
@erect@|@chuk, chukx@
@essence@|@panh-rak, wat-rak@
@even@|@cum'@
@every@|@si@
@examine@|@hru'@
@example@|@pum@
@example of action@|@nanh@
@excavate in a direction@|@khaung@
@excrement@|@khjijh, khlijx, kjak, kjang@
@excuse me@|@khin mya, shin@
@exhausted@|@phah@
@exist@|@hri', phlac', phrac'@
@expel@|@paj@
@expensive@|@phäwh, phäwx, zei: kyi:@
@explain@|@phat@
@explanation@|@änak@
@extend@|@khang, ngau'@
@eye@|@mjak.@
@faint@|@minh, mjaw@
@fall face on the ground@|@wap@
@family@|@mi. tha: zu.@
@fang@|@c'waj, cwaj@
@far@|@ujx, wijh, wijx@
@fast@|@myan@
@father@|@a-pha', bäwh, phäwx@
@father's brother@|@a-wo@
@father's old sister's husband@|@vang-mo@
@father's younger brother@|@bha'-thwijh@
@fax@|@faks@
@feast@|@pwajh@
@features@|@c'hangh@
@feel pangs of pain@|@c'ac'@
@feel satisfied@|@khjam, khjamh@
@female@|@-ma, ama@
@female breast@|@cö@
@female genitalia@|@caw@
@fence@|@wangh@
@fence of any kind@|@khram@
@ferry@|@gado.@
@few@|@nanh@
@fifteen@|@hse'nga@
@fifty@|@nga seh@
@film@|@hpalin@
@filthy@|@krijh, nac@
@fine@|@nup@
@finger@|@lak-khjaungh@
@finish@|@kjwanh@
@finish doing smth@|@pac@
@fire@|@mejh, mih, mjh, py@
@firm@|@rang'@
@fish@|@nga:, ngah, nghax@
@fish poison@|@räwh@
@fish-pond@|@kramh, kramh@
@five@|@nga, ngà, ngah, nghax@
@five children@|@keláe nga@
@fix in@|@tap@
@flaming red@|@ta@
@flat surface@|@pjan@
@flea@|@hlijh@
@floor@|@tälang@
@flow@|@jäw@
@flower@|@panh, wat@
@flying squirrel@|@hruh@
@fog@|@rmu@
@food@|@a sa:@
@food bowl@|@thabeik@
@footwear@|@phi'-nap@
@forest@|@c'in@
@fork@|@khak-rang@
@fork of legs@|@kap@
@former time@|@hrijh@
@four@|@lè, lè. lijh, lei, lijx@
@fourteen@|@hse'lei@
@fourty@|@lei-seh@
@fragile@|@chat, krwap@
@freeze@|@khjamh@
@fresh@|@la' hsa'@
@fresh cow milk@|@nwa: no@
@friday@|@thau'kya@
@fried rice@|@hta mi: gyaw:@
@friend@|@mäkhu, mei' hswei, rwij@
@frighten@|@khrauk, kruk@
@frog@|@phah, spah@
@from@|@ga@
@from time to time@|@äkrin@
@fruit@|@athi:, six@
@fuel@|@thangh@
@Full moon of Waso@|@Wazo la. byei.@
@Fullmoon of Kason@|@byei, kasoun la@
@Fullmoon of Tabaung@|@da baun: la. byei.nei@
@fuse@|@khjak@
@gadfly@|@hmak@
@gall@|@sanh-khrij@
@game@|@kjah@
@gate@|@tam-khah@
@gather in a crowd@|@prum@
@gem@|@kyau' mye'@
@genuine@|@rangh@
@ginger@|@khjangh@
@give@|@chak, pei:@
@give birth@|@cì, mäwh@
@give way@|@phaj@
@glitter@|@c'an', lak, prak@
@globular@|@lumh@
@go@|@lah, thwa:@
@go back@|@pyan thwa@
@go by boat@|@hlei ne. thwa:@
@go slow@|@hpyei: byei: pyaw:@
@go to bed@|@ei' ya win, go to bed@
@go..go away!@|@thwa:thwa:@
@goitre@|@mrangh@
@gold@|@hrwij, schwei, sruj@
@good@|@kaj@
@good bye@|@thwa dau me, thwàme naw@
@good morning@|@mingala ba@
@good voice@|@kjuh@
@good-bye@|@thwa: bi@
@govern@|@up@
@grandchildren@|@m-lijx, mrijh, s-lijx@
@grandfather@|@äphäwh@
@grandmother@|@phijh, phijx@
@grass@|@mhrukx, mrak, mrukx@
@grave@|@ku@
@great teacher@|@sayagyi, sayamagyi@
@grind@|@krij@
@ground@|@krañ@
@guardian spirit being@|@nat@
@guess at on a sight@|@cha'@
@gulp@|@mläw@
@gush forth@|@panh@
@hair@|@c'ham, cham, mäw', mwijh@
@hairy caterpillar@|@khu@
@half@|@äwak, wak@
@hammer@|@tu@
@hand@|@lak, lakx@
@handle@|@ätam@
@happy@|@pyaw@
@happy new year@|@hni' thi' mingala ba@
@hare@|@jun@
@harness@|@hnat, ka'@
@harrow@|@thwan@
@have@|@shi@
@have cramps@|@kjinh@
@have tender regard for another@|@c'a@
@have you a vacant room@|@akhan: lu'shi. la:@
@head@|@gux-tux, khaungh, khaungh, sgu, tux, uh@
@head ornament@|@äthwat@
@hear@|@'kh, khua@
@heat@|@a pu@
@heavy@|@lci@
@hello@|@mingâlaba!, nekàõyélà@
@her@|@khjang'@
@herpes@|@pwijh@
@hide@|@hwak, hwak, lpags, pags, phwak, wakx@
@hill@|@taun goun:@
@hip@|@paung@
@hit@|@hnak@
@hold in hand@|@käung@
@hole in the ground@|@twangh@
@holiday@|@a: la' ye'@
@holy one@|@paya@
@hoof@|@hwa, khwa@
@horn@|@khjäw, khräw@
@horse@|@mhrungx, mrangh@
@horsefly@|@smakx@
@hot@|@cha, pu@
@hot season@|@nwei yathi@
@hotel@|@hote@
@house@|@'im, ein, im, täuk@
@how@|@be lau le:@
@how are you?@|@nei kaun ye. la@
@how far is it?@|@ba lau' wei: th a le:@
@how long will you be there@|@di hma beh lau' kya ma le@
@how much@|@balau' le:@
@how much cost@|@balau' kyat. tha le:@
@how much is this room@|@di akhan: ga. be lau le:@
@how much?@|@belao'lè@
@hug@|@phak@
@hump@|@päw'@
@hundred@|@ra, rja, taya@
@hurry up@|@myan myan lou@
@husband@|@khin bun:@
@husband and wife@|@maung-hnam@
@husband's younger brother@|@mat@
@husked rice@|@chan, chhan@
@hut@|@tajh@
@I@|@ca-mah, ca-naw, da-beh-doh, da-ga, kyaw-mya, kyaw-naw, nga@
@i am ...@|@... lu myo: ba@
@I am eating@|@sá-nae-de@
@I am eating now@|@sá-bi@
@i am glad to see you@|@twei. ya da wun: tha ba de@
@i am going now@|@thwa; lai pa oun me@
@i am hungry@|@hsa bi@
@i am thirsty@|@yei nga' te@
@I ate@|@sá-geh-de@
@i don't want to eat@|@hta' ma sa: nain@
@I eat@|@sá-de@
@i want to eat...@|@... sa: jin de@
@I will eat@|@sá-me@
@I will eat straight-away@|@sá-dauh-me@
@i would like to go shopping@|@zei: we htwe' chin de@
@ice@|@yeige:@
@i'm full@|@wa. neibi@
@i'm sorry@|@sei' mashi. ba ne.@
@impetus@|@chwa'@
@in@|@ahte: hma@
@in a row@|@äc'an'@
@incipient bud@|@ämum@
@increase@|@c'un'@
@Independance Day@|@lu' la' yei: nei.@
@initiation ceremony@|@shinpyu@
@ink@|@hmang@
@insect@|@päwh, päwx@
@inside@|@an, thajh@
@inside of the mouth@|@a@
@intend@|@kram@
@intention@|@tamh@
@intoxicating liquor@|@sij@
@iron@|@sam@
@island@|@kjwanh, klwan, kyun:@
@it doesn't matter@|@kei' sa. mashi. ba bu@
@It should never be@|@keláe-dwae ngá youk@
@jagged@|@cwanh@
@jail@|@thaung@
@jewellery@|@le' wu' le' sa:@
@joke@|@äsawh, nauk@
@jump@|@sut@
@keep back@|@thim@
@kick@|@khat@
@kill@|@sat, satx@
@king@|@mangh, min@
@kiss@|@cup@
@knee@|@duh, pat-law, pu'-chac@
@kneel@|@phat tho khaw@
@knife@|@da:, thah@
@knock@|@thu', tih@
@labour@|@kjang, kjang', kjang'@
@ladder@|@hlij-kah@
@ladle@|@c'wanh, jauk@
@lake@|@htwe'thwa:, kan@
@land-lily@|@hnangh@
@large quantity@|@a-kji'@
@large scissors to cut metal@|@kjit@
@large wicker basket@|@kak@
@last night@|@ma nei. nya@
@latch@|@khjak@
@lead@|@khajh@
@leaf@|@ärwak@
@leaf of tree@|@phak, phakx@
@learned@|@cang', sang@
@leave@|@a ye'@
@leech@|@kjwat, kr-watx@
@left hand@|@lak-wajh@
@left side@|@bhaj@
@leg@|@'khrij, khrij@
@leopard@|@kjah-sac'@
@leopard cat@|@khjij-sac'@
@leprosy@|@nu@
@letter@|@c'a@
@level@|@äc'hang, than'@
@lightly@|@hrap@
@lightning@|@hljap@
@like@|@m-ga@
@line@|@kraungh@
@liquid@|@ran@
@liquour@|@kyi.@
@little basket-shell@|@hrap@
@lizard@|@put-sang@
@locust@|@kjäungh@
@log@|@tumh@
@long@|@hran@
@long in doing@|@kra@
@long in time@|@krah@
@long-handled chisel@|@khwan@
@look@|@sha@
@look for@|@wun zi sale@
@lose@|@phjauk@
@loud@|@unh@
@louse@|@sanh, sanx@
@luggage@|@nei le za@
@lunch@|@lu@
@lungs@|@c'hut@
@lustful@|@mak@
@luxuriant@|@c'añ@
@maggot@|@lauk, luk@
@magic@|@hmau@
@main yard of a large boat@|@tanh@
@maintain@|@thuk, tuk@
@maize@|@praungh@
@majestic@|@mung-ngam@
@make@|@chang@
@malaria@|@hngak, hngak-phja@
@man@|@kjah, myei boun@
@many@|@mjah, mjax, myá@
@map@|@le' hta'@
@marker of an object@|@ah@
@marker of special question@|@nanh@
@marrow@|@krang-chi@
@marry@|@mi: gyi' hsan@
@martial@|@makx@
@masculine affix@|@pha'@
@masculine suffix@|@phäw'@
@match@|@no.@
@may i come with you@|@thwa. gwin. pyu. ba oun:@
@may i know your name@|@da' poun yai' pa ya. zei@
@may i see the room@|@lai' khe. ba ya zei@
@may i take your picture@|@akhan: go kyi. ba ya zei@
@me@|@Naxi@
@meals for monks@|@hsun, soon@
@meaning good layman@|@pothudaw@
@measure by the arms extended@|@lam@
@measure of about 2.2 litres@|@pran@
@measure with a span@|@thwa@
@measure with breadth of fist@|@mäuk@
@meat@|@sah@
@memorial@|@äthimh-ähmat@
@merchandise@|@kun@
@merciless@|@cimh@
@merit acquired@|@kutho@
@merry@|@pjak@
@mesh of net@|@kwak@
@metal tray@|@lang-panh@
@middle@|@dbung, laj@
@midnight@|@tha gaun@
@milk@|@hnäw, no, nwànó, pai' hsan@
@millet@|@c'hap@
@mingle@|@hnauh@
@minister@|@wan@
@mishap@|@kap@
@mist@|@hnangh@
@mix@|@sup@
@moat@|@kjumh@
@moderate@|@ngwij'@
@molar@|@am, am-swah@
@mole@|@pwijh@
@monastery@|@kjaungh, phongyi kyaung@
@monday@|@tanin: la@
@money@|@käung, la.@
@monkey@|@mhlukx, mjauk@
@monster@|@kjat@
@moon@|@la', taun@
@morning@|@mänak, sokx@
@mosquito@|@khrang, s-krang@
@mother@|@maj@
@mother's brother@|@gux, uh@
@mother's younger sister@|@mi'-thwijh@
@mountain@|@taung, U.@
@move a thing out of its place@|@hrwij'@
@move from one's place@|@rwij'@
@mr.@|@u@
@Mr.@|@daw@
@Mrs.@|@nan me@
@much@|@prangh@
@mucilagenous@|@kji'@
@mucus@|@hnap, snapx@
@mushroom@|@hmäw, s-mäw@
@musk-deer@|@la', sla@
@myanmar food@|@myanmar za@
@myanmar month@|@nadaw, tabaung, tapodwe, tazaungmon, waso@
@nail@|@sañh@
@name@|@a na:, man@
@napkin@|@hnih@
@near@|@khau' hswe, nih, nix@
@neck@|@khjaungh, khlong, lañ, lañ, ling@
@needle@|@ap, gapx@
@nephew@|@tu@
@nerve@|@krawh@
@nest@|@äsäuk@
@net@|@thung@
@new@|@sac, sikx@
@night@|@mjVx, n'a', n'añ', rjakx@
@nine@|@ko, kò@
@nineteen@|@hse-ko@
@ninety@|@ko-seh@
@no@|@ma' hou ; hin. in, mahobu, mâhou' pabù@
@no; i don't understand@|@na ma: le bu@
@noodles@|@khau' hswe:, myau'@
@noon@|@mun: de.@
@north@|@myau', thi la. shin@
@northeast@|@a shei. myau'@
@northwest@|@a nau' myau'@
@nose@|@hna, sna@
@not difficult@|@lwaj@
@not spherical@|@prah@
@not thick@|@krajh@
@novice@|@shin@
@now@|@akhu.@
@numerative for hits@|@khjak@
@numerative for nails@|@phih@
@numerative of flat@|@khlap@
@nun@|@a lou' a kain@
@oblong and convex@|@hlwah@
@observe@|@cac, khjap@
@obstinate@|@mrajh@
@obtain@|@kham, kham, ra'@
@occupation@|@hpwin.@
@oil@|@c'hi, chi@
@OK@|@kaun: bi@
@old novice@|@koyin-gyi@
@one@|@ac, tac', thikx, ti', tiq, tix@
@one minute@|@ta-ma-ni@
@one of the nations of Burma@|@mwan@
@one time@|@äphan@
