@Indonesian@|@English@
@(kebiasaan) berurat akar@|@inveterate@
@(kejahatan) terang2an & menyolok@|@flagrant@
@(kejahatan) yg disengaja@|@wilful@
@(kemurahan) Tuhan@|@providence@
@(kota) pelabuhan@|@port@
@(kuda) berbelang@|@piebald@
@(kuda) berladam@|@roughshod@
@(kuda) lari kencang@|@gallop@
@(kulit) putih/perang@|@fair@
@(kulit) tupai busuk dr Amerika Utara@|@skunk@
@(layar) menggembung@|@belly out@
@(lekas) mual@|@squeamish@
@(lucu) payung@|@gamp@
@(lucu) surat@|@missive@
@(maha)raja@|@monarch@
@(masa@|@tenure@
@(masa) berkasih2an/pacaran@|@courtship@
@(masuk) biara@|@cloister@
@(matanya) merah@|@bloodshot@
@(me)remuk(kan)@|@shatter@
@(melapisi dgn) tembaga@|@copper@
@(mem)bongkok@|@bend@
@(mem)bungkuk(kan)@|@hunch@
@(memahat dgn) pahat kuku@|@gouge@
@(membedah utk) mempelajari/memeriksa dgn teliti@|@dissect@
@(membuat) mengantuk@|@drowsy@
@(membuat) noda kotor@|@blotch@
@(mencatat dlm kolom) hutang@|@debit@
@(meng)gelenyar@|@tingle@
@(mengambil) risiko@|@hazard@
@(menggali) lubang (spt lubang kelinci/musang)@|@burrow@
@(menirukan) pidato@|@burlesque@
@(mentega/minyak) tengik@|@rancit@
@(menutup) atap dr jerami/ilalang@|@thatch@
@(menutupi) dgn batu kerikil@|@gravel@
@(menyembah) berhala@|@fetish@
@(menyerupai) tulang rusuk@|@rib@
@(meraba dgn) jari kaki@|@toe@
@(musik utk) dansa pelaut yg lincah@|@hornpipe@
@(musik utk) paduan suara di pentas@|@chorus@
@(musik utk) tarian Skotlandia@|@reel@
@(musim) paceklik@|@famine@
@(musim/hasil) panen@|@harvest@
@(nyawa) terpish dr badan@|@disembodied@
@(ongkos) terlalu tinggi/bsr@|@exorbitant@
@(org tua) sehat & kuat@|@hale@
@(org yg diberi) surat kuasa@|@proxy@
@(org) malu@|@hangdog@
@(paranormal)@|@invoke@
@(pastor) mendengarkan pengakuan dosa & mengampuni@|@shrive@
@(payung@|@furl@
@(pem)batasan@|@definition@
@(pemerintahan oleh) gol kaya & berkuasa@|@plutocracy@
@(pen)cakar@|@claw@
@(peng)harapan@|@expectancy@
@(penyakit) bawaan sejak lahir@|@congenital@
@(penyakit) scr teratur tdpt di suatu bangsa/suku@|@endemic@
@(per)hiasan@|@ornament@
@(perasaan gembira)tercurah@|@effusive@
@(perasaan)tajam &@|@exquisite@
@(perbandingan yg) dicari2@|@far-fetch@
@(percapakan/syair/sesuatu) yg dpt mempengaruhi -@|@sugesti@
@(permintaan/harga) terlalu tinggi@|@extortionate@
@(permukaan) bergelombang@|@undulate@
@(peta) grs yg menghub tempat yg sama tingginya@|@contour line@
@(pohon) yg batangnya merunduk@|@weeping@
@(pohon/buah) apel liar@|@crab@
@(rambut) kuning muda@|@flaxen@
@(rambut) kusut@|@matted@
@(rambut) merah kekuningan@|@sandy@
@(rambut/bulu) licin & halus@|@sleek@
@(rencana/tindakan)mungkin dpt berguna/membantu@|@expedient@
@(sepak bola) mulai@|@kick off@
@(sepatu dr)kulit kijang yg halus@|@moccasin@
@(spt) neraka@|@inferno@
@(suami) dikuasai istri@|@henpecked@
@(suara) keras & kuat@|@stenorian@
@(suara) rendah & merdu@|@rotund@
@(sudut) tumpul@|@obtuse@
@(suka) minuman keras@|@tipple@
@(tanaman) bukan jantan maupun betina@|@neuter@
@(tdk dpt bekerja/bebas tugas krn) cacat@|@invalid@
@(tempat kediaman) perempuan piaraan@|@harem@
@(tempat pertemuan) badan pembuat UU@|@chamber@
@(tempat tinggal) perempuan piaraan@|@seraglio@
@(tempat) membuat uang logam@|@mint@
@(tenaga dr) makanan@|@nourishment@
@(tenaga utk) berrpindah tempat@|@locomotion@
@(tentara) penghubung@|@liaison@
@(terbuka thd) bahaya@|@hazard@
@(ttg hewan) keabu2an@|@rooan@
@(tulisan/pidato) puji2an@|@eulogy@
@(ukuran lingkar)-@|@bust@
@(up)on:bergantung@|@rely@
@(wajah) bulat & gemuk@|@rotund@
@(wajah) kemera2an@|@florid@
@(wajah) kemerah2an@|@rubicund@
@(wajah) mjd merah@|@blush@
@(wajah) yg terkena terik mthr/angin@|@wheater-beaten@
@(wajah)lesu & cekung (krn kurang tidur)@|@haggard@
@(wajah/mata) cekung@|@sunken@
@(wkt) yg berlalu@|@elapse@
@(wol) dr biri2@|@merino@
@*@|@asterisk@
@*tempat garam/gula yg berlubang kecil di atasnya@|@castor@
@*tukang bola di lap. golf@|@caddy@
@...@|@ordinal@
@/lagu@|@measure@
@/memahami/membaca/melihat@|@make out@
@/pandai/baik/hebat@|@brilliant@
@/rambut hitam@|@brunette@
@/tebing yg curam@|@bluff@
@~ & cry:keributan@|@hue@
@~ & span:bersih & rapi@|@spick@
@~ (out):mabuk@|@zonked@
@~ (work):mengirimkan job utk dikerjakan org lain@|@farm out@
@~ a fly:memukul lalat@|@swat@
@~ acid:bahan pengawet@|@boric@
@~ at:membiarkan@|@wink@
@~ block:anak laki mirip ayahnya@|@chip of the old, chip off the old@
@~ blooded:berdarah dingin@|@cold@
@~ canal:saluran pencernaan@|@alimentary@
@~ hours:jam2 sibuk@|@peak@
@~ in years:sangat tua@|@stricken@
@~ in:masuuk ke dlm barisan@|@file@
@~ in:roboh@|@cave@
@~ lighting:lampu neon@|@fluorecent@
@~ of events:berlalunya peristiwa2@|@march@
@~ of the time:mengikuti jaman@|@abreast@
@~ of:sejajar@|@abreast@
@~ one on:mendesak@|@egg@
@~ one out (with):menyediakan utk seseorg@|@rig@
@~ one with:terus-menerus menyediakan bg seseorg@|@ply@
@~ one word:berjanji@|@plight@
@~ one:menemani/menyertai seseorg@|@bear@
@~ one's ear:menempeleng@|@box@
@~ ones head off:membentak2 seseorg@|@snap@
@~ ones time:menunggu kesempatan@|@bide@
@~ oneself (on):membanggakan dirinya (akan)@|@plume@
@~ oneself:bertgjwb atas@|@commit@
@~ oneself:hilang kesabaran@|@beside@
@~ out:menyalin@|@write@
@~ senses:sadar diri@|@come to@
@~ smthng up:danya@|@rig@
@~ smthng up:mendirikan suatu dgn cepat2 bahan sea-@|@rig@
@~ something up:memungut@|@get@
@~ something up:mengatur@|@get@
@~ time:nyaris terlambat@|@nick@
@~ up:menulis dgn memuji2@|@write@
@~(apple):buah/pohon apel liar@|@crab@
@~...up:memusnahkan@|@cut up@
@~d in:asyik dgn@|@bury@
@~ed:mencandu@|@addict@
@~frog:permainan lompat2an@|@leap@
@~hold:disewa  utk bbrp wkt@|@lease@
@~ing man:seseorg yg dianggap akan mjd penting@|@come@
@~light:lampu panggung yg terang@|@lime@
@~s & ends:campuran tetek bengek@|@odd@
@~s of family:kesusahan keluarga@|@care@
@=abide@|@abode@
@=abuse@|@abusively@
@=align@|@aline@
@=ally@|@allied@
@=amid@|@amidst@
@=arise@|@arose@
@=avid@|@avidity@
@=balk@|@baulk@
@=ballon barrage@|@barrage ballon@
@=bar@|@barred@
@=batter@|@batsman@
@=beseech@|@besought@
@=bid@|@bade@
@=bile@|@bilious@
@=blaze@|@blazon@
@=bleed@|@bled@
@=boatswain@|@bosun@
@=boo@|@booh@
@=breed@|@bred@
@=bury@|@burial@
@=byte@|@bitten@
@=caddy*@|@caddie@
@=calf@|@calves@
@=callipers@|@calipers@
@=care along@|@career through (over@
@=cascase@|@carcass@
@=castor*@|@castorter@
@=chiper@|@cypher@
@=cleave@|@cleft, clove, cloven@
@=cling@|@clung@
@=come across@|@come upon@
@=cone@|@conical@
@=conical@|@conic@
@=connection@|@connexion@
@=coppice@|@copse@
@=courgette@|@zucchini@
@=creep@|@crept@
@=crosier@|@crozier@
@=crow@|@crew@
@=dally@|@dalliance@
@=dare@|@durst@
@=deacon@|@deaconess@
@=deal@|@dealt@
@=dike@|@dyke@
@=dint@|@dent@
@=dispatch@|@despatch, despatch@
@=dissemble@|@dissimulate@
@=dram@|@drachm@
@=dwell@|@dwelt@
@=elf@|@elves@
@=encyclopedia@|@cyclopedia@
@=equity@|@ekuitas@
@=expel@|@expulsion@
@=expose@|@exposure@
@=fetish@|@fetich@
@=fiord@|@fjord@
@=flee@|@fled@
@=fling@|@flung@
@=freeze@|@frozen, froze@
@=fretsaw@|@jigsaw@
@=furze@|@gorse@
@=galosh@|@golosh@
@=gauntlet@|@gage@
@=gay@|@gaily, gaiety@
@=genus@|@genera@
@=gibe@|@jibe@
@=gild@|@gilt@
@=gilded@|@gilt@
@=gipsy@|@gypsy@
@=gird@|@girt@
@=glory@|@glorify@
@=godchild@|@godson, goddaughter@
@=godmother@|@godfather, godparent@
@=goose@|@geese@
@=grief@|@grievous@
@=griffin@|@griffon, gryphone@
@=grill@|@grating grille@
@=grudge@|@begrudge@
@=guild@|@gild@
@=heave@|@hoove@
@=hedge@|@hedgerow@
@=hob~@|@goblin@
@=hoof@|@hooves@
@=humpback@|@hunchback@
@=hyena@|@hyaena@
@=hypodermic needle@|@syringe@
@=impudent@|@impudence@
@=inquire@|@enquire@
@=jasmin:bunga melati@|@jasmine@
@=jetsam@|@jettison@
@=kerb@|@curb@
@=lax@|@laxity@
@=loath@|@loth@
@=lodestone@|@loadstone@
@=louse@|@lice@
@=lumber along@|@lumber by, lumber pass@
@=lusin@|@doz.@
@=melt@|@molten@
@=namely:yaitu@|@viz@
@=ounce@|@oz@
@=overhead charges@|@overhead expenses@
@=pack-horse@|@pack-animal@
@=pallet@|@palliase@
@=paratrooper@|@paratroops@
@=partake@|@partook@
@=perambulator@|@pram@
@=perchance@|@peradventure@
@=poetical@|@poetic@
@=pot@|@pottery@
@=predestine@|@predestinate@
@=premise@|@premiss@
@=prepatation/preparatory@|@prep@
@=proportional@|@proportionate@
@=punkah@|@punka@
@=puppy@|@pup@
@=pygmy@|@pigmy@
@=rancour@|@rancor@
@=reflection@|@reflexion@
@=refrigerator@|@fridge@
@=renounce@|@renunciation@
@=repertoire@|@repertory@
@=retired@|@retd@
@=roadstead@|@roads@
@=rot@|@rotten@
@=satiate@|@sate@
@=scrape@|@abrade@
@=seek@|@sought@
@=set aside@|@set apart@
@=sew@|@sewn@
@=shabby@|@shabbier, shabbiest@
@=shear@|@shorn@
@=shine@|@shone@
@=shoe@|@shod@
@=showroom@|@showcase@
@=showroon@|@showwindow@
@=shrink@|@shrunk, shrank@
@=silvan@|@sylvan@
@=sink@|@sank@
@=siphon@|@syphon@
@=slack up@|@slack off@
@=slay@|@slain@
@=sledge@|@sled@
@=sleuth@|@sleuth-hound@
@=sluice@|@sluice-gate, sluice-valve@
@=slump down@|@slump into@
@=smite@|@smote@
@=smitten by@|@smitten with@
@=sniff@|@snuff@
@=snuffle@|@sniffle@
@=sparse@|@sparsity@
@=speed@|@sped@
@=spin@|@spun@
@=spit@|@spat@
@=staunch@|@stanch@
@=stick@|@stuck@
@=sting@|@stung@
@=stink@|@stank, stunk@
@=strick@|@struck@
@=stride@|@strode@
@=string@|@strung@
@=strive@|@strove, strove, striven@
@=summons (jamak)@|@summonses@
@=swear@|@swore, sworn@
@=swell@|@swollen@
@=swim@|@swum@
@=swing@|@swung@
@=swop@|@swap@
@=sympathetic@|@sympathize@
@=tawdry (lebih)@|@tawdrier@
@=tawdry (paling)@|@tawdriest@
@=tear@|@tore, torn@
@=thou@|@thee@
@=thou ~:engkau boleh ...@|@shalt@
@=thrive@|@throve@
@=throw@|@threw@
@=timid@|@timorous@
@=tip@|@tiptoe@
@=tiro@|@tyro, tyro@
@=totalizator@|@tote@
@=tread@|@trod, trodden, trod, trodden@
@=tumbril@|@tumbrel@
@=turf@|@turves@
@=ubiquitous@|@ubiquity@
@=vie@|@vying@
@=wary@|@warily@
@=weave@|@wove, woven@
@=whim@|@whimsy@
@=whitsun@|@whit@
@=whittle@|@whittle down, whittle away@
@=wicket@|@wicket-door, wicket-gate@
@=will@|@wilt@
@=wind@|@wound, wound, winded@
@=wit@|@witticism, witty@
@=worth@|@worthwhile@
@=wring@|@wrung@
@>1@|@divers@
@->survival@|@viva@
@0.065 gram@|@grain@
@0.142 liter@|@gill@
@1 ~:sependpt@|@mind@
@1 dr bbrp-@|@count@
@1 kilak@|@span@
@1 Poundsterling@|@quid@
@1 sisi@|@elevation@
@1 warna@|@monochrome@
@1/100 franc@|@centime@
@1/2@|@hemi-, demi-@
@1/2 jln@|@midway@
@1/2 lingkaran@|@amphitheatre@
@1/2 pingsan krn terkejut/mabuk@|@stupor@
@1/2 tiang@|@half-mast@
@1/2 tidur@|@doze, drowse@
@1/4 galon=1.136 ltr@|@quart@
@1/8 galon@|@pint@
@10 firman Tuhan pd Musa@|@decalogue@
@10% penghasilan utk zakat@|@tithe@
@100@|@hecto-@
@1000 thn@|@millennium@
@12 rasul Yesus@|@disciple@
@14 feb@|@valentine@
@2@|@twain@
@2 ~s:ragu2@|@mind@
@2 baris syair yg pnjgnya sama & bersajak@|@couplet@
@2 benda@|@clearance@
@2 jenis@|@hybrid@
@2 kelokan@|@reach@
@2 perasaan yg bertentangan@|@ambivalence@
@2 thn 1X@|@biennial@
@2/3/4 batalyon@|@brigade@
@2/lebih huruf yg dijadikan 1 pola@|@monogram@
@220 yard@|@furlong@
@24 Juni@|@midsummer@
@26 Desember@|@Boxing Day@
@28 pon@|@quarter@
@2X 1 thn@|@semi-annual@
@2X sethn@|@biannual@
@3 kali lipat@|@treble@
@3 mil@|@league@
@3 serangkai@|@triplet@
@3 thn sekali@|@triennial@
@3X@|@thrice@
@4 Kitab Injil@|@gospel@
@4 penyanyi@|@quartette@
@40 hari sblm Paskah@|@lent@
@453.59 gr@|@pound@
@480 helai kertas (rim)@|@ream@
@5 grs // utk not balok@|@staff@
@5.5 yard@|@rod@
@66 kaki@|@chain@
@8 galon@|@bushel@
@80@|@four-score@
@a ~ days' wonder:beberapa hari saja@|@nine@
@a ~ days' wonder:sesuatu yg menarik perhatian utk-@|@nine@
@a ~ of course:semestinya@|@matter@
@a ~ to pick with one:berselisih dgn seseorg@|@bone@
@a ~ to pick with one:punya keluhan2 pd seseorg@|@bone@
@a ~:sesuatu/org yg dijadikan sasaran ejekan@|@sight@
@a bolt from the ~:& mengejutkan@|@blue@
@a bolt from the ~:suatu yg tiba2@|@blue@
@a change of ~:mpbaiki kelakuan@|@heart@
@a chip of(f) the old ~:wajah/kelakuan spt ayahnya@|@block@
@a clean ~:latar blk baik@|@slate@
@a matter of ~:rapkan@|@course@
@a matter of ~:sdh sehrsnya/semestinya@|@course@
@a pretty ~ of fish:kead canggung/serba salah@|@kettle@
@a square ~:perlakuan adil@|@deal@
@a tight ~:kead sulit@|@corner@
@a tooth ~:tusuk gigi@|@pick@
@A.S.@|@Amerika Serikat, United States@
@aan@|@appropriation@
@aba2@|@attention@
@abad@|@centennial, century@
@abad@|@century@
@abadi@|@eternal, deathless@
@abadi@|@eternal@
@abadi@|@forever@
@abai@|@neglectiful@
@abai ... mengabaikan@|@ignore, underestimate@
@abang@|@(Jkt and some other regions). form of address for older working -class males with whom o. is not acquainted. Form of address to o.'s husband of\r boyfriend. Us. As bang.@
@abdi@|@servant; slave; meng-kan, subjugate/make subservient@
@abjad@|@alphabet@
@above ~:sama sekali tdk perlu dicurigai@|@suspicion@
@above ~:terbuka@|@board@
@above ~s:melampaui batas kemampuan utk dipahami@|@head@
@absen@|@absent@
@abu@|@dust@
@abu@|@ash, cinder@
@abu@|@dust, kayu sawdust. Ashes. - bara cinders. Cleansing powder.@
@abu (mis sisa kremasi)@|@ash@
@abuh@|@swollen; swelling (not common)@
@abur@|@meng-, ng-, squander, waste@
@acak@|@disordered; random; meng-2, mess up, put in disorder; shuffle (of cards)@
@acak2an@|@desultory@
@acar@|@pickle@
@acara@|@event@
@acara@|@program, programme@
@acara@|@agenda; schedule; procedure (judicial); peng-, lawyer, attorney@
@acara pembuka@|@prelude@
@acara pertunjukan@|@programme@
@acara sandiwara/lagu/tarian yg tersedia utk diper-@|@repertoire@
@acting seorg pemain@|@histrionic@
@active ~:berperang@|@service@
@acu@|@meng-, refer to; -an, reference; ber-an, have reference to@
@acuan@|@reference@
@acuh@|@count@
@acuh@|@care; not care@
@acuh tak acuh@|@lassitude, nonchalant@
@acum@|@to incite, instigate, provoke.@
@acung@|@meng-, point upward; meng-i, point out, draw attention to; meng-kan, hold up hand; point s.t.@
@acuuh tak acuh@|@cold@
@AD@|@army@
@ada@|@exist@
@ada@|@-, -lah, to be, exist; (there) is / are; ke-an, situation, condition; peng-an, stock, supply, provisions@
@ada@|@ke-an, situation, condition; pen-an, stock, supply, provisions, procurement; keber-an, existence@
@ada baik & buruknya@|@cut both ways@
@ada harapan@|@glimmer of hope@
@ada sejak permulaan@|@primordial@
@adab@|@courtesy; culture; ber-, cultured, civilized; polite@
@adab ... beradab@|@courteous, polite, well-mannered@
@adat@|@custom, survival, ritual, institution, convention@
@adat@|@custom, habit, way@
@adat@|@custom/tradition; manners/proper behavior; ber-, customary/traditonal; well mannered@
@adat istiadat@|@ceremony, manner@
@adat istiadat rakyat@|@folklore@
@adat-istiadat/sopan-santun@|@regular@
@adegan@|@scene@
@adegan@|@scene (in play) (- ranjang (iron bed), sex scene)@
@adegan penutup pd opera@|@finale@
@adem@|@cool, calm; - ayem, cool and calm; meng-, cool o.s.off; ke-an, felicity@
@adik@|@younger brother or sister or younger cousin@
@adil@|@pro rata, just, impartial, equitable, square, impersonal, righteous, fair, scale@
@adil@|@fair, just, righteous@
@adil@|@just, fair, equitable; legal; pen-an, court;meng/di-i, (v) try (in court)@
@adil & jujur@|@sportsmanlike@
@administrasi@|@administration, management@
@adonan@|@paste@
@adonan@|@dough@
@adonan kue@|@batter@
@adonan roti (tepung & air)@|@dough@
@adpertensi@|@ad, advertisement@
@adu@|@compete, competition; ber- (meng-) collide; compete@
@adu@|@meng-, complain about; sue; inform, sqeal, report@
@aduh@|@ouch! ow! (expression of pain)@
@aduh!@|@alas@
@aduk@|@shuffle@
@aduk@|@mix, mixture; meng-, stir; meng-2, stir up; -an, mix/mixture; peng-, stirring; peng-an, mixing, stirring (of)@
@adv dr conciliate@|@conciliatory@
@advokat@|@barrister@
@aforesaid spt di atas@|@afore@
@after a ~:sekedar@|@fashion@
@after one's own ~:yg paling disukai/disenangi@|@heart@
@agak@|@quite, slim, slight, certain, trifle, simply, somewhat, pretty, comparatively@
@agak@|@a little, some, to some extend, fairly, rather@
@agak@|@rather, somewhat, approx.@
@agak asin@|@brackish@
@agak besar@|@sizeable@
@agak dingin@|@chilly@
@agak gila@|@touched@
@agak kekecilan@|@small side@
@agak kurus@|@slight@
@agak lambat/siang@|@latish@
@agak mabuk@|@tipsy@
@agak pedas tapi enak@|@piquant@
@agak ter-@|@covert@
@agak tua@|@elderly@
@agak/cukup bsr@|@respectable@
@agama@|@religion@
@agama Kristen@|@Christiany@
@agar@|@in order to (supaya); (indicates final purpose or intention)@
@agar2@|@jelly, gelatine@
@agen@|@agency@
@agen@|@agent@
@agen majalah/koran@|@news agent@
@agen pengurus tanah@|@estate agent@
@agresivitas@|@aggressiveness@
@agung@|@august, eminent, lofty, arch-, majestic, gallant, illustrious, glorious, stately, regal@
@agung@|@distinctive@
@ah/sokongan/tunjangan dr pemerintah@|@grant@
@Ahad@|@Sunday@
@ahli@|@adept, proficient, artisan, accomplished, authority, scholar, scholarly, masterly@
@ahli@|@expert, specialist@
@ahli@|@expert; specialist; members; relatives@
@ahli astromoni@|@star-gazer@
@ahli berdebat@|@parliamentarian@
@ahli hkm internasio@|@publicist@
@ahli hukum@|@jurist@
@ahli kaca mata@|@optician@
@ahli keuangan@|@financier@
@ahli kimia kuno@|@alchemist@
@ahli menentukan yg salah/benar bdsrkn teori/kebia-@|@casuist@
@ahli menulis surat@|@scribe@
@ahli nujum jaman Romawi@|@augur@
@ahli pemain (musik/artis)@|@virtuoso@
@ahli penyakit@|@pathologist@
@ahli penyakit kaki & kuku@|@chiropodist@
@ahli pidato@|@orator, rhetorician@
@ahli pijit@|@masseur, masseuse@
@ahli silsilah@|@genealogist@
@ahli sulap/sihir@|@conjurer, conjuror@
@ahli teori@|@theorist@
@ahli tumbuhan/hewan@|@naturalist@
@ahli waris@|@heir@
@ahli waris perempuan@|@heiress@
@ahli/dokter bedah@|@surgeon@
@ai@|@diphthong@
@aib@|@disgrace, dishonour, disrepute, smirch, slur, stigma, shame, blot@
@aib@|@shame; disgrace; scandal; error; mistake; blame; reprimand@
@aid & ~:membantu & menghasut@|@abet@
@air@|@water@
@air darah@|@serum@
@air empedu@|@bile@
@air garam@|@brine@
@air jeruk sitrun@|@punch@
@air kotor bekas cucian@|@slops@
@air laut surut@|@neap, neaptide@
@air liur/ludah@|@saliva@
@air ludah@|@spittle@
@air mancur@|@fountain@
@air mata buaya@|@crocodile tears@
@air mengalir melalui pipa@|@hydraulic@
@air muka@|@complexion@
@air pasang@|@flood-tide@
@air pd permukaan yg spt keringat@|@sweat@
@air perah@|@juice, sap@
@air raksa@|@quicksilver@
@air selokan@|@sewage@
@air sisa setelah susu dibuat keju@|@whey@
@air terjun@|@chute, shoot@
@air terjun besar@|@cataract@
@air terjun kecil@|@rapid@
@air terlalu banyak kapurnya@|@hard water@
@air-mata@|@tear@
@air-terjun@|@waterfall@
@ajab@|@surprised; astonished@
@ajaib@|@miraculous, weird, wonder, uncanny, inscrutable, fanciful, portentous@
@ajaib@|@miraculous/astonishing/remarkable; ke-an, miracle (mukjizat)@
@ajak@|@ask@
@ajak@|@invite, ask@
@ajak ... mengajak@|@invite@
@ajakan@|@invitation@
@ajal@|@leg, doom@
@ajang@|@program; (acara)@
@ajar@|@bel-, study, learn (-kan, meng- teach); kurang -, crude/extremely rude; mempel-i, study carefully/scrutinize@
@ajar ... mengajar@|@teach@
@ajaran@|@precept, tenet, doctrine, school@
@ajaran mengenai keesaan Tuhan@|@theism@
@ajaran moral Paus@|@ensiklik@
@ajaran/penafsiran yg dianut org banyak@|@mazhab@
@ajaran/pengaruh buruk@|@poison@
@aju@|@meng-(kan), file/submit/apply/propose; peng-an, submission/offer/tender@
@ajudan@|@adjutant@
@ajudan jenderal@|@aide-de-camp@
@ajuk@|@observe, estimate, test (meng-an,v) (Boleh kuajukan? May I see?)@
@akal@|@gadget, device, wit, shift, resource, intelligence, contrivance@
@akal@|@intelligence@
@akal@|@mind, reason, intellect; - waras, common sense; - melintas, sudden thought@
@akal budi@|@intellect@
@akal sehat@|@sagacity, sense@
@akal/pikiran sehat@|@horse-sense@
@akan@|@sure of@
@akan@|@will (future particle); about/regarding@
@akan datang@|@impending@
@akan terbit/datang@|@forthcoming@
@akan terjadi@|@impending@
@akan tetapi@|@however@
@akan tjd@|@brew@
@akar@|@root@
@akar umbi@|@tuber@
@akar/pohon2an@|@mulch@
@akhir@|@end, ending@
@akhir@|@end, finish; -nya final, last; ber- end; ber-kan end in; meng-i end, close; meng-kan place last; ter- latest; peng-an ending, concluding@
@akhirat@|@eternity, hereafter@
@akhirat@|@the hereafter, the beyond@
@akhirnya@|@ultimately, eventually, eventually, fine@
@akhirnya@|@at last, finally, ultimately@
@akhlak/nama baik@|@honour@
@aki@|@accumulator@
@akibat@|@outcome, aftermath, consequense, effect, issue, consequence@
@akibat@|@consequence, consistency, conclusion, effect@
@akibat@|@result, consequence@
@akibat dr@|@arise@
@akibat dr perbuatan@|@harvest@
@akibat tdk langsung@|@repercussion@
@akibat yg wajar@|@corollary@
@akrab@|@get on with, fast, chummy@
@akrab@|@intimate/chummy; ber-an, close to/fond of@
@akrobat@|@tumbler@
@akrobat melempar bola2 ke atas@|@juggle@
@aksen@|@accent@
@aksi@|@action; handsome, attractive; ber-, in action; show off; always on move@
@akte@|@deed@
@aktif@|@live, viable@
@aktif@|@active@
@aktiva@|@assets; (penyertaan, investment)@
@aku@|@I, me@
@aku@|@I, me, mine@
@aku@|@meng-, confess/admit; guarantee/promise; claim to be; consider as o's own@
@aku@|@meng-i, acknowledge/admit/confess/recognize/acknowledge@
@akur@|@reconciliation@
@AL Spanyol yg dikirim utk melawan Inggris thn 1588@|@armada@
@alam@|@natural, nature@
@alam@|@nature@
@alam@|@natural/nature; world/realm; be more kn'ble; peng-an, experience@
@alam baka@|@eternity@
@alam semesta@|@cosmos@
@alamat@|@symptom, herald, augury, objective, omen, forerunner, herald@
@alamat@|@address@
@alamat@|@address; si-, the addressee; ber-, have an address; meng-I, put address on; meng-kan, address s.t.@
@alamat buruk@|@ominous@
@alamat/pertanda baik@|@auspicious@
@alamat/tanda@|@earnest@
@alamiah@|@(alami) natural, concerned w/ nature@
@alan yg tdk dpt diatasi@|@defy@
@alang@|@middle, medium; crosswise, diagonal; crossbeam, bar; -2, partitions (of room); tall, coarse grass@
@alang2@|@weed@
@alang-alang@|@tall coarse grass@
@alangkah ributnya!@|@to-do@
@alas@|@bed@
@alas@|@-an, reason, excuse, evidence@
@alas@|@s.t. to sit on (blanket, mat, newspaper, etc)@
@alas betis@|@pad@
@alas kaus kaki@|@sole@
@alas sepatu boot@|@stud@
@alas tiang@|@plinth@
@alas tiang/patung@|@pedestal@
@alasan@|@justify, occation, excuse, ground, contention@
@alasan bohong utk menipu@|@sophism@
@alasan yg tdk benar@|@pretence@
@alasan/sebab@|@account@
@alat@|@vehicle, device, organ@
@alat@|@means, tool, instrument@
@alat@|@instrument/tool/device/equipment@
@alat berbentuk aneh@|@contraption@
@alat berbentuk kerucut terbalik utk-@|@hopper@
@alat dlm mesin utk menghub/memutuskan bag2 yg be-@|@clutch@
@alat kecil berujung runcing@|@pick@
@alat kecil yg berguna@|@gadget@
@alat memecah buah -@|@cracker@
@alat memecah buah keras (kenari)@|@nutcracker@
