@English@|@Kirghiz@
@become curved@|@cholžuj-@
@become pale@|@ong-@
@become satiate@|@toj-@
@become short@|@choloj-@
@bed@|@kepebet@
@bed-bug@|@qantala@
@bee@|@aari, äry@
@beer@|@pivo@
@beetle@|@qonguz@
@bell@|@qonghurö@
@bellows@|@körük@
@belly@|@karin, qaryn@
@belt@|@qur@
@bend@|@qajyr-, qyjšaj-@
@berad@|@sakal@
@berry@|@qara-hat@
@big@|@bijik, chox@
@big joy@|@bekü@
@big needle@|@temene@
@big vessel@|@chapchaq@
@bind by throwing the rope@|@chal-@
@birch bark@|@toz@
@birch tree@|@qajyng@
@bird@|@quš@
@bird dung@|@zang@
@bird's stomach@|@bötög, kö@
@bitch@|@qanchyq@
@black@|@kara, qara@
@blanket@|@žürqan@
@blessing@|@alqyš@
@blood@|@kan, qan@
@blue@|@kök@
@boar@|@qaman@
@boat@|@kaiyk, keme@
@body@|@boj, dene, syn@
@bone@|@cöök, söök@
@book@|@kitep@
@borer@|@üškü@
@bosom@|@qojyn@
@bother@|@emgek@
@boundary@|@adyr@
@bow@|@žä, žaj@
@bow string@|@kirich@
@box@|@ükök@
@brain@|@më@
@bran@|@kebek, typyn@
@branch@|@butaq, chybyq, chybyq, tarmaq@
@brave man@|@žigit@
@break off@|@omur-@
@breast@|@emchek, kökürök, töš, töš@
@breast strap@|@kömöldürük@
@breastplate@|@ömüldürük@
@bride@|@kelin@
@bridge@|@Köpürö, köpÿrö@
@bridle@|@žügön@
@broad@|@žalpaq@
@brother@|@aga, ini@
@brown@|@kÿröx, qula@
@buck@|@möngkü-@
@bud@|@bür@
@bull@|@buka, buqa, uj@
@bundle@|@bö, chü@
@butterfly@|@köpölök@
@buttocks@|@köt, žaja@
@by one venter@|@ujalaš@
@calf@|@baldir, muzö@
@calf of leg@|@baltyr@
@calf sucking two milch-ewes@|@tel@
@camel@|@tö, töö@
@camel stallion@|@büra@
@camel's pack-saddle@|@qom@
@camping-site@|@žurt@
@cap@|@tumaq@
@caress@|@syjpa-@
@carp@|@sazan@
@carry on back@|@art-@
@cartilage@|@kekirtek@
@cartilage of the shoulderblade@|@kechir@
@cat@|@myšyq@
@cattle@|@siyir@
@caution@|@abaj@
@chalk@|@bor@
@chap@|@žör@
@chase@|@ü@
@cheek@|@bet@
@cheek-pouch@|@ürt@
@cheese@|@cir@
@cherry@|@archa, chije@
@chicken-pox@|@chechek@
@child@|@bala@
@children@|@bala-chaqa@
@chin@|@eek@
@churn-staff for kumis@|@biškek@
@city@|@shaar@
@claw@|@tyrnaq@
@clean@|@arü@
@clever@|@tetik@
@cloud@|@bulut@
@clover@|@žonghuchqa@
@club-footed@|@majmaq, majryq@
@coagulated milk@|@žürat@
@coal@|@kömür, kömÿr@
@coat@|@žaqy@
@coat of mail@|@küpü@
@cockered@|@erke@
@cockle@|@qaramyq@
@coffee@|@kofe@
@cold@|@sük@
@colostrum@|@üz@
@come out@|@chyq-@
@common@|@öksük@
@community@|@toj@
@companion@|@ajaš@
@complete@|@tujuq@
@conform@|@ujuš-@
@coniferous forest@|@chege-, chege-dek@
@contortion@|@bertik@
@contradiction@|@qajyr@
@conus-shaped cylinder@|@sopaq@
@copper@|@baqyr, jez, žez@
@corncrake@|@tartar@
@corner@|@bulung@
@cotton@|@paxta@
@cotton seed(s)@|@chigit@
@country@|@el@
@courage@|@žürök@
@cover@|@qapqaq@
@cow@|@inek, ui@
@co-wife@|@kündöš, künü@
@craftsman@|@uz@
@crane@|@turuna@
@craw@|@bohoq@
@cripple@|@munžu@
@croup skin@|@söru@
@crow@|@qarha@
@crush@|@soq-@
@cry@|@qychqyr-@
@crystalline lens@|@aq chechekej@
@cunning@|@žoj@
@curse@|@qarha-@
@cut in slices@|@til-@
@dance@|@bij@
@dark brown@|@qongur@
@daughter@|@kiz@
@daughter-in-law@|@kelin@
@dawn@|@ürüng barang@
@day@|@kun, kün@
@death@|@ölym@
@deep@|@tereng@
@deep snow@|@kürtük@
@deer@|@žërde@
@demolish@|@üz-@
@descendants@|@urum@
@desert@|@chöl@
@destroy@|@buz-@
@dew@|@chyq@
@dictionary@|@sözdÿk@
@die@|@ašyq@
@different weed kinds@|@cheken@
@direction@|@žön@
@dirt@|@kir, saz@
@disappear@|@ychqyn-@
@disposition@|@yraj@
@distant@|@yraaq@
@ditch@|@žap@
@dog@|@it@
@doll@|@qürchaq@
@donkey@|@echek, ešek@
@Don't touch me there!@|@tiybe meni bul jerde@
@door curtain@|@ešik@
@double shin bone@|@syjra@
@dowry@|@sep@
@dream@|@tüš@
@dregs after boiling butter@|@chöbögö@
@drop@|@tamchi@
@dry@|@qaq, qurhaq@
@dry grass@|@qü@
@duck@|@ördök@
@dung@|@boq, tezek@
@dusk@|@ingir, ingirt, yngyrt@
@dust@|@toz@
@dwarf@|@qydyq@
@dye@|@bojoq@
@eagle@|@bÿrkÿt, küchügen@
@ear@|@kulak, qulaq@
@earmark@|@en@
@ear-ring@|@syrha@
@earth@|@topurak@
@earth-worm@|@söjülžan, sölžan@
@edge@|@qyrü, uch, žaqa@
@edge of a dish@|@erdö@
@edge of cloth@|@etek@
@egg@|@jumurtka, žumurtqa@
@eight@|@segiz@
@elder brother@|@aha@
@elder brother's wife@|@ženge@
@elephant@|@pil@
@elk@|@bulan@
@empty@|@boš@
@endowment@|@ülöš, ülüš@
@enemy@|@joo@
@energy@|@epkin@
@entertainment@|@ermek@
@ermine@|@arys@
@error@|@alah-dy, alang@
@evening@|@kesh@
@excrements@|@köng@
@excrescence@|@ur@
@experienced person@|@qybachy@
@exterior@|@öng@
@eye@|@köz@
@eye-ball@|@qareq@
@eyebrow@|@qaš@
@eyelash@|@Kirpik@
@face@|@bet, žüz@
@faecal masses@|@žin@
@falcon@|@qyjhyr, qyrhyj@
@fall@|@kÿs@
@false ribs@|@boqono@
@family@|@ÿi-bÿlö@
@famous@|@külük@
@fang@|@azü@
@fat@|@maj, semiz@
@father@|@aba, ata@
@fathom@|@qulach@
@fear@|@korkuu@
@feast@|@majram@
@feeling@|@sez@
@felt@|@kijiz@
@female@|@urhächy@
@female camel@|@ingen@
@female slave@|@küng@
@ferment@|@qor, uhut@
@fermented milk@|@qymyz@
@fetters@|@kišen@
@field mouse@|@kelemiš, keler, keles@
@file@|@egö, ögö@
@film@|@chel@
@finger@|@barmak, manja@
@finger ring@|@žüzük@
@fingernail@|@tirnak@
@fir branch@|@dek@
@fire@|@ot@
@first snow@|@qylamyq@
@fish@|@balik, balyq@
@fish trap@|@tuq@
@fishing rod@|@qarmaq@
@fist@|@žuduruq@
@fit into@|@syj-@
@five@|@besh@
@flag@|@žalau@
@flame@|@ört, žalyn@
@flap of door@|@qanat@
@flat@|@majpyq, žapalaq@
@flat ground@|@žazy@
@flea@|@bürgö, bÿrgö@
@flee@|@qach-@
@float@|@žüz-@
@flour@|@gÿl@
@fly@|@chymyn@
@foal@|@qulun@
@foaled mare@|@bë@
@fog@|@bü@
@fontanelle@|@emgek@
@fool@|@angqö@
@foot@|@aiak, ajaq, ayak, but, taman@
@foot-hill@|@böksö@
@foot-hills@|@böktör@
@footwear@|@bajpaq@
@for the sake of@|@üchün@
@forearm@|@bilek, chyqanaq@
@foreigner@|@žat@
@forest@|@ormon, tokoi@
@forty@|@qyrq@
@four@|@tört@
@fowl@|@tök@
@fox@|@tülkü, tÿlkÿ@
@freckles@|@sepkil@
@friend@|@dos@
@frog@|@baka, baqa@
@front@|@al, al-d-y@
@frost@|@ajaz@
@fruit@|@žimeš@
@fruit of some wild plants@|@aš@
@fry@|@kür-, küru-@
@full@|@mol, tolo@
@fumes@|@is@
@gad-fly@|@bö, böj, böjön, böjü@
@gall@|@öt@
@gappy@|@sejrek@
@garden@|@bakcha@
@garlic@|@sarymsaq@
@gate@|@qapqa@
@gather@|@ter-@
@get to know@|@täny-@
@gift@|@belek, söha, syj@
@gimp@|@oqo@
@girdle@|@kešene@
@girl@|@kiz, qyz@
@glowing heat@|@choq@
@glue@|@chirench, želim@
@goat@|@echki@
@god@|@kydai, teñir@
@gold@|@altin@
@good@|@žaqsy@
@good action@|@ijgi-lig@
@good fortune@|@qut@
@goose@|@kaz, qaz@
@govern@|@žasa-@
@gown@|@chapan@
@gradually@|@aqyrin@
@grape@|@žüzim@
@grass@|@chöp, ot@
@grasshopper@|@chegirtke@
@grating of the yurt@|@kerege@
@great@|@uluu@
@green@|@jachil, žasyl@
@grey@|@boz, sur@
@grey of eyes@|@chekir@
@grey-headed@|@chal@
@gristle@|@chemirchek@
@grow@|@uzaq@
@gruel@|@köchö, köžö@
@guest@|@konok@
@guilt@|@kesir@
@gusset@|@chabü@
@hack@|@chapqy@
@hair@|@chach, kil, qyl@
@hair in camel's beard@|@žohdor@
@hair of head@|@chach@
@hammer@|@balha@
@hand@|@alakan, kol@
@hand towel@|@sachaq@
@handful@|@üch, üchuch@
@handle@|@sap@
@hard@|@qatü@
@hard of steel@|@qurch@
@hare@|@kojon@
@harnessed animal@|@kölük@
@hat@|@börük, qalpaq@
@hawk@|@qartyha, qyran, qyrän@
@haystack@|@chömölö@
@head@|@bach, baš, bash@
@healthy@|@sö@
@heap of stones@|@qorum@
@heart@|@jürök, jÿrök@
@heavy@|@ör@
@heel@|@ökchö@
@he-goat@|@teke@
@hello@|@Salam, salamsatysby@
@helminth@|@qyna@
@help@|@kömök@
@hemp@|@kendir@
@hen@|@took@
@herd@|@üjür@
@hero@|@alp, bätyr@
@heron@|@qarqyra@
@hill@|@bök, qabaq@
@hilltop@|@töbö@
@hilt@|@baldaq@
@hoar-frost@|@qyrö@
@hole@|@üngkür-, üt@
@honey@|@bal@
@honorary place in the house@|@tör@
@honour@|@amyz@
@hoof@|@tujaq@
@hook@|@ilmek@
@hop@|@qulmaq@
@horn@|@müjüz@
@horse@|@at@
@horse-race@|@bajge@
@horse's bit@|@sülduruq, süluq@
@host@|@ë@
@hot@|@ysyq@
@hot wind@|@ysy@
@hot-tempered@|@albüt@
@hour@|@saat@
@house@|@üj, üy, ÿi@
@howl@|@ulu-@
@human being@|@adam@
@hummel@|@toqol@
@hundred@|@žüz@
@hunger@|@ach, achtik, žut@
@hunt@|@ü@
@hunting with dogs@|@sonor@
@husband@|@abyšqa@
@I@|@men@
@ice@|@muz@
@image@|@kep@
@inimical@|@qas@
@inner fat@|@qazy@
@instrument@|@söt@
@intelligence@|@ang@
@interior of smth.@|@ich@
@interrogative particle@|@-by@
@intestines@|@ichegi@
@iron@|@temir@
@iron hoop on a cask@|@qasqan@
@irritable@|@byš-@
@irritate@|@qozho-@
@is not@|@tügül@
@island@|@aral@
@jaw@|@žäq@
@joint@|@mün@
@joints in animals@|@baqaj@
@jug@|@qumhan@
@juice in meat@|@söl@
@jujube@|@žijde@
@kerchief@|@qypyq, žöluq@
@key@|@kilit@
@kidney@|@böirök@
@kidney(s)@|@böjrök@
@kin@|@uruq@
@kind@|@tür@
@king@|@korol@
@kitchen@|@achkana@
@knee@|@tize@
@knee cap@|@tomuq, topuq@
@knife@|@bichak@
@knucklebone@|@saqa@
@kumys@|@ajran@
@lair@|@ijin@
@lake@|@köl@
@lamb (6m. old)@|@toqtu@
@lamb that has stopped suckling@|@bahlan, bahylan@
@land@|@žer@
@language@|@til@
@large@|@iri@
@large bovine@|@syjyr@
@large earthenware vessel@|@žam@
@large intestine@|@mön@
@lark@|@torhoj@
@lasso pole@|@uquruq@
@last year@|@byltyr@
@late@|@kech@
@layer@|@qat@
@leaf@|@žalbyraq@
@lean and small@|@qytyraj-@
@leather@|@kön@
@leather belt@|@qajyš@
@leech@|@sülük, zülük@
@left@|@sol@
@lentil@|@žasymyq@
@level@|@tegiz, tüz@
@lie@|@žalhan@
@light@|@žaryq, žengil@
@like@|@süj-@
@lip@|@erin@
@little@|@kichü@
@liver@|@bör@
@load@|@žük@
@lonely@|@ölaq@
@long@|@uzun@
@long person@|@sopaj@
@long uncurable disease@|@kezik@
@louse@|@bit@
@lower part@|@tek@
@lower part of shank@|@bajmaq@
@lower side@|@ald, aldy@
@magpie@|@sahyzyan@
@malice@|@kek, qyžyn-@
@mallet@|@toqmoq@
@man@|@erkek@
@Man@|@Adam@
@mange@|@qotur@
@mankind@|@eren@
@many@|@choq, köp@
@margin@|@qyjü@
@marrow@|@žilik@
@marsh@|@batqaq@
@matchmaker@|@žüchu@
@mattock@|@ketmen-@
@mattress@|@töšök@
@meadow@|@chemirchek, chymyldyq', chymyldyryq, chymyndyq@
@meal@|@aš@
@measure@|@ülgü@
@meat@|@et, et@
@medicinal shrub@|@antyz, qar-andyz, qaryndiz@
@method@|@žošun@
@middle@|@orto@
@mild@|@žumšaq@
@milk@|@süt@
@millet@|@tarü@
@mint@|@žalbyz@
@mirage@|@saqym@
@mist@|@munar@
@moist@|@öl@
@mole on the face@|@meng@
@month@|@aj@
@mood@|@köngül@
@mother@|@ene@
@mother (to an elder woman)@|@achaj@
@mother-in-law@|@kaynene@
@mountain@|@tö@
@mountain forest@|@žyš@
@mountain slope@|@töš@
@mountain top@|@qyr@
@mouse@|@chychqan@
@moustache@|@murut, myjyq@
@mouth@|@ooz@
@move down@|@tüš-@
@movement@|@qyjmyl@
@mowing@|@chalhyn@
@mulberry tree@|@tyt@
@musical instrument@|@qomuz@
@musk@|@ahü, žypar@
@nail@|@qadö@
@naked@|@žalang@
@name@|@at@
@narrow@|@tar, tyhyz@
@nasal cavity@|@kengilžer@
@navel@|@kindik@
@near@|@žaqyn, žüq@
@necessity@|@kerek, žumuš@
@neck@|@mojun@
@needle@|@ijne@
@neighbour@|@qongšu@
@nephew@|@žën@
@nest@|@uja@
@net@|@ü, žylym@
@net for catching birds@|@tor@
@nettle@|@chalqan@
@new@|@Jañi, žañy@
@new-born@|@körpö@
@new-born animals@|@töl@
@night@|@kechë, tün@
@nine@|@toghuz@
@nit@|@sirke@
@No@|@Jok@
@nomadizing@|@köch@
@noon@|@tüš@
@noose@|@chalma@
@nose@|@murun@
@not@|@-ma-@
@now@|@emi, endi@
@oar@|@qajyq@
@oath@|@ant@
@oats@|@sulu@
@oblique@|@kyj-, qyngyr@
@observation@|@syn@
@obstruct@|@tyj-@
@old@|@qart, qary@
@old man@|@aža@
@old woman@|@eme@
@omen@|@yrym@
@one@|@bir@
@one hundred@|@j¨z@
@one of a pair@|@syngar@
@one of the pegs in a plough@|@abyl-qasym@
@one-eyed@|@olohoj, oloq@
@onion@|@sohan, sohon@
@ooze@|@saryq-@
@opposite@|@uturu@
@origin@|@tös, töz@
@originally@|@qolu@
@originate@|@törö-@
@other@|@önggö, özgö@
@outer side@|@tyš@
@overthrow@|@žyq-@
@owl@|@ükü@
@ox@|@ögüz@
@pain@|@syz@
@pair@|@qoš@
@pale grey@|@qü@
@pan@|@degene@
@parched nose@|@qangyryq@
@part of animal's skin@|@ök@
@part of booty@|@sörun@
@part of loom@|@küzük@
@part of the yurt@|@ergilchek@
@pass through@|@öt-@
@pasture@|@otor@
@patch@|@chüpürek, chüpürek-chapyraq@
@pea@|@bürchaq@
@pedestal@|@seki@
@peel@|@soj-@
@peel off@|@syjyr-@
@penthouse@|@bastyrma, sere@
@people@|@kiši@
@person@|@kishi@
@pig@|@donguz@
@pike@|@chorton@
@pile up@|@qala-@
@pillow@|@žastyq, žazdyq@
@pinchful@|@atym@
@pine cone@|@toburchuq@
@pitfall@|@qabaq@
@place@|@orun@
@place near the neck@|@sahaq@
@place of staying@|@ordo@
@place where two rivers meet@|@bohos@
@plait@|@tulum@
@plane@|@žon-@
@play@|@ojun@
@plough@|@amach@
@pluck@|@žul-@
@poker@|@kösö@
@poor@|@žardy, žarly, žaryly@
@poplar@|@terek, töraq@
@porridge@|@botqo@
@possess. suffix (3d person)@|@-sy@
@pot@|@ajaq@
@power@|@küch@
@powerful@|@kür@
@precious stone@|@qaš@
@prediction@|@yrys@
@pregnant of animals@|@booz@
@press in@|@tyq-@
@price@|@žal@
@pride@|@öktöm@
@pronounce@|@žangyr-@
@protect@|@qoru-@
@protection@|@baj terek@
@protruding edge of a mountain@|@sengir@
@pull out@|@sür-@
@punishment@|@qyjyn@
@pus@|@iring@
@put calf to a different milch@|@teli-@
@quail@|@bulduruq@
@quarrel@|@egeš-@
@quarrelsome@|@tusap-sa@
@quick@|@bat@
@quiet@|@žöš@
@quilted coat under armour@|@chopqut@
@quiver@|@keš@
@rafter@|@sal@
@rain@|@žamhyr, žän@
@raise@|@kötör-@
@ram@|@qochqor@
@ransom for bride@|@qalyn@
@rash@|@uchuq@
@rasp@|@türpü@
@raw@|@chij-ki, žaš@
@recently@|@baja@
@recite@|@oqu-@
@red@|@kizil, qyzyl@
@red clay@|@žošo@
@reed@|@chij, qamyš@
@regret@|@ökün-@
@relative-in-law@|@qajyn@
@remain@|@qal-@
@reproach@|@cham-da-n-@
@research@|@terge-@
@residues of food on dishes@|@žuq@
@resin@|@sahyz@
@rich@|@baj@
@right@|@ong@
@rise@|@ön-@
@road@|@žol@
@rock@|@qaja@
@rod@|@köla-@
@roe@|@ulduruq@
@roll together@|@tür-@
@roof@|@tam@
@room for grain@|@kendik@
@root@|@tamyr, tüp@
@rope for calves@|@žele@
@rotten@|@chirik@
@round@|@tegerek, tompoq, žumuru@
@round thing@|@top@
@rub@|@syla-, ük-@
@rug@|@kebez@
@rump@|@ucha@
@run@|@žügür-@
@rust@|@dat@
@sable@|@kiš@
@sack@|@qap@
@sacred@|@yjyq@
@saddle@|@ër@
@saliva@|@silämägäj@
@salt@|@tuz@
@saltwort@|@qamhaq@
@sand@|@qum@
@saturated@|@qujü@
@sausage@|@soqto@
@scabbard@|@qyn@
@sciatica@|@qujang@
@scoop@|@chömüch@
@scorpion@|@chajan@
@scrape@|@qyrq-@
@screen@|@köšögö@
@scrotum@|@tašaq@
@scruff@|@žal@
@scythe@|@chalhy@
@seam@|@žik@
@secretive@|@qytyj-@
@sedge@|@qyjaq, qyjhaq@
@seed@|@aštyq@
@servant@|@qul@
@set teeth on edge@|@qama-@
@seven@|@jeti, žeti@
@shadow@|@kölökö@
@shake@|@terbe-@
@shake up@|@sapyr-@
@shame@|@ujat@
@sharp stick@|@šiš@
@sharp-edged@|@süjrü@
@shave@|@qyr-@
@sheat-fish@|@žajyn@
@shin@|@san@
@ship@|@keme@
@shirt@|@köjnek@
@shoot@|@at-@
@short@|@qysqa@
@short-statured@|@choloq@
@shoulder@|@ijin@
@shovel@|@kürök, qalaq@
@side@|@qaptal, tuš, žan, žaq@
@sieve@|@elek, elgek@
@sign@|@ym@
@silently@|@tim, tym@
@sin@|@min, mün, žaz-@
@sinew@|@taramyš@
@single@|@žalhyz, žanghyz@
@sister's husband@|@žezde@
@six@|@alty@
@skilless@|@oldoqson@
@skin@|@qujqa, teri@
@skin tanned@|@žarhaq@
@sky@|@kök@
@slander@|@ušaq, ušaq, žala@
@sleeve@|@ženg@
@sling@|@salmör@
@slope@|@qyja@
@small@|@ušaq@
@small finger@|@chymchalaq@
@small path@|@chijir, chyjyr@
@small reed@|@boruq@
@small yurt@|@tegirtmek@
@smear@|@sür-, sürt-@
@smoke@|@tütün@
@snake@|@žylan@
@snout@|@tumšuq@
@snow@|@qar@
@soak@|@žibi-@
@soil@|@topuraq@
@sole@|@ultang@
@son@|@ül, uul@
@song@|@yr, žyr@
@song with 1 rhyme for 12 lines@|@ölöng@
@son-in-law@|@küjö@
@soot@|@kö, qurum@
@sorgho@|@žügörü@
@sorrow@|@qajhy@
@sound@|@kü@
@sow@|@chach-@
@space between@|@ara@
@span@|@qaryš@
@span between the fingers@|@sere@
@spark@|@qypyn@
@sparrow@|@chymchyq; chimeldirek@
@speech@|@söz@
@spin@|@ijir-@
@spinal marrow@|@žulun, žülün@
@spindle@|@ijik@
@Spiraea@|@tabylhy@
@spirit@|@tyn@
@spoke@|@kegej@
@spongy bone@|@kemik@
@spoon@|@qašyq@
@spring@|@žaz@
@sprinkle@|@sep-@
@squirrel@|@tyjyn@
@stable@|@bek@
@stagger@|@delbe@
@star@|@jildiz, žyldyz@
@starling@|@chyjyrchyq@
@steep bank@|@žar@
@step@|@adym@
@steppe@|@žalang@
@steppe fox@|@qarsaq@
@stick to@|@žabyš-@
@sticks supporting a yurt@|@üq@
@stiff@|@qalyn@
@stir up@|@bulha-@
@stomach@|@qursaq@
@stone@|@taš@
@storm@|@dobul, döl@
@stove hole@|@kemege@
@straw@|@samal, saman@
@stretch out@|@sun-@
@string@|@bohoo@
@stringer beam@|@sarap@
@strong@|@tyng@
@stubborn@|@qašang@
@stupid@|@teli@
@stupid person@|@engke@
@submerge@|@sing-@
@suffering@|@mung@
@summer@|@žaj@
@sun@|@kün@
@suspicion@|@žala@
@swaddle@|@chuq@
@swaddlingclothes@|@qundaq@
@swallow@|@qardyhach@
@swan@|@qü@
@swear@|@sök-@
@sweat@|@ter@
@sweet@|@chüchü, tattuw@
@swelling@|@bez@
@sword@|@qylych@
@tableland@|@syrt@
@tail@|@qujruq@
@talk@|@kelech-söz@
@tamarisk@|@žylham, žylhyn@
@tar@|@chajyr@
@taste@|@tatyq@
@tasteless@|@žühan@
@tear@|@qaq-, žaš, žaš@
@tear apart@|@sök-@
@temple@|@cheke@
@ten@|@on@
@ten thousand@|@tümön@
@tent@|@çatir, otö@
@tent covering@|@türduq@
@tether@|@kögön@
@Thank you@|@Raxmat.@
@that@|@a-(h)a (dat.), an-ta (loc.), o-šo, tigi@
@the essential part@|@öz@
@there is@|@bar@
@there is not@|@žoq@
@thick@|@žön, žoo-n@
@thick part of the thigh@|@qong@
@thief@|@üru@
@thigh@|@myqyn, žota@
@thimble@|@ojmoq@
@thin@|@ichke, qylmyj-, žarö@
@thin bread@|@chelpek@
@thin straps for sewing@|@kök@
@thirty@|@otuz@
@this@|@bu, bul@
@thou@|@sen@
@thousand@|@ming@
@thread@|@žip@
@threat@|@ses@
@three@|@üch@
@throw@|@sal-@
@thumb@|@barmaq@
@tie to@|@qat-@
@tiger@|@žolbars@
@time@|@chaq, qur@
@to advise@|@kengeš-@
@to ask@|@sura-, žalbar-, žalyn-@
@to assault viciously@|@tikirengde-@
@to attach@|@ula-@
@to attack@|@ob-dul-@
@to bake@|@qatyr-@
@to baptize@|@choqun-@
@to be@|@e-@
@to be afraid@|@ürk-@
@to be alarmed@|@bülün-@
@to be angry@|@qaq-@
@to be anguished@|@cherle@
@to be ashamed@|@ujal-@
@to be beneficial@|@žara-@
@to be bent@|@majryj-, majyš-@
@to be broken@|@syn-@
@to be confused@|@buj-da-@
@to be directed towards@|@žönö-@
@to be frozen@|@qajy-@
@to be happy@|@quban-@
@to be irritated@|@qozu-@
@to be jealous@|@künü-lö-@
@to be lost@|@žit-@
@to be mistaken@|@adaš-@
@to be perplexed@|@enö@
@to be satiated@|@bök-@
@to be satisfied@|@qan-, žalchy-@
@to be tired@|@ary-@
@to be wide open@|@anghar-, angqaj-@
@to be worried@|@öjü-@
@to bead@|@tiz-@
@to beat@|@chab-, chap-, ur-@
@to become@|@bol-@
@to become angry@|@tatar-@
@to become boiled@|@byš-@
@to become confused@|@ente-@
@to become covered by red blots@|@talö-lo-n-@
@to become drunk@|@esir-@
@to become excited@|@tam-@
@to become lean@|@toruq-@
@to become mad@|@qutur-@
@to become old@|@qart@
@to become strong@|@tyng-@
@to belch@|@kekir-@
@to bend@|@kekej-, maj-tar-, maj-tar- ö-, qaqaj-@
@to bind@|@chulha-@
@to bind to@|@taq-@
@to bind together@|@tang-@
@to bite@|@ysyr-@
@to bless@|@alqa-@
@to blow one's nose@|@simbir-@
@to boil@|@qajna-@
@to bow@|@bük-, žügün-@
@to branch@|@tarba-@
@to break@|@bertin-, mertin-, žyr-@
@to break off@|@tomur-@
@to breathe heavily@|@yntyq-@
@to burn@|@küj-, žan-, žan-, žaq-@
@to bury@|@köm-@
@to chew@|@chajna-, küj-š-ö-@
@to chop off splinters@|@tapta-@
@to click@|@chert-@
@to climb up@|@jarmaš-@
@to close eyes@|@žum-@
@to collect@|@žyj-@
@to come@|@kel-@
@to come to an end@|@tügön-@
@to constrict@|@qasas-@
@to cover@|@žap-@
@to cover up@|@bürkö-@
@to crawl@|@emgekte-@
@to creep@|@žyl-@
@to cross a mountain@|@aš-@
@to crush@|@ušat-, žanch-@
@to curl@|@bur et-, buruq-su-@
@to curse@|@žemir-@
@to cut@|@bich, kes-@
@to cut aslant@|@qyj-@
@to cut branches@|@buta-@
@to cut into slices@|@türa-@
@to dam@|@bögö-@
@to dance@|@bij-le-@
@to dash@|@tyz qoj-@
@to dawn@|@at-@
@to deceive@|@alda-@
@to decrease@|@öksü-@
@to dedicate@|@arna-@
@to defecate@|@chych-, sanghyt-@
@to demand@|@qycha-@
@to destroy@|@žoj-@
@to die@|@öl-@
@to dig@|@eš-, qaz-, üngü-@
@to diminish@|@qoro-@
@to dive@|@chömü-, chomul-, chömül-@
@to divide@|@böl-@
@to drag@|@soz-@
@to draw@|@chyz-, syz-@
@to draw near@|@žü-@
@to drink@|@ich-@
@to drive@|@ajda-@
@to drive away@|@sür-@
@to drop@|@tam-@
@to dry off@|@söl-@
@to dry out@|@kep-@
@to eat@|@že-@
@to embrace@|@quch-@
@to end@|@büt-@
@to enter@|@kir-@
