@Dalmatian@|@English@
@saran@|@serene@
@satoil@|@sated@
@satuar@|@to jump@
@saul@|@sun@
@saur@|@sister@
@sèela@|@splinter, chip@
@sèor@|@hatchet@
@sèor@|@dark@
@se@|@self, oneself@
@sedarul@|@handkerchief@
@sekla@|@sickle@
@sekuot@|@dried@
@senter@|@to feel, to percieve, to sense@
@septuanta@|@seventy@
@seraur@|@sister@
@si@|@sinar@
@sitko@|@sixteen@
@skutro@|@to remove@
@skutro@|@to remove@
@sois@|@upward@
@sombreya@|@shade@
@sonuar@|@to sound, to ring@
@sot@|@dry@
@spaika@|@spike@
@spaina@|@thorn@
@spiraè@|@aspargus@
@sploima@|@foam@
@spoit@|@sputum@
@sputa@|@sword@
@stal@|@millstone shaft@
@stala@|@star@
@stasaun@|@store, station@
@stataira@|@steelyard@
@stentuar@|@to work@
@stotuor@|@to extinguish@
@strengar@|@to squeeze@
@stur@|@to stand, to be@
@sublar@|@to whistle@
@sudaur@|@perspiration, sweat@
@sugol@|@lamb@
@surka pitsigaun@|@bat@
@surko@|@mouse@
@susane@|@plum@
@takar@|@to be silent@
@takla@|@pan, baking pan@
@tal'uor@|@to cut@
@te@|@thou@
@tenar@|@to have, to hold, to keep@
@tierè@|@slow, late@
@tinir@|@vat, tub@
@to@|@your@
@toi@|@you@
@tonur@|@to thunder@
@tormaint@|@to torture, torment@
@tot@|@all@
@tra@|@three@
@tragala@|@fishing net@
@tretko@|@thirteen@
@trua@|@beam, rafter@
@truar@|@to throw@
@trufo@|@wine jug@
@tun@|@thunderclap@
@tuota@|@father@
@turta@|@pie@
@tyara@|@earth@
@ultra@|@beyond, out over there@
@vaila@|@sail@
@vaina@|@vein@
@vaita@|@vine@
@vaklo@|@eye@
@valar@|@to be worth@
@vandro@|@to sell@
@vaple@|@maple-tree@
@ve@|@you (object)@
@vedar@|@to see@
@vedmuar@|@to harvest grapes@
@vei@|@alive, living@
@ven@|@wine@
@venc@|@twenty@
@vener@|@to come@
@venna@|@vinyard@
@vestér@|@to dress, to clothe@
@vestro@|@your@
@viala@|@squirrel@
@viant@|@wind@
@viantro@|@belly@
@viaspro@|@evening@
@vicain@|@neighbor@
@vièain@|@neighbor@
@vieklo@|@old@
@vindre@|@friday@
@voi@|@you@
@vu@|@you (plural)@
@vuarb@|@blind@
@vuarz@|@barly@
@vuas@|@bone@
@yamma@|@soul@
@yan@|@year@
@yarba@|@herb, grass@
@yaska@|@table@
@yauca@|@goose@
@yauka@|@table@
@yaur@|@gold@
@yaura@|@hour@
@yedma@|@week@
@yo@|@where@
@yoin@|@one@
@yoit@|@wet@
@yoiva@|@grape@
@yomno@|@man, human being@
@yonda@|@wave@
@yongar@|@to rub with ointment, anoint@
@yongla@|@nail (anat.)@
@yonko@|@eleven@
@yost@|@just, correct@
@yu@|@I@
@yuak@|@needle@
@yualb@|@white@
@yuarbul@|@tree@
@yultro@|@other, another@
@yuop@|@bee@
@yuv@|@egg@
@zauk@|@yoke@
@zer@|@to go@
@zizial@|@thimble@
@zoglo@|@neck@

