@English@|@Bambara@
@amen@|@amiina@
@America@|@Ameriki@
@amnesty@|@yafa@
@among@|@cèma@
@amulet@|@bàgan@
@amulette@|@sèbèn@
@amusement@|@tulon@
@analyse@|@sègèsègè@
@ancestor@|@bènba@
@and@|@ni@
@angel@|@mèlèkè@
@anger@|@diminya@
@angle@|@seleke@
@anguish@|@nyègan@
@animal@|@dantanfèn@
@animal market@|@bagansugu@
@ankle@|@senkuru@
@anniversary@|@sanyèlèma@
@annoint@|@mun@
@announce@|@lase@
@annoy@|@tòòrò@
@another@|@wèrè@
@answer@|@jaabi@
@ant@|@dugumènè@
@antelope@|@nkolonnin@
@anthem@|@fàsa@
@antidote@|@lakari@
@antilope@|@dajè@
@anvil@|@kulan@
@apart from@|@kò@
@apostle@|@ciden@
@apostleship@|@cidenya@
@appearance@|@cè@
@applaud@|@tègèrè fò@
@apple@|@pòmu@
@application@|@waleyali@
@apply@|@waleya@
@apprentice@|@parantikè@
@approach@|@gèrè@
@approximately@|@nyògòn@
@April@|@awirili@
@Arab@|@larabu@
@Arab World@|@Arabula@
@Arabic@|@larabukan@
@are you fine?@|@i ka kènè?@
@are you from America?@|@i bè bò Ameriki wa?@
@are your chirldren fine?@|@i denw ka kènè?@
@aren't you going to eat?@|@I tèna dumuni ke wa?@
@argument@|@sòsòli@
@arid@|@jalan@
@arithmetic@|@jate@
@arm@|@tègèkala@
@armpit@|@kamakòròla@
@arms@|@kèlèkèminènw@
@army@|@kèlèbolo@
@army officer@|@jalatigi@
@arrange@|@nyenabo@
@arrangement@|@mabèn@
@arrest@|@minè@
@arrival@|@nali@
@arrive@|@se@
@arrow@|@bìnyè@
@art@|@seko@
@arthritis@|@kurukundimi@
@article@|@minèn@
@article (law)@|@sariyasen@
@artisan work@|@bololabaara@
@artist@|@jadilanna@
@as well@|@fana@
@ash@|@bugurinjè@
@Asia@|@Azi@
@ask@|@deli@
@aspect@|@cë@
@assassin@|@mògòfagala@
@assemble@|@jè@
@assistance@|@dèmèni@
@assistant@|@dèmèbaa@
@association@|@jènyògònya@
@at@|@ye@
@at night@|@sufè@
@at noon@|@tilefè@
@atheist@|@aladònbali@
@atmosphere@|@laminifinyè@
@atmospheric pressure@|@finyèdigi@
@attach@|@siri@
@AU@|@Farafinna tònba@
@aubergine@|@obèrizini@
@August@|@utikalo@
@aunt@|@bèmamuso, tènèmuso@
@Austria@|@Otirisi@
@authorise@|@yamaruya@
@authority@|@hukumu@
@authorized@|@dagalen@
@autonomy@|@senyèrèkòrò@
@average@|@hakèlama@
@axe@|@sèmè@
@axe handle@|@jelekala@
@baboon@|@ngòn@
@baby@|@kòladen@
@back@|@ko@
@back seat@|@kòfèsigilan@
@backache@|@kòdimi@
@backbone@|@kòkolo@
@backhander@|@suròfèn@
@backside@|@bobara@
@bad@|@jugu@
@bad deed@|@kojugu@
@bad mood@|@nisòngoya@
@bag@|@npalan, saki@
@baggage@|@minèn@
@bake@|@wusu@
@bakery@|@nbuurugosiyòrò@
@balaphone@|@bala@
@balaphone player@|@balafòla@
@ball@|@ntola@
@balloon@|@mananin@
@ballot box@|@wotekèsu@
@Bamako@|@Bamakò@
@bambara@|@bamanankan@
@bambara people@|@bamanan@
@banana@|@namasa@
@bandit@|@bandi@
@Bangladesh@|@Bèngiladèsi@
@bank@|@bnki, waribon@
@baobab@|@sira@
@baptise@|@batise@
@baptism@|@batiseli@
@bar@|@dòlòso@
@barber@|@kunsigitigèla@
@bard@|@jeli@
@bargain@|@tèrèmè@
@bargaining@|@tèrèmèli@
@bark@|@fàra@
@barometer@|@fnyèdigisumanan@
@basket@|@segi@
@basketball@|@basikèti@
@bat@|@ndire@
@bathroom@|@nyègèn@
@battery@|@batiri@
@battle@|@kèlè@
@battlefield@|@kèlèyòrò@
@bay leaf@|@loriye@
@be able to@|@se@
@be born@|@wolo@
@be careful@|@kòlòsi@
@beak@|@dabòlò@
@bean paste@|@faro@
@bean-eater@|@sòdunna@
@beans@|@siyò@
@bear@|@munyu@
@bear fruit@|@den@
@beard@|@bonbonsi@
@beast@|@bagan@
@beat@|@gosi@
@beautiful@|@cènyi@
@beauty@|@cènyè@
@because@|@katuguni@
@because of@|@kosòn@
@become@|@kè@
@bed@|@dalan@
@bed sheet@|@dara@
@bedroom@|@siso@
@bee@|@dikisè@
@beef@|@misisogo@
@beehive@|@nyunu@
@beep@|@kasi@
@beer@|@biyèri@
@before@|@yaani@
@beggar@|@garibu@
@begging@|@garibuya@
@begin@|@daminè@
@beginning@|@daminè@
@behaviour@|@tagabolo@
@behind@|@kòfè@
@Belgium@|@Bèliziki@
@believe@|@da@
@believer@|@dannabaa@
@belittle@|@dògòya@
@bell@|@ntanan@
@belt@|@sentiri@
@bench@|@ban@
@bend@|@gòlòn@
@bend over@|@biri@
@Benin@|@Benèn@
@bereavement@|@sukasi@
@beside@|@kèrè fè@
@besiege@|@daga@
@betray@|@janfa@
@betrayal@|@janfa@
@better@|@fisa@
@between@|@cè@
@beware@|@janto@
@bewitch@|@dabali@
@Bible@|@bibulu@
@bic@|@biki@
@bicycle@|@nègèso@
@big@|@belebeleba@
@bike@|@nègèso@
@bilharzia@|@sugunèbilen@
@bilingual education@|@kanfilajèkalan@
@billion@|@miliyari@
@billy goat@|@badègè@
@bind@|@siri@
@biped@|@senfilamafèn@
@bird@|@kònò@
@bird of prey@|@sègè@
@birth@|@bangeli@
@birth certificate@|@wolosèbèn@
@biscuit@|@bisiki@
@bite@|@kin@
@bits@|@buruburu@
@bitter@|@basi@
@bitter tomato@|@nkòyò@
@Bla@|@bila@
@black@|@finman@
@black person@|@farafin@
@blackboard@|@walanba@
@blacken@|@fin@
@blacksmith@|@numukè@
@bladder@|@nyegènèbara@
@blade@|@murukisè@
@blame@|@jalaki@
@blanket@|@birifini@
@Blase@|@logologo@
@bleeding@|@jolibò@
@bless@|@duba@
@blessing@|@duba@
@blind person@|@fiyentò@
@blindness@|@fiyen@
@blister@|@logologo@
@block@|@kare@
@blood@|@jòli@
@blood test@|@joli sègèsègèli@
@blood vessel@|@jolisira@
@blow@|@fiyè@
@blow up@|@funun@
@blue@|@bulaman@
@boa@|@mininyan@
@boar@|@lèfali@
@boastfulness@|@yèrèjira@
@boasting@|@yèrèbonya@
@boat@|@kurun@
@Bobo@|@bòbò@
@Bobodiolasso@|@Bobojulaso@
@body@|@farikolo@
@bogolan@|@bògòlan@
@boil@|@bàlàbala@
@bold@|@farin@
@bone@|@kolo@
@book@|@kitabu, liburu@
@booklet@|@gafe@
@bookshop@|@gafefeereyòrò@
@border@|@dancè@
@borrow@|@singa@
@borrowed word@|@singadanyè@
@borrower@|@jurutala@
@boss@|@kuntigi@
@bother@|@tòòrò@
@Botswana@|@Bòtisiwana@
@bottle@|@buteli@
@bottle opener@|@dayèlèlan@
@bottom of the hill@|@kuluda@
@boutique@|@butigi@
@bovine@|@misi@
@bow@|@kala@
@bowl@|@tasa@
@box@|@buwati@
@boxer@|@bolokurukèla@
@boy@|@cèmanin@
@boyfriend@|@kamalen@
@boyhood@|@bilakoroya@
@Bozo@|@bozo@
@bra@|@sintalan@
@bracelet@|@bololanègè@
@bracket@|@kalanin@
@braid@|@digi@
@brain@|@kunsèmè@
@brake@|@fèrèn@
@branch@|@jiribolo@
@brand new@|@kurakura@
@Brazil@|@Berezili@
@bread@|@nbuuru@
@break@|@tigè@
@break down@|@tinyè@
@break up@|@ci@
@breakfast@|@daraka@
@breast@|@sin@
@breastplate@|@nègèdulòki@
@breath@|@dafinyè@
@breathing@|@ninakili@
@bribe@|@suròfen@
@brick@|@tufa@
@bride@|@kònyomuso@
@bride price@|@furunafolo@
@bridegroom@|@kònyòcè@
@bridge@|@babili@
@briefcase@|@npalan@
@bring@|@na ni ... ye@
@bring back@|@lasegin@
@bring out@|@bò@
@bring together@|@dalajè@
@bring up@|@lamò@
@bronze@|@nsiranègè@
@broom@|@furalan@
@brother@|@balima, kòròkè@
@brother (younger)@|@dògòkè@
@brotherhood@|@balimaya@
@brown@|@bilenman@
@brush@|@bòròsi@
@bubu@|@dulòkiba@
@bucket@|@manaso@
@build@|@jò@
@builder@|@sojòla@
@building@|@jòli@
@bulb@|@anpulu@
@bull@|@ntura@
@bullet@|@kisè@
@burden@|@degun@
@burial@|@suturali@
@Burkina Faso@|@Burukina Faso@
@burn@|@jeni@
@Burundi@|@Burundi@
@bury@|@sutura@
@bus@|@kaare@
@bus driver@|@kaarebolila@
@bus station@|@mobilitayòrò, oto gari@
@bush@|@wula@
@bush fire@|@kungojeni@
@bush taxi@|@dògòjòmobili@
@but@|@nka@
@butter@|@sirimè@
@butterfly@|@nfirinfirinin@
@buy@|@san@
@by@|@fè@
@cabbage@|@supòmu@
@cackle@|@kaka@
@caesarean section@|@kònòcibange@
@cake@|@gato@
@cake shop@|@patiseri@
@calabash@|@filen@
@calculate@|@jate@
@calculation@|@jate@
@calculator@|@jatebòlan@
@calf@|@misiden@
@call@|@wele@
@call to prayer@|@misiriwele@
@call together@|@lajè@
@caller@|@welebaa@
@calm@|@mada@
@camel@|@nyaamè@
@camera@|@jatalan@
@Cameroon@|@Kameruni@
@campaign@|@kanpanyi@
@can@|@buwati@
@Canada@|@Kanada@
@canal@|@bajalan@
@candle@|@busi@
@candy@|@bònbòn@
@canoe@|@jikankurun@
@capitaine@|@kapitèni@
@capital@|@faaba@
@capitalism@|@kapitalisimu@
@capitalist@|@kapitalisi@
@capture@|@minè@
@car@|@mobili@
@card@|@karada@
@cardboard box@|@karitòn@
@care@|@hami@
@carefully@|@nèmènèmè@
@carp@|@ntèbèn@
@carpenter@|@jiridèsèla@
@carrot@|@karòti@
@carry on back@|@bamu@
@cart@|@wotoro@
@carve@|@dèsè@
@cassette@|@kasèti@
@cassette recorder@|@manyeto@
@casted person@|@nyamakala@
@cat@|@jakuma@
@catapult@|@kònòbòmana@
@catastrophe@|@balawu@
@catch@|@minè@
@catfish@|@manògò@
@catholic@|@katoliki@
@cattle herder@|@misigènna@
@cattle slaughterhouse@|@misifagayòrò@
@cause@|@bila@
@CD@|@sede@
@celebrate@|@nyènajè@
@celebration@|@gintanba@
@cement@|@siman@
@cemetery@|@kaburudo@
@centimetre@|@santimètèrè@
@Central African Republic@|@Santarafiriki@
@cesspit@|@wuluwulu@
@CFA@|@sefawari@
@Chad@|@Cadi@
@chaff@|@nyaga@
@chain@|@cèni@
@chair@|@sèsi@
@chalk@|@kabasu, lakèrè@
@chalk board@|@tabulo@
@chameleon@|@nònsi@
@change@|@bayèlèma@
@chapter@|@sura@
@charcoal@|@sarabon@
@chase@|@gèn@
@chase after@|@nògèn@
@chat@|@masala@
@check@|@waritasèbèn@
@checkpoint@|@sègèsègèliyòrò@
@cheek@|@dafuruku@
@cheese@|@foromazi@
@chemist@|@furafeerela@
@cheque@|@waritasèbèn@
@cherry@|@serisi@
@cherubim@|@serubèn@
@chest@|@kògò@
@chest pains@|@disidimi@
@chew@|@nyimi@
@chewing tobacco@|@siramugu@
@chick@|@sèden@
@chicken@|@sèsè@
@chicken meat@|@sèsogo@
@chief@|@kuntigi@
@chief of village@|@dugutigi@
@child@|@den@
@childhood@|@bilakoroya@
@children@|@denw@
@chili pepper@|@foronto@
@chin@|@bonbon@
@China@|@Siniwajamana@
@chips@|@firiti@
@chocolate@|@sokola@
@choir@|@kòrali@
@choir member@|@kòraliden@
@choke@|@degun@
@cholera@|@kunfilatu@
@choose@|@nyènatòmò@
@chop@|@ci@
@Christian@|@kerecèn@
@Christmas@|@Nowèli@
@chuck@|@fili@
@church@|@Alabatoso, egilisi@
@church service@|@batoli@
@cigarette@|@sigarèti@
@cinema@|@sinimanso@
@circle@|@sèrèkili@
@circulate@|@munumunu@
@circumcise@|@boloko@
@circumcision@|@bolokoli@
@circumcision ceremony@|@furasi@
@circumference@|@koorilamini@
@citizen@|@fasoden@
@civil servant@|@forobabaarakèla@
@clap@|@tègèrè fò@
@clapping@|@tègèrè@
@class@|@kilasi@
@classroom@|@kalanso@
@clay@|@bògò@
@clean@|@jè@
@cleanliness@|@saniya@
@cleanse@|@saniya@
@cleansing@|@saniyali@
@clever@|@kegun@
@cleverness@|@keguya@
@cliff@|@kulu@
@clinic@|@dògòtòròso@
@clock@|@mònturuba@
@close@|@tugu@
@cloth@|@sifòn@
@clothes@|@fini@
@clothes maker@|@kalalikèla@
@clothes peg@|@finidulonnan@
@cloud@|@kaba@
@club@|@tòn@
@coach@|@degelikaramògò@
@coast@|@kògòjida@
@cobbler@|@garankè@
@cockerel@|@donon@
@cockroach@|@nyèbèrè@
@coffee@|@kafe@
@coffee seller@|@kafefeerela@
@coin@|@warimisèn@
@cola nut@|@wòro@
@cold@|@nènè@
@cold country@|@nènèmajamana@
@cold season@|@fonènè@
@colleague@|@baarakènyògòn@
@collect@|@cè@
@colon@|@tomi fila@
@colonization@|@marali@
@colour@|@nyè@
@colt@|@sòden@
@combatant@|@kèlèkècè@
@come@|@nà@
@come back@|@kòsegin@
@come down@|@jigin@
@come from@|@bò@
@comedian@|@tiyatiribòla@
@coming@|@nali@
@coming and going@|@taakasegin@
@comma@|@kòrin@
@commandment@|@ci fòlen@
@commerce@|@jago@
@commission@|@ci@
@commit@|@kalifa@
@commit suicide@|@yèrèfaga@
@committee@|@komite@
@common noun@|@forobatògò@
@companion@|@tònyògòn@
@companionship@|@jènyògònya@
@compare@|@sanga@
@compel@|@wajibiya@
@competition@|@nyògòndan@
@complete@|@dafalen@
@completely@|@tewu@
@computer@|@òridinatèri@
@concentrate@|@cèsiri@
@concentrate on@|@nyèsin@
@concern@|@hami@
@concession@|@du@
@conclude@|@kuncè@
@conclusion@|@kuncèli@
@concrete slab@|@bambale@
@condemn@|@lagosi@
@condom@|@mananin@
@conference@|@lajèba@
@confess@|@jò@
@confidence@|@dannaya@
@confuse@|@nyaami@
@Congo@|@Kongo@
@conjunctivitis@|@apolo@
@conquest@|@minèni@
@consequence@|@nò@
@consider@|@jate@
@consonant@|@dafata@
@conspiracy@|@janfa@
@constellation@|@dolokulu@
@constipation@|@kònòja@
@construction@|@jòli@
@contagious illness@|@finyèbana@
@container@|@palan@
@contest@|@sòsò@
@context@|@hukumu@
@continent@|@bangu@
@contract@|@layidu@
@contradict@|@sòsò@
@contribution@|@bolomafara@
@conversation@|@masala@
@convert@|@tuubi@
@cook@|@tobi@
@cooking@|@tobili@
@cooking pot@|@tobilidaga@
@cooking stone@|@gakulu@
@cooking utensil@|@tobilikèminèn@
@cool@|@suma@
@coolness@|@sumaya@
@cooperation@|@tègèdinyògònma@
@copy@|@sèbènja@
@corn@|@kàba@
@corner@|@seleke@
@cornfield@|@kabaforo@
@corpse@|@sü@
@Costa Rica@|@Kòsitarika@
@Côte d'Ivoire@|@Kònòwari@
@cotton@|@kòòri@
@cotton fibres@|@kòòrimugu@
@cotton grower@|@kòòrisènèna@
@cough@|@sògòsògò@
@councillor@|@kònseye@
@counsel@|@laadi@
@counsellor@|@laadibaa@
@country@|@jamana@
@countryside@|@burusi@
@courage@|@jagèlèya@
@courageous@|@farin@
@course@|@kalan@
@courtyard@|@dukènè@
@couscous@|@bàsi@
@cousin@|@kanimè@
@cover@|@bili@
@cow@|@misi@
@cow enclosure@|@wèrè@
@co-wife@|@sinamuso@
@cowrie shell@|@kolonkisè@
@cow's milk@|@misinònò@
@craftiness@|@keguya@
@crafy@|@kegun@
@crawl@|@fofo@
@create@|@da@
@created thing@|@dafèn@
@creator@|@dabaa@
@creature@|@dafèn@
@creeper@|@nsaban@
@creme@|@kèrèmu@
@cricket@|@nkèèrèn@
@crime@|@sariyatinyè@
@criminal@|@kojugukèla@
@criticise@|@lagosi@
@crocodile@|@bama@
@cross@|@tigè@
@crossroads@|@sirakunbèn@
@crow@|@kasi@
@crowd@|@jama@
@crown@|@masafugula@
@crumbs@|@kunkun@
@crunch@|@nyimi@
@crush@|@nyònnyòn@
@cry@|@kulokan@
@cucumber@|@kònkòn@
@cultivate@|@sènè@
@culture@|@dònko@
@cunning@|@kegun@
@cup@|@bòli@
@current@|@woyo@
@curse@|@neni@
@custard apple@|@sunsun@
@custom@|@laada@
@cut@|@kan@
@cut throat of@|@kantigè@
@cyclist@|@nègèsotigi@
@dad@|@buwa@
@daily bread@|@dahirimè@
@dairy product@|@nònòmafèn@
@Dakar@|@Dakaro@
@damage@|@tinyè@
@dampness@|@sumaya@
@dance@|@dòn@
@dancer@|@dònkèla@
@danger@|@farati@
@dangerous@|@faratima@
@dash@|@tiirinin@
@date@|@don@
@date (fruit)@|@ntamaro@
@date of birth@|@bangedon@
@daughter@|@denmuso@
@dawn@|@dugujè@
@day@|@don@
@day of arrival@|@sedon@
@dead person@|@sü@
@deaf person@|@tulogeren@
@deal with@|@nyèsin@
@death@|@banni@
@death certificate@|@sayasèbèn@
@debate@|@sòsòli@
@debauchery@|@jatòya@
@debt@|@juru@
@debtor@|@jurutala@
@deceive@|@lafili@
@December@|@desanburukalo@
@decentralisation@|@maraseginso@
@decide@|@latigè@
@decimal points@|@murumuru@
@decision@|@latigè@
@declaration@|@dantigèkan@
@decline@|@binni@
@decompose@|@toli@
@deep@|@dun@
@deer@|@minan@
@deform@|@gòlòn@
@dehydration@|@jidèsè@
@delegate@|@kònferansiden@
@delivery birth@|@jiginni@
@democracy@|@bèèjèfanga@
@demon@|@sitanè@
@demonstrative@|@jiralan@
@denigrate@|@mafinyèya@
@deny@|@dalacè@
@depth@|@dunya@
@deputy@|@kòròsigi@
@descend@|@jigin@
@descendant@|@bònsòn@
@describe@|@lakali@
@desert@|@cèncènkungo, saharakungo@
@deserve@|@ka kan ni ... ye@
@desire@|@nege@
@despair@|@jigintanya@
@destiny@|@nakan@
@destroy@|@halaki@
@destruction@|@halakili@
@develop@|@yiriwa@
@development@|@yiriwali@
@devil@|@sitanè@
@dew@|@ngomi@
@diabetes@|@jabèti@
@dialogue@|@kumanyògònya@
@diarrhoea@|@kònòboli@
@dictionary@|@danyègafe@
@die@|@sa@
@diesel@|@gazòli@
@difference@|@danfara@
@different@|@wèrè@
@differentiate@|@faranfasi@
@difficult@|@go@
@difficulty@|@gèlèya@
@dig@|@sen@
@digit@|@jateden@
@dignity@|@danbe@
@dinner@|@suròfana@
@Dioula@|@julakan@
@dip@|@su@
@diphtheria@|@falakabana@
@diploma@|@dipilomu@
@direct@|@nyèminè@
@direction@|@fan@
@director@|@kuntigi@
@dirt@|@nògò@
@dirty@|@nògòlen@
@disagreable@|@go@
@disaster@|@balawu@
@discard@|@fili@
@discipline@|@kolo@
@discontent@|@wasabaliya@
@discussion@|@jèkafò@
@dishonesty@|@nanbara@
@disobedience@|@kanbilali@
@dispensary@|@furakèso@
@disperse@|@jènsèn@
@dispose of@|@fili@
@distaff@|@jènè@
@distance@|@janya@
@distinguish@|@faranfasi@
@district@|@komini@
@divide@|@fara@
@divide up@|@tilatila@
@divination@|@filèli@
@divine protection@|@hìjàbu@
@divine reward@|@baraji@
@diviner@|@filèlikèla@
@division@|@tilali@
@divorced@|@furusalen@
@dizziness@|@nyènamini@
@Djibouti@|@Jibuti@
@DNAFLA@|@Balikukalansoba@
@do@|@kè@
@do you speak bambara?@|@i bè bamanakan fò?@
@doctor@|@furakèla@
@document@|@sèbèn@
@dog@|@wùlú@
@dog fish@|@wulujègè@
@Dogon@|@dògònòkan@
@Dogon (ethnic group)@|@dògònò@
@doll@|@dendennin@
@dollar@|@dolariwari@
@domestic animal@|@sokònòbagan@
@domicile@|@sigiyòrò@
@donkey@|@fali@
@Don't touch me!@|@Kana maga n na!@
@door@|@da@
@doubt@|@siga, siga@
@dove@|@jènèntuban@
@downstairs@|@duguma@
@dowry@|@furufèn@
@drama@|@tiyatiri@
@drawing@|@nataliye@
@dream@|@sugo@
@drink@|@buwasòn@
@drinkable@|@minta@
@drinker@|@dòlòminna@
@drinking@|@minni@
@drinking water@|@minniji@
@drive@|@boli@
@driver@|@sofèrè@
@driving licence@|@mobilibolisèbèn@
@driving school@|@mobilidegeyòrò@
@dromedary@|@nyaamè@
@drought@|@ja@
@drug@|@dòrògu@
@drug addict@|@dòrògutala@
@drum@|@dunun@
@drummer@|@jenbefòla@
@drunkard@|@dòlòminna@
@drunkenness@|@nyènamini@
@dry@|@jalan@
@dry land@|@gere@
@dry season@|@tilema@
@duck@|@tònkònò@
@dune@|@cèncènkulu@
@during@|@senfè@
@dusk@|@fitiri@
@dust@|@gòngòn@
@dye@|@gala@
@dyer@|@galadonna@
@dysentery@|@tògòtògònin@
@each other@|@nyògòn@
@eagle@|@samatasègè@
@ear@|@kulo@
@earache@|@tulodimi@
@early@|@joona@
@earth@|@dugukolo@
@earthquake@|@dugukoloyèrèyèrè@
@ease@|@nògòya@
@east@|@kòròn@
@Easter@|@Paki@
@eastern@|@kòrònyanfan@
@easy@|@nògòn@
@eat@|@dun@
@eater@|@dumunikèla@
@eating place@|@dumunikèyòrò@
@economy@|@sòrò@
@education@|@kalan@
@effect@|@nò@
@egg@|@kili@
@eggplant@|@obèrizini@
@Egypt@|@Eziputi@
@eight@|@seegin@
@eighteen@|@tan ni segin@
@eighth@|@seginnan@
@eighty@|@bi segin, bisegin@
@elbow@|@nònkònkuru@
@elder@|@cèkòròba@
@elder brother@|@kòròcè@
@elder sister@|@kòròmuso@
@elect@|@sugandi@
@election@|@sugandili@
@election campaign@|@wotegansi@
@electric cable@|@kuranjuru@
@electric fish@|@ntigi@
@electricity@|@kuran@
@elephant@|@sogoba@
@elevation@|@tintin@
@eleven@|@tan ni kelen@
@elision@|@dènni@
@embassy@|@lasigidenso@
@embers@|@kami@
@emerald@|@emerode@
@emptiness@|@lankolonya@
@empty@|@kolon@
@encampment@|@daga@
@encircle@|@koori@
@encourage@|@sinsin@
@end@|@banni@
@endurance@|@munyuli@
@endure@|@munyu@
@enemy@|@jugu@
@energy@|@kisèya@
@engine@|@motèrè@
@England@|@Angilètèri@
@English@|@angilèkan@
@enlarge@|@bonya@
@enmity@|@juguya@
@enter@|@don@
@entertainment@|@nyènajè@
@entrance@|@donda@
@entrepreneur@|@kènyèrèye@
@entrust@|@kalifa@
@envelope@|@anwulopu@
@envious@|@kele@
@envy@|@koniya@
@epic@|@poyi@
@epoch@|@tile@
@equal@|@kan@
@equivalent@|@nyògòn@
@era@|@tile@
@eraser@|@jòsilikèlan@
@Eritrea@|@Eritere@
@err@|@fili@
@eternal@|@banbali@
@Ethiopia@|@Ecopi@
@ethnic group@|@siya@
@Europe@|@Eròpu@
@even@|@hali@
@evening@|@su@
@evening meal@|@sulafana@
@every afternoon@|@wula o wula@
@every day@|@don go don@
@every friday@|@juma o juma@
@every monday@|@tènèn o tènen@
@every month@|@kalo o kalo@
@every morning@|@sògòma o sògòma@
@every night@|@su o su@
@every week@|@dògòkun o dògòkun@
@every year@|@san o san@
@evil@|@juguya@
@evildoer@|@kojugukèla@
@ewe@|@sagamuso@
@exam@|@isamèn@
@examination@|@sègèsègèli@
@examine@|@sègèsègè@
@examinee@|@isamènkèla@
@example@|@misali@
@except@|@kò@
@exclamation mark@|@kabalitomi@
@excrement@|@bö@
@excuse me@|@hakèto@
@execution@|@fagali@
@exercise@|@degeli@
@exercise book@|@karadasi@
@exhibition@|@jirali@
@exhort@|@waaju@
@exhortation@|@waaju@
@exit@|@bòda@
@expense@|@musaka@
@expensive@|@gèlèn@
@explain@|@nyèfò@
@explanation@|@nyèfòli@
@extinguish@|@faga@
@eye@|@nyè@
@eye glasses@|@nunèti@
@eye infection@|@apolo@
@eyebrow@|@nyèsi@
@eyelash@|@nyèsi@
@eyelid@|@nyèwolo@
@fable@|@nsiirin@
@fabulous@|@kabakoma@
@face@|@nyèda@
@factory@|@izini@
@fade@|@fòsònfòsòn@
@fail@|@kènyè@
@failure@|@kòli@
@faint@|@kirin@
@fair@|@fisa@
@fairly good@|@fisa@
@fairy tale@|@nsiirin@
@faith@|@dannaya@
@faithful@|@kantigi@
@faithfulness@|@kantigiya@
@fall@|@bìn@
@family@|@denbaya, somògòw@
@family member@|@duden@
@family relations@|@balimaya@
@fan@|@tafyè@
@far@|@jàn@
@farm animal@|@sokònòbagan@
@farmer@|@sènèkèla@
@farming@|@sènè@
@fast@|@sun@
@fat@|@tulu@
@father@|@fa, fakè@
@Father@|@Baba@
@father-in-law@|@birankè@
@fathers@|@denfaw@
@fatten@|@tòlò@
@fault@|@jalaki@
@favour@|@barika@
@fear@|@siran@
@feast@|@duminiba@
@feast day@|@donba@
@feather@|@jolo@
@February@|@fewuruye@
@feed@|@balo@
@fellowship@|@jènyògònya@
@female@|@muso@
@fence@|@sinsan@
@fertiliser@|@angèrè@
@fertilizer@|@nògò@
@festival@|@seli@
@fetish@|@jö@
@fetish ceremony@|@josòn@
@fever@|@farigan@
@fiancé@|@maminèkè@
@fiancée@|@maminèmuso@
@field@|@foro@
@field of maize@|@kabaforo@
@fierce@|@farin@
@fifteen@|@tan ni duuru@
@fifth@|@duurunan@
@fifty@|@bi duuru, biduuru@
@fig tree@|@toro@
@fight@|@balawu@
@fill@|@fa@
@film@|@filimu@
@filter@|@filitere@
@find@|@sòrò@
@fine@|@alamani@
@finger@|@bolokòni@
@fingernail@|@sòni@
@fingerprint@|@bolonò@
