@English@|@Slovak@
@be@|@byť, existovať@
@be (imperative)@|@buď@
@be absent@|@chýbať@
@be asleep@|@spať@
@be at war@|@bojovať@
@be late@|@meškať, oneskoriť sa, zplodiť@
@be quiet!@|@buď ticho !@
@be short of@|@chýbať@
@be sorry@|@ľutovať@
@beach@|@pobrežie@
@bear@|@medveď@
@beard@|@brada@
@beast@|@potvora@
@beautiful@|@krásny, nádherný@
@because@|@kvôli, lebo, pretože@
@become@|@stať sa, zvyknúť si@
@bed@|@posteľ@
@bedside table@|@nočný stolík@
@beer@|@pivo@
@beer (nice b.)@|@pivečko@
@beetroot@|@cvikľa@
@before@|@než, pred, predtým, skôr@
@begin@|@začať@
@beginner@|@začiatočník@
@beginning@|@počiatok, začiatok@
@beginning with@|@počiatok s@
@behaviour science@|@veda o správaní ľudí@
@behind@|@vzadu, za@
@beige@|@béžový@
@being@|@tvor@
@belch@|@grgať@
@believe@|@domnievať sa, veriť@
@belly@|@brucho, žalúdok@
@beloved@|@milovaný@
@belt@|@opasok@
@bench@|@lavička@
@besides@|@okrem toho@
@best@|@najlepší@
@better@|@lepší, lepšie@
@between@|@medzi@
@between countries@|@medzinárodný@
@bias@|@záľuba@
@bicycle@|@bicykel@
@bid farewell@|@želať šťastnú cestu@
@bilberry@|@čučoriedka@
@bill@|@faktúra@
@birch@|@breza@
@birthday@|@narodeniny@
@birthmark@|@materské znamienko@
@birth-place@|@rodisko@
@bitter@|@horký, trpký@
@black@|@čierny@
@black currant@|@čierna ríbezľa@
@blackberry@|@černica@
@blackboard@|@tabuľa@
@blade@|@čepeľ noža, steblo, žiletka@
@blanket@|@deka@
@blast@|@náraz@
@bloke@|@človek@
@blood@|@krv@
@blouse@|@blúza@
@blow@|@fúkať, úder@
@blue@|@modrý@
@blunder@|@omyl@
@blunt@|@tupý@
@boat@|@čln@
@bobby@|@strážnik@
@body@|@telo@
@boiled@|@varený@
@bolt (n.)@|@závora@
@bolt (v.)@|@ujsť@
@bonfire@|@táborák@
@book@|@kniha@
@book a ticket@|@kúpiť si lístok@
@booklet@|@brožúra@
@bookshop@|@kníhkupectvo@
@bookshop (second hand)@|@antikvariát@
@booster@|@zosilňovač@
@boot@|@vysoká topánka@
@boot disk@|@zavádzací disk@
@boot drive@|@zavádzací jednotka@
@booth@|@búda, kabína@
@boots@|@čistič obuvi, čižmy@
@boozy@|@opitý@
@boredom@|@nuda@
@borrow@|@požičať si@
@both@|@obaja, obidva@
@both ... and@|@aj ... aj@
@bottle@|@fľaša@
@bottle of beer@|@fľaša piva@
@bottom@|@dno@
@bow@|@motýlik, stuha, ukloniť sa@
@box@|@debna, krabica@
@boxer shorts@|@trenírky@
@Boxing Day@|@druhý sviatok vianoč@
@boy@|@chlapec@
@boy friend@|@priateľ@
@boy!@|@chlapče !@
@boy-friend (partner)@|@frajer@
@bracelet@|@náramok@
@brain@|@mozog@
@brake@|@brzda@
@brat@|@fagan@
@brave@|@statočný@
@bread@|@chlieb@
@break@|@porušiť, prerušiť, zlomiť@
@breakfast@|@raňajky@
@breakfast (at b.)@|@raňajkách (pri r.)@
@breakpoint@|@dočasne zastavený@
@breast@|@hruď, prs, prsia@
@breasts@|@prsníky@
@breathe@|@dýchať@
@breeding@|@výchova@
@breeze@|@vetrík@
@bribe@|@úplatok@
@bridge@|@bridž, most, mostík@
@briefcase@|@aktovka@
@brightness@|@jas@
@broke (be b.)@|@mizine (byť na m.)@
@broker@|@sprostredkovateľ@
@brother@|@brat@
@brother-in-law@|@švagor@
@brown@|@hnedý@
@brunch@|@raňajky a obed@
@build@|@postaviť@
@builder@|@staviteľ@
@building@|@budova, stavba@
@building site@|@stavenisko@
@burn@|@horieť, páliť@
@bus@|@autobus@
@business@|@obchod@
@businessman@|@obchodník, podnikateľ@
@businessmen@|@obchodníci@
@but@|@ale, avšak, však@
@butcher@|@mäsiar@
@butler@|@lokaj, sklepník@
@butter@|@maslo@
@butterfly@|@motýľ@
@buy@|@kupiť@
@by@|@od, podľa, u, vedľa@
@by all means@|@zaiste@
@by name@|@menovite@
@by no means@|@nijako, vôbec nie@
@by the by@|@mimochodom@
@by the way@|@mimochodom@
@bye!@|@čau@
@bye-bye@|@dovi, dovidenia@
@cabbage@|@kapusta@
@café@|@kaviareň@
@cafeteria@|@samoobslužná jedáleň@
@cake@|@buchta, koláč, torta@
@calamity@|@pohroma@
@calculator@|@počítač@
@calendar@|@kalendár@
@calf@|@lýtko@
@call@|@nazývať, telefonovať, volať@
@calm@|@ticho@
@camera@|@fotoaparát@
@can@|@konvica, môcť, plechovka, smieť, vedieť@
@canalize@|@nasmerovať@
@canary bird@|@kanárik@
@cancel@|@zrušiť@
@candy@|@cukrík@
@cane@|@palica@
@canister@|@plechovka@
@canteen@|@jedáleň@
@cap@|@čapica, čiapka@
@capital@|@hlavné mesto@
@capture@|@dobytie@
@car@|@auto@
@car park@|@parkovisko@
@card@|@karta@
@cardboard@|@lepenka@
@careful@|@dbajúci, opatrný@
@careful!@|@opatrne!@
@careless@|@nedbajúci, neopatrný@
@cargo@|@lodný náklad@
@carp@|@kapor@
@carpenter@|@tesár@
@carpet@|@koberec@
@carriage@|@koč, vagón, vozidlo, vozík@
@carrots@|@mrkva@
@carry@|@doviesť, niesť@
@case@|@debna, prípad@
@castle@|@hrad@
@casualty@|@pohroma@
@cat@|@mačka@
@catalogue@|@zoznam@
@catastrophe@|@katastrofa@
@catch@|@chytiť@
@catch cold@|@prechladnúť@
@cautious@|@obozretný@
@CD@|@kompaktná platňa@
@celebrate@|@oslavovať@
@cellar@|@pivnica@
@Central European Time (C.E.T.)@|@stredoeurópsky čas@
@certain@|@istý@
@certainly@|@iste, samozrejme, určite, zaiste@
@chair@|@kreslo, stolička@
@chalk@|@krieda@
@chance@|@možnosť, náhoda, pravdepodobnosť, udalosť@
@change@|@meniť, zmena@
@change (money)@|@drobné@
@changeful@|@vrtkavý@
@chap@|@človek, chlap@
@chapel@|@kaplnka@
@charade@|@šaráda@
@charge@|@náboj, nálož, poplatok, záťaž@
@charges@|@náklady, výdavky@
@charm@|@pôvab@
@chauffeur@|@šofér@
@cheap@|@lacný@
@cheat@|@oklamať, podviesť@
@check out@|@odhlásiť (sa)@
@cheek@|@líce@
@cheer@|@ovácie@
@cheese@|@syr@
@cherry@|@čerešňa@
@cherry (black cherry)@|@višňa@
@chest@|@debna, hruď, prsia@
@chew@|@žuvať@
@chicken@|@kurča@
@chief@|@šéf@
@child@|@dieťa@
@childish@|@ako dieťa@
@childlike@|@ako dieťa@
@children@|@deti@
@chill@|@chlad@
@chin@|@brada@
@chip@|@trieska@
@chocolate@|@čokoláda@
@choice@|@voľba@
@chopsticks@|@paličky na jedenie@
@chorus@|@zbor@
@Christian name@|@krstné meno@
@Christmas@|@Vianoce@
@Christmas Day@|@prvý sviatok vianočn@
@Christmas gift@|@vianočný darček@
@church@|@bohoslužba, cirkev, kostol@
@church (parish ch.)@|@farský kostol@
@church art@|@cirkevné umenie@
@churchyard@|@cintorín, hroby, pohrebisko@
@cinema@|@kino@
@citizen@|@mešťan, občan@
@clad@|@oblečený@
@classes@|@radiť@
@claw@|@pazúr, škriabať@
@clay@|@hlina, íl@
@clean@|@čistotný, čistý@
@clearly@|@samozrejme@
@clergyman@|@kňaz@
@clerk@|@úradník@
@clever@|@inteligentný, obratný@
@click@|@kliknutie@
@climb@|@šplhať@
@close@|@blízko, blízky, zatvoriť@
@clothing@|@oblečenie@
@clown@|@šašo@
@club@|@klub@
@clumsy@|@nemotorný, neohrabaný@
@coal@|@uhlie@
@coal mine@|@uhoľná baňa@
@coast@|@pobrežie@
@coat@|@kabát, plášť@
@code@|@kód@
@coffee@|@káva@
@coil@|@stočiť (sa)@
@coincidence@|@koincidencia, náhoda@
@cold@|@chlad, chladný@
@cold blood@|@chladnokrvnosť@
@collaboration@|@spolupráca@
@collar@|@golier, límec@
@colleague@|@kolega@
@collect@|@zbierať@
@collection@|@zbierka@
@colour@|@farba@
@combatant@|@bojovník@
@come@|@pricestovať, prísť@
@come (imperative)@|@poď(te)@
@come back@|@vrátiť sa@
@come in handy (to c.)@|@zísť sa@
@comedy@|@veselohra@
@comfort@|@potecha@
@command@|@povel@
@commerce@|@obchod@
@commit@|@spáchať, vykonať@
@commodity@|@tovar@
@company@|@spoločnosť@
@compare@|@porovnať@
@comparison@|@prirovnanie@
@competitor@|@sok@
@complain@|@sťažnosť@
@compliment@|@blahoželať@
@computer@|@počítač@
@computer application@|@počítačová aplikácia@
@computer game@|@počítačová hra@
@computer literacy@|@počítačová gramotnos@
@computer network@|@počítačová sieť@
@computer science@|@počítačová veda@
@concept@|@pojem@
@condition@|@podmienka@
@confer@|@radiť sa@
@conference@|@konferencia@
@confirm@|@overiť, potvrdiť@
@conflict@|@spor@
@confrontation@|@spor@
@confuse@|@pomýliť, zmiasť@
@confused@|@zmätený@
@confused (get c.)@|@popliesť si@
@confusion@|@vrava, zámena, zmätok@
@confute@|@umlčať@
@congratulate@|@blahoželať@
@connection@|@spojenie, súvislosť@
@conquest@|@dobytie@
@conscience@|@svedomie@
@consequent@|@dôsledný@
@considerate@|@ohľaduplný, pozorný@
@consignment@|@dodanie@
@consistent@|@dôsledný@
@consolation@|@potecha@
@conspiracy@|@sprisahanie@
@constable@|@strážnik@
@constancy@|@stálosť@
@constant@|@stály@
@constantly@|@stále@
@constitution@|@ústava@
@consult@|@poradiť sa, radiť sa@
@consultant@|@konzultant, poradca@
@consultation@|@konzultácia, porada@
@contact@|@kontakt@
@contemporary@|@súčasný@
@context@|@kontext, súvislosť@
@continue@|@pokračovať@
@continuously@|@neprestajne@
@contractor@|@podnikateľ@
@contrast@|@kontrast@
@control@|@ovládať, regulovať, riadiť@
@conundrum@|@hádanka@
@conversation@|@rozhovor@
@converse@|@konverzovať@
@cookie@|@koláčik@
@cool@|@chladno, chladný@
@cooperate@|@spolupracovať@
@co-operation@|@spolupráca@
@copper@|@meď@
@cordless@|@bezdrôtový@
@core@|@jadro, ohryzok@
@correct@|@opraviť, správne, správny@
@corridor@|@chodba@
@corruption@|@úplatok@
@cost@|@náklady, stáť (cena)@
@costly@|@nákladný@
@costs@|@náklady@
@cottage@|@chata@
@could I (speak with)@|@mohol/mohla by som (hovoriť s)@
@could we (speak with)@|@mohli by sme (hovoriť s)@
@counsel@|@porada, poradiť sa@
@counter@|@pult@
@country@|@krajina@
@couple@|@dvojica, pár@
@couple (a c.)@|@zopár@
@courage@|@odvaha@
@courageous@|@statočný@
@cousin@|@bratanec, sesternica@
@cover@|@deka (n.), prikryť, prikryť (v.)@
@cow@|@krava@
@coy@|@nesmelý@
@crave@|@túžiť po (v.)@
@craving@|@túžba (n.)@
@crazy@|@bláznivý@
@cream@|@smotana@
@creation@|@tvorba@
@creator@|@tvorca@
@creature@|@tvor@
@criminal@|@zločinec@
@crisp@|@sypký@
@crisps@|@hranolky@
@cross@|@križovať, prekročiť@
@crossword puzzle@|@krížovka@
@crow@|@vrana@
@crowd@|@množstvo, tlačenica, zástup@
@crowded@|@napchaný, plný ľudí, preplnený@
@crown@|@koruna@
@crowns a month@|@korún mesačne@
@crowns per hour@|@korún za hodinu@
@cruel@|@hrozný, krutý@
@crumb@|@omrvinka@
@crush@|@drviť, rozbiť@
@crutch@|@barla@
@cub@|@fagan, mláďa@
@cucumber@|@uhorka@
@cuddle@|@hýčkať, rozmaznávať@
@cudgel@|@palica@
@culprit@|@páchateľ, vinník@
@cunning@|@chytráckosť, chytrácky, chytráctvo, prefíkaný@
@cup@|@kalich, šálka@
@cupboard@|@skriňa@
@curiosity@|@zvedavosť, zvláštnosť@
@curious@|@zvedavý@
@currant@|@ribízľa@
@currency@|@mena, obeh, obeživo@
@curse@|@kliatba@
@curtain@|@záves@
@curve@|@krivka, zákruta@
@custard@|@vaječný krém@
@customer@|@zákazník@
@customers@|@zákazníci@
@custom-made@|@zákazkový@
@customs@|@clo@
@cut@|@strih@
@cutlass@|@krátka šabľa, šabľa@
@cutlery@|@príbor@
@cycle@|@bicyklovať sa@
@Czechia@|@Česko@
@dagger@|@dýka, krížik@
@daily@|@denne@
@dam@|@priehrada@
@damage@|@poškodiť@
@damaged@|@zničený@
@dance@|@tancovať, tanec@
@dandle@|@rozmaznávať@
@danger@|@nebezpečenstvo@
@dangerous@|@nebezpečný@
@danish (adj.)@|@dánsky@
@dare venture@|@odvážiť sa@
@dark@|@tmavý@
@dark red@|@tmavočervený@
@darkroom@|@tmavá komora@
@darling@|@miláčik, milovaný@
@database@|@databáza@
@date@|@dátum, rande@
@daughter@|@dcéra@
@daughter-in-law@|@nevesta@
@dawn@|@brieždiť sa, úsvit@
@day@|@deň@
@day after tomorrow@|@pozajtra@
@day and night@|@deň a noc@
@day before yesterday@|@predvčerom@
@day by day@|@denne@
@daylight saving time@|@letný čas@
@dead drunk@|@opitý na mol@
@deal@|@transakcia@
@dealing(s)@|@jednanie@
@dear@|@drahý@
@deary@|@miláčik@
@death@|@smrť@
@debate@|@diskutovať@
@debit@|@dlh@
@debt@|@dlh@
@deceitful@|@klamný@
@december@|@december@
@decency@|@slušnosť@
@deceptive@|@klamný@
@decide@|@rozhodnúť@
@decipher@|@rozlúštiť@
@decision@|@rozhodnutie, rozhodovanie@
@decision making@|@rozhodovanie@
@decorate@|@ozdobiť@
@decrypt@|@rozlúštiť@
@dedication@|@venovanie@
@deep@|@hlboký, priliš@
@defamatory@|@hanlivý@
@defeat@|@prekaziť, zmarenie, zmariť@
@defenceless@|@bezbranný@
@definite@|@istý@
@definitely@|@samozrejme@
@delay@|@meškať@
@delete@|@zrušiť@
@deliberate@|@radiť sa@
@delicate@|@jemný@
@delicious@|@chutný@
@delightful@|@príjemný@
@delivery@|@dodanie@
@demand@|@požadovať@
@Denmark@|@Dánsko@
@dense@|@hustý@
@density@|@hustota@
@deparartment store@|@obchodný dom@
@depart@|@odísť@
@department@|@ministerstvo@
@departure@|@odchod@
@depend@|@závisieť@
@dependability@|@spoľahlivosť@
@deprive of@|@zbaviť@
@depth@|@výška@
@derogatory@|@hanlivý@
@description@|@popis@
@desert@|@opustiť, púšť@
@deserve@|@zaslúžiť (si)@
@design@|@vzorka@
@design (v.)@|@rysovať@
@designation@|@označenie, predurčenie@
@designer@|@rysovač@
@desire@|@túha, túžba (n.), túžiť po (v.), želať si@
@desolate@|@opustený@
@despairing@|@zúfalý@
@desperate@|@zúfalý@
@desperation@|@zúfalstvo@
@dessert@|@zákusok@
@destiny@|@osud@
@destroy@|@zrušiť@
@detail@|@detail, dielec@
@details@|@detaily, podklady@
@development@|@zlepšenie@
@device@|@prístroj@
@devil-may-care@|@bezstarostný, ľahkovažny@
@devote@|@oddať sa, venovať@
@dialect@|@nárečie@
@diary@|@zápisník@
@dictionary@|@slovník@
@die@|@zomrieť@
@difference@|@rozdiel@
@different@|@rôzne@
@difficult@|@náročný, obtiažny@
@difficulty@|@obtiaž, ťažkosť@
@digit@|@číslica@
@dinner@|@obed@
@diplomacy@|@diplomacia@
@direction@|@smer@
@directly@|@priamo@
@directory@|@zoznam@
@dirty job@|@špináva robota@
@disadvantage@|@nevýhoda@
@disagreement@|@spor@
@disappear@|@zmiznúť@
@disappointed@|@sklamaný@
@disappointment@|@sklamanie@
@disaster@|@katastrofa, pohroma@
@disbursement@|@náklady@
@discharge@|@výboj@
@discourse@|@rozprava@
@discover@|@objaviť@
@disgust@|@hnus, nechuť@
@disgusting!@|@fuj!@
@dish@|@jedlo@
@disk drive@|@disková jednotka@
@disk unit@|@disková jednotka@
@dislike@|@nechuť, nemať rád@
@disobey@|@neposlúchať@
@displeased@|@nespokojný@
@dispute@|@hádať sa, hádka@
@disregard@|@neúcta k@
@disreputable@|@nepočestný@
@disrespect@|@neúcta@
@distance@|@od tela, vzdialenosť@
@distress@|@úzkosť@
@distressed@|@stiesnený@
@distribution@|@rozdelenie@
@disturb@|@vyrušovať@
@do@|@robiť@
@doctor@|@doktor@
@document@|@doklad, dokument, preukaz@
@dog@|@pes@
@doll@|@bábika@
@domestic@|@súkromný@
@donkey@|@somár@
@don't be (imperative)@|@nebuď@
@don't be afraid@|@neboj sa@
@don't be afraid (imperative)@|@neboj(te) sa@
@don't be angry@|@nehnevaj sa@
@don't be so proud@|@nebuď tak pyšný@
@don't go there (imperative)@|@nechoď tam@
@don't worry@|@neboj sa@
@door@|@dvere@
@dot@|@bodka@
@doubt@|@pochybnosť@
@doughnut@|@koláč@
@dove@|@holub@
@down@|@dole@
@down and out@|@uštvaný@
@down!@|@ľahni !@
@downfall@|@lejak@
@downpour@|@lejak@
@dowry@|@veno@
@dozen@|@tucet@
@dragon@|@drak@
@dragon-fly@|@vážka@
@draw@|@rysovať@
@drawing@|@výkres@
@dread@|@strach@
@dream@|@sen, snívať, spánok@
@dreamer@|@snilko@
@dress@|@odev, šaty@
@dressed@|@oblečený@
@dressing@|@omáčka@
@drink@|@piť@
@driver's licence@|@vodičský preukaz@
@driving licence@|@vodičský preukaz@
@drop@|@pustiť@
@drow@|@utopiť (sa)@
@drug@|@droga@
@drunk@|@opitý@
@dry@|@suchý@
@DST@|@letný čas@
@duckling@|@káča@
@due@|@náležitý@
@durability@|@trvanlivosť@
@durable@|@trvanlivý@
@duration@|@stálosť@
@during@|@počas@
@during my lifetime@|@za môjho života@
@duty@|@poplatok@
@each@|@každý@
@each other@|@navzájom@
@eager@|@dychtivý@
@ear@|@ucho@
@early@|@skoro, skorý@
@earn@|@zaslúžiť (si)@
@earnings@|@dôchodok@
@ears@|@uši@
@easy@|@jednoduchý@
@eat@|@jesť@
@Ecce Homo@|@hľa človek@
@economy@|@ekonomika, hospodárstvo@
@edge@|@hrana@
@educate@|@vychovávať, vzdelávať@
@education@|@výchova@
@effect@|@účinok@
@effects@|@tovar@
@efficient@|@účinný, zdatný@
@effort@|@úsilie@
@egg@|@vajce@
@egoist@|@sebec@
@eight@|@osem@
@eighteen@|@osemnásť@
@eighteenth@|@osemnásty@
@eighth@|@ôsmy@
@eightieth@|@osemdesiaty@
@eighty@|@osemdesiat@
@either@|@ešte ne-, vôbec ešte@
@either ... or@|@buď ... alebo@
@elbow@|@lakeť@
@elderly@|@obstarný, postarší@
@elegant@|@elegantný, vkusný@
@elevation@|@návršie, výška@
@elevator@|@výťah@
@eleven@|@jedenásť@
@eleventh@|@jedenásty@
@eliminate@|@vylúčiť@
@elimination@|@vylúčenie@
@elk@|@los@
@eloquence@|@výrečnosť@
@else@|@ešte, ináč, inak@
@elsewhere@|@inam, inde@
@email@|@elektronická pošta@
@e-mail@|@elektronická pošta@
@embedded@|@vložená@
@embezzlement@|@defraudácia@
@embracery@|@úplatok@
@emerald@|@smaragd@
@emergency exit@|@núdzový východ@
@emotional@|@citový, vzrušivý@
@empathic@|@dôrazný@
@employ@|@zamestnať@
@employer@|@chlebodarca@
@employment@|@práca@
@empty@|@hladný@
@end@|@končiť, koniec@
@endless@|@nekonečný@
@endurance@|@odolnosť, stálosť, trpezlivosť, trvanlivosť@
@endure@|@trvať, vydržať, zniesť@
@engagement@|@jednanie@
@England@|@Anglicko@
@English@|@anglický@
@enigma@|@hádanka, záhada@
@enormous@|@mohutný@
@enough@|@dosť@
@enough (to be e.)@|@stačiť@
@ensure@|@chrániť, zaručiť@
@enter@|@vstúpiť@
@enterprise@|@podnik@
@entertainment@|@zábava@
@enthusiasm@|@nadšenie@
@enthusiastic@|@nadšený@
@entirely@|@celkom, úplne@
@entrance@|@prístup, vchod@
@entrepeneur@|@podnikateľ@
@envelope@|@obálka@
@envious@|@závistlivý@
@envy@|@závisť@
@equation@|@rovnica@
@equipment@|@zariadenie@
@error@|@omyl@
@escalator@|@eskalátor@
@escape@|@únik, útek, utiecť@
@especially@|@najmä, obzvlášť@
@establishment@|@domácnosť, podnik, zaistenie@
@etc@|@a tak ďalej@
@Europe@|@Europa@
@European Union@|@Európska únia (EÚ)@
@even@|@dokonca@
@even if@|@aj keby@
@even so@|@aj tak@
@evening@|@večer@
@eventually@|@napokon, prípadne@
@ever@|@stále, vôbec@
@every day@|@každý den@
@every time@|@v každom čase@
@every way@|@v každom smere@
@everybody@|@každý@
