@English@|@Somali@
@act of bringing@|@keenis@
@act of buying@|@iibsasho@
@act of capturing@|@halqaf@
@act of carrying@|@gaadiidsi@
@act of catching for oneself@|@qabsad, qabsasho@
@act of causing@|@halrarasho@
@act of choosing@|@xulasho@
@act of cobbling@|@jaansaar@
@act of collapsing@|@habsasho@
@act of collecting@|@gurasho@
@act of counseling@|@hanuunis@
@act of cutting@|@jarriin@
@act of dangling down@|@laallaad@
@act of detaining@|@qabad, qabasho@
@act of digging@|@qoddo@
@act of enquiring@|@waris@
@act of feeling@|@haabasho@
@act of filling@|@buuxin@
@act of fishing@|@kalluumaysash, kalluumaysi@
@act of flying@|@heehaab@
@act of folding@|@duubis, laabis, laabniin@
@act of following@|@dabasocod, dabasocosho@
@act of gaping@|@hamaansasho@
@act of gathering up@|@gurubsasho@
@act of gazing@|@jeedaalo@
@act of getting lost@|@hallaw@
@act of getting married@|@guursasho@
@act of getting sick@|@jirrasho@
@act of getting up@|@kacaan@
@act of getting up early@|@hiireysasho@
@act of going astray@|@khaddif@
@act of going to and for@|@laablaabasho@
@act of going towards@|@jahasho@
@act of greeting@|@nabdaddis, nabdaysasho@
@act of grilling@|@halaammacays@
@act of guarding@|@ilaalis, ilbaadsasho@
@act of halting@|@hogasho, hojis@
@act of having a rest@|@nasasho@
@act of hiding@|@qarsad, qarsasho@
@act of hiding behind something@|@hullasho@
@act of holding@|@hayn@
@act of hopping@|@lukowle@
@act of imitating@|@jilays@
@act of increasing@|@kororsasho, kororsi@
@act of killing@|@ajalid@
@act of leaving@|@reebis@
@act of limping@|@hetis@
@act of looking after@|@korsasho@
@act of looking at@|@fiirsad@
@act of lying down@|@jiifsasho@
@act of opening@|@furitaan@
@act of ordering@|@habays@
@act of passing over@|@dhaafin@
@act of peering at@|@hinbiriirsasho@
@act of possession@|@haysasho@
@act of postponing@|@kaadsasho@
@act of prayer@|@duceysasho, duceysi@
@act of pulling@|@jiidis@
@act of pushing@|@ansac@
@act of putting@|@dhig@
@act of putting in a place@|@meelaysasho@
@act of reaching@|@hirasho@
@act of reaching a decision@|@guddoonsasho@
@act of regaining consciousness@|@miyirsasho@
@act of repairing@|@kab@
@act of resting@|@daaltirasho, nasniin@
@act of returning@|@noqosho@
@act of ruining@|@kharrib@
@act of saying@|@iraahid@
@act of scaring@|@cabsiin@
@act of scolding@|@hifasho@
@act of scooping up@|@darsi@
@act of sending@|@diris@
@act of shining@|@nawir@
@act of shouting@|@tannaagood@
@act of showing kindness@|@naxariisasho@
@act of spelling out@|@higgaadis@
@act of spending the night@|@hoyasho@
@act of spoiling@|@kharrib@
@act of spying@|@ilbaadsi, jaasuusnimo@
@act of standing up@|@hinqad, istaag, joogis, taagnaasho@
@act of starting@|@gundhigasho@
@act of stealing@|@halabaysasho@
@act of stretching@|@jiidasho@
@act of stretching oneself@|@jimicsasho, jimicsi@
@act of striving@|@dadaal@
@act of studying@|@dhigad@
@act of swinging@|@laalac, laalacshow@
@act of takign for oneself@|@qaadasho@
@act of taking part@|@qaybgal@
@act of tearing@|@jeexis@
@act of transporting@|@gaadiidsi@
@act of trembling@|@jarco@
@act of trying to get up@|@hinqasho, holis@
@act of turning@|@leexasho, majiir@
@act of turning aside@|@jeensasho@
@act of uniting@|@midow@
@act of waiting@|@joogis@
@act of walking gracefully@|@laafyood@
@act of watching@|@daawad, daawasho@
@act of weighing down@|@habbis@
@act of winning@|@adkaansho@
@act of working for oneself@|@shaqaysad@
@act of wounding@|@hummaajis@
@act of writing@|@dhigis, qoris@
@act of yawning@|@hamaansasho@
@act with carefully@|@miyiri@
@act with deliberation@|@miyiri@
@act without hesitating@|@haliil@
@acting@|@jil@
@acting half-heartedly@|@hagrasho@
@acting out@|@arbushid, istusid@
@activity@|@dhaqdhaqaaq, qalaanqal@
@actor@|@jile@
@acute adjective@|@Aad u culus ama u adag@
@adaptation@|@La qabsi@
@adaptative behavior@|@Dabeecad la qabsi leh@
@adaptative physical@|@fududeynta jimicsiga@
@add@|@dar, jimlee, lar, siyaadi@
@add scoop@|@dar@
@add total@|@jimlee@
@add up@|@xisaab@
@adding@|@darid@
@addition@|@iskuddar, isugayn, jimlo, siyaado@
@address@|@adrees, cinwaan, jeedi, jeediyey@
@adhere@|@dheg@
@adjective@|@tilmaame@
@administration@|@daawo siin, gun, maamul@
@administrator@|@maamule, maamuliye, maareeye@
@admire@|@qushuuc@
@admit@|@qiro@
@adopt@|@korso@
@adorn@|@shaqal@
@adress@|@adrees, cinwaan, jeedi, jeediyey@
@adverb@|@falkaab@
@advertisement@|@iidheh@
@advice@|@hanuun, naseexo, nasteexo, talo, talo, waano@
@advise@|@naseexee@
@advocate@|@afhayeen, u doode@
@affect@|@saameyn@
@affection@|@gacaltooyo, jeclaan@
@affective disorder@|@linta la xidhiida xaga fahmada@
@affirmation@|@muujin@
@after@|@dib, ka dib@
@afterlife@|@aakhiro@
@afternoon@|@casar, galab, galabnimo@
@against@|@diran@
@age@|@cimri, cumri, dhallin, fac, facaad, fil, gabownimo@
@age equivalent@|@fil u dhig, la fac ah, La fil ah@
@agency@|@wakaalad@
@agenda@|@ajenda@
@aggression@|@colaad@
@agitation@|@welwel@
@agree@|@heshii, qabbil@
@agreement@|@cahdi, heshiis, itifaaq, muwaafaqo, oggolaan@
@agreement (1)@|@hallayeelo, heemasho, israac@
@aid@|@kaali@
@aide@|@kaaliye@
@ailemt@|@bugto, cudur@
@ailment@|@bugto, cudur@
@aim@|@himilo, micne, mishaab, qasad, quluud, ujeeddo@
@aim (1)@|@ulajeedo@
@aim at@|@abbaar@
@aiming@|@nishaabid@
@air@|@hawo, laydh, neecaabi, ur@
@air conditioning@|@hawaqaboojiye@
@aircraft@|@diyaarad@
@airless place@|@huur@
@airplane@|@dayuurad, diyaarad@
@airport@|@Gegida Dayuuradaha@
@ajar@|@bashiic@
@alcohol@|@aalkol, aalkolo, khamri@
@alert@|@digniin@
@alertness@|@firfircooni, indhafirqoonaan@
@all@|@dhammaan, dhan@
@all non-Arab people@|@cajam@
@all of you are@|@tihiin@
@all things@|@kawn@
@all this@|@intaas@
@alley@|@luuq@
@alliance@|@gaashaanbuur@
@allot@|@muquuni@
@allotted task@|@kaalin@
@allow@|@jidee, jidee, oggoloow@
@allowance@|@sarraafad@
@almond tree@|@gud@
@alone@|@muddug, waaxid@
@alphabet@|@alifba@
@alter@|@doori@
@alternate@|@gafootan@
@alternation@|@gafootan@
@alternative@|@cigasho@
@although@|@in kastaoo@
@Am I going to be alright?@|@Saw ma bogsan doono?@
@amaze@|@fajici@
@amazement@|@amakaag, fajac@
@amazing someone@|@fajicin@
@ambassador@|@danjire, safiir@
@ambition@|@han, quluud, quluud@
@ambulance@|@bukaanqaad@
@ambush@|@gaad, rogaal@
@amen@|@aammiin@
@ammunition@|@rasaas@
@amount a vessel can contain@|@mug@
@amplification@|@cod baahiye@
@amulet@|@xirsi@
@amuse@|@dheeldheeli@
@amusement@|@dhayal@
@an@|@mid@
@An old wound will not go away@|@Nabar doogi ma haro@
@analize@|@falanqeey, qeex@
@analysis@|@baaritaan, qeexid@
@analyze@|@falanqeey, qeex@
@ancestors@|@ab, absaxan@
@ancestry@|@isir@
@and@|@iyo, oo@
@and then@|@markaasna@
@angel@|@malaa'ig@
@anger@|@caro, cartan, gedaad, geyr, gidaad, juuqjuuq, umal@
@anger (1)@|@cadheysii, dhirfi, dhirif, gadood@
@anger management:@|@Iscelinta marka la xanaaqo@
@angle@|@isukeen, kalaggoys, kalaggoys, koone, laabato@
@anihilation@|@halaag@
@animal@|@nafley, xayawaano@
@animal hide@|@saan@
@animal skin@|@saan@
@animals@|@dunqaaro, xayawaanku@
@aniversary@|@minguuro@
@ankle@|@boqon, canqaw, majin@
@annihilation@|@halaag@
@anniversary@|@minguuro@
@annoucement@|@ogeysiis@
@announce@|@awaaji, naadi@
@announcement@|@iclaan@
@announcing@|@ogaysiin@
@annoy@|@adyadee, caddib, caddib, caddib, cadheysii, khashkhash, khashkhash@
@annoyance@|@caddib, caddib, dhiidhi, khashkhash@
@annoyed@|@dhiidhiy@
@annoying@|@daardaar@
@annual conference@|@kalfadhi@
@annul@|@buri@
@another@|@kale@
@answer@|@jawaab@
@ant@|@qudhaanjo@
@antecedent@|@ka hor dhac@
@antecipating@|@maleewaalid@
@antecipation@|@farammaggaadho, yididdiilo, yididdiilo@
@anticipation@|@yididdiilo@
@antilope@|@bayr@
@antiquity@|@qadduun, qadiim@
@anus@|@futo@
@anxiety@|@ciilcun, kurbo, murugo, sakati, wahan, wahan, welwel, welwel@
@anxiety (1)@|@caloolyow, tawal, uurkutaallo@
@anything@|@waxna@
@anything wide-spread@|@nashir@
@ape@|@daayeer@
@apology@|@afeefasho@
@appeal@|@codasho, codsasho, codsi, rafcaan@
@appear@|@muuqo@
@appearence@|@bidhaan, hannaan, muuq, muuqaal@
@appease@|@raalligeli@
@applaud@|@sacabdar@
@applause@|@sacabdarid@
@apple@|@tufaax@
@apply@|@hirgeli@
@apply for a job@|@dalbo@
@apportion@|@muquuni@
@appraise@|@tammin@
@appreciate@|@guux, meelmar, qushuuc, qushuuc@
@apprentice@|@barad@
@appropriate@|@meelmar@
@appropriateness@|@habboonaan@
@approve@|@akid, ayid@
@Are the snakes here dangerous?@|@Masaska halkaan khatar miyaa?@
@Are you constipated?@|@Miyaad dhigtay saxaro madaw?@
@Are you pregnant?@|@Miyaad uur leedahay?@
@Are you short of breath?@|@Miyay neeftu ku qabataa?@
@area of wekness@|@gol daloolo@
@area surrounding a house@|@sabab@
@area underneath the chin@|@jaqal@
@argue@|@akeekan, cilaaq, cilaaqtan, dabeebo, hagag, muran@
@argue (1)@|@cilaaq, cilaaq, dirir, jaarri, jactad, jactad, jikaar, jikaar, jiriibban@
@argue against@|@jikaar@
@arguing@|@dabeebad, dabeebasho@
@argument@|@akeekan, dabeeb, duluc, jactad, muran, muran, murmid@
@argument (1)@|@asaraar, bocoolaggurad, cilaaq, dabuub, khilaaf@
@argument (2)@|@doodis, hagag, jaarri, xaajo@
@argument(1)@|@asaraar, bocoolaggurad, cilaaq, khilaaf@
@arm@|@gacan@
@armed forces@|@jundi@
@arousal of emotion@|@hiyikac@
@arrange@|@aloosi, ballan, habee, qalqaal@
@arrange a marriage@|@guuri@
@arranging@|@habays@
@arrival@|@imaansho, imaatin@
@arrive@|@gaadh@
@arrogance@|@amarti, kibir, qabweyni@
@arrow@|@fallaar@
@arson@|@gubid@
@article@|@shey@
@article in a newspaper@|@maqaalad@
@artist@|@sawiraale@
@as ... as@|@sida@
@ascending@|@korid, korrimaad@
@ascension@|@korrimaad@
@ascent@|@korrimaad@
@ash@|@dambas@
@ashes@|@oog@
@ask@|@warayso, weydii@
@ask questions@|@tooyo@
@asking@|@tooyasho, waraysad@
@aspect@|@dir, dir, ged, ged, muug@
@ass@|@dameer@
@assemble@|@kulan, rakib, shir, urur@
@assembly@|@urur@
@assertion@|@dammaanad@
@assessment@|@qalabka qiimeynta@
@assist@|@caawin, kaali, taageer@
@assistance@|@kaalmo, tammiin@
@assistant@|@gacanyare@
@assisting@|@caaqibee@
@asthma@|@xiiq, xoqad@
@astonishiment@|@yaab, yaabi@
@astonishment@|@yaab, yaabi@
@at@|@ku@
@athlete@|@bardooddame@
@athletics@|@atleetiko, bardooddan@
@atmosphere@|@jawi@
@atom@|@atam@
@attach@|@niibo@
@attack@|@dagaal, hujuum, jalaalaqee, jalaalaqo@
@attain@|@qunso@
@attention@|@dhugmo@
@attraction@|@illaacdo@
@auction@|@xaraash@
@audiologist@|@maqal haye@
@auditory@|@maqal sooc@
@aunt@|@eddo@
@author@|@dhige, musannif@
@autobiography@|@iskawarramid@
@automibile@|@fatuurad@
@automobile@|@baabuur, baabuur, fatuurad@
@autumn@|@dayr@
@autumn rains@|@dayr@
@availability@|@helloonaan@
@aviability@|@helloonaan@
@axe@|@faas, gudimo, gudin, jidib@
@baboon@|@daayeer@
@baby@|@sebi@
@bachelor@|@doob@
@back@|@daban, dhabar, dib, gadaal, garab, jirjir, zaban@
@back of the neck@|@qadaad@
@bad@|@calafka@
@bad luck@|@naxsi@
@bad manners@|@anshaxxumo, basarxumo@
@bad mistake@|@qanbarac@
@bad news@|@dhiillo@
@bad smell@|@qadhmuun@
@bad strategy@|@basarxumo@
@bad temper@|@camalxumo@
@badger@|@xoor@
@bag@|@gunnad, jawaan, jiraab, kiisad@
@Baghdad@|@dhoweeyey@
@bail@|@damaanad@
@bait@|@callaafad@
@baker@|@rootile@
@balashi@|@feast@
@bald@|@baso, bidaar@
@bald person@|@basole@
@bald spot@|@galahi, golax@
@baldness@|@galahi, golah, salax@
@bale@|@bundad@
@ball@|@kankoon, kubbad, toon@
@banana@|@muus@
@banck check@|@jeeg@
@bandage@|@bandheys@
@banishment@|@miidaamo@
@bank@|@bangi@
@banner@|@bandiirad@
@banquet@|@loog@
@barbarian@|@jengeli@
@bargain@|@baayac, gorgori, gorgoro@
@bargaining@|@gorgortan@
@bark@|@qolof@
@barren she-camel@|@koron@
@barrier@|@qoqob@
@base@|@gundhigo, gundho, qoto, sal, unnug, unnug@
@basis@|@tiirmud, unnug@
@basket@|@dambiil, quffo@
@bastard@|@wacal@
@bathe@|@maydho, mayro@
@bathing@|@mayrasho@
@battery@|@bateri@
@battle@|@xarbi@
@bay@|@khoori@
@bayonet@|@beynaad@
@be@|@gir@
@be a companion@|@wehelyeel@
@be a fool@|@nacasoob@
@be a guest@|@marti@
@be a joker@|@jaajaalee@
@be a light@|@shidan@
@be able@|@garo, kar, tahli@
@be about to rain@|@guulaamee@
@be absent@|@maqnoow@
@be afraid@|@baq, baqayya@
@be agreeable@|@cuntan@
@be alert@|@feeyignoow@
@be amazed@|@fajac, fajic@
@be angry@|@cadhood, carood, dhiidhiy, dhirif, gedaad, gidaad@
@be annoyed@|@dhiidhiy@
@be anxious@|@murugood@
@be aroused@|@hiyikac@
@be arranged@|@qaaban@
@be arrogant@|@kibir@
@be ashamed@|@xishood@
@be astonished@|@amakaag@
@be at a place@|@taalla@
@be aware@|@ogoow@
@be aware of@|@ogsoonoow@
@be barefoot@|@cagaag@
@be be frightened@|@nax@
@be below@|@hoosee@
@be bent@|@loodsan, qalloocan, qallooco@
@be beside@|@baallee@
@be bewitched@|@falan@
@be blessed@|@dhuroob@
@be blind@|@indhabbeel@
@be born@|@dhal, dhalo@
@be brave@|@kelyaciirso@
@be broken to bits@|@jajab@
@be buried@|@qallooco@
@be burried@|@aasan@
@be burst open@|@dhanbalan@
@be certain@|@sug, xaqiiji@
@be changed@|@beddelan, qayiran@
@be cheap@|@raqiis@
@be clear headed@|@fahmayso@
@be closed@|@xiran@
@be concerned about@|@aabayeel@
@be confused@|@gedmo, qasan@
@be connected@|@xiriir@
@be constructed@|@dhisan@
@be convinced@|@qanac@
@be correct@|@qun@
@be corrupt@|@musuqmaasuq@
@be created@|@uuman@
@be critically ill@|@barood@
@be crooked@|@janjeer, maroor, qallooco, qallooco@
@be dazzled@|@indhasarcaad@
@be deceived@|@khatalan@
@be delayed@|@caddilan@
@be destroyed@|@dum@
@be disappointed@|@hankaag, hungoob, khushuuc@
@be dissolved@|@milan@
@be dizzy@|@wareer@
@be doubtful@|@shaki@
@be drenched@|@caac@
@be drunk@|@sakhraan@
@be dry@|@dowr@
@be dying@|@sakaraad@
@be elegant@|@mardaaddi, shoob@
@be eliminated@|@baaba@
@be embarrassed@|@ilfashaq, islayaab@
@be enamelled@|@dheehan@
@be engaged in sports@|@jimjimicso@
@be enough@|@kafee@
@be entertained@|@madadaalo@
@be evident@|@muuqo@
@be excited@|@dherer@
@be expensive@|@qaalisanoow@
@be extinguished@|@dan@
@be far off@|@shishee@
@be filled to the rim@|@ceegaag@
@be finished@|@maro@
@be first@|@horree@
@be fitting@|@meelmar@
@be fragrant@|@caraf@
@be frightened@|@nax@
@be frightened of@|@maarso@
@be full@|@buux@
@be full of holes@|@daldalool@
@be full to overflowing@|@hirqo@
@be full up@|@jilaysan@
@be gathered together@|@tuuro@
@be happy@|@arwaax, faarax, mustareex, naallood, riyaaq@
@be happy (1)@|@badhaadh@
@be hungry@|@gaajood@
@be impatient@|@badhaadh, koranwaay, raagso@
@be in a difficult situation@|@iiqo@
@be in a place@|@ool@
@be in a tight place@|@iiqo@
@be in debt@|@qaamoob@
@be in error@|@khatalan@
@be in mourning@|@tacsi@
@be in pain@|@xanuun@
@be in suffer@|@balanbal@
@be in the middle@|@dhexee@
@be in tight place@|@iiqo@
@be in trouble@|@balanbal@
@be incomplete@|@qabyoob@
@be increased@|@biiraan@
@be interested in@|@muraad@
@be jealous@|@masayr@
@be joyful@|@farax@
@be kind to@|@arxan, naxariiso@
@be kindled@|@hulkan@
@be lacking@|@moog@
@be last@|@dambee@
@be late@|@baad, daah@
@be lazy@|@caajis@
@be loosened@|@ruxan@
@be lost@|@dhun, habaab, hallaab, hallaw, halloob@
@be lucky@|@naallood@
@be lying down@|@jiif@
@be occupied@|@hawshood@
@be of service@|@ciidan@
@be offend@|@khasiyadee@
@be offensive@|@khasiyadee@
@be on guard@|@irdhoob@
@be on top@|@korreev, korreev, sarrey@
@be out of breath@|@haftood@
@be partial@|@hiili@
@be patient@|@dulyeelo, sabir, samir@
@be permanent@|@waar@
@be permanet@|@waar@
@be permited@|@jidoob@
@be permitted@|@jidoob@
@be persistent@|@haar@
@be pleased@|@arwaax@
@be pleased with@|@guux@
@be possible@|@suuraggal, suurtoob@
@be pregnant@|@riman, rimay@
@be present@|@joog@
@be prosper@|@badhaadh@
@be put into effect@|@hirgal@
@be quick@|@dhakhso@
@be rebellious@|@caasiy@
@be reduced@|@dhiman@
@be related to@|@qareen@
@be responsible@|@isqaan@
@be restless@|@dhaqdhaqaaq, kirtan@
@be rounded@|@kuusan@
@be ruined@|@ibtiloob@
@be sad@|@caloolxumow@
@be safe@|@badbaad@
@be scared@|@naxsanoow@
@be shaken@|@musuraar@
@be shocked@|@musuraar, qarracan@
@be shy@|@ajood, ilfashaq@
@be sick@|@buko, bukood@
@be silent@|@aammus@
@be slaughtered@|@qalan@
@be spoiled@|@ba@
@be started@|@bilaaban@
@be startled@|@hanfad, nax@
@be straight@|@qun@
@be stretched@|@jiidan, togan@
@be stunted@|@dhar@
@be sufficient@|@kafee@
@be suitable@|@habboonoow@
@be superior@|@korreev@
@be sure@|@hub, hubso, sug@
@be surprised@|@abyan, layaab, yaab, yaab@
@be suspended@|@lalmo@
@be sympathetic@|@garaab@
@be tardy@|@baad@
@be tempted@|@laabraac@
@be terrified@|@guulan@
@be the cause of death@|@sabab@
@be thirsty@|@harraad, oon@
@be threaded@|@taxan@
@be threatened@|@hanfad@
@be thrifty@|@cuquulee@
@be tied@|@xiran@
@be tied by the leg@|@heegan@
@be tied up@|@xiran@
@be tired@|@daal, noog@
@be unprofitable@|@khasaar@
@be unstable@|@kadaalli@
@be upright@|@qoton@
@be useful@|@anfac, waxtar@
@be victorious@|@guuleyso, libayso@
@be weak@|@liido@
@be well@|@faay@
@be well cared for@|@dhaqan@
@be win@|@guuleyso@
@be wounded@|@heeran@
@be wrapped@|@duuban@
@be zealous@|@haar@
@be!@|@ahaw, jir@
@be/exist@|@jir@
@bead@|@bead, kuul@
@bean@|@digir@
@beans@|@digir@
@bear@|@oorso@
@bear interest@|@ribxi@
@beard@|@gad, gar, gar@
@beat@|@garaac, ree, tun, xaawi@
@beat thoroughly@|@jafjaf@
@beat to remove dust@|@jaf@
@beating@|@dhabaandhaw, jaf@
@beautiful appearance@|@haashaar@
@beautiful object@|@ilwaad@
@beautiful person@|@maandeeq@
@beautify@|@qurxi@
@beauty@|@ilqabato, luuli, qaabsanaan, qurux, sharaf, siinad@
@beauty (1)@|@heemaal, toolmoonaan@
@beauty goodness@|@toolmoonaan@
@beauty style@|@heemaal@
@because@|@maxaa yeelay, sababta@
@become@|@garoob, noqo@
@become a christian@|@nasaaroob@
@become a friend@|@saaxiib@
@become a Muslim@|@islaam, muslin@
@become adult@|@barbaar@
@become angry@|@cartan@
@become bankrupt@|@musallif@
@become broken@|@burbur@
@become civilized@|@ilbax@
@become cold or cool@|@qaboob@
@become comfortable with@|@qalaggooy@
@become confused@|@mashaqoob@
@become crippled@|@curyaan@
@become dessicated@|@jawrar@
@become dirty@|@najaasee@
@become emotional@|@hiyikac@
@become equal@|@masoob@
@become expensive@|@qaaliyoob@
@become extra@|@saayid@
@become faint@|@diq@
@become fat@|@buurnoow@
@become green@|@laac@
@become ifnected@|@hurgun@
@become ill@|@buk@
@become impure@|@najaasee@
@become loose@|@khalkhal@
@become one@|@midoob@
@become or be bankrupt@|@musallif@
@become overheated@|@huur@
@become poor@|@cayrtoobo@
@become possible@|@suuroob@
@become real@|@dhaboob@
@become related@|@bahoob@
@become related by marriage@|@xidid@
@become rich@|@hodan@
@become rusty@|@mirir@
@become small@|@yaroow@
@become soft@|@jilicsan@
@become spoiled@|@kharaab@
@become strong@|@quwoob@
@become stuffy@|@huur@
@become white@|@caddow@
@become worn@|@duugoob@
@become worn out@|@kharaab@
@becoming angry@|@carood@
@becoming lost@|@lumid@
@becoming short@|@gaabin@
@becoming strong@|@taagsasho@
@bed@|@dargad, sariir, sariir@
@bedbug@|@kutaan@
@bedroom@|@shamrad@
@bee@|@shinni@
@beer@|@biir@
@bees@|@shinni@
@before@|@awal, horteeda, hortiis@
@beg@|@tuugso@
@beget@|@dhal@
@begging@|@baryo@
@Begging the clouds to rain@|@Daruuro usoo sasabay@
@begin@|@biloow@
@begin to shine@|@kaah@
@begin with a blessing@|@bismillee@
@beginning@|@bilaabasho, bilaw, biloow, gundhig, horraan@
@behavior@|@basar, baxaalli, camal, dabac, dabeecad, saansaan@
@behavior (1)@|@akhlaaq, dabicad, guuhaad, guuhaad, sansaan@
@behind@|@dabadeed, dabo@
@beign upright@|@taagnaan@
@being overwhelmed@|@hafad@
@being safe@|@caymasho@
@being short@|@cedhiidhi@
@being warm@|@diirsi@
@being worse@|@darnaan@
@belch@|@daac@
@belief@|@ictiqaad, iimaan@
@belittle@|@quurso@
@belly@|@ffic, uur@
@beloved@|@xabiib@
@beloved female@|@gacaliso@
@beloved male relative@|@gacaliye@
@beloved person@|@gacal@
@below@|@hoos@
@belt@|@seeb@
@bend@|@god, hogoggoli, nadooci, qallooco, qallooco, qoolaab, tiic@
@bend (1)@|@liic, qallooci@
@bend by force@|@loodi@
@bend oneself@|@qoox@
@bend over something@|@gowriir@
@bending over@|@gowriir@
@benefit@|@dheef, nacfi@
@benefit from@|@aayo, nafacso@
@benefiting@|@nafacsasho@
@bentness@|@gurrac, nadoocsanaan, qallooc@
@berate@|@hangaggurree@
@beside@|@dhinac, gebi@
@bet@|@sharad, shardi@
@betray@|@hod, khayaan, mardabee@
@betrayl@|@mardabo@
@between@|@dhexdood, dhexdooda@
@beyond@|@shishe@
@bias@|@eexasho@
@bicycle@|@baskiil, baskiilad@
@big@|@weyn@
@big eater@|@cunaa@
@big white cloud@|@dhot@
@bigness@|@weynaan@
@biid@|@morsel@
@bile@|@leex@
@bill@|@biil@
@billion@|@bilyan@
@bind@|@xirxir@
@binding@|@jilid@
@biology@|@bayooloji@
@bird@|@shimbir, shinbir@
@birds@|@haad@
@birth@|@dhalasho@
@birthday@|@dhallaanciil@
@biscuit@|@buskud@
@bit@|@biid, kis, kis, xabbo@
@bite@|@cantuugo, gurbo, qaniin, qaniin@
@bits@|@jaabo@
@bitter stuff@|@dacar@
@bitterness@|@hinaayo, kharaar, xaraar@
@black@|@madaw@
@black ant@|@midh@
@black color@|@sugul@
@blame@|@eed, haaraan, hanaayo, haydaarto, hiif, saarso@
@blame (1)@|@aano@
@blanket@|@buste, laxaaf@
@blast@|@qarax@
@blaze@|@belbel@
@bleed@|@dhiigaab, dhiigbax, goror@
@bleeding@|@dhiijis@
@bless@|@barakee, ducee@
@blessing@|@ajar, dhurwaa, falli, falli, wacays@
@bliking@|@bilig, libiqsasho@
@blind person@|@indhoole@
@blindfold@|@indhadduub@
@blindness@|@indhabbeel@
@blink@|@birbir, libiqso@
@blister@|@ciir@
@blodness@|@boorrin@
@blood@|@dhiig@
@blood relations@|@qaraabo@
@blood relatives@|@hilbawadaag@
@blow@|@afuuf, feer, garaacid@
@blow dust@|@habaasi@
@blue@|@buluug, buluuki@
@bluntness@|@afdarro, guxuun@
@blurred vision@|@malluug@
@boar@|@khansiir@
@boast@|@faan@
@boasting@|@dhood@
@boat@|@doon@
@bodily organ@|@qaaro@
@body@|@jidh, jir, kor, oogo@
@body-hair@|@xaad@
@bomb@|@bam, bambo, jaliilad@
@bone@|@laf@
@bone of the back of the jaw@|@jiriid@
@bonus@|@gunno@
@book@|@buug, buuga, kitaab, kitab, kutub@
@books@|@kutub@
@boom@|@jibindhaw@
@border@|@geftin, xad@
@bore@|@boor@
@boredom@|@hadarinan@
@borrow@|@amaaho, caariyeyso, daynso, deeyno, deyn qab@
@borrowing@|@caariyeysasho, caariyeysi@
@boss@|@jammaamuur@
@both@|@labada@
@bother@|@arbush, khashkhash, khashkhash, rabbash@
@bottle@|@qarshad, qarsho, qaruurad, quraarad@
@bottom@|@gundho@
@bottom vertebra@|@dhumuc@
