@English@|@Vietnamese@
@at times@|@thÌnh thoäng@
@at work@|@làm viŒc@
@attach@|@n¶i công@
@attaché@|@tùy viên@
@attack@|@Çánh@
@attack from outside@|@ngoåi kích@
@attract@|@hÃp dÅn, thu hút@
@audacious@|@båo@
@audio-visual@|@thính thÎ@
@audit@|@thanh tra@
@augment@|@tæng@
@austerity@|@kham kh°@
@Austria@|@Áo@
@authentic@|@chánh gÓc, chính cÓng, chính thÓng, chính tông@
@author@|@tác giä@
@authoritative@|@có thÄm quyŠn@
@authority@|@chính quyŠn, nhà chÙc trách, quyŠn hành, thÄm quyŠn@
@authorization@|@giÃy phép, phép, s¿ cho phép@
@authorize@|@cho phép@
@auto@|@xe hÖi@
@auto/bike repair shop@|@tiŒm sºa xe@
@automate@|@t¿ Ç¶ng hóa@
@automation@|@s¿ t¿ Ç¶ng hóa@
@autonomy@|@t¿ trÎ@
@auxiliary TO BE in negative action (ie. I AM hit)@|@bÎ ...@
@avenue@|@ÇÜ©ng, ÇÜ©ng hÜ§ng@
@avoid@|@né, tránh@
@awake@|@thÙc@
@awake (adj)@|@tÌnh ngû@
@ax@|@r¿a, rìu@
@babble on@|@l¡m l©i@
@back (body)@|@lÜng@
@background@|@bÓi cänh@
@backward state@|@låc hÆu, thoái hóa@
@bad@|@tÒi@
@bad grammar@|@bÃt thành cú@
@bad reputation@|@tai ti‰ng@
@badly@|@thÆm tŒ@
@bag@|@bao, bÎ@
@baggage@|@hành lš, hành trang@
@bail@|@thùng Ç¿ng; xô, tiŠn th‰ chân@
@bail out@|@bÕ chåy@
@bait@|@mÒi@
@bake@|@làm bánh@
@bakery@|@tiŒm bánh@
@balcony@|@lan can@
@ball@|@bóng@
@bamboo@|@tre@
@bamboo staff@|@tÀm vông@
@ban@|@cÃm@
@bandit@|@th° phÌ@
@bankrupted@|@tr¡ng tay@
@barber shop@|@tiŒm h§t tóc@
@bare head@|@ÇÀu trÀn@
@bargain@|@m¥c cä@
@barometer@|@phong vÛ bi‹u@
@barren@|@hiu quånh, hoang vu@
@barren and dull@|@Çìu hiu@
@barren landscape@|@ÇÒng không mông quånh@
@barrio@|@xóm@
@basam fish@|@cá trê@
@basement@|@hÀm@
@be a daughter-in-law@|@làm dâu@
@be a man's misstress@|@làm lë@
@be a servant@|@ª Ç®@
@beachhead@|@ÇÀu cÀu@
@bean@|@ÇÆu@
@bear (v)@|@chÎu Ç¿ng@
@beat@|@Çánh@
@beat up@|@Çánh ÇÆp@
@beatified@|@hi‹n thánh, thành thánh@
@beautiful woman@|@giai nhân@
@beauty@|@dung, dung nhan@
@beauty contest@|@thi hoa hÆu@
@because@|@tåi vì, vì@
@become@|@thành (Çt)@
@become enraged@|@n°i nóng@
@become famous@|@n°i ti‰ng@
@become obese@|@phát phì@
@bed room@|@phòng ngû@
@beggar@|@hành khÃt@
@behead@|@träm@
@being deep in thought@|@trÀm ngâm@
@being quiet@|@ngÆm tæm@
@belief@|@tin tÜªng@
@believe@|@tin tÜªng@
@belly@|@bøng@
@belonging to@|@cûa@
@belongings@|@cûa cäi@
@belt@|@Çai, dây nÎt, th¡t lÜng@
@bend (v)@|@bÈ cong@
@bend down@|@cúi@
@bend to break (v)@|@bÈ gÅy@
@benefits@|@b°ng l¶c@
@benevolent@|@thiŒn@
@bent@|@cong@
@bent back@|@khòm, khòm lÜng@
@best solution@|@thÜ®ng sách@
@bet (v)@|@cá@
@bet on horse race (v)@|@cá ng¿a@
@bet(v)@|@Çánh cá@
@betray@|@phän b¶i@
@Bible@|@Kinh thánh@
@bid (v)@|@ÇÃu thÀu@
@big@|@b¿, l§n, to@
@binoculars@|@Óng nhòm@
@bird@|@chim@
@bird cage@|@lÒng chim@
@birth@|@sinh ÇÈ@
@birth country@|@xuÃt sÙ@
@birthday@|@sinh nhÆt@
@birthplace@|@nguyên quán@
@bistro@|@quán@
@bitch (slang)@|@bà ch¢ng@
@bitch (v)@|@nhi‰c@
@bitchy@|@chanh chua@
@bitter@|@Ç¡ng, cay Ç¡ng@
@black@|@Çen@
@black mail@|@tÓng tiŠn@
@blanket@|@chæn@
@blatantly@|@công khai@
@blebbermouth@|@lÈo mép@
@blind@|@mù@
@block (v)@|@ch¡n, ch¥n@
@blockade@|@phong tÕa@
@blood@|@máu@
@blood related@|@máu mû@
@blow (v)@|@th°i@
@blue@|@xanh@
@blue-collar@|@lao l¿c@
@bluffing@|@tháu cáy@
@boa constrictor@|@træn@
@board@|@bäng@
@boastful@|@ngåo mån@
@boat@|@xuÒng@
@boat ride@|@Çi Çò@
@boat)@|@tài công@
@body hair@|@lông@
@bodyguard@|@cÆn vŒ@
@bold@|@båo, båo dån, gan@
@bone@|@xÜÖng@
@bone marrow@|@tûy@
@book@|@sách@
@border@|@biên gi§i, viŠn@
@borrow@|@mÜ®n@
@boulevard@|@Çåi l¶@
@bow@|@cung@
@bow and arrows@|@cung tên@
@bow down (v)@|@låy@
@bow in front of altar@|@lÍ@
@bowl (large)@|@tô@
@bowl (same as chén)@|@bát@
@box (n)@|@thùng@
@box (v)@|@Çóng thùng@
@boxer short@|@quÀn Çùi@
@boxing@|@quyŠn Anh@
@boycott@|@tÄy chay@
@brace (v)@|@gÒng mình ch© bi‰n cÓ@
@brace for@|@chÎu Ç¿ng@
@brag@|@khoe@
@brag (slang)@|@n°@
@brainwash@|@tÄy não@
@brand@|@hiŒu@
@bravo@|@hoan hô@
@Brazil@|@Ba Tây@
@break@|@v«@
@break (stop)@|@th¡ng@
@break even@|@huŠ vÓn@
@break off romance@|@Çoån tuyŒt@
@break the law@|@phåm pháp@
@breast@|@vú@
@breeding@|@sinh sän@
@brick@|@gåch@
@bridge@|@cÀu@
@bright@|@láu@
@bring (v)@|@Çem@
@broken@|@v«@
@broken down@|@hÕng, hÜ@
@broken-hearted@|@thÃt tình@
@broth@|@nÜ§c lèo@
@brother (older)@|@anh@
@brother (younger)@|@em@
@brotherhood@|@tình huynh ÇŒ@
@brown@|@nâu@
@brutal@|@tàn båo@
@Buddhism@|@Çåo PhÆt@
@Buddhist temple@|@chùa@
@budge@|@Ç¶ng ÇÆy@
@budget@|@ngân quÏ@
@budget deficit@|@thâm thûng ngân quÏ@
@buffed or muscular@|@Çô (slang)@
@bug@|@b†@
@build@|@d¿ng, ki‰n thi‰t@
@building@|@dinh th¿@
@building complex@|@chung cÜ@
@Bulgaria@|@Bäo Gia L®i@
@bulky@|@cÒng kŠnh@
@bullet@|@ÇÀu Çån@
@bummer@|@cà ch§n@
@bundle@|@ÇÓng@
@buoyant@|@n°i lŠu bŠu@
@burden@|@cûa n®@
@burden oneself@|@cáng Çáng@
@bureaucrats@|@thÜ låi@
@burn (skin)@|@phÕng@
@burn (v)@|@cháy@
@bury (dead)@|@ÇÜa Çám@
@bury (v)@|@chôn@
@bus (long distance)@|@xe Çò@
@bus)@|@tråm@
@busted (string@|@ÇÙt@
@busy@|@bÆn@
@butt@|@Çít, mông@
@butter (French: beurre)@|@bÖ@
@buttock@|@bàn t†a@
@buy@|@mua@
@buy (v)@|@tÆu@
@buy influence@|@mua chu¶c@
@by mutual agreement@|@ÇÒng lòng@
@bystander@|@ngoåi cu¶c@
@cabbage@|@cäi@
@cage@|@lÒng@
@cage (n)@|@lÒng@
@calculate (v)@|@tính@
@calculating@|@tính toán@
@call (v)@|@kêu@
@call for@|@chû trÜÖng@
@calmly@|@thän nhiên@
@câm@|@mute@
@camel@|@låc Çà@
@campaign (v)@|@vÆn Ç¶ng@
@campground@|@nÖi c¡m tråi@
@cancer@|@ung thÜ@
@cannon@|@Çåi bác@
@capital@|@thû Çô, thû phû, tÜ bän@
@capital punishment@|@tº hình@
@capitalism@|@chû nghïa tÜ bän@
@capture (v)@|@b¡t@
@career@|@nghŠ, nghŠ nghiŒp@
@careless@|@bÃt cÄn, cÄu thä@
@cargo@|@thÒ@
@carp@|@cá ch¡m@
@carpet@|@thäm@
@carry@|@mang@
@carry (v)@|@bÜng@
@carry a person@|@bÒng; b‰@
@carry a small person (v)@|@b‰@
@carry on back (v)@|@cõng@
@carry on top of head@|@Ç¶i@
@carry out@|@hành xº@
@carry out with haphazard@|@làm càn@
@carry with oneself@|@mang theo@
@carve (v)@|@kh¡c@
@castrate@|@thi‰n@
@casualty)@|@n¥ng nŠ@
@cat@|@mèo@
@catastrophe@|@Çåi nån@
@Catholics@|@Çåo Công giáo@
@Catholism@|@ñåo@
@cause@|@nguyên nhân@
@cause hardship to someone@|@làm kh°@
@caution@|@d¥n, khuy‰n cáo@
@cave@|@Ç¶ng, hÀm@
@cavity tooth@|@ræng sâu@
@cellery@|@cÀn@
@cemetery@|@nghïa trang@
@censor@|@ki‹m duyŒt@
@censorship@|@ki‹m duyŒt@
@center@|@trung phong, trung tâm@
@center of gravity@|@tr†ng tâm@
@centimeter@|@phân@
@central@|@trung ÜÖng@
@centrist@|@trung dung@
@ceramic@|@sÙ@
@chair@|@gh‰@
@chalk@|@phÃn@
@challenge@|@ÇÓ, thách@
@chamber@|@phòng@
@chamber music@|@nhåc thính phòng@
@change (money)@|@tiŠn lÈ@
@change (v)@|@Ç°i@
@change name@|@cäi danh@
@chaos@|@h‡n Ç¶n, h‡n loån@
@chaplain@|@cha tuyên úy@
@character@|@tánh@
@character of a person@|@tâm ÇÎa@
@charity@|@tØ thiŒn@
@chart@|@bi‹u ÇÒ@
@chauffeur@|@tài x‰@
@cheat@|@lÆu, thû Çoån@
@cheek@|@má@
@chemical engineer@|@kÏ sÜ hóa h†c@
@ches@|@ng¿c@
@chest@|@ng¿c@
@chicken@|@gà@
@chicks@|@gà con@
@chieftain@|@ÇÀu Çàn, ÇÀu sÕ, ÇÀu xÕ@
@China@|@TÀu, Tàu@
@Chinese@|@ti‰ng Tàu@
@Chinese chess@|@c© tÜ§ng@
@chipped@|@mÈ@
@choice@|@l¿a ch†n (s¿)@
@cholera@|@dÎch håch@
@choose@|@l¿a ch†n@
@chop (v)@|@b¢m@
@Christianity@|@Çåo Thiên Chúa@
@Christmas@|@Giáng Sinh@
@chronic@|@kinh niên@
@church@|@nhà th©@
@cigar)@|@tàn thuÓc@
@circle@|@vòng tròn@
@circuit@|@måch ÇiŒn@
@circuit board@|@måch ÇiŒn@
@circus (Fr=cirque)@|@xiŒc@
@citizen@|@công dân@
@city@|@thành phÓ, thành thÎ, tÌnh, tÌnh@
@civic education@|@công dân giáo døc@
@civil law@|@dân luÆt@
@civilize@|@khai trí@
@civilize a people@|@khai hoá@
@claim excuse@|@viŒn lë@
@class@|@l§p@
@class (social)@|@giai cÃp@
@classical music@|@nhåc c° Çi‹n@
@classification@|@phân loåi@
@classifiy@|@phân loåi@
@classroom@|@l§p, l§p h†c, phòng h†c@
@claw@|@càng, cào@
@clean@|@såch@
@clean (v)@|@chùi@
@clear@|@trong@
@clear (v)@|@thông (Çt)@
@clear one's throat@|@t¢ng h¡ng@
@clearing@|@quang Çãng@
@climb (v)@|@leo, trèo@
@climb up@|@lên@
@cling on@|@bám gi»@
@cling on to power or position@|@tham quyŠn cÓ vÎ@
@clock@|@ÇÒng hÒ@
@close@|@Çóng@
@close a door@|@Çóng cºa@
@cloth@|@väi@
@cloud@|@mây@
@clown around@|@múa may quay cuÒng@
@clumpsy@|@loång quång, vøng@
@cocky@|@khinh khÌnh, lÃc cÃc@
@coconut@|@dØa@
@coffee filter@|@phin cà phê@
@coffin@|@quan tài@
@co-habit@|@ª chung@
@coincidence@|@trùng h®p@
@cold@|@lånh@
@cold (illness)@|@cäm@
@cold feet@|@ch‰t nhát, lånh c£ng@
@cold heart@|@ác, lånh lùng@
@cold shoulder@|@lånh nhåt@
@colleague@|@ÇÒng nghiŒp@
@collective@|@Çoàn th‹, t° h®p, tÆp Çoàn, tÆp h®p, tÆp th‹@
@collectivism@|@chû nghïa tÆp quyŠn trung ÜÖng@
@collude@|@cÃu k‰t trong thÜÖng måi@
@colonialism@|@chû nghïa th¿c dân@
@colonialist@|@th¿c dân@
@colonist@|@dân thu¶c ÇÎa@
@color (v)@|@tô màu@
@Colosseum@|@giác ÇÃu trÜ©ng@
@column)@|@tái Çæng@
@combative@|@Çáo Ç‹@
@come back@|@vŠ@
@come down to earth@|@giáng trÀn@
@comfort (v)@|@vÃn an@
@commando@|@biŒt kích, biŒt kích@
@commerce@|@thÜÖng trÜ©ng@
@commit a wrong@|@làm bÆy@
@common@|@không Ç¥c s¡c, thÜ©ng, vô danh ti‹u tÓt@
@communication@|@thông tin@
@communism@|@chû nghïa c¶ng sän@
@community@|@c¶ng ÇÒng@
@commute@|@di chuy‹n Ç‰n sª làm m‡i ngày@
@compassionate@|@giàu lòng@
@compatible (persons)@|@tâm ÇÀu š hiŒp@
@compensate (v)@|@ÇŠn@
@compensation for work@|@thù lao@
@compete@|@thi Çua, thi thÓ@
@compete for@|@tranh giành@
@complement@|@b° túc@
@completion@|@hoàn tÃt@
@complex@|@m¥c cäm, phÙc tåp@
@compliment@|@khen ng®i@
@composed (demeanor)@|@ÇiŠm tïnh@
@conceited@|@kiêu cæng, làm tàng@
@concern@|@quan tâm@
@concession@|@nhân nhÜ®ng@
@conduct@|@dung túng@
@conference@|@h¶i thäo@
@confess@|@khai, t¿ thú, thú thÆt@
@confess (v)@|@thú@
@confess to a crime@|@thú t¶i@
@confined@|@tù túng@
@confirm@|@xác nhÆn@
@confirm (v)@|@xác nhÆn@
@confiscate@|@tÎch thu@
@confront@|@ÇÓi ÇÀu@
@confront each other@|@kình nhau; kŠnh nhau@
@Confucianism@|@Çåo Kh°ng@
@Confucius@|@Kh°ng Tº@
@confused@|@hoang mang@
@conscientious@|@tÆn tâm@
@conservation@|@duy trì, gi» gìn, ti‰t kiŒm@
@conservative@|@bäo thû@
@conserve@|@gi» gìn, th¡t lÜng bu¶c bøng@
@conspiracy@|@âm mÜu@
@conspire@|@toa rÆp@
@conspire with@|@thông ÇÒng, tÜ thông@
@constitutional right@|@quyŠn hi‰n ÇÎnh@
@constraint@|@bó bu¶c@
@constrast@|@tÜÖng phän@
@construct@|@ki‰n thi‰t, xây cÃt@
@construe@|@có nghïa là, hàm š@
@consulate@|@tòa lãnh s¿@
@Consulate General@|@T°ng lãnh s¿@
@consult (v) for advice@|@vÃn k‰@
@contact@|@liên låc@
@container@|@thùng@
@contemplate@|@ng¡m nghía@
@contention@|@høc h¥c@
@continent@|@løc ÇÎa@
@continuous@|@liên tøc, liŠn låc@
@continuous rain@|@dÀm dŠ@
@contraband@|@lÆu@
@contract@|@h®p ÇÒng, kh‰ Ü§c@
@contractor@|@nhà thÀu@
@contradict@|@ÇÓi ch†i@
@control (v)@|@giám sát@
@convalesce@|@phøc sÙc@
@convenience@|@thuÆn tiŒn@
@convenient@|@tiŒn@
@convenient store@|@tiŒm tåp hóa@
@convention@|@h¶i thäo@
@convergence@|@h¶i tø@
@convergent@|@h¶i tø@
@convey@|@cho hay, chuy‹n tin, thông báo@
@convey news@|@b¡n tin@
@cook (v)@|@nÃu, nÃu nÜ§ng@
@cook rice@|@th°i cÖm@
@cooked@|@chín@
@cool@|@mát@
@cool headed@|@trÀm tïnh@
@cooperate@|@h®p tác@
@cop (slang)@|@c§m@
@copper@|@ÇÒng@
@copyright@|@tác quyŠn@
@core@|@nhân@
@corn@|@ngô@
@corner of room or house@|@xó@
@correct@|@chÌnh@
@corroded@|@møc nát@
@corrugated metal sheet (French=tôle)@|@tôn@
@corruption@|@tham nhÛng@
@cost@|@phí t°n@
@costly@|@tÓn, tÓn kém@
@cosummate the marriage@|@Ç¶ng phòng@
@count (law)@|@cáo trång@
@count (v)@|@Ç‰m@
@counter@|@quÀy@
@counter artillery@|@phän pháo@
@counterattack@|@phän công@
@counterinterlligence@|@phän gián@
@counter-revolutionary@|@phän cách mång@
@counterweight@|@ÇÓi tr†ng@
@countless@|@vô sÓ@
@country@|@sÖn hà, xÙ@
@country girl@|@thôn n»@
@countryside@|@nông thôn, thôn quê@
@coup d'état@|@Çäo chánh@
@couple@|@c¥p, Çôi@
@course@|@l§p@
@court (v)@|@tình t¿@
@court of appeal@|@tòa phá án@
@court of law@|@tòa, tòa án@
@courtship@|@tình t¿@
@cover@|@che@
@cover (v)@|@bao@
@cover up@|@che ÇÆy, che dÃu@
@cover with a lid@|@ÇÆy@
@covering pane@|@båt@
@cow@|@bò@
@coward@|@nhát@
@cowardice@|@hèn hå@
@cracked@|@bª@
@crave for@|@thèm@
@crawl thru/under something (v)@|@chui@
@crazy@|@Çiên, khùng@
@create@|@cÃu tåo, làm ra@
@create a rumor@|@Çánh ti‰ng@
@creature@|@Ç¶ng vÆt@
@crescent moon@|@træng khuy‰t@
@crime scene@|@phåm trÜ©ng@
@criminal law@|@hình luÆt@
@crippled@|@tàn ph‰, tàn tÆt@
@critical@|@nhu y‰u@
@critical duty@|@tr†ng trách@
@criticize@|@chê, tÓ@
@criticize publicly@|@công kích@
@crooked@|@méo@
@crossbow@|@ná, nÕ@
@crossed eye@|@lé@
@crow@|@quå@
@crowd@|@Çám Çông@
@crowded@|@Çông@
@crude@|@thô@
@cruel@|@tàn nhÅn@
@Crusade@|@Thánh Chi‰n@
@crushed sunflower seeds@|@mè@
@cry (v)@|@nhè@
@cult@|@tà Çåo@
@cultivate@|@cÃy@
@cum@|@tinh khí@
@cumbersome@|@phiŠn phÙc@
@curfew@|@gi§i nghiêm@
@curious@|@tò mò@
@currency@|@tiŠn tŒ@
@currency exchange@|@Ç°i tiŠn@
@curry@|@cà ri@
@curse@|@chºi@
@curse (v)@|@rûa@
@curtain@|@màn@
@Custom Service@|@thu‰ quan@
@custome@|@tøc lŒ@
@customer@|@khách hàng@
@cut (v)@|@c¡t@
@cut off diplomatic tie@|@Çoån giao@
@cute@|@xinh@
@Dad@|@bÓ@
@Daddy@|@ba@
@daily paper@|@nhÆt trình@
@damage@|@thiŒt håi@
@dance (v)@|@múa, nhäy nhót@
@dangling@|@tòng teng@
@dare (v)@|@dám@
@dark@|@ÇÆm, tÓi, tÓi tæm@
@dark thought@|@h¡c ám@
@data@|@d» kiŒn@
@date (fruit)@|@chà là@
@dead@|@th£ng c£ng (slang)@
@dead (slang)@|@th¡ng c£ng, th£ng c£ng, th£ng c£ng (lóng)@
@dead body@|@xác ch‰t@
@dead dog (slang curse)@|@chó ch‰t@
@deadline@|@hån chót, hån cuÓi@
@deadly strike@|@Ç¶c thû@
@deaf@|@Çi‰c@
@deal with@|@ÇÓi phó@
@dear@|@quš@
@death by hanging@|@ch‰t treo@
@debate@|@tranh luÆn@
@debt@|@cûa n®, n®@
@decease@|@tå th‰, tØ trÀn@
@deceit@|@lÜu manh, thû Çoån@
@deceitful@|@giä dÓi, lÜu manh, trá@
@decide@|@quy‰t ÇÎnh@
@decipher@|@giäi mÆt mã, tìm š nghïa@
@declaw@|@rút vuÓt@
@decline@|@suy thoái, tØ khÜ§c@
@decode@|@giäi mÆt mã@
@décolleté@|@áo hª c°@
@decommission@|@hÒi hÜu tàu thûy@
@decompose@|@r»a nát ra@
