@Old Norse@|@English@
@dyrvǫrðr@|@door_keeper@
@dys@|@grave@
@eða@|@but, and@
@eðr@|@still@
@efja@|@mud@
@efla@|@perform (v), make (v), support (v)@
@efna@|@fulfill (v), perform (v)@
@efnaleysi@|@poverty@
@efni@|@condition, reason, material, state@
@efniligr@|@promising@
@efri@|@upper, later@
@efst@|@highest@
@egg@|@egg, edge@
@eggja@|@urge (v), whet (v)@
@eggþrima@|@battle@
@eggtog@|@battle@
@eiðr@|@oath@
@eiga@|@Have the power to (v), possession, own (v)@
@eign@|@possessions@
@eignask@|@possess (v)@
@eik@|@oak, tree, ship@
@eimi@|@reek, smoke@
@einhendr@|@one_handed@
@einn@|@alone@
@einnhverr@|@any@
@einráðinn@|@resolved@
@einvigi@|@duel@
@eir@|@copper, bronze@
@eitr@|@poison@
@ekkja@|@widow@
@él@|@shower@
@eldask@|@Grow old (v)@
@elding@|@dawn@
@eldivðr@|@firewood@
@eldr@|@fire@
@elgr@|@elk@
@eljun@|@endurance@
@ella@|@else@
@elli@|@old@
@ellifu@|@eleven@
@ellri@|@older, elder@
@elska@|@affection, love, Be fond of (v), love (v)@
@elta@|@pursue (v), Cast down (v)@
@enda@|@Bring to an end (v), moreover, end@
@endi@|@end@
@endr@|@again@
@eng@|@meadow, pasture@
@eptir@|@along@
@eptri@|@hind@
@erfi@|@funeral@
@erfiði@|@trouble, toil@
@erfiðr@|@difficult, troublesome@
@erfingi@|@heir@
@ergjask@|@Become cowardly (v)@
@ermr@|@sleeve@
@eta@|@eat (v)@
@etja@|@incite (v)@
@ey@|@island@
@eyða@|@Lay waste (v)@
@eyland@|@island@
@eyrr@|@sandbank, spit, shoal@
@fá@|@take (v)@
@faðir@|@father@
@fægir@|@artist@
@fæla@|@frighten (v)@
@fagna@|@Be gald (v)@
@fagr@|@beautiful, fair@
@fagrliga@|@beautifully@
@fall@|@fall@
@falla@|@fall (v), Be slain (v)@
@falr@|@spent@
@fang@|@catch, contest, provisions, grasp, wrestling@
@fangi@|@prisoner@
@far@|@conduct, condition, deeds, subject, track@
@fár@|@few@
@fara@|@travel (v), go (v)@
@fárbjóðr@|@destroyer@
@farmaðr@|@trader, sailor@
@farmr@|@cargo@
@fáskiptinn@|@reserved@
@fast@|@fast, strongly@
@fastr@|@severe, firm, continuous, fast@
@fat@|@clothes, bag@
@fátœkð@|@poverty@
@fátœkr@|@poor@
@fé@|@money@
@feginn@|@glad@
@féhirðir@|@herdsman@
@feigr@|@dead, doomed@
@feiknstafir@|@curses@
@feitr@|@fat@
@fela@|@hide (v), commend (v)@
@félagi@|@fellow, partner, companion, comrade@
@félauss@|@penniless@
@feldr@|@cloak@
@félítill@|@poor@
@fell@|@hill, mountain@
@fella@|@slay (v)@
@fémunir@|@valuables, money@
@fen@|@fen, bog@
@fénaðr@|@cattle@
@ferð@|@journey, dealings@
@ferskeyttr@|@four_cornered@
@festa@|@fasten (v), strengthen (v)@
@festr@|@rope@
@fet@|@pace@
@feta@|@step (v)@
@fetill@|@girdle, band@
@fiðri@|@feathers@
@fimm@|@five@
@fimtán@|@fifteen@
@fingr@|@finger@
@finna@|@find (v), devise (v), meet (v), visit (v)@
@firar@|@men, people@
@fiskr@|@fish@
@fit@|@land, shore@
@fjaðrhamr@|@feather_coat@
@fjall@|@mountain, fell@
@fjándmaðr@|@enemy@
@fjara@|@beach, ebb_tide@
@fjarri@|@far, far@
@fjǫðr@|@wing, feather@
@fjǫl@|@host@
@fjǫlði@|@multitude@
@fjǫllóttr@|@mountainous@
@fjǫlmenni@|@crowd@
@fjǫlmennr@|@crowded@
@fjǫr@|@life@
@fjórði@|@fourth@
@fjǫrðr@|@firth@
@fjórir@|@four@
@fjǫrlag@|@death@
@fjórtán@|@fourteen@
@fjǫturr@|@shackle, fetter@
@fjúka@|@Fly off (v)@
@flá@|@flay (v), skin (v)@
@flærð@|@deceit@
@flagð@|@giantess@
@flár@|@treacherous, false@
@fláráðr@|@deceitful, false@
@flatr@|@flat, prostrate@
@flaugun@|@flying, flight@
@fleinn@|@spear@
@fleiri@|@more@
@flekkr@|@spot, speck@
@flesk@|@bacon@
@fletta@|@strip (v)@
@flík@|@rag, flag@
@fljót@|@river@
@fljóta@|@float (v)@
@fljótliga@|@speedily@
@fljótr@|@readily, fleeing, swift@
@fljúga@|@fly (v)@
@flóð@|@tide, flood@
@floti@|@fleet@
@flotnar@|@seafarers@
@flótti@|@flight@
@flutningr@|@pleading@
@flyja@|@flee (v)@
@flytja@|@remove (v), Plead a case (v)@
@fnǫsun@|@snorting@
@fóðr@|@fodder@
@fǫðurbroðir@|@uncle@
@fœða@|@support (v), feed (v), Give birth (v)@
@fœra@|@hurl (v), present (v), smite (v), send (v)@
@fœri@|@opportunity@
@fǫgnuðr@|@delight, entertainment@
@fold@|@earth, world@
@fólk@|@people@
@fólkhagi@|@leader@
@fǫlr@|@pale@
@fǫr@|@journey, movement, journeying, expedition@
@forað@|@monster@
@forða@|@save (v)@
@forðum@|@formerly@
@forkunnar@|@exceedingly@
@forlǫg@|@fate, destiny@
@formáli@|@charm, formula@
@forn@|@old, ancient@
@forsjá@|@care, patronage, aid@
@fortǫlur@|@exhortations@
@fǫruneyti@|@company@
@forvirki@|@labor@
@forvitnask@|@inquire (v), Find out (v)@
@forvitni@|@curiosity@
@foss@|@force, waterfall@
@fóstbróðir@|@foster_brother@
@fóstra@|@nurse, foster_mother, foster (v)@
@fóstri@|@foster_father, foster_son@
@fótr@|@foot, leg@
@frægiligr@|@magnificent, honorable@
@frægr@|@famous, well_known@
@frændi@|@kinsman, relative@
@frændsemi@|@kinship@
@fráliga@|@swiftly@
@fram@|@on, forward@
@framan@|@forward@
@framar@|@ahead@
@framganga@|@advance@
@frami@|@fame, courage@
@framkvæmd@|@success, progress@
@frammi@|@produce@
@framr@|@forward@
@framstafn@|@prow@
@fráskila@|@separated@
@frásǫgn@|@information, narration@
@fregn@|@information, news@
@fregna@|@learn (v), ask (v)@
@freista@|@try (v), test (v)@
@freki@|@wolf@
@frekr@|@greedy@
@frelsa@|@save (v), rescue (v)@
@fremja@|@perform (v), accomplish (v)@
@fremr@|@more, further@
@frest@|@respite@
@frétta@|@ask (v)@
@friðr@|@peace@
@fríðr@|@handsome@
@frjáls@|@free@
@frjósa@|@freeze (v)@
@fróðleikr@|@magic, knowledge, lore@
@fróðr@|@wise, well_informed@
@frœði@|@lore, history@
@frœkn@|@brave, valiant@
@frœknliga@|@manfully, bravely@
@frost@|@frost@
@fugl@|@bird@
@fúinn@|@rotten@
@fúll@|@unpleasant, foul@
@fullkominn@|@established, complete@
@fullr@|@full@
@fullting@|@aid, help@
@fúss@|@willing, eager@
@fyl@|@foal@
@fylgð@|@party, following@
@fylgja@|@accompany (v), Give help to (v), follow (v)@
@fylking@|@host@
@fylla@|@complete (v), fill (v), increase (v)@
@fyrri@|@former@
@fyrsta@|@beginning@
@fyrstr@|@first, foremost@
@fysa@|@desire (v), urge (v), encourage (v)@
@fyst@|@desire@
@gá@|@heed (v)@
@gæfa@|@luck@
@gæfr@|@reasonable, mild@
@gæfuleysi@|@lucklessness@
@gæfumaðr@|@lucky@
@gægjask@|@gaze (v)@
@gær@|@yesterday@
@gæta@|@watch (v), Take care of (v)@
@gaflveggr@|@gable_wall@
@gagn@|@advantage@
@gagnsamr@|@helpful@
@gagnsemð@|@helpfulness@
@gagnvart@|@opposite@
@gala@|@scream (v)@
@gamall@|@old@
@gaman@|@pleasure, delight@
@ganga@|@go (v), Take place (v), extend (v)@
@gapa@|@gape (v)@
@garðr@|@dwelling_place, court, enclosure, fence@
@gata@|@road, path@
@gáta@|@riddle@
@gaumr@|@heed, attention@
@geð@|@liking, affection, mind@
@geðjaðr@|@agreeable@
@gefa@|@give (v)@
@gegna@|@mean (v)@
@gegnt@|@opposite@
@geil@|@lane@
@geirr@|@spear@
@geisa@|@rage (v)@
@geisl@|@goad, staff@
@geit@|@she_goat@
@gera@|@become (v), make (v), compose (v)@
@gestr@|@guest@
@geta@|@think (v), engender (v), suppose (v), relate (v)@
@geyja@|@revile (v)@
@geyma@|@watch (v), guard (v), heed (v)@
@gífr@|@troll@
@gil@|@ravine, gorge@
@gildi@|@guild, feast@
@gildisbrœðr@|@guild_brethren@
@gildr@|@worthy, fine@
@gipta@|@good, Give in marriage (v)@
@giptumaðr@|@lucky@
@gísl@|@hostage@
@gista@|@lodge (v)@
@gisting@|@night_lodgings@
@gjald@|@tax, payment@
@gjalda@|@repay (v), pay (v), redeem (v)@
@gjalfrmarr@|@ship@
@gjalla@|@bellow (v)@
@gjarn@|@eager@
@gjarna@|@willingly@
@gjǫf@|@gift@
@gjǫr@|@food@
@gjóta@|@cast (v)@
@glaða@|@gladden (v)@
@glaðliga@|@gladly, heartily@
@glaðr@|@merry, glad@
@gleði@|@gladness@
@glettask@|@Meddle with (v)@
@gleypa@|@swallow (v)@
@glíkligr@|@likely@
@glíma@|@wrestling@
@glita@|@glitter (v)@
@gløggr@|@clear, clear_sighted@
@glotta@|@grin (v)@
@gluggr@|@window@
@glymja@|@resound (v), roar (v)@
@gnæfa@|@tower (v)@
@gnat@|@clashing@
@gnata@|@crash (v)@
@gnógr@|@enough@
@gnótt@|@abundance@
@gnyja@|@roar (v)@
@gnyr@|@clash@
@goðahús@|@temple@
@goðgá@|@blasphemy@
@góði@|@profit@
@góðr@|@liberal, fine, noble, brave@
@góðvili@|@goodwill@
@gœðalauss@|@useless, barren@
@gǫfugr@|@worshipful@
@gólf@|@floor@
@gøra@|@compose (v), make (v), become (v)@
@gørð@|@building, making, arbitration@
@gǫrr@|@made, ready, built@
@gørsimi@|@treasure@
@gørviligr@|@capable, enterprising@
@gotar@|@men@
@goti@|@steed@
@gott@|@benefit@
@góz@|@goods@
@gráðr@|@hunger@
@grafa@|@dig (v), engrave (v)@
@gramr@|@king@
@grannr@|@slender@
@grár@|@grey@
@gras@|@pasture, grass@
@gráta@|@weep (v)@
@grautr@|@porridge@
@greiðliga@|@quickly, promptly@
@gren@|@fox_hole@
@gretta@|@grimace (v)@
@grið@|@protection, peace@
@griðkona@|@serving_woman@
@griðungr@|@bull@
@gríma@|@mask@
@grimmr@|@grim, fierce@
@grind@|@fold, pen@
@grípa@|@grip (v)@
@gripr@|@animal@
@grjót@|@stones@
@grjótbjǫrg@|@rocks@
@gróf@|@pit@
@grǫf@|@hole, pit, ditch@
@grǫn@|@lip, beak, beard@
@grǫsugr@|@grassy@
@gruna@|@suspect (v)@
@grunlauss@|@unsuspecting@
@grunnr@|@bottom, ground@
@gryttr@|@stony@
@gufa@|@smoke, vapor@
@gull@|@gold@
@gullhyrndr@|@golden_horned@
@gumi@|@man@
@hæð@|@height, hill@
@hæll@|@heel@
@hærðr@|@haired@
@hætta@|@risk (v), cease (v)@
@hættr@|@dangerous@
@haf@|@sea@
@hafa@|@have (v), possess (v), wear (v)@
@hafr@|@goat@
@hafrstaka@|@goat_skin@
@haga@|@arrange (v)@
@hagall@|@hail@
@hagliga@|@neatly@
@haglkorn@|@hail_stone@
@hagr@|@character, affairs@
@halda@|@hold (v), Hold fast (v)@
@hálfr@|@half@
@hallargólf@|@hall_floor@
@hallr@|@hill_side@
@hálmr@|@straw@
@hálmþúst@|@flail@
@halr@|@hero, man@
@háls@|@neck, hill_crest, ridge@
@haltr@|@lame@
@hamarr@|@crag, cliff, hammer@
@hamingja@|@luck@
@hamr@|@abode, skin@
@handleggr@|@arm@
@handsal@|@handshake@
@handtaka@|@capture (v)@
@hani@|@cock@
@hanzki@|@glove@
@happ@|@fortune, good@
@hár@|@high, tall, lofty, hair@
@harðaz@|@fiercest@
@harðfengiliga@|@stoutly@
@harðhugaðr@|@hard_hearted@
@harðliga@|@fiercely, terribly@
@harðr@|@sharp@
@harðræði@|@hardihood@
@harðsnúinn@|@well_knit@
@harma@|@grieve (v)@
@harmfullr@|@sorrowful@
@harmr@|@sorrow, grief@
@harr@|@sea@
@hart@|@sharply@
@háseti@|@oarsman@
@hásin@|@tendon@
@háski@|@harm, danger@
@hata@|@destroy (v), damage (v)@
@hátt@|@aloud, loudly@
@hátta@|@arrange (v)@
@háttaðr@|@fashioned@
@hattr@|@hood@
@háttr@|@custom, kind, manner@
@haugbúi@|@ghost@
@haugr@|@mound, grave_mound@
@haukr@|@hawk@
@hauss@|@skull@
@haust@|@autumn@
@hávaðamikill@|@noisy@
@heðan@|@hence@
@heðra@|@hither@
@hefja@|@lift (v), raise (v)@
@hefna@|@avenge (v)@
@hefnd@|@vengeance@
@hégómi@|@folly@
@heiðinn@|@heathen@
@heiðir@|@hawk@
@heiðni@|@heathendom@
@heiðr@|@clear, bright, heath@
@heilagr@|@sacred@
@heili@|@brain@
@heill@|@safe, good, sound@
@heilsa@|@greet (v)@
@heim@|@home@
@heima@|@home@
@heimdragi@|@stay_at_home@
@heimili@|@homestead, home@
@heimr@|@region@
@heimskr@|@foolish@
@heimstǫð@|@homestead@
@heimta@|@recover (v), summon (v), Get back (v)@
@heit@|@promise@
@heita@|@promise (v), call (v), Pray to (v)@
@heitr@|@hot@
@hel@|@hell@
@heldr@|@rather, nay@
@hellir@|@cave@
@helmingr@|@half@
@helzt@|@exceedingly@
@heppinn@|@lucky, fortunate@
@hepta@|@hinder (v)@
@herað@|@district@
@herbergi@|@lodgings, quarters@
@herða@|@clench (v), harden (v)@
@herðar@|@shoulders@
@herfang@|@booty@
@herfiligr@|@wretched, bitter, shameful, harsh@
@herja@|@plunder (v), harry (v)@
@herklæði@|@armor@
@herlið@|@army, war_force@
@herǫr@|@war_arrow@
@herr@|@army, great@
@herra@|@lord@
@hervápn@|@weapons@
@hestr@|@stallion, horse@
@heygja@|@bury (v)@
@heyra@|@hear (v), Hear of (v)@
@hilmir@|@chief@
@himinn@|@heaven@
@hindrvitni@|@heathenism, superstition@
@hingat@|@hither@
@hirð@|@court@
@hirða@|@mind (v), care (v)@
@hirðir@|@herdsman@
@hirðmaðr@|@retainer@
@hirzla@|@possession, keeping@
@hít@|@skin_bag@
@hiti@|@flame, heat@
@hitta@|@find (v), Come to (v)@
@hjá@|@beside@
@hjala@|@chatter (v)@
@hjallr@|@platform@
@hjálmr@|@helmet@
@hjálmrǫðull@|@sword@
@hjalmstallr@|@head@
@hjálpa@|@help (v)@
@hjarta@|@heart@
@hjǫlt@|@hilt@
@hjǫrð@|@herd@
@hjǫrleikr@|@sword_play@
@hjǫrr@|@sword@
@hjú@|@household@
@hlaða@|@load (v), pile (v), barn@
@hlæja@|@laugh (v), smile (v)@
@hlakka@|@scream (v), cry (v)@
@hlátr@|@laughter@
@hlaup@|@run@
@hlaupa@|@leap (v), run (v), Fall down on (v), climb (v)@
@hleypa@|@Make run (v), gallop (v)@
@hlið@|@side@
@hlíð@|@slope@
@hlíf@|@cover, shelter, shield@
@hlífa@|@protect (v), shelter (v)@
@hlíta@|@Rely on (v), trust (v)@
@hljóð@|@hearing, silence@
@hljóðlyndr@|@taciturn@
@hljóðr@|@silent, quiet@
@hljóta@|@Be obliged to (v), result (v)@
@hlœgiligr@|@laughable@
@hlœgja@|@gladden (v)@
@hlǫkk@|@clash@
@hluta@|@Cast lots (v)@
@hluti@|@fate, lot@
@hlutr@|@purpose, thing, part, portion@
@hlyða@|@succeed (v), prosper (v), hear (v)@
@hlyðni@|@obedience@
@hneggja@|@neigh (v)@
@hneppr@|@scant@
@hneykja@|@shame@
@hníga@|@sink (v), open (v)@
@hnipinn@|@downcast@
@hnit@|@clash@
@hnjóða@|@rivet (v)@
@hnoss@|@ornament@
@hodddofi@|@stinginess@
@hœfa@|@befall (v)@
@hœgindi@|@cushion, pillow@
@hœgr@|@possible, easy, gentle, reasonable@
@hœgri@|@right@
@hœnsn@|@hens@
@hóf@|@proportion@
@hǫfðingi@|@chief, ruler@
@hǫfðingliga@|@generously@
@hǫfgi@|@drowsiness, sleep@
@hǫfn@|@harbour@
@hǫfuð@|@head@
@hǫfuðdúkr@|@hood@
@hǫfuðstafn@|@prow@
@hǫgg@|@stroke, blow@
@hǫggva@|@strike (v), carve (v), hew (v), cut (v)@
@hol@|@hole, hollow@
@hold@|@flesh@
@hǫldr@|@hero, man@
@hǫlðr@|@man@
@hǫlkn@|@flat@
@hǫll@|@hall@
@hollr@|@loyal@
@holr@|@hollow@
@holt@|@woodland@
@hǫnd@|@part, hand, side@
@hǫndla@|@Lay hands on (v), seize (v)@
@hórdómr@|@adultery@
@horfa@|@gaze (v)@
@hǫrfa@|@recoil (v)@
@horn@|@drinking_horn, horn, corner@
@hǫrr@|@linen, bow_string@
@horskr@|@wise@
@hǫss@|@grey@
@hósti@|@cough@
@hót@|@whit@
@hǫttr@|@hood@
@hraðliga@|@quickly@
@hraðr@|@fresh, swift@
@hræða@|@frighten (v)@
@hræddr@|@frightened, afraid@
@hræzla@|@terror, fear@
@hrafn@|@raven@
@hrakning@|@humiliation, insult@
@hrapa@|@rush (v)@
@hrapalliga@|@headlong@
@hrata@|@tumble (v), fall (v)@
@hraun@|@lava@
@hraustliga@|@bravely@
@hraustligr@|@dauntless@
@hraustr@|@brave, stout_hearted@
@hreinn@|@reindeer@
@hrekja@|@Drive away (v)@
@hrelling@|@affliction@
@hreppa@|@catch (v), obtain (v)@
@hreyfa@|@stir (v)@
@hreysti@|@valor@
@hríð@|@onset, attack, time, while, storm@
@hrímþurs@|@frost_giant@
@hrína@|@neigh (v)@
@hrinda@|@shove (v), push (v), drift (v), drive (v)@
@hringr@|@circle, ring@
@hrista@|@shake (v)@
@hrjóða@|@strip (v)@
@hrjóta@|@roll (v), snore (v), spring (v), fly (v)@
@hróðr@|@encomium, praise@
@hrœra@|@stir (v)@
@hrøkkva@|@Fall back (v)@
@hross@|@mare, horse@
@hrossakjǫt@|@horse_flesh@
@hrúga@|@heap@
@hryggr@|@back@
@húð@|@hide@
@hugall@|@thoughtful@
@hugarbót@|@consolation@
@huggan@|@consolation, comfort@
@hugr@|@mind, spirit, heart, courage, desire, thought@
@hugsa@|@consider (v)@
@hulða@|@cover, sheath@
@hundr@|@dog, hound@
@hundrað@|@hundred@
@hurð@|@door@
@hurðarflaki@|@hurdle@
@hús@|@house, farm@
@húsfreyja@|@housewife@
@húsgørð@|@house_building@
@húskarl@|@servant, retainer@
@húsl@|@sacrifice@
@hvaðan@|@whence@
@hváll@|@knoll@
@hvalr@|@whale@
@hvarfa@|@go (v), walk (v)@
@hvárgi@|@neither@
@hvárr@|@both@
@hvass@|@prickly, sharp@
@hvat@|@what@
@hvata@|@hasten (v), go (v)@
@hvatki@|@whatsoever@
@hvatvetna@|@everything@
