@English@|@Chuvash@
@article@|@stat'ja@
@as it were@|@ikken, imësh@
@ascend@|@uläh@
@ash@|@kël, kö'l@
@ash tree@|@kav'r's, kavr's@
@ashes@|@käul@
@aspen tree@|@äväs@
@assemble@|@puh@
@asshole@|@kut shätäkë@
@assistance@|@puläshu@
@at@|@-pa, -pe, -ta, -te@
@at a run@|@sikkipe@
@at each and every house@|@kilseren@
@at its time@|@chuhne@
@at our place@|@pirën patämärta, pirën patra@
@at times@|@hutran-sitren@
@attempt@|@hätlan@
@August@|@avgust@
@authority@|@vlast'@
@autumn@|@käur@
@awn@|@xyl'x@
@axe@|@purtä@
@axle@|@täunäul@
@baby of a mammal animal@|@shurä@
@back@|@çuräm, kallah kalleh@
@back of the neck@|@änze, jänze@
@backside@|@kut@
@bad@|@nachar, osal, usal@
@ball of wool@|@s'umha@
@band@|@chëlëh@
@bandit@|@värä, xorax@
@bank@|@shyran@
@barge@|@barzha@
@bark@|@huppi, xob', xuj'r@
@barley@|@orba, urpa@
@barren cow@|@xäzär@
@barren mare@|@käsre@
@basically@|@tëplën@
@bast@|@p'ud'ur@
@bastard@|@sojak@
@bat@|@sara-serzi@
@be acceting@|@hapäl tu@
@be hired@|@käräš-@
@be on one's way@|@jabal-@
@be opposite@|@xiräs-@
@bead@|@šarza, shärsha@
@bear@|@upa@
@beard@|@suhal, suxal@
@bearded@|@suhallä@
@beat@|@päzer-@
@beautiful@|@hitre, hühëm@
@beauty@|@ilem@
@because@|@mënshën tesen, pirki@
@become drowsy@|@x'umš'ul-@
@become famous@|@chapa tuh@
@become wasted@|@jus-, juz'n-@
@bed@|@krabat'@
@bed-bug@|@x'umd'ula, x'umg'ula, x'umtla, x'ung'ula@
@bee@|@pylxurchë@
@beer@|@cära, sära@
@beg@|@pushshap@
@beggar@|@yjtkalakan@
@beginning@|@push@
@behind@|@kaj, sodan', xys@
@being in company with@|@pala@
@belief@|@ënenü@
@belly@|@xyra'm@
@belongings@|@mul@
@bend@|@xaj'r-@
@beneficence@|@yräh@
@berry@|@shyrla@
@best sort of flax@|@var@
@betray@|@sut@
@better@|@avantarah@
@beverage@|@ëshkë@
@bewail@|@makär-@
@big@|@pysäk, shultra@
@big vessel@|@söpse@
@bill@|@k'uz'ur-uk@
@birch tree@|@hurän, xor'n@
@bird@|@kaïäk@
@bird-cherry@|@säumäurt@
@bird's crop@|@pudege@
@bit@|@turam@
@black@|@hura, xora, xura@
@black-cock@|@kar'k@
@blaze brightly@|@jälkäsh@
@blessing@|@pil@
@blind@|@sukkär@
@blood@|@iun, jon, jun@
@blow@|@av's-@
@blue@|@kävak@
@boaster@|@x'ud'ur@
@boat@|@kimë@
@body@|@pü, san, ýt@
@boil@|@pish@
@bone@|@šawmaw, shämä@
@book@|@këneke@
@border@|@chikë, chikë, granica@
@border guard@|@pogranichnik@
@border post@|@zastava@
@bosom@|@xäuv, xü, xüm@
@bow@|@ok-su, su@
@bow down@|@ük-@
@bow string@|@xirlü@
@bowing the head@|@xärlä@
@box@|@koporso@
@boy@|@yväl@
@bracelet@|@sol'@
@braid@|@shivët@
@brain@|@mimä@
@bran@|@kibek, kimäk, xyv'x@
@branch@|@torat@
@brand-new@|@vër-shënë@
@brave@|@pattär@
@bread@|@çäkär, shäkär@
@breast@|@cgül-läk, käkär, um@
@breast (fem.)@|@chäžä@
@breast buckle on Chuvash@|@shëlkeme@
@breath@|@chäm, syvläsh@
@brick@|@kirpëch@
@bride@|@kilen@
@bridge@|@këper@
@bridle@|@jäuven@
@bristle@|@šart@
@broom@|@šawbawr@
@brother@|@ar tävan@
@brown@|@syr', x'ula, xämär@
@brushwood@|@k'uvajt@
@bucket@|@vitre@
@buckle@|@t'wha@
@bull@|@bäkär@
@bundle@|@pajärka@
@bundle of flax@|@sor'm@
@burden@|@shëklem@
@burdock seed@|@kurshanak@
@bureau@|@bjuro@
@but@|@shapah@
@butterfly@|@lëpëch@
@buttocks@|@kot@
@buzzing noise@|@šangar@
@by day@|@kantärla@
@cabin@|@kabina@
@calf@|@p'uru@
@camel@|@çurta, täuve@
@camp@|@lager'@
@camping@|@xuž', xužë, xüžë@
@candidacy@|@kandidatura@
@candle@|@sor-da@
@candy@|@kanfet@
@cane@|@hämäsh@
@capable@|@-i-, -j-@
@capital of Chuvashia@|@Shupashkar Cheboksary@
@card@|@kart, karta@
@carefully@|@tirpejlë@
@carpet@|@kov'r'@
@carp-fish@|@sasan@
@carry on back@|@ort-@
@cart@|@lav, urapa@
@cartilage@|@kag'r@
@case (grammatical)@|@padezh@
@cast@|@yv?t, yvät@
@cat@|@kushak@
@cavity@|@häväl@
@ceiling@|@maccha@
@cemetery@|@s'uva@
@central@|@vätam@
@certain@|@häshë@
@certain ones@|@häshpër@
@chain@|@kasm'k@
@chairman@|@predsedatel'@
@chalk@|@por, pur'@
@chaos@|@kag'r@
@characteristic@|@pallä@
@chase@|@hävala, x'v-, xu-@
@cheek@|@pit@
@cheese@|@syr@
@cherry@|@chie@
@chess@|@shahmat@
@chest@|@käk6ar@
@child@|@acha@
@children@|@acha-pächa, pächa@
@chin@|@ianax@
@chisel@|@ijä, kar'@
@chopping block@|@kaska@
@choral@|@hor@
@church@|@chirkü@
@Chuvash@|@chävash@
@city@|@hula, xula@
@class@|@klass, zan'ati@
@clause@|@predlozheni@
@claw@|@chärne@
@clay@|@pylž'k@
@clean@|@hyr, irt-, tasa@
@cleanliness@|@tasaläh@
@cling to@|@säwven-@
@cloak@|@nakidka@
@close in@|@hup@
@closing@|@hupänni@
@cloud@|@päuläut, pelet, pëlët, tëltre@
@club@|@kruzhok@
@coal@|@kämräk@
@cock's spurs@|@chaGan@
@coffee@|@kofe@
@cold@|@sivä@
@coldly@|@sivvën@
@collar@|@shuha@
@collective@|@kollektiv@
@color@|@tës@
@colorful@|@checheklë@
@colostrum@|@yrri@
@column@|@jupa@
@combine@|@kombajn@
@come on!@|@at'a@
@comfortable@|@kanlë@
@commission@|@komissi@
@common@|@jäksek@
@community@|@toj@
@companion@|@täwl@
@composition@|@hajlav, sochineni@
@compulsion@|@xädäx@
@conditional verb form@|@pulsan@
@conference@|@konferenci, sjezd@
@confrontation@|@hirëshü@
@consciousness@|@tän@
@consequently@|@leple@
@consonant@|@hupä sasä@
@constellation@|@shältär@
@continually@|@përmaj@
@cooked@|@pishnë@
@coolness@|@sulhän@
@cooper@|@päxär@
@copper@|@pähär@
@corn@|@tyr'@
@cornfield@|@poz'@
@cornfloor@|@av'n karti@
@cotton@|@mamäk, xut@
@country@|@jal, shër@
@courage@|@chäre@
@court of justice@|@sud, sut@
@cover@|@xob'@
@cow@|@ëne@
@crack@|@kat-@
@crackling@|@part@
@cradle@|@säpka@
@crane@|@tawrna, täwrne@
@crawl@|@upalen@
@creak@|@chëriklet@
@create an uproar@|@ahär@
@creek@|@zaton@
@crop@|@päuzexe, tyrpul@
@cross-strap@|@urhaläh@
@crow@|@ula kurak@
@crush@|@sawx-@
@cubit@|@chike@
@cucumber@|@häjar@
@cup@|@chashäk@
@cupboard@|@shkap@
@currant@|@xorl'han@
@curse@|@ylhan@
@curtain@|@charshav@
@cut in slices@|@chäl-@
@damage@|@sos@
@dance@|@tashä@
@dare@|@häju@
@daring@|@häjullä@
@dark brown@|@x'um'ur@
@darkness@|@tëttëm@
@daughter@|@xër@
@daughter-in-law@|@kilän-, kin@
@day@|@kon, kun, taläk@
@day and night@|@tal'k@
@death@|@bilëm@
@debt@|@kivzen, tiväs@
@December@|@dekabr', rashtav@
@decoration@|@orden@
@deed@|@äs@
@deep@|@tar'n, tarän@
@deep snow@|@kärt@
@deep-coloured@|@jäupkäun@
@delegate@|@delegat@
@demand@|@yjt-@
@dense@|@shära@
@departure@|@kajni@
@depth@|@taränäsh@
@desert@|@puch xir@
@destroy@|@p'us-@
@detachment@|@otr'ad@
@dexterous@|@x'ub'ul@
@dictionary@|@slovar'@
@different@|@tërlë@
@difficulties@|@jyväläh@
@diligent@|@ëshchen@
@dinner@|@apat@
@direction@|@jen, pravleni@
@director@|@direktor@
@dirt@|@šor, šor'@
@dirt on body@|@kiräk@
@dirty@|@lapra@
@disappear@|@sün-@
@dishonorable@|@namässär@
@distant@|@inshe@
@distress@|@hur, hur, tertlë@
@divide@|@pajla@
@divided@|@pajlan@
@doctor@|@tuhtär@
@dog@|@ïtä, jyd, jyda, jytä, somor@
@donkey@|@ashak, ažak@
@door@|@aläk@
@door curtain@|@al'k, alg'@
@dough@|@chusta@
@downwards@|@ajalalla@
@draftsman@|@chert'ozhnik@
@dragon@|@väure sälen@
@dramatic@|@drama@
@draw@|@turt@
@dream@|@täuläuk, tëlëk@
@dried up@|@häräk@
@drone@|@x'um'ur@
@drop@|@tumlam@
@drowse@|@tëlër@
@drum@|@parappan@
@dry@|@tipë@
@dry crumbs@|@x'ur'uk@
@dry grass@|@jülege@
@dry out@|@här@
@duck@|@käbakal@
@duck fowl@|@kävakal@
@dull@|@mäka@
@dung@|@p'ux, tiräs@
@during@|@huta@
@dust@|@tusan@
@dwelling place@|@sort@
@each@|@-seren, purte@
@each himself@|@harpär häj@
@eagle@|@ämärt kaiäk@
@ear@|@hälha, x'ulha, xälxa, xo'lga@
@earth@|@çër, to'pra@
@earth-worm@|@säwväwlzen, šawvawrawlžan, sölzen@
@easily@|@shämällän@
@East@|@äläk@
@easy@|@shämäl@
@eat one's fill@|@täran@
@eatable grass@|@xälhen@
@economy@|@hushaläh@
@edge@|@soha, väws, xärä@
@egg@|@çämarta, s'umarda@
@eight@|@sakär, sakkär@
@eighty@|@sakärvunnä@
@either ... or@|@je ... je@
@elbow@|@chavsa@
@elder brother@|@picche@
@elder sister@|@akka, appa, appa@
@election@|@sujlav@
@electrotechnical@|@elektrotehnika@
@elephant@|@slon@
@elk@|@p'ulan@
@elm-tree@|@jäulme@
@empty@|@pož', pushä, pušo, shara@
@enclitic particle of emphasis@|@-ah, -eh@
@encounter@|@tël pul-@
@end@|@vësh@
@endeavour@|@täräshni@
@endlessly@|@ytarma shuk@
@enemy@|@tächman@
@enlarge@|@saräl@
@enlightenment@|@shutësh@
@enough@|@pajtah, taman@
@enter@|@kër@
@entrance@|@këni@
@equal@|@shap@
@equipment@|@oborudovani@
@even@|@tan@
@even if@|@pulsan ta@
@evening@|@kach, kas, kash@
@every@|@kashni@
@evil@|@hajar@
@excursion@|@ekskursi@
@excuse@|@kashar@
@exercise@|@zar'adka@
@expedience@|@ärex@
@exposition@|@vystavka@
@extend@|@üs@
@exterior@|@sän@
@external@|@tulashënchi@
@extremely light@|@shap-shutä@
@extremely young@|@shap-shamräk@
@eye@|@kör, kos, kush, kych@
@eye-ball@|@kos xori@
@eyeglasses@|@kushläh@
@eyelash@|@x'rb'k, x'rb'x, x'rbu, xurbuk@
@fable syn@|@basn'a@
@face@|@pit@
@factory@|@fabrika@
@fairy tale@|@jumah@
@fall@|@kër@
@famed@|@chaplä@
@family@|@çem'e, jyš@
@family name@|@hushamat@
@fang@|@ora, ora-puj@
@far@|@inçe, v'wr'wm, v'wrax@
@Far East@|@hëveltuhäsh@
@farm@|@ferma, hutor@
@Fascist@|@fashist@
@fat@|@jor-var, s'uv, sam'r, samar, su, su@
@father@|@atte, aza@
@father and mother@|@Atte-anne@
@father-in-law@|@hun@
@fatherland@|@otechestvennäj@
@fathom@|@x'ulas@
@fear@|@shiklen@
@feather@|@täwk, tëk@
@February@|@fevral', naräs@
@fellow@|@jultash@
@fellowship@|@jultashläh@
@female@|@ama@
@female slave@|@x'r-h'm@
@fence@|@karda, karta, shatan@
@fence of rails@|@hüme@
@ferment for milk@|@käuvelek@
@fermented milk@|@k'um'us@
@few@|@sahal@
@fibre@|@sävem, sevem@
@field@|@uj@
@fiercely@|@majsär@
@fifty@|@allä@
@fight@|@këresh, šaram@
@film of egg@|@käube@
@fine@|@paha@
@finger@|@pürne, pýrne@
@finger ring@|@säuräu@
@fingernail@|@chërne@
@finish@|@pët@
@fire@|@vot, vut@
@firewood@|@vutä@
@firm@|@hytä@
@first of all@|@pirvaj@
@fish@|@pol', pola', pulä@
@fisherman@|@puläshä@
@fishhook@|@välta@
@fitting@|@tivëshlë@
@five@|@pilëk, pillëk@
@five-year plan@|@pilëkshulläh@
@flag@|@jalav@
@flame@|@sol'm@
@flap of door@|@sonat@
@flash of lightning@|@shevle@
@flat@|@lapka, takär@
@flea@|@p'urza, pärça, pärça@
@fleet@|@flot@
@flour@|@çänäx@
@flower@|@chechek, seske@
@flute@|@shählichë@
@flutter@|@vëltërtet@
@fly@|@šana@
@fly (insect)@|@shäna@
@flying creature@|@vëshen-kajäk@
@foal@|@x'um@
@foam@|@k'ub'uk@
@fog@|@p'us, p'uv, tëtre@
@food@|@shime, shimësh, xor's@
@foot@|@ora, ura@
@for a long time@|@nummajcchen, pajtachen, pashärtanpa@
@for a moment@|@për samant@
@for example@|@sämahran@
@for the sake of@|@-š'n, valli@
@for what?@|@mënshën@
@force@|@pusmär@
@fore@|@mal@
@forearm@|@xor@
@forehead@|@samga@
@foreign@|@jut@
@forest@|@v'wrman, värman@
@forever@|@ëmëreh@
@formerly@|@ëlëk@
@fortress@|@püler@
@forty@|@hërëh, xäräx@
@forward@|@malta@
@forwards@|@malalla@
@fountain@|@s'ul@
@fountain pen@|@avtomat-ruchka@
@four@|@tävat, tävatä, tävattä, tawvad'@
@fox@|@tilä, tilë@
@frankly@|@ushshän@
@frazil@|@san@
@Friday@|@ernekun@
@friend@|@tus, tys@
@friendship@|@tusläh@
@frightened@|@häravshä@
@frog@|@chapa@
@from the location of something@|@panchen, patënchen@
@from the side@|@patënchen@
@from youth@|@shamräkla@
@front@|@om@
@frost@|@ojar, sivë, tawm@
@fruit@|@simäs, täržä, ulma@
@fulfill@|@tultar@
@full@|@püle-mes, tawran-, tawran-, tol-, tolli, tulli@
@fundamental@|@nikës@
@furrow@|@j'ran@
@furuncle@|@s'uban, s'uvan@
@gad-fly@|@p'uvan@
@gall@|@vat@
@games@|@väjä@
@garden@|@pahcha, paxcha, sad@
@garments@|@tumtir@
@gather@|@pushtar@
@gazette@|@hashat@
@genitive (case)@|@kamänläh (padezhë)@
@Germany@|@Germani@
@gesticulate@|@hälashlan@
@get light@|@shutal@
@giant@|@ol'p@
@gift@|@saj@
@gills@|@pol' sohal'@
@gingerbread@|@përemëk, premëk@
@girl@|@hëracha, xär, xe'r@
@give birth@|@shurla@
@gland@|@par@
@glass@|@kantäk@
@glen@|@ushlankä@
@glitter@|@j'l-@
@glowing coals@|@k'uvar@
@glue@|@siläm@
@gluttonous@|@kabar@
@go back@|@kus@
@go up@|@häpar@
@goat@|@kachaka@
@god@|@tura, turä@
@going@|@shüreni@
@gold@|@yltän@
@golden@|@yltän@
@good@|@avan, chiper, laïäh, yg', yrä@
@good fortune@|@x'ut@
@goose@|@hur, xor, xur@
@gorge@|@shyrma@
@grain@|@kalcha, përchë, tirä@
@grandfather@|@-anne, -atte, asatte, az-@
@grandmother@|@-anne, -atte, az-@
@grape@|@izäm@
@grass@|@kuräk@
@grasshopper@|@oba läwbäwžäw@
@great@|@as-l', as-l', chylaj, pysäk@
@Great Volga@|@anlä Atäl@
@greatness@|@asläläx@
@greedy@|@vyshläh@
@green@|@jeshël, simës@
@grey@|@sawraw@
@grief@|@hujhä, xor@
@grind@|@awv-@
@groin@|@xyza@
@ground@|@täpra, tëp@
@ground-squirrel@|@tyrkas@
@group@|@ushkä@
@guard@|@storozh, syh'@
@guest@|@häna, xäna@
@gurgle@|@väwžäwlt-väwžäwlt@
@gusset@|@old@
@guts@|@pyrshä@
@hair@|@çüç, süs, xäläx, xe'le'r@
@half@|@shur, shurä@
@hammer@|@topta-@
@hand@|@al', alä, ala'@
@handful@|@yvbs@
@handle@|@syb'@
@happen@|@irt@
@happiness@|@telej, x'uvan-@
@hard@|@xyd'@
@hare@|@kujan, molgach, molgas, xoran, xoren@
@harmful@|@sijenlë@
@hat@|@shëlëk@
@having beauty@|@ilemlë@
@having one@|@përle@
@having what?@|@mënle@
@hawk@|@xärxi@
@hay@|@ud', uläm, vud'@
@haystack@|@kapan, koba, säumel@
@hazel-nut@|@m'j'r@
@he@|@väl@
@He agreed to help me@|@Väl mana puläshma kilëshrë@
@he himself@|@häj@
@head@|@pos, push@
@headrest@|@pushëlëh@
@healthy@|@syv', syvä@
@heart@|@chëpe, chëre@
@hearten@|@hëpërte@
@heat@|@vëri@
@heathen@|@su@
@heaven@|@tora@
@heavenly@|@shülti@
@heaviness@|@sol'm@
@heavy@|@jyv'r, jyvär@
@hectare@|@gektar@
@he-goat@|@taga@
@height@|@shülësh@
@hem@|@x'ju@
@hemp@|@kand'r@
@hen@|@chäxä@
@hence@|@kuntan@
@herald@|@hyparshä@
@herd@|@këtü@
@here@|@ak, akä, kunta@
@heroically@|@pattärla, pattärrän@
@hers@|@unän@
@hide@|@jäpshan, säran@
@high above@|@vir@
@highway@|@shul-jër@
@hillock@|@tëmeske@
@hilltop@|@tübe'@
@hired labour@|@tar, tara@
@his father@|@asshë@
@hitch@|@shekël@
@hoar-frost@|@pas@
@hobble@|@tawlaw@
@holder@|@savät@
@hole@|@var@
@hole in ice@|@vag'@
@holiday@|@prashnik, ujav@
@hollow@|@x'uv'ul@
@homewards@|@kilelle@
@honey@|@pyl@
@honey drink@|@säm, sim@
@hop@|@x'umla@
@hope@|@pigen-, shanchäk@
@horn@|@gorn, m'jraga@
@horse@|@lasha, ut@
@host@|@husha@
@hour@|@sehet, sexet@
@house@|@av, çurt, kil, kül, pürt@
@household@|@shemje@
@how@|@mënle@
@how much?@|@mishe@
@however@|@anchah, kirek mënle@
@however it may be@|@mënle te pulin@
@however much@|@tempek@
@human being@|@etem@
@humble-bee@|@tägäld-ora@
@hundred@|@säur, shër@
@hunger@|@vyçläx, vyz'@
@hungry@|@vyshä@
@hunting dog@|@agar jytti@
@hurt@|@yrat@
@husband@|@ar, kacchä, obaška, upäshka@
@husbands of sisters@|@pozana@
@hydroelectric power plant@|@gidroelektrostanci@
@I@|@e-bä, elë, epë@
@I like this book@|@Ku këneke mana kilëshet@
@I work@|@ësh@
@ice@|@p'ur, pär@
@ice-hole@|@vak-kushë@
@if@|@eher, tesen@
@ill@|@chirlë@
@illness@|@amak, cher, chir@
@image@|@kap@
@immitate@|@jevërle@
@in accordance with@|@kalaräshpe@
@in another way@|@urähla@
@in circumference@|@shavränakan@
@in distress@|@kaz'l-@
@in front of@|@um@
@in olden times@|@aval@
@in pairs@|@mäshärrän@
@in the distance@|@inshetri@
@in the evening@|@kashhine@
@in the fall@|@kërkunne@
@in the future@|@ülëm@
@in the morning@|@irhine@
@in the springtime@|@shurkunne@
@in vain@|@ahal@
@indeclinable negative particle@|@an@
@indeed@|@-shke, chänah, put'eh, te@
@industrious person@|@ëshchen@
@industry@|@promyshlennosh, promyshlennost'@
@inexpensive@|@jünë@
@infant@|@pepke@
@infinite@|@vëshe-hërri-sër@
@inform@|@pëlter@
@ingenious@|@tavshärullä@
@inner fat@|@jor-var@
@inquire@|@yjt@
@inside@|@äshënche, shënche@
@instance@|@vähät@
@institute@|@institut@
@instrumental (case)@|@përleleh@
@intend@|@xämlen-@
@intensifying prefix@|@shap-@
@interior of smth.@|@'š@
@interjection (dissatisfaction)@|@aj@
@interjection of greeting@|@ej@
@interjection of reproach@|@e-e@
@interjection of satisfaction@|@ah, eh@
@interrogative particle@|@-i, -im@
@interstice@|@hushäk@
@interval@|@hushä@
@intr to restrain oneself@|@charän@
@iron@|@chukun, timër@
@iron manacles@|@p'uhav@
@island@|@od', Utä, utrav@
@it@|@väl@
@it is possible@|@pulë@
@itching@|@käzä@
@its side@|@pichë@
@January@|@janvar', kärlach@
@jar@|@ch'm@
@jellow@|@sarä@
@Jesus@|@Iisus@
@jet black@|@hup-hura@
@joint@|@sypäk@
@juice in meat@|@šal@
@July@|@jul', Utä@
@June@|@jun', shërtme@
@just@|@tin@
@just now@|@tin shesh@
@kangaroo@|@kenguru@
@Kazakh@|@kazah@
@Kazan@|@Husan@
@kerchief@|@sul'k, tutär@
@kernel@|@tësh@
@kettle@|@huran@
@key@|@çäraççi@
@Khan@|@hun@
@kidney@|@papka@
@kidney(s)@|@püre@
@kilogram@|@kilogramm@
@kind@|@kämällä@
@king@|@korol', patcha@
@kingdom@|@patshaläh@
@kitchen@|@kuxnia@
@kite@|@xären@
@knee@|@chär-pussi, chëpkuççi, chër@
@knife@|@çëçë, pekë@
@knowledge@|@pëlü@
@knucklebone@|@šuk@
@kumys@|@oren, ujran, uran@
@ladle@|@xumža@
@lair@|@jänä@
@lake@|@kölä, külä, külë@
@lamb@|@chëlxe, putek@
@land@|@sär, shërshyv@
@language@|@chäläx, chälhe, chälhe; chäläx, chëlhe@
@lark@|@t'uri, täri@
@larynx@|@karlankä@
@lash@|@ch'b'k@
@last@|@chät@
@last year@|@pëltër@
@later@|@vara@
@layer@|@xut@
@lazy@|@najan, x'li, x'lin@
@lead into@|@kürt@
@leader@|@jertüshë@
@leaf@|@s'v'ls, sulza, sulža@
@leech@|@säwläwk@
@left@|@sulahaï@
@leg@|@pëçë, ura, ura@
@let it be@|@pulin@
@letter (alphabet)@|@sas palli@
@letter (mail)@|@çyru@
@level@|@hut, tag'r, törä, türä@
@life@|@ëmër, kunshul, puränäsh, purnäç@
@light@|@s'um'ul, so-d@
@lightning@|@shishën, sizäm@
@like@|@jurat, pek, sav-@
@like one@|@përpek@
@like this@|@shakän pek, shavän pek@
@lime-tree@|@s'uga@
@linden@|@shäka@
@line@|@jër, vëren@
@linen@|@pir@
@lion@|@apäslan@
@lip@|@tuta@
@liquid mire@|@s'uh'ur@
@literatura belles-lettres@|@ilemlë@
@little@|@käzän, sahal@
@little by little@|@pëchëkkën@
@live@|@chërë@
@liver@|@päwver, pëver@
@livestock@|@vyljäh@
@lizard@|@kalda@
@load@|@säuk@
@local@|@kunti@
@locative case@|@vyrän@
@lock of hair@|@kätra@
@lonely@|@ulax@
@long@|@väräm, vorom@
@long branch@|@xol'@
@loop@|@j'l', j'lmak, k'ugan@
@louse@|@pyjd', pyjda@
@love@|@juratu@
@lower@|@anatri@
@lower side@|@aj@
@lump@|@ch'umak@
@lungs@|@üpke@
@magazine@|@zhurnal@
@make a fire@|@vut hur@
@make boil@|@pësher@
@make ready@|@hatërle@
@man@|@ar, ar çyn, etem@
@mane@|@silhe@
@mange@|@kärchankä@
@man's wife's younger sister@|@pold'r@
@manuscript@|@alshyrävë@
@many@|@numaï@
@maple@|@väwrene@
@March@|@mart, push, push@
@market@|@pasar bazaar@
@marmot@|@sävär, sawvawr@
@marsh@|@put-kax, put-l'x@
@matematika@|@mathematics@
@material for a caftan@|@sähmanläh@
@matka@|@old woman@
@mattock@|@katmak@
@mattress@|@tüžek@
@May@|@maj, shu@
@meadow bank of the Volga@|@jäläm@
@meaning@|@-sëm@
@measure@|@älgä@
@meat@|@ash, üt@
@medicine@|@emel@
@meditate@|@chanla-@
@meeting@|@puhu@
@melody@|@këvë@
@member@|@chlen@
@membrane@|@sorhax, xund'@
@memory@|@as@
@merely@|@käna@
@metal@|@metall@
@middle@|@v'da, vapä, väta, väta, vätaläh@
@might@|@hävat@
@mighty@|@parga@
@mild@|@semze@
@milk@|@sawt, sët@
@millet@|@vir@
@mine@|@manän@
@ministry@|@ministerstvo@
@minute@|@minut@
@mirror@|@täugäur, tëkër@
@misfortune@|@hën@
@misty@|@tëtrellë@
@mitten@|@alsa@
@mixture@|@xod'š@
@moan@|@šangardat-@
@moist@|@nürë, vilä@
@molar@|@urblb, vbwrlbw@
@mole on the face@|@ming@
@moment@|@av'k, samant@
@Monday@|@tuntikun@
@money@|@ukça@
@monkey@|@bexti, upäte@
@month@|@oj'x, uïäx@
@mood@|@käumäul@
@moon@|@ujäh@
@more than@|@ytla@
@morning@|@irhi@
@mortar@|@kilä@
@Moscow@|@Muskav@
@moth@|@käuve@
@mother@|@ama, an'n, anne@
@mother-in-law@|@hun'ama, hunem@
@mountain@|@särt, tu@
@mouse@|@š'ži, šarži, šaži, shäshi@
@moustache@|@m'j'x@
@mouth@|@çävar, s'uvar, shävar@
@mouth of a river@|@ur'-l', vbwrbw@
@move@|@shu@
@movie@|@kino@
@much@|@numaj@
@mushroom@|@k'umba@
@mushrooms@|@kämpa@
@music@|@muzika@
@Mussya (proper name)@|@Mushsha@
@myself@|@ham@
@nail@|@p'uda, xudav@
@name@|@iat, jat@
@name of the village@|@Silpi Silbi@
@narrative@|@povest'@
@narrow@|@ansär, xäzäk@
@Narspi; proper name@|@Narspi@
@National Library@|@Naci Biblioteki@
@native indigenous@|@tävan@
@nature@|@uçt çantaläk@
@navel@|@kändäk, käuvaba@
@near@|@shyväh, syv'x@
@necessary@|@kirlë@
@necessity@|@kir-lä, s'um'ul@
@neck@|@m'j, mäj@
@necktie@|@galstuk@
@need@|@tert@
@needle@|@ïël, jëp@
@needle hole@|@s'rda@
@negative article@|@mar@
@negative particle@|@ni@
@neighbor@|@kürchë@
@neighbour@|@x'una@
@nest@|@j'wva@
@net@|@siläm@
@nettle@|@väwldäw@
@new@|@çënë, sänä, sene, shënë@
@newborn child@|@süpä@
@news@|@chap, hypar-hänar@
