@English@|@Khmer@
@aromatic@|@jhnguj@
@arrange@|@riäng reng, rjang, rjap@
@arrested@|@dañ'@
@arrive@|@tal'@
@arrow@|@ka:m, pruan, sar@
@ash@|@p'eh@
@ash-pumpkin@|@träla:c@
@at@|@no@
@attic@|@jängruk@
@aunt@|@paj@
@awkward@|@cgong, chgang@
@axe@|@put'au@
@axle@|@snu:l@
@backbone@|@dränung@
@bag made of rush@|@spaong@
@bag of woven bamboo@|@kämpraong@
@balcony@|@chniäng@
@bamboo@|@brec, ränsi, rssi:, wra:c, wrac@
@banana flowers@|@träju:ng@
@banana-tree@|@cä:k, cek, cik, cjak@
@banter@|@tih@
@bark@|@sämpak, sämpok@
@barley@|@toññochatinyan@
@barter@|@ja:w, jaw, tor, tur, twar@
@base@|@gal, gal'@
@base oneself on@|@phda:j@
@bastion@|@p'o:m@
@bat the eyes rapidly@|@bric@
@bathe@|@ngu:t@
@bay of house@|@lwa:ng, lwe:ng, lweng@
@be added to@|@pla:j@
@be adjacent to@|@ta@
@be adrift@|@räbaong@
@be agitated@|@cräla:s, pa:@
@be alert@|@jhla:s@
@be alive@|@'1ras, 'ëras, ros@
@be aloof@|@ta:c@
@be animated@|@baj@
@be arrested@|@duñ@
@be astir@|@wak'@
@be aware of@|@ciäm@
@be badly frightened@|@rädhot@
@be badly torn@|@haok@
@be bald@|@rängal, thbe:k@
@be bathed in sweat grime@|@gägrih@
@be big@|@rung@
@be big-bellied@|@k'ä:ng@
@be blessed@|@kap'@
@be blind@|@ngap'@
@be bloated@|@hal'@
@be blocked@|@wa:k'@
@be blunt@|@hil@
@be blurred@|@sräbyl@
@be born@|@kaät, ket@
@be bright@|@'änlang, ceng, jrah, rah@
@be brilliant@|@snga:c@
@be broken off@|@ta:c'@
@be brought to a halt@|@kaäl@
@be careless@|@prähe:s@
@be clean@|@räli:ng@
@be clear@|@de:ng@
@be close to@|@pä:h@
@be close up against@|@ñyk@
@be closed@|@mum@
@be cloudy@|@srä'a:p'@
@be complete@|@srung@
@be completed@|@haäj@
@be confused@|@wak'@
@be consecrated@|@pos, puäs, pwas@
@be cooked@|@ch'yn@
@be covered with dots@|@rä'uc@
@be cracked in several places@|@sra:m@
@be dark@|@ngängyt@
@be dead@|@nga:p'@
@be deaf@|@tälang, thlang', tlang@
@be deep@|@jraw@
@be defeated@|@ca:ñ'@
@be detached@|@ränggaoh@
@be dim@|@räbyl@
@be discreet@|@lnga:c, nga:c@
@be divided and torn@|@cämpe:ng@
@be divided up@|@räle:k@
@be drunk@|@sräwyng@
@be dry@|@huät@
@be dry up@|@sros@
@be elegantly curved@|@räla:m@
@be empty@|@dädä:@
@be even@|@ra:p@
@be excessively swollen@|@sämbi:ng@
@be excitable@|@rä'aäl@
@be extreme@|@thna:s@
@be extremely long@|@sräja:l@
@be false@|@bhu:t@
@be far@|@wä:ng@
@be finished@|@ruäc@
@be fixed@|@ga:ng'@
@be flat and thin@|@kämp'a:t@
@be flattened@|@sämp'e:t@
@be flattened out@|@sräba:p@
@be fond of@|@sna:l@
@be foul@|@cäm'a:s@
@be free@|@lä:ng@
@be free of care@|@sruäl@
@be full@|@baor@
@be glad@|@'ar@
@be good@|@präbej@
@be goodly@|@ru:@
@be gorged@|@ch'e:t@
@be graceful@|@nang@
@be greedy@|@jämham@
@be grouped@|@gum@
@be half-way@|@daär, der@
@be hanging down@|@räja:n, räjaong@
@be heavy@|@stuk@
@be hesitant@|@phsu:r@
@be hidden@|@buän@
@be higher than normal@|@bhlaät@
@be hot@|@s'uh@
@be ill@|@graoh@
@be impertinent@|@caeng@
@be in a hurry@|@nja:p@
@be in pain@|@huäl@
@be in the grip of severe cold@|@gägran'@
@be indecent@|@cäcaäk@
@be inert@|@rängiäm@
@be instant@|@ma:ñ'@
@be knowledgeable@|@cä:h, cih@
@be light and quick@|@rähaät@
@be limp and yielding@|@p'äplik@
@be loaded down with@|@'ämbol@
@be long@|@cä:r, räta:w@
@be long and dragging@|@'änta:j@
@be long and soft@|@sänta:j@
@be long-lasting@|@jy:n@
@be lost@|@pa:t'@
@be low@|@ròk@
@be lower in age@|@'u:n@
@be mean@|@kämnañ@
@be mixed up@|@cräluk@
@be more wide than high@|@däda:r@
@be moving@|@p'äplic@
@be musty@|@'uä@
@be near@|@jit@
@be neat@|@suän@
@be new@|@daäp, dep@
@be of one mind@|@dhlung@
@be on one side@|@niäng@
@be open wide@|@cräha@
@be out of place@|@chtup@
@be overcast@|@slup, sräwang@
@be packed tight@|@sbiät@
@be parallel@|@srap@
@be physically strong@|@ham@
@be place one on top of@|@ruät@
@be plentiful@|@rängal'@
@be plump and soft@|@drälòn@
@be poisonous@|@bul@
@be pregnant@|@phaäm@
@be prostrated@|@sräjut@
@be pure@|@guh, gus, sguh, sgus@
@be putrid@|@puk@
@be queer@|@chwä:ng@
@be quick@|@ruäs@
@be raised@|@srang@
@be red-hot@|@cra:l@
@be repeated@|@dak@
@be right@|@chut@
@be ripped out@|@räpaoc@
@be rotten@|@buk@
@be rough@|@gämra:ng'@
@be round@|@mul@
@be saturated and very soft@|@rälaok@
@be scattered@|@ba:j@
@be semi-conscious@|@srälung@
@be separated by intervals@|@sräta:s'@
@be separated into parts@|@taoc@
@be shaken@|@räla:k'@
@be shallow@|@ra:k', rähe:l@
@be sharp to the taste@|@ju:r@
@be shiny@|@rälaong@
@be shivering@|@gräñe:ng@
@be short and quick@|@rädä:n@
@be sick@|@jhy:@
@be sick and tired@|@dhuñ@
@be situated be oneself@|@daol@
@be slippery@|@rä'il@
@be small@|@'ä:t, 'uäc@
@be smooth@|@sril@
@be soaking@|@jaok@
@be soft@|@dan'@
@be spent@|@'is, 'os@
@be spotted@|@bäbla:k'@
@be stiff@|@re:ng@
@be stirred@|@phaäj@
@be stirred up@|@cal'@
@be stratched@|@da:ng'@
@be stretched@|@da:ng', räli:k@
@be strong corrosive@|@prej@
@be strong of odors@|@räh'um@
@be strongly build@|@ma:m@
@be stuck together@|@präjap@
@be stunted@|@ra:n, ran@
@be suspend@|@taong@
@be swollen@|@baäng, bak, bak, bang, bi:ng, sämbaong@
@be tall@|@raäng@
@be tall and lean@|@sräluät@
@be tall and slim@|@sdu:r@
@be tall and strong@|@tämpang@
@be tangled@|@sa:ñ@
@be terribly wrinkled@|@gräji:w@
@be thin@|@phsej@
@be thirsty@|@srä:k@
@be tied down@|@ca:m@
@be tight@|@khjap@
@be tiny@|@'ämpa:t@
@be touching@|@tit@
@be true@|@bit, ja:k'@
@be turned onto one side@|@chiäng@
@be turned up abnormally@|@sdaäñ@
@be unclean@|@smaok@
@be unwell@|@thka:t'@
@be useless@|@maok@
@be uttery beautiful@|@khnang'@
@be very short@|@rä:n@
@be very small@|@'at@
@be weakened@|@dram@
@be weary@|@ruäj@
@be well-trained@|@swa:k'@
@be wide@|@da:r, rälung@
@be wide open@|@dhlung, dräwah, gräwah@
@be wild@|@brej@
@be worn@|@rä:c, syk@
@be worthless@|@gròk@
@beak@|@cämbuh@
@beam of light@|@pruh@
@beans@|@sänte:k, säntek@
@bear@|@monuss muk' kroñuv@
@beard@|@rom@
@become dark@|@srädem@
@bed@|@chonma@
@bed of mountain@|@jrälang@
@bedbug@|@sängkaëc@
@bee@|@ghmum, ghmum, gmum, karbrochum, pruät@
@bee-like insect without stinge@|@mraom@
@beer@|@bia, biyaer, srabier@
@beetle@|@käñce:, kce@
@belly@|@bung@
@belonging to@|@naj, nej@
@bend out at midpoint@|@ke:k@
@bent@|@viäc@
@betel-leaves@|@'ämlo, 'ämlu:, mlu:@
@betel-nut tree@|@sla:@
@beyond@|@caäm@
@big@|@gräluäng, prälung, prälwang, t'non@
@big and tall@|@cängkrung@
@big-bellied pot@|@bi:ng@
@bill@|@cämwuh@
@bird@|@slab@
@bite@|@djam@
@bite off@|@crip@
@black@|@puchsan, puchsas@
@black cuckoo@|@ta:waw, täwaw, tuwaw@
@black monkey@|@kämwra:m, swa: bra:m@
@blade@|@phle:@
@blaze@|@raol@
@blaze up@|@chur@
@block@|@ra:ng'@
@blockhead@|@sändak, sdak'@
@blood@|@jha:m@
@blossom@|@ri:k@
@blow lightly@|@träsiäk@
@bludgeon@|@bränang'@
@blue@|@k'iev@
@blunt@|@da:l@
@boat@|@dok, du:k, tuk@
@body@|@k'luan@
@body build@|@ra:ng@
@body dirt@|@k'e:l, kä'el@
@bog formed by decomposition@|@mämaok@
@boil quickly@|@ruäl@
@boiled water@|@tuhk ch'uhn@
@bolt@|@cända:s', ränuk@
@bone@|@cä'ing, chä'yng@
@book@|@sievp'au@
@boss@|@cò:w@
@bow his head@|@prämuc@
@box@|@prä'ap@
@branch@|@bre:k@
@branch off@|@wrek@
@brass@|@länggaw, sämrit@
@bread@|@nombun@
@break@|@gänlak, pämpap@
@break up in swellings@|@bur@
@break without separation@|@zhac'@
@breast@|@dru:ng, taoh, toh@
@breath@|@tänghaäm@
@breech@|@träbaok@
@breed of hybrid cattle@|@jräle:ng@
@bridge@|@ba:n; sba:n, ba:n; sba:n, span, swa:n@
@bright@|@bhly:, thla:@
@brilliant@|@braong, träcah, träcah@
@bring down@|@tänlaoh@
@bring forward@|@ju:n@
@bring into being@|@kar@
@bring to an end@|@ptal'@
@broadcast@|@prah, proh@
@broken@|@räpak@
@broken pod@|@sämti:@
@brother@|@b'unbrus, banbrus@
@brown@|@naipontnot@
@brush@|@paos, pos@
@buckle@|@paor@
@build with art@|@s'a:ng@
@bull@|@kochol@
@bumpy@|@graäm@
@bunch@|@pac@
@bundle@|@wä:c@
@buoyant@|@sngaäk@
@bus@|@laan ch'nual@
@bush@|@srälit@
@but@|@tdai@
@butt@|@jal'@
@butterfly@|@me'ambau@
@cabbages@|@sbej, swaj@
@call one another at a distance@|@gu:k@
@camel@|@brotib, tienkol@
@can@|@baan, bahn@
@carry in the arms@|@bo:@
@carry on a shoulder pole@|@re:k@
@carry on one's head@|@du:l, dwal@
@carry on the back@|@bränar@
@carry on the shoulder@|@se:ng, seng@
@carry suspended in the hand@|@juär@
@cart@|@rädeh@
@cast@|@pang, pang', we:ng@
@cast away@|@col@
@castor-oil plant@|@lhang, rhuang@
@cat@|@chma:, cma:@
@catfish@|@chla:ng, chla:ng'@
@cat-fish@|@'änte:ng@
@cattle@|@'ändrok, 'änrok@
@cause to tremble@|@ränggaäk, rängge:@
@celestial@|@brah@
@ceramics@|@ca:n@
@chaff@|@paäng@
@chains@|@cräwa:k'@
@change@|@pre:@
@change place with@|@juäs@
@chase@|@tä:ñ@
@cheek@|@t'pal@
@cheese@|@hvruma, k'lank'ab@
@cherry@|@plaecho, serihs@
@chest@|@ru:ng@
@chicken@|@ma:n, ma:n'@
@chief@|@kämbu:l@
@child@|@bhru:n, bru:n, kuchau, kumarp'ap@
@chin@|@cängka:, chanka@
@Chinese onion@|@gu:chò:j, käñchaj@
@choke on food@|@jhlak'@
@cigarettes@|@baarei@
@cinder@|@phä:h@
@cistern@|@'a:ng@
@city@|@krohng, tikrun@
@civet-cat@|@sämbaoc, sämwoc@
@classifier for persons@|@nak@
@clay pot@|@k'ò:m@
@clean@|@'a:t, sän'a:t@
@clean out@|@tpa:r@
@clearing@|@tra:ñ@
@clearly@|@sde:ng@
@clever@|@kämpin@
@cling to@|@ka:n, ka:n', kan@
@clitoris@|@chtä:ñ@
@close@|@cäng'iät, nang, neng, ning, njang, prap@
@close an opening@|@khjyp@
@close by bringing together@|@ph'yp@
@close the top of@|@grap@
@close to@|@diäp@
@cloud@|@bäbak, bäbak, dumpopok, popok, wräwok@
@cluster@|@tpal@
@coal@|@thynoth@
@coarse@|@'a:s@
@coconut@|@tong, tu:ng, twang, twong@
@coffee@|@kaafe, kãhve@
@coil@|@cwa:j@
@coil up@|@mu:r@
@collapse@|@rälom, rlam, rlom@
@collect@|@ruäp@
@collide with@|@daäs@
@come back@|@wi:ng, wiñ, wing@
@come later@|@ram@
@come out@|@cä:ñ, cräpic, p'ic@
@come to an abrupt halt@|@thuc@
@come to an end@|@sra:c, srac@
@come to have@|@'ämpa:n, pa:n@
@come together@|@cuäp@
@come up@|@cuñ@
@compact@|@ral, ral'@
@company@|@buäk@
@compete@|@je:ng@
@complete@|@gärap, grap@
@concentrate@|@raom@
@confront@|@jho:m@
@confuse@|@prämal'@
@confused@|@chngal'@
@Congratulations@|@Som saw sah@
@conical hat@|@tuän@
@consumed by impatience@|@rähal'@
@container with a handle@|@paoj@
@contend@|@chpang, cpang@
@cooked@|@chä'in@
@cooked rice@|@pa:j@
@cooking-pot@|@chna:ng, chna:ng', cnang@
@copper@|@spãn, töndæn@
@coral-tree@|@räluäs, ränlwas@
@core@|@snu:l@
@correct@|@diäng, trow@
@corrected@|@ca:l@
@corrupt@|@su:k@
@cotton@|@kappa:s, kräpa:s, sampot@
@cover@|@pid!, pit, sändah, ta:s@
@cover overlay@|@ba:s@
@cover the head@|@dädu:r@
@cow@|@koni, meko@
@cracked@|@che:p@
@cradle@|@'ängryng@
@crawl@|@wa:r@
@creeper@|@grä:c, grec, rmjat@
@creeprer@|@thning, thnyng@
@crest@|@kämbu:l, kämwal@
@crevasse@|@jraoh@
@cricket@|@cängrit@
@cross-bred oxen@|@jräleng@
@cross-eyed@|@sräliäng@
@crotch@|@präga:p@
@crow@|@k'aek, k'e:k, kä'ek@
@crush@|@nä:c@
@cucumber@|@träsak', träsok@
@cudgel@|@maong, mong, tmaong@
@cultivate rice@|@thwe, twe@
@Curcuma@|@rämiät@
@curl@|@wiän@
@curve@|@'aon, cämbas, lämbas@
@cushion@|@ke:p, kep, kjap@
@customs@|@diäm@
@cut meat off of bones@|@crälä:h@
@cut up@|@phda:r@
@cuticle of the finger@|@'än'ca:ñ@
@cutting@|@gämraoh@
@cutting board@|@jrañ'@
@cylindrical fish-trap@|@p'aung, pom@
@cymbals@|@cheng, chyng@
@dangling@|@rjong@
@darken@|@lap', srälam@
@dash headlong in all direction@|@chla:@
@daughter@|@kunsri@
@day@|@tah nigh, thnai, thnga:j, thngaj, tngaj@
@dazzling@|@täcang@
@dead leaves@|@ränah@
@death@|@anichchakam@
@debt@|@kting@
@decayed@|@wuk, wwak@
@deep@|@biäp@
@deer@|@päres, räma:ng, räma:ng', rma:ng@
@defeat@|@n'am, nam@
@defer@|@ph'a:k, ph'a:k'@
@delicious@|@chngòñ@
@deluge@|@rämla:@
@dense@|@ha:p', juk@
@derive the word from@|@draäng, trel@
@derogatory@|@myng@
@desert@|@valkhsach@
@destroy@|@ka:c, kac@
@dew@|@diäw@
@dictionary@|@vochnanukron@
@Did I say it right?@|@Tdah kynum tah tahrow tday?@
@different@|@diät, phsä:ng@
@different parts of whole@|@le:k@
@diffident@|@'a:k', kän'a:k, kän'ak@
@diminish@|@haoc@
@direction@|@päntip@
@dirty@|@bhak'@
@disgusting@|@rängaäm@
@displaying a paunch@|@zhäm'el, zhäm'jal@
@dissolve@|@rämla:j@
@distant@|@lwä:ng@
@distinct@|@daj, daj ta, daj ti, tädej@
@distinguish@|@träka:l@
@distressed@|@mnä:n'@
@division@|@p'e:k@
@do you have a light@|@niak mian phloeng te@
@do you have a room@|@niak mian bantohp tohmne te@
@do you like@|@niak johl juht ... te@
@do you speak english@|@niak jeh phiasaa awngle te@
@Do you speak English?@|@Ter nak niyay Anglais teh?@
@Do you speak French?@|@Niet nee-yay bahrahn tday@
@do you understand@|@niak yuhl te@
@Do you understand?@|@Niet yuall dtay?@
@dodge@|@gräliäs@
@dog@|@cäke, chhkae, chke, chke:, cke@
@doltish@|@braäl@
@domed@|@käñcang, käñcong@
@donkey@|@la@
@Don't mention it@|@Gcum nee yay i@
@don't touch me there!@|@kom bpas knhom con leng nung@
@dotted@|@bäbruh@
@down@|@rälas'@
@drag oneself@|@gaäm@
@draw (rope) from a coil@|@sra:w@
@draw a line@|@ca:r, chu:t, sir@
@draw deeply on pipe@|@hyt@
@draw towards oneself@|@kräsa:w@
@drenched@|@räla:m@
@dried up@|@ri:ng, saoh@
@droop@|@bänja:r@
@drop@|@chamnantichatuach, srut, tuäl@
@drum@|@sgar@
@dry@|@pra:ng'@
@dry land@|@gaok, gok@
@duck@|@'äda:, da:, da:, gä:c, ta@
@duplicate@|@sämnaw@
@durable@|@gang, gòng@
@during which water boils@|@'ämbuh@
@dusk around sunset@|@brälap'@
@duty@|@suäj@
@dwelling place@|@lämnaw@
@dye@|@jrälok@
@eagle@|@intri@
@ear@|@cräcjak, träsik, trochiek@
@earth@|@ti, ti:@
@earthen cooking-pot@|@ghlah@
@earthworm@|@jänlä:n@
@easily@|@nga:j@
@east@|@khaang kaot@
@easy@|@dhu:, kändhu:@
@eat away@|@craoh@
@echo@|@khdar@
@eddy@|@cal@
@edible fruit@|@guj@
@edible part of coconut@|@kämwjing@
@edible water-plant@|@käñche:t, käñchet@
@edibles@|@spiäng@
@eel@|@'ändang', dängdang, dängdong@
@egg@|@pon@
@egg-plant@|@trap, trap'@
@eight@|@bram bei@
@eject from the body@|@ra:k@
@eject liquid from mouth@|@bruäs@
@elder@|@'cas, ca:s, ca:s', cah, cas@
@elder brother@|@'rim, 'rjam, riäm@
@electricity@|@phloeng@
@elephant@|@damri, tämr, tämre, tämri, tämrja, täntaäm@
@elephant-herd@|@gängwa:l@
@elephant's trunk@|@prämaoj@
@elephant's tusks@|@bhluk, wluk, wlwak@
@eleven@|@dawp muy@
@elongated@|@sa:w@
@empty@|@sngat, sngat'@
@encircle the head@|@juät@
@enclose@|@h'um, sra:s'@
@encompassing rampart@|@kämbe:ng@
@end@|@cung@
@enemy@|@satruv@
@engrave@|@gu:s@
@enlarged toward the top@|@ga:ng@
@enormous@|@sdaäñ@
@enquire of@|@suär@
@entangle@|@ban, wa:n, wan@
@entwine@|@p'a:k'@
@enumerate@|@ra:p'@
@epidemic@|@räpa:l@
@equal@|@sme, smuä@
@erect@|@ta:ng'@
@eroded bank of a river@|@cämrajh, rä:h, re:h@
@esp. of elephants@|@dälma:k, dälmak@
@even@|@sama@
@evening@|@pel l'ngiat, pellchach@
@every@|@ra:l'@
@examine@|@mel@
@exchange@|@tu:r@
@excrement@|@tä'ac@
@excuse me@|@sohm toh@
@Excuse me@|@Aht tdoe owe Kynum@
@execute s.o. by attaching@|@plä:ng@
@exert suction on@|@jop@
@expectorate@|@staoh@
@expose@|@rämlaäk@
@extend the arms out@|@sräwa:@
@extra@|@sa:l'@
@extract fat be heating solids@|@chiäw@
@extract oil from fat@|@cämrañ@
@eye@|@phnaek@
@eye-brows@|@cämcem@
@face@|@khanphna@
@fall apart@|@pa:k, pa:k', pak@
@fall in@|@bhlu:k@
@family@|@natisandan, präju:r@
@fan@|@pak, pak'@
@far away@|@chnga:j@
@far from full@|@grähe:t@
@far-flung and without obstacle@|@tlä:w@
@fat@|@thlej, tlos@
@father@|@karkorop@
@fatness@|@dämha:t', dha:t'@
@fearless@|@h'a:n, ha:n@
@feeble@|@'o:n@
@feel@|@sda:p@
@female@|@je, ji:, ñi:, taj@
@female person@|@käntaj@
@fence@|@räpang@
@fermented preserve of fish@|@ph'ak@
@ferryboat@|@sräla:ng@
@ficus@|@zhraj, zhrej@
@ficus-tree@|@lwa:@
@fiery@|@ränga:l, rnga:l@
@fiirm@|@nyk@
@filth@|@maoh@
@fin@|@ruäj@
@finger@|@mramdai@
@finger-ring@|@cäncjan, cänja:n, ciñciän@
@finish@|@rwac@
@finished died@|@srä:c@
@fire@|@akki, bhlaäng@
@firewood@|@'uh, 'us@
@firm@|@dryng, ta:n', tjang, tyng@
@first light of day@|@swa:ng@
@fish@|@tri@
@fish paste@|@prähuk@
@fish with a trident@|@crap'@
@fisherman@|@bra:n@
@fishing line@|@ränang@
@five@|@bram, pra:m, pram@
@flabby@|@s'e:l@
@flap@|@räla:s'@
@flat of hand@|@pa:t@
@flat-fish@|@ke:s, kes@
@flatten out@|@sräba:p, sräp-a:p@
@flattened down@|@da:p@
@flea@|@caj, chaichkae, tämker, tängke:, tängker@
@flee@|@rat'@
@fling seeds into the air@|@braoh@
@float on the surface@|@kämbhe:l@
@flour@|@msau@
@flow in a thin stream@|@cru:c@
@flow out@|@to ebb@
@flower@|@phka, phka:, pka:@
@foam@|@bäbuh@
@fold@|@bot, kañ, pat, pot@
@fold by pleating@|@ji:p@
@follow@|@taoj@
@follow in rapid succession@|@mä:ñ@
@fontanelle@|@pänghaäj@
@foot@|@chon, chon, zhaäng, zheng@
@footbridge@|@snuä@
@forbid@|@pra:m@
@force one's way into@|@träsuk@
@forearm@|@phluät@
@forehead@|@thnga:s@
@forest@|@prai@
@forest gale@|@tära:ñ, tärañ@
@fork@|@so:m@
@form a protuberance of bulge@|@chbaäs@
@form a sharp angle@|@ke:ng@
@fortress@|@pända:j@
@forty@|@phlu:n, plon, saisuhp@
@foster-child@|@pämcjam@
@foul greenish slime in water@|@bra:m@
@foul-smelling mud@|@jra:m@
@found a village@|@ca:t, cat@
@four@|@buan, pon, puän, pwan, tämpar@
@fox@|@kapchran@
@frenzy@|@sämpa@
@friend@|@bha:n, mit@
@frog@|@kankaeb@
@from elbow to fist@|@gak'@
@fruit@|@phle, phle:, ple@
@fruitless@|@'a:r@
@full@|@grap'@
@full of sap@|@ja:r, käñja:r@
@full of spite@|@gum@
@full to bursting@|@p'ä:ng@
@furrow@|@cäng'uär@
@gallbladder@|@prämat@
@gaping@|@rha:@
@garden@|@chbar, san vobkam@
@gasp@|@hap@
@gastric distress@|@ch'ol@
@gathered into a small mass@|@tum@
@generic name for water leeches@|@jhlaäng@
@gentle@|@slu:t, tan'@
@genuine@|@wit, wjat@
@get together with@|@sam@
@ghost@|@bra:j@
@gibbon@|@do:c@
@give era to@|@sta:p'@
@globe@|@gola@
@glowing red@|@ngaw@
@gmelina asiatica@|@'äñca:ñ, ciñca:ñ@
@go across@|@chlang, chlong, clong@
@go against@|@da:s, da:s'@
@go ahead@|@dow@
@go backwards@|@hòk@
@go pale@|@sle:t@
@go straight up@|@chkuj@
@go wrong@|@dhlaoj@
@goat@|@bäbe:, popae, wäwe@
@god@|@kavorub@
@gold@|@chtaor, ma:s, mas, thar@
@gong@|@gò:ng@
@Good afternoon@|@Sigh yoeun soah sah die@
@Good evening@|@Deet ree-ah soah sah die@
@Good luck@|@Som naang la-are@
@Good morning@|@Ah roeun soah sah die@
@Good night@|@Hah ree-uht tri soah sah die@
@goodbye@|@chum ree-up lee-ah@
@goose@|@knanoni@
@gossip@|@ce: cu:w, cu:@
@gourd@|@nänaong, nong@
@grab@|@chòk@
@grand children@|@caw@
@grandmother@|@ja:, ja:j@
@grand-mother@|@ton, tu:n, twan@
@grasp in both hands@|@khna:m@
@grass@|@smaw@
@great@|@dham@
@green@|@sros@
@green pigeon@|@bäbu:l, wäwwal@
@grey@|@sko, sku, sku:w@
@groan@|@du:, duäñ, duäñ, t'un@
@groove@|@räntaw@
@group@|@'ämpa:l, sräpa:l@
@grove@|@dänggum, tängum@
@grow close to the ground@|@kändre:t@
@guest@|@bhñiäw, phñiev, wñaw@
@guide@|@jaoñ, na:m, na:m@
@gull@|@rämbä:, rämwer@
@gullible@|@käñchot@
@hailstorm@|@bril, bryl@
@hair@|@sak@
@hair of the head@|@suk@
@half hour@|@kuhnlah maong@
@hall@|@raong@
@hamlet@|@sruk@
@hammer@|@tuk@
@hand@|@dai@
@handle@|@tong@
@hang abnormally low@|@gägha:r@
@hang down in long threads@|@räta:j@
@hang on a hook@|@thbak'@
@hard@|@ring@
@hare@|@dänsa:j@
@harpoon@|@sna@
@harsh@|@säm'ò:k@
@harvest@|@cru:t@
@haunch@|@träga:k@
@have a big@|@säm'e:l@
@Have a good day@|@Som owe bahn sa bei k nye nee@
@have a knobby@|@trämaong@
@have a pain@|@cuk@
@have a ringing in the ear@|@h'yng@
@have a taste@|@cä'a:p@
@have bad luck@|@chung@
@have thick lips@|@cräwe:p@
@having dark spots@|@ja:m, käñja:m@
@hawk@|@sda:ng, sda:ng'@
@head@|@kbal, thpong, thpwang, thpwong@
@headland@|@zhäroj, zhraoj@
@heap@|@bu:l@
@heart@|@behdun@
@hearth wood@|@päntu:l@
@heavy syrup@|@ngärngor, ngärngwar, rängu:r@
@heddle system of a loom@|@thka:r, thkar@
@hello@|@johm riab sua (sua s'dei)@
@Hello@|@Soah sah die@
@help@|@chew-ay, joo-ay, juäj, jwaj@
@hen@|@mamme@
@Henna-tree@|@kämbhä:n, kämwen@
@herd man@|@gängwa:l@
@hi; how are you@|@niak sohk sabaay te@
@hill@|@dwal@
@hillock@|@duäl@
@hit against@|@da:l, dal@
@hog-deer@|@dra:j@
@hold arms@|@je:ng@
@hold in the up-raised hands@|@sduäj@
@hold up the head@|@ngaäj@
@hold with both arms@|@'aop@
@hold with pincers@|@thkjap, tkep@
@hole@|@lang'@
@hollow@|@de, drong, drwang@
@home@|@path teeah@
@honey@|@'nokchatisrolañkrai laen@
@hook@|@tämbak@
@hoop@|@wang'@
@horn@|@sna:ng, sne:ng, sneng@
@horse@|@seh@
@horse fly@|@ruäj@
@hot@|@hyr, khtaw@
@hotel@|@ohtail, sahnthaakia@
@hour@|@khana', maong@
@house@|@phtoh@
@house-lizard@|@cäcak', cikcok, ji:ng cak'@
