@English@|@Arabic@
@peasant@|@فلاح@
@pen@|@قلم@
@peninsula@|@جزيرة@
@people@|@اهل, قوم, شعب@
@period@|@مدة@
@permission@|@تصريح@
@person@|@انسان, امرء, شخص@
@personality@|@شخصية@
@petroleum@|@نفط@
@picture@|@صورة@
@piece@|@قطعة@
@piece of paper@|@ورقة@
@place@|@محل, مكان, موضع@
@plantation@|@مزرعة@
@pleasant@|@لطيف@
@police@|@بوليس, شرطة@
@political@|@سياسي@
@politician@|@سياسي@
@politics@|@سياسة@
@pool@|@بركة@
@position@|@موقف@
@possible@|@ممكن@
@post@|@بريد@
@praise@|@حمد@
@present@|@حاضر@
@present (adj.)@|@حالي@
@president@|@رئيس@
@press@|@صحافة@
@previous@|@سابق@
@prince@|@امير@
@principal@|@رئيسي@
@private@|@خصوصي@
@problem@|@مشكلة@
@professor@|@استاذ@
@profits@|@عائدة@
@promise@|@عهد@
@propaganda@|@دعاية@
@proverb@|@مثل@
@province@|@ولاية@
@public@|@امومي, جمهور@
@publication@|@نشرة@
@queen@|@ملكة@
@question@|@سؤال@
@quick@|@سريع@
@race@|@قوم@
@rain@|@مطر@
@reason@|@سبب@
@red@|@احمر@
@related (to)@|@قريب@
@relation(ship)@|@علاقة@
@report@|@بلاغ@
@republic@|@جمهورية@
@resemblance@|@مثل@
@responsible@|@مسئول@
@restaurant@|@مطعم@
@result@|@نتيجة@
@revolution@|@ثورة@
@rice@|@ارز@
@rich@|@غني@
@right@|@حق, صحيح, يمين@
@rightness@|@صحة@
@river@|@نهر@
@riyal@|@ريال@
@road@|@شارع, طريق@
@robe@|@ثوب@
@room@|@غرفة@
@ruler@|@حاكم@
@safe@|@سليم, سالم@
@salt@|@ملح@
@sand@|@رمل@
@scholar@|@عالم@
@school@|@مدرسة@
@science@|@علم@
@sea@|@بحر@
@season@|@موسم@
@secure@|@سليم, سالم@
@security@|@امن@
@self@|@نفس@
@servant@|@خادم@
@service@|@خدمة@
@shape@|@شكل@
@she@|@هي@
@sheep@|@غنم@
@ship@|@مركب, سفينة@
@shop@|@دكان, محطة@
@shore@|@ساهل@
@short@|@قصير@
@sick@|@مريض@
@side@|@جانب@
@similarity@|@مثل@
@simple@|@بسيط@
@since@|@حيث, منذ@
@sister@|@اخت@
@situation@|@حال, حالة, موقف, وضع@
@slave@|@عبد@
@small@|@صغير@
@so@|@كذلك, لذالك@
@social@|@اجتماعي@
@soldier@|@عسكري@
@some@|@بعض@
@someone@|@شخص@
@sometimes@|@احيانا@
@son@|@ولد@
@son (of)@|@ابن@
@sort@|@نوع@
@sound@|@صالح@
@south@|@جنوب@
@special@|@خاص, خصوصي@
@speed@|@سرعة@
@spring@|@عين@
@stand@|@موقف@
@stand up@|@قام@
@state@|@دولة@
@statement@|@بيان@
@station@|@محطة@
@step@|@درجة@
@store@|@دكان@
@story@|@قصة@
@strange@|@غريب@
@street@|@شارع@
@strength@|@قوة, شدة@
@strong@|@قوي, شديد@
@student@|@طالب@
@study@|@دراسة@
@subject@|@موضوع@
@substance@|@مادة@
@sun@|@شمس@
@surface@|@سطح, وجه@
@sweet@|@حلو@
@system@|@نظام@
@talk@|@حديث, كلام@
@tall@|@طويل@
@tea@|@شاى@
@teacher@|@استاذ, معلم@
@team@|@فريق@
@technical@|@فني@
@that@|@ان, ان, ذلك@
@that (f)@|@تلك@
@that is@|@اي@
@the@|@ال@
@then@|@ثم@
@there@|@هناك@
@therefore@|@لذالك@
@they@|@هم@
@they (f)@|@هن@
@thin@|@دقيق@
@thing@|@حاجة, شأن, شئ@
@this@|@هذا@
@this (f)@|@هذه@
@time@|@حين, مرة, وقت, زمان@
@tired@|@تعبان@
@to@|@ان, الى, ل@
@to (de)limit@|@حدد@
@to accept@|@قبل@
@to achieve@|@حقق@
@to add@|@اضاف@
@to adjoin@|@جاور@
@to administer@|@ادار@
@to advertise@|@اعلن@
@to agree@|@وافق@
@to amount to@|@بلغ@
@to announce@|@اعلن@
@to answer@|@جاوب@
@to arrive@|@قدم@
@to arrive (at)@|@وصل@
@to ask@|@سأل@
@to attempt@|@حاول@
@to be@|@كان@
@to be able to@|@قدر@
@to be angry@|@غضب@
@to be astonished@|@عجب@
@to be broken@|@انكسر@
@to be complete@|@تم@
@to be mandatory@|@وجب@
@to be necessary@|@لزم@
@to be possible@|@امكن, وسع@
@to be present@|@حضر@
@to be safe@|@امن@
@to be secure@|@امن@
@to be varied@|@تنوع@
@to be wide@|@وسع@
@to beat@|@ضرب@
@to become@|@اصبح@
@to begin@|@اخذ@
@to believe@|@اعتقد@
@to benefit@|@استفاد@
@to breakfast@|@افطر@
@to build@|@بنى@
@to buy@|@اشترى@
@to calculate@|@حسب@
@to call out@|@صاح@
@to carry@|@حمل@
@to carry out@|@اجرى, نفذ@
@to cause@|@احدث@
@to come@|@جاء, قدم@
@to comment@|@علق@
@to complete@|@اتم@
@to compose@|@الف@
@to conquer@|@فتح@
@to consider@|@فكر@
@to contract@|@عقد@
@to converse@|@حادث@
@to correspond with@|@كاتب@
@to count@|@عد@
@to create@|@احدث@
@to cross@|@عبر, مر@
@to cultivate@|@زرع@
@to cut@|@قطع@
@to deal with@|@عالج, عامل@
@to decide@|@قرر@
@to defend@|@دافع@
@to descend@|@نزل@
@to develop (vi)@|@تطور@
@to develop (vt)@|@طور@
@to die@|@مات@
@to dine@|@تعشى@
@to discuss@|@باحث, بحث@
@to disseminate@|@اشاع@
@to divide@|@قسم@
@to do@|@عمل, فعل@
@to doubt@|@شك@
@to drink@|@شرب@
@to drive@|@ساق@
@to eat@|@اكل@
@to edit@|@حرر@
@to enter@|@دخل@
@to establish@|@انشاء@
@to export@|@صدر@
@to face@|@واجه@
@to fall@|@وقع@
@to fear@|@خاف@
@to fight@|@قاتل@
@to find@|@وجد@
@to flow@|@جرى@
@to fly@|@طار@
@to found@|@اسس@
@to gather@|@جمع@
@to get@|@حاز@
@to give@|@عاطا@
@to go@|@ذهب, سار@
@to go on strike@|@اضرب@
@to go out@|@خرج, صدر, طلع@
@to go towards@|@توجه@
@to go up@|@طلع@
@to grant@|@سمح@
@to greet@|@سلم@
@to grow@|@نشأ@
@to hand over@|@سلم@
@to hang@|@علق@
@to happen@|@حدث, حصل, جرى, سار, وقع@
@to hear@|@سمع@
@to help@|@وفق@
@to hurry@|@اسرع@
@to improve@|@حسن, تحسن@
@to increase@|@زاد@
@to influence@|@اثر@
@to inform@|@ابلغ, اخبر@
@to inform of@|@اطلع@
@to inspect@|@فتش@
@to invite@|@دعا@
@to kill@|@قتل@
@to know@|@علم, عرف@
@to learn@|@علم, تعلم@
@to leave@|@خرج, ترك@
@to liberate@|@حرر@
@to live@|@حي@
@to look (at)@|@نظر@
@to love@|@احب@
@to make@|@فعل, صنع@
@to manage@|@ادار@
@to manufacture@|@صنع@
@to marry@|@تزوج@
@to mean@|@عنى@
@to meet@|@اجتمع, قابل, واجه@
@to mention@|@ذكر@
@to name@|@اسمى@
@to need@|@احتاج@
@to obtain@|@حاز@
@to offer@|@عرض@
@to open@|@فتح@
@to order@|@امر@
@to own@|@امتلك, ملك@
@to participate@|@اشترك@
@to pass@|@مر@
@to permit@|@اتاح, سمح@
@to point@|@دل@
@to possess@|@امتلك, ملك@
@to pray@|@دعا@
@to precede@|@سبق@
@to preserve@|@سلم@
@to produce@|@انتج@
@to prohibit@|@منع@
@to protect@|@حفظ, جزء, صان@
@to publish@|@نشر@
@to put down@|@حط@
@to rain@|@مطر@
@to raise@|@اقام, رفع@
@to reach@|@بلغ@
@to read@|@قرأ@
@to realize@|@ادرك@
@to receive@|@استقبل@
@to reform@|@اصلح@
@to regard@|@حسب@
@to repair@|@صلح@
@to reply@|@رد@
@to represent@|@مثل, ناب@
@to request@|@طلب@
@to result@|@نتج@
@to retire@|@اعتزل@
@to return@|@عاد, رد, رجع@
@to ride@|@ركب@
@to rise@|@ارتفع, قام@
@to rule@|@حكم@
@to run@|@جرى@
@to say@|@قال@
@to see@|@رأى@
@to seem@|@بدا, ظهر@
@to sell@|@باع@
@to send@|@ارسل@
@to serve@|@خدم@
@to set up@|@اقام@
@to share@|@اشترك@
@to show@|@عرض, ابدا, اظهر@
@to sit@|@جلس@
@to solve@|@حل@
@to speak@|@كلم, تكلم@
@to speak (to)@|@كلم@
@to spend@|@صرف@
@to spread@|@مد@
@to start@|@بدأ, ابتدأ@
@to stop@|@اوقف, وقف, زال@
@to strike@|@ضرب@
@to study@|@بحث, درس@
@to substitute@|@ناب@
@to suppose@|@ظن@
@to surprise@|@اعجب@
@to take@|@اخذ@
@to take lunch@|@تغدا@
@to teach@|@علم, درس@
@to think@|@ظن@
@to tie@|@عقد@
@to transport@|@نقل@
@to travel@|@سافر, سار@
@to trust@|@وثق@
@to try@|@حاول@
@to understand@|@فهم@
@to unify@|@وحد@
@to use@|@استعمل@
@to visit@|@زار@
@to wait (for)@|@انتظر@
@to walk@|@مشى@
@to wear@|@لبس@
@to widen@|@وسع@
@to wish@|@اراد, شاء@
@to work@|@عمل, اشتغل@
@to work hard@|@اجتهد@
@to write@|@الف, كتب@
@tomorrow@|@غدا@
@tongue@|@لسان@
@towards@|@الى, نحو@
@town@|@بلد@
@trace@|@اثرة@
@Tradition@|@حديث@
@tree@|@شجر@
@truth@|@حقيقة, حق@
@type@|@نوع@
@un-@|@غير@
@under@|@تحت@
@unity@|@وحدة@
@until@|@حتى@
@useful@|@مفيد@
@usually@|@عادة@
@very@|@جدا, واجد@
@very much@|@جزيلا@
@village@|@قرية@
@violent@|@عنيف@
@voice@|@صوت@
@vote@|@صوت@
@wall@|@حائط@
@war@|@حرب@
@warmth@|@حر@
@water@|@ماء@
@way@|@طريق, طريقة@
@we@|@نحن@
@weak@|@ضعيف@
@weather@|@جو@
@week@|@جمعة@
@welfare@|@مصلحة@
@west@|@غرب@
@when@|@عندما, اذا, حين, لما@
@when?@|@متى@
@where?@|@اين@
@whereas@|@حيث@
@which? what?@|@اي@
@while@|@بينما@
@who?@|@من@
@whole@|@جميع@
@why?@|@لما@
@wide@|@واسع@
@wife@|@زوجة@
@wind@|@هواء@
@with@|@ب, مع@
@without@|@دون@
@woman@|@امراة@
@word@|@كلمة@
@work@|@عمل, شغل@
@world@|@عالم@
@year@|@عام, سنة@
@yellow@|@اصفر@
@yes@|@نعم@
@yesterday@|@امس, البارح@
@you@|@انت@
@you (f pl)@|@انتن@
@you (m pl)@|@انتم@
@young man@|@شب@
@young woman@|@شابة@

