@Hawaiian@|@English@
@'öhi'a@|@tomato@
@'ohia@|@A hard wood tree@
@'ohu@|@fog@
@'oi@|@sharp@
@'oia@|@she@
@'oia'i'o@|@truth@
@'oiä'i'o@|@correct@
@'oki@|@to cut@
@'okole@|@anus@
@'ökole@|@Buttocks@
@'okole-`oi`oi@|@marigold@
@'olapa@|@Dancer@
@'ole@|@no@
@'ölelo@|@Language, word, to say@
@'Olelo 'oe 'ölelo Hawai'i?@|@Do you speak Hawaiian?@
@'oliwa@|@olive@
@'olua@|@you@
@'ono@|@tasty, Delicious@
@'opala@|@garbage@
@'opihi@|@limpet@
@'öpio@|@young@
@'oukou@|@you@
@'oukou.`oe@|@you@
@'uku@|@louse@
@'uku lele@|@flea@
@'ukulele@|@guitarlike musical instrument@
@'ulu@|@Breadfruit@
@'umi'umi@|@beard@
@'uwï@|@to squeeze@
@('o)au@|@I@
@(ho)`alo@|@avoid@
@(W)au@|@I@
@[`aina] pake@|@China@
@[`e]ha@|@four@
@[`e]hiku@|@seven@
@[`e]lima@|@five@
@[`e]lua@|@two@
@[`e]nuhe@|@catepillar@
@[`e]ono@|@six@
@[`e]walu@|@eight@
@[`ulu] maika@|@bowling@
@[haku] `onohi@|@eyeball@
@[ho`o]kuli@|@deaf@
@[i]nehinei@|@yesterday@
@[kai]kaina@|@brother (younger sibling of same sex)@
@[kai]kunane@|@brother (of a female)@
@[ku]`au@|@handle (pot)@
@[lo]loa@|@tall (stature)@
@[ma`i] lolo@|@paralysis@
@[maka] koa@|@bold@
@[nu]nui@|@big@
@[pa] ilina@|@cemetery@
@[pahu] waihona@|@cabinet@
@[pala]hi@|@diarrhea@
@[pela] paha@|@perhaps@
@[waiu]paka@|@butter@
@a@|@of@
@a@|@and, of, by, from, since, the jaw bone@
@A `o `oe?@|@And you?@
@a [before verbs]@|@and@
@A hui hou@|@Goodbye, adieu, bye, farewell@
@Á hui hou aku@|@So long@
@A hui hou!@|@See you later!@
@a laila@|@then@
@a laila@|@then@
@a mahope ai au i ka hapuu@|@and then I ate fern roots@
@a me@|@and@
@a me [before nouns]@|@and@
@A ola hou@|@It lives again@
@a pau@|@all@
@a`a@|@root, lava rock (rough & jagged)@
@a`a@|@root@
@a`alolo kuli@|@deaf-mute@
@a`o@|@learn, teach, take instruction@
@a`o@|@learn, teach@
@a`o palapala@|@education@
@a`u@|@me, I (replaces 'au' & 'wau' after "me")@
@a'a@|@sharp jagged lava rock@
@aha@|@what?, that, what@
@ähea@|@when?@
@ähea@|@when?@
@ahi@|@fire@
@ahi@|@fire@
@ahiahi@|@evening@
@ahiahi@|@evening@
@aho@|@breath@
@aho@|@to breathe@
@aho@|@to breathe@
@Ai hea noho `oe?@|@Where do you live?@
@Ai hea...?@|@Where is...?@
@ai'ole@|@or@
@aia i hea@|@where?@
@aia i hea i hähi inu lama?@|@where is the bar?@
@aia i hea ka lua?@|@Where is the bathroom?, Where is the toilet?@
@aia i hea kahakai?@|@Where is the beach?@
@aia i hea ko'u lumi?@|@Where is my room?@
@Aia i hea…?@|@Where is…?@
@akâ@|@but@
@akahele@|@to be careful of@
@akahele@|@be careful of@
@akamai@|@In most common usage@
@akamai@|@intelligent@
@ake@|@liver@
@äkea@|@wide@
@akemama@|@lung@
@ako@|@roof@
@aku@|@tuna, fish (a kind of)@
@aku@|@mackerel, away@
@akua@|@God@
@akua@|@god, God@
@ala@|@awake, path, road@
@ala@|@awake@
@alahao@|@Train station@
@alahele@|@pathway@
@alahele@|@pathway@
@alaka`i@|@lead@
@alaka`i@|@leader@
@alaloa@|@highway@
@alaloa@|@highway@
@alanui@|@Street@
@alanui@|@street, road, avenue@
@alanui akea@|@avenue@
@alapi`i@|@ascent@
@alelo@|@language, tongue@
@alelo@|@tongue, language@
@alelo@|@language, tongue@
@ali`i@|@headman, noble, royal@
@ali`i@|@royal, boss, leader, superior@
@ali`I Uliuli@|@Bluebloods@
@ali'i@|@Chief@
@aloalo@|@hibiscus@
@aloha@|@mercy@
@Aloha@|@Hello, Goodbye, affection, greeting, love, welcome@
@aloha `aina@|@love of the land; nurture and care for the land@
@Aloha 'ahiahi@|@Good night@
@Aloha 'ahiahi@|@Good evening@
@aloha 'aina@|@Love of the land@
@Aloha 'auinala@|@Good afternoon@
@Aloha au i Hawai`i!@|@I love Hawai`i!@
@Aloha Au Ia 'Oe@|@I love you@
@Aloha kakahiaka@|@Good morning@
@Aloha kakahiaka aku@|@good morning (1)@
@Aloha kakahiaka nui@|@good morning@
@Aloha kakahiaka!@|@Good morning!@
@Aloha No Au Ia 'Oe@|@I love you@
@Aloha pó@|@Good night@
@aloha pö@|@good night@
@aloha pumehana@|@affection@
@aloha`ino!@|@alas@
@Aloha!@|@Hello!@
@Aloha!@|@Farewell!@
@Aloha!@|@Goodbye!@
@Aloha!@|@Greetings!@
@ama@|@outrigger float@
@ama@|@long piece of wood on side of outrigger canoe@
@ana@|@measure@
@ana@|@cave, den, grotto@
@ana@|@cavern@
@anahulu@|@ten@
@anaina@|@audience@
@aniani@|@glass@
@aniani@|@mirror@
@anu@|@cool, cold@
@anu[anu]@|@cold (not hot)@
@anuanu@|@cold@
@anuanu@|@cold@
@ânuenue@|@rainbow@
@ao@|@earth@
@ao@|@day, cloud, to regard with reverence@
@Aohe ou hilahila?@|@Are you not ashamed?@
@apau@|@all@
@apau@|@all@
@apo@|@circle@
@apolima@|@bracelet@
@apolima@|@bracelet@
@au@|@I@
@au@|@age, time period; I@
@auê@|@alas, regrettably, unfortunately@
@auë@|@oh!, wow!, alas!@
@aue!@|@alas@
@aupuni@|@government, country@
@aupuni@|@government@
@awa@|@harbor, port@
@awaawa@|@Valley@
@awakea@|@noon, noontime@
@awakea@|@midday, noontime@
@bia@|@beer@
@boe@|@boy@
@dashi@|@Japanese soup stock@
@dia@|@deer@
@dia@|@dear@
@e@|@do something@
@e@|@do (something)@
@E `ölelo mälie@|@please speak more slowly@
@E `olu `olu `oe@|@Please@
@E `olu`olu@|@One ticket to...please@
@E 'ai ka-kou (pl)@|@bon appetit@
@E 'ai ka-ua (dl)@|@bon appetit@
@E hele ana `oe ihea?@|@Where are you going?@
@e käkau iho 'oe@|@please write it down@
@e kala mai ia`u@|@absolution, pardon@
@e lawe mai palapala kú`ai ko`u@|@Please bring the bill@
@e like `ole me ka mea mau@|@irregular@
@E puka aku ai@|@To go out@
@E'olu'olu@|@please@
@ea@|@air@
@ea@|@air@
@eaea@|@air@
@Ehia `ai`é `au iá`oe?@|@How much is the fare?@
@Ehia kálá kéia kumu kú`ai?@|@How much does this cost?@
@ehu kai@|@Whitecaps@
@emi@|@cheap@
@emi@|@ebb, cheap@
@eo@|@yes@
@gau gee@|@Small Chinese dumplings@
@grind (grine)@|@To eat@
@grinds (grindz)@|@Local food@
@gyoza@|@Small Japanese dumplings@
@hä@|@to breathe, four@
@ha`aheo@|@proud@
@ha`alele@|@to abandon (something); to leave a place@
@ha`alele@|@to leave a place@
@ha`anui@|@boast@
@ha`awi@|@deal (apportion)@
@hâ`awi@|@give@
@hä`awi@|@to give@
@hâ`awi mai@|@give me@
@ha`awina@|@lesson@
@ha`awina@|@lesson@
@ha`i@|@inform, say, tell@
@ha`i@|@to inform, to tell, to reveal@
@ha`i`olelo@|@address (speech)@
@ha`iha`i@|@converse@
@ha`ina@|@solution (answer)@
@hâ`ule@|@fall@
@hä`ule@|@to fall@
@há`ule lau@|@Fall@
@hä`ule lau@|@autumn, fall@
@hä'ule@|@to fall@
@ha[paha]@|@fourth@
@Hah!@|@Oh no!@
@hahai@|@follow@
@hahai@|@accompany, follow@
@hahana@|@warm@
@hahau@|@to hit@
@hainaka@|@handkerchief@
@haka@|@shelf@
@hakai@|@to hunt@
@hakakâ@|@fight@
@hakakä@|@fight@
@haki@|@one@
@haku@|@compose@
@haku hale wahine@|@landlady@
@haku mele@|@musician (composer)@
@hala@|@passed by@
@hala@|@passed by, pass; flower of the hala@
@hala-kahiki@|@pineapple@
@halau@|@A hula school, Long house@
@halau@|@meeting house@
@halau@|@long house (as for canoes or hula instruction)@
@hale@|@building, house@
@hale@|@building, house@
@hale `aina@|@Restaurant@
@hale `aina@|@cafe@
@hale `aina@|@restaurant, cafeteria@
@hale `ui waiu@|@dairy@
@hale há`ike`ike@|@Museum@
@hale ho`okomo kini@|@cannery@
@hale ho`oulu mea kanu@|@greenhouse@
@hale hu`ai puke@|@bookstore@
@hale ipukukui@|@lighthouse@
@hale ka`a@|@garage@
@hale ki`i`oni`oni@|@movie theatre@
@hale kú`ai@|@Store@
@hale kü`ai@|@store@
@hale kú`ai lá`au@|@Pharmacy@
@hale kü'ai@|@shop@
@hale kula@|@school building@
@hale leka@|@post office@
@hale leka@|@Post office@
@hale lole@|@tent@
@hale ma`i@|@Hospital@
@hale máka`i@|@Police station@
@hale manu@|@bird house@
@hale pe`a@|@tent@
@hale pule@|@church@
@hale pule@|@Church@
@hale waihona puke@|@library@
@hale`aina@|@restaurant@
@Haleakalä@|@Volcano on the island of Maui@
@haleka`a@|@garage@
@haleki`i`oni`oni@|@movie theatre@
@halekû`ai@|@store@
@halekula@|@school building@
@haleleka@|@post office@
@halepe`a@|@tent@
@halepule@|@church@
@haleu@|@wipe@
@hâli`i@|@spread out@
@häli`i@|@spread out (mat, blanket)@
@halihali@|@carry, transport (cargo, baggage)@
@halihali@|@carry@
@hámama@|@Open@
@hämama@|@to yawn@
@hämama@|@open, unobstructed@
@hame@|@ham@
@hana@|@make, bay, to work@
@hana@|@work@
@hana@|@labor, work@
@hana `ino@|@mistreat@
@hana ho`ohanohano@|@ceremony@
@hana hou@|@again@
@hana hou@|@To do again, afresh, again, all over again, anew@
@hana keaka@|@play (drama)@
@hana kuli@|@noise@
@hana lima@|@homemade@
@hana`ino@|@mistreat@
@hânai@|@raise, adopted@
@hänai@|@feed, raise (animals, people); hänai child@
@hänai@|@adopted child@
@hânau@|@give birth@
@hänau@|@to give birth@
@Hanau `ia Kristo ka haku@|@Christ the Lord is born@
@hane`e ka mauna@|@landslide@
@hanele@|@one hundred@
@haneli@|@one hundred@
@hanini@|@to be spilled@
@hanini@|@to be spilled@
@hanu@|@breath@
@hanu@|@to breathe@
@hanua@|@to give birth, bear@
@hao@|@iron@
@hao@|@iron@
@haole@|@caucasian (esp. American)@
@haole@|@White person, Caucasian@
@haole@|@White person, White man@
@hapa nui@|@majority@
@hapa u`uku loa@|@minimum@
@hapahâ@|@quarter@
@hapahä@|@quarter@
@Hapahá á kahi@|@A quarter till two@
@hapai@|@to bear, give birth@
@häpai@|@to conceive@
@häpai@|@pregnant, carry, lift@
@häpai@|@to conceive@
@hapalua@|@half@
@hapalua@|@half@
@hapanui@|@majority@
@Hapenuia!@|@Happy New Year!@
@hâpu`u@|@tree fern@
@häpu`u@|@fern (a kind of)@
@hau@|@ice@
@hau@|@ice, dew, snow@
@hau`oli@|@happy, fun@
@hau`oli@|@happy@
@Hau`oli lá hánau!@|@Happy Birthday!@
@Hau'oli Lä Hänau@|@happy Birthday@
@hauhole@|@White man@
@haukalima@|@Ice cream@
@haumâna@|@student@
@haumäna@|@student@
@haumia@|@unclean@
@haupia@|@coconut pudding@
@haupia@|@coconut pudding@
@hawa@|@unclean@
@Hawai'i pono'ï@|@Hawaii's own@
@he@|@a@
@he@|@a, an@
@He `ono!@|@delicious!@
@He `upena@|@A fish net@
@He aha kéia hua`ólelo hawai`i?@|@How do you say this in English@
@He aha kéia?@|@What is this?@
@He aha?@|@What?@
@He hâpu`u@|@A grouper (fish)@
@He hâpu`u@|@A tree fern@
@He i`a ko ke kai@|@A fish in the sea@
@He ipu no he po`i@|@A container a lid@
@He lâ`au ko uka@|@A tree in the upland@
@he li`ili`i@|@a little@
@He lumi haka ka`u?@|@Is there vacancy for tonight?@
@He mea iki@|@You're welcome, It's no trouble@
@He moa kâne@|@A rooster@
@He niu@|@A coconut@
@he pakela ai au@|@I ate greedily@
@he`alele@|@Departure@
@he`e umauma@|@body surfing@
@he`i@|@papaya@
@he...@|@have ("he pattern")@
@hea@|@where (always i hea, etc.)@
@hea@|@where@
@Heaha ko kela puu pahi umiumi@|@I1d yams and fish for two days@
@heiau@|@place of worship or a shrine@
@heihei@|@race@
@heihei@|@race@
@hekili@|@thunder@
@hele@|@To go, go, to walk@
@hele@|@to go, come, walk@
@hele i mua@|@advance@
@hele ma kela `ao`ao@|@intersection (of streets)@
@hele mai@|@come@
@hele pu@|@accompany@
@Hele wawai o ka malamalama@|@I am walking in the light@
@helehelena@|@face@
@helele`i@|@throw off, shed@
@helemai@|@to come@
@heleuma@|@anchor@
@helu@|@number@
@helu@|@volume (book)@
@helu@|@to count@
@heluhelu@|@to read@
@heluhelu@|@read@
@hema@|@south, left@
@hema@|@Left@
@hemahema@|@awkward@
@hemahema@|@awkward (in doing something), unskilled@
@hemo@|@loose, unfastened@
@hemo@|@loose@
@hemolele@|@famous@
@hemolele@|@glorious@
@hepa@|@idiot, dunce@
@hi`ui`a@|@fern (type of)@
@hiamoe@|@sleep@
@hiamoe@|@asleep, sleep@
@hiapo@|@first born child@
@hiapo@|@first born child@
@hie@|@attractive (looking)@
@hihia@|@case (court)@
@hihia@|@involve@
@hihio@|@draft (air)@
@hiki@|@appear@
@hiki@|@able, possible; arrive@
@hiki@|@ability@
@hiki@|@arrive@
@hiki (no)@|@alright@
@hiki [no]@|@alright@
@hiki mua@|@early@
@hïki'i@|@to tie up@
@hiku@|@seven@
@Hiku mau hola `umi-kúmá-kolu@|@Seven thirteen@
@hila@|@heel@
@hilahila@|@ashamed, embarrassed, shy@
@hilahila@|@embarrassed, shy@
@hîmeni@|@sing@
@hina@|@white (of hair)@
@hina moe@|@to lie down@
@hinaka@|@handkerchief@
@hînano@|@flower of the pûhala@
@hïnano@|@male flower of the hala@
@hinuhinu@|@shiny@
@hio@|@gust (as wind)@
@hiö@|@fall sideways, lean, slant@
@hiolo@|@fall, tumble@
@hipa@|@sheep@
@hipa@|@sheep@
@Hipahipa!@|@Cheers!, Hip hip (hoorah)!@
@hô@|@hoe@
@ho`â@|@turn on@
@ho`ä@|@turn on (light, electrical)@
@ho`a`o@|@attempt, effort@
@ho`ahewa@|@accuse@
@ho`ahu@|@accumulate@
@hô`ailona@|@symbol@
@hö`ailona@|@sign, symbol@
@ho`aina@|@tenant@
@ho`akaaka@|@explain@
@ho`âla@|@wake up@
@ho`äla@|@to wake up (someone)@
@ho`alohaloha@|@friendly@
@ho`apono@|@accept@
@hó`ea@|@Arrival@
@ho`eha`eha i ka na`au@|@heartbreaking@
@ho`emi@|@reduce@
@ho`i@|@go back@
@ho`i@|@to go back, return@
@ho`i mai@|@come back@
@ho`i`ê@|@absolutely, genuinly, indeed, really, truly@
@Ho`iho`i i ka wai@|@Return to the water@
@ho`ike@|@announce@
@ho`ili`ili@|@accumulate, collect, assemble@
@ho`ino wale@|@damn@
@ho`o pôuliuli@|@Blackout@
@ho`o`u`uku@|@reduce@
@ho`ohâlike@|@compare@
@ho`ohälike@|@to compare@
@ho`ohana@|@administer@
@ho`ohanohano@|@honor@
@ho`ohau`oli@|@to have fun, to do fun things@
@ho`ohau`oli@|@have fun@
@ho`oholo@|@administer@
@ho`ohui@|@add@
@ho`ohuli@|@turn something over@
@ho`oili@|@download, offload@
@ho`oilo@|@Winter@
@ho`oilo@|@winter@
@hô`oio@|@show off@
@ho`okahi@|@one amount, one@
@ho`okahi@|@one (amount)@
@ho`okahi haneli@|@hundred (100)@
@ho`okahi haneli@|@one hundred@
@ho`okahi kikiki i...@|@One ticket to...please@
@ho`okani@|@play (music)@
@ho`okano@|@conceited@
@ho`okano@|@think you are too good@
@ho`oke`oke`o@|@bleach@
@ho`okipa@|@invite in guests, treat hospitably@
@ho`okipa@|@treat hospitably@
@ho`okolohe@|@annoy@
@ho`okolohe@|@amuse@
@ho`okomo@|@insert@
@ho`okomo@|@admit (allow access)@
@ho`oku`i@|@to join things together@
@ho`okui@|@add@
@ho`ola@|@heal@
@ho`olaule`a@|@celebrate@
@ho`olauna@|@introduce@
@ho`olauna@|@to introduce (someone)@
@hô`ole@|@negate@
@hö`ole@|@deny, say no, negate@
@ho`ole`ale`a@|@amuse@
@ho`olewa@|@funeral@
