@Kutchi@|@English@
@kando@|@thorn@
@kar@|@do@
@katchi@|@unripe@
@katcho@|@raw@
@katthan@|@hard@
@kayiryo@|@stung@
@keri@|@mango@
@kero@|@banana@
@khaa@|@eat@
@khaadi@|@ate (female)@
@khaado@|@ate@
@khaaro@|@bitter@
@khaawo@|@rice@
@khabar@|@news@
@khai ti@|@eating (female)@
@khai to@|@eating@
@kharaab@|@bad@
@khatto@|@sour@
@kheer@|@milk@
@khenjo@|@food@
@kheti@|@field, plough@
@khhape@|@want@
@khil@|@laugh@
@khilanjo@|@to laugh@
@khileti@|@laugh (female)@
@khileto@|@laugh@
@khiso@|@pocket@
@kholyo@|@opened@
@khotta@|@lies@
@khotta bolo@|@liar@
@khullo@|@open@
@kidaa@|@where?@
@kiroryo@|@spider@
@kothri@|@bag@
@kukro@|@cock@
@kurkuryo@|@crispy@
@kuro@|@what?@
@kursi@|@chair@
@kutti@|@bitch@
@kutto@|@dog@
@laadi@|@bride@
@leeli@|@green@
@leelo@|@wet@
@leeti@|@line@
@limboo@|@lemmon@
@loh@|@metal@
@loogro@|@cloth@
@lotanjo@|@lieing down@
@lugraa@|@clothes@
@maa@|@mother@
@maaf@|@forgive@
@maalik@|@owner@
@maandwi@|@groundnuts@
@maar@|@hit@
@maarhu@|@man@
@maaru@|@beatings@
@maasi@|@maternal aunt@
@macchar@|@mosquito@
@macchi@|@fish@
@maddh@|@honey@
@maddh makkhi@|@honeybee@
@magaj@|@mind@
@majboot@|@strong@
@makkh@|@fly@
@malaai@|@cream@
@mama@|@maternal uncle@
@marivyo@|@died@
@marr@|@die@
@matthe@|@top@
@mattho@|@head@
@mee@|@rain@
@mijaaj@|@attitude@
@minjo@|@mine, my@
@minna@|@cats@
@minni@|@female cat@
@minnu@|@male cat@
@mirchaa@|@chillies@
@mittee@|@dust@
@mittho@|@sweet@
@mokal@|@send@
@moklaaito@|@sending@
@moklaanjo@|@to send@
@moro@|@tasteless@
@muh@|@face, mouth@
@murgi@|@hen@
@murgo@|@chicken@
@mwaara@|@hair@
@mwucchyu@|@moustache@
@naa@|@no@
@naana@|@maternal grandfather@
@naani@|@maternal grandmother@
@nak@|@nose@
@nakh@|@nail(s)@
@nakto@|@stubborn@
@neeche@|@down@
@nerr@|@eyebrow@
@nijar@|@sight@
@nindho@|@small@
@nu@|@nine@
@ograai@|@burp@
@ojri@|@gizzard@
@ollo@|@dove@
@ooddhi@|@termites@
@oolti@|@vomit@
@oonderaa@|@rats@
@oondero@|@rat@
@oondho@|@inverted@
@oondo@|@deep@
@paad@|@fart@
@paadyo@|@farted@
@paalyo@|@faggot@
@paanha@|@stones@
@paanhu@|@stone@
@paani@|@water@
@paanjo@|@our (for 2)@
@pacchi@|@after, then@
@pagg@|@leg@
@pahaar@|@mountain@
@paisaa@|@money@
@paivyo@|@fell@
@pakyo@|@ripened@
@palang@|@bed@
@panj@|@five@
@pankho@|@fan@
@pannaa@|@leaves@
@pannu@|@leaf@
@papiyo@|@pawpaw@
@pardaa@|@curtain@
@pardo@|@veil@
@parh@|@study@
@patyo@|@finished@
@pawan@|@wind@
@pe@|@father@
@pee@|@drink@
@peedho@|@drunk@
@peero@|@yellow@
@peni@|@heel@
@peranjo@|@wearing@
@peri gin@|@wear it@
@perwaas@|@gear@
@pesaab@|@urine@
@pesaani@|@forehead@
@pett@|@stomach@
@phaako@|@hole@
@phataaphat@|@fast@
@phoinaa@|@nostrils@
@phoinu@|@nostril@
@phool@|@flower@
@phoos@|@fart@
@pidhelo@|@drunk@
@pinjro@|@cage@
@pocho@|@soft@
@pootth@|@anus@
@qwaaro@|@bachelor@
@raaru@|@scream@
@raaru paareto@|@screaming@
@raat@|@night@
@ramanjo@|@play@
@rameti@|@playing (female)@
@rameto@|@playing@
@ras@|@juice@
@rasto@|@road@
@ratto@|@red@
@ringraa@|@eggplant@
@roji@|@sustenance@
@rojo@|@to fast@
@rooni@|@will cry (female)@
@roonjo@|@to cry@
@roonu@|@will cry@
@rweti@|@crying (female)@
@rweto@|@crying@
@saabu@|@soap@
@saadi@|@wedding@
@saainu@|@soup@
@saalo@|@brother in-law@
@saaro@|@good@
@saaveni@|@broom@
@sanaas@|@toilet@
@sanjo@|@afternoon@
@sanni@|@thin (female)@
@sannu@|@thin@
@saram@|@ashamed@
@sataap@|@trouble@
@sataapeti@|@troubling (female)@
@sataapeto@|@troubling@
@satt@|@seven@
@satthar@|@thigh@
@savaar@|@morning@
@sayb@|@apple@
@sedaa@|@mucus@
@seedho@|@straight@
@seeryo@|@metal rod@
@sefaa@|@sieve@
@sipaai@|@police@
@sisori@|@whistle@
@sitaaro@|@star@
@soogandh@|@scent@
@soopri@|@dustpan@
@sootto@|@slept@
@sopaari@|@beetlenut@
@soram@|@fragrance@
@soti@|@whip@
@staapri@|@latch@
@sum@|@sleep@
@sumanjo@|@sleep@
@sumeti@|@sleeping (female)@
@sumeto@|@sleeping@
@sun@|@listen@
@suneto@|@listening@
@suwar@|@pig@
@swee@|@needle@
@taachni@|@quarterpin@
@taarh@|@telegram@
@taari@|@clap@
@taaro@|@star@
@taaw@|@fever@
@tablaa@|@drums@
@takleef@|@difficulty@
@takyo@|@pillow@
@tamaacho@|@slap@
@tambhaaro@|@rooster@
@tapelo@|@heated@
@taryo@|@sweet melon@
@tej@|@sharp@
@tel@|@oil@
@thai vyo@|@done@
@tikkho@|@spicy@
@til@|@mole@
@tojo@|@your@
@toke@|@your@
@tooti vyo@|@broke@
@topi@|@cap@
@ttakaan@|@tiredness@
@ttakhyo@|@tired@
@tthoso@|@punch@
@ttre@|@three@
@ttri@|@thirty@
@tu@|@you@
@ubbh@|@stand@
@ubbho@|@erect, standing@
@udaa@|@there@
@utthanjo@|@awaken@
@utthelo@|@awake@
@utthyo@|@awoke@
@vaandro@|@monkey@
@vaaso@|@back@
@vaddo@|@big@
@vagaai@|@play@
@vakhat@|@time@
@vaww@|@daughter in-law@
@veh@|@sit@
@vetthi@|@sitted@
@vi@|@twenty@
@vich me@|@inbetween@
@vin@|@go@
@vineto@|@going@
@vyo@|@went@
@yaad@|@rememberance@
@yaad kar@|@remember@

