@English@|@Buryat@
@bare@|@nüsege(n)@
@bark@|@durhan@
@barley@|@arbaj@
@barred owl@|@begserge@
@barrel@|@torxo@
@barrier made of pointed sticks@|@šürge@
@be afraid of@|@sošo-@
@be broken@|@butar-@
@be clingy@|@nildaj-@
@be cold@|@bëre-@
@be disgusted@|@žegše-, žerxe-@
@be ended@|@hüne-@
@be fragile@|@xürxej@
@be greedy@|@šuna-@
@be heated@|@igä-@
@be in ambush@|@marä-@
@be inserted@|@šegede-@
@be located@|@baj@
@be mixed up@|@üjme-@
@be stretched@|@tenï-@
@be troubled@|@buxinda-@
@be wet@|@noro-@
@beak@|@xušün@
@beat@|@togšo-@
@beautiful@|@hajxa(n)@
@become cold@|@dära-@
@become old@|@xaraši-@
@become quiet@|@ami(n)@
@become thin@|@neter-@
@become wet@|@debte-@
@bee@|@zügy@
@beetle@|@soxo@
@before@|@türü(n)@
@beginning@|@eše@
@believe@|@šüte-@
@bell@|@xonxo@
@bellows@|@xörge@
@belly muscles@|@xanšar@
@below@|@doro, döro@
@belt@|@behe@
@bent@|@toxir@
@berserk@|@gani(g)@
@beyond@|@sä-@
@bifurcation@|@asa@
@big@|@jexe@
@big belt@|@belxenseg@
@big fire@|@tüjmer@
@big span@|@tö@
@bilberry@|@nerhe(n)@
@bind together@|@xolbo-@
@birch bark@|@üjhe(n)@
@birch tree@|@xuha(n)@
@bird@|@šubü(n)@
@bird net@|@urxa@
@bird-cherry@|@mojhon@
@birthday@|@miläng@
@bitter@|@exün, gašün@
@bitter life experience@|@xala@
@blab@|@šalšagana-@
@black@|@xara@
@black grouse@|@xura@
@blade@|@er@
@blanket@|@xünžel@
@blind@|@hoxor@
@block@|@nüle, xorö(n)@
@blood@|@cusn, šuha(n), šuhan@
@blood clot@|@büling@
@bluish@|@xüjlen@
@blunt@|@molxi@
@boastful@|@xörxü@
@body@|@bodo@
@bolt@|@šagta@
@bone@|@jaha(n), jangarxaj@
@bone callosity@|@bordigor@
@bonfire@|@nurma, tüdeg@
@boot-top@|@türï@
@boot-tree@|@xelberi@
@border@|@xizär@
@bosom@|@über@
@bottom@|@ojör@
@bough@|@gasür@
@bow@|@mata-, nomo, tonggoj-@
@box for dishes@|@üxeg@
@bracelet@|@bugäg@
@branch@|@gešü(hen)@
@brass@|@sad@
@brave man@|@häxalzür@
@break through@|@delbel-, delber-@
@breast@|@sëže, übsü(n), üre@
@breed@|@ülter@
@breeding reindeer@|@sagän@
@bride's small braid@|@habiga@
@bridge@|@xürge@
@bridle@|@xazär@
@bristle@|@šerxeg@
@broad and thick@|@barba-@
@broil@|@šara-@
@broth@|@zutan@
@brushwood@|@darxi@
@bubble@|@seberü@
@bucket@|@hülga@
@bulb@|@bulsü@
@bullfinch@|@zana@
@bumble-bee@|@xedegenë@
@bump@|@ber@
@burbot@|@gutär@
@burned smell@|@xorboho(n)@
@bush@|@hög@
@bushes@|@buta@
@butterfly@|@erbexej@
@buttock@|@bügse@
@button@|@tobšo@
@button loop@|@šelbe@
@cage@|@tor@
@calf@|@tugal@
@calf (1 year old)@|@burü@
@call@|@oril-@
@calm@|@tajban@
@camel@|@temë(n)@
@canyon@|@xümeg@
@carbine@|@dägan bü@
@care@|@gabjä@
@careless@|@nazgaj, nazgajr-@
@carpal joint (of animals)@|@xagdü@
@carpenter's axe@|@tarbagaj hüxe@
@carry on one's back@|@aša-@
@carving@|@gurba@
@cast iron@|@šerem@
@castrated@|@agta@
@castrated he-goat@|@hïneg@
@cattle@|@adaha(n), adüha(n), adün@
@causeway@|@dugy@
@cavity@|@xongö@
@cease@|@boli-@
@cemetery@|@xür@
@central pole@|@bagana@
@centre@|@gol@
@chaff@|@xebe@
@character@|@üzeg@
@charcoal@|@nürhe(n)@
@chart@|@xüsneg@
@chase@|@aba@
@cheap@|@ximda@
@cheek@|@xasar@
@cheekbone@|@šanä@
@chest part of animal skin@|@xömej@
@chew@|@ümxe-@
@chin@|@erü, ürge(n)@
@chipmuck@|@žerxi@
@chute@|@gobil@
@clavicle@|@omorü(n)@
@clay@|@šabar@
@clean@|@arün@
@clever@|@sesen@
@cling to@|@aha@
@close@|@xä-@
@close to@|@xabada, xabär@
@cloth@|@barän@
@cloth for cleaning@|@aršül@
@clothes@|@xunar@
@cloud@|@üle(n)@
@cloudless@|@šalgar@
@club-footed@|@dajbagar@
@coat@|@daxa@
@coffin@|@xürcag@
@coffin made of birch-bark@|@xuldäha(n)@
@coin@|@zös@
@cold@|@xüjten@
@cold wind@|@xabsarahä@
@collarbone@|@ëm@
@collect@|@tü-, xumi-, xurä-@
@colophony@|@želï@
@colostrum@|@ürag@
@colour@|@üngge@
@come near@|@xalaj-@
@come to one's senses@|@teler-@
@completely@|@taha@
@conceal@|@nü-@
@conceited@|@mädagar, mejën@
@cone@|@borbösgoj, tobxo, törsog@
@confirm@|@soxom (adverb)@
@conflict@|@ximar-@
@convex@|@tobogor, tobxogor@
@co-operation@|@eb@
@coral beads@|@šüre@
@corner of the eye@|@zubxi@
@correct@|@ünen, xehë-@
@count@|@tö(n)@
@counter@|@dalan@
@courser@|@xüleg@
@cousin@|@büle@
@cover of roof-window@|@ürxe@
@cow@|@ünë(n)@
@crack@|@zabag@
@cranky@|@irba-@
@crayfish@|@xabšäxaj@
@cream@|@ezgej, süsegy@
@crest@|@delben, herbë@
@crime@|@erüdelge@
@crops@|@tarä(n)@
@cross a mountain@|@daba-@
@cross one's way@|@amada-@
@cross-beam@|@huma@
@cross-bow@|@häli@
@crosswise@|@xündelen@
@crotch@|@xahä@
@crow@|@turläg@
@crumple@|@ünge-@
@crush@|@nüde-@
@cup@|@ajaga, tagša@
@cupboard@|@ergeneg@
@curly (of hair)@|@buržagar@
@curve@|@murü@
@cushion@|@dere@
@cushion for sitting@|@olbog@
@cut small@|@kirma-@
@cuttability@|@däsa@
@cycle year@|@žel@
@damage@|@xoxi@
@dandelion@|@namnä@
@dark@|@balaj, balar@
@dark brown@|@xüri(n)@
@dark spots on neck@|@zagal@
@darkening@|@bürül, bürür@
@daughter@|@üxin, xüge(n)@
@daughter-in-law@|@beri@
@dawn@|@ür@
@day@|@üdür@
@daylight@|@gegë(n)@
@dead body of animal@|@ulaj@
@deaf@|@dülij@
@deal@|@xubi@
@debt@|@üri@
@deceit@|@mexe@
@deep@|@gün@
@deep water@|@sel@
@defect@|@gem@
@degree@|@xire@
@delicate@|@tangil@
@demon@|@bug@
@dense@|@nigta@
@depilated skin@|@xüm@
@descendant@|@üri@
@desert@|@xere@
@device for processing skins@|@xederge@
@diarrhoea@|@šeše-, šešehe(n)@
@different@|@ondö@
@direct@|@udarida-@
@direction@|@züg@
@dirt@|@bäha(n), laj, xir(e)@
@disentangle@|@mülterxej@
@dissolve@|@šenge-@
@distinct@|@todo@
@distinguish@|@ilga-@
@disturbed@|@almaj@
@divination@|@tüleg@
@dizzy@|@ulü@
@dog@|@noxoj@
@donation@|@ürgel@
@donkey@|@elžege(n)@
@door@|@üde(n)@
@double bone (of animals)@|@šïre@
@doubt@|@sežig@
@doubtless@|@damžag-guj@
@down@|@nabtar, nölür@
@dowry@|@anza@
@dream@|@züde(n)@
@dregs@|@süb@
@dress@|@xubsaha(n)@
@dried fruit@|@šabga@
@dry@|@argün, xüraj@
@dry dung@|@xoxir@
@duck@|@nugaha(n)@
@duck-hawk@|@xulda@
@dust@|@törog@
@duty@|@alba(n)@
@each@|@büri@
@ear@|@šexe(n)@
@ear of needle@|@hübe@
@early@|@erte@
@ear-ring@|@hïxe@
@earth@|@šoröj@
@East@|@zü(n)@
@edge@|@erimeg, üzür, xajä, xažü@
@edible root@|@tümhe(n)@
@educate@|@teže-@
@egg@|@ündege(n)@
@elbow@|@toxoj@
@elder brother@|@axa@
@elder sister@|@egeše@
@elk@|@xandagai@
@elm@|@xajläha(n)@
@emaciated@|@doroj@
@employ@|@zara-@
@empty@|@xanxaj-@
@empty place@|@gubi@
@enclosure@|@xašä@
@end@|@hül@
@end of arrow@|@zebe@
@energy@|@edi@
@entertainment@|@zugä@
@enthusiasm@|@urma(n), urmas@
@entirely@|@bult(an), süme@
@entrails of animals@|@hebhe(n)@
@envy@|@xara@
@ermine@|@üjeng@
@evening@|@üdeše@
@every kind of@|@eldeb@
@everything@|@büxy@
@examine@|@šü-@
@example@|@xe@
@excessively@|@xete@
@exchange@|@doli-@
@excrement@|@argal@
@excrements@|@xorgödoho(n), xorgöho(n), xorgöl@
@extreme@|@lab@
@extremely@|@maša@
@extremity@|@müse, tujl@
@exuviate@|@ongo-@
@eye@|@nüde(n)@
@eye pus@|@nütaj-@
@eyebrow@|@xümedxe@
@eyelash@|@hormoho(n)@
@face@|@núr, nür@
@facing@|@degel@
@fade away@|@müxe-@
@faeces of young animals@|@zungag@
@family@|@obog@
@fan@|@debür@
@far@|@xolo@
@far away@|@alas@
@far off@|@bujda@
@farrow@|@bajtaha(n)@
@fart@|@ungaha(n)@
@fast@|@masag@
@fasten@|@todxor@
@fat@|@öxe(n)@
@fat on liver@|@hemže@
@father@|@aba, esege@
@fathom@|@alda@
@favourable circumstances@|@aj-dar, aja@
@feather@|@gürs(an), üde(n)@
@feather-grass@|@xalaxan@
@felt@|@hegej, hejy@
@felt walls@|@türga@
@female animal@|@hubaj@
@female deer@|@hogö(n)@
@female of animals@|@ülegšen@
@female of mountain ram@|@argali@
@female shaman@|@udagan@
@fence@|@šebë@
@ferocious@|@došxon@
@ferry-boat@|@xülgen ongoso@
@fetters@|@šüder@
@few@|@šödej, üsö@
@fifty@|@taba(n)@
@file@|@üre-, xüraj, xürö@
@finger flip@|@naha@
@finger-nail@|@xumha(n)@
@finish@|@zogso-@
@fire@|@gal@
@fire steel@|@xete@
@fire-brand@|@susal@
@first snow@|@xarmag, xirmag@
@fish@|@zagaha(n)@
@fish glue@|@sabü(n)@
@fish roe@|@türhe(n)@
@fist@|@nudarga@
@fit@|@zoxi-@
@flame@|@düle(n), düre-, dürge-, zali@
@flank@|@hübö@
@flat of hooves@|@xomi-@
@flat-nosed@|@nagsagar@
@flee@|@güj-, tergede-, tergel-, terjel-@
@fling@|@šede-@
@flippant@|@hadan@
@flour@|@guril@
@fly@|@bataganä(n), ilähan, nïde-@
@flying squirrel@|@olbo@
@foal up to one year old@|@unaga(n)@
@fog@|@budan, mana(n), manang@
@fondle@|@täla-@
@fontanelle@|@zulaj@
@foot@|@xül@
@for the sake of@|@tula@
@ford@|@olom@
@forehead@|@duxa, magnaj, manlaj, soxo@
@foreign@|@xari@
@fork@|@habar@
@fortress@|@balgäha(n)@
@forty@|@düše(n)@
@fountain@|@ondoli@
@four@|@dürbe(n)@
@fox@|@ünege(n)@
@fragile@|@xebreg@
@fraud@|@ob@
@frazil@|@hüng@
@fresh@|@herün@
@fresh grass@|@alirhan@
@freshet@|@üjer@
@fried flour@|@šamarha(n)@
@friend@|@anda, nüxer@
@frightened@|@ürge-@
@frog@|@melxej@
@frolic@|@agšan, alä@
@front (of cloth)@|@enger@
@front legs@|@xa@
@front part of the throat@|@gürö@
@frontier@|@haba@
@fruit stone@|@seme-@
@fry@|@xüra-@
@frying-pan@|@jala@
@full@|@düren@
@full moon@|@terged hara@
@funnel@|@töno@
@fur hat@|@malgaj@
@fur on animal's paws@|@godod, godon@
@gall@|@hülhen@
@gambol@|@toglo-@
@game@|@bulgan, güröhe(n)@
@gap@|@zabhar@
@gelded goat@|@herxe@
@geranium@|@azargana@
@get left@|@ülde-@
@get oedema@|@šala-, šelden (adj.), šele-@
@get tired@|@alžä-@
@gills@|@hamäg, žanggär@
@gimlet@|@ürem@
@gingerly@|@bolgö-@
@girl@|@basagan@
@give!@|@ale@
@gland@|@bulšarxaj@
@glass rim@|@xürë@
@gleam@|@tujä(n)@
@glorify@|@magta-@
@gloves@|@bëlej@
@good@|@gö, gojo, hajn, hajn@
@good quality@|@olig@
@goose@|@galü(n)@
@gorge@|@oni@
@grass@|@übhe(n)@
@grasshopper@|@sarsä@
@grave hill@|@obö@
@grayling@|@xadaran@
@green@|@xüxe@
@green meadow@|@zülge@
@grey@|@boro@
@grey of hair@|@büral@
@grind@|@tata-@
@gristle@|@menggërhe(n)@
@groove@|@xobö, xobol@
@gross@|@golï-@
@group@|@anggi@
@gruel@|@budä@
@guard@|@haxi-, mana-@
@guileless@|@xongor@
@guilt@|@balä, zeme@
@gull@|@axüna@
@gulp@|@balga@
@gun's cock@|@šabxa@
@hack@|@öle-@
@hair@|@ühen@
@hair attached to a metal ring@|@tebeg@
@hair on temples@|@hanšag@
@hairlock on the temples@|@hanšag@
@half@|@xaltagaj, xeltel-, xelter-@
@halter@|@žolö@
@hammer@|@alx(an), dabta-@
@handle of a bucket@|@xiila@
@handle with hole@|@henže@
@hang over@|@najga-@
@happiness@|@žargal@
@hard@|@bata, xatü, xüder@
@hare@|@tülaj@
@harm@|@xoro(n)@
@harmony@|@iragü, najral@
@hasty@|@hadarxaj@
@hate@|@ühö(n), üšörxe-@
@have no power@|@jada-@
@having a white blaze@|@xalsagai, xalzan@
@having scanty hair@|@tašar@
@haystack@|@somö@
@head@|@exi(n), tolgoj@
@headstall@|@nogto@
@healthy@|@mende@
@hear@|@honor@
@heart@|@zürxe(n)@
@heartburn@|@šara@
@hearth@|@gulamta, züxa@
@heaven@|@ogtorgoj@
@heavy@|@xünde@
@heavy rain@|@ädar, borö@
@heel@|@hüjey@
@helmet@|@dülga@
@hemp@|@ulha(n)@
@hen@|@taxä@
@heron@|@xüxe degly@
@high@|@ünder@
@hill@|@böri, böri, borjo-gor, borjo-gor, dobo, gübe, güby-, uxä, xütel@
@hip bone@|@xari, xarta, xarti@
@history@|@tüxe@
@hit@|@deli-@
@hit against smth.@|@haba-@
@hold@|@bari-@
@hole@|@angg(an), hegë, nüxe(n), ongi, sönog@
@hollow@|@on, xöho(n)@
@hollow (n.)@|@xotogor@
@hollow under ice@|@xünxi@
@honour@|@aldar@
@hoof@|@turü(n)@
@hook@|@degë, goxo, goxo, hojö@
@hoop@|@mör(e)@
@hope@|@gori@
@horn@|@eber, über@
@hornless@|@müjde@
@horse@|@mori(n)@
@horseshoe@|@taxa@
@host@|@ezen@
@hot-tempered@|@üla-gar@
@house@|@ger@
@hovel@|@balgän@
@huge@|@abarga@
@hump@|@büxe(n)@
@hundred@|@zü(n)@
@hungry@|@ülen, xomoxoj@
@hurry@|@tebde-@
@I@|@bi, menï (gen.)@
@ice@|@mülhe(n)@
@ice-hole@|@sölgo@
@identical@|@ežel@
@ikire@|@exir@
@illness@|@übešen@
@in a row@|@darä@
@in vain@|@demy@
@infant@|@balšar@
@infection@|@xamšag@
@influence@|@nülö(n)@
@inner@|@arbng, dial@
@inobedient@|@xeder@
@insect@|@šumül, xorxoj@
@inside@|@dosö@
@instantly@|@abahär@
@instrument@|@zebseg@
@intelligence@|@hegë(n)@
@intended (bride)@|@hüjte xubita@
@intent@|@dura(n)@
@intestines@|@gedehe(n)@
@investigate@|@müšxe-@
@invite@|@zala-@
@island@|@alar@
@jackdaw@|@tün@
@jay@|@itag (šäzgaj)@
@jealousy@|@atä(n)@
@jerboa@|@alagdägan@
@join@|@zalga-@
@joint of two rivers@|@belšer@
@joke@|@xošon@
@joss-house@|@hüme@
@juice@|@šeme, šühe(n)@
@junior nephew@|@aša@
@just a little@|@araj@
@keep in confinement@|@xadagal-@
@kettle@|@togö(n)@
@kin@|@ug@
@kite@|@elë@
@knead@|@nuxa-@
@knee@|@tojn, übdeg@
@knee bow@|@taxim@
@knife@|@xotigo, xutaga@
@kolinsky@|@holonggo@
@kumys@|@ajrag@
@lace@|@hagaldarga@
@lake@|@nür@
@lamb@|@xurga(n)@
@land@|@gazar@
@language@|@xele(n)@
@large@|@amba, mandagar, mantagar, mantan@
@large intestines@|@omho(n)@
@lark@|@bolžüxaj, bulžamar, bulžamür, bulžüxaj, xajrgana@
@larva@|@üt@
@larva of a gad-fly@|@gür@
@lasso pole@|@urga@
@last year's grass@|@xagda(n)@
@last year's lamb@|@tülge(n)@
@late@|@xožom@
@laugh@|@miher-@
@lax@|@hula@
@lazy@|@zalxü@
@leaf@|@nabša@
@leaf (of some plants)@|@namä@
@lean@|@gulba-gar@
@lean on@|@tula-@
@leap@|@hür-@
@leather bag@|@tulam@
@leek@|@xalär@
@leisure@|@sülö, zab@
@level@|@nam, tegše, želeger@
@lever@|@xüšürge@
@lewd@|@zalxaj@
@lie in ambush@|@gete-@
@light@|@gerel, šengen@
@light (not heavy)@|@xüngen@
@light brown@|@xongor@
@light-bay@|@häral@
@Lilium tenuifolium@|@haräna@
@linger@|@här-@
@lip@|@ural@
@listen@|@düla-@
@liver@|@elge(n)@
@long@|@u(r)ta@
@lose powers@|@harni-@
@louse@|@böhe(n), büreg@
@louse (of animals)@|@šerxe@
@love@|@durla-, xajra@
@lower part of stream@|@adag@
@luck@|@xešeg@
@lump@|@bula, bulü, bulxaj-@
@lynx@|@šelühe(n)@
@magic@|@dom@
@magpie@|@šäzgaj@
@male mountain antelope@|@öno@
@male sable@|@gende@
@mallet@|@munsa@
@man@|@ere@
@many@|@olon@
@mare@|@gün(g)@
@marriage price@|@hüjte@
@marrow@|@nurga(n), nurü@
@marrow-bone@|@semege(n), šemege(n)@
@marvel@|@gajxa-@
@mat@|@ürmege@
@mate@|@xani@
@maternal relative@|@nagasxaj, nagsa@
@mayflower@|@dolögono@
@meadow@|@talän@
@meadowgrass@|@xilgana@
@meagre@|@tura-@
@meal@|@zög@
@meaning@|@udxa@
@measure@|@xem@
@meat@|@maxa(n)@
@merry@|@xörü@
@method@|@arga@
@middle@|@dunda, teg@
@middle ear@|@xolxi, xulxa@
@mild@|@nomoj, nomxon@
@military raid@|@sür sereg@
@milk@|@hün, ühe(n)@
@mind@|@tarxi, uxä(n)@
@mine@|@ürxaj@
@mirror@|@toli@
@mist@|@unär@
@mistake@|@anda-@
@moisture@|@šïg@
@molar tooth@|@arä(n)@
@mole@|@menge@
@monastery@|@xürën@
@monkey@|@harmagšan, meše(n)@
@moon@|@hara@
@more than@|@garan, ülü@
@mortar@|@ür@
@moss@|@xübxe(n)@
@moth@|@kiben@
@mother@|@eby, exe@
@mother of pearl@|@tana@
@mount@|@una-@
@mountain@|@üla@
@mountain deer@|@maral@
@mountain ridge@|@xübše@
@mouse@|@xulgana, xulganän@
@mouth@|@aman@
@mouthful@|@öšo(n)@
@move closer@|@düxe-@
@move to the side@|@xadüra-@
@move with a lever@|@xüše-@
@mow@|@sabša-@
@mud@|@lag@
@mulberry-tree@|@jalma@
@multiped@|@šïgej@
@muscles@|@bulšan@
@musk@|@zär@
@nail@|@xadäha(n)@
@name@|@nere@
@native place@|@nutag@
@navel@|@xüj, xüjhe(n)@
@near@|@ojro@
@neck@|@xüzü(n)@
@neck cangue@|@dünge@
@needle@|@zü(n)@
@needles of a conifer@|@šelbehe(n), šelbühe(n)@
@nephew@|@zë@
@nervousness@|@suxal@
@nest@|@ür@
@net@|@gubšür, gülem, gülme@
@net string@|@tamha@
@net-like@|@harsaj-@
@new@|@šene@
@new-born@|@nalxa, naraj-nilsagaj, nilxa@
@new-born deer@|@eli@
@new-born lamb@|@xürbe@
@night@|@hüni@
@nipple@|@xüxe(n)@
@nit@|@xürha(n)@
@noisy@|@šemë(n)@
@noisy discussion@|@nerjë(n), nerxir-, nürxir-@
@nomadize@|@nü-@
@noose@|@bugüli, bugy, bugybša@
@North@|@ara, umara@
@nose@|@xamar@
@not@|@ehe, üle@
@not very good@|@egelej@
@notch on fish-fork@|@äg@
@notice@|@heri-@
@nutrition@|@ül@
@oak tree@|@sarsa@
@oar@|@helbe, helbür, helür@
@oath@|@tangarig@
@oatmeal@|@ägaha(n), äha(n)@
@obtain@|@olo-@
@obvious@|@eli@
@ocean@|@dalaj@
@offend@|@dajra-@
@oil@|@xorgotoj (adj.)@
@old man@|@ötgös, übge(n)@
@on this side@|@näna, näša@
@one@|@nege(n)@
@one of two objects@|@üröhe(n), üröle@
@onion@|@hongino@
@open wide@|@jara-@
@order@|@türe@
@original@|@anxa(n), ül@
@orphan@|@ünšen@
@other@|@busë, nügö@
@otter@|@xalün@
@outlook@|@düre, šaraj@
@overboiled@|@ilzar-@
@overcoat@|@suba@
@overflow@|@melty-, šald, salgi-, šalšagana-@
@overflowed plain@|@nalagar, nalür@
@owl@|@üli@
@ox@|@üxer@
@page@|@xdaha(n), xüdaha(n)@
@palm (of hand)@|@alga(n)@
@pancreas@|@nojr@
@paper@|@särha(n)@
@part of face round nose@|@xamaraj tanä@
@pastern@|@belhen, berbegei, dial@
@paternal uncle@|@abgaj@
@paunch@|@xerxinseg@
@paw@|@tabgaj@
@pea@|@bürsag@
@peace@|@amar@
@peaceful@|@amgalan(g), dülgen@
@pebbles@|@hajir@
@pedal@|@xajür@
@peel@|@šula-@
@pellicle@|@harha(n)@
@penis@|@ozogoj, šebe@
@people@|@arad, ergen, iraj-, iralza-@
@person@|@xün@
@personality@|@nege mühen@
@perspiration of feet@|@šeber@
@pheasant@|@gurgül@
@phlegm@|@zalxag@
@pike@|@surxaj@
@pile up@|@darsa-@
@pine tree@|@narha(n)@
@pink@|@jagän@
@pipe@|@xöloj@
@pitchfork@|@herë@
@plague@|@mila(n)@
@plait@|@gezege@
@plants with specific taste@|@šexer, šüxer@
@plaster@|@bila-@
@pleasure@|@tä-taj@
@plough@|@anzaha(n)@
@pole@|@unä@
@polite@|@xeše-@
@pommel of a saddle@|@bürge@
@pond@|@sörem@
@pool@|@sünxereg@
@poorly grown@|@armagar@
@posterior@|@xonzöhon@
@potentilla anserina@|@gešegenë(n)@
@prayer wheel@|@xürde, xürúg@
@pregnancy@|@xëli@
@pregnant@|@žermehe(n)@
@preserve@|@nö-@
@press@|@šavxa-@
@press into@|@šexe-@
@privet@|@xarbül, xarbür@
@profit@|@xonžo-@
@property@|@ümse, xogšol@
@province@|@možo@
@psychosis@|@xene@
@pull@|@šere-@
@pulse@|@hudal@
@pulverize@|@üjre-@
@punish@|@soxi-@
@put up@|@ahä-@
@quail@|@büdene@
@quick@|@bušü@
@quietness@|@eje, enxe@
@quite good@|@bužagar@
@quiver@|@xobto, xormogo, xormongo@
@rabid@|@galzü@
@rags@|@nobšo@
@rain@|@xura@
@rainbow@|@holongo@
@raise@|@ürge-@
@ram@|@xusa@
@ramson@|@mangir@
@rank@|@zerge@
@rapid@|@xurda(n)@
@rare@|@šuxag@
@raven@|@xerë, xirë@
@ravine@|@žalga@
@raw@|@nalü(n)@
@readiness@|@hambän@
@ready@|@belen@
@reason@|@ušar, züj@
@rebuke@|@dongodo-, hüge-@
@receive a gift or favour@|@xürte-@
@red@|@ulän@
@red willow@|@huxaj@
@refuse@|@melze-@
@relative by marriage@|@xadam@
@relative-in-law@|@xuda, xudagy@
@relatives@|@eldin@
@relax@|@heb ge-@
@rent@|@türse@
@return@|@xarü@
@rib@|@xabha(n), xabirga@
@ride sitting behind the rider@|@hundalda-@
@ridge@|@xara@
@right@|@züb@
@right this one now@|@imagta@
@ring@|@ëmeg, süj@
@ring in bull's nose@|@düre@
@river@|@müre(n)@
@roam@|@xese-@
@roast@|@xajra-@
@robber@|@xulgaj@
@rock@|@bajsa, xada@
@rodent nest@|@nöxoj@
@roebuck@|@guran@
@root@|@ündehe(n), uzür@
@root of grass@|@tügseg@
@root of tooth@|@horbolžo@
@rope@|@büše, dëhe(n), öhor@
@rotate@|@oršo-@
@round@|@tüxerig, xombi-@
@rounded@|@müxerën@
@rub@|@elbe-@
@ruin@|@hüjd@
@rumour@|@sü hurag@
@rump@|@üsa, xondoloj@
@rush@|@xulha(n)@
@rust@|@ževe@
@sabre@|@helme@
@sack@|@üta, xombogo@
@sacred@|@bogdo@
@saddle@|@emël@
@saddle blanket@|@toxom@
@saddle cushion@|@debhe(n)@
@saddleless@|@zajdan@
@saliva@|@šülhe(n)@
@salt@|@dabha(n)@
@salty earth@|@marä, xužar@
@same@|@mün@
@sand@|@elhe(n)@
@sand grains@|@xumxi@
@satiety@|@mila@
@say@|@ge-@
@scab@|@xamü@
@scabbard@|@xuj@
@scatter@|@tara-, üri-@
@scissors@|@xajša@
@scoop@|@šanaga, sobxon@
@scoter@|@angir@
@scratch@|@zura-@
@scrotum@|@haräna, haräna, xüxanag@
@sea gull@|@xajlgana@
@sea shell@|@jobün@
@search by feeling@|@temge, temter-@
@secret@|@dalda@
@secretly@|@hem@
@sedge@|@ulalž@
@sediment@|@šära@
@see off@|@üde-@
@seize@|@šüre-@
@self@|@beje@
@servant@|@bogöl, böl@
@service@|@aša@
@sew@|@logši-@
@shadow@|@hüder@
@shallow@|@güjxen@
@shape@|@šenže, tüleb, ülger, zühe(n)@
@sharp@|@xursa@
@sharpen@|@tajra-@
@sharpened@|@šobogor@
@sharp-shooter@|@merge(n)@
@shave@|@xirga-, xuha-@
@shavings@|@zomgöhon, zomgöl, zoro-, zorogodoho(n)@
@shed@|@harabša@
@shed made of poles@|@hurgäg@
@sheep fat@|@nemžege(n), ünžege(n)@
@sheep skin without hair@|@harmaj@
@sheepskin@|@nexi@
@shelves@|@adajir, adär@
@shimmer@|@hümeger@
@shin muscles@|@šelbe@
@shiny@|@melgen, meliger, melij-, melmen@
